PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,OID,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,RN,PMC,AB,PS,FPS
13561270,NLM,MEDLINE,20000701,20181201,0008-5472 (Print) 0008-5472 (Linking),18,6,1958 Jul,Urethan and leukemogenesis in mice.,725-9,"['KAWAMOTO, S', 'IDA, N', 'KIRSCHBAUM, A', 'TAYLOR, G']","['KAWAMOTO S', 'IDA N', 'KIRSCHBAUM A', 'TAYLOR G']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,OM,"['Animals', '*Carcinogenesis', '*Leukemia', '*Leukemia, Experimental', 'Mice', 'Urethane/*pharmacology']",['CLML: 5834:54029:338:621'],['NLM'],"['*LEUKEMIA/experimental', '*URETHANE/effects']",1958/07/01 00:00,1958/07/01 00:01,['1958/07/01 00:00'],"['1958/07/01 00:00 [pubmed]', '1958/07/01 00:01 [medline]', '1958/07/01 00:00 [entrez]']",,ppublish,Cancer Res. 1958 Jul;18(6):725-9.,,['3IN71E75Z5 (Urethane)'],,,,
13561261,NLM,MEDLINE,20000701,20181201,0008-5472 (Print) 0008-5472 (Linking),18,6,1958 Jul,The development of leukemia and other neoplasms in mice receiving cell-free extracts from a highleukemia (AKR) strain.,676-81,"['HAYS, E F', 'BECK, W S']","['HAYS EF', 'BECK WS']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,OM,"['Animals', '*Leukemia', '*Leukemia, Experimental', 'Mice', 'Mice, Inbred AKR', '*Neoplasms', '*Neoplasms, Experimental']",['CLML: 5834:54020:338:402'],['NLM'],"['*LEUKEMIA/experimental', '*NEOPLASMS/experimental']",1958/07/01 00:00,1958/07/01 00:01,['1958/07/01 00:00'],"['1958/07/01 00:00 [pubmed]', '1958/07/01 00:01 [medline]', '1958/07/01 00:00 [entrez]']",,ppublish,Cancer Res. 1958 Jul;18(6):676-81.,,,,,,
13561111,NLM,MEDLINE,20000701,20181201,0008-1264 (Print) 0008-1264 (Linking),89,1,1958 Jul,Endothelial cells in blood smears.,22,"['LI, J G', 'McLAUGHLIN, R F', 'WELLINGS, S R']","['LI JG', 'McLAUGHLIN RF', 'WELLINGS SR']",['eng'],['Journal Article'],United States,Calif Med,California medicine,0410260,OM,"['*Blood', '*Endothelial Cells', 'Humans', '*Infectious Mononucleosis']",['CLML: 5834:53870:85'],['NLM'],['*BLOOD'],1958/07/01 00:00,1958/07/01 00:01,['1958/07/01 00:00'],"['1958/07/01 00:00 [pubmed]', '1958/07/01 00:01 [medline]', '1958/07/01 00:00 [entrez]']",,ppublish,Calif Med. 1958 Jul;89(1):22.,,,PMC1512950,"Smears of blood obtained by venipuncture sometimes contain odd looking cells which occur singly and in sheets. Their presence may suggest a possible diagnosis of infectious mononucleosis, leukemia, or even malignant disease. Actually, they are endothelial cells from the lining of blood vessels. Use of a barbed needle for venipuncture is the cause of such artifacts.",,
13561049,NLM,MEDLINE,20000701,20181201,0081-1270 (Print) 0081-1270 (Linking),2,,1958 Feb,[Acute glaucoma during lymphosis].,145-51,"['COLLIER, M']",['COLLIER M'],['fre'],['Journal Article'],France,Bull Soc Ophtalmol Fr,Bulletin des societes d'ophtalmologie de France,0372675,OM,"['Glaucoma/*etiology', '*Glaucoma, Angle-Closure', 'Humans', '*Leukemia', 'Leukemia, Lymphoid/*complications']",['CLML: 5834:53808:247:339'],['NLM'],"['*GLAUCOMA/etiology and pathogenesis', '*LEUKEMIA, LYMPHATIC/complications']",1958/02/01 00:00,1958/02/01 00:01,['1958/02/01 00:00'],"['1958/02/01 00:00 [pubmed]', '1958/02/01 00:01 [medline]', '1958/02/01 00:00 [entrez]']",,ppublish,Bull Soc Ophtalmol Fr. 1958 Feb;2:145-51.,Glaucome aigu au cours d'une lymphose.,,,,,
13560683,NLM,MEDLINE,20000701,20181201,,37,2,1958 Feb,[Corneal complications in myeloid leukemia].,158-60,"['BAGOLINI, B']",['BAGOLINI B'],['ita'],['Journal Article'],Italy,Boll Ocul,Bollettino d'oculistica,0372535,OM,"['*Cornea', '*Leukemia', 'Leukemia, Myeloid/*complications']",['CLML: 5834:53442:159:340'],['NLM'],"['*CORNEA', '*LEUKEMIA, MYELOCYTIC/complications']",1958/02/01 00:00,1958/02/01 00:01,['1958/02/01 00:00'],"['1958/02/01 00:00 [pubmed]', '1958/02/01 00:01 [medline]', '1958/02/01 00:00 [entrez]']",,ppublish,Boll Ocul. 1958 Feb;37(2):158-60.,Complicanze corneal nel corso di una leucemia mieloide.,,,,,
13560573,NLM,MEDLINE,20000701,20210216,0006-4971 (Print) 0006-4971 (Linking),13,8,1958 Aug,Cytochemical in studies of glycogen content of lymphocytes in lymphocytic proliferations.,748-56,"['MITUS, W J', 'BERGNA, L J', 'MEDNICOFF, I B', 'DAMESHEK, W']","['MITUS WJ', 'BERGNA LJ', 'MEDNICOFF IB', 'DAMESHEK W']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,OM,"['Glycogen/*blood', 'Humans', '*Leukemia', 'Leukemia, Lymphoid/*metabolism', 'Lymphocytes/*metabolism', 'Lymphocytosis/*metabolism', '*Lymphoma', 'Lymphoma, Non-Hodgkin/*metabolism']",['CLML: 5834:53332:251:339:359:360'],['NLM'],"['*GLYCOGEN/in blood', '*LEUKEMIA, LYMPHATIC/metabolism', '*LYMPHOCYTES/metabolism', '*LYMPHOCYTOSIS/metabolism', '*LYMPHOSARCOMA/metabolism']",1958/08/01 00:00,1958/08/01 00:01,['1958/08/01 00:00'],"['1958/08/01 00:00 [pubmed]', '1958/08/01 00:01 [medline]', '1958/08/01 00:00 [entrez]']",['S0006-4971(20)80065-2 [pii]'],ppublish,Blood. 1958 Aug;13(8):748-56.,,['9005-79-2 (Glycogen)'],,,,
13560572,NLM,MEDLINE,20000701,20210216,0006-4971 (Print) 0006-4971 (Linking),13,8,1958 Aug,Identification of the vitamin B12-binding protein in the serum of normals and of patients with chronic myelocytic leukemia.,740-7,"['MENDELSOHN, R S', 'WATKIN, D M', 'HORBETT, A P', 'FAHEY, J L']","['MENDELSOHN RS', 'WATKIN DM', 'HORBETT AP', 'FAHEY JL']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,OM,"['*Blood Proteins', 'Humans', '*Leukemia', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive', 'Leukemia, Myeloid/*blood', '*Transcobalamins', 'Vitamin B 12/*blood']",['CLML: 5834:53331:92:339:639'],['NLM'],"['*BLOOD PROTEINS', '*LEUKEMIA, MYELOCYTIC/blood in', '*VITAMIN B12/in blood']",1958/08/01 00:00,1958/08/01 00:01,['1958/08/01 00:00'],"['1958/08/01 00:00 [pubmed]', '1958/08/01 00:01 [medline]', '1958/08/01 00:00 [entrez]']",['S0006-4971(20)80064-0 [pii]'],ppublish,Blood. 1958 Aug;13(8):740-7.,,"['0 (Blood Proteins)', '0 (Transcobalamins)', 'P6YC3EG204 (Vitamin B 12)']",,,,
13560570,NLM,MEDLINE,20000701,20210216,0006-4971 (Print) 0006-4971 (Linking),13,8,1958 Aug,The ultrastructure of a fibrillar formation of leukemic human blood.,725-31,"['FREEMAN, J A', 'SAMUELS, M S']","['FREEMAN JA', 'SAMUELS MS']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,OM,['Leukemia/*blood'],['CLML: 5834:53329:338'],['NLM'],['*LEUKEMIA/blood in'],1958/08/01 00:00,1958/08/01 00:01,['1958/08/01 00:00'],"['1958/08/01 00:00 [pubmed]', '1958/08/01 00:01 [medline]', '1958/08/01 00:00 [entrez]']",['S0006-4971(20)80062-7 [pii]'],ppublish,Blood. 1958 Aug;13(8):725-31.,,,,,,
13560569,NLM,MEDLINE,20000701,20210216,0006-4971 (Print) 0006-4971 (Linking),13,8,1958 Aug,Clinical evaluation of 6-chloropurine in leukemia of adults.,705-24,"['ELLISON, R R', 'KARNOFSKY, D A', 'BURCHENAL, J H']","['ELLISON RR', 'KARNOFSKY DA', 'BURCHENAL JH']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,OM,"['Leukemia/*therapy', 'Mercaptopurine/analogs & derivatives', '*Purines']",['CLML: 5834:53328:339:374'],['NLM'],"['*LEUKEMIA/therapy', '*MERCAPTOPURINE/related compounds']",1958/08/01 00:00,1958/08/01 00:01,['1958/08/01 00:00'],"['1958/08/01 00:00 [pubmed]', '1958/08/01 00:01 [medline]', '1958/08/01 00:00 [entrez]']",['S0006-4971(20)80061-5 [pii]'],ppublish,Blood. 1958 Aug;13(8):705-24.,,"['0 (Purines)', 'E7WED276I5 (Mercaptopurine)', 'OH8700156W (6-chloropurine)']",,,,
13560564,NLM,MEDLINE,20000701,20210216,0006-4971 (Print) 0006-4971 (Linking),13,7,1958 Jul,Further research on the activity of ribonucleases in the blood and urine of patients suffering from proliferative hemocytopathia.,652-64,"['ALEKSANDROWICZ, J', 'URBANCZYK, J', 'OSTROWSKA, A', 'SIERKO, J']","['ALEKSANDROWICZ J', 'URBANCZYK J', 'OSTROWSKA A', 'SIERKO J']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,OM,"['Agranulocytosis/*metabolism', 'Hematologic Diseases/*metabolism', 'Humans', 'Leukemia/*metabolism', '*Research', '*Ribonucleases']",['CLML: 5834:53323:19:88:339:526'],['NLM'],"['*AGRANULOCYTOSIS/metabolism', '*BLOOD DISEASES/metabolism', '*LEUKEMIA/metabolism', '*RIBONUCLEASE']",1958/07/01 00:00,1958/07/01 00:01,['1958/07/01 00:00'],"['1958/07/01 00:00 [pubmed]', '1958/07/01 00:01 [medline]', '1958/07/01 00:00 [entrez]']",['S0006-4971(20)66695-2 [pii]'],ppublish,Blood. 1958 Jul;13(7):652-64.,,['EC 3.1.- (Ribonucleases)'],,,,
13560563,NLM,MEDLINE,20000701,20210216,0006-4971 (Print) 0006-4971 (Linking),13,7,1958 Jul,Myeloproliferative syndrome with leukemia preceding polycythemia vera; a case report.,642-51,"['CALABRESI, P']",['CALABRESI P'],['eng'],"['Case Reports', 'Journal Article']",United States,Blood,Blood,7603509,OM,"['Humans', '*Leukemia', '*Leukemia, Myeloid', '*Medical Records', '*Polycythemia Vera', '*Syndrome']",['CLML: 5834:53322:340:476'],['NLM'],"['*LEUKEMIA, MYELOCYTIC/case reports', '*POLYCYTHEMIA VERA/case reports']",1958/07/01 00:00,1958/07/01 00:01,['1958/07/01 00:00'],"['1958/07/01 00:00 [pubmed]', '1958/07/01 00:01 [medline]', '1958/07/01 00:00 [entrez]']",['S0006-4971(20)66694-0 [pii]'],ppublish,Blood. 1958 Jul;13(7):642-51.,,,,,,
13560561,NLM,MEDLINE,20000701,20210216,0006-4971 (Print) 0006-4971 (Linking),13,7,1958 Jul,Leukemic reticuloendotheliosis.,609-30,"['BOURONCLE, B A', 'WISEMAN, B K', 'DOAN, C A']","['BOURONCLE BA', 'WISEMAN BK', 'DOAN CA']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,OM,"['Humans', '*Leukemia', '*Leukemia, Hairy Cell']",['CLML: 5834:53320:338'],['NLM'],['*LEUKEMIA'],1958/07/01 00:00,1958/07/01 00:01,['1958/07/01 00:00'],"['1958/07/01 00:00 [pubmed]', '1958/07/01 00:01 [medline]', '1958/07/01 00:00 [entrez]']",['S0006-4971(20)66692-7 [pii]'],ppublish,Blood. 1958 Jul;13(7):609-30.,,,,,,
13560553,NLM,MEDLINE,20000701,20181201,0365-9615 (Print) 0365-9615 (Linking),45,6,1958 Jun,[Leukemia-producing activity of acellular filtrates of human leukemic tissue].,89-91,"[""BERGOL'TS, V M""]","[""BERGOL'TS VM""]",['rus'],['Journal Article'],Russia (Federation),Biull Eksp Biol Med,Biulleten' eksperimental'noi biologii i meditsiny,0370627,OM,"['Animals', '*Leukemia', '*Leukemia, Experimental']",['CLML: 5834:53312:339'],['NLM'],['*LEUKEMIA/experimental'],1958/06/01 00:00,1958/06/01 00:01,['1958/06/01 00:00'],"['1958/06/01 00:00 [pubmed]', '1958/06/01 00:01 [medline]', '1958/06/01 00:00 [entrez]']",,ppublish,Biull Eksp Biol Med. 1958 Jun;45(6):89-91.,Leikozogennaia aktivnost' beskletochnykh fil'tratov leikoznoi tkani cheloveka.,,,,,
13560524,NLM,MEDLINE,20000701,20181201,0365-9615 (Print) 0365-9615 (Linking),45,5,1958 May,[Antigenic properties of so-called human leukosis factor passed on chick embryo chorionic membranes].,84-9,"[""BERGOL'TS, V M"", ""SHERSHUL'SKAIA, L V""]","[""BERGOL'TS VM"", ""SHERSHUL'SKAIA LV""]",['rus'],['Journal Article'],Russia (Federation),Biull Eksp Biol Med,Biulleten' eksperimental'noi biologii i meditsiny,0370627,OM,"['*Chorion', 'Leukemia/*immunology', 'Membranes']",['CLML: 5834:53283:339'],['NLM'],['*LEUKEMIA/immunology'],1958/05/01 00:00,1958/05/01 00:01,['1958/05/01 00:00'],"['1958/05/01 00:00 [pubmed]', '1958/05/01 00:01 [medline]', '1958/05/01 00:00 [entrez]']",,ppublish,Biull Eksp Biol Med. 1958 May;45(5):84-9.,"Antigennye svoistva faktora leikoza cheloveka, passiruemogo na khorionallantoisnoi obolochke kurinykh embrionov.",,,,,
13560381,NLM,MEDLINE,20000701,20190501,0264-6021 (Print) 0264-6021 (Linking),69,3,1958 Jul,The sedimentation characteristics of deoxyribonucleic acid from normal and diseased human tissues.,398-403,"['POLLI, E E', 'SHOOTER, K V']","['POLLI EE', 'SHOOTER KV']",['eng'],['Journal Article'],England,Biochem J,The Biochemical journal,2984726R,OM,"['DNA/*blood', 'Leukemia/*blood', 'Leukocytes/*metabolism']",['CLML: 5834:53140:177:338:341'],['NLM'],"['*DESOXYRIBONUCLEIC ACID/in blood', '*LEUKEMIA/blood in', '*LEUKOCYTES/metabolism']",1958/07/01 00:00,1958/07/01 00:01,['1958/07/01 00:00'],"['1958/07/01 00:00 [pubmed]', '1958/07/01 00:01 [medline]', '1958/07/01 00:00 [entrez]']",['10.1042/bj0690398 [doi]'],ppublish,Biochem J. 1958 Jul;69(3):398-403. doi: 10.1042/bj0690398.,,['9007-49-2 (DNA)'],PMC1196568,,,
13559239,NLM,MEDLINE,20000701,20190717,0002-9629 (Print) 0002-9629 (Linking),236,2,1958 Aug,Acute plasma cell leukemia.,233-8,"['RALSTON, L S', 'WASDAHL, W A', 'SAIKI, A K']","['RALSTON LS', 'WASDAHL WA', 'SAIKI AK']",['eng'],['Journal Article'],United States,Am J Med Sci,The American journal of the medical sciences,0370506,OM,"['Humans', '*Leukemia', '*Leukemia, Plasma Cell']",['CLML: 5834:51947:338'],['NLM'],['*LEUKEMIA'],1958/08/01 00:00,1958/08/01 00:01,['1958/08/01 00:00'],"['1958/08/01 00:00 [pubmed]', '1958/08/01 00:01 [medline]', '1958/08/01 00:00 [entrez]']",['10.1097/00000441-195808000-00012 [doi]'],ppublish,Am J Med Sci. 1958 Aug;236(2):233-8. doi: 10.1097/00000441-195808000-00012.,,,,,,
13559043,NLM,MEDLINE,20000701,20190916,0001-6926 (Print) 0001-6926 (Linking),49,6,1958 Jun,Skeletal lesions in leukaemia in children.,419-24,"['BRUNNER, S', 'GUDBJERG, C E', 'IVERSEN, T']","['BRUNNER S', 'GUDBJERG CE', 'IVERSEN T']",['eng'],['Journal Article'],Sweden,Acta radiol,Acta radiologica,0000221,OM,"['Bone and Bones/*pathology', 'Child', '*Databases, Genetic', 'Humans', 'Leukemia/*complications', '*Musculoskeletal System']",['CLML: 5834:51751:100:338'],['NLM'],"['*BONE AND BONES/pathology', '*LEUKEMIA/complications']",1958/06/01 00:00,1958/06/01 00:01,['1958/06/01 00:00'],"['1958/06/01 00:00 [pubmed]', '1958/06/01 00:01 [medline]', '1958/06/01 00:00 [entrez]']",['10.3109/00016925809171012 [doi]'],ppublish,Acta radiol. 1958 Jun;49(6):419-24. doi: 10.3109/00016925809171012.,,,,,,
13558978,NLM,MEDLINE,20000701,20181201,0001-5792 (Print) 0001-5792 (Linking),19,4-5,1958 Apr-May,[Pseudo-Pelger leukocytes in experimental rat leukemia].,295-301,"['HLAVAY, E', 'SVEC, F']","['HLAVAY E', 'SVEC F']",['ger'],['Journal Article'],Switzerland,Acta Haematol,Acta haematologica,0141053,OM,"['Animals', '*Leukemia', '*Leukemia, Experimental', 'Leukemia, Myeloid/*blood', '*Leukocytes', 'Rats']",['CLML: 5834:51686:339:341'],['NLM'],"['*LEUKEMIA, MYELOCYTIC/blood in', '*LEUKOCYTES']",1958/04/01 00:00,1958/04/01 00:01,['1958/04/01 00:00'],"['1958/04/01 00:00 [pubmed]', '1958/04/01 00:01 [medline]', '1958/04/01 00:00 [entrez]']",['10.1159/000205445 [doi]'],ppublish,Acta Haematol. 1958 Apr-May;19(4-5):295-301. doi: 10.1159/000205445.,Pseudo-Pelger-Leukocyten bei experimenteller Ratten-Leukamie.,,,,,
13558972,NLM,MEDLINE,20000701,20181201,0001-5792 (Print) 0001-5792 (Linking),19,4-5,1958 Apr-May,Leuko-agglutination: relation of leukemia to cancer.,241-52,"['STEINBERG, B', 'MARTIN, R A']","['STEINBERG B', 'MARTIN RA']",['eng'],['Journal Article'],Switzerland,Acta Haematol,Acta haematologica,0141053,OM,"['*Agglutination', '*Hemagglutination', 'Leukemia/*immunology', '*Neoplasms']",['CLML: 5834:51680:266:339'],['NLM'],"['*HEMAGGLUTINATION', '*LEUKEMIA/immunology']",1958/04/01 00:00,1958/04/01 00:01,['1958/04/01 00:00'],"['1958/04/01 00:00 [pubmed]', '1958/04/01 00:01 [medline]', '1958/04/01 00:00 [entrez]']",['10.1159/000205439 [doi]'],ppublish,Acta Haematol. 1958 Apr-May;19(4-5):241-52. doi: 10.1159/000205439.,,,,,,
13558365,NLM,MEDLINE,20000701,20181201,0372-9192 (Print) 0372-9192 (Linking),155,2,1958,[Alkaline phosphatase activity of blood cells in leukoses & other pathological conditions].,176-90,"['LAMBERS, K']",['LAMBERS K'],['ger'],['Journal Article'],Germany,Z Klin Med,Zeitschrift fur klinische Medizin,0060757,OM,"['*Alkaline Phosphatase', '*Biochemical Phenomena', '*Blood Cells', 'Hematologic Diseases/*blood', 'Leukemia/*blood', 'Phosphoric Monoester Hydrolases/*blood', '*Vascular Diseases']",['CLML: 5834:51043:88:338:460'],['NLM'],"['*BLOOD DISEASES/blood in', '*LEUKEMIA/blood in', '*PHOSPHATASES/in blood']",1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,Z Klin Med. 1958;155(2):176-90.,Die alkalische Phosphataseaktivitat der Blutzellen bei Leukosen und anderen pathologischen Zustanden.,"['EC 3.1.3.1 (Alkaline Phosphatase)', 'EC 3.1.3.2 (Phosphoric Monoester Hydrolases)']",,,,
13558168,NLM,MEDLINE,20000701,20181201,0043-5341 (Print) 0043-5341 (Linking),108,16,1958 Apr 19,[Combined leukemia therapy].,337-41,"['KEIBL, E']",['KEIBL E'],['ger'],['Journal Article'],Austria,Wien Med Wochenschr,Wiener medizinische Wochenschrift (1946),8708475,OM,"['Humans', 'Leukemia/*therapy', 'Liver/*blood supply']",['CLML: 5834:50826:339:346'],['NLM'],"['*LEUKEMIA/therapy', '*LIVER/blood supply']",1958/04/19 00:00,1958/04/19 00:01,['1958/04/19 00:00'],"['1958/04/19 00:00 [pubmed]', '1958/04/19 00:01 [medline]', '1958/04/19 00:00 [entrez]']",,ppublish,Wien Med Wochenschr. 1958 Apr 19;108(16):337-41.,Uber die kombinierte Leukamietherapie.,,,,,
13557359,NLM,MEDLINE,20000701,20181201,0042-4609 (Print) 0042-4609 (Linking),32,2,1958 Mar-Apr,[Histiocytosis of the skin & mucous membranes].,77-80,"['KALANTAEVSKAIA, K A']",['KALANTAEVSKAIA KA'],['rus'],['Journal Article'],Russia (Federation),Vestn Dermatol Venerol,Vestnik dermatologii i venerologii,0414246,OM,"['*Genetic Diseases, X-Linked', '*Histiocytosis', 'Humans', 'Leukemia, Hairy Cell/*pathology', 'Lymphatic Diseases/*pathology', '*Mucous Membrane', '*Severe Combined Immunodeficiency', '*Skin']",['CLML: 5834:50010:521'],['NLM'],['*RETICULOENDOTHELIOSIS/pathology'],1958/03/01 00:00,1958/03/01 00:01,['1958/03/01 00:00'],"['1958/03/01 00:00 [pubmed]', '1958/03/01 00:01 [medline]', '1958/03/01 00:00 [entrez]']",,ppublish,Vestn Dermatol Venerol. 1958 Mar-Apr;32(2):77-80.,Gistiotsitoz s porazheniiami kozhi i slizistykh obolochek.,"['Reticuloendotheliosis, X-linked']",,,,
13557318,NLM,MEDLINE,20000701,20181201,0002-3027 (Print) 0002-3027 (Linking),13,4,1958,"[Actual problems of leukoses; statistics, morphogenesis and clinical picture].",32-46,"['KASSIRSKII, Ia']",['KASSIRSKII Ia'],['rus'],['Journal Article'],Russia (Federation),Vestn Akad Med Nauk SSSR,Vestnik Akademii meditsinskikh nauk SSSR,7506153,OM,"['*Biometry', '*Leukemia', '*Morphogenesis']",['CLML: 5834:49969:338'],['NLM'],['*LEUKEMIA'],1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,Vestn Akad Med Nauk SSSR. 1958;13(4):32-46.,"Aktual'nye voprosy problemy leikozov; statistika, voprosy morfogeneza i kliniki.",,,,,
13557317,NLM,MEDLINE,20000701,20181201,0002-3027 (Print) 0002-3027 (Linking),13,4,1958,[Development of leukoses as a remote sequels of radiation sickness].,27-32,"['KURSHAKOV, N A']",['KURSHAKOV NA'],['rus'],['Journal Article'],Russia (Federation),Vestn Akad Med Nauk SSSR,Vestnik Akademii meditsinskikh nauk SSSR,7506153,OM,"['Leukemia/*etiology', 'Radiation/*adverse effects', '*Radiation Injuries']",['CLML: 5834:49968:338:509'],['NLM'],"['*LEUKEMIA/etiology and pathogenesis', '*RADIATIONS/injurious effects']",1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,Vestn Akad Med Nauk SSSR. 1958;13(4):27-32.,Razvitie leikozov kak otdalennoe sledstvie luchevoi bolezni.,,,,,
13557050,NLM,MEDLINE,20000701,20181201,0041-4131 (Print) 0041-4131 (Linking),36,3,1958 Mar,[Abdominal leukosarcomatosis].,131-2 passim,"['BENMUSSA, S', 'DIDIER, R', 'MESSAOUDA, S B']","['BENMUSSA S', 'DIDIER R', 'MESSAOUDA SB']",['fre'],['Journal Article'],Tunisia,Tunis Med,La Tunisie medicale,0413766,OM,"['*Abdomen', '*Abdominal Neoplasms', 'Child', 'Humans', 'Infant', '*Leukemia', '*Neoplasms']",['CLML: 5834:49701:1:341'],['NLM'],"['*ABDOMEN/neoplasms', '*LEUKOSARCOMA/in infant and child']",1958/03/01 00:00,1958/03/01 00:01,['1958/03/01 00:00'],"['1958/03/01 00:00 [pubmed]', '1958/03/01 00:01 [medline]', '1958/03/01 00:00 [entrez]']",,ppublish,Tunis Med. 1958 Mar;36(3):131-2 passim.,Leucosarcomatose abdominale.,,,,,
13556702,NLM,MEDLINE,20000701,20181201,0040-5957 (Print) 0040-5957 (Linking),13,2,1958,[Modern treatment of severe reticuloses in children].,241-5,"['GRISLAIN, J R', 'KERNEIS, J P']","['GRISLAIN JR', 'KERNEIS JP']",['fre'],['Journal Article'],France,Therapie,Therapie,0420544,OM,"['Child', '*Genetic Diseases, X-Linked', 'Humans', 'Infant', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', '*Lymphoid Tissue', '*Neoplasms', 'Peptide Nucleic Acids', '*Severe Combined Immunodeficiency']",['CLML: 5834:49353:359:521'],['NLM'],"['*LYMPHOID TISSUE/neoplasms', '*RETICULOENDOTHELIOSIS/in infant and child']",1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,Therapie. 1958;13(2):241-5.,Traitement actuel des reticuloses graves de l'enfance.,"['0 (Peptide Nucleic Acids)', '0 (reticulose)', 'Reticuloendotheliosis, X-linked']",,,,
13556297,NLM,MEDLINE,20000701,20181201,0038-5077 (Print) 0038-5077 (Linking),22,3,1958,[Treatment of polycythemia and chronic leukoses with radioactive phosphorus].,106-11,"['POLENKO, V K', 'DONSKOI, M D']","['POLENKO VK', 'DONSKOI MD']","['eng', 'rus']",['Journal Article'],Russia (Federation),Sov Med,Sovetskaia meditsina,0404525,OM,"['Humans', 'Leukemia/*therapy', '*Phosphorus', '*Phosphorus Radioisotopes', '*Phosphorus, Dietary', '*Polycythemia', 'Polycythemia Vera/*therapy', '*Radioactivity']",['CLML: 5834:48948:339:463:476'],['NLM'],"['*LEUKEMIA/therapy', '*PHOSPHORUS/radioactive', '*POLYCYTHEMIA VERA/therapy']",1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,Sov Med. 1958;22(3):106-11.,Opyt lecheniia radioaktivnym fosforom bol'nykh politsitemiei i khronicheskimi leikozami.,"['0 (Phosphorus Radioisotopes)', '0 (Phosphorus, Dietary)', '27YLU75U4W (Phosphorus)']",,,,
13556190,NLM,MEDLINE,20000701,20190702,0038-4348 (Print) 0038-4348 (Linking),51,6,1958 Jun,Current concepts of therapy for leukemia.,783-91,"['WILSON, W L', 'McDONALD, J F Jr', 'SPURR, C L']","['WILSON WL', 'McDONALD JF Jr', 'SPURR CL']",['eng'],['Journal Article'],United States,South Med J,Southern medical journal,0404522,OM,"['Humans', 'Leukemia/*therapy']",['CLML: 5834:48841:339'],['NLM'],['*LEUKEMIA/therapy'],1958/06/01 00:00,1958/06/01 00:01,['1958/06/01 00:00'],"['1958/06/01 00:00 [pubmed]', '1958/06/01 00:01 [medline]', '1958/06/01 00:00 [entrez]']",['10.1097/00007611-195806000-00019 [doi]'],ppublish,South Med J. 1958 Jun;51(6):783-91. doi: 10.1097/00007611-195806000-00019.,,,,,,
13555690,NLM,MEDLINE,20000701,20190823,0036-5513 (Print) 0036-5513 (Linking),10,1,1958,Peptides isolated from the serum of cases of leukemia.,42-5,"['HAMMARSTEN, G', 'SANDELL, B M']","['HAMMARSTEN G', 'SANDELL BM']",['eng'],['Journal Article'],England,Scand J Clin Lab Invest,Scandinavian journal of clinical and laboratory investigation,0404375,OM,"['Humans', 'Leukemia/*blood', 'Peptides/*blood', '*Serum']",['CLML: 5834:48341:338:451'],['NLM'],"['*LEUKEMIA/blood in', '*PEPTIDES/in blood']",1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",['10.3109/00365515809079914 [doi]'],ppublish,Scand J Clin Lab Invest. 1958;10(1):42-5. doi: 10.3109/00365515809079914.,,['0 (Peptides)'],,,,
