PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,PMC,AB
5252549,NLM,MEDLINE,19690605,20171116,0068-5372 (Print) 0068-5372 (Linking),14,4,1966 Oct,Effect of 6-mercaptopurine on Giardia intestinalis.,121,"['Mukherjea, A K', 'Chatterjea, J B']","['Mukherjea AK', 'Chatterjea JB']",['eng'],['Journal Article'],,India,Bull Calcutta Sch Trop Med,Bulletin of the Calcutta School of Tropical Medicine,7503435,IM,"['Cytoplasm/drug effects', 'Giardia/*drug effects', 'Giardiasis/complications', 'Humans', 'Intestinal Diseases, Parasitic/complications', 'Leukemia, Myeloid, Acute/drug therapy', 'Mercaptopurine/*pharmacology/therapeutic use']",1966/10/01 00:00,1966/10/01 00:01,['1966/10/01 00:00'],"['1966/10/01 00:00 [pubmed]', '1966/10/01 00:01 [medline]', '1966/10/01 00:00 [entrez]']",ppublish,Bull Calcutta Sch Trop Med. 1966 Oct;14(4):121.,['E7WED276I5 (Mercaptopurine)'],,,
5252541,NLM,MEDLINE,19690605,20071115,0043-5147 (Print) 0043-5147 (Linking),22,2,1969 Jan 15,[A case of sarcomatous myelocytic leukemia].,173-9,"['Dobrohorska, H', 'Kondraciuk, A', 'Cichecka, I', 'Dominiczak, K']","['Dobrohorska H', 'Kondraciuk A', 'Cichecka I', 'Dominiczak K']",['pol'],"['Case Reports', 'Journal Article']",Przypadek miesakoszpikowicy.,Poland,Wiad Lek,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",9705467,IM,"['Adolescent', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Male', 'Sarcoma/*pathology']",1969/01/15 00:00,1969/01/15 00:01,['1969/01/15 00:00'],"['1969/01/15 00:00 [pubmed]', '1969/01/15 00:01 [medline]', '1969/01/15 00:00 [entrez]']",ppublish,Wiad Lek. 1969 Jan 15;22(2):173-9.,,,,
5252540,NLM,MEDLINE,19690605,20131121,0043-5147 (Print) 0043-5147 (Linking),22,2,1969 Jan 15,[Rubidomycin in the treatment of leukemias in children (preliminary clinical observation)].,155-8,"['Zinkiewicz, Z', 'Wroblewska, B']","['Zinkiewicz Z', 'Wroblewska B']",['pol'],['Journal Article'],Rubidomycyna w leczeniu bialaczek u dzieci (tymczasowe obserwacje kliniczne),Poland,Wiad Lek,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",9705467,IM,"['Antibiotics, Antineoplastic/*therapeutic use', 'Child', 'Child, Preschool', 'Daunorubicin/adverse effects/*therapeutic use', 'Female', 'Hemorrhagic Disorders/chemically induced', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Prednisone/therapeutic use']",1969/01/15 00:00,1969/01/15 00:01,['1969/01/15 00:00'],"['1969/01/15 00:00 [pubmed]', '1969/01/15 00:01 [medline]', '1969/01/15 00:00 [entrez]']",ppublish,Wiad Lek. 1969 Jan 15;22(2):155-8.,"['0 (Antibiotics, Antineoplastic)', 'VB0R961HZT (Prednisone)', 'ZS7284E0ZP (Daunorubicin)']",,,
5252518,NLM,MEDLINE,19690605,20071115,0019-5189 (Print) 0019-5189 (Linking),6,4,1968 Oct,Measurement of photoreactivation in normal and tumour cells.,251-2,"['Chatterjee, R']",['Chatterjee R'],['eng'],['Journal Article'],,India,Indian J Exp Biol,Indian journal of experimental biology,0233411,IM,"['Animals', 'Female', '*Leukemia, Lymphoid', 'Light', 'Lymphoid Tissue/*radiation effects', 'Mice', 'Radiation Effects', '*Ultraviolet Rays']",1968/10/01 00:00,1968/10/01 00:01,['1968/10/01 00:00'],"['1968/10/01 00:00 [pubmed]', '1968/10/01 00:01 [medline]', '1968/10/01 00:00 [entrez]']",ppublish,Indian J Exp Biol. 1968 Oct;6(4):251-2.,,,,
5252516,NLM,MEDLINE,19690605,20190908,0014-2964 (Print) 0014-2964 (Linking),5,1,1969 Feb,Some biochemical aspects of leukaemias: Leucocyte glutathione metabolism in chronic granulocytic leukaemia.,61-7,"['Harrap, K R', 'Jackson, R C']","['Harrap KR', 'Jackson RC']",['eng'],['Journal Article'],,England,Eur J Cancer,European journal of cancer,0074126,IM,"['Glutathione/*metabolism', 'Humans', 'Leukemia, Myeloid/*metabolism', 'Leukocytes/enzymology/*metabolism']",1969/02/01 00:00,1969/02/01 00:01,['1969/02/01 00:00'],"['1969/02/01 00:00 [pubmed]', '1969/02/01 00:01 [medline]', '1969/02/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1969 Feb;5(1):61-7. doi: 10.1016/0014-2964(69)90090-5.,['GAN16C9B8O (Glutathione)'],['10.1016/0014-2964(69)90090-5 [doi]'],,
5252515,NLM,MEDLINE,19690605,20190908,0014-2964 (Print) 0014-2964 (Linking),5,1,1969 Feb,Established cell line (ICI-101) obtained from frozen human lymphoblastic leukaemia cells: morphological and immunological comparison with the patient's fresh cells.,55-9,"['Belpomme, D', 'Seman, G', 'Dore, J F', 'Venuat, A M', 'Berumen, L', 'Le Borgne de Kaouel, C', 'Mathe, G']","['Belpomme D', 'Seman G', 'Dore JF', 'Venuat AM', 'Berumen L', 'Le Borgne de Kaouel C', 'Mathe G']",['eng'],['Journal Article'],,England,Eur J Cancer,European journal of cancer,0074126,IM,"['Cell Line', 'Child', '*Culture Techniques', 'Freezing', 'Humans', 'Leukemia, Lymphoid/*immunology/*pathology', 'Male']",1969/02/01 00:00,1969/02/01 00:01,['1969/02/01 00:00'],"['1969/02/01 00:00 [pubmed]', '1969/02/01 00:01 [medline]', '1969/02/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1969 Feb;5(1):55-9. doi: 10.1016/0014-2964(69)90089-9.,,['10.1016/0014-2964(69)90089-9 [doi]'],,
5252514,NLM,MEDLINE,19690605,20190706,0009-8981 (Print) 0009-8981 (Linking),24,1,1969 Apr,Lactic dehydrogenase isoenzymes of human leukocytes.,39-44,"['Malaskova, V', 'Holeysovska, H']","['Malaskova V', 'Holeysovska H']",['eng'],['Journal Article'],,Netherlands,Clin Chim Acta,Clinica chimica acta; international journal of clinical chemistry,1302422,IM,"['Blood Protein Electrophoresis', 'Hematologic Diseases/enzymology', 'Hematopoiesis', 'Hemoglobinuria, Paroxysmal/enzymology', 'Humans', 'Isoenzymes', 'L-Lactate Dehydrogenase/*blood', 'Leukemia/enzymology', 'Leukemia, Myeloid/enzymology', 'Leukocytes/*enzymology', 'Lymphocytosis/enzymology', 'Primary Myelofibrosis/enzymology']",1969/04/01 00:00,1969/04/01 00:01,['1969/04/01 00:00'],"['1969/04/01 00:00 [pubmed]', '1969/04/01 00:01 [medline]', '1969/04/01 00:00 [entrez]']",ppublish,Clin Chim Acta. 1969 Apr;24(1):39-44. doi: 10.1016/0009-8981(69)90138-7.,"['0 (Isoenzymes)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)']","['0009-8981(69)90138-7 [pii]', '10.1016/0009-8981(69)90138-7 [doi]']",,
5252473,NLM,MEDLINE,19690602,20190511,0002-9173 (Print) 0002-9173 (Linking),51,5,1969 May,Extramedullary myeloblastic transformation in chronic myelocytic leukemia simulating a coexistent malignant lymphoma.,638-45,"['Garfinkel, L S', 'Bennett, D E']","['Garfinkel LS', 'Bennett DE']",['eng'],['Journal Article'],,England,Am J Clin Pathol,American journal of clinical pathology,0370470,IM,"['Biopsy', 'Blood Cell Count', 'Blood Transfusion', '*Bone Marrow', '*Bone Marrow Cells', 'Bone Marrow Examination', 'Cell Transformation, Neoplastic', 'Diagnosis, Differential', 'Leukemia, Myeloid/blood/diagnosis/*pathology', 'Leukocytes', 'Lymph Nodes/*pathology', 'Lymphatic Diseases/pathology', 'Lymphography', 'Lymphoma/*diagnosis', 'Microscopy, Electron']",1969/05/01 00:00,1969/05/01 00:01,['1969/05/01 00:00'],"['1969/05/01 00:00 [pubmed]', '1969/05/01 00:01 [medline]', '1969/05/01 00:00 [entrez]']",ppublish,Am J Clin Pathol. 1969 May;51(5):638-45. doi: 10.1093/ajcp/51.5.638.,,['10.1093/ajcp/51.5.638 [doi]'],,
5252472,NLM,MEDLINE,19690602,20041117,0038-5077 (Print) 0038-5077 (Linking),30,5,1967 May,[Spontaneous rupture of the spleen in chronic myelosis].,145-6,"['Serlina, E L']",['Serlina EL'],['rus'],['Journal Article'],Spontamnyi razryv selezenki pri khronicheskom mieloze.,Russia (Federation),Sov Med,Sovetskaia meditsina,0404525,IM,"['Chronic Disease', 'Female', 'Humans', 'Leukemia, Myeloid/*complications', 'Middle Aged', 'Rupture, Spontaneous/etiology', 'Splenic Rupture/*etiology']",1967/05/01 00:00,1967/05/01 00:01,['1967/05/01 00:00'],"['1967/05/01 00:00 [pubmed]', '1967/05/01 00:01 [medline]', '1967/05/01 00:00 [entrez]']",ppublish,Sov Med. 1967 May;30(5):145-6.,,,,
5252410,NLM,MEDLINE,19690602,20210216,0006-4971 (Print) 0006-4971 (Linking),33,5,1969 May,"""Myeloma protein"" in a patient with monocytic leukemia.",746-58,"['Poulik, M D', 'Berman, L', 'Prasad, A S']","['Poulik MD', 'Berman L', 'Prasad AS']",['eng'],['Journal Article'],,United States,Blood,Blood,7603509,IM,"['Aged', 'Bence Jones Protein/*analysis', 'Bone Marrow Examination', 'Cell Nucleus', 'Chromatography, Gel', 'Electrophoresis', 'Humans', 'Immune Sera', 'Immunoelectrophoresis', 'Leukemia, Myeloid/*metabolism', 'Lymph Nodes/pathology', 'Male', 'Monocytes', 'Muramidase', 'Proteinuria', 'Starch', 'Ultracentrifugation']",1969/05/01 00:00,1969/05/01 00:01,['1969/05/01 00:00'],"['1969/05/01 00:00 [pubmed]', '1969/05/01 00:01 [medline]', '1969/05/01 00:00 [entrez]']",ppublish,Blood. 1969 May;33(5):746-58.,"['0 (Immune Sera)', '9005-25-8 (Starch)', '9006-99-9 (Bence Jones Protein)', 'EC 3.2.1.17 (Muramidase)']",['S0006-4971(20)69483-6 [pii]'],,
5252389,NLM,MEDLINE,19690529,20170306,,41,5,1968,[Renal function in patients with leukemia].,633-8,"['Leszko, B']",['Leszko B'],['pol'],['Journal Article'],Czynnosc nerek u chorych z bialaczka.,Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,IM,"['Adolescent', 'Adult', 'Aged', 'Creatinine/urine', 'Female', 'Glomerular Filtration Rate', 'Humans', 'Kidney/*physiopathology', 'Kidney Function Tests', 'Leukemia, Lymphoid/*physiopathology', 'Leukemia, Myeloid/*physiopathology', 'Male', 'Middle Aged']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Pol Arch Med Wewn. 1968;41(5):633-8.,['AYI8EX34EU (Creatinine)'],,,
5252320,NLM,MEDLINE,19690529,20140912,0256-9574 (Print),42,47,1968 Dec 14,Erythroleukaemia.,1291-2,"['Falkson, G', 'Falkson, H C']","['Falkson G', 'Falkson HC']",['eng'],['Journal Article'],,South Africa,S Afr Med J,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde,0404520,IM,"['Adult', 'Antimetabolites/adverse effects', 'Bone Marrow Diseases/*diagnosis', 'Bone Marrow Examination', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Erythroblastic, Acute/*diagnosis/pathology', 'Male', 'Middle Aged', 'Myeloproliferative Disorders/diagnosis']",1968/12/14 00:00,1968/12/14 00:01,['1968/12/14 00:00'],"['1968/12/14 00:00 [pubmed]', '1968/12/14 00:01 [medline]', '1968/12/14 00:00 [entrez]']",ppublish,S Afr Med J. 1968 Dec 14;42(47):1291-2.,['0 (Antimetabolites)'],,,
5252319,NLM,MEDLINE,19690529,20171116,0032-745X (Print) 0032-745X (Linking),55,16,1968 Jun 14,[Current status of the management of acute leukemias].,707-12,"['Pavlovsky, A', 'Pavlovsky, S']","['Pavlovsky A', 'Pavlovsky S']",['spa'],['Journal Article'],Estado actual del tratamiento de las leucemias agudas.,Argentina,Prensa Med Argent,Prensa medica argentina,0204056,IM,"['Acute Disease', 'Adult', 'Child, Preschool', 'Cyclophosphamide/therapeutic use', 'Daunorubicin/therapeutic use', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Mercaptopurine/therapeutic use', 'Methotrexate/therapeutic use', 'Prednisone/therapeutic use', 'Vincristine/therapeutic use']",1968/06/14 00:00,1968/06/14 00:01,['1968/06/14 00:00'],"['1968/06/14 00:00 [pubmed]', '1968/06/14 00:01 [medline]', '1968/06/14 00:00 [entrez]']",ppublish,Prensa Med Argent. 1968 Jun 14;55(16):707-12.,"['5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'E7WED276I5 (Mercaptopurine)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",,,
5252316,NLM,MEDLINE,19690525,20081121,0042-4609 (Print) 0042-4609 (Linking),41,4,1967 Apr,[Changes in the skin in tumorous diseases of the hematopoietic system].,15-20,"['Ashmarin, Iu Ia']",['Ashmarin IuIa'],['rus'],['Journal Article'],Izmeneniia kozhi pri opukholevykh zabolevaniiakh krovetvornoi sistemy.,Russia (Federation),Vestn Dermatol Venerol,Vestnik dermatologii i venerologii,0414246,IM,"['Hodgkin Disease/*diagnosis', 'Humans', 'Leukemia, Lymphoid/*diagnosis', 'Leukemia, Myeloid, Acute/*diagnosis', 'Lymphatic Diseases/*diagnosis', 'Multiple Myeloma/*diagnosis', 'Mycosis Fungoides/*diagnosis', '*Skin Manifestations']",1967/04/01 00:00,1967/04/01 00:01,['1967/04/01 00:00'],"['1967/04/01 00:00 [pubmed]', '1967/04/01 00:01 [medline]', '1967/04/01 00:00 [entrez]']",ppublish,Vestn Dermatol Venerol. 1967 Apr;41(4):15-20.,,,,
5252303,NLM,MEDLINE,19690525,20190630,0022-3476 (Print) 0022-3476 (Linking),74,5,1969 May,Priapism in a child with chronic granulocytic leukemia.,788-90,"['Graw, R G Jr', 'Skeel, R T', 'Carbone, P P']","['Graw RG Jr', 'Skeel RT', 'Carbone PP']",['eng'],['Journal Article'],,United States,J Pediatr,The Journal of pediatrics,0375410,IM,"['Child', 'Humans', 'Leukemia, Myeloid/*complications', 'Male', 'Priapism/*complications/etiology/radiotherapy/therapy']",1969/05/01 00:00,2001/03/28 10:01,['1969/05/01 00:00'],"['1969/05/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1969/05/01 00:00 [entrez]']",ppublish,J Pediatr. 1969 May;74(5):788-90. doi: 10.1016/s0022-3476(69)80144-7.,,"['S0022-3476(69)80144-7 [pii]', '10.1016/s0022-3476(69)80144-7 [doi]']",,
5252300,NLM,MEDLINE,19690525,20131121,0040-3660 (Print) 0040-3660 (Linking),39,2,1967 Feb,[On the tactics of myelosan therapy of chronic myeloleukosis].,3-9,"['Kassirskii, I A', 'Volkova, M A']","['Kassirskii IA', 'Volkova MA']",['rus'],['Journal Article'],K taktike lecheniia mielosanom khronicheskogo mieloleikoza.,Russia (Federation),Ter Arkh,Terapevticheskii arkhiv,2984818R,IM,"['Adult', 'Busulfan/*administration & dosage', 'Humans', 'Leukemia, Myeloid/*drug therapy', 'Male', 'Middle Aged']",1967/02/01 00:00,1967/02/01 00:01,['1967/02/01 00:00'],"['1967/02/01 00:00 [pubmed]', '1967/02/01 00:01 [medline]', '1967/02/01 00:00 [entrez]']",ppublish,Ter Arkh. 1967 Feb;39(2):3-9.,['G1LN9045DK (Busulfan)'],,,
5252299,NLM,MEDLINE,19690525,20071115,0040-3660 (Print) 0040-3660 (Linking),39,2,1967 Feb,[On the problem of spontaneous rupture of the spleen in acute leukemia].,105-7,"['Ponomareva, E D']",['Ponomareva ED'],['rus'],"['Case Reports', 'Journal Article']",K voprosu o samoproizvol'nom razryve selezenki pri ostrom leikoze.,Russia (Federation),Ter Arkh,Terapevticheskii arkhiv,2984818R,IM,"['Adult', 'Aged', 'Humans', 'Leukemia, Myeloid, Acute/*complications', 'Male', 'Splenic Rupture/*etiology']",1967/02/01 00:00,1967/02/01 00:01,['1967/02/01 00:00'],"['1967/02/01 00:00 [pubmed]', '1967/02/01 00:01 [medline]', '1967/02/01 00:00 [entrez]']",ppublish,Ter Arkh. 1967 Feb;39(2):105-7.,,,,
5252232,NLM,MEDLINE,19690523,20190620,0008-543X (Print) 0008-543X (Linking),23,5,1969 May,Treatment of adult acute leukemia with arabinosylcytosine and thioguanine.,1019-32,"['Gee, T S', 'Yu, K P', 'Clarkson, B D']","['Gee TS', 'Yu KP', 'Clarkson BD']",['eng'],['Journal Article'],,United States,Cancer,Cancer,0374236,IM,"['Adolescent', 'Adult', 'Aged', 'Cytarabine/*administration & dosage', 'Dosage Forms', 'Female', 'Humans', 'Injections, Intravenous', 'Leukemia, Lymphoid/*drug therapy', 'Leukemia, Monocytic, Acute/*drug therapy', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Middle Aged', 'Thioguanine/*administration & dosage']",1969/05/01 00:00,1969/05/01 00:01,['1969/05/01 00:00'],"['1969/05/01 00:00 [pubmed]', '1969/05/01 00:01 [medline]', '1969/05/01 00:00 [entrez]']",ppublish,Cancer. 1969 May;23(5):1019-32. doi: 10.1002/1097-0142(196905)23:5<1019::aid-cncr2820230506>3.0.co;2-n.,"['0 (Dosage Forms)', '04079A1RDZ (Cytarabine)', 'FTK8U1GZNX (Thioguanine)']",['10.1002/1097-0142(196905)23:5<1019::aid-cncr2820230506>3.0.co;2-n [doi]'],,
5252231,NLM,MEDLINE,19690523,20171116,0003-9926 (Print) 0003-9926 (Linking),123,4,1969 Apr,Nonmeningeal extramedullary relapse in leukemia.,401-4,"['Silverstein, M N', 'Bayrd, E D']","['Silverstein MN', 'Bayrd ED']",['eng'],['Journal Article'],,United States,Arch Intern Med,Archives of internal medicine,0372440,IM,"['Adolescent', 'Adult', 'Bone Diseases/etiology', 'Bone Marrow/growth & development', 'Bone Marrow Cells', 'Child', 'Female', 'Gallbladder Diseases/complications', 'Humans', 'Leukemia/mortality', '*Leukemia, Lymphoid/drug therapy/physiopathology', '*Leukemia, Myeloid/drug therapy/physiopathology', 'Male', 'Mercaptopurine/therapeutic use', 'Middle Aged', 'Myocardium/pathology', 'Pancreatic Diseases/etiology', 'Pericardial Effusion/etiology', 'Prednisone/therapeutic use', 'Splenic Diseases/etiology', 'Time Factors', 'Vincristine/therapeutic use']",1969/04/01 00:00,1969/04/01 00:01,['1969/04/01 00:00'],"['1969/04/01 00:00 [pubmed]', '1969/04/01 00:01 [medline]', '1969/04/01 00:00 [entrez]']",ppublish,Arch Intern Med. 1969 Apr;123(4):401-4.,"['5J49Q6B70F (Vincristine)', 'E7WED276I5 (Mercaptopurine)', 'VB0R961HZT (Prednisone)']",,,
5252229,NLM,MEDLINE,19690522,20141120,0371-3822 (Print) 0371-3822 (Linking),67,,1968,[1st results of a study on the behavior of erythrocytes fragilized by BMHP].,472-9,"['Desgrez, A', 'Combrisson, A', 'Griveau, P']","['Desgrez A', 'Combrisson A', 'Griveau P']",['fre'],['Journal Article'],Premiers resultats d'une etude sur le comportement des hematies fragilisees par le BMHP.,Germany,Strahlentherapie Sonderb,Strahlentherapie. Sonderbande,0404544,IM,"['Adult', 'Erythrocytes/*drug effects', 'Hemolysis', 'Humans', 'Hydrocarbons, Halogenated/*pharmacology', 'In Vitro Techniques', 'Kinetics', 'Leukemia, Myeloid/blood', 'Liver Cirrhosis/blood', 'Lymphoma, Non-Hodgkin/blood', 'Male', 'Mercury', 'Osmotic Fragility', 'Radioisotopes', 'Radionuclide Imaging', 'Schistosomiasis/blood', 'Spleen', 'Splenectomy', 'Time Factors']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Strahlentherapie Sonderb. 1968;67:472-9.,"['0 (Hydrocarbons, Halogenated)', '0 (Radioisotopes)', 'FXS1BY2PGL (Mercury)']",,,
5252228,NLM,MEDLINE,19690522,20090605,0371-3822 (Print) 0371-3822 (Linking),67,,1968,[Submicroscopic and proliferative-kinetic findings in erythroleukemia].,308-15,"['Chone, B']",['Chone B'],['ger'],['Journal Article'],Submikroskopische und proliferationskinetische Befunde bei Erythroleukamie.,Germany,Strahlentherapie Sonderb,Strahlentherapie. Sonderbande,0404544,IM,"['Aged', 'Autoradiography', 'Bone Marrow Cells', 'Bone Marrow Examination', 'Diagnosis, Differential', 'Erythropoiesis', 'Humans', 'Leukemia, Erythroblastic, Acute/*pathology', 'Male', 'Microscopy, Electron', 'Mitosis', 'Tritium']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Strahlentherapie Sonderb. 1968;67:308-15.,['10028-17-8 (Tritium)'],,,
5252226,NLM,MEDLINE,19690521,20071115,0042-8825 (Print) 0042-8825 (Linking),12,2,1967 Feb,[Some coagulogram indices in children with acute leukemia].,28-33,"['Papaian, A V', 'Alekseev, N A']","['Papaian AV', 'Alekseev NA']",['rus'],['Journal Article'],Nekotorye pokazateli koagulogrammy pri ostrom leikoze u detei.,Russia (Federation),Vopr Okhr Materin Det,Voprosy okhrany materinstva i detstva,0416600,IM,"['Blood Coagulation Disorders/*etiology', 'Blood Coagulation Tests', 'Child', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*blood', 'Male', 'Thrombocytopenia/etiology']",1967/02/01 00:00,1967/02/01 00:01,['1967/02/01 00:00'],"['1967/02/01 00:00 [pubmed]', '1967/02/01 00:01 [medline]', '1967/02/01 00:00 [entrez]']",ppublish,Vopr Okhr Materin Det. 1967 Feb;12(2):28-33.,,,,
5252222,NLM,MEDLINE,19690521,20071115,0027-2973 (Print) 0027-2973 (Linking),110,25,1968 Jun 21,[Rubidomycine. A new antineoplastic antibiotic].,1539-41,"['Soulie, L']",['Soulie L'],['ger'],['Journal Article'],Rubidomycin. Ein neues antitumoral wirksames Antibiotikum.,Germany,Munch Med Wochenschr,Munchener medizinische Wochenschrift (1950),7801802,IM,"['Animals', 'Antibiotics, Antineoplastic/pharmacology/*therapeutic use/toxicity', 'Dogs', 'Hodgkin Disease/drug therapy', 'Humans', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/drug therapy/pathology', 'Leukemia, Myeloid/drug therapy', 'Lymphoma/*drug therapy', 'Neoplasms, Experimental/drug therapy']",1968/06/21 00:00,1968/06/21 00:01,['1968/06/21 00:00'],"['1968/06/21 00:00 [pubmed]', '1968/06/21 00:01 [medline]', '1968/06/21 00:00 [entrez]']",ppublish,Munch Med Wochenschr. 1968 Jun 21;110(25):1539-41.,"['0 (Antibiotics, Antineoplastic)']",,,
5252213,NLM,MEDLINE,19690520,20190727,0040-8727 (Print) 0040-8727 (Linking),96,4,1968 Dec,Serial observations of the fibrous tissue in the bone marrow of hematological disorders.,379-91,"['Amaki, I', 'Takizawa, Y', 'Higo, O', 'Ueki, Y', 'Hagihara, T']","['Amaki I', 'Takizawa Y', 'Higo O', 'Ueki Y', 'Hagihara T']",['eng'],['Journal Article'],,Japan,Tohoku J Exp Med,The Tohoku journal of experimental medicine,0417355,IM,"['Acute Disease', 'Anemia/pathology', 'Anemia, Aplastic/pathology', 'Anemia, Hypochromic/pathology', 'Biopsy', 'Bone Marrow/analysis/*pathology', 'Carcinoma/pathology', 'Chronic Disease', 'Hematologic Diseases/*pathology', 'Hodgkin Disease/pathology', 'Humans', 'Leukemia/*pathology', 'Leukemia, Myeloid/pathology', 'Leukemia, Myeloid, Acute/pathology', 'Primary Myelofibrosis/pathology', 'Purpura/pathology', 'Stomach Neoplasms/pathology']",1968/12/01 00:00,1968/12/01 00:01,['1968/12/01 00:00'],"['1968/12/01 00:00 [pubmed]', '1968/12/01 00:01 [medline]', '1968/12/01 00:00 [entrez]']",ppublish,Tohoku J Exp Med. 1968 Dec;96(4):379-91. doi: 10.1620/tjem.96.379.,,['10.1620/tjem.96.379 [doi]'],,
5252212,NLM,MEDLINE,19690520,20190702,0038-4348 (Print) 0038-4348 (Linking),62,4,1969 Apr,Priapism as the presenting complaint of myelogenous leukemia: case report and review of the physiology of erection and the pathophysiology and treatment of priapism.,465-7,"['Pond, H S']",['Pond HS'],['eng'],['Journal Article'],,United States,South Med J,Southern medical journal,0404522,IM,"['Adult', 'Coitus', 'Humans', 'Leukemia, Myeloid/*complications', 'Male', 'Penis/*physiology', 'Priapism/*complications/physiopathology/therapy']",1969/04/01 00:00,1969/04/01 00:01,['1969/04/01 00:00'],"['1969/04/01 00:00 [pubmed]', '1969/04/01 00:01 [medline]', '1969/04/01 00:00 [entrez]']",ppublish,South Med J. 1969 Apr;62(4):465-7. doi: 10.1097/00007611-196904000-00021.,,['10.1097/00007611-196904000-00021 [doi]'],,
5252201,NLM,MEDLINE,19690520,20190707,0014-4827 (Print) 0014-4827 (Linking),54,3,1969 Mar,The intracellular transport of glycosaminoglycans (mucopolysaccharides) in human leukocytes.,318-25,"['Olsson, I']",['Olsson I'],['eng'],['Journal Article'],,United States,Exp Cell Res,Experimental cell research,0373226,IM,"['*Biological Transport', 'Carbon Isotopes', 'Chondroitin/biosynthesis/*blood', 'Electrophoresis', 'Glucosamine', 'Humans', 'In Vitro Techniques', 'Leukemia, Myeloid/*blood', 'Leukocytes/*metabolism', 'Sulfur Isotopes']",1969/03/01 00:00,1969/03/01 00:01,['1969/03/01 00:00'],"['1969/03/01 00:00 [pubmed]', '1969/03/01 00:01 [medline]', '1969/03/01 00:00 [entrez]']",ppublish,Exp Cell Res. 1969 Mar;54(3):318-25. doi: 10.1016/0014-4827(69)90209-2.,"['0 (Carbon Isotopes)', '0 (Sulfur Isotopes)', '9007-27-6 (Chondroitin)', 'N08U5BOQ1K (Glucosamine)']",['10.1016/0014-4827(69)90209-2 [doi]'],,
5252200,NLM,MEDLINE,19690520,20190501,0007-1161 (Print) 0007-1161 (Linking),53,3,1969 Mar,Retinal abnormalities in diseases of the blood.,145-60,"['Holt, J M', 'Gordon-Smith, E C']","['Holt JM', 'Gordon-Smith EC']",['eng'],['Journal Article'],,England,Br J Ophthalmol,The British journal of ophthalmology,0421041,IM,"['Adult', 'Anemia, Hypochromic/complications', 'Anemia, Pernicious/complications', 'Exudates and Transudates', 'Eye Diseases/etiology', 'Female', 'Fundus Oculi', 'Hematologic Diseases/*complications', 'Hemoglobinometry', 'Humans', 'Leukemia/complications', 'Leukemia, Myeloid/complications', 'Leukocyte Count', 'Male', 'Multiple Myeloma/complications', '*Retina', 'Retinal Hemorrhage/*etiology', 'Retinal Vessels']",1969/03/01 00:00,1969/03/01 00:01,['1969/03/01 00:00'],"['1969/03/01 00:00 [pubmed]', '1969/03/01 00:01 [medline]', '1969/03/01 00:00 [entrez]']",ppublish,Br J Ophthalmol. 1969 Mar;53(3):145-60. doi: 10.1136/bjo.53.3.145.,,['10.1136/bjo.53.3.145 [doi]'],PMC1207164,
