PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,AB,PMC,AID,TT,OID,OAB,OABL,OTO,OT,GN,EIN
4333744,NLM,MEDLINE,19720419,20190714,0042-6822 (Print) 0042-6822 (Linking),47,2,1972 Feb,C-type virus particles produced by normal mouse spleen-thymus cultures.,521-4,"['Naso, R B', 'Vidrine, J B', 'Wang, C S', 'Arlinglaus, R B']","['Naso RB', 'Vidrine JB', 'Wang CS', 'Arlinglaus RB']",['eng'],['Journal Article'],United States,Virology,Virology,0110674,"['0 (DNA, Viral)', '0 (Dextrans)', '0 (Glycols)', '0 (RNA, Viral)', '0 (Sulfates)', '10028-17-8 (Tritium)', '57-50-1 (Sucrose)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'WHI7HQ7H85 (Uridine)']",IM,"['Animals', 'Cell Line/*microbiology', 'Centrifugation, Density Gradient', 'Chemical Precipitation', 'Culture Techniques', 'DNA Nucleotidyltransferases/metabolism', 'DNA, Viral/biosynthesis', 'Dextrans', 'Glycols', 'Hot Temperature', 'Leukemia Virus, Murine/*analysis/enzymology/metabolism', 'Mice', 'Mice, Inbred Strains', 'Microscopy, Electron', 'RNA, Viral/*analysis/isolation & purification', 'Spleen', 'Sucrose', 'Sulfates', 'Thymus Gland', 'Tritium', 'Uridine']",,1972/02/01 00:00,1972/02/01 00:01,['1972/02/01 00:00'],"['1972/02/01 00:00 [pubmed]', '1972/02/01 00:01 [medline]', '1972/02/01 00:00 [entrez]']",ppublish,Virology. 1972 Feb;47(2):521-4. doi: 10.1016/0042-6822(72)90293-0.,,,"['0042-6822(72)90293-0 [pii]', '10.1016/0042-6822(72)90293-0 [doi]']",,,,,,,,
4333721,NLM,MEDLINE,19720419,20041117,0027-8874 (Print) 0027-8874 (Linking),46,5,1971 May,Demonstration of differences in murine sarcoma virus foci formed in mouse and rat cells under a soft agar overlay.,1001-7,"['Levy, J A']",['Levy JA'],['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,['9002-18-0 (Agar)'],IM,"['Agar', 'Animals', 'Cell Line', '*Cell Transformation, Neoplastic', '*Culture Techniques', 'Gammaretrovirus/*growth & development', 'Helper Viruses', 'Kinetics', 'Methods', 'Mice', 'Moloney murine leukemia virus/*growth & development', 'Rats', 'Sarcoma, Experimental/*microbiology', 'Virus Cultivation']",,1971/05/01 00:00,1971/05/01 00:01,['1971/05/01 00:00'],"['1971/05/01 00:00 [pubmed]', '1971/05/01 00:01 [medline]', '1971/05/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1971 May;46(5):1001-7.,,,,,,,,,,,
4333716,NLM,MEDLINE,19720419,20131121,0022-1317 (Print) 0022-1317 (Linking),13,2,1971 Nov,Isolation of helper viruses from preparations of hamster-specific sarcoma viruses.,289-94,"['Kelloff, G J', 'Huebner, R J', 'Gilden, R V']","['Kelloff GJ', 'Huebner RJ', 'Gilden RV']",['eng'],['Journal Article'],England,J Gen Virol,The Journal of general virology,0077340,"['0 (Antigens, Viral)', '10028-17-8 (Tritium)', 'WHI7HQ7H85 (Uridine)']",IM,"['Animals', 'Antigen-Antibody Reactions', 'Antigens, Viral/analysis', 'Cell Transformation, Neoplastic', 'Cells, Cultured/microbiology', 'Clone Cells', 'Cricetinae/*embryology', 'Culture Techniques', 'Fibroblasts/microbiology', 'Gammaretrovirus/immunology/*isolation & purification', 'Helper Viruses/isolation & purification', 'Methods', 'Moloney murine leukemia virus/immunology', 'Tritium', 'Uridine', 'Virus Replication']",,1971/11/01 00:00,1971/11/01 00:01,['1971/11/01 00:00'],"['1971/11/01 00:00 [pubmed]', '1971/11/01 00:01 [medline]', '1971/11/01 00:00 [entrez]']",ppublish,J Gen Virol. 1971 Nov;13(2):289-94. doi: 10.1099/0022-1317-13-2-289.,,,['10.1099/0022-1317-13-2-289 [doi]'],,,,,,,,
4333712,NLM,MEDLINE,19720419,20041117,0022-1317 (Print) 0022-1317 (Linking),13,2,1971 Nov,Characterization of murine sarcoma virus (Kirsten) transformation of mouse and human cells.,245-52,"['Aaronson, S A', 'Weaver, C A']","['Aaronson SA', 'Weaver CA']",['eng'],['Journal Article'],England,J Gen Virol,The Journal of general virology,0077340,['0 (Culture Media)'],IM,"['Animals', 'Cell Line', '*Cell Transformation, Neoplastic', 'Clone Cells', 'Culture Media', 'Culture Techniques', 'Fibroblasts/microbiology', 'Helper Viruses/isolation & purification', 'Humans', 'Kidney', 'Leukemia Virus, Murine/*growth & development', 'Mice', 'Moloney murine leukemia virus/*growth & development', 'Rats', 'Skin', 'Virus Cultivation', 'Virus Replication']",,1971/11/01 00:00,1971/11/01 00:01,['1971/11/01 00:00'],"['1971/11/01 00:00 [pubmed]', '1971/11/01 00:01 [medline]', '1971/11/01 00:00 [entrez]']",ppublish,J Gen Virol. 1971 Nov;13(2):245-52. doi: 10.1099/0022-1317-13-2-245.,,,['10.1099/0022-1317-13-2-245 [doi]'],,,,,,,,
4333695,NLM,MEDLINE,19720419,20190623,0006-2952 (Print) 0006-2952 (Linking),21,1,1972 Jan,Production of L-asparagine by tumor cells and the effect of asparagine analogs.,39-48,"['Chou, T C', 'Handschumacher, R E']","['Chou TC', 'Handschumacher RE']",['eng'],['Journal Article'],England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Amino Acids)', '0 (Azo Compounds)', '0 (Carbon Isotopes)', '0RH81L854J (Glutamine)', '30KYC7MIAI (Aspartic Acid)', '4R7X1O2820 (Chlorine)', '7006-34-0 (Asparagine)', 'EC 3.5.1.1 (Asparaginase)', 'SBV4XY874G (Bromine)']",IM,"['Amino Acids/pharmacology', 'Animals', 'Asparaginase/pharmacology', 'Asparagine/*biosynthesis', 'Aspartic Acid/biosynthesis', 'Azo Compounds/pharmacology', 'Bromine/pharmacology', 'Carbon Isotopes', 'Carcinoma, Hepatocellular/enzymology/metabolism', 'Chlorine/pharmacology', 'Glutamine/pharmacology', 'Kinetics', 'Leukemia, Experimental/enzymology/metabolism', 'Liver Neoplasms/enzymology/metabolism', 'Lymphoma, Non-Hodgkin/enzymology/metabolism', 'Mast Cells/enzymology/metabolism', 'Mice', 'Mice, Inbred Strains', 'Neoplasms, Experimental/*metabolism', 'Rats', 'Rats, Inbred Strains', 'Sarcoma 180/enzymology/metabolism']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Biochem Pharmacol. 1972 Jan;21(1):39-48. doi: 10.1016/0006-2952(72)90248-1.,,,"['0006-2952(72)90248-1 [pii]', '10.1016/0006-2952(72)90248-1 [doi]']",,,,,,,,
4333637,NLM,MEDLINE,19720418,20051117,0002-9645 (Print) 0002-9645 (Linking),33,1,1972 Jan,Marek's disease herpesvirus: growth and detection in vivo and in vitro.,171-5,"['Esposito, J', 'Lukert, P D', 'Eidson, C S']","['Esposito J', 'Lukert PD', 'Eidson CS']",['eng'],['Journal Article'],United States,Am J Vet Res,American journal of veterinary research,0375011,"['0 (Antigens, Viral)']",IM,"['Animals', 'Antigens, Viral/analysis', 'Avian Leukosis/*microbiology', 'Cats', 'Cattle', 'Cell Line', 'Chick Embryo', 'Chickens', 'Cricetinae', 'Fibroblasts', 'Fluorescent Antibody Technique', 'Haplorhini', 'Herpesviridae/growth & development/immunology/*isolation & purification', 'Humans', 'Kidney', 'Peripheral Nervous System Diseases', 'Poultry Diseases/*microbiology', 'Rats', 'Skin', 'Virus Cultivation']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Am J Vet Res. 1972 Jan;33(1):171-5.,,,,,,,,,,,
4333572,NLM,MEDLINE,19720415,20190714,0042-6822 (Print) 0042-6822 (Linking),47,1,1972 Jan,Detection and assay of feline leukemia virus (FeLV) by a mixed-culture cytopathogenicity method.,247-50,"['Rangan, S R', 'Moyer, P P', 'Cheong, M P', 'Jensen, E M']","['Rangan SR', 'Moyer PP', 'Cheong MP', 'Jensen EM']",['eng'],['Journal Article'],United States,Virology,Virology,0110674,"['0 (Culture Media)', '0 (Immune Sera)']",IM,"['Animals', 'Avian Sarcoma Viruses', 'Cell Line', 'Cells, Cultured/cytology', 'Complement Fixation Tests', 'Culture Media', '*Culture Techniques', '*Cytopathogenic Effect, Viral', 'Dogs', 'Fibrosarcoma', 'Guinea Pigs', 'Immune Sera', 'Immunodiffusion', 'Methods', 'Neoplasms, Experimental', 'Rabbits', 'Rats', 'Retroviridae/immunology/*isolation & purification/pathogenicity']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Virology. 1972 Jan;47(1):247-50. doi: 10.1016/0042-6822(72)90258-9.,,,"['0042-6822(72)90258-9 [pii]', '10.1016/0042-6822(72)90258-9 [doi]']",,,,,,,,
4333571,NLM,MEDLINE,19720415,20190714,0042-6822 (Print) 0042-6822 (Linking),47,1,1972 Jan,Early stimulation of DNA synthesis in chicken fibroblasts infected by avian myeloblastosis virus.,244-6,"['Harel, J', 'Lacour, F', 'Huynh, T']","['Harel J', 'Lacour F', 'Huynh T']",['eng'],['Journal Article'],United States,Virology,Virology,0110674,"['0 (Chlorides)', '0 (Culture Media)', '10028-17-8 (Tritium)', '1KSV9V4Y4I (Cesium)', '9007-49-2 (DNA)', 'EC 3.1.- (Ribonucleases)', 'VC2W18DGKR (Thymidine)']",IM,"['Animals', 'Avian Leukosis/blood', '*Avian Leukosis Virus', 'Cell Nucleus/metabolism', 'Cells, Cultured/metabolism', 'Centrifugation, Density Gradient', 'Cesium', 'Chick Embryo', 'Chickens', 'Chlorides', 'Culture Media', 'DNA/*biosynthesis/isolation & purification', 'Fibroblasts/*metabolism', 'Microscopy, Electron', 'Ribonucleases', 'Thymidine/metabolism', 'Time Factors', 'Tritium']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Virology. 1972 Jan;47(1):244-6. doi: 10.1016/0042-6822(72)90257-7.,,,"['0042-6822(72)90257-7 [pii]', '10.1016/0042-6822(72)90257-7 [doi]']",,,,,,,,
4333569,NLM,MEDLINE,19720415,20190714,0042-6822 (Print) 0042-6822 (Linking),47,1,1972 Jan,Detection of some murine leukemia virus antigens in virus particles derived from 3T3 cells transformed only by murine sarcoma virus.,229-35,"['Fischinger, P J', 'Schaefer, W', 'Seifert, E']","['Fischinger PJ', 'Schaefer W', 'Seifert E']",['eng'],['Journal Article'],United States,Virology,Virology,0110674,"['0 (Antigens)', '0 (Antigens, Viral)', '0 (Immune Sera)', '57-50-1 (Sucrose)', '9002-18-0 (Agar)']",IM,"['Agar', 'Animals', 'Antigens/*isolation & purification', 'Antigens, Viral/analysis/isolation & purification', 'Cell Line/*immunology', '*Cell Transformation, Neoplastic', 'Centrifugation, Density Gradient', 'Complement Fixation Tests', 'Erythrocytes/immunology', '*Gammaretrovirus', 'Helper Viruses/immunology', 'Hemagglutination Tests', 'Immune Sera', 'Immunodiffusion', 'Leukemia Virus, Murine/*immunology', 'Mice', 'Rabbits', 'Sheep', 'Sucrose']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Virology. 1972 Jan;47(1):229-35. doi: 10.1016/0042-6822(72)90254-1.,,,['10.1016/0042-6822(72)90254-1 [doi]'],,,,,,,,
4333568,NLM,MEDLINE,19720415,20190714,0042-6822 (Print) 0042-6822 (Linking),47,1,1972 Jan,Structural proteins of Rauscher leukemia virus and Harvey sarcoma virus.,1-7,"['Moroni, C']",['Moroni C'],['eng'],['Journal Article'],United States,Virology,Virology,0110674,"['0 (Amino Acids)', '0 (Antigens, Viral)', '0 (Carbon Isotopes)', '0 (Glycoproteins)', '0 (Immune Sera)', '0 (Viral Proteins)', '10028-17-8 (Tritium)', '94ZLA3W45F (Arginine)', 'GMW67QNF9C (Leucine)', 'N08U5BOQ1K (Glucosamine)']",IM,"['Amino Acids', 'Animals', 'Antigens, Viral/analysis', 'Arginine/analysis', 'Carbon Isotopes', 'Electrophoresis, Disc', 'Gammaretrovirus/*analysis/immunology', 'Glucosamine/analysis', 'Glycoproteins/analysis', 'Immune Sera', 'Leucine', 'Mice', 'Precipitin Tests', 'Rabbits', 'Rauscher Virus/*analysis/immunology', 'Species Specificity', 'Tritium', 'Viral Proteins/*analysis/isolation & purification']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Virology. 1972 Jan;47(1):1-7. doi: 10.1016/0042-6822(72)90232-2.,,,"['0042-6822(72)90232-2 [pii]', '10.1016/0042-6822(72)90232-2 [doi]']",,,,,,,,
4333567,NLM,MEDLINE,19720415,20191210,0042-6822 (Print) 0042-6822 (Linking),47,1,1972 Jan,Properties of mouse leukemia viruses. I. Characterization of various antisera and serological identification of viral components.,197-209,"['Schafer, W', 'Fischinger, P J', 'Lange, J', 'Pister, L']","['Schafer W', 'Fischinger PJ', 'Lange J', 'Pister L']",['eng'],['Journal Article'],United States,Virology,Virology,0110674,"['0 (Antibodies)', '0 (Antigens)', '0 (Antigens, Viral)', '0 (Immune Sera)', '57-50-1 (Sucrose)']",IM,"['AKR murine leukemia virus/*immunology/isolation & purification', 'Animals', 'Antibodies/analysis', 'Antigens/*analysis', 'Antigens, Viral/analysis', 'Centrifugation, Density Gradient', 'Chromatography, Ion Exchange', 'Complement Fixation Tests', 'Electrophoresis, Disc', 'Friend murine leukemia virus/*immunology/isolation & purification', 'Haplorhini', 'Hemagglutination Tests', 'Immune Sera', 'Immunodiffusion', 'L Cells', 'Leukemia Virus, Murine/*immunology', 'Macaca', 'Mice', 'Neutralization Tests', 'Rabbits', 'Rats', 'Rauscher Virus/*immunology/isolation & purification', 'Serotyping', 'Sucrose', 'Virus Cultivation']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Virology. 1972 Jan;47(1):197-209. doi: 10.1016/0042-6822(72)90252-8.,,,"['0042-6822(72)90252-8 [pii]', '10.1016/0042-6822(72)90252-8 [doi]']",,,,,,,,
4333559,NLM,MEDLINE,19720415,20041117,0047-1860 (Print) 0047-1860 (Linking),19,,1971 Aug,[Detection of Australia antigen by single radial diffusion method].,Suppl:463,"['Mukojima, T', 'Taguchi, T', 'Hattori, S', 'Nakayama, N', 'Sawabe, T']","['Mukojima T', 'Taguchi T', 'Hattori S', 'Nakayama N', 'Sawabe T']",['jpn'],['Journal Article'],Japan,Rinsho Byori,Rinsho byori. The Japanese journal of clinical pathology,2984781R,['0 (Hepatitis B Antigens)'],IM,"['Carcinoma, Hepatocellular/immunology', 'Hepatitis/immunology', 'Hepatitis B Antigens', 'Hepatitis B virus/*immunology', 'Humans', '*Immunodiffusion', 'Leukemia/immunology', 'Liver Neoplasms/immunology', 'Lymphoma/immunology']",,1971/08/01 00:00,1971/08/01 00:01,['1971/08/01 00:00'],"['1971/08/01 00:00 [pubmed]', '1971/08/01 00:01 [medline]', '1971/08/01 00:00 [entrez]']",ppublish,Rinsho Byori. 1971 Aug;19:Suppl:463.,,,,,,,,,,,
4333539,NLM,MEDLINE,19720415,20200724,0022-538X (Print) 0022-538X (Linking),9,1,1972 Jan,RNA-dependent DNA polymerase activity of RNA tumor viruses. II. Directing influence of RNA in the reaction.,130-42,"['Leis, J P', 'Hurwitz, J']","['Leis JP', 'Hurwitz J']",['eng'],['Journal Article'],United States,J Virol,Journal of virology,0113724,"['0 (DNA, Viral)', '0 (Deoxyribonucleotides)', '0 (Phosphorus Isotopes)', '0 (Polynucleotides)', '0 (RNA, Viral)', '0 (Sulfates)', '10028-17-8 (Tritium)', '1HG84L3525 (Formaldehyde)', '1KSV9V4Y4I (Cesium)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 3.1.- (Ribonucleases)', 'I38ZP9992A (Magnesium)']",IM,"['Avian Leukosis Virus/*enzymology/metabolism', 'Cell-Free System', 'Centrifugation, Density Gradient', 'Cesium', 'DNA Nucleotidyltransferases/isolation & purification/*metabolism', 'DNA, Viral/biosynthesis', 'Deoxyribonucleotides/metabolism', 'Formaldehyde', 'Genetics, Microbial', 'Hot Temperature', 'Magnesium', 'Phosphorus Isotopes', 'Polynucleotides/metabolism', 'RNA, Viral/isolation & purification/*metabolism', 'Rauscher Virus/*enzymology/metabolism', 'Ribonucleases/isolation & purification/metabolism', 'Species Specificity', 'Sulfates', 'Templates, Genetic', 'Tritium']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,J Virol. 1972 Jan;9(1):130-42. doi: 10.1128/JVI.9.1.130-142.1972.,"The role of ribonucleic acid (RNA) in deoxyribonucleic acid (DNA) synthesis with the purified DNA polymerase from the avian myeloblastosis virus has been studied. The polymerase catalyzes the synthesis of DNA in the presence of four deoxynucleoside triphosphates, Mg(2+), and a variety of RNA templates including those isolated from avian myeloblastosis, Rous sarcoma, and Rauscher leukemia viruses; phages f2, MS2, and Qbeta; and synthetic homopolymers such as polyadenylate.polyuridylic acid. The enzyme does not initiate the synthesis of new chains but incorporates deoxynucleotides at 3' hydroxyl ends of primer strands. The product is an RNA.DNA hybrid in which the two polynucleotide components are covalently linked. Free DNA has not been detected among the products formed with the purified enzyme in vitro. The DNA synthesized with avian myeloblastosis virus RNA after alkaline hydrolysis has a sedimentation coefficient of 6 to 7S.",PMC356271,['10.1128/JVI.9.1.130-142.1972 [doi]'],,,,,,,,
4333538,NLM,MEDLINE,19720415,20200724,0022-538X (Print) 0022-538X (Linking),9,1,1972 Jan,RNA-dependent DNA polymerase activity of RNA tumor viruses. I. Directing influence of DNA in the reaction.,116-29,"['Hurwitz, J', 'Leis, J P']","['Hurwitz J', 'Leis JP']",['eng'],['Journal Article'],United States,J Virol,Journal of virology,0113724,"['0 (DNA, Viral)', '0 (Deoxyribonucleotides)', '0 (Phosphorus Isotopes)', '0 (RNA, Viral)', '0 (Thymine Nucleotides)', '10028-17-8 (Tritium)', '8L70Q75FXE (Adenosine Triphosphate)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 3.1.- (Deoxyribonucleases)', 'VC2W18DGKR (Thymidine)']",IM,"['Adenosine Triphosphate/metabolism', 'Animals', 'Avian Leukosis Virus/*enzymology', 'Cattle', 'Centrifugation, Density Gradient', 'Chromatography, Ion Exchange', 'DNA Nucleotidyltransferases/isolation & purification/*metabolism', 'DNA, Viral/biosynthesis/*metabolism', 'Deoxyribonucleases', 'Deoxyribonucleotides/metabolism', 'Genetics, Microbial', 'Hot Temperature', 'Micrococcus/enzymology', 'Models, Chemical', 'Neurospora/enzymology', 'Pancreas/enzymology', 'Phosphorus Isotopes', 'RNA, Viral/*metabolism', 'Rauscher Virus/*enzymology', 'Templates, Genetic', 'Thymidine/metabolism', 'Thymine Nucleotides/metabolism', 'Tritium', 'Ultracentrifugation', 'Vibration']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,J Virol. 1972 Jan;9(1):116-29. doi: 10.1128/JVI.9.1.116-129.1972.,"The template requirements and deoxyribonucleic acid (DNA) products of the DNA polymerases isolated from Rauscher leukemia and avian myeloblastosis viruses have been examined. All DNA preparations or synthetic polydeoxynucleotides which are active as primers possess a duplex structure containing single-stranded regions with a 3'-hydroxyl terminus. Native DNA and fully single-stranded DNA are inactive; moreover, their activity is not enhanced by sonic oscillation or treatment with micrococcal nuclease, Neurospora nuclease, or low levels of deoxyribonuclease I. Poor DNA templates are activated by treatment with exonuclease III, large amounts of deoxyribonuclease I, or an endonuclease isolated from Rauscher viral preparations. In reactions primed with deoxyadenylate-deoxythymidylate copolymer, the product formed is covalently attached to primer strands, indicating that no new strands are initiated. DNA polymerase products formed with exonuclease III- or deoxyribonuclase I-treated DNA are duplex structures. Short single-stranded regions are completely filled in, whereas long single-stranded regions are only partly repaired. DNA preparations containing extensive single-stranded regions are poorly utilized as templates.",PMC356270,['10.1128/JVI.9.1.116-129.1972 [doi]'],,,,,,,,
4333537,NLM,MEDLINE,19720415,20200724,0022-538X (Print) 0022-538X (Linking),9,1,1972 Jan,Immunological relationships of reverse transcriptases from ribonucleic acid tumor viruses.,110-5,"['Parks, W P', 'Scolnick, E M', 'Ross, J', 'Todaro, G J', 'Aaronson, S A']","['Parks WP', 'Scolnick EM', 'Ross J', 'Todaro GJ', 'Aaronson SA']",['eng'],['Journal Article'],United States,J Virol,Journal of virology,0113724,"['0 (Immune Sera)', '0 (Immunoglobulin G)', '0 (Prions)', '0 (Thymine Nucleotides)', '10028-17-8 (Tritium)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)']",IM,"['Animals', 'Antibody Specificity', 'Avian Sarcoma Viruses/*enzymology/immunology', 'Cell-Free System', 'Chromatography, Gel', 'Chromatography, Ion Exchange', 'Cross Reactions', 'DNA Nucleotidyltransferases/isolation & purification/*metabolism', 'Immune Sera', 'Immunoglobulin G', 'Leukemia Virus, Murine/enzymology', 'Oncogenic Viruses/*enzymology/immunology', 'Prions/*enzymology/immunology', 'RNA Viruses/*enzymology/immunology', 'Rabbits', 'Species Specificity', 'Templates, Genetic', 'Thymine Nucleotides/metabolism', 'Tritium']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,J Virol. 1972 Jan;9(1):110-5. doi: 10.1128/JVI.9.1.110-115.1972.,Antiserum to partially purified reverse transcriptase from the Schmidt-Ruppin strain of Rous sarcoma virus has been prepared and characterized. Antibody to the avian polymerase inhibited the reverse transcriptase activity of avian C-type viruses but had no effect on the polymerase activity from C-type viruses of other classes. The known mammalian C-type viral polymerases were significantly inhibited only by the antiserum to murine C-type viral polymerases; reverse transcriptases from four other mammalian viruses were immunologically distinct from both avian and mammalian C-type viral polymerases. Partially purified murine leukemia viral DNA polymerase activity was comparably reduced by specific antibody regardless of the template used for enzyme detection.,PMC356269,['10.1128/JVI.9.1.110-115.1972 [doi]'],,,,,,,,
4333494,NLM,MEDLINE,19720413,20131121,0008-5472 (Print) 0008-5472 (Linking),32,2,1972 Feb,The clinical pharmacology of 5-trifluoromethyl-2'-deoxyuridine.,247-53,"['Dexter, D L', 'Wolberg, W H', 'Ansfield, F J', 'Helson, L', 'Heidelberger, C']","['Dexter DL', 'Wolberg WH', 'Ansfield FJ', 'Helson L', 'Heidelberger C']",['eng'],"['Clinical Trial', 'Journal Article']",United States,Cancer Res,Cancer research,2984705R,"['0 (Antineoplastic Agents)', '0 (Carbon Isotopes)', '0 (Nucleosides)', '142M471B3J (Carbon Dioxide)', '56HH86ZVCT (Uracil)', 'Q80VPU408O (Fluorides)']",IM,"['Adult', 'Aged', 'Antineoplastic Agents/*metabolism/pharmacology/urine', 'Carbon Dioxide/analysis', 'Carbon Isotopes', 'Carcinoma, Hepatocellular/urine', 'Clinical Trials as Topic', 'Female', 'Fibrosarcoma/urine', 'Fluorides/urine', 'Half-Life', 'Hodgkin Disease/urine', 'Humans', 'Leukemia/urine', 'Liver Neoplasms', 'Male', 'Middle Aged', 'Neuroblastoma/urine', 'Nucleosides/administration & dosage/blood/*metabolism/pharmacology/urine', 'Retinoblastoma/urine', 'Uracil/administration & dosage/blood/*metabolism/pharmacology/urine']",,1972/02/01 00:00,1972/02/01 00:01,['1972/02/01 00:00'],"['1972/02/01 00:00 [pubmed]', '1972/02/01 00:01 [medline]', '1972/02/01 00:00 [entrez]']",ppublish,Cancer Res. 1972 Feb;32(2):247-53.,,,,,,,,,,,
4333493,NLM,MEDLINE,19720413,20091027,0008-5472 (Print) 0008-5472 (Linking),32,2,1972 Feb,Detection of virus-associated antigen on membranes of cells productively infected with Marek's disease herpesvirus.,187-92,"['Ahmed, M', 'Schidlovsky, G']","['Ahmed M', 'Schidlovsky G']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antigen-Antibody Complex)', '0 (Antigens)', '0 (Antigens, Viral)']",IM,"['Animals', 'Antigen-Antibody Complex', 'Antigens/*analysis', 'Antigens, Viral/analysis', 'Avian Leukosis/*microbiology', 'Cell Membrane/*immunology', 'Cells, Cultured/microbiology', 'Chickens', 'Fluorescent Antibody Technique', 'Herpesviridae/*immunology/pathogenicity', 'Kidney Neoplasms/microbiology', 'Microscopy, Electron', 'Peripheral Nervous System Diseases/microbiology', 'Poultry Diseases/microbiology', 'Satellite Viruses/immunology']",,1972/02/01 00:00,1972/02/01 00:01,['1972/02/01 00:00'],"['1972/02/01 00:00 [pubmed]', '1972/02/01 00:01 [medline]', '1972/02/01 00:00 [entrez]']",ppublish,Cancer Res. 1972 Feb;32(2):187-92.,,,,,,,,,,,
4333481,NLM,MEDLINE,19720413,20071115,0006-2324 (Print) 0006-2324 (Linking),14,3,1971 Sep,Temperature sensitive growth of a herpes type virus isolated from a chicken with Marek's disease.,357-60,"['Onoda, T', 'Konobe, T', 'Takaku, K', 'Naito, M', 'Ono, K']","['Onoda T', 'Konobe T', 'Takaku K', 'Naito M', 'Ono K']",['eng'],['Journal Article'],Japan,Biken J,Biken journal,0373117,,IM,"['Animals', 'Avian Leukosis/*microbiology', 'Cell Line', 'Chickens', 'Embryo, Nonmammalian', 'Fibroblasts', 'Herpesviridae/growth & development/*isolation & purification', 'Microscopy, Fluorescence', 'Peripheral Nervous System Diseases/microbiology/veterinary', 'Poultry', 'Poultry Diseases/microbiology', 'Temperature', 'Time Factors', 'Virus Cultivation']",,1971/09/01 00:00,1971/09/01 00:01,['1971/09/01 00:00'],"['1971/09/01 00:00 [pubmed]', '1971/09/01 00:01 [medline]', '1971/09/01 00:00 [entrez]']",ppublish,Biken J. 1971 Sep;14(3):357-60.,,,,,,,,,,,
