PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PS,FPS,TT,RN,RF,PMC,GR,OID
4884354,NLM,MEDLINE,19690318,20190618,0036-8075 (Print) 0036-8075 (Linking),162,3853,1968 Nov 1,Mutant Sl alleles of mice affect susceptibility to Friend spleen focus-forming virus.,564-5,"Mice of genotypes S1/S1(d), S1/+, and S1(d)/+ (but not S1(T)/S1(T) or S1(T)/+) were resistant to spleen focucs-forming virus. The ""environment"" in which hemopoietic target cells for this virus develop was not conducive for infection or focus formation, or both, but the target cells were not altered directly. The same genes appear to regulate hemopoiesis and leukemogenic transformation.","['Bennett, M', 'Steeves, R A', 'Cudkowicz, G', 'Mirand, E A', 'Russell, L B']","['Bennett M', 'Steeves RA', 'Cudkowicz G', 'Mirand EA', 'Russell LB']",['eng'],['Journal Article'],United States,Science,"Science (New York, N.Y.)",0404511,IM,"['*Alleles', 'Animals', 'Bone Marrow Transplantation', 'Cell Transformation, Neoplastic', 'Female', 'Friend murine leukemia virus/*pathogenicity', 'Genotype', 'Hematocrit', 'Hematopoiesis', 'Leukemia, Experimental/etiology', 'Male', 'Mice', '*Mutation', 'Spleen/*microbiology']",1968/11/01 00:00,1968/11/01 00:01,['1968/11/01 00:00'],"['1968/11/01 00:00 [pubmed]', '1968/11/01 00:01 [medline]', '1968/11/01 00:00 [entrez]']",['10.1126/science.162.3853.564 [doi]'],ppublish,Science. 1968 Nov 1;162(3853):564-5. doi: 10.1126/science.162.3853.564.,,,,,,,,
4804287,NLM,MEDLINE,19750329,20181113,0306-9443 (Print) 0306-9443 (Linking),1,,1973 Aug,Role of immunity in therapy of human cancer. Discussion.,299-308,,,,['eng'],['Journal Article'],England,Br J Cancer Suppl,The British journal of cancer. Supplement,7506975,IM,"['Animals', 'Antibodies, Neoplasm/analysis', 'BCG Vaccine', 'Chorionic Gonadotropin', 'Cytotoxicity Tests, Immunologic', 'Graft Rejection', 'Histocompatibility Antigens', 'Humans', 'Immune Sera', 'Immunization', 'Immunotherapy', 'Lectins', 'Leukemia/immunology', 'Lymphocytes/immunology', 'Neoplasms/*therapy', 'Nitrobenzenes']",1973/08/01 00:00,1973/08/01 00:01,['1973/08/01 00:00'],"['1973/08/01 00:00 [pubmed]', '1973/08/01 00:01 [medline]', '1973/08/01 00:00 [entrez]']",,ppublish,Br J Cancer Suppl. 1973 Aug;1:299-308.,,,,"['0 (Antibodies, Neoplasm)', '0 (BCG Vaccine)', '0 (Chorionic Gonadotropin)', '0 (Histocompatibility Antigens)', '0 (Immune Sera)', '0 (Lectins)', '0 (Nitrobenzenes)']",,PMC2149045,,
4804271,NLM,MEDLINE,19750419,20041117,0007-0947 (Print) 0007-0947 (Linking),27,11,1973 Nov,The use of the Syrijet to attain local anaesthesia in children with acute leukaemia.,415-6,,"['Mott, M G', 'Stevenson, P A']","['Mott MG', 'Stevenson PA']",['eng'],['Journal Article'],England,Br J Clin Pract,The British journal of clinical practice,0372546,IM,"['Acute Disease', 'Anesthesia, Local/*instrumentation', 'Bone Marrow Examination', 'Child', 'Child, Preschool', 'Humans', 'Infant', 'Injections, Jet/*instrumentation', '*Leukemia', 'Spinal Puncture']",1973/11/01 00:00,1973/11/01 00:01,['1973/11/01 00:00'],"['1973/11/01 00:00 [pubmed]', '1973/11/01 00:01 [medline]', '1973/11/01 00:00 [entrez]']",,ppublish,Br J Clin Pract. 1973 Nov;27(11):415-6.,,,,,,,,
4804051,NLM,MEDLINE,19750310,20041117,0038-5409 (Print) 0038-5409 (Linking),7,1,1973 Jul,Chromosomes in the chronic reticulosis of the pavian Papio hamadryas.,115-22,,"['Markaryan, D S', 'Lain, B A', 'Yakovleva, L A']","['Markaryan DS', 'Lain BA', 'Yakovleva LA']",['eng'],['Journal Article'],United States,Sov Genet,Soviet genetics,0063413,IM,"['Aneuploidy', 'Animals', 'Bone Marrow/ultrastructure', 'Bone Marrow Cells', 'Cells, Cultured', 'Chromatids', 'Chromosome Aberrations', '*Chromosomes', 'Chronic Disease', 'Clone Cells', 'Female', 'Karyotyping', 'Leukemia/genetics/*veterinary', 'Lymphocytes/ultrastructure', 'Monkey Diseases/*genetics', 'Mutation', '*Papio', 'Spleen/ultrastructure', 'Translocation, Genetic']",1973/07/01 00:00,1973/07/01 00:01,['1973/07/01 00:00'],"['1973/07/01 00:00 [pubmed]', '1973/07/01 00:01 [medline]', '1973/07/01 00:00 [entrez]']",,ppublish,Sov Genet. 1973 Jul;7(1):115-22.,,,,,,,,
4803989,NLM,MEDLINE,19750310,20190903,0080-0015 (Print) 0080-0015 (Linking),43,,1973,Cytologic diagnosis of leukemias by electron microscopy.,63-70,,"['Bessis, M']",['Bessis M'],['eng'],['Journal Article'],Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,IM,"['Cell Line', 'Cell Nucleus/ultrastructure', '*Cytodiagnosis', 'Golgi Apparatus/ultrastructure', 'Humans', 'Leukemia/*diagnosis', 'Leukocytes/*ultrastructure', 'Microscopy, Electron', 'Mitochondria/ultrastructure', 'Mosaicism', 'Organoids/ultrastructure']",1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",['10.1007/978-3-642-80776-3_10 [doi]'],ppublish,Recent Results Cancer Res. 1973;43:63-70. doi: 10.1007/978-3-642-80776-3_10.,,,,,,,,
4803988,NLM,MEDLINE,19750310,20190903,0080-0015 (Print) 0080-0015 (Linking),43,,1973,The analysis of clinical trails in leukaemia.,126-32,,"['Pike, M C']",['Pike MC'],['eng'],['Journal Article'],Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,IM,"['Evaluation Studies as Topic/*methods', 'Follow-Up Studies', 'Humans', 'Leukemia/*therapy', 'Remission, Spontaneous', 'Statistics as Topic']",1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",['10.1007/978-3-642-80776-3_22 [doi]'],ppublish,Recent Results Cancer Res. 1973;43:126-32. doi: 10.1007/978-3-642-80776-3_22.,,,,,,,,
4803987,NLM,MEDLINE,19750310,20190903,0080-0015 (Print) 0080-0015 (Linking),43,,1973,Attempts at standardization of methods and expression of results.,121-5,,"['Bergsagel, D E', 'Cowan, D H']","['Bergsagel DE', 'Cowan DH']",['eng'],['Journal Article'],Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,IM,"['Acute Disease', 'Antineoplastic Agents/*adverse effects/*therapeutic use', 'Evaluation Studies as Topic/*methods', 'Humans', 'Leukemia/*drug therapy/mortality', 'Remission, Spontaneous', 'Time Factors']",1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",['10.1007/978-3-642-80776-3_21 [doi]'],ppublish,Recent Results Cancer Res. 1973;43:121-5. doi: 10.1007/978-3-642-80776-3_21.,,,,['0 (Antineoplastic Agents)'],,,,
4803986,NLM,MEDLINE,19750310,20190903,0080-0015 (Print) 0080-0015 (Linking),43,,1973,Problems in the evaluation of long-term results.,113-21,,"['Karon, M']",['Karon M'],['eng'],['Journal Article'],Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,IM,"['Antineoplastic Agents/*therapeutic use', 'Drug Evaluation/*methods', 'Humans', 'Leukemia/drug therapy', 'Leukocyte Count', 'Meningitis/drug therapy', 'Neoplasm Recurrence, Local', 'Prognosis', 'Remission, Spontaneous', 'Time Factors']",1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",['10.1007/978-3-642-80776-3_20 [doi]'],ppublish,Recent Results Cancer Res. 1973;43:113-21. doi: 10.1007/978-3-642-80776-3_20.,,,,['0 (Antineoplastic Agents)'],,,,
4803985,NLM,MEDLINE,19750310,20190903,0080-0015 (Print) 0080-0015 (Linking),43,,1973,Introduction to methodology of clinical trials in the varieties of acute leukemia; defining the numerator and denominator in leukemic trials.,107-9,,"['Carter, S K']",['Carter SK'],['eng'],['Journal Article'],Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,IM,"['Acute Disease', 'Antineoplastic Agents/*therapeutic use', 'Drug Evaluation/*methods', 'Humans', 'Leukemia/*drug therapy']",1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",['10.1007/978-3-642-80776-3_18 [doi]'],ppublish,Recent Results Cancer Res. 1973;43:107-9. doi: 10.1007/978-3-642-80776-3_18.,,,,['0 (Antineoplastic Agents)'],,,,
4803984,NLM,MEDLINE,19750310,20150828,0080-0015 (Print) 0080-0015 (Linking),43,,1973,Scientific and ethical discipline in clinical trials on acute leukemia.,1-2,,"['Mathe, G']",['Mathe G'],['eng'],['Journal Article'],Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,IM,"['Acute Disease', 'Antineoplastic Agents/therapeutic use', 'Drug Evaluation', '*Ethics, Medical', 'Humans', 'Leukemia/*drug therapy']",1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",,ppublish,Recent Results Cancer Res. 1973;43:1-2.,,,,['0 (Antineoplastic Agents)'],,,,
4803231,NLM,MEDLINE,19750127,20190908,0014-2964 (Print) 0014-2964 (Linking),9,9,1973 Sep,Fever of unexplained origin in patients with cancer.,649-56,,"['Klastersky, J', 'Weerts, D', 'Hensgens, C', 'Debusscher, L']","['Klastersky J', 'Weerts D', 'Hensgens C', 'Debusscher L']",['eng'],['Journal Article'],England,Eur J Cancer,European journal of cancer,0074126,IM,"['Bacterial Infections/complications', 'Carbenicillin/therapeutic use', 'Cephalothin/therapeutic use', 'Endocarditis/complications/drug therapy', 'Ethambutol/therapeutic use', 'Female', 'Fever of Unknown Origin/*complications/drug therapy', 'Gentamicins/therapeutic use', 'Humans', 'Isoniazid/therapeutic use', 'Leukemia/complications', 'Liver Neoplasms/complications', 'Lymphoma/complications', 'Male', 'Mycoses/complications/drug therapy', 'Neoplasm Metastasis', 'Neoplasms/*complications', 'Virus Diseases/complications/drug therapy']",1973/09/01 00:00,1973/09/01 00:01,['1973/09/01 00:00'],"['1973/09/01 00:00 [pubmed]', '1973/09/01 00:01 [medline]', '1973/09/01 00:00 [entrez]']",['10.1016/0014-2964(73)90007-8 [doi]'],ppublish,Eur J Cancer. 1973 Sep;9(9):649-56. doi: 10.1016/0014-2964(73)90007-8.,,,,"['0 (Gentamicins)', '8G167061QZ (Ethambutol)', 'G42ZU72N5G (Carbenicillin)', 'R72LW146E6 (Cephalothin)', 'V83O1VOZ8L (Isoniazid)']",,,,
4803222,NLM,MEDLINE,19750127,20190908,0014-2964 (Print) 0014-2964 (Linking),9,6,1973 Jun,Antimicrobial therapy as a part of the decontamination procedures for patients with acute leukemia.,443-7,,"['Dietrich, M', 'Rasche, H', 'Rommel, K', 'Hochapfel, G']","['Dietrich M', 'Rasche H', 'Rommel K', 'Hochapfel G']",['eng'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial']",England,Eur J Cancer,European journal of cancer,0074126,IM,"['Acute Disease', 'Anti-Bacterial Agents/*therapeutic use', 'Bacitracin/therapeutic use', 'Blood Cell Count', 'Blood Platelets', '*Disinfection', 'Drug Combinations', 'Fever', 'Germ-Free Life', 'Glucose/metabolism', 'Hexetidine/therapeutic use', 'Humans', 'Leukemia/*drug therapy/metabolism/urine', 'Neomycin/therapeutic use', 'Neutropenia', 'Nystatin/therapeutic use', 'Patient Isolators', 'Pneumonia/epidemiology', 'Remission, Spontaneous', 'Respiratory Tract Infections/epidemiology', '*Sterilization', 'Thrombelastography', 'Time Factors', 'Xylose/metabolism/urine']",1973/06/01 00:00,1973/06/01 00:01,['1973/06/01 00:00'],"['1973/06/01 00:00 [pubmed]', '1973/06/01 00:01 [medline]', '1973/06/01 00:00 [entrez]']",['10.1016/0014-2964(73)90109-6 [doi]'],ppublish,Eur J Cancer. 1973 Jun;9(6):443-7. doi: 10.1016/0014-2964(73)90109-6.,,,,"['0 (Anti-Bacterial Agents)', '0 (Drug Combinations)', '1400-61-9 (Nystatin)', '1405-87-4 (Bacitracin)', '852A84Y8LS (Hexetidine)', 'A1TA934AKO (Xylose)', 'I16QD7X297 (Neomycin)', 'IY9XDZ35W2 (Glucose)']",,,,
4803219,NLM,MEDLINE,19750128,20190908,0014-2964 (Print) 0014-2964 (Linking),9,10,1973 Oct,Characterization and partial purification of normal and tumor associated transplantation antigens of Rauscher leukemia cells.,757-61,,"['Martyre, M C', 'Halle-Pannenko, O', 'Jolles, P']","['Martyre MC', 'Halle-Pannenko O', 'Jolles P']",['eng'],['Journal Article'],England,Eur J Cancer,European journal of cancer,0074126,IM,"['Animals', 'Antigens, Neoplasm/isolation & purification', 'Cell Membrane/immunology', 'Electrophoresis, Polyacrylamide Gel', 'Female', 'Histocompatibility Antigens/*isolation & purification', 'Hydrogen-Ion Concentration', 'Isoelectric Focusing', 'Leukemia, Experimental/immunology', 'Leukemia, Lymphoid/*immunology', 'Male', 'Mice', 'Mice, Inbred BALB C', '*Rauscher Virus', 'Transplantation Immunology', 'Transplantation, Homologous']",1973/10/01 00:00,1973/10/01 00:01,['1973/10/01 00:00'],"['1973/10/01 00:00 [pubmed]', '1973/10/01 00:01 [medline]', '1973/10/01 00:00 [entrez]']",['10.1016/0014-2964(73)90068-6 [doi]'],ppublish,Eur J Cancer. 1973 Oct;9(10):757-61. doi: 10.1016/0014-2964(73)90068-6.,,,,"['0 (Antigens, Neoplasm)', '0 (Histocompatibility Antigens)']",,,,
4803157,NLM,MEDLINE,19750127,20061115,0037-9026 (Print) 0037-9026 (Linking),167,6,1973,[Leukemogenesis stimulation by X rays in AKR and AKR-T1 Ald mice].,1055-7,,"['Leonard, A', 'Deknudt, G', 'Linden, G']","['Leonard A', 'Deknudt G', 'Linden G']",['fre'],"['Comparative Study', 'Journal Article']",France,C R Seances Soc Biol Fil,Comptes rendus des seances de la Societe de biologie et de ses filiales,7505439,IM,"['Animals', 'Chromosome Aberrations', 'Female', 'Leukemia, Experimental/*etiology/genetics', '*Leukemia, Radiation-Induced', 'Male', 'Mice', 'Mice, Inbred AKR', 'Mice, Inbred Strains', 'Sex Factors']",1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",,ppublish,C R Seances Soc Biol Fil. 1973;167(6):1055-7.,,,"Stimulation, par les rayons X, de la leucemogenese chez les souris AKR et AKR-T1 Ald",,,,,
4802076,NLM,MEDLINE,19740916,20131121,0004-5772 (Print) 0004-5772 (Linking),21,10,1973 Oct,Leukaemic meningo-encephalopathy: treatment with intrathecal methotrexate.,895-903,,"['Misra, R C', 'Basu, A K']","['Misra RC', 'Basu AK']",['eng'],['Journal Article'],India,J Assoc Physicians India,The Journal of the Association of Physicians of India,7505585,IM,"['Acute Disease', 'Adult', 'Brain Neoplasms/cerebrospinal fluid/*drug therapy', 'Child, Preschool', 'Female', 'Humans', 'Injections, Spinal', 'Leukemia/cerebrospinal fluid/*drug therapy', 'Male', '*Meninges', 'Methotrexate/*administration & dosage/adverse effects/therapeutic use']",1973/10/01 00:00,1973/10/01 00:01,['1973/10/01 00:00'],"['1973/10/01 00:00 [pubmed]', '1973/10/01 00:01 [medline]', '1973/10/01 00:00 [entrez]']",,ppublish,J Assoc Physicians India. 1973 Oct;21(10):895-903.,,,,['YL5FZ2Y5U1 (Methotrexate)'],,,,
4801854,NLM,MEDLINE,19740726,20190708,0020-7136 (Print) 0020-7136 (Linking),11,3,1973 May,Platelet-tumor-cell interactions in mice. The role of platelets in the spread of malignant disease.,704-18,,"['Gasic, G J', 'Gasic, T B', 'Galanti, N', 'Johnson, T', 'Murphy, S']","['Gasic GJ', 'Gasic TB', 'Galanti N', 'Johnson T', 'Murphy S']",['eng'],['Journal Article'],United States,Int J Cancer,International journal of cancer,0042124,IM,"['Adenocarcinoma/*physiopathology', 'Animals', 'Aspirin/pharmacology', 'Blood Cell Count', 'Blood Platelets/*physiopathology', 'Carcinoma/*physiopathology', 'Cell Survival', 'Chromium Radioisotopes', 'Depression, Chemical', 'Female', 'Fibrosarcoma/physiopathology', 'Leukemia/*physiopathology', 'Lung Neoplasms', 'Lymphoma, Non-Hodgkin/physiopathology', 'Mammary Neoplasms, Experimental/*physiopathology', 'Melanoma/*physiopathology', 'Mice', 'Neoplasm Metastasis/*physiopathology', 'Neoplasm Transplantation', 'Plasmacytoma/*physiopathology', 'Platelet Adhesiveness/drug effects', 'Sarcoma/*physiopathology', 'Thrombocytopenia/physiopathology', 'Time Factors', 'Transplantation, Homologous']",1973/05/01 00:00,1973/05/01 00:01,['1973/05/01 00:00'],"['1973/05/01 00:00 [pubmed]', '1973/05/01 00:01 [medline]', '1973/05/01 00:00 [entrez]']",['10.1002/ijc.2910110322 [doi]'],ppublish,Int J Cancer. 1973 May;11(3):704-18. doi: 10.1002/ijc.2910110322.,,,,"['0 (Chromium Radioisotopes)', 'R16CO5Y76E (Aspirin)']",,,,
4801849,NLM,MEDLINE,19740722,20131121,0035-6344 (Print) 0035-6344 (Linking),43,6,1973 Nov-Dec,[EEG changes after cranial irradiation with cobalt 60-associated with intrathecal chemotherapy in leukemic children].,392-400,,"['Fassetta, G', 'Carli, M', 'Conte, G']","['Fassetta G', 'Carli M', 'Conte G']",['fre'],['Journal Article'],Italy,Riv Neurol,Rivista di neurologia,0413740,IM,"['Brain/drug effects/*radiation effects', 'Child', 'Child, Preschool', 'Cobalt Radioisotopes/*adverse effects', 'Electroencephalography', 'Female', 'Humans', 'Injections, Spinal', 'Leukemia/drug therapy/radiotherapy/*therapy', 'Male', 'Methotrexate/administration & dosage/*adverse effects']",1973/11/01 00:00,1973/11/01 00:01,['1973/11/01 00:00'],"['1973/11/01 00:00 [pubmed]', '1973/11/01 00:01 [medline]', '1973/11/01 00:00 [entrez]']",,ppublish,Riv Neurol. 1973 Nov-Dec;43(6):392-400.,,,Modificazioni EEG in seguito ad irradiazione craniale con cobalt 60 associata a chemioterapia intratecale in bambini leucemici.,"['0 (Cobalt Radioisotopes)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,
4801844,NLM,MEDLINE,19740716,20051117,0025-8334 (Print) 0025-8334 (Linking),18,8,1973 Aug,[Possible sequelae of the action of radioactive iodine in man].,66-80,,"[""Il'in, L A"", ""Arkhangel'skaia, G V""]","[""Il'in LA"", ""Arkhangel'skaia GV""]",['rus'],['Journal Article'],Russia (Federation),Med Radiol (Mosk),Meditsinskaia radiologiia,2984767R,IM,"['Cell Transformation, Neoplastic/radiation effects', 'Dose-Response Relationship, Radiation', 'Graves Disease/*radiotherapy', 'Humans', 'Hypothyroidism/etiology', 'Iodine Radioisotopes/administration & dosage/*adverse effects/therapeutic use', 'Leukemia/*etiology', 'Mitosis/radiation effects', 'Radiotherapy/*adverse effects', 'Radiotherapy Dosage', 'Thyroid Gland/pathology/physiopathology/*radiation effects', 'Thyroid Neoplasms/etiology/*radiotherapy']",1973/08/01 00:00,1973/08/01 00:01,['1973/08/01 00:00'],"['1973/08/01 00:00 [pubmed]', '1973/08/01 00:01 [medline]', '1973/08/01 00:00 [entrez]']",,ppublish,Med Radiol (Mosk). 1973 Aug;18(8):66-80.,,,Vozmozhnye posledstviiavozdeistviia radioaktivnogo ioda na cheloveka.,['0 (Iodine Radioisotopes)'],,,,
4801361,NLM,MEDLINE,19740411,20190908,0036-553X (Print) 0036-553X (Linking),11,5,1973,Coexistence of a myelo- and lymphoproliferative disorder.,350-5,,"['Louwagie, A C', 'Desmet, V J', 'Van den Berghe, H']","['Louwagie AC', 'Desmet VJ', 'Van den Berghe H']",['eng'],['Journal Article'],Denmark,Scand J Haematol,Scandinavian journal of haematology,0404507,IM,"['Aged', 'Biopsy', 'Blood Cell Count', 'Blood Platelets', 'Bone Marrow Cells', 'Chromosome Aberrations', 'Chromosomes, Human, 21-22 and Y', 'Chromosomes, Human, 6-12 and X', 'Hematocrit', 'Hemoglobins/metabolism', 'Humans', 'Immunoglobulins/metabolism', 'Iron/blood', 'Karyotyping', 'Lectins/pharmacology', 'Leukemia, Lymphoid/blood/*complications', 'Lymph Nodes/pathology', 'Lymphocyte Activation', 'Lymphoma, Non-Hodgkin/blood/*complications', 'Male', 'Primary Myelofibrosis/blood/*complications', 'Stimulation, Chemical']",1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",['10.1111/j.1600-0609.1973.tb00142.x [doi]'],ppublish,Scand J Haematol. 1973;11(5):350-5. doi: 10.1111/j.1600-0609.1973.tb00142.x.,,,,"['0 (Hemoglobins)', '0 (Immunoglobulins)', '0 (Lectins)', 'E1UOL152H7 (Iron)']",,,,
4801160,NLM,MEDLINE,19740320,20180216,0009-3157 (Print) 0009-3157 (Linking),19,4,1973 Oct,Effect of ethidium bromide against transplantable tumors in mice and rats.,254-8,,"['Kramer, M J', 'Grunberg, E']","['Kramer MJ', 'Grunberg E']",['eng'],['Journal Article'],Switzerland,Chemotherapy,Chemotherapy,0144731,IM,"['Adenocarcinoma/drug therapy', 'Animals', 'Carcinoma/drug therapy', 'Carcinoma, Ehrlich Tumor/drug therapy', 'Ethidium/*therapeutic use', 'Leukemia L1210/drug therapy', 'Lymphoma, Non-Hodgkin/drug therapy', 'Mammary Neoplasms, Experimental/drug therapy', 'Mice', 'Mice, Inbred Strains', 'Neoplasm Transplantation', 'Neoplasms, Experimental/*drug therapy', 'Rats', 'Sarcoma 180/drug therapy', 'Transplantation, Homologous']",1973/10/01 00:00,1973/10/01 00:01,['1973/10/01 00:00'],"['1973/10/01 00:00 [pubmed]', '1973/10/01 00:01 [medline]', '1973/10/01 00:00 [entrez]']",['10.1159/000221462 [doi]'],ppublish,Chemotherapy. 1973 Oct;19(4):254-8. doi: 10.1159/000221462.,,,,['EN464416SI (Ethidium)'],,,,
4801122,NLM,MEDLINE,19740306,20191210,0016-450X (Print) 0016-450X (Linking),64,5,1973 Oct,Effects of Lankacidin group (T2636) antibiotics on the tumor growth and immune response against sheep erythrocytes in mice.,481-92,,"['Ootsu, K', 'Matsumoto, T']","['Ootsu K', 'Matsumoto T']",['eng'],['Journal Article'],Japan,Gan,Gan,0151745,IM,"['Animals', 'Antibiotics, Antineoplastic/*pharmacology/therapeutic use', 'Antibody Formation/drug effects', 'Body Weight/drug effects', 'Erythrocytes/immunology', 'HeLa Cells', '*Immunosuppressive Agents', 'Lactones/pharmacology', 'Leukemia L1210/*pathology', 'Lymphoma, Non-Hodgkin/drug therapy/*pathology', 'Macrolides', 'Melanoma/drug therapy/*pathology', 'Mice', 'Neoplasms, Experimental', 'Sarcoma, Experimental', 'Sheep/immunology']",1973/10/01 00:00,1973/10/01 00:01,['1973/10/01 00:00'],"['1973/10/01 00:00 [pubmed]', '1973/10/01 00:01 [medline]', '1973/10/01 00:00 [entrez]']",,ppublish,Gan. 1973 Oct;64(5):481-92.,,,,"['0 (Antibiotics, Antineoplastic)', '0 (Immunosuppressive Agents)', '0 (Lactones)', '0 (Macrolides)', '23623-31-6 (lankacidins)']",,,,
4800992,NLM,MEDLINE,19740222,20190511,0027-8874 (Print) 0027-8874 (Linking),51,6,1973 Dec,Behavior of intravenously injected malignant lymphoma cells. A morphologic study.,1883-95,,"['Dingemans, K P']",['Dingemans KP'],['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['Animals', 'Capillaries', 'Disease Models, Animal', 'Endothelium', 'Female', 'Hepatomegaly/etiology', 'Injections, Intravenous', 'Kupffer Cells', 'Leukemia, Experimental', '*Leukemia, Lymphoid', 'Liver Neoplasms', 'Lung Neoplasms', '*Lymphoma, Non-Hodgkin', 'Male', 'Mesenteric Veins', 'Mice', 'Microscopy, Electron', '*Neoplasm Metastasis', 'Neoplasm Transplantation', 'Sarcoma, Experimental', 'Splenomegaly/etiology', 'Tail/blood supply', 'Transplantation, Homologous']",1973/12/01 00:00,1973/12/01 00:01,['1973/12/01 00:00'],"['1973/12/01 00:00 [pubmed]', '1973/12/01 00:01 [medline]', '1973/12/01 00:00 [entrez]']",['10.1093/jnci/51.6.1883 [doi]'],ppublish,J Natl Cancer Inst. 1973 Dec;51(6):1883-95. doi: 10.1093/jnci/51.6.1883.,,,,,,,,
4800991,NLM,MEDLINE,19740222,20190829,0021-9681 (Print) 0021-9681 (Linking),26,10,1973 Oct,Cancer mortality among foreign- and native-born Chinese in the United States.,623-46,,"['King, H', 'Haenszel, W']","['King H', 'Haenszel W']",['eng'],"['Comparative Study', 'Journal Article']",England,J Chronic Dis,Journal of chronic diseases,2985123R,IM,"['Adolescent', 'Adult', 'Aged', 'Biliary Tract', 'Breast Neoplasms/mortality', 'Child', 'Child, Preschool', 'China', 'Esophageal Neoplasms/mortality', 'Female', 'Humans', 'Infant', 'Intestinal Neoplasms/mortality', 'Leukemia/mortality', 'Liver Neoplasms/mortality', 'Lung Neoplasms/mortality', 'Lymphoma, Non-Hodgkin/mortality', 'Male', 'Middle Aged', 'Nasopharyngeal Neoplasms/mortality', 'Neoplasms/*mortality', 'Ovarian Neoplasms/mortality', 'Prostatic Neoplasms/mortality', 'Rectal Neoplasms/mortality', 'Stomach Neoplasms/mortality', 'United States', 'Uterine Neoplasms/mortality']",1973/10/01 00:00,1973/10/01 00:01,['1973/10/01 00:00'],"['1973/10/01 00:00 [pubmed]', '1973/10/01 00:01 [medline]', '1973/10/01 00:00 [entrez]']",['10.1016/0021-9681(73)90053-2 [doi]'],ppublish,J Chronic Dis. 1973 Oct;26(10):623-46. doi: 10.1016/0021-9681(73)90053-2.,,,,,,,,
4800988,NLM,MEDLINE,19740222,20170317,0005-9366 (Print) 0005-9366 (Linking),86,22,1973 Nov 15,[Classification of leucoses and reticuloses].,432-4,,"['Rudolph, R']",['Rudolph R'],['ger'],['Journal Article'],Germany,Berl Munch Tierarztl Wochenschr,Berliner und Munchener tierarztliche Wochenschrift,0003163,IM,"['Animals', 'Avian Leukosis/pathology', 'Birds', 'Cattle', 'Cattle Diseases/classification', 'Humans', 'Leukemia/classification/*veterinary', 'Lymphoma, Non-Hodgkin/pathology/veterinary', 'Reticuloendotheliosis, Avian/*classification']",1973/11/15 00:00,1973/11/15 00:01,['1973/11/15 00:00'],"['1973/11/15 00:00 [pubmed]', '1973/11/15 00:01 [medline]', '1973/11/15 00:00 [entrez]']",,ppublish,Berl Munch Tierarztl Wochenschr. 1973 Nov 15;86(22):432-4.,,,Klassifikation der Leukosen und Retikulosen.,,,,,
