PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,AB,OID,RF
5332737,NLM,MEDLINE,19670205,20071115,0026-4806 (Print) 0026-4806 (Linking),57,84,1966 Oct 20,[Association in the same individual of leukemia and neoplastic lymphopathy of a different type. Clinical contribution].,3458-68,"['Storti, E', 'Mauri, C', 'Artusi, T', 'Traldi, A', 'Vaccari, G L']","['Storti E', 'Mauri C', 'Artusi T', 'Traldi A', 'Vaccari GL']",['ita'],['Journal Article'],Italy,Minerva Med,Minerva medica,0400732,,IM,"['Adolescent', 'Adult', 'Female', 'Head and Neck Neoplasms/*complications', 'Humans', 'Leukemia, Myeloid/*complications', 'Leukemia, Myeloid, Acute/*complications', 'Lymphatic Metastasis', 'Lymphoma, Large B-Cell, Diffuse/*complications', 'Lymphoma, Non-Hodgkin/*complications', 'Male', 'Middle Aged', 'Sarcoma/*complications', 'Splenic Neoplasms/*complications']",,1966/10/20 00:00,1966/10/20 00:01,['1966/10/20 00:00'],"['1966/10/20 00:00 [pubmed]', '1966/10/20 00:01 [medline]', '1966/10/20 00:00 [entrez]']",,ppublish,Minerva Med. 1966 Oct 20;57(84):3458-68.,Associazione nello stesso individuo di leucemia e linfopatia neoplastica di vario tipo. Contributo clinico.,,,
5332736,NLM,MEDLINE,19670205,20041117,0026-4806 (Print) 0026-4806 (Linking),57,84,1966 Oct 20,[Current possibilities and indications in the treatment of acute leukemias].,3441-6,"['Mathe, G', 'Amiel, J L', 'Schwarzemberg, L', 'Cattan, A', 'Schneider, M', 'Schlumberger, J R']","['Mathe G', 'Amiel JL', 'Schwarzemberg L', 'Cattan A', 'Schneider M', 'Schlumberger JR']",['ita'],"['Journal Article', 'Review']",Italy,Minerva Med,Minerva medica,0400732,"['0 (Adrenal Cortex Hormones)', '0 (Antineoplastic Agents)']",IM,"['Adrenal Cortex Hormones/therapeutic use', 'Antineoplastic Agents/*therapeutic use', 'Bone Marrow Transplantation', 'Humans', 'Leukemia/*therapy']",,1966/10/20 00:00,1966/10/20 00:01,['1966/10/20 00:00'],"['1966/10/20 00:00 [pubmed]', '1966/10/20 00:01 [medline]', '1966/10/20 00:00 [entrez]']",,ppublish,Minerva Med. 1966 Oct 20;57(84):3441-6.,Attuali possibilita ed indicazioni nel trattamento delle leucemie acute.,,,69
5332649,NLM,MEDLINE,19670205,20071115,0022-1767 (Print) 0022-1767 (Linking),97,3,1966 Sep,Serum levels of second component of complement in cancer patients.,331-7,"['Southam, C M', 'Siegel, A H']","['Southam CM', 'Siegel AH']",['eng'],['Journal Article'],United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,['9007-36-7 (Complement System Proteins)'],IM,"['Adenocarcinoma/immunology', 'Carcinoma, Squamous Cell/immunology', '*Complement System Proteins', 'Hemolysis', 'Hodgkin Disease/immunology', 'Humans', 'Leukemia/immunology', 'Lymphoma, Large B-Cell, Diffuse/immunology', 'Lymphoma, Non-Hodgkin/immunology', 'Multiple Myeloma/immunology', 'Neoplasms/*immunology', 'Sarcoma/immunology']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",,ppublish,J Immunol. 1966 Sep;97(3):331-7.,,,,
5332257,NLM,MEDLINE,19670126,20041117,0083-1921 (Print) 0083-1921 (Linking),22,,1966 Sep,Studies of Moloney and Rauscher leukemia viruses in cell cultures by immunofluorescence.,671-83,"['Pinkel, D', 'Yoshida, K', 'Smith, K']","['Pinkel D', 'Yoshida K', 'Smith K']",['eng'],['Journal Article'],United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,,IM,"['*Culture Techniques', '*Fluorescent Antibody Technique', '*Moloney murine leukemia virus', 'Neoplasms, Experimental/*immunology', '*Rauscher Virus']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1966 Sep;22:671-83.,,,,
5331536,NLM,MEDLINE,19661229,20041117,0025-8334 (Print) 0025-8334 (Linking),10,8,1965 Aug,[Recent studies on the clinical use of total irradiation and bone marrow transplantation].,32-9,"['Mate, Zh']",['Mate Zh'],['rus'],['Journal Article'],Russia (Federation),Med Radiol (Mosk),Meditsinskaia radiologiia,2984767R,,IM,"['Animals', '*Bone Marrow Cells', '*Bone Marrow Transplantation', 'Dogs', 'Humans', 'Leukemia/*radiotherapy', 'Mice', 'Rabbits', 'Transplantation Immunology', 'Transplantation, Homologous']",,1965/08/01 00:00,1965/08/01 00:01,['1965/08/01 00:00'],"['1965/08/01 00:00 [pubmed]', '1965/08/01 00:01 [medline]', '1965/08/01 00:00 [entrez]']",,ppublish,Med Radiol (Mosk). 1965 Aug;10(8):32-9.,Novye issledovaniia po klinicheskomu primeneniiu obshchego oblucheniia i peresadke kostnogo mozga.,,,
5331293,NLM,MEDLINE,19661226,20041117,0040-3660 (Print) 0040-3660 (Linking),37,9,1965 Sep,[Some theoretical and practical achievements in the field of leukemia in the light of modern hematology].,3-12,"['Kissirskii, I A']",['Kissirskii IA'],['rus'],"['Journal Article', 'Review']",Russia (Federation),Ter Arkh,Terapevticheskii arkhiv,2984818R,,IM,"['Humans', 'Leukemia/*diagnosis/*therapy']",,1965/09/01 00:00,1965/09/01 00:01,['1965/09/01 00:00'],"['1965/09/01 00:00 [pubmed]', '1965/09/01 00:01 [medline]', '1965/09/01 00:00 [entrez]']",,ppublish,Ter Arkh. 1965 Sep;37(9):3-12.,Kekotorye dostizheniia teorii i praktiki leikozov v svete sovremennoi gematologii.,,,0
5331183,NLM,MEDLINE,19661223,20190501,0007-1447 (Print) 0007-1447 (Linking),2,5514,1966 Sep 10,Pilot trial of an antiviral agent in malignant disease.,625-7,"['Sandeman, T F']",['Sandeman TF'],['eng'],['Journal Article'],England,Br Med J,British medical journal,0372673,"['0 (Antiviral Agents)', '0 (Thiosemicarbazones)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Adult', 'Antiviral Agents/adverse effects/*therapeutic use', 'Cyclophosphamide/*therapeutic use', 'Female', 'Hodgkin Disease/*drug therapy', 'Humans', 'Leukemia, Myeloid/*drug therapy', 'Liver Function Tests', 'Lymphoma, Follicular/*drug therapy', 'Lymphoma, Non-Hodgkin/*drug therapy', 'Male', 'Middle Aged', 'Thiosemicarbazones/*therapeutic use']",PMC1943447,1966/09/10 00:00,1966/09/10 00:01,['1966/09/10 00:00'],"['1966/09/10 00:00 [pubmed]', '1966/09/10 00:01 [medline]', '1966/09/10 00:00 [entrez]']",['10.1136/bmj.2.5514.625 [doi]'],ppublish,Br Med J. 1966 Sep 10;2(5514):625-7. doi: 10.1136/bmj.2.5514.625.,,,,
5330840,NLM,MEDLINE,19661204,20141120,0026-4946 (Print) 0026-4946 (Linking),18,21,1966 Jul 14,[A case of lymphosarcomatosis with a leukemic component].,1093-7,"['Canubi, A', 'Pecchiai, L']","['Canubi A', 'Pecchiai L']",['ita'],"['Case Reports', 'Journal Article']",Italy,Minerva Pediatr,Minerva pediatrica,0400740,,IM,"['Humans', 'In Vitro Techniques', 'Infant', '*Leukemia', 'Lymphoma, Large B-Cell, Diffuse/*pathology', 'Male']",,1966/07/14 00:00,1966/07/14 00:01,['1966/07/14 00:00'],"['1966/07/14 00:00 [pubmed]', '1966/07/14 00:01 [medline]', '1966/07/14 00:00 [entrez]']",,ppublish,Minerva Pediatr. 1966 Jul 14;18(21):1093-7.,Un caso di linfosarcomatosi a componente leucemica.,,,
5330798,NLM,MEDLINE,19661204,20080211,0044-4197 (Print) 0044-4197 (Linking),87,50,1965 Dec 11,[Pregnancy in hemoblastoses].,1713-23,"['Braun, H', 'Rummel, A']","['Braun H', 'Rummel A']",['ger'],['Journal Article'],Germany,Zentralbl Gynakol,Zentralblatt fur Gynakologie,21820100R,['0 (Antineoplastic Agents)'],IM,"['Adult', 'Antineoplastic Agents/therapeutic use', 'Female', 'Hodgkin Disease/*diagnosis', 'Humans', 'Leukemia, Myeloid/*diagnosis', '*Lymphoma, Large B-Cell, Diffuse', 'Lymphoma, Non-Hodgkin/*diagnosis', 'Pregnancy', '*Pregnancy Complications']",,1965/12/11 00:00,1965/12/11 00:01,['1965/12/11 00:00'],"['1965/12/11 00:00 [pubmed]', '1965/12/11 00:01 [medline]', '1965/12/11 00:00 [entrez]']",,ppublish,Zentralbl Gynakol. 1965 Dec 11;87(50):1713-23.,Schwangerschaft bei Hamoblastosen.,,,
5330621,NLM,MEDLINE,19661130,20190727,0040-8727 (Print) 0040-8727 (Linking),89,1,1966 May 25,Leukemic reticuloendotheliosis.,35-44,"['Iijima, S']",['Iijima S'],['eng'],['Journal Article'],Japan,Tohoku J Exp Med,The Tohoku journal of experimental medicine,0417355,,IM,"['Adult', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Myeloid/blood/*pathology', 'Lymphatic Diseases/*blood/*pathology', 'Lymphoma, Large B-Cell, Diffuse/blood', 'Lymphoma, Non-Hodgkin/blood', 'Male', 'Middle Aged']",,1966/05/25 00:00,1966/05/25 00:01,['1966/05/25 00:00'],"['1966/05/25 00:00 [pubmed]', '1966/05/25 00:01 [medline]', '1966/05/25 00:00 [entrez]']",['10.1620/tjem.89.35 [doi]'],ppublish,Tohoku J Exp Med. 1966 May 25;89(1):35-44. doi: 10.1620/tjem.89.35.,,,,
5330342,NLM,MEDLINE,19661127,20141120,0552-2080 (Print) 0552-2080 (Linking),10,9,1965 Sep,[Cytological differentiation of leukemia].,14-20,"['Kheikho, F G']",['Kheikho FG'],['rus'],"['Journal Article', 'Review']",Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,,IM,"['Humans', 'In Vitro Techniques', 'Leukemia/*pathology']",,1965/09/01 00:00,1965/09/01 00:01,['1965/09/01 00:00'],"['1965/09/01 00:00 [pubmed]', '1965/09/01 00:01 [medline]', '1965/09/01 00:00 [entrez]']",,ppublish,Probl Gematol Pereliv Krovi. 1965 Sep;10(9):14-20.,Tsitologicheskaia differentsiatsiia leikmii.,,,9
5330093,NLM,MEDLINE,19661126,20170306,,36,6,1966,[Progress in hematology. Therapy of acute leukemias].,883-7,"['Kopec, M', 'Plachecka-Gutowska, M']","['Kopec M', 'Plachecka-Gutowska M']",['pol'],"['Journal Article', 'Review']",Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/therapeutic use', 'Humans', 'Leukemia/*drug therapy']",,1966/01/01 00:00,1966/01/01 00:01,['1966/01/01 00:00'],"['1966/01/01 00:00 [pubmed]', '1966/01/01 00:01 [medline]', '1966/01/01 00:00 [entrez]']",,ppublish,Pol Arch Med Wewn. 1966;36(6):883-7.,Postepy hematologii. Leczenie ostrych bialaczek.,,,28
5329907,NLM,MEDLINE,19661022,20071115,0008-5472 (Print) 0008-5472 (Linking),26,6,1966 Jun,Epidemiology of Hodgkin's disease.,1189-201,"['MacMahon, B']",['MacMahon B'],['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,,IM,"['Adolescent', 'Adult', 'Aged', 'Child', 'Child, Preschool', 'Denmark', 'Ethnology', 'Female', 'Genetics, Medical', 'Hodgkin Disease/*epidemiology', 'Humans', 'Infant', 'Japan', 'Leukemia', 'Lymphoma', 'Lymphoma, Large B-Cell, Diffuse/epidemiology', 'Lymphoma, Non-Hodgkin/epidemiology', 'Male', 'Middle Aged', 'Mortality', 'Netherlands', 'Occupations', 'Sociology', 'United States']",,1966/06/01 00:00,1966/06/01 00:01,['1966/06/01 00:00'],"['1966/06/01 00:00 [pubmed]', '1966/06/01 00:01 [medline]', '1966/06/01 00:00 [entrez]']",,ppublish,Cancer Res. 1966 Jun;26(6):1189-201.,,,,
5329788,NLM,MEDLINE,19661018,20041117,0068-3027 (Print) 0068-3027 (Linking),46,24,1966 Jun 12,[Results and prospects in the treatment of acute leukemia in children].,619-28,"['Maurus, R', 'Kenis, Y', 'Tagnon, H']","['Maurus R', 'Kenis Y', 'Tagnon H']",['fre'],"['Journal Article', 'Review']",Belgium,Brux Med,Bruxelles medical,0372561,,IM,"['Child', 'Humans', 'Leukemia/*drug therapy']",,1966/06/12 00:00,1966/06/12 00:01,['1966/06/12 00:00'],"['1966/06/12 00:00 [pubmed]', '1966/06/12 00:01 [medline]', '1966/06/12 00:00 [entrez]']",,ppublish,Brux Med. 1966 Jun 12;46(24):619-28.,Resultats et perspectives dans le traitement de la leucemie aigue chez l'enfant.,,,28
5329696,NLM,MEDLINE,19661016,20091111,0012-0847 (Print) 0012-0847 (Linking),72,21,1965 Nov 1,[A case of leukemic symptoms in the eyes of a horse].,506-7,"['Marolt, J']",['Marolt J'],['ger'],"['Clinical Trial', 'Journal Article']",Germany,Dtsch Tierarztl Wochenschr,Deutsche tierarztliche Wochenschrift,0033620,,IM,"['Animals', 'Clinical Trials as Topic', 'Eye Manifestations/*etiology', '*Horse Diseases', 'Horses', 'Leukemia/*veterinary']",,1965/11/01 00:00,1965/11/01 00:01,['1965/11/01 00:00'],"['1965/11/01 00:00 [pubmed]', '1965/11/01 00:01 [medline]', '1965/11/01 00:00 [entrez]']",,ppublish,Dtsch Tierarztl Wochenschr. 1965 Nov 1;72(21):506-7.,Ein Fall leukamischer Komplikationen an den Augen eines Pferdes.,,,
5329652,NLM,MEDLINE,19661016,20041117,0015-5470 (Print) 0015-5470 (Linking),12,6,1965 Nov-Dec,[Evolutive aspects of immunologic problems relative to neoplasms and malignant blood diseases].,399-449,"['Magrassi, F', 'Bianco, A R']","['Magrassi F', 'Bianco AR']",['ita'],"['Journal Article', 'Review']",Italy,Folia Allergol (Roma),Folia allergologica,7502074,,IM,"['Humans', 'Leukemia/*immunology', 'Neoplasms/*immunology']",,1965/11/01 00:00,1965/11/01 00:01,['1965/11/01 00:00'],"['1965/11/01 00:00 [pubmed]', '1965/11/01 00:01 [medline]', '1965/11/01 00:00 [entrez]']",,ppublish,Folia Allergol (Roma). 1965 Nov-Dec;12(6):399-449.,Aspetti evolutivi dei problemi immunologici relativi alle neoplasie e alle emopatie maligne.,,,147
5329419,NLM,MEDLINE,19661015,20141120,0034-6497 (Print) 0034-6497 (Linking),12,2,1966,"6-Carboxyalkylthiopurine (buthiopurine, Cytogran Spofa).",103-15,"['Semonsky, M', 'Cerny, A']","['Semonsky M', 'Cerny A']",['eng'],"['Clinical Trial', 'Journal Article', 'Review']",Czech Republic,Rev Czech Med,Review of Czechoslovak medicine,0401304,"['0 (Antineoplastic Agents)', '0 (Purines)']",IM,"['Adolescent', 'Adult', 'Antineoplastic Agents/*therapeutic use', 'Clinical Trials as Topic', 'Humans', 'In Vitro Techniques', 'Leukemia/*drug therapy', 'Middle Aged', 'Purines/*pharmacology']",,1966/01/01 00:00,1966/01/01 00:01,['1966/01/01 00:00'],"['1966/01/01 00:00 [pubmed]', '1966/01/01 00:01 [medline]', '1966/01/01 00:00 [entrez]']",,ppublish,Rev Czech Med. 1966;12(2):103-15.,,,,23
5329242,NLM,MEDLINE,19661013,20191030,0079-6263 (Print) 0079-6263 (Linking),6,,1965,Antigenic behaviour of lymphoma cell populations in mice as revealed by the spleen colony method.,30-83,"['Axelrad, A']",['Axelrad A'],['eng'],"['Journal Article', 'Review']",Switzerland,Prog Exp Tumor Res,Progress in experimental tumor research,0376446,,IM,"['AKR murine leukemia virus/*immunology', 'Animals', 'Lymphoma/*immunology', 'Mice', 'Neoplasm Transplantation', 'Splenic Neoplasms/*immunology']",,1965/01/01 00:00,1965/01/01 00:01,['1965/01/01 00:00'],"['1965/01/01 00:00 [pubmed]', '1965/01/01 00:01 [medline]', '1965/01/01 00:00 [entrez]']",['10.1159/000391370 [doi]'],ppublish,Prog Exp Tumor Res. 1965;6:30-83. doi: 10.1159/000391370.,,,,59
5329155,NLM,MEDLINE,19661012,20190812,0001-6101 (Print) 0001-6101 (Linking),180,2,1966 Aug,"Use of a methyl hydrazine derivative (natulan), especially in Hodgkin's disease.",211-24,"['Hansen, M M', 'Hertz, H', 'Videaek, A']","['Hansen MM', 'Hertz H', 'Videaek A']",['eng'],"['Case Reports', 'Journal Article']",Sweden,Acta Med Scand,Acta medica Scandinavica,0370330,"['0 (Antineoplastic Agents)', '0 (Hydrazines)']",IM,"['Adult', 'Aged', 'Antineoplastic Agents/adverse effects/*therapeutic use', 'Child', 'Female', 'Hodgkin Disease/*drug therapy', 'Humans', 'Hydrazines/adverse effects/*therapeutic use', 'Leukemia, Lymphoid/*drug therapy', 'Leukopenia/etiology', 'Lymphoma, Follicular/*drug therapy', 'Lymphoma, Large B-Cell, Diffuse/*drug therapy', 'Lymphoma, Non-Hodgkin/*drug therapy', 'Male', 'Middle Aged', 'Thrombocytopenia/etiology']",,1966/08/01 00:00,1966/08/01 00:01,['1966/08/01 00:00'],"['1966/08/01 00:00 [pubmed]', '1966/08/01 00:01 [medline]', '1966/08/01 00:00 [entrez]']",['10.1111/j.0954-6820.1966.tb02827.x [doi]'],ppublish,Acta Med Scand. 1966 Aug;180(2):211-24. doi: 10.1111/j.0954-6820.1966.tb02827.x.,,,,
5329090,NLM,MEDLINE,19661009,20141120,0036-4355 (Print) 0036-4355 (Linking),11,2,1966,[Lymphography in hemoreticulopathies].,207-18,"['Soler Montero, A']",['Soler Montero A'],['spa'],['Journal Article'],Spain,Sangre (Barc),Sangre,0404373,,IM,"['Hodgkin Disease/*diagnosis', 'Humans', 'In Vitro Techniques', 'Leukemia, Lymphoid/*diagnosis', '*Lymphography', 'Lymphoma, Large B-Cell, Diffuse/*diagnosis', 'Lymphoma, Non-Hodgkin/*diagnosis']",,1966/01/01 00:00,1966/01/01 00:01,['1966/01/01 00:00'],"['1966/01/01 00:00 [pubmed]', '1966/01/01 00:01 [medline]', '1966/01/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1966;11(2):207-18.,La linfografia en las hemorreticulopatias.,,,
5329015,NLM,MEDLINE,19661008,20141120,0039-3975 (Print) 0039-3975 (Linking),17,1,1966,[Theories and facts concerning the viral origin of leukoses. II. Human leukemias].,45-63,"['Nastac, E']",['Nastac E'],['rum'],"['Journal Article', 'Review']",Romania,Stud Cercet Inframicrobiol,Studii si cercetari de inframicrobiologie,0341024,,IM,"['Animals', 'Humans', 'In Vitro Techniques', 'Leukemia/*etiology', '*Retroviridae']",,1966/01/01 00:00,1966/01/01 00:01,['1966/01/01 00:00'],"['1966/01/01 00:00 [pubmed]', '1966/01/01 00:01 [medline]', '1966/01/01 00:00 [entrez]']",,ppublish,Stud Cercet Inframicrobiol. 1966;17(1):45-63.,Ipoteze si fapte cu privire la originea virotica a leucozelor. II. Leucemiile umane.,,,212
5328897,NLM,MEDLINE,19661008,20071115,0001-4079 (Print) 0001-4079 (Linking),150,19,1966 May 31,[Lymphoblastic leukemia in a patient with complex congenital anomaly (probable type XXY)].,342-6,"['Ruffie, J', 'Colombies, P', 'Combes, P F', 'Ducos, J']","['Ruffie J', 'Colombies P', 'Combes PF', 'Ducos J']",['fre'],"['Case Reports', 'Journal Article']",Netherlands,Bull Acad Natl Med,Bulletin de l'Academie nationale de medecine,7503383,,IM,"['Adult', 'Chromosome Aberrations/*complications', 'Chromosome Disorders', 'Humans', 'Karyotyping', 'Leukemia, Lymphoid/*genetics', 'Male']",,1966/05/31 00:00,1966/05/31 00:01,['1966/05/31 00:00'],"['1966/05/31 00:00 [pubmed]', '1966/05/31 00:01 [medline]', '1966/05/31 00:00 [entrez]']",,ppublish,Bull Acad Natl Med. 1966 May 31;150(19):342-6.,Leucemie lymphoblastique chez un sujet porteur d'une anomalie congenitale complexe (type XXY probable),,,
5328830,NLM,MEDLINE,19661003,20071115,0026-8526 (Print) 0026-8526 (Linking),3,4,1966 Jul,Treatment of tumors of the hematopoietic system.,706-65,"['White, L P']",['White LP'],['eng'],['Journal Article'],United States,Mod Treat,Modern treatment,7511504,,IM,"['Burkitt Lymphoma/therapy', 'Humans', 'Leukemia/*therapy', 'Lymphoma/*therapy', 'Lymphoma, Large B-Cell, Diffuse/*therapy', 'Lymphoma, Non-Hodgkin/*therapy', 'Radiotherapy']",,1966/07/01 00:00,1966/07/01 00:01,['1966/07/01 00:00'],"['1966/07/01 00:00 [pubmed]', '1966/07/01 00:01 [medline]', '1966/07/01 00:00 [entrez]']",,ppublish,Mod Treat. 1966 Jul;3(4):706-65.,,,,
5327919,NLM,MEDLINE,19660825,20091111,0084-1013 (Print) 0084-1013 (Linking),4,,1965 Sep,Immunofluorescence studies in human leukemia.,187-96,"['Fink, M A', 'Malmgren, R A', 'Karon, M', 'Orr, H C']","['Fink MA', 'Malmgren RA', 'Karon M', 'Orr HC']",['eng'],['Journal Article'],United States,Wistar Inst Symp Monogr,The Wistar Institute symposium monograph,0035247,['0 (Antibodies)'],IM,"['*Antibodies', '*Fluorescent Antibody Technique', 'Humans', 'Leukemia/*immunology']",,1965/09/01 00:00,1965/09/01 00:01,['1965/09/01 00:00'],"['1965/09/01 00:00 [pubmed]', '1965/09/01 00:01 [medline]', '1965/09/01 00:00 [entrez]']",,ppublish,Wistar Inst Symp Monogr. 1965 Sep;4:187-96.,,,,
5327856,NLM,MEDLINE,19660825,20190511,0009-9236 (Print) 0009-9236 (Linking),7,3,1966 May-Jun,The role of vincristine in the treatment of childhood acute leukemia.,332-9,"['Karon, M', 'Freireich, E J', 'Frei, E 3rd', 'Taylor, R', 'Wolman, I J', 'Djerassi, I', 'Lee, S L', 'Sawitsky, A', 'Hananian, J', 'Selawry, O', 'James, D Jr', 'George, P', 'Patterson, R B', 'Burgert, O Jr', 'Haurani, F I', 'Oberfield, R A', 'Macy, C T', 'Hoogstraten, B', 'Blom, J']","['Karon M', 'Freireich EJ', 'Frei E 3rd', 'Taylor R', 'Wolman IJ', 'Djerassi I', 'Lee SL', 'Sawitsky A', 'Hananian J', 'Selawry O', 'James D Jr', 'George P', 'Patterson RB', 'Burgert O Jr', 'Haurani FI', 'Oberfield RA', 'Macy CT', 'Hoogstraten B', 'Blom J']",['eng'],"['Clinical Trial', 'Controlled Clinical Trial', 'Journal Article']",United States,Clin Pharmacol Ther,Clinical pharmacology and therapeutics,0372741,"['0 (Placebos)', '5J49Q6B70F (Vincristine)']",IM,"['Adolescent', 'Child', 'Child, Preschool', 'Clinical Trials as Topic', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/*drug therapy', 'Leukemia, Myeloid/*drug therapy', 'Male', 'Placebos', 'Vincristine/adverse effects/*therapeutic use']",,1966/05/01 00:00,2001/03/28 10:01,['1966/05/01 00:00'],"['1966/05/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1966/05/01 00:00 [entrez]']",['10.1002/cpt196673332 [doi]'],ppublish,Clin Pharmacol Ther. 1966 May-Jun;7(3):332-9. doi: 10.1002/cpt196673332.,,,,
5327850,NLM,MEDLINE,19660825,20181113,0008-1264 (Print) 0008-1264 (Linking),104,3,1966 Mar,Etiology of leukemia. A review.,161-5,"['Shafer, A W']",['Shafer AW'],['eng'],"['Journal Article', 'Review']",United States,Calif Med,California medicine,0410260,,IM,"['Chromosome Aberrations', 'Chromosome Disorders', 'Humans', 'Leukemia/*etiology', 'Leukemia, Radiation-Induced']",PMC1516260,1966/03/01 00:00,1966/03/01 00:01,['1966/03/01 00:00'],"['1966/03/01 00:00 [pubmed]', '1966/03/01 00:01 [medline]', '1966/03/01 00:00 [entrez]']",,ppublish,Calif Med. 1966 Mar;104(3):161-5.,,"A variety of factors probably are etiologically involved in leukemia, not only in different cases but also within individual cases. Abnormalities of chromosomes have been found in various types of leukemia. Whether these chromosomal alterations are primary or secondary is undetermined, but it is likely that they are at least contributory in the development of leukemia. There is an increasing body of evidence incriminating viruses in leukemogenesis in man, and they may be a factor in all cases. Certain chemicals may be important etiologic factors in a few cases. Many different studies have established that ionizing radiation in large doses may be leukemogenic. Whether small doses of irradiation are dangerous has not been demonstrated.",,55
5327763,NLM,MEDLINE,19660818,20190515,0007-0920 (Print) 0007-0920 (Linking),20,1,1966 Mar,"Leukaemia in Kingston, surrey, 1958-64: an epidemiological study.",16-31,"['Dowsett, E G']",['Dowsett EG'],['eng'],['Journal Article'],England,Br J Cancer,British journal of cancer,0370635,,IM,"['Adolescent', 'Adult', 'Aged', 'Child', 'Child, Preschool', 'Congenital Abnormalities', 'England', 'Female', 'Hodgkin Disease/epidemiology', 'Humans', 'Leukemia/*epidemiology/*etiology', 'Leukemia, Lymphoid', 'Leukemia, Myeloid/epidemiology', 'Lymphoma/*epidemiology', 'Lymphoma, Large B-Cell, Diffuse/epidemiology', 'Lymphoma, Non-Hodgkin/epidemiology', 'Male', 'Middle Aged', 'Multiple Myeloma/epidemiology', 'Seasons']",PMC2008050,1966/03/01 00:00,1966/03/01 00:01,['1966/03/01 00:00'],"['1966/03/01 00:00 [pubmed]', '1966/03/01 00:01 [medline]', '1966/03/01 00:00 [entrez]']",['10.1038/bjc.1966.3 [doi]'],ppublish,Br J Cancer. 1966 Mar;20(1):16-31. doi: 10.1038/bjc.1966.3.,,,,
5327406,NLM,MEDLINE,19660812,20091111,0553-2469 (Print) 0553-2469 (Linking),21,2,1966 Mar-Apr,[Current aspects of the epidemiology of leukemia].,399-408,"['Hayat, M', 'Flamant, R']","['Hayat M', 'Flamant R']",['fre'],"['Journal Article', 'Review']",France,Bull Inst Natl Sante Rech Med,Bulletin de l'Institut national de la sante et de la recherche medicale,0022726,,IM,"['Adolescent', 'Adult', 'Aged', 'Child', 'Child, Preschool', 'Epidemiology', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia/*epidemiology', 'Male', 'Middle Aged']",,1966/03/01 00:00,1966/03/01 00:01,['1966/03/01 00:00'],"['1966/03/01 00:00 [pubmed]', '1966/03/01 00:01 [medline]', '1966/03/01 00:00 [entrez]']",,ppublish,Bull Inst Natl Sante Rech Med. 1966 Mar-Apr;21(2):399-408.,Aspects actuels de l'epidemiologie des leucemies.,,,45
5326870,NLM,MEDLINE,19660727,20190904,0006-5242 (Print) 0006-5242 (Linking),13,1,1966 Apr,The source of mononuclears at a site inflammation.,20-9,"['Libansky, J']",['Libansky J'],['eng'],['Journal Article'],Germany,Blut,Blut,0173401,,IM,"['Aged', 'Female', 'Hodgkin Disease', 'Humans', '*Inflammation', '*Leukemia', '*Leukocytes', '*Lymphatic Diseases', '*Lymphocytes', 'Lymphoma', 'Lymphoma, Large B-Cell, Diffuse', 'Male', 'Middle Aged', '*Monocytes', 'Plasmacytoma']",,1966/04/01 00:00,1966/04/01 00:01,['1966/04/01 00:00'],"['1966/04/01 00:00 [pubmed]', '1966/04/01 00:01 [medline]', '1966/04/01 00:00 [entrez]']",['10.1007/BF01631066 [doi]'],ppublish,Blut. 1966 Apr;13(1):20-9. doi: 10.1007/BF01631066.,,,,
