PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AB,AID,PMC,CIN,GR,GS,EIN,SI,RF,TT,CON,MID,OID
1688638,NLM,MEDLINE,19900220,20130304,0887-6924 (Print) 0887-6924 (Linking),4,1,1990 Jan,Modulation of colony stimulating factor-(CSF) dependent growth of acute myeloid leukemia by tumor necrosis factor.,37-43,"['Salem, M', 'Delwel, R', 'Touw, I', 'Mahmoud, L A', 'Elbasousy, E M', 'Lowenberg, B']","['Salem M', 'Delwel R', 'Touw I', 'Mahmoud LA', 'Elbasousy EM', 'Lowenberg B']","['Almansoura Faculty of Medicine, Egypt.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Colony-Stimulating Factors)', '0 (Growth Substances)', '0 (Interleukin-3)', '0 (Tumor Necrosis Factor-alpha)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,"['Adult', 'Cell Division/drug effects', 'Colony-Stimulating Factors/biosynthesis/*pharmacology', 'Granulocyte Colony-Stimulating Factor', 'Granulocyte-Macrophage Colony-Stimulating Factor', 'Growth Substances/pharmacology', 'Humans', 'Interleukin-3/pharmacology', 'Leukemia, Myeloid, Acute/*pathology', 'Tumor Cells, Cultured', 'Tumor Necrosis Factor-alpha/*pharmacology']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Leukemia. 1990 Jan;4(1):37-43.,"In this study we demonstrate that tumor necrosis factors (TNF alpha and TNF beta) are potent modulators of the in vitro proliferation of human AML cells. Blast cells from 11 cases of acute myeloblastic leukemia (AML) were incubated with recombinant TNF alpha or TNF beta in serum-free 3H-TdR uptake and colony culture systems in the presence or absence of recombinant interleukin-3 (IL-3), granulocyte macrophage colony-stimulating factor (GM-CSF), G-CSF, or M-CSF. Depending on the supplemented CSF, TNF could upregulate or suppress AML blast proliferation. Enhancement of AML growth by TNF was observed in the presence of IL-3 (in 9 of 11 cases in 3H-TdR assay; 6 of 9 cases in colony assay) and GM-CSF (in 8 of 11 cases in 3H-TdR assay; 4 of 9 cases in colony assay). In certain cases in which IL-3 or GM-CSF alone was unable to induce proliferative responses of AML cells, the simultaneous addition of TNF elicited colony growth and DNA synthesis suggesting a synergistic action between TNF and IL-3 or GM-CSF. In contrast, TNF suppressed G-CSF-induced growth (9 of 10 cases in 3H-TdR assay; 5 of 6 cases in colony assay). TNF could also stimulate DNA synthesis (in 2 of 11 cases) or colony formation (in 2 of 9 cases) in AML cultures without the addition of other growth factors. Experiments with neutralizing antibodies and specific radioimmunoassays for individual CSFs showed that the synergistic and antagonistic effects of TNF on AML growth could not be attributed to a release of one of these CSFs by the AML cells. The opposing consequence of exposure of AML blasts to TNF are of interest in view of our understanding of the pathophysiology of AML growth and the in vivo application of recombinant cytokines in AML patients.",,,,,,,,,,,,
1688637,NLM,MEDLINE,19900220,20130304,0887-6924 (Print) 0887-6924 (Linking),4,1,1990 Jan,Evolution of a mutant J2E erythroid cell line which does not respond to erythropoietin.,24-8,"['Klinken, S P', 'Nicola, N A']","['Klinken SP', 'Nicola NA']","['Walter and Eliza Hall Institute of Medical Research, Royal Melbourne Hospital, Parkville, Australia.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,"['0 (Hemoglobins)', '0 (Receptors, Cell Surface)', '0 (Receptors, Erythropoietin)', '11096-26-7 (Erythropoietin)', '63231-63-0 (RNA)']",IM,"['Animals', 'Cell Line, Transformed', 'Erythropoietin/biosynthesis/*pharmacology', 'Hemoglobins/biosynthesis', 'Mice', 'Mutation', 'Oncogenes', 'RNA/analysis', 'Receptors, Cell Surface/analysis', 'Receptors, Erythropoietin']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Leukemia. 1990 Jan;4(1):24-8.,"The recently derived J2E cell lines differentiate in response to erythropoietin. However, during the course of growth in culture, a subclone has emerged which fails to synthesize hemoglobin or show accelerated proliferation following hormonal stimulation. The inability to respond to erythropoietin is not due to autocrine production of the hormone by these cells. Moreover, it appears unlikely that the block occurs at the level of the erythropoietin receptor as the number of receptors per cell was only marginally reduced and both ligand binding and internalization were normal. It is likely, therefore, that the intracellular signal transduction mechanism is faulty or a defect in hemoglobin production has developed.",,,,"['CA 12421/CA/NCI NIH HHS/United States', 'CA 22556/CA/NCI NIH HHS/United States']",,,,,,,,
1688632,NLM,MEDLINE,19900222,20161017,0098-7484 (Print) 0098-7484 (Linking),263,6,1990 Feb 9,From the Food and Drug Administration.,793,"['Nightingale, S L']",['Nightingale SL'],,['eng'],['Journal Article'],United States,JAMA,JAMA,7501160,"['0 (Arabinonucleotides)', '106XV160TZ (Vidarabine Phosphate)', '1X9VK9O1SC (fludarabine phosphate)', 'EC 3.4.24.69 (Botulinum Toxins)']",IM,"['Arabinonucleotides/*therapeutic use', 'Blepharospasm/*drug therapy', 'Botulinum Toxins/therapeutic use', '*Drug Industry', 'Eyelid Diseases/*drug therapy', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/drug therapy', '*Orphan Drug Production', 'Strabismus/*drug therapy', 'Tampons, Surgical/*standards', 'Vidarabine Phosphate/analogs & derivatives/*therapeutic use']",1990/02/09 00:00,1990/02/09 00:01,['1990/02/09 00:00'],"['1990/02/09 00:00 [pubmed]', '1990/02/09 00:01 [medline]', '1990/02/09 00:00 [entrez]']",ppublish,JAMA. 1990 Feb 9;263(6):793.,,,,,,,,,,,,,
1688626,NLM,MEDLINE,19900214,20200724,0022-538X (Print) 0022-538X (Linking),64,2,1990 Feb,Specificities involved in the initiation of retroviral plus-strand DNA.,592-7,"['Luo, G X', 'Sharmeen, L', 'Taylor, J']","['Luo GX', 'Sharmeen L', 'Taylor J']","['Fox Chase Cancer Center, Philadelphia, Pennsylvania 19111.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (DNA, Viral)', '0 (RNA, Viral)', '0 (Recombinant Proteins)', 'EC 2.7.7.49 (RNA-Directed DNA Polymerase)', 'EC 2.7.7.7 (DNA-Directed DNA Polymerase)', 'EC 3.1.- (Endoribonucleases)', 'EC 3.1.26.4 (Ribonuclease H)']",IM,"['Avian Myeloblastosis Virus/enzymology', 'Avian Sarcoma Viruses/*genetics', 'Base Sequence', 'Cloning, Molecular', 'DNA, Viral/*genetics', 'DNA-Directed DNA Polymerase/*metabolism', 'Endoribonucleases/metabolism', 'Escherichia coli/enzymology/genetics', '*Genes, Viral', 'Leukemia Virus, Murine/enzymology', 'Molecular Sequence Data', 'RNA, Viral/*genetics', 'RNA-Directed DNA Polymerase/*metabolism', 'Recombinant Proteins/metabolism', 'Ribonuclease H']",1990/02/01 00:00,1990/02/01 00:01,['1990/02/01 00:00'],"['1990/02/01 00:00 [pubmed]', '1990/02/01 00:01 [medline]', '1990/02/01 00:00 [entrez]']",ppublish,J Virol. 1990 Feb;64(2):592-7. doi: 10.1128/JVI.64.2.592-597.1990.,"Reverse transcription of the retroviral RNA genome begins with tRNA-primed synthesis of a minus-strand DNA, which subsequently acts as the template for the synthesis of plus-strand DNA. This plus-strand DNA is initiated at a unique location and makes use of a purine-rich RNA oligonucleotide derived by RNase H action on the viral RNA. To determine the variables that are relevant to successful specific initiation of plus-strand DNA synthesis, we have used nucleic acid sequences from the genome of Rous sarcoma virus along with three different sources of RNase H: avian myeloblastosis virus DNA polymerase, murine leukemia virus DNA polymerase, and the RNase H of Escherichia coli. Our findings include evidence that specificity is controlled not only by the nucleic acid sequences but also by the RNase H. For example, while the avian reverse transcriptase efficiently and specifically initiates on the sequences of the avian retrovirus, the murine reverse transcriptase initiates specifically but at a location 4 bases upstream of the correct site.",['10.1128/JVI.64.2.592-597.1990 [doi]'],PMC249148,,"['CA-06927/CA/NCI NIH HHS/United States', 'RR-05539/RR/NCRR NIH HHS/United States']",,,,,,,,
1688607,NLM,MEDLINE,19900214,20190508,0022-1007 (Print) 0022-1007 (Linking),171,1,1990 Jan 1,Uniform high frequency expression of autoantibody-associated crossreactive idiotypes in the primary B cell follicles of human fetal spleen.,189-96,"['Kipps, T J', 'Robbins, B A', 'Carson, D A']","['Kipps TJ', 'Robbins BA', 'Carson DA']","['Department of Molecular and Experimental Medicine, Research Institute of Scripps Clinic, La Jolla, California 92037.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Exp Med,The Journal of experimental medicine,2985109R,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD)', '0 (Antigens, Differentiation)', '0 (Antigens, Differentiation, T-Lymphocyte)', '0 (Autoantibodies)', '0 (CD3 Complex)', '0 (CD5 Antigens)', '0 (Immunoglobulin Idiotypes)', '0 (Receptors, Antigen, T-Cell)']",IM,"['Antibodies, Monoclonal', 'Antigens, CD/analysis', 'Antigens, Differentiation/analysis', 'Antigens, Differentiation, T-Lymphocyte/analysis', 'Autoantibodies/*immunology', 'B-Lymphocytes/*immunology', 'CD3 Complex', 'CD5 Antigens', 'Cross Reactions', 'Fetus', '*Gene Expression', 'Genes, Immunoglobulin', 'Humans', 'Immunoglobulin Idiotypes/*analysis/genetics', 'Receptors, Antigen, T-Cell/analysis', 'Spleen/embryology/*immunology']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,J Exp Med. 1990 Jan 1;171(1):189-96. doi: 10.1084/jem.171.1.189.,"At 23 wk of gestation, the fetal spleen contains follicles of lymphocytes that coexpress B cell differentiation antigens, surface Ig, and the 67-kD pan-T lymphocyte antigen, CD5 (Leu-1). Such cells are thought to represent the normal equivalent cells of B chronic lymphocytic leukemia (CLL). This B cell leukemia is distinctive in that high proportions of patients have leukemic cells that express sIg bearing one or more crossreactive idiotypes (CRIs) that commonly are found on IgM autoantibodies. We performed immunohistochemical studies on fetal spleen at 23 wk of gestation using a panel of mAbs specific for autoantibody-associated CRIs. We find that high proportions (5-17%) of the lymphocytes within each follicle react with any one of the anti-CRI mAbs. Furthermore, there is little variation between primary follicles in the proportions of cells that express a particular CRI. Using a cocktail of four anti-CRI mAbs, we detect autoantibody-associated CRIs on approximately one-third of the lymphocytes within each of the primary B cell follicles. These data indicate that the many of the Igs produced during early B cell development may be structurally related to IgM autoantibodies and to Ig expressed in CLL and related CD5 B cell malignancies. Furthermore, these studies suggest that the repertoire of Ig V genes expressed in each primary B cell follicle may be representative of the total restricted Ig V gene repertoire expressed during early B cell ontogeny.",['10.1084/jem.171.1.189 [doi]'],PMC2187670,,"['AG-04100/AG/NIA NIH HHS/United States', 'AR-38475/AR/NIAMS NIH HHS/United States', 'CA-49870/CA/NCI NIH HHS/United States']",,,,,,,,
1688504,NLM,MEDLINE,19900222,20210216,0006-4971 (Print) 0006-4971 (Linking),75,2,1990 Jan 15,In vitro differentiation of leukemic cells to eosinophils in the presence of interleukin-5 in two cases of acute myeloid leukemia with the translocation (8;21)(q22;q22).,350-6,"['Ema, H', 'Kitano, K', 'Suda, T', 'Sato, Y', 'Muroi, K', 'Ohta, M', 'Yoshida, M', 'Sakamoto, S', 'Eguchi, M', 'Miura, Y']","['Ema H', 'Kitano K', 'Suda T', 'Sato Y', 'Muroi K', 'Ohta M', 'Yoshida M', 'Sakamoto S', 'Eguchi M', 'Miura Y']","['Department of Medicine, Jichi Medical School, Tochigi-ken, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Colony-Stimulating Factors)', '0 (Growth Substances)', '0 (Interleukin-3)', '0 (Interleukin-5)', '0 (Interleukin-6)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,"['Cell Differentiation', 'Chromosomes, Human, Pair 21', 'Chromosomes, Human, Pair 8', 'Colony-Stimulating Factors/pharmacology', 'Eosinophils/*cytology', 'Granulocyte Colony-Stimulating Factor', 'Granulocyte-Macrophage Colony-Stimulating Factor', 'Growth Substances/pharmacology', 'Humans', 'In Vitro Techniques', 'Interleukin-3/pharmacology', 'Interleukin-5/*pharmacology', 'Interleukin-6/pharmacology', 'Leukemia, Myeloid, Acute/genetics/*pathology', 'Microscopy, Electron', 'Translocation, Genetic', 'Tumor Cells, Cultured']",1990/01/15 00:00,1990/01/15 00:01,['1990/01/15 00:00'],"['1990/01/15 00:00 [pubmed]', '1990/01/15 00:01 [medline]', '1990/01/15 00:00 [entrez]']",ppublish,Blood. 1990 Jan 15;75(2):350-6.,"We demonstrated the significant eosinophilic growth of leukemic cells in the presence of interleukin-5 (IL-5) in 2 of 15 cases of acute myeloid leukemia. These two cases were M2 (FAB classification) with the translocation (8;21)(q22; q22). Bone marrow examination revealed the rather high percentages (6% and 9%) of atypical eosinophils in the total nucleated bone marrow cells in these two cases. In the remaining 13 cases, eosinophils were less than 2% in the nucleated bone marrow cells. In the methylcellulose culture system, 142 +/- 18 or 54 +/- 2 colonies were formed by 5 x 10(4) mononuclear cells in the presence of IL-5 in these two cases. These colonies mainly comprised mature eosinophils. Eosinophils were confirmed by Biebrich scarlet staining and electron microscopic examination using a specific lectin binding assay. The eosinophilic differentiation and proliferation of leukemic cells were also observed in the liquid culture system. It was shown that eosinophils observed in both systems were derived from leukemic cells using the chromosomal marker of leukemic cells, t(8;21). Leukemic cells also differentiated to neutrophils or both neutrophils and eosinophils in response to granulocyte colony-stimulating factor or interleukin-3, respectively, but did not respond noticeably to granulocyte-macrophage colony-stimulating factor. Although IL-5 acts on normal eosinophil committed precursors as a lineage-specific growth factor, at least some leukemic cells reacted to IL-5 and could proliferate and differentiate along eosinophilic pathway. Our findings suggest that atypical eosinophils observed in the bone marrow were derived from the leukemic clone in two cases of AML.",['S0006-4971(20)85780-2 [pii]'],,,,,,,,,,,
1688503,NLM,MEDLINE,19900209,20210216,0006-4971 (Print) 0006-4971 (Linking),75,1,1990 Jan 1,"Binding of G-CSF, GM-CSF, tumor necrosis factor-alpha, and gamma-interferon to cell surface receptors on human myeloid leukemia cells triggers rapid tyrosine and serine phosphorylation of a 75-Kd protein.",88-95,"['Evans, J P', 'Mire-Sluis, A R', 'Hoffbrand, A V', 'Wickremasinghe, R G']","['Evans JP', 'Mire-Sluis AR', 'Hoffbrand AV', 'Wickremasinghe RG']","['Department of Haematology, Royal Free Hospital School of Medicine, London, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Colony-Stimulating Factors)', '0 (Growth Substances)', '0 (Interleukin-2)', '0 (Phosphoproteins)', '0 (Receptors, Cell Surface)', '0 (Receptors, Colony-Stimulating Factor)', '0 (Receptors, Granulocyte Colony-Stimulating Factor)', '0 (Receptors, Immunologic)', '0 (Receptors, Interferon)', '0 (Receptors, Tumor Necrosis Factor)', '0 (Tumor Necrosis Factor-alpha)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '17885-08-4 (Phosphoserine)', '82115-62-6 (Interferon-gamma)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)', 'EC 2.7.- (Protein Kinases)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)']",IM,"['Colony-Stimulating Factors/*metabolism', 'Granulocyte Colony-Stimulating Factor', 'Granulocyte-Macrophage Colony-Stimulating Factor', 'Growth Substances/*metabolism', 'Humans', 'Interferon-gamma/*metabolism', 'Interleukin-2/pharmacology', 'Molecular Weight', 'Phosphoproteins/*metabolism', 'Phosphoserine/metabolism', 'Protein Kinases/*physiology', 'Protein-Tyrosine Kinases/*physiology', 'Receptors, Cell Surface/*physiology', 'Receptors, Colony-Stimulating Factor', 'Receptors, Granulocyte Colony-Stimulating Factor', 'Receptors, Immunologic/physiology', 'Receptors, Interferon', 'Receptors, Tumor Necrosis Factor', 'Time Factors', 'Tumor Cells, Cultured', 'Tumor Necrosis Factor-alpha/*metabolism']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Blood. 1990 Jan 1;75(1):88-95.,"Granulocyte colony-stimulating factor (G-CSF), granulocyte-macrophage colony-stimulating factor (GM-CSF), gamma-interferon (gamma-IFN), or tumor necrosis factor-alpha (TNF-alpha) triggered the rapid, stable phosphorylation of a 75-Kd protein (p75) when incubated with permeabilized HL60 human myeloid leukemia cells in the presence of [gamma-32P] ATP. Among several chemical inducers of HL60 cell differentiation, dimethyl sulfoxide also triggered p75 labeling, but retinoic acid or 12-O-tetradecanoylphorbol-13-acetate did not elicit this response. Pretreatment of cells with G-CSF or GM-CSF for more than 30 seconds before permeabilization rendered the p75 labeling undetectable, suggesting that ligand-stimulated labeling was rapidly completed within this time in intact cells. Phosphorylation of p75 occurred on serine and tyrosine residues. This conclusion was confirmed by direct phosphoamino acid analysis. Immunoblot analysis of lysates of intact HL60 cells that had been incubated with G-CSF, GM-CSF, IFN, or TNF confirmed that tyrosine phosphorylation of a p75 also occurred in response to these cytokines in intact cells. Pretreatment of intact HL60 cells with one biologic agent or dimethyl sulfoxide abolished p75 labeling in response to incubation of permeabilized cells with a second agent, strongly suggesting that the same protein was phosphorylated in response to these treatments. p75 labeling was strictly dependent on expression of the appropriate ligand receptor. Data suggest that activation of a tyrosine kinase system is an early response to the binding of G-CSF, GM-CSF, TNF, or IFN to their respective cell surface receptors, or to the addition of dimethyl sulfoxide, and that the resulting phosphorylation event(s) may play a role in securing common elements in the biologic responses to these agents.",['S0006-4971(20)85822-4 [pii]'],,,,,,,,,,,
1688495,NLM,MEDLINE,19900209,20210216,0006-4971 (Print) 0006-4971 (Linking),75,1,1990 Jan 1,Prognostic factors in childhood T-cell acute lymphoblastic leukemia: a Pediatric Oncology Group study.,166-73,"['Shuster, J J', 'Falletta, J M', 'Pullen, D J', 'Crist, W M', 'Humphrey, G B', 'Dowell, B L', 'Wharam, M D', 'Borowitz, M']","['Shuster JJ', 'Falletta JM', 'Pullen DJ', 'Crist WM', 'Humphrey GB', 'Dowell BL', 'Wharam MD', 'Borowitz M']","['University of Florida, POG Statistical Office, Gainesville.']",['eng'],"['Clinical Trial', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Antigens, CD)', '0 (Antigens, Differentiation)', '0 (Antigens, Surface)', '0 (CD5 Antigens)', '0 (Thy-1 Antigens)']",IM,"['Antigens, CD/analysis', 'Antigens, Differentiation/analysis', 'Antigens, Surface/analysis', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'CD5 Antigens', 'Child', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/*diagnosis/drug therapy/immunology', 'Leukocyte Count', 'Multicenter Studies as Topic', 'Prognosis', 'Retrospective Studies', 'Statistics as Topic', 'Thy-1 Antigens']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Blood. 1990 Jan 1;75(1):166-73.,"Two hundred fifty-three children with newly diagnosed T-cell acute lymphoblastic leukemia (ALL), who were treated uniformly with modified LSA2L2 therapy, were evaluated using univariate and recursive partition analyses to define clinical or biologic features associated with risk of treatment failure. Overall event-free survival (EFS) at 4 years was 43% (SE = 4%). Factors examined included white blood cell (WBC) level, age, gender, race (black v other), presence of a mediastinal mass, hepatomegaly, splenomegaly, marked lymphadenopathy, hemoglobin level, platelet count, blast cell expression of antigens such as the common acute lymphoblastic leukemia antigen (CALLA, CD10), HLA-DR, and T-cell-associated antigens (CD3, CD4, CD8, CD7, CD5, and THY). Univariate analysis showed that age less than or equal to 5 or less than or equal to 7 years, WBC level less than 10, less than 25, less than 50 or less than 100 x 10(3)/microL, and blast cell expression of CD4, CD8, or CALLA were associated with significantly better EFS, while hepatomegaly and splenomegaly were associated with worse EFS. Recursive partitioning analysis showed that the most important single favorable prognostic factor was a WBC level less than 50 x 10(3)/microL and, for patients with WBC counts below this level, the most important predictor of EFS was blast cell expression of the pan-T antigen defined by the monoclonal antibody (MoAb), L17F12 (CD5). For patients with higher WBC levels, the most important predictor of EFS was blast cell expression of THY antigen. The recursive partitioning analysis defined three groups of patients with widely varied prognoses identified as follows: (1) those with a WBC count less than 50 x 10(3)/microL who lacked massive splenomegaly and had blasts expressing CD5 had the best prognosis (66%, SE = 7%, EFS 4 years, n = 84); (2) those with (b1) WBC counts less than 50 x 10(3)/microL with either massive splenomegaly or who had blasts lacking CD5 expression, or (b2) WBC counts greater than 50 x 10(3)/microL with expression of the THY antigen had an intermediate prognosis (39%, SE = 7% EFS at 4 years, n = 94); (3) those with WBC counts greater than 50 x 10(3)/microL and whose blasts lacked expression of THY antigen had the poorest outcome (EFS = 19% at 4 years, SE = 8%, n = 63). A three-way comparison of EFS according to these groupings showed significant differences among the three patient groups (P less than .001). The recursive partitioning was able to classify 241 (95%) of the patients.(ABSTRACT TRUNCATED AT 400 WORDS)",['S0006-4971(20)85833-9 [pii]'],,,"['CA-15525/CA/NCI NIH HHS/United States', 'CA-15898/CA/NCI NIH HHS/United States', 'CA-29139/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,,
1688467,NLM,MEDLINE,19900208,20200930,0037-9727 (Print) 0037-9727 (Linking),193,1,1990 Jan,Magainin-2 releases histamine from rat mast cells.,50-5,"['Hook, W A', 'Tsuji, S', 'Siraganian, R P']","['Hook WA', 'Tsuji S', 'Siraganian RP']","['Clinical Immunology Section, Laboratory of Immunology National Institute of Dental Research, Bethesda, Maryland 20892.']",['eng'],['Journal Article'],United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,"['0 (Anti-Infective Agents)', '0 (Antimicrobial Cationic Peptides)', '0 (Magainins)', '0 (Peptides)', '0 (Xenopus Proteins)', '108433-95-0 (magainin 2 peptide, Xenopus)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)', 'I38ZP9992A (Magnesium)', 'SY7Q814VUP (Calcium)']",IM,"['Amino Acid Sequence', 'Animals', 'Anti-Infective Agents/*pharmacology', '*Antimicrobial Cationic Peptides', 'Calcium/pharmacology', 'Cell Line', 'Histamine Release/*drug effects', 'In Vitro Techniques', 'Kinetics', 'L-Lactate Dehydrogenase/metabolism', 'Leukemia, Basophilic, Acute', 'Magainins', 'Magnesium/pharmacology', 'Male', 'Mast Cells/drug effects/*physiology', 'Molecular Sequence Data', 'Peptides/*pharmacology', 'Rats', 'Rats, Inbred Strains', 'Temperature', '*Xenopus Proteins']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Proc Soc Exp Biol Med. 1990 Jan;193(1):50-5. doi: 10.3181/00379727-193-42989.,"The magainins are basic 23 amino acid peptides with a broad spectrum of antimicrobial activity. Their bactericidal effect has been attributed to their capacity to interact with lipid bilayer membranes. We observed histamine release by magainin-2 amide from rat peritoneal mast cells (ED50 = 13 micrograms/ml) but not from human basophils. This histamine-releasing reaction from peritoneal mast cells was due to a secretory rather than cytolytic effect, i.e., release occurred without concomitant liberation of lactic dehydrogenase. Furthermore, the pretreatment of mast cells with magainin-2 amide did not desensitize cells against subsequent challenge with other secretagogues. Maximum histamine release occurred in less than a minute at 25 and 37 degrees C. The addition of Ca2+ was not required for histamine release, although release was enhanced by the addition of 0.3-1 mM Ca2+. The addition of 3 mM Ca2+ or Mg2+ was markedly inhibitory. The presence of Na+ or Cl- ions in the medium was not required for release. Therefore, histamine release is not due to the formation of anion-selective channels in the membrane of mast cells. The results indicated that the characteristics of histamine secretion induced by magainin-2 amide were unlike IgE-mediated release but were similar to the mechanism of release attributed to some other basic peptides and to compound 48/80.",['10.3181/00379727-193-42989 [doi]'],,,,,,,,,,,
1688453,NLM,MEDLINE,19900130,20071115,0737-1454 (Print) 0737-1454 (Linking),8,1,1990 Jan,Response of leukemic cells to the sequential combination of GM-CSF and G-CSF.,54-62,"['Inoue, C', 'Murate, T', 'Hotta, T', 'Saito, H']","['Inoue C', 'Murate T', 'Hotta T', 'Saito H']","['Department of Medicine, Nagoya University School of Medicine, Japan.']",['eng'],['Journal Article'],United States,Int J Cell Cloning,International journal of cell cloning,8308172,"['0 (Colony-Stimulating Factors)', '0 (Growth Substances)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,"['Colony-Stimulating Factors/*pharmacology', 'Drug Interactions', 'Granulocyte Colony-Stimulating Factor', 'Granulocyte-Macrophage Colony-Stimulating Factor', 'Growth Substances/*pharmacology', 'Humans', 'Leukemia, Myeloid, Acute/*metabolism', 'Neoplastic Stem Cells/*drug effects', 'Tumor Cells, Cultured', 'Tumor Stem Cell Assay']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Int J Cell Cloning. 1990 Jan;8(1):54-62. doi: 10.1002/stem.5530080107.,"We designed two experiments using delayed stimulation by granulocyte/macrophage colony-stimulating factor (GM-CSF) or granulocyte colony-stimulating factor (G-CSF) with colony-type analysis in order to elucidate the characteristics of factor-dependent proliferation and differentiation of leukemic progenitor cells. Eight patients with acute myelogenous leukemia showing non-autonomous colony growth were selected. Three of the six cases showed that delayed addition of G-CSF to agar culture initiated by GM-CSF had no influence on the type and number of colonies; whereas, delayed addition of GM-CSF to G-CSF resulted in additional GM colonies. These findings were the same for normal bone marrow progenitors. In two cases, granulocytic colonies markedly increased with delayed addition of G-CSF to GM-CSF. Synergism occurred in one case where GM-CSF was used first. In the next experiment, regardless of whether CSF was used during the 48 hour preincubation, subsequent colony types were affected by the CSF used in agar culture. But colony numbers increased 1.5 fold in two of six cases by preincubation with GM-CSF, and 1.2 to 1.7 fold in all normal cases by preincubation with G-CSF. These results suggest that although there is a great heterogeneity in the response to CSF, some leukemic progenitors act like normal progenitors.",['10.1002/stem.5530080107 [doi]'],,,,,,,,,,,
