PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,OID,OAB,OABL,OTO,OT,GN,CON,SI,CIN,EIN,RIN
2761292,NLM,MEDLINE,19890919,20190824,0145-2126 (Print) 0145-2126 (Linking),13,7,1989,"The effects of thymidine on deoxyribonucleotide pool levels, cytotoxicity and mutation induction in Friend mouse erythroleukaemia cells.",615-20,"The ability of excess thymidine (10(-6)-10(-3) M) to enhance the frequency of 6-thioguanine (6-TG) resistant cell mutants and 2,6-diaminopurine (DAP) resistant cell mutants in Friend mouse erythroleukaemia cells, clone 707, was investigated. A significant increase in mutant frequency for both markers was observed at the higher (10(-4) and 10(-3) M) thymidine treatments. Measurements of deoxyribonucleoside triphosphate pool sizes in the cells revealed a dramatic elevation of the deoxythymidine triphosphate and deoxyguanosine triphosphate pools, an increase in the deoxyadenosine triphosphate pool and an almost complete disappearance of the deoxycytidine triphosphate pool at the higher thymidine treatments. This complemented the mutagenesis data. These results support the view that increases in mutant frequency may take place following perturbations in DNA precursor pools through a resultant decrease in the fidelity of DNA synthesis. Measurements of deoxyribonucleoside triphosphate pools were also carried out on clone 707 Friend cells and a thymidine kinase-deficient subclone, 707 BUF. The thymidine kinase-deficient subclone had significantly reduced deoxythymidine triphosphate and deoxyguanosine triphosphate pools relative to those observed in-clone 707 cells. The previously observed mutagen hypersensitivity in thymidine kinase-deficient Friend cells may result through pool imbalance rendering DNA excision repair error prone.","['Wilkinson, Y A', 'McKenna, P G']","['Wilkinson YA', 'McKenna PG']","['Biomedical Sciences Research Centre, University of Ulster, Coleraine, Northern Ireland.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,"['0 (Deoxyribonucleotides)', '0 (Mutagens)', '452-06-2 (2-Aminopurine)', '49P95BAU4Z (2,6-diaminopurine)', 'FTK8U1GZNX (Thioguanine)', 'VC2W18DGKR (Thymidine)']",IM,"['2-Aminopurine/analogs & derivatives', 'Animals', 'Cell Cycle/drug effects', 'Cell Line', 'Cell Survival/*drug effects', 'Clone Cells/drug effects/metabolism/pathology', 'Deoxyribonucleotides/*metabolism', 'Drug Resistance/genetics', 'Friend murine leukemia virus', 'Leukemia, Erythroblastic, Acute/*genetics/metabolism/pathology', 'Mice', '*Mutagens', '*Mutation', 'Thioguanine', 'Thymidine/*toxicity']",,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']","['0145-2126(89)90130-6 [pii]', '10.1016/0145-2126(89)90130-6 [doi]']",ppublish,Leuk Res. 1989;13(7):615-20. doi: 10.1016/0145-2126(89)90130-6.,,,,,,,,,,,,
2761290,NLM,MEDLINE,19890919,20190824,0145-2126 (Print) 0145-2126 (Linking),13,7,1989,"Alteration of intracellular actin levels induced by phorboldiester in human HL-60 leukemia cells susceptible or resistant to differentiation, and the effects of protein kinase inhibitors.",545-52,"During monocyte-macrophage differentiation of HL-60 cells by 12-O-tetradecanoyl phorbol 13-acetate, the intracellular globular(G)-actin and polymerized(F)-actin increased 3-fold and 1.7-fold, respectively. Time course studies showed that these changes of actin levels were nearly coincident with the development of macrophage characteristics, including adhesiveness, positive reactivity against OKM-1 antibody and elevated lysozyme activity. When exposed to 5 nM TPA, these different properties of differentiation were detectable as early as 12 h after TPA treatment and reached a maximum by 24 h. Phosphorylation of 17 K and 27 K proteins, induced by TPA, occurred early (within 30 min) during TPA-induced differentiation. On the other hand, HL-60R cells, which are resistant to TPA in terms of the development of adhesiveness and differentiation, showed no change in both G- and F-actin levels, after the TPA treatment. TPA did not induce phosphorylation of these proteins in the HL-60R cells. In the presence of the protein kinase inhibitors, 1-(5-isoquinolinesulfonyl)-2-methylpiperazine dihydrochloride (H-7, 20 microM) and staurosporine (10 nM), the increase in actin levels induced by TPA was inhibited as well as other later evidence of differentiation. These results suggest that the phosphorylation of specific proteins is closely associated with the process of differentiation of HL-60 cells into macrophages.","['Uemura, Y', 'Nishikawa, M', 'Komada, F', 'Shirakawa, S']","['Uemura Y', 'Nishikawa M', 'Komada F', 'Shirakawa S']","['Second Department of Internal Medicine, Mie University School of Medicine, Japan.']",['eng'],,['Journal Article'],England,Leuk Res,Leukemia research,7706787,"['0 (Actins)', '0 (Alkaloids)', '0 (Antibodies, Monoclonal)', '0 (Isoquinolines)', '0 (Neoplasm Proteins)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '84477-87-2 (1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine)', 'H88EPA0A3N (Staurosporine)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine', 'Actins/*metabolism', 'Alkaloids/pharmacology', 'Antibodies, Monoclonal', 'Antigen-Antibody Reactions', 'Cell Differentiation/drug effects', 'Cell Line', 'Cytoplasm/*metabolism', 'Drug Resistance', 'Humans', 'Isoquinolines/pharmacology', 'Leukemia, Promyelocytic, Acute/enzymology/*metabolism/pathology', 'Macrophages/pathology', 'Neoplasm Proteins/metabolism', 'Phosphorylation', 'Piperazines/pharmacology', '*Protein Kinase Inhibitors', 'Staurosporine', 'Tetradecanoylphorbol Acetate/*pharmacology', 'Tumor Cells, Cultured/enzymology/*metabolism/pathology']",,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1016/0145-2126(89)90121-5 [doi]'],ppublish,Leuk Res. 1989;13(7):545-52. doi: 10.1016/0145-2126(89)90121-5.,,,,,,,,,,,,
2761289,NLM,MEDLINE,19890919,20190824,0145-2126 (Print) 0145-2126 (Linking),13,7,1989,Cytogenetic studies on the adult T-cell leukemia in Japan.,535-43,"Cytogenetic studies were performed on 16 patients with ATL seen in Northern Kyushu island; nine were patients with acute type leukemia, one with crisis type and five with lymphoma type. The serum antibody for HTLV-1 (ATLA) was positive in all patients and the phenotype of ATL cells were ERFC+, OKT3+, OKT4+, OKT6-, OKT8-, OKT10+, OKla1+/- and Tac+. Abnormal findings of chromosomes were observed in 15 patients. Thirteen patients were in near diploid range. One patient was in triploid range and one patient was in tetraploid range. The polyploid karyotypes were found only in lymphoma type patients. Trisomy 3 and trisomy 7 were observed each in three patients with acute type of ATL. The most frequent abnormal rearrangement was observed in the long arm of chromosome 6 and the break occurred at band 6q15 and 6q21 each in four patients in this series.","['Fujita, K', 'Yamasaki, Y', 'Sawada, H', 'Izumi, Y', 'Fukuhara, S', 'Uchino, H']","['Fujita K', 'Yamasaki Y', 'Sawada H', 'Izumi Y', 'Fukuhara S', 'Uchino H']","['Department of Internal Medicine, Kokura Memorial Hospital, Kitakyushu, Japan.']",['eng'],,['Journal Article'],England,Leuk Res,Leukemia research,7706787,,IM,"['Acute Disease', 'Adult', 'Aged', 'Chromosome Aberrations/classification/*genetics/pathology', 'Chromosome Deletion', 'Chromosome Disorders', 'Female', 'Humans', 'Japan', 'Karyotyping', 'Leukemia, T-Cell/classification/*genetics/pathology', 'Lymphoma/genetics', 'Male', 'Middle Aged', 'Phenotype', 'Translocation, Genetic']",,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']","['0145-2126(89)90120-3 [pii]', '10.1016/0145-2126(89)90120-3 [doi]']",ppublish,Leuk Res. 1989;13(7):535-43. doi: 10.1016/0145-2126(89)90120-3.,,,,,,,,,,,,
2761288,NLM,MEDLINE,19890919,20190824,0145-2126 (Print) 0145-2126 (Linking),13,7,1989,Immunological phenotypic pattern of acute lymphoblastic leukaemia in Egypt.,519-25,"We have performed immunophenotyping studies on 186 untreated cases of acute lymphoblastic leukemia (ALL) in an Egyptian population, using panels of monoclonal antibodies (mAb) and an avidin-biotin-immunoperoxidase detection system. Sixty-two of these cases were tested with a panel of mAb directed against the T-cell markers CD2, CD4, CD8, B-cell markers CD20, kappa and lambda, the common ALL antigen (common ALLa) and class II HLA antigens. The remaining 124 cases were also tested with additional markers of T- and B-cell precursors, namely CD7 and CD19. The common leukocyte antigen, T200, was used to exclude nonhemopoietic neoplasms. Cases that remained unclassifiable were further tested with a wider panel of T-cell markers, including CD1, CD2, CD3 and CD5. In some cases multiple mAb directed against the same antigens were used. The relative frequencies of common ALL and B ALL were calculated from the total number of cases and were found to be 39.2% and 3.2%, respectively. The proportions of T-cell and null leukemias were calculated from the better characterized subgroup of 124 cases, and were found to be 50% and 4.8%, respectively. In our series, the age distribution of common ALL revealed a peak at 2-5 yr, but this was partially obscured in the entire series by the high proportion of T-cell cases, which had an age peak between 4 and 12 yr of age. Our results demonstrate marked differences in the phenotypic pattern of ALL in Egypt compared to Western Countries, the predominant finding being a relative excess of T-cell ALL and a paucity of common ALL cases. At present it is not clear whether this results from an increased incidence of T-cell ALL or a decreased incidence of common ALL.","['Kamel, A M', 'Assem, M M', 'Jaffe, E S', 'Magrath, I', 'Aboul Enein, M I', 'Hindawy, D S']","['Kamel AM', 'Assem MM', 'Jaffe ES', 'Magrath I', 'Aboul Enein MI', 'Hindawy DS']","['Clinical Pathology Department, National Cancer Institute, Cairo University, Egypt.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",England,Leuk Res,Leukemia research,7706787,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation)']",IM,"['Adolescent', 'Adult', 'Antibodies, Monoclonal', 'Antigens, Differentiation/analysis', 'Burkitt Lymphoma/classification/epidemiology/immunology', 'Child', 'Child, Preschool', 'Egypt', 'Female', 'Humans', 'Infant', 'Leukemia-Lymphoma, Adult T-Cell/classification/epidemiology/immunology', 'Male', 'Middle Aged', 'Phenotype', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*classification/epidemiology/immunology', 'Sex Factors']",,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']","['0145-2126(89)90118-5 [pii]', '10.1016/0145-2126(89)90118-5 [doi]']",ppublish,Leuk Res. 1989;13(7):519-25. doi: 10.1016/0145-2126(89)90118-5.,,,,,,,,,,,,
2760818,NLM,MEDLINE,19890921,20190710,0022-3549 (Print) 0022-3549 (Linking),78,6,1989 Jun,Hepatic drug clearance in children: studies with indocyanine green as a model substrate.,452-6,"For several drugs metabolized by the liver, higher dosages (mg/kg body weight) are required in children to attain serum concentrations comparable to those in adults. Indocyanine green (ICG), a commonly used model substrate for hepatic elimination of high intrinsic clearance drugs, has been extensively evaluated in adults but not in children. We evaluated the disposition of ICG in 115 children with leukemia and nine healthy adult volunteers. The mean (SD) ICG plasma clearance (CLp) for all 115 children (age 0.9-17.8 years) was significantly greater (p = 0.0006) than for adults [14.8 (7.8) versus 10.6 (2.4) mL/min/kg]. When clearances from only children less than 10 years of age (N = 85) were compared with those from adults, the difference was even greater [15.6 (7.3) versus 10.6 (2.4) mL/min/kg; p = 0.0001]. However, when ICG CLp was normalized to body surface area, values for children did not differ significantly from adults [378 (204) versus 422 (102) mL/min/m2]. These data provide insight as to why dosage (mg/kg) requirements of certain drugs are higher in children.","['Evans, W E', 'Relling, M V', 'de Graaf, S', 'Rodman, J H', 'Pieper, J A', 'Christensen, M L', 'Crom, W R']","['Evans WE', 'Relling MV', 'de Graaf S', 'Rodman JH', 'Pieper JA', 'Christensen ML', 'Crom WR']","[""Pharmacokinetics and Pharmacodynamics Section, St. Jude Children's Research Hospital, Memphis, TN.""]",['eng'],"['P01-CA20180/CA/NCI NIH HHS/United States', 'P30-CA21765/CA/NCI NIH HHS/United States', 'R37-CA36401/CA/NCI NIH HHS/United States', 'etc.']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Pharm Sci,Journal of pharmaceutical sciences,2985195R,"['0 (Blood Proteins)', 'IX6J1063HV (Indocyanine Green)']",IM,"['Adolescent', 'Adult', 'Aging/metabolism', 'Blood Proteins/metabolism', 'Body Surface Area', 'Child', 'Child, Preschool', 'Female', 'Half-Life', 'Humans', 'Indocyanine Green/blood/*pharmacokinetics', 'Infant', 'Liver/*metabolism', 'Male', 'Organ Size', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/metabolism', 'Protein Binding']",,1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']","['S0022-3549(15)47985-7 [pii]', '10.1002/jps.2600780605 [doi]']",ppublish,J Pharm Sci. 1989 Jun;78(6):452-6. doi: 10.1002/jps.2600780605.,,,,,,,,,,,,
2760654,NLM,MEDLINE,19890911,20190828,0895-4356 (Print) 0895-4356 (Linking),42,7,1989,Survival of children diagnosed with acute lymphoblastic leukemia in 1977-82 in Connecticut.,617-23,"There was no evidence for an increase in survival among all all cases (N = 104) diagnosed between 1977-82 with acute lymphoblastic leukemia (ALL) at age less than 15 years and reported to the population-based Connecticut Tumor Registry (CTR). Hazard rates were consistently higher in males vs females during the second year after diagnosis, especially in males diagnosed after 1977-78. Registry data on prognostic factors, including white blood cell (WBC) count at diagnosis and Down's syndrome (DS), and initial treatment were used to interpret survival data by sex and year of diagnosis. A statistically significant sex difference in 4-year survival among cases diagnosed in 1979-80 was related to an unusually high survival rate (i.e. 100%) in females and the occurrence of two male DS cases. Further studies are needed on sex-specific survival rates among ALL cases diagnosed after 1977-78 in population-based cancer registries, which could be improved by more complete collection of data on immunophenotype and validation of data on relapses.","['Polednak, A P']",['Polednak AP'],"['Department of Community & Preventive Medicine, School of Medicine, Stony Brook, NY 11794.']",['eng'],,['Journal Article'],United States,J Clin Epidemiol,Journal of clinical epidemiology,8801383,['80168379AG (Doxorubicin)'],IM,"['Child', 'Connecticut', 'Data Collection', 'Doxorubicin/therapeutic use', 'Female', 'Follow-Up Studies', 'Humans', 'Leukocyte Count', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/drug therapy/*mortality', 'Prognosis', 'Registries', 'Sex Factors', 'Time Factors']",,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']","['0895-4356(89)90004-8 [pii]', '10.1016/0895-4356(89)90004-8 [doi]']",ppublish,J Clin Epidemiol. 1989;42(7):617-23. doi: 10.1016/0895-4356(89)90004-8.,,,,,,,,,,,,
2760505,NLM,MEDLINE,19890919,20190510,0022-1899 (Print) 0022-1899 (Linking),160,3,1989 Sep,B19 parvovirus replicates in erythroid leukemic cells in vitro.,548-9,,"['Takahashi, T', 'Ozawa, K', 'Mitani, K', 'Miyazono, K', 'Asano, S', 'Takaku, F']","['Takahashi T', 'Ozawa K', 'Mitani K', 'Miyazono K', 'Asano S', 'Takaku F']",,['eng'],,['Letter'],United States,J Infect Dis,The Journal of infectious diseases,0413675,"['0 (DNA, Viral)']",IM,"['Adult', 'Bone Marrow/microbiology/pathology', 'Cell Line', 'Cells, Cultured', 'DNA, Viral/analysis', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/pathology', 'Male', 'Parvoviridae/*physiology', '*Virus Replication']",,1989/09/01 00:00,1989/09/01 00:01,['1989/09/01 00:00'],"['1989/09/01 00:00 [pubmed]', '1989/09/01 00:01 [medline]', '1989/09/01 00:00 [entrez]']",['10.1093/infdis/160.3.548 [doi]'],ppublish,J Infect Dis. 1989 Sep;160(3):548-9. doi: 10.1093/infdis/160.3.548.,,,,,,,,,,,,
2760470,NLM,MEDLINE,19890908,20190723,0022-1759 (Print) 0022-1759 (Linking),121,2,1989 Jul 26,Non-specific cell binding characteristics of para-magnetic polystyrene microspheres used for antibody-mediated cell selection.,289-94,"The binding of cells to paramagnetic polystyrene microbeads in the absence of coupling antibodies was measured. Cells from normal bone marrow, from an acute lymphoblastic leukemia (ALL) cell line or from a neuroblastoma cell line, were labeled with the fluorochrome Hoechst 33342 and incubated with microbeads by rotation at 4 degrees C. Following this incubation, the microbeads with all attached cells were collected using an externally applied magnetic field and visualized by microscopic examination under ultraviolet illumination. The incubation variables included the protein content of the medium, and the period of rotation. Normal bone marrow was found to adhere sparingly to the microbeads; less than 1.0% of the total nucleated cell population was recovered with the beads, whereas greater than 5% of the ALL cells and greater than 30% of the neuroblastoma cells were found to bind non-specifically to the microspheres. Neither changes in the protein concentration of the medium or in the incubation period significantly altered the non-specific binding of the cell types examined. It is thus apparent that the use of these microspheres for positive selection of cells, such as the collection of hematopoietic stem cells for transplantation, would be compromised by a sizeable non-specific interaction. Modification of the surface of the microspheres to substantially reduce this interaction will be necessary before efforts at positive selection using the magnetic microspheres can be fruitful.","['Janssen, W E', 'Rios, A M']","['Janssen WE', 'Rios AM']","['University of Florida, Department of Pediatrics, Gainesville 32610.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,J Immunol Methods,Journal of immunological methods,1305440,"['0 (Antibodies)', '0 (Blood Proteins)', '0 (Polystyrenes)']",IM,"['Antibodies/immunology', 'Blood Proteins/pharmacology', 'Bone Marrow Cells', 'Cell Separation/*methods', 'Humans', 'Magnetics', '*Microspheres', 'Polystyrenes', 'Time Factors']",,1989/07/26 00:00,1989/07/26 00:01,['1989/07/26 00:00'],"['1989/07/26 00:00 [pubmed]', '1989/07/26 00:01 [medline]', '1989/07/26 00:00 [entrez]']","['0022-1759(89)90173-7 [pii]', '10.1016/0022-1759(89)90173-7 [doi]']",ppublish,J Immunol Methods. 1989 Jul 26;121(2):289-94. doi: 10.1016/0022-1759(89)90173-7.,,,,,,,,,,,,
2760333,NLM,MEDLINE,19890921,20131121,0002-3329 (Print) 0002-3329 (Linking),,3,1989 May-Jun,[The potential for enhancing the therapeutic efficacy of antitumor preparations].,466-8,Joint introduction of cytostatic antitumor drugs and dogfish liver extract into animals with experimental tumors was shown to increase the efficacy of drugs as revealed by the increase in life span of experimental animals.,"['Konovalova, N P', 'Volkova, L M', 'Klochko, A V']","['Konovalova NP', 'Volkova LM', 'Klochko AV']",,['rus'],,"['English Abstract', 'Journal Article']",Russia (Federation),Izv Akad Nauk SSSR Biol,Izvestiia Akademii nauk SSSR. Seriia biologicheskaia,7505543,"['0 (Antineoplastic Agents)', '0 (Tissue Extracts)', '8N3DW7272P (Cyclophosphamide)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Cyclophosphamide/*therapeutic use', 'Daunorubicin/*therapeutic use', 'Dogfish', 'Dose-Response Relationship, Drug', 'Drug Evaluation, Preclinical', 'Drug Synergism', 'Leukemia, Experimental/drug therapy', '*Liver', 'Melanoma, Experimental/drug therapy', 'Mice', 'Mice, Inbred CBA', 'Neoplasm Transplantation', 'Sarcoma 180/drug therapy', 'Tissue Extracts/*therapeutic use']",,1989/05/01 00:00,1989/05/01 00:01,['1989/05/01 00:00'],"['1989/05/01 00:00 [pubmed]', '1989/05/01 00:01 [medline]', '1989/05/01 00:00 [entrez]']",,ppublish,Izv Akad Nauk SSSR Biol. 1989 May-Jun;(3):466-8.,Vozmozhnost' povysheniia terapevticheskoi effektivnosti protivoopukholevykh preparatov.,,,,,,,,,,,
2760166,NLM,MEDLINE,19890914,20190828,0166-0934 (Print) 0166-0934 (Linking),24,3,1989 Jun,Replication of measles virus in the human plasma cell leukemia-derived LICR-LON-HMy2 cell line.,313-20,"Measles virus is usually grown in human or monkey fibroblast cells. We now show that LICR-LON-HMy2 (LL2) cells, a human plasma cell leukemia-derived line which grows in suspension culture, will permissively support replication of measles virus to an extent achievable with Vero cells. Sodium dodecyl sulphate-polyacrylamide gel electrophoresis of measles virions produced by LL2 cells showed a polypeptide pattern typical of measles virus. As well, measles virus-infected LL2 cells, like infected Vero cells, were found to secrete large amounts of virus hemagglutinin, but not other virus proteins. We thus conclude that LL2 cells can be effectively used to produce milligram amounts of measles virus and that virus-clarified culture medium from measles virus-infected LL2 cells is a potential source for purifying virus hemagglutinin.","['Ziola, B', 'Morhart, M', 'Gilbert, L', 'Karvonen, B', 'Chen, X P']","['Ziola B', 'Morhart M', 'Gilbert L', 'Karvonen B', 'Chen XP']","['Department of Microbiology, University of Saskatchewan, Saskatoon, Canada.']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,J Virol Methods,Journal of virological methods,8005839,"['0 (Antibodies, Monoclonal)', '0 (Hemagglutinins, Viral)', '0 (Viral Proteins)']",IM,"['Animals', 'Antibodies, Monoclonal/immunology', 'Cell Line/*microbiology', 'Electrophoresis, Polyacrylamide Gel', 'Hemagglutinins, Viral/biosynthesis', 'Humans', 'Measles virus/*growth & development', 'Vero Cells', 'Viral Proteins/analysis/immunology', 'Virus Cultivation/*methods']",,1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']","['0166-0934(89)90043-8 [pii]', '10.1016/0166-0934(89)90043-8 [doi]']",ppublish,J Virol Methods. 1989 Jun;24(3):313-20. doi: 10.1016/0166-0934(89)90043-8.,,,,,,,,,,,,
2760157,NLM,MEDLINE,19890915,20190629,,490,1,1989 May 5,Application of analytical isotachophoresis in the study of platelet membrane proteins in patients with chronic myeloproliferative disorders.,53-8,"The supernatants of dispase-treated platelets from normal persons and patients with myeloproliferative disorders were analysed by capillary isotachophoresis. The examined myeloproliferative disorders were three cases of chronic myelogeneous leukemia, one case of chronic neutrophilic leukemia, one case of essential thrombocythemia and one case of polycythemia vera. An additional peak was revealed in the samples from the patients with chronic myelogeneous leukemia. Platelets from the other three patients showed no additional bands. Isotachophoresis will be useful not only to analyse the superficial peptide on the cell membrane but also to define the peptide associated with malignant transformation.","['Kajii, E', 'Ikemoto, S']","['Kajii E', 'Ikemoto S']","['Laboratory of Human Biology, Jichi Medical School, Tochigi-ken, Japan.']",['eng'],,['Journal Article'],Netherlands,J Chromatogr,Journal of chromatography,0427043,"['0 (Amino Acids)', '0 (Platelet Membrane Glycoproteins)']",IM,"['Amino Acids/analysis', 'Chronic Disease', 'Electrophoresis', 'Humans', 'Myeloproliferative Disorders/*blood', 'Platelet Membrane Glycoproteins/*analysis']",,1989/05/05 00:00,1989/05/05 00:01,['1989/05/05 00:00'],"['1989/05/05 00:00 [pubmed]', '1989/05/05 00:01 [medline]', '1989/05/05 00:00 [entrez]']",['10.1016/s0378-4347(00)82760-7 [doi]'],ppublish,J Chromatogr. 1989 May 5;490(1):53-8. doi: 10.1016/s0378-4347(00)82760-7.,,,,,,,,,,,,
2760073,NLM,MEDLINE,19890913,20210320,0021-9258 (Print) 0021-9258 (Linking),264,24,1989 Aug 25,Molecular cloning of a novel human leukemia-associated gene. Evidence of conservation in animal species.,14556-60,We have recently described an 18-kilodalton polypeptide (p18) that is present in much greater abundance in acute leukemic blast cells (myeloid and lymphoid) than in resting or proliferating nonleukemic lymphoid cells or chronic lymphoid and myeloid leukemic cells. In this report we describe the cloning of two different sized full-length cDNAs that code for p18. The two cDNAs differ in their 3'-noncoding regions as a result of alternative polyadenylation. Analysis of the complete nucleotide sequence and the corresponding amino acid sequence did not reveal significant homology to any previously described sequences. We show evidence that this gene is highly conserved in several animal species and low stringency hybridization studies suggest that the p18 gene may be a member of a family of partially homologous genes in the human genome.,"['Zhu, X X', 'Kozarsky, K', 'Strahler, J R', 'Eckerskorn, C', 'Lottspeich, F', 'Melhem, R', 'Lowe, J', 'Fox, D A', 'Hanash, S M', 'Atweh, G F']","['Zhu XX', 'Kozarsky K', 'Strahler JR', 'Eckerskorn C', 'Lottspeich F', 'Melhem R', 'Lowe J', 'Fox DA', 'Hanash SM', 'Atweh GF']","['Veterans Administration Medical Center, University of Michigan, Ann Arbor 48109.']",['eng'],"['CA32146/CA/NCI NIH HHS/United States', 'HL4291901/HL/NHLBI NIH HHS/United States', 'P60AR20557-1OA/AR/NIAMS NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Neoplasm Proteins)', '0 (Peptides)', '9007-49-2 (DNA)']",IM,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'Cattle', 'Cell Line', 'Chlorocebus aethiops', 'Cloning, Molecular', 'Cricetinae', 'DNA/isolation & purification', 'Dogs', 'Ducks', 'HeLa Cells', 'Humans', 'Leukemia/*genetics', 'Mice', 'Molecular Sequence Data', 'Neoplasm Proteins/*genetics/isolation & purification', '*Oncogenes', 'Peptides/genetics/isolation & purification', 'Swine']",,1989/08/25 00:00,1989/08/25 00:01,['1989/08/25 00:00'],"['1989/08/25 00:00 [pubmed]', '1989/08/25 00:01 [medline]', '1989/08/25 00:00 [entrez]']",['S0021-9258(18)71714-6 [pii]'],ppublish,J Biol Chem. 1989 Aug 25;264(24):14556-60.,,,,,,,,,['GENBANK/J04991'],,,
2759915,NLM,MEDLINE,19890913,20190723,0021-8820 (Print) 0021-8820 (Linking),42,8,1989 Aug,Syntheses and antitumor activities of 7-O-(6-deoxy-2-O-methyl-alpha-L-talopyranosyl)-daunomycinone and -adriamycinone.,1318-20,,"['Takagi, Y', 'Kobayashi, N', 'Tsuchiya, T', 'Umezawa, S', 'Takeuchi, T', 'Komuro, K', 'Nosaka, C']","['Takagi Y', 'Kobayashi N', 'Tsuchiya T', 'Umezawa S', 'Takeuchi T', 'Komuro K', 'Nosaka C']","['Institute of Bioorganic Chemistry, Kanagawa, Japan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,J Antibiot (Tokyo),The Journal of antibiotics,0151115,"['124209-61-6 (7-O-(6-deoxy-2-O-methyltalopyranosyl)daunomycinone)', '124209-63-8 (7(O)-(6-deoxy-2-O-methyltalopyranosyl)adriamycinone)', '80168379AG (Doxorubicin)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Animals', 'Daunorubicin/*analogs & derivatives/chemical synthesis/pharmacology', 'Doxorubicin/*analogs & derivatives/chemical synthesis/pharmacology', 'Leukemia L1210/drug therapy', 'Mice']",,1989/08/01 00:00,1989/08/01 00:01,['1989/08/01 00:00'],"['1989/08/01 00:00 [pubmed]', '1989/08/01 00:01 [medline]', '1989/08/01 00:00 [entrez]']",['10.7164/antibiotics.42.1318 [doi]'],ppublish,J Antibiot (Tokyo). 1989 Aug;42(8):1318-20. doi: 10.7164/antibiotics.42.1318.,,,,,,,,,,,,
