PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,GR,RF,SI,TT,EIN,OID,OAB,OABL,OTO,OT,GN,CN,AD,CIN
3065727,NLM,MEDLINE,19890316,20071115,,30,5-6,1988,HTLV-I infection and chronic lymphocytic leukemia.,267-73,"We have captured the immunoglobulin genes of CLL cells by fusing the peripheral blood lymphocytes from CLL cells with the B lymphoblastoid line. The hybridoma cell line established from the fusion of CLL cell from two patients who were HTLV-I seropositive produced antibody directed against HTLV-I proteins. The antibody activity of the immunoglobulin produced by the fused cells is different in the two patients in one case being directed against a gag protein and in the other against the viral large envelope protein. In an attempt to explore possible mechanisms whereby HTLV-I may contribute indirectly to the pathogenesis of B cell CLL, we have determined that B cell lines infected with HTLV-I produce growth factor(s) which stimulate and expand populations of normal B cells as well as CLL cells. These results suggest that HTLV-I infection may contribute in several ways to the development of a malignancy in cell where the virus is not present in the cellular genome.","['Mann, D L', 'LeSane, F', 'Boumpas, D', 'Dean, M', 'Blattner, W A']","['Mann DL', 'LeSane F', 'Boumpas D', 'Dean M', 'Blattner WA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,,IM,"['HTLV-I Infections/*complications', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*etiology']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",,ppublish,Nouv Rev Fr Hematol. 1988;30(5-6):267-73.,,['N01-CO-74102/CO/NCI NIH HHS/United States'],20,,,,,,,,,,,"['Biochemical Epidemiology Section, National Cancer Institute, Bethesda, MD 20892.']",
3065726,NLM,MEDLINE,19890316,20071115,,30,5-6,1988,Current issues in chronic lymphocytic leukemia.,263-5,Is chronic lymphocytic leukaemia (CLL) a leukaemia or a preleukaemia? At what stage(s) of haemopoiesis does the transformation occur? Is the immune deficiency the cause or the consequence of CLL? These are the three questions which could be provocative but which also could be useful and we wanted to ask them at the start of this 4th International Workshop on chronic lymphocytic leukaemia.,"['Gale, R P']",['Gale RP'],['eng'],"['Journal Article', 'Review']",Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,,IM,"['Cell Transformation, Neoplastic/*pathology', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*etiology']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",,ppublish,Nouv Rev Fr Hematol. 1988;30(5-6):263-5.,,,0,,,,,,,,,,,"['Department of Medicine, University of California Los Angeles, School of Medicine.']",
3065687,NLM,MEDLINE,19890317,20181130,0378-584X (Print) 0378-584X (Linking),11 Suppl 2,,1988,[The dose of alpha interferon in induction and maintainance therapy of hairy cell leukemia].,41-5,"The efficacy of different doses of interferon (IFN) alpha in the induction therapy of hairy cell leukemia was studied. Recombinant IFN alpha-2b was administered subcutaneously every second day at an initial dose of 4 x 10(6) U/m2 (7 patients), 2 x 10(6) U/m2 (14 patients) and 1 x 10(6) U/m2 (13 patients). Each dose was effective to induce a normalization of blood cell counts and a reduction of bone marrow infiltration in the majority of patients treated. A delayed increase in granulocyte counts, however, was noted in patients treated with 1 x 10(6) U/m2, and 2 of them only achieved a partial hematological remission after 1 year of treatment. After the induction of stable remission, patients were randomized into 2 different schedules of maintenance therapy. Five of 7 patients receiving IFN alpha-2b at a total dose of 1 x 10(6) U twice a week, and 6/8 patients treated with 2 x 10(6) U once weekly, respectively, received this therapy for 1 year and remained in stable remission.","['Kloke, O', 'May, D', 'Wandl, U', 'Niederle, N']","['Kloke O', 'May D', 'Wandl U', 'Niederle N']",['ger'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial']",Switzerland,Onkologie,Onkologie,7808556,"['0 (Interferon Type I)', '0 (Interferon alpha-2)', '0 (Interferon-alpha)', '0 (Recombinant Proteins)']",IM,"['Adult', 'Aged', 'Dose-Response Relationship, Drug', 'Female', 'Follow-Up Studies', 'Humans', 'Injections, Subcutaneous', 'Interferon Type I/*administration & dosage', 'Interferon alpha-2', 'Interferon-alpha/*administration & dosage/adverse effects', 'Leukemia, Hairy Cell/*therapy', 'Male', 'Middle Aged', 'Recombinant Proteins', 'Remission Induction/methods']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",['10.1159/000216578 [doi]'],ppublish,Onkologie. 1988;11 Suppl 2:41-5. doi: 10.1159/000216578.,,,,,Zur Dosierung von Interferon alpha in der Induktions- und Erhaltungstherapie der Haarzellenleukamie.,,,,,,,,,"['Innere Klinik und Poliklinik (Tumorforschung), Westdeutsches Tumorzentrum, Essen.']",
3065686,NLM,MEDLINE,19890317,20211203,0378-584X (Print) 0378-584X (Linking),11 Suppl 2,,1988,[Bone marrow transplantation at the Essen University Clinic].,3-8,"From December 1975 until October 1988 292 bone marrow transplantations (bmt) have been performed at the Center for Tumor Research and Tumor Therapy, University Hospital Essen; 251 of these transplantations were allogeneic, 30 autologous and 11 syngeneic. The main indications were ALL (n = 39), AML (n = 132), CML (n = 75) and severe aplastic anemia (n = 26). Now the transplantation rate is one bmt per week. Early transplantation during a controlled stage of disease provides the best chance of cure. Important prerequisites of a successful allotransplantation are patient age under 45-50 years, good general condition and a histocompatible donor. In case of autologous bmt, being mainly tested in acute leukemias and malignant lymphomas, the age limit is 50-55 years. If the allogeneic transplantation is performed during an early stage of disease, the cure expectancy is about 50% for acute leukemia in first remission and CML in chronic phase. In the case of severe aplastic anemia the cure rates are even higher, provided that the transplant is grafted before multiple blood transfusions have been given. In AML the risk of relapse after autologous bmt is higher than after allogeneic transplantation, but the preliminary data are promising. The question of whether or not autologous bmt is superior to conventional chemotherapy of AML, has to be investigated.","['Schaefer, U W']",['Schaefer UW'],['ger'],['Journal Article'],Switzerland,Onkologie,Onkologie,7808556,,IM,"['Adolescent', 'Adult', '*Bone Marrow Transplantation', 'Child', 'Child, Preschool', 'Follow-Up Studies', 'Germany, West', 'Graft vs Host Disease/prevention & control', 'Humans', 'Immunosuppression Therapy/methods', 'Leukemia/*therapy', 'Middle Aged', 'Neoplasms/*therapy']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",['10.1159/000216572 [doi]'],ppublish,Onkologie. 1988;11 Suppl 2:3-8. doi: 10.1159/000216572.,,,,,Knochenmarktransplantationen am Universitatsklinikum Essen.,,,,,,,,,"['Klinik und Poliklinik fur Knochenmarktransplantation am Zentrum fur Tumortherapie und Tumorforschung, Westdeutsches Tumorzentrum, Essen.']",
3065641,NLM,MEDLINE,19890317,20071115,0254-7600 (Print) 0254-7600 (Linking),7,5-6,1988,Current status of bone marrow transplantation in humans: report from the International Bone Marrow Transplant Registry.,334-50,Bone marrow transplantation is being used with increasing frequency as therapy for a number of life-threatening diseases. Data reported to the International Bone Marrow Transplant Registry are presented to show the pattern of growth of bone marrow transplantation worldwide as well as current results in leukemia and aplastic anemia. Risk factors are identified that may predict the development of major complications after bone marrow transplantation.,"['Bortin, M M', 'Horowitz, M M', 'Gale, R P']","['Bortin MM', 'Horowitz MM', 'Gale RP']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Switzerland,Nat Immun Cell Growth Regul,Natural immunity and cell growth regulation,8407979,,IM,"['Anemia, Aplastic/mortality/therapy', '*Bone Marrow Transplantation', 'Female', 'Graft vs Host Disease/etiology', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/mortality/therapy', 'Leukemia, Myeloid, Acute/mortality/therapy', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/mortality/therapy', 'Pulmonary Fibrosis/etiology', '*Registries', 'Risk Factors']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",,ppublish,Nat Immun Cell Growth Regul. 1988;7(5-6):334-50.,,"['CA 23175/CA/NCI NIH HHS/United States', 'CA 40053/CA/NCI NIH HHS/United States', 'N01-AI-62530/AI/NIAID NIH HHS/United States']",,,,,,,,,,,,"['Department of Medicine, Medical College of Wisconsin, Milwaukee.']",
3065428,NLM,MEDLINE,19890322,20191210,0025-7850 (Print) 0025-7850 (Linking),19,1,1988,Infectious complications in neutropenic patients. Clinical-laboratory correlations.,1-11,"Thirty-four patients undergoing bone marrow transplantation or remission induction for acute non-lymphocytic leukemia were the subjects of a study to determine whether outcome of infection (survival, death) could be related to total complement (TC), complement components, or C-reactive protein (CRP). Serum samples were obtained when the neutropenic patients became febrile, and at intervals thereafter. Significant differences were found between final total serum complement levels, the C3 component of complement, and the C-reactive protein. Multivariate logistic regression demonstrated a significant relationship between the final C3 complement and C-reactive protein levels and the outcome of infection. Changes between initial and final values were also predictive of outcome, suggesting that the magnitude and direction of changes in these measurements may assist the clinician in assessing the success of his prescribed antibiotic therapy. Our data suggest that a test battery comprising serial TC, C3, and CRP measurements may have more predictive potential than each test performed independently.","['Melewski, D J', 'Higby, D J', 'Reese, P A']","['Melewski DJ', 'Higby DJ', 'Reese PA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med,Journal of medicine,7505566,"['0 (Complement C3)', '9007-36-7 (Complement System Proteins)', '9007-41-4 (C-Reactive Protein)']",IM,"['Adolescent', 'Adult', 'Aged', 'Agranulocytosis/*complications', 'Bone Marrow Transplantation', 'C-Reactive Protein/*metabolism', 'Complement C3/*metabolism', 'Complement System Proteins/*metabolism', 'Female', 'Humans', 'Infections/*blood/diagnosis/etiology', 'Leukemia, Myeloid, Acute/complications/therapy', 'Male', 'Middle Aged', 'Neutropenia/blood/*complications']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",,ppublish,J Med. 1988;19(1):1-11.,,['CA-16056/CA/NCI NIH HHS/United States'],,,,,,,,,,,,"['Department of Medical Oncology, Roswell Park Memorial Institute, Buffalo, NY 14263.']",
3065330,NLM,MEDLINE,19890314,20191029,0733-2459 (Print) 0733-2459 (Linking),4,4,1988,The IBM Blood Cell Separator and Blood Cell Processor: a personal perspective.,171-82,,"['Jones, A L']",['Jones AL'],['eng'],"['Historical Article', 'Journal Article']",United States,J Clin Apher,Journal of clinical apheresis,8216305,,IM,"['Blood Component Removal/*history/instrumentation/methods', 'Blood Transfusion/*history/instrumentation/methods', 'Cell Separation/*instrumentation/methods', 'Centrifugation/*instrumentation', 'History, 20th Century', 'Humans', 'Leukemia/therapy', 'National Institutes of Health (U.S.)', 'United States']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",['10.1002/jca.2920040408 [doi]'],ppublish,J Clin Apher. 1988;4(4):171-82. doi: 10.1002/jca.2920040408.,,,,,,,,,,,,,,"['IBM, Endicott, NY 13760.']",
3065320,NLM,MEDLINE,19890323,20051116,0889-8588 (Print) 0889-8588 (Linking),2,4,1988 Dec,Bone marrow in hairy cell leukemia.,585-602,"HCL is a well-recognized entity among the lymphoproliferative disorders. With better appreciation of the wide variability in its clinical and hematologic manifestations, some authors have proposed several subtypes of HCL such as leukopenic and nonleukopenic subtypes and subtypes with and without massive splenomegaly. As opposed to such a clinical and hematologic variability, the pathology of HCL in the spleen and bone marrow is consistent and highly characteristic. Since the spleen becomes available for pathologic examination only after therapeutic splenectomy, the bone marrow pathology often plays the most important role in the differential diagnosis of HCL. It is characterized by focal or diffuse mononuclear cell infiltration with a wide spacing between individual nuclei in most patients and by a severely hypocellular marrow with individual hairy cells infiltrating between the marrow fat cells in the remaining minority of patients. The bone marrow biopsy also serves as one of the criteria in selecting the therapeutic modality as well as monitoring the therapeutic effect. Further, new insights into the pathogenesis of HCL are emerging from recent studies of the bone marrow microenvironment.","['Katayama, I']",['Katayama I'],['eng'],"['Journal Article', 'Review']",United States,Hematol Oncol Clin North Am,Hematology/oncology clinics of North America,8709473,,IM,"['Adult', 'Aged', 'Bone Marrow/*pathology', 'Bone Marrow Examination', 'Female', 'Humans', 'Leukemia, Hairy Cell/diagnosis/etiology/*pathology/therapy', 'Male', 'Middle Aged']",1988/12/01 00:00,1988/12/01 00:01,['1988/12/01 00:00'],"['1988/12/01 00:00 [pubmed]', '1988/12/01 00:01 [medline]', '1988/12/01 00:00 [entrez]']",,ppublish,Hematol Oncol Clin North Am. 1988 Dec;2(4):585-602.,,,53,,,,,,,,,,,"['Department of Pathology, Saitama Medical School, Japan.']",
3065319,NLM,MEDLINE,19890323,20071115,0889-8588 (Print) 0889-8588 (Linking),2,4,1988 Dec,Bone marrow examination in the diagnosis of acute and chronic leukemias.,567-84,"This article presents a brief review of the morphologic and cytochemical features of acute and chronic leukemias, followed by a discussion about new techniques that can be applied to the diagnosis of leukemias. The four techniques described include immunophenotyping, DNA content and cell cycle analysis, cytogenetics, and molecular studies. The utility of these specialized techniques in establishing a diagnosis of leukemia and in predicting prognosis is presented.","['Foucar, K']",['Foucar K'],['eng'],"['Journal Article', 'Review']",United States,Hematol Oncol Clin North Am,Hematology/oncology clinics of North America,8709473,"['0 (Antigens, Surface)', '0 (DNA Probes)']",IM,"['Antigens, Surface/immunology', 'Bone Marrow/*pathology', '*Bone Marrow Examination', 'DNA Probes', 'Histocytochemistry', 'Humans', 'Leukemia, Lymphoid/metabolism/*pathology', 'Leukemia, Myeloid/metabolism/*pathology']",1988/12/01 00:00,1988/12/01 00:01,['1988/12/01 00:00'],"['1988/12/01 00:00 [pubmed]', '1988/12/01 00:01 [medline]', '1988/12/01 00:00 [entrez]']",,ppublish,Hematol Oncol Clin North Am. 1988 Dec;2(4):567-84.,,,44,,,,,,,,,,,"['Department of Pathology, University of New Mexico School of Medicine, Albuquerque.']",
3065317,NLM,MEDLINE,19890323,20051116,0889-8588 (Print) 0889-8588 (Linking),2,4,1988 Dec,Cytochemistry and immunocytochemistry in bone marrow examination: contemporary techniques for the diagnosis of acute leukemia and myelodysplastic syndromes. A combined approach.,537-55,"Although the cytologic type of acute leukemia can often be suspected on the basis of conventional panoptically stained specimens, it is important to document as precisely as possible the type of leukemia before the institution of specific treatment. At the present time, this documentation can usually be achieved with cytochemical stains that demonstrate enzymes and/or metabolites of diagnostic value. Additional immunocytochemical stains can often identify cells of ambiguous origin on the basis of cell-specific properties such as antigens. Immunophenotyping has proven to be of considerable value in the diagnosis and classification of ALL. At present, the practicality of surface antigen phenotyping in ANLL remains to be documented. The identification of hybrid leukemia is clearly facilitated with immunologic markers. Present criteria for the diagnosis of myelodysplastic syndrome do not include immunophenotyping. By use of a combination of morphologic criteria, traditional cytochemical stains, and immunocytochemical techniques, it is possible to establish the cell of origin in the large majority of cases of acute leukemia. Those rare cases in which the usual patterns of reactivity do not occur provide additional stimuli to develop new cytochemical and immunologic methods that will help to establish the origin of the leukemic blast.","['Kass, L', 'Elias, J M']","['Kass L', 'Elias JM']",['eng'],"['Journal Article', 'Review']",United States,Hematol Oncol Clin North Am,Hematology/oncology clinics of North America,8709473,,IM,"['Bone Marrow/*pathology', 'Bone Marrow Examination', 'Histocytochemistry', 'Humans', 'Immunohistochemistry', 'Leukemia/*pathology', 'Myelodysplastic Syndromes/*pathology']",1988/12/01 00:00,1988/12/01 00:01,['1988/12/01 00:00'],"['1988/12/01 00:00 [pubmed]', '1988/12/01 00:01 [medline]', '1988/12/01 00:00 [entrez]']",,ppublish,Hematol Oncol Clin North Am. 1988 Dec;2(4):537-55.,,,111,,,,,,,,,,,"['Case Western Reserve University School of Medicine, Cleveland, Ohio.']",
3065299,NLM,MEDLINE,19890317,20131121,0018-022X (Print) 0018-022X (Linking),43,3,1988 Nov,Isolated central nervous system relapse in acute lymphocytic leukemia (ALL) in children. Experiences of the Swiss Pediatric Oncology Group (SPOG/SAKK) 1976-1986.,187-93,"The incidence of isolated CNS-relapse in the SPOG ALL studies 1976-1986 was analyzed and the prophylaxis of meningosis leucaemica of the different studies was compared. In the SPOG ALL high-risk study 1979-1983, the incidence of isolated CNS-relapse was significantly higher (17/71, 24%) than in the other studies. In this period, radiotherapy was omitted and the prophylactic treatment consisted only of moderately high doses of intravenous methotrexate and intrathecal methotrexate. In other studies, it was shown that the prophylactic combination of CNS-radiotherapy and intrathecal methotrexate, or the periodic administration of combined intrathecal chemotherapy alone, during the whole therapy of 2 1/2 years, produced comparably good results. The prophylaxis with the combined intrathecal chemotherapy was less neurotoxic and allowed the use of a curative radiotherapy in case of a CNS-relapse.","['Stucki, F', 'Arnet, B', 'Baumgartner, C', 'Beck, D', 'Berchtold, W', 'Bertrand, A M', 'Bleher, E A', 'Caflisch, U', 'Delaleu, B', 'Feldges, A']","['Stucki F', 'Arnet B', 'Baumgartner C', 'Beck D', 'Berchtold W', 'Bertrand AM', 'Bleher EA', 'Caflisch U', 'Delaleu B', 'Feldges A', 'et al.']",['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Multicenter Study']",Switzerland,Helv Paediatr Acta,Helvetica paediatrica acta,0373005,"['04079A1RDZ (Cytarabine)', 'WI4X0X7BPJ (Hydrocortisone)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', '*Central Nervous System Diseases/drug therapy/radiotherapy', 'Child', 'Child, Preschool', 'Combined Modality Therapy', 'Cytarabine/administration & dosage', 'Female', 'Humans', 'Hydrocortisone/administration & dosage', 'Infant', 'Injections, Intravenous', 'Injections, Spinal', 'Male', 'Methotrexate/administration & dosage', 'Multicenter Studies as Topic', 'Neoplasm Recurrence, Local', '*Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/radiotherapy', 'Retrospective Studies', 'Switzerland']",1988/11/01 00:00,1988/11/01 00:01,['1988/11/01 00:00'],"['1988/11/01 00:00 [pubmed]', '1988/11/01 00:01 [medline]', '1988/11/01 00:00 [entrez]']",,ppublish,Helv Paediatr Acta. 1988 Nov;43(3):187-93.,,,,,,,,,,,,,,"['Institute for Clinical and Experimental Cancer Research, University of Berne, Switzerland.']",
3065209,NLM,MEDLINE,19890315,20190820,0309-0167 (Print) 0309-0167 (Linking),13,4,1988 Oct,The non-Hodgkin's lymphomas: old and new thinking.,367-84,"Knowledge of non-Hodgkin's lymphomas has increased enormously in the last 10-15 years. The various types are considered to reflect the normal immunological processes that take place in the lymphoid tissue after antigenic challenge. This concept, which states that non-Hodgkin's lymphomas are neoplastic counterparts of normal processes, has implications for morphology, immunology and clinical behaviour. Based on this concept, as well as on immunohistological and functional data, a hypothetical scheme of B-cell development is proposed. The relation to normal physiology also holds for lymphomas localized outside the lymph nodes. Normal structure and function in two important extranodal lymphoid tissues, the gastrointestinal mucosa and the skin-associated lymphoid tissues, are related to the lymphomas arising in these sites. This relation and some of its implications are discussed, with special reference to the important processes of homing and recirculation of lymphocytes.","['Van der Valk, P', 'Meijer, C J']","['Van der Valk P', 'Meijer CJ']",['eng'],"['Journal Article', 'Review']",England,Histopathology,Histopathology,7704136,,IM,"['B-Lymphocytes/immunology', 'Humans', 'Leukemia/etiology', 'Lymphoid Tissue/immunology/pathology', 'Lymphoma, Non-Hodgkin/*etiology/immunology/pathology', 'Plasma Cells/immunology', 'T-Lymphocytes/immunology']",1988/10/01 00:00,1988/10/01 00:01,['1988/10/01 00:00'],"['1988/10/01 00:00 [pubmed]', '1988/10/01 00:01 [medline]', '1988/10/01 00:00 [entrez]']",['10.1111/j.1365-2559.1988.tb02054.x [doi]'],ppublish,Histopathology. 1988 Oct;13(4):367-84. doi: 10.1111/j.1365-2559.1988.tb02054.x.,,,112,,,,,,,,,,,"['Department of Pathology, Free University Hospital, Amsterdam, The Netherlands.']",
3065192,NLM,MEDLINE,19890317,20041117,0367-6102 (Print) 0367-6102 (Linking),63,4,1988 Jul,A case of large intestinal malignant lymphoma.,545-51,"Primary malignant lymphoma of gastrointestinal tract is relatively rare and the most of it are seen in stomach or small intestine, and in Japan only 130 cases of primary large intestinal malignant lymphoma were reported from the accumulating results of the postoperative cases in the 11th Congress of the Japanese Research Society for Cancer of the Colon and Rectum. This paper describes the case report of the primary malignant lymphoma originated from the cecum, and the review of the literature. The patient was 63 year-old female, who came to this hospital for slight fever and right lower abdominal pain that was gradually increasing. After the investigation by using barium enema and the intrapelvic CT, cecum tumor was detected. The ileocecal excision was performed, and revealed the 4 X 4.5 cm tumorous type lesion of which surface was slightly irregular. Histopathologically the tumor was follicular lymphoma (partial type), medium sized cell type by the Lymphoma-leukemia Study Group (LSG) classification. After discharge, cyclophosphamide was administered by 100 mg/day for six weeks, and the sign of the recurrence has not been observed.","['Tsuchimoto, S', 'Katayama, T', 'Itoh, K', 'Kusumoto, K', 'Satoh, Y', 'Hakozaki, H', 'Natori, T']","['Tsuchimoto S', 'Katayama T', 'Itoh K', 'Kusumoto K', 'Satoh Y', 'Hakozaki H', 'Natori T']",['eng'],"['Case Reports', 'Journal Article', 'Review']",Japan,Hokkaido Igaku Zasshi,[Hokkaido igaku zasshi] The Hokkaido journal of medical science,17410290R,,IM,"['Cecal Neoplasms/*pathology/surgery', 'Female', 'Humans', 'Lymphoma/*pathology/surgery', 'Middle Aged']",1988/07/01 00:00,1988/07/01 00:01,['1988/07/01 00:00'],"['1988/07/01 00:00 [pubmed]', '1988/07/01 00:01 [medline]', '1988/07/01 00:00 [entrez]']",,ppublish,Hokkaido Igaku Zasshi. 1988 Jul;63(4):545-51.,,,14,,,,,,,,,,,"['Dept. of Surgery, Hokkaido University School of Medicine.']",
3064935,NLM,MEDLINE,19890321,20191029,1040-8428 (Print) 1040-8428 (Linking),8,4,1988,Autologous bone marrow transplantation in children.,311-37,"Autologous bone marrow transplantation is a procedure that allows for the delivery of high doses of chemotherapy and radiation to treat pediatric malignancies. There have been many studies showing a dose-response curve for many of the drugs that have been used for cytoreductive therapy in autologous bone marrow transplantation. These dosage ranges are achievable in many of the preparative regimens used in autologous bone marrow transplantation. The results in neuroblastoma, Hodgkin's disease, non-Hodgkin's lymphoma, Ewing's sarcoma, rhabdomyosarcoma, osseous sarcoma, other soft tissue sarcomas, and acute leukemias (acute lymphoblastic leukemia and acute non-lymphoblastic leukemia) are reviewed. The question of purging of bone marrow during autologous bone marrow transplantation is addressed. The different techniques of purging are reviewed and the advantages and disadvantages of each are discussed. Finally, new areas of treatment and future directions of autologous bone marrow transplantation are addressed.","['Pick, T E']",['Pick TE'],['eng'],"['Journal Article', 'Review']",Netherlands,Crit Rev Oncol Hematol,Critical reviews in oncology/hematology,8916049,,IM,"['*Bone Marrow Transplantation', 'Cell Separation/methods', 'Child', 'Cytological Techniques', 'Freezing', 'Hodgkin Disease/*therapy', 'Humans', 'Leukemia, Myeloid, Acute/*therapy', 'Lymphoma, Non-Hodgkin/*therapy', 'Neuroblastoma/*therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*therapy', 'Preservation, Biological/methods', 'Rhabdomyosarcoma/*therapy', 'Sarcoma, Ewing/*therapy', 'Transplantation, Autologous']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']","['S1040-8428(88)80012-X [pii]', '10.1016/s1040-8428(88)80012-x [doi]']",ppublish,Crit Rev Oncol Hematol. 1988;8(4):311-37. doi: 10.1016/s1040-8428(88)80012-x.,,,165,,,,,,,,,,,"[""Marrow Transplant Services, Cook-Fort Worth Children's Medical Center, Texas.""]",
3064729,NLM,MEDLINE,19890303,20071115,0003-9764 (Print) 0003-9764 (Linking),45,6,1988 Jun-Jul,[Infections and bone marrow autograft carried out for leukemias in children. Apropos of 47 cases].,393-7,"This study included 44 children undergoing autologous marrow transplantation for leukemia between August 1979 and June 1987. Three of them received a second transplant. In the phase of neutropenia, 38 children presented with fever. Nineteen septicemia occurred (13 Gram positive cocci, 6 Gram negative bacteria), and 2 interstitial pneumonitis were observed. All children with documented infection or a fever of unknown origin recovered after treatment, except 3, who died from infection. The latest antimicrobial therapy used was a combination of an aminoglycoside and a third generation cephalosporin. When necessary, vancomycin or amphotericin B were added. After engraftment (granulocyte count greater than 0.5 X 10(9)/l) 14 septicemia (which recovered) and 10 herpes zoster infections were observed. Only one patient died of infection (herpes zoster with encephalitis).","['Amsallem, D', 'Plouvier, E', 'Estavoyer, J M', 'Leroy, J', 'Talon, D', 'Lab, M', 'Herve, P', 'Noir, A']","['Amsallem D', 'Plouvier E', 'Estavoyer JM', 'Leroy J', 'Talon D', 'Lab M', 'Herve P', 'Noir A']",['fre'],"['English Abstract', 'Journal Article']",France,Arch Fr Pediatr,Archives francaises de pediatrie,0372421,['0 (Anti-Bacterial Agents)'],IM,"['Adolescent', 'Anti-Bacterial Agents/therapeutic use', 'Bacterial Infections/drug therapy/*prevention & control', '*Bone Marrow Transplantation', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Leukemia, Lymphoid/*surgery', 'Leukemia, Myeloid, Acute/*therapy', 'Male', 'Postoperative Complications/*prevention & control', 'Sterilization', 'Virus Diseases/drug therapy/etiology']",1988/06/01 00:00,1988/06/01 00:01,['1988/06/01 00:00'],"['1988/06/01 00:00 [pubmed]', '1988/06/01 00:01 [medline]', '1988/06/01 00:00 [entrez]']",,ppublish,Arch Fr Pediatr. 1988 Jun-Jul;45(6):393-7.,,,,,Infections et autogreffes de moelle osseuse realisees pour leucemies chez l'enfant. A propos de 47 observations.,,,,,,,,,"[""Unite d'Hematologie Pediatrique, Centre de Transfusion Sanguine, CHU, Besancon.""]",
