PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,GR,TT,PMC,GS,CIN,CON,SI,OID,OTO,OT,GN,PS,FPS,IR,FIR,IRAD,EIN,CRF,CRI,OAB,OABL
8291551,NLM,MEDLINE,19940224,20071115,0148-7299 (Print) 0148-7299 (Linking),47,8,1993 Dec 1,Adams-Oliver syndrome: a case with juvenile chronic myelogenous leukemia and chylothorax.,1175-9,"We report on a patient with Adams-Oliver syndrome and report new findings: a chylous pleural effusion and juvenile chronic myelogenous leukemia. Also, our patient had congenital heart disease, confirming that heart lesions are a manifestation in this syndrome. The major manifestations of this disorder are summarized. Included are cases not previously recognized as having Adams-Oliver syndrome identified in a literature survey. Distal limb deficiency is commonest with more frequent and more severe involvement of the lower limbs. Scalp defects are the second commonest manifestation, while an underlying skull defect is not infrequent. Cutis marmorata telangiectatica and dilated scalp veins are significant signs of this condition. This review highlights unresolved questions about Adams-Oliver syndrome.","['Farrell, S A', 'Warda, L J', 'LaFlair, P', 'Szymonowicz, W']","['Farrell SA', 'Warda LJ', 'LaFlair P', 'Szymonowicz W']","['Division of Genetics, Credit Valley Hospital, Mississauga, Ontario, Canada.']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Med Genet,American journal of medical genetics,7708900,,IM,"['Chylothorax/*genetics', 'Heart Defects, Congenital/genetics', 'Humans', 'Infant, Newborn', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Limb Deformities, Congenital', 'Male', 'Scalp/abnormalities', 'Syndrome']",1993/12/01 00:00,1993/12/01 00:01,['1993/12/01 00:00'],"['1993/12/01 00:00 [pubmed]', '1993/12/01 00:01 [medline]', '1993/12/01 00:00 [entrez]']",['10.1002/ajmg.1320470809 [doi]'],ppublish,Am J Med Genet. 1993 Dec 1;47(8):1175-9. doi: 10.1002/ajmg.1320470809.,,,,,,,,,,,,,,,,,,,,,,
8291379,NLM,MEDLINE,19940218,20180216,0001-5792 (Print) 0001-5792 (Linking),90,3,1993,Hypereosinophilic syndrome terminating in acute myelogenous leukemia.,165-6,,"['Higuchi, W', 'Koike, T', 'Ihizumi, T', 'Shibata, A']","['Higuchi W', 'Koike T', 'Ihizumi T', 'Shibata A']","['First Department of Internal Medicine, Niigata University School of Medicine, Japan.']",['eng'],"['Case Reports', 'Journal Article']",Switzerland,Acta Haematol,Acta haematologica,0141053,,IM,"['Humans', 'Hypereosinophilic Syndrome/*complications', 'Leukemia, Myeloid, Acute/*etiology', 'Male', 'Middle Aged']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.1159/000204402 [doi]'],ppublish,Acta Haematol. 1993;90(3):165-6. doi: 10.1159/000204402.,,,,,,,,,,,,,,,,,,,,,,
8291377,NLM,MEDLINE,19940218,20180216,0001-5792 (Print) 0001-5792 (Linking),90,3,1993,Interstitial pneumonitis possibly due to mitoxantrone.,155-8,"A 41-year-old patient with chronic myelogenous leukemia in the accelerated phase was treated with mitoxantrone. She developed pyrexia 7 days after receiving the third administration of mitoxantrone. After 3 more days, she experienced dry cough and dyspnea. Bilateral fine crackles were audible, but no signs of heart failure were found. A chest X-ray film revealed diffuse reticulogranular infiltrates bilaterally. An increase in the prednisolone dosage led to an improvement. Specimens of the bronchoalveolar lavage revealed an increase in CD4-/CD8- lymphocytes. The peripheral lymphocytes also expressed neither CD4 nor CD8. Specimens of a transbronchial lung biopsy disclosed thickening of the alveolar wall with infiltration of lymphoid cells.","['Matsukawa, Y', 'Takeuchi, J', 'Aiso, M', 'Hagiwara, T', 'Hayama, T', 'Ohshima, T', 'Horie, T', 'Kitami, Y']","['Matsukawa Y', 'Takeuchi J', 'Aiso M', 'Hagiwara T', 'Hayama T', 'Ohshima T', 'Horie T', 'Kitami Y']","['First Department of Internal Medicine, Nihon University School of Medicine, Tokyo, Japan.']",['eng'],"['Case Reports', 'Journal Article']",Switzerland,Acta Haematol,Acta haematologica,0141053,['BZ114NVM5P (Mitoxantrone)'],IM,"['Adult', 'Female', 'Humans', 'Leukemia, Myeloid, Accelerated Phase/drug therapy', 'Lung Diseases, Interstitial/*chemically induced', 'Mitoxantrone/*adverse effects']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.1159/000204399 [doi]'],ppublish,Acta Haematol. 1993;90(3):155-8. doi: 10.1159/000204399.,,,,,,,,,,,,,,,,,,,,,,
8291375,NLM,MEDLINE,19940218,20180216,0001-5792 (Print) 0001-5792 (Linking),90,3,1993,Ph+ acute myelogenous leukemia with t(7;11)(p15;p15) and clonal evolution in relapse after bone marrow transplantation.,148-50,"A 20-year-old female with Ph+ acute myelogenous leukemia (M2) associated with t(7;11)(p15;p15) is reported. Bone marrow aspirates were hypercellular with leukemic cells including Auer rods. Chromosome analysis showed t(7;11) and the Ph chromosome. After complete remission, normal karyotype was restored. Normal male karyotypic cells replaced the bone marrow following allogeneic bone marrow transplantation from her brother. On day 358, cytogenetic study at relapse revealed 14q+ as an additional change and clearly showed that the abnormal clone was derived from the patient, because metaphases with XX were all of abnormal karyotype and those with XY were normal.","['Miura, I', 'Nishinari, T', 'Hashimoto, K', 'Nimura, T', 'Takatsu, H', 'Niitsu, H', 'Hirokawa, M', 'Kuwayama, A', 'Nishimura, S', 'Miura, A B']","['Miura I', 'Nishinari T', 'Hashimoto K', 'Nimura T', 'Takatsu H', 'Niitsu H', 'Hirokawa M', 'Kuwayama A', 'Nishimura S', 'Miura AB']","['Third Department of Internal Medicine, Akita University School of Medicine, Japan.']",['eng'],"['Case Reports', 'Journal Article']",Switzerland,Acta Haematol,Acta haematologica,0141053,,IM,"['Adult', '*Bone Marrow Transplantation', '*Chromosomes, Human, Pair 11', '*Chromosomes, Human, Pair 7', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/therapy', 'Leukemia, Myeloid, Acute/*genetics/therapy', 'Recurrence', '*Translocation, Genetic']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.1159/000204397 [doi]'],ppublish,Acta Haematol. 1993;90(3):148-50. doi: 10.1159/000204397.,,,,,,,,,,,,,,,,,,,,,,
8291374,NLM,MEDLINE,19940218,20180216,0001-5792 (Print) 0001-5792 (Linking),90,3,1993,GM-CSF and eosinophil chemotactic factors in an acute lymphoblastic leukemia patient with eosinophilia.,144-7,"We describe a patient with common acute lymphoblastic leukemia associated with blood and cerebrospinal fluid (CSF) eosinophilia. Serum obtained at onset and conditioned medium prepared from T cells obtained at remission stimulated with interleukin-2 contained eosinophil colony stimulating activity (Eo-CSA), which was confirmed to be predominantly GM-CSF. Leukemic cell conditioned medium and serum obtained at remission contained no Eo-CSA. The CSF contained increased eosinophil chemotactic activity, however, this factor was not identified.","['Kita, R', 'Enokihara, H', 'Nagashima, S', 'Tsunogake, S', 'Yamato, H', 'Saito, K', 'Furusawa, S', 'Shishido, H', 'Fukushima, Y', 'Fukuda, T']","['Kita R', 'Enokihara H', 'Nagashima S', 'Tsunogake S', 'Yamato H', 'Saito K', 'Furusawa S', 'Shishido H', 'Fukushima Y', 'Fukuda T']","['Third Department of Internal Medicine, Dokkyo University School of Medicine, Tochigi, Japan.']",['eng'],"['Case Reports', 'Journal Article']",Switzerland,Acta Haematol,Acta haematologica,0141053,"['0 (Chemotactic Factors, Eosinophil)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,"['Adult', 'Chemotactic Factors, Eosinophil/*blood', 'Eosinophilia/*blood/complications', 'Female', 'Granulocyte-Macrophage Colony-Stimulating Factor/*blood', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*blood/complications']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.1159/000204396 [doi]'],ppublish,Acta Haematol. 1993;90(3):144-7. doi: 10.1159/000204396.,,,,,,,,,,,,,,,,,,,,,,
8291361,NLM,MEDLINE,19940222,20041117,0001-5547 (Print) 0001-5547 (Linking),38,1,1994 Jan-Feb,Soft tissue chloroma diagnosed by fine needle aspiration cytology. A case report.,83-6,"A case of soft tissue chloroma diagnosed by fine needle aspiration cytology is reported. The smears revealed numerous large, granular promyelocytes, rare eosinophils and metamyelocytes. The promyelocytes showed many Auer rods (faggot cells). The histologic sections of the excised tumor confirmed the cytologic diagnosis of chloroma. The patient developed leukemia seven months after excision of the chloroma.","['Kumar, P V']",['Kumar PV'],"['Department of Pathology, Shiraz Medical School, Shiraz University of Medical Sciences, Iran.']",['eng'],"['Case Reports', 'Journal Article']",Switzerland,Acta Cytol,Acta cytologica,0370307,,IM,"['Adult', 'Biopsy, Needle', 'Humans', 'Leukemia, Myeloid/*pathology', 'Leukemia, Promyelocytic, Acute/pathology', 'Male', 'Soft Tissue Neoplasms/*pathology']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",,ppublish,Acta Cytol. 1994 Jan-Feb;38(1):83-6.,,,,,,,,,,,,,,,,,,,,,,
8291119,NLM,MEDLINE,19940224,20190713,0041-1337 (Print) 0041-1337 (Linking),57,1,1994 Jan,Selective depletion of CD8+ cells for prevention of graft-versus-host disease after bone marrow transplantation. A randomized controlled trial.,82-7,"We performed a prospective randomized, double-blind study to assess the efficacy of selective depletion of CD8+ bone marrow cells in preventing acute graft-versus-host disease (GVHD) in 38 patients undergoing HLA-identical sibling donor bone marrow transplantation for leukemia. All patients received CsA for GVHD prophylaxis. Nineteen patients received marrow depleted of CD8+ cells by ex vivo treatment with anti-leu2, an anti-CD8 mAb and complement; four patients had moderate (grade 1 or 2 acute GVHD) and the only patient who experienced grade 3 manifestations was a technical failure. The control group consisted of 19 patients who received unmodified bone marrow; one patient had grade 1, 4 patients had grade 2, and 10 had grade 3 or 4 acute GVHD. The actuarial incidence of grade > or = 2 acute GVHD was 20 +/- 20% in the CD8-depleted group compared with 80 +/- 18% in the controls (P = 0.004). Death in 5 of the control patients and the single patient in whom CD8 depletion was a technical failure was related to acute GVHD. Graft failure occurred in 2 patients in the CD8-depleted group and in none of the controls. Leukemic relapse occurred in 2 patients receiving CD8-depleted bone marrow and 2 patients in the control group. Seven patients receiving marrow depleted of CD8+ cells are alive and free of leukemia and 9 patients in the control group are alive, 7 of whom remain leukemia-free (P = 0.88). The 3-year actuarial leukemia-free survival is 37 +/- 22% of the CD8-depleted group and 36 +/- 22% for the control group. These results indicate that selective depletion of CD8+ cells from the bone marrow significantly reduces the incidence and severity of acute GVHD.","['Nimer, S D', 'Giorgi, J', 'Gajewski, J L', 'Ku, N', 'Schiller, G J', 'Lee, K', 'Territo, M', 'Ho, W', 'Feig, S', 'Selch, M']","['Nimer SD', 'Giorgi J', 'Gajewski JL', 'Ku N', 'Schiller GJ', 'Lee K', 'Territo M', 'Ho W', 'Feig S', 'Selch M', 'et al.']","['Department of Medicine, UCLA School of Medicine.']",['eng'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Transplantation,Transplantation,0132144,['0 (CD8 Antigens)'],IM,"['Adolescent', 'Adult', 'Bone Marrow Transplantation/*methods', 'CD4-CD8 Ratio', 'CD8 Antigens/*analysis', 'Female', 'Graft vs Host Disease/*prevention & control', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*surgery', 'Leukemia, Myeloid, Acute/*surgery', 'Lymphocyte Depletion/*methods', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*surgery', 'Survival Analysis', 'T-Lymphocyte Subsets/*immunology']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.1097/00007890-199401000-00015 [doi]'],ppublish,Transplantation. 1994 Jan;57(1):82-7. doi: 10.1097/00007890-199401000-00015.,,['CA23175/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,,,,,,
8291035,NLM,MEDLINE,19940224,20041117,0106-8350 (Print) 0106-8350 (Linking),93,22,1993 Jun 2,[Nursing stories. Death of a refugee].,20-1,,"['Madsen, L D']",['Madsen LD'],,['dan'],"['Case Reports', 'Journal Article']",Denmark,Sygeplejersken,Sygeplejersken,0421366,,,"['Adult', '*Death', 'Denmark', 'Humans', 'Leukemia/ethnology/*nursing', 'Male', 'Middle East/ethnology', '*Refugees']",1993/06/02 00:00,1993/06/02 00:01,['1993/06/02 00:00'],"['1993/06/02 00:00 [pubmed]', '1993/06/02 00:01 [medline]', '1993/06/02 00:00 [entrez]']",,ppublish,Sygeplejersken. 1993 Jun 2;93(22):20-1.,,,Sygeplejefortaellinger. En flygtnings dod.,,,,,,,,,,,,,,,,,,,
8290971,NLM,MEDLINE,19940218,20131121,0093-7754 (Print) 0093-7754 (Linking),20,6 Suppl 8,1993 Dec,Idarubicin-related side effects in recipients of T-cell-depleted allogeneic bone marrow transplants are schedule dependent.,47-52,"The influence of three different dosage schedules of anthracycline (idarubicin or daunorubicin)-intensified preparative therapy prior to T-cell-depleted allogeneic bone marrow transplantation (BMT) on (1) the severity and duration of oral toxicity (mucositis), (2) the duration of bone marrow aplasia, and (3) overall survival, relapse, and disease-free survival was studied in 99 BMT patients with standard- or high-risk hematologic malignancies. A further 146 patients who did not receive the anthracycline-intensified conditioning served as (historic) controls. All patients received cyclophosphamide (total dose, 120 mg/kg) on days -6 and -5 and total body irradiation on days -2 and -1 prior to BMT. The 99 patients who received the anthracycline-intensified preparative regimen were given either idarubicin (total dose, 42 mg/m2; n = 88) or daunorubicin (total dose, 156 mg/m2; n = 11) by continuous intravenous infusion between days -7 and -1 prior to BMT in 59 cases (cohort 1), on days -8 and -7 in 17 cases (cohort 2), and on days -12 and -11 in 23 cases (cohort 3). The occurrence of severe oral mucositis and delayed bone marrow recovery was schedule dependent, being substantially lower with earlier administration of the anthracycline-intensified regimen on days -12 and -11 before BMT (cohort 3), in comparison with later administration (cohorts 1 and 2). Plasma drug and metabolite concentrations were measured in 11 patients who received idarubicin. At the time of allogeneic bone marrow infusion (day 0), patients in cohorts 1 and 2 had plasma concentrations of idarubicin and idarubicinol (its active metabolite) in the range of in vitro cytotoxicity. However, in cohort 3, plasma concentrations on day 0 were much lower, which correlated with the lower maximum intensity and shorter duration of mucositis in these patients. In terms of overall survival, relapse rate, and disease-free survival in standard-risk patients, the anthracycline-intensified regimen proved to be very effective. Transplant-related mortality was 25% in the anthracycline group compared with 32% in the controls. The probability of relapse also was significantly less in the anthracycline group in comparison with controls (17% v 46%; P < .001), and the probabilities of long-term overall and disease-free survival were significantly greater (71% v 37% [P < .01] and 63% v 32% [P < .01], respectively). Only three patients in the idarubicin group experienced cardiotoxicity (one in each cohort); the causative relationship with anthracyclines was considered likely in one, possible in one, and doubtful in the third.","['Muus, P', 'Donnelly, P', 'Schattenberg, A', 'Linssen, P', 'Minderman, H', 'Dompeling, E', 'de Witte, T']","['Muus P', 'Donnelly P', 'Schattenberg A', 'Linssen P', 'Minderman H', 'Dompeling E', 'de Witte T']","['Department of Hematology, University Hospital Nijmegen, The Netherlands.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Semin Oncol,Seminars in oncology,0420432,"['0 (Antibiotics, Antineoplastic)', '8N3DW7272P (Cyclophosphamide)', 'ZRP63D75JW (Idarubicin)']",IM,"['Adolescent', 'Adult', 'Antibiotics, Antineoplastic/administration & dosage/adverse effects', 'Antineoplastic Combined Chemotherapy Protocols/*administration & dosage/adverse effects/therapeutic use', '*Bone Marrow Transplantation/methods/mortality', 'Combined Modality Therapy', 'Cyclophosphamide/administration & dosage', 'Dose-Response Relationship, Drug', 'Female', 'Heart/drug effects', 'Humans', 'Idarubicin/*administration & dosage/*adverse effects', 'Leukemia/*therapy', 'Lymphoma, Non-Hodgkin/*therapy', 'Male', 'Middle Aged', 'Mouth Mucosa', 'Premedication', 'Stomatitis/*chemically induced/prevention & control', 'Survival Analysis']",1993/12/01 00:00,1993/12/01 00:01,['1993/12/01 00:00'],"['1993/12/01 00:00 [pubmed]', '1993/12/01 00:01 [medline]', '1993/12/01 00:00 [entrez]']",,ppublish,Semin Oncol. 1993 Dec;20(6 Suppl 8):47-52.,,,,,,,,,,,,,,,,,,,,,,
8290970,NLM,MEDLINE,19940218,20131121,0093-7754 (Print) 0093-7754 (Linking),20,6 Suppl 8,1993 Dec,Results of treatment with an intensive combination induction regimen containing idarubicin in children with acute myeloblastic leukemia: preliminary report of the Argentine Group for Treatment of Acute Leukemia.,34-8,"In April 1990, the Argentine Group for Treatment of Acute Leukemia began a multicenter trial for the treatment of previously untreated acute myeloblastic leukemia patients who were under 21 years of age. Initial treatment consisted of an 8-day induction phase with cytarabine together with idarubicin on days 3 to 5 and etoposide on days 6 to 8. A multidrug consolidation phase was subsequently administered and, after a treatment-free interval of 2 to 4 weeks, two 5-day intensification courses with high-dose cytarabine and etoposide were delivered with a 4-week interval between each course. Continuation therapy was started 2 to 4 weeks after the second course, with 6-thioguanine daily and cytarabine daily for 4 days every 4 weeks. Treatment was stopped after 18 months in children in continuous complete remission. A preliminary evaluation of this ongoing study included 36 patients with a mean age of 7.5 years (age range, 5 months to 16 years). The majority of patients had a French-American-British classification of M2 (n = 13) or M4 (n = 8). Complete remission was achieved by 91.7% of patients, while one died from sepsis in bone marrow hypoplasia and two were regarded as treatment failures. At a median follow-up of 12 months (range, 2 to 23 months) there were 12 adverse events: six bone marrow relapses, one bone marrow/skin relapse, and five deaths in complete remission (all deaths occurred during the consolidation phase). During the induction phase most of the patients experienced prolonged myelosuppression, and grade 3 to 4 toxicity (according to the Children's Cancer Group criteria) was frequently seen. Alopecia was universal. However, toxicity was manageable. We conclude that idarubicin in combination with cytarabine and etoposide is a highly effective regimen for induction in children with acute myeloblastic leukemia.","['Sackmann-Muriel, F', 'Fernandez-Barbieri, M A', 'Santarelli, M T', 'Matus-Ridley, M', 'Rosso, A', 'Negri-Aranguren, P', 'Cerutti, I', 'Gomel, M', 'Kvicala, R']","['Sackmann-Muriel F', 'Fernandez-Barbieri MA', 'Santarelli MT', 'Matus-Ridley M', 'Rosso A', 'Negri-Aranguren P', 'Cerutti I', 'Gomel M', 'Kvicala R']","['Pediatric Section, Argentine Group for Treatment of Acute Leukemia (Grupo Argentino de Tratamiento de la Leucemia Aguda), Buenos Aires.']",['eng'],"['Clinical Trial', 'Journal Article', 'Multicenter Study']",United States,Semin Oncol,Seminars in oncology,0420432,"['04079A1RDZ (Cytarabine)', '6PLQ3CP4P3 (Etoposide)', 'ZRP63D75JW (Idarubicin)']",IM,"['Acute Disease', 'Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/*therapeutic use', 'Child', 'Child, Preschool', 'Cytarabine/administration & dosage', 'Drug Administration Schedule', 'Etoposide/administration & dosage', 'Female', 'Humans', 'Idarubicin/*administration & dosage', 'Infant', 'Leukemia, Myeloid/*drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Male', 'Remission Induction', 'Survival Analysis']",1993/12/01 00:00,1993/12/01 00:01,['1993/12/01 00:00'],"['1993/12/01 00:00 [pubmed]', '1993/12/01 00:01 [medline]', '1993/12/01 00:00 [entrez]']",,ppublish,Semin Oncol. 1993 Dec;20(6 Suppl 8):34-8.,,,,,,,,,,,,,,,,,,,,,,
8290969,NLM,MEDLINE,19940218,20131121,0093-7754 (Print) 0093-7754 (Linking),20,6 Suppl 8,1993 Dec,Idarubicin in the therapy of acute myeloid leukemia: final analysis in 57 previously untreated patients.,27-33,"Fifty-seven previously untreated adult acute myeloid leukemia patients received idarubicin (IDA) in sequential combination with cytarabine as induction therapy; post-remission treatment included two courses of IDA and cytarabine alternating with two courses of VP-16 and cytarabine. As late intensification, patients received either high-dose cytarabine or, in 10 cases, autologous bone marrow transplantation. Complete remission (CR) was achieved in 48 patients (84.2%), 41 after one induction course and seven after two courses. Median length of disease-free survival (DFS) was 26 months. Univariate analysis did not identify any of the investigated variables as having prognostic significance in predicting DFS. On the other hand, patients achieving CR after one induction course had a better DFS than those requiring two courses. Furthermore, the analysis of DFS slightly favors autologous bone marrow transplantation. In conclusion, the antileukemic activity of the present IDA protocol is testified by the high CR rate and by the possibility of minimizing the role of prognostic factors. The better outcome of patients achieving CR after one induction course further supports the opinion that the intensity of the induction treatment, offered by an agent as potent as IDA, might significantly influence DFS.","['Lambertenghi Deliliers, G', 'Annaloro, C', 'Oriani, A', 'Pozzoli, E', 'Cortelezzi, A', 'Cortellaro, M', 'Mozzana, R', 'Della Volpe, A', 'Soligo, D', 'Cofrancesco, E']","['Lambertenghi Deliliers G', 'Annaloro C', 'Oriani A', 'Pozzoli E', 'Cortelezzi A', 'Cortellaro M', 'Mozzana R', 'Della Volpe A', 'Soligo D', 'Cofrancesco E', 'et al.']","['Istituto di Scienze Mediche, University of Milan, Italy.']",['eng'],['Journal Article'],United States,Semin Oncol,Seminars in oncology,0420432,"['04079A1RDZ (Cytarabine)', 'ZRP63D75JW (Idarubicin)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Bone Marrow Transplantation', 'Chemotherapy, Adjuvant', 'Cytarabine/administration & dosage', 'Female', 'Humans', 'Idarubicin/*administration & dosage', 'Leukemia, Myeloid/*drug therapy/therapy', 'Male', 'Middle Aged', 'Remission Induction', 'Survival Analysis']",1993/12/01 00:00,1993/12/01 00:01,['1993/12/01 00:00'],"['1993/12/01 00:00 [pubmed]', '1993/12/01 00:01 [medline]', '1993/12/01 00:00 [entrez]']",,ppublish,Semin Oncol. 1993 Dec;20(6 Suppl 8):27-33.,,,,,,,,,,,,,,,,,,,,,,
8290968,NLM,MEDLINE,19940218,20131121,0093-7754 (Print) 0093-7754 (Linking),20,6 Suppl 8,1993 Dec,Idarubicin/cytosine arabinoside and mitoxantrone/etoposide for the treatment of de novo acute myelogenous leukemia.,20-6,"Since January 1989, 56 patients (31 females and 25 males) with de novo acute myelogenous leukemia have been included in the study. Their median age was 43 years (range, 15 to 60 years) with a distribution according to French-American-British morphologic subtypes as follows: six M1, 14 M2, four M3, 19 M4, nine M5, two M6, and two M7. The induction regimen (IDAC) consisted of idarubicin (12 mg/m2/d intravenously [IV] days 1 to 3) in combination with cytarabine (100 mg/m2/d continuous IV days 1 to 7). Patients achieving complete remission (CR) or partial remission received another cycle of IDAC followed by NOVE (mitoxantrone 10 mg/m2/d IV days 1 to 5 and etoposide 100 mg/m2/d IV days 1 to 5). Fifty-four patients are evaluable for response: after two cycles of IDAC, 42 patients had attained CR (78%), while 76% of these had already reached CR after the first cycle. Of the initial 11 nonresponders to IDAC, four obtained CR after NOVE. Thus, 46 of 54 patients (85%) achieved CR after sequential treatment with IDAC and NOVE. In the last 17 patients who entered CR or partial remission after the first cycle of IDAC, recombinant human granulocyte-macrophage colony-stimulating factor (rhGM-CSF; 3 micrograms/kg/d) was administered for 6 days starting 3 days prior to the second cycle of IDAC. For consolidation with NOVE, rhGM-CSF was given according to the same dosage schedule. After 72 hours of rhGM-CSF treatment, the white blood cell count showed a median 3.9-fold increase, without appearance of myeloblasts in the peripheral blood. During sequential chemotherapy, no significant complications (in particular, no major cardiac toxicity) were observed. Postremission, patients were either given bone marrow transplants, received late consolidation with high-dose cytarabine/mitoxantrone, or were followed up without any further treatment. Of the 46 patients evaluable for disease-free survival, 21 patients (45%) remain in CR with a 34% probability of disease-free survival at 37 months. The response-adapted treatment with IDAC/NOVE is effective and very well tolerated. To define the therapeutic impact of rhGM-CSF, a randomized trial will be required.","['Haas, R', 'Ho, A D', 'Del Valle, F', 'Fischer, J T', 'Ehrhardt, R', 'Dohner, H', 'Witt, B', 'Huberts, H', 'Kaplan, E', 'Hunstein, W']","['Haas R', 'Ho AD', 'Del Valle F', 'Fischer JT', 'Ehrhardt R', 'Dohner H', 'Witt B', 'Huberts H', 'Kaplan E', 'Hunstein W']","['Department of Internal Medicine, University of Heidelberg, Germany.']",['eng'],"['Clinical Trial', 'Journal Article']",United States,Semin Oncol,Seminars in oncology,0420432,"['0 (Recombinant Proteins)', '04079A1RDZ (Cytarabine)', '6PLQ3CP4P3 (Etoposide)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)', 'BZ114NVM5P (Mitoxantrone)', 'ZRP63D75JW (Idarubicin)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Cytarabine/administration & dosage', 'Etoposide/administration & dosage', 'Female', 'Granulocyte-Macrophage Colony-Stimulating Factor/*therapeutic use', 'Humans', 'Idarubicin/*administration & dosage', 'Leukemia, Myeloid/*drug therapy', 'Male', 'Middle Aged', 'Mitoxantrone/administration & dosage', 'Recombinant Proteins/therapeutic use', 'Remission Induction', 'Survival Analysis']",1993/12/01 00:00,1993/12/01 00:01,['1993/12/01 00:00'],"['1993/12/01 00:00 [pubmed]', '1993/12/01 00:01 [medline]', '1993/12/01 00:00 [entrez]']",,ppublish,Semin Oncol. 1993 Dec;20(6 Suppl 8):20-6.,,,,,,,,,,,,,,,,,,,,,,
