PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,TT,AB,PMC,CIN,PS,FPS,OID
4929977,NLM,MEDLINE,19710628,20190617,0028-0836 (Print) 0028-0836 (Linking),230,5294,1971 Apr 16,Carcinogenicity of industrial chemicals propylene imine and propane sultone.,460-1,"['Ulland, B', 'Finkelstein, M', 'Weisburger, E K', 'Rice, J M', 'Weisburger, J H']","['Ulland B', 'Finkelstein M', 'Weisburger EK', 'Rice JM', 'Weisburger JH']",['eng'],['Journal Article'],England,Nature,Nature,0410462,"['0 (Azirines)', '0 (Carcinogens)', '0 (Naphthalenes)', '0 (Sulfonic Acids)']",IM,"['Adenocarcinoma/chemically induced', 'Adenoma, Chromophobe/chemically induced', 'Animals', 'Azirines/administration & dosage/*toxicity', 'Brain Neoplasms/chemically induced', '*Carcinogens/administration & dosage', 'Carcinoma, Squamous Cell/chemically induced', 'Chemical Industry', 'Colonic Neoplasms/chemically induced', 'Ear Neoplasms/chemically induced', 'Female', 'Glioma/chemically induced', 'Intestinal Neoplasms/chemically induced', 'Leukemia, Myeloid/chemically induced', 'Male', 'Mammary Neoplasms, Experimental/chemically induced', '*Naphthalenes', '*Occupational Medicine', 'Pituitary Neoplasms/chemically induced', 'Rats', '*Sulfonic Acids']",1971/04/16 00:00,1971/04/16 00:01,['1971/04/16 00:00'],"['1971/04/16 00:00 [pubmed]', '1971/04/16 00:01 [medline]', '1971/04/16 00:00 [entrez]']",['10.1038/230460a0 [doi]'],ppublish,Nature. 1971 Apr 16;230(5294):460-1. doi: 10.1038/230460a0.,,,,,,,,
4929936,NLM,MEDLINE,19710628,20190620,0008-543X (Print) 0008-543X (Linking),27,4,1971 Apr,Experience with emetine hydrochloride (NSC 33669) as an antitumor agent.,835-41,"['Panettiere, F', 'Coltman, C A Jr']","['Panettiere F', 'Coltman CA Jr']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,"['0 (Antineoplastic Agents)', 'X8D5EPO80M (Emetine)']",IM,"['Adenocarcinoma/drug therapy', 'Antineoplastic Agents/adverse effects/*therapeutic use', 'Breast Neoplasms/drug therapy', 'Carcinoma, Bronchogenic/drug therapy', 'Carcinoma, Squamous Cell/drug therapy', 'Carcinoma, Transitional Cell/drug therapy', 'Colonic Neoplasms/drug therapy', 'Diarrhea/chemically induced', 'Electrocardiography', 'Emetine/administration & dosage/adverse effects/*therapeutic use', 'Female', 'Humans', 'Injections, Intravenous', 'Laryngeal Neoplasms/drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Lung Neoplasms/drug therapy', 'Lymphoma, Large B-Cell, Diffuse/drug therapy', 'Male', 'Melanoma/drug therapy', 'Myositis/chemically induced', 'Nausea/chemically induced', 'Tachycardia/chemically induced', 'Thyroid Neoplasms/drug therapy', 'Tracheal Neoplasms/drug therapy', 'Urinary Bladder Neoplasms/drug therapy']",1971/04/01 00:00,2001/03/28 10:01,['1971/04/01 00:00'],"['1971/04/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1971/04/01 00:00 [entrez]']",['10.1002/1097-0142(197104)27:4<835::aid-cncr2820270413>3.0.co;2-k [doi]'],ppublish,Cancer. 1971 Apr;27(4):835-41. doi: 10.1002/1097-0142(197104)27:4<835::aid-cncr2820270413>3.0.co;2-k.,,,,,,,,
4929907,NLM,MEDLINE,19710626,20080620,0032-3756 (Print) 0032-3756 (Linking),26,13,1971 Mar 29,[Immunological treatment of leukemias].,482-4,"['Szmigiel, Z']",['Szmigiel Z'],['pol'],"['Journal Article', 'Review']",Poland,Pol Tyg Lek,"Polski tygodnik lekarski (Warsaw, Poland : 1960)",9705468,"['0 (Antigens)', '0 (BCG Vaccine)']",IM,"['Age Factors', 'Animals', 'Antibody Formation', 'Antibody Specificity', 'Antigens', 'BCG Vaccine', 'Burkitt Lymphoma/immunology', 'Histocompatibility', 'Humans', 'Immune Tolerance', 'Immunity, Active', 'Immunity, Maternally-Acquired', 'Leukemia/*immunology/*therapy', 'Mice', 'Neoplasm Transplantation', 'Oncogenic Viruses', 'RNA Viruses', 'Rabbits', 'Time Factors', 'Transplantation Immunology']",1971/03/29 00:00,1971/03/29 00:01,['1971/03/29 00:00'],"['1971/03/29 00:00 [pubmed]', '1971/03/29 00:01 [medline]', '1971/03/29 00:00 [entrez]']",,ppublish,Pol Tyg Lek. 1971 Mar 29;26(13):482-4.,20,Immunologiczne leczenie bialaczek.,,,,,,
4929898,NLM,MEDLINE,19710626,20141120,0028-4793 (Print) 0028-4793 (Linking),284,22,1971 Jun 3,Data on the cause of leukemia.,1267-8,"['Boggs, D R']",['Boggs DR'],['eng'],['Journal Article'],United States,N Engl J Med,The New England journal of medicine,0255562,,IM,"['Animals', 'Bone Marrow Transplantation', 'Cell Transformation, Neoplastic', 'Chromosome Aberrations', 'Clone Cells', 'Female', 'Hematopoiesis', 'Hematopoietic Stem Cells', 'Humans', 'In Vitro Techniques', 'Leukemia/*etiology/genetics/physiopathology/therapy', 'Leukocytes', 'Male', 'Mice', 'Mutation']",1971/06/03 00:00,1971/06/03 00:01,['1971/06/03 00:00'],"['1971/06/03 00:00 [pubmed]', '1971/06/03 00:01 [medline]', '1971/06/03 00:00 [entrez]']",['10.1056/NEJM197106032842214 [doi]'],ppublish,N Engl J Med. 1971 Jun 3;284(22):1267-8. doi: 10.1056/NEJM197106032842214.,,,,,,,,
4929671,NLM,MEDLINE,19710622,20190813,0009-9260 (Print) 0009-9260 (Linking),22,1,1971 Jan,Intraspinal tumours in children (excluding dysraphism).,17-32,"['Banna, M', 'Gryspeerdt, G L']","['Banna M', 'Gryspeerdt GL']",['eng'],"['Journal Article', 'Review']",England,Clin Radiol,Clinical radiology,1306016,['0 (Contrast Media)'],IM,"['Adolescent', 'Astrocytoma/diagnostic imaging', 'Child', 'Child, Preschool', 'Contrast Media', 'Ependymoma/diagnostic imaging', 'Female', 'Hemangiopericytoma/diagnostic imaging', 'Hemangiosarcoma/diagnostic imaging', 'Humans', 'Infant', 'Leukemia/diagnostic imaging', 'Male', 'Meningioma/diagnostic imaging', 'Myelography', 'Neoplasm Metastasis/diagnostic imaging', 'Neuroblastoma/diagnostic imaging', 'Neurofibroma/diagnostic imaging', 'Sarcoma/diagnostic imaging', 'Spinal Cord Compression/diagnostic imaging/etiology', 'Spinal Neoplasms/diagnosis/*diagnostic imaging']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']","['S0009-9260(71)80005-3 [pii]', '10.1016/s0009-9260(71)80005-3 [doi]']",ppublish,Clin Radiol. 1971 Jan;22(1):17-32. doi: 10.1016/s0009-9260(71)80005-3.,53,,,,,,,
4929377,NLM,MEDLINE,19710619,20061115,0027-8874 (Print) 0027-8874 (Linking),45,2,1970 Aug,Isolation of mycoplasma from leukemic and nonleukemic patients.,243-51,"['Murphy, W H', 'Bullis, C', 'Dabich, L', 'Heyn, R', 'Zarafonetis, C J']","['Murphy WH', 'Bullis C', 'Dabich L', 'Heyn R', 'Zarafonetis CJ']",['eng'],"['Comparative Study', 'Journal Article']",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Culture Media)', '59-01-8 (Kanamycin)']",IM,"['Adolescent', 'Adult', 'Age Factors', 'Bacteriological Techniques', 'Blood/microbiology', 'Bone Marrow/microbiology', 'Cell Line', 'Child', 'Culture Media', 'Cytopathogenic Effect, Viral', 'Humans', 'Immune System Diseases/microbiology', 'Kanamycin', 'Leukemia/*microbiology', 'Methods', 'Middle Aged', 'Mycoplasma/*isolation & purification', 'Neoplasms/microbiology', 'Remission, Spontaneous', 'Seasons']",1970/08/01 00:00,1970/08/01 00:01,['1970/08/01 00:00'],"['1970/08/01 00:00 [pubmed]', '1970/08/01 00:01 [medline]', '1970/08/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1970 Aug;45(2):243-51.,,,,,,,,
4929265,NLM,MEDLINE,19710618,20131121,0008-5472 (Print) 0008-5472 (Linking),30,4,1970 Apr,Comparative biological activity of nogalamycin and its analogs.,984-9,"['Bhuyan, B K', 'Reusser, F']","['Bhuyan BK', 'Reusser F']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Anti-Bacterial Agents)', '0 (DNA, Bacterial)', '0 (Macromolecular Substances)', '0 (Naphthacenes)', '0 (Peptides)', '63231-63-0 (RNA)', '9007-49-2 (DNA)', 'EC 2.7.7.- (RNA Nucleotidyltransferases)', 'HG18B9YRS7 (Valine)', 'VC2W18DGKR (Thymidine)', 'WHI7HQ7H85 (Uridine)']",IM,"['Animals', 'Anti-Bacterial Agents/*pharmacology/therapeutic use', 'Bacteria/drug effects', 'Binding Sites', 'Cell Line', 'Cell-Free System', 'Chemical Phenomena', 'Chemistry', 'Culture Techniques', 'DNA/*antagonists & inhibitors/biosynthesis', 'DNA, Bacterial', 'Escherichia coli', 'Leukemia L1210/drug therapy/metabolism', 'Macromolecular Substances/biosynthesis', 'Mice', 'Naphthacenes/*pharmacology', 'Peptides/antagonists & inhibitors', 'Protein Biosynthesis', 'RNA/*antagonists & inhibitors/biosynthesis', 'RNA Nucleotidyltransferases/antagonists & inhibitors', 'Temperature', 'Thymidine/metabolism', 'Uridine/antagonists & inhibitors/metabolism', 'Valine/metabolism']",1970/04/01 00:00,1970/04/01 00:01,['1970/04/01 00:00'],"['1970/04/01 00:00 [pubmed]', '1970/04/01 00:01 [medline]', '1970/04/01 00:00 [entrez]']",,ppublish,Cancer Res. 1970 Apr;30(4):984-9.,,,,,,,,
4929103,NLM,MEDLINE,19710617,20061115,0039-9450 (Print) 0039-9450 (Linking),16,4,1971 Apr,[Comparative ultrastructural studies on the type C virus particles (RNA tumor viruses) in various animals].,279-87,"['Kodama, T']",['Kodama T'],['jpn'],"['Journal Article', 'Review']",Japan,Tanpakushitsu Kakusan Koso,"Tanpakushitsu kakusan koso. Protein, nucleic acid, enzyme",0413762,['9007-73-2 (Ferritins)'],IM,"['Animals', 'Cats', 'Chickens', 'Cricetinae', 'Ferritins/analysis', 'Friend murine leukemia virus', 'Humans', 'Leukemia, Experimental/microbiology', 'Lymphoma/microbiology', 'Mice', 'Microscopy, Electron', 'Myxoma/microbiology', '*Oncogenic Viruses', 'Osteosarcoma/microbiology', '*RNA Viruses', 'Rats', 'Sarcoma/microbiology', 'Snakes']",1971/04/01 00:00,1971/04/01 00:01,['1971/04/01 00:00'],"['1971/04/01 00:00 [pubmed]', '1971/04/01 00:01 [medline]', '1971/04/01 00:00 [entrez]']",,ppublish,Tanpakushitsu Kakusan Koso. 1971 Apr;16(4):279-87.,56,,,,,,,
4929050,NLM,MEDLINE,19710615,20031114,0507-3758 (Print) 0507-3758 (Linking),16,11,1970,[The significance of the direct and indirect effect of ionizing radiation on radiation leukemia].,80-5,"['Aleksandrov, S N', 'Galkovskaia, K F', 'Gubareva, A V']","['Aleksandrov SN', 'Galkovskaia KF', 'Gubareva AV']",['rus'],['Journal Article'],Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,,IM,"['Animals', '*Bone Marrow Transplantation', 'Female', '*Leukemia, Radiation-Induced', 'Mice', 'Transplantation, Autologous']",1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",,ppublish,Vopr Onkol. 1970;16(11):80-5.,,Znachenie priamogo i oposredovannogo vliianiia ioniziruiushchei radiatsii v luchevom leikozogeneze.,,,,,,
4929044,NLM,MEDLINE,19710615,20151119,0507-3758 (Print) 0507-3758 (Linking),16,11,1970,[Current views on drug therapy of tumors].,108-16,"[""Vermel', E M""]","[""Vermel' EM""]",['rus'],"['Journal Article', 'Review']",Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,"['0 (Antineoplastic Agents)', '0 (Mitomycins)', '18D0SL7309 (Chlorambucil)', '1CC1JFE158 (Dactinomycin)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Antineoplastic Agents/therapeutic use', 'Carcinoma, Brown-Pearce/drug therapy', 'Carcinoma, Ehrlich Tumor/drug therapy', 'Chlorambucil/therapeutic use', 'Cyclophosphamide/therapeutic use', 'Dactinomycin/therapeutic use', 'Humans', 'Hyperbaric Oxygenation', 'Leukemia L1210/drug therapy', 'Lymphoma/drug therapy', 'Methotrexate/therapeutic use', 'Mitomycins/therapeutic use', 'Neoplasms/*drug therapy', 'Vincristine/therapeutic use']",1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",,ppublish,Vopr Onkol. 1970;16(11):108-16.,59,Sovremennoe sostoianie problemy medikamentoznogo lecheniia opukholei.,,,,,,
4928934,NLM,MEDLINE,19710609,20200930,0037-9727 (Print) 0037-9727 (Linking),136,4,1971 Apr,Induction of interferon in human subjects by poly I:C.,1180-6,"['Field, A K', 'Young, C W', 'Krakoff, I H', 'Tytell, A A', 'Lampson, G P', 'Nemes, M M', 'Hilleman, M R']","['Field AK', 'Young CW', 'Krakoff IH', 'Tytell AA', 'Lampson GP', 'Nemes MM', 'Hilleman MR']",['eng'],"['Clinical Trial', 'Journal Article']",United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,"['0 (Polynucleotides)', '9007-49-2 (DNA)', '9008-11-1 (Interferons)', 'O84C90HH2L (Poly I-C)']",IM,"['Adolescent', 'Adult', 'Aged', 'Breast Neoplasms/drug therapy', 'Clinical Trials as Topic', 'Complement Fixation Tests', 'DNA', 'Female', 'Hodgkin Disease/drug therapy', 'Hot Temperature', 'Humans', 'Interferons/*biosynthesis/blood', 'Laryngeal Neoplasms/drug therapy', 'Leukemia/drug therapy', 'Leukemia, Monocytic, Acute/drug therapy', 'Lymphoma, Large B-Cell, Diffuse/drug therapy', 'Male', 'Melanoma/drug therapy', 'Mesothelioma/drug therapy', 'Middle Aged', 'Nasopharyngeal Neoplasms/drug therapy', 'Nucleic Acid Denaturation', 'Poly I-C/pharmacology', 'Polynucleotides/*pharmacology', 'Teratoma/drug therapy', 'Testicular Neoplasms/drug therapy', 'Urinary Bladder Neoplasms/drug therapy', 'Uterine Cervical Neoplasms/drug therapy']",1971/04/01 00:00,1971/04/01 00:01,['1971/04/01 00:00'],"['1971/04/01 00:00 [pubmed]', '1971/04/01 00:01 [medline]', '1971/04/01 00:00 [entrez]']",['10.3181/00379727-136-35454 [doi]'],ppublish,Proc Soc Exp Biol Med. 1971 Apr;136(4):1180-6. doi: 10.3181/00379727-136-35454.,,,,,,,,
4928863,NLM,MEDLINE,19710609,20210216,0006-4971 (Print) 0006-4971 (Linking),37,5,1971 May,Quantitative studies of localized leukocyte mobilization in acute leukemia.,499-511,"['Holland, J F', 'Senn, H', 'Banerjee, T']","['Holland JF', 'Senn H', 'Banerjee T']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,['VB0R961HZT (Prednisone)'],IM,"['Exudates and Transudates', 'Humans', 'Leukemia, Lymphoid/*blood/drug therapy', 'Leukemia, Myeloid, Acute/*blood/drug therapy', 'Leukocyte Count', '*Leukocytes', 'Prednisone/therapeutic use', 'Remission, Spontaneous/blood', 'Skin Window Technique']",1971/05/01 00:00,1971/05/01 00:01,['1971/05/01 00:00'],"['1971/05/01 00:00 [pubmed]', '1971/05/01 00:01 [medline]', '1971/05/01 00:00 [entrez]']",['S0006-4971(20)62901-9 [pii]'],ppublish,Blood. 1971 May;37(5):499-511.,,,,,,,,
4928780,NLM,MEDLINE,19710608,20190626,0002-9343 (Print) 0002-9343 (Linking),50,3,1971 Mar,Nocardia asteroides infection complicating neoplastic disease.,356-67,"['Young, L S', 'Armstrong, D', 'Blevins, A', 'Lieberman, P']","['Young LS', 'Armstrong D', 'Blevins A', 'Lieberman P']",['eng'],['Journal Article'],United States,Am J Med,The American journal of medicine,0267200,"['0 (Anti-Bacterial Agents)', '0 (Antineoplastic Agents)']",IM,"['Adolescent', 'Adult', 'Aged', 'Anti-Bacterial Agents/therapeutic use', 'Antineoplastic Agents/therapeutic use', 'Blood Cell Count', 'Breast Neoplasms/complications', 'Carcinoma/complications', 'Child', 'Cross Infection/etiology', 'Female', 'Fever', 'Hodgkin Disease/complications', 'Humans', 'Joint Diseases/complications', 'Kidney Neoplasms/complications', 'Leukemia/*complications/microbiology', 'Leukemia, Lymphoid/complications', 'Leukemia, Myeloid/complications', 'Leukemia, Myeloid, Acute/complications', 'Lymphoma/*complications/microbiology', 'Lymphoma, Large B-Cell, Diffuse/complications', 'Lymphoma, Non-Hodgkin/complications', 'Male', 'Middle Aged', 'Neoplasms/*complications/microbiology/therapy', 'Nocardia/isolation & purification', 'Nocardia Infections/complications/drug therapy/*etiology', 'Respiratory Tract Infections/etiology', 'Species Specificity', 'Synovial Membrane']",1971/03/01 00:00,1971/03/01 00:01,['1971/03/01 00:00'],"['1971/03/01 00:00 [pubmed]', '1971/03/01 00:01 [medline]', '1971/03/01 00:00 [entrez]']","['0002-9343(71)90224-5 [pii]', '10.1016/0002-9343(71)90224-5 [doi]']",ppublish,Am J Med. 1971 Mar;50(3):356-67. doi: 10.1016/0002-9343(71)90224-5.,,,,,,,,
4928640,NLM,MEDLINE,19710607,20081121,0020-9554 (Print) 0020-9554 (Linking),12,4,1971 Apr,[Hypersplenism. What it is and what not].,176-86,"['Fischer, J']",['Fischer J'],['ger'],['Journal Article'],Germany,Internist (Berl),Der Internist,0264620,['0 (Chromium Isotopes)'],IM,"['Adult', 'Aged', 'Chromium Isotopes', 'Erythrocytes', 'Female', 'Hot Temperature', 'Humans', 'Hypersplenism/etiology/*physiopathology', 'Leukemia, Lymphoid/physiopathology', 'Leukemia, Myeloid/physiopathology', 'Malaria/physiopathology', 'Male', 'Middle Aged', 'Organ Size', 'Primary Myelofibrosis/physiopathology', 'Spleen/*physiopathology', 'Splenectomy', 'Splenomegaly/diagnosis/*physiopathology', 'Tuberculosis, Splenic/physiopathology']",1971/04/01 00:00,1971/04/01 00:01,['1971/04/01 00:00'],"['1971/04/01 00:00 [pubmed]', '1971/04/01 00:01 [medline]', '1971/04/01 00:00 [entrez]']",,ppublish,Internist (Berl). 1971 Apr;12(4):176-86.,,"Hypersplenismus. Was er ist, was er nicht ist.",,,,,,
4928570,NLM,MEDLINE,19710607,20041117,0029-1420 (Print) 0029-1420 (Linking),85,11,1971 Mar 18,[Clinical significance of muramidase (lysozyme) in plasma and urine].,325-9,"['Hansen, N E', 'Karle, H']","['Hansen NE', 'Karle H']",['dan'],"['Journal Article', 'Review']",Sweden,Nord Med,Nordisk medicin,0401001,"['0 (Iodine Isotopes)', 'EC 3.2.1.17 (Muramidase)']",IM,"['Animals', 'Blood Cells/enzymology', 'Dogs', 'Graft Rejection', 'Humans', 'Iodine Isotopes', 'Kidney Diseases/*diagnosis', 'Kidney Transplantation', 'Leukemia/*diagnosis', 'Muramidase/*analysis/blood/urine', 'Rats']",1971/03/18 00:00,1971/03/18 00:01,['1971/03/18 00:00'],"['1971/03/18 00:00 [pubmed]', '1971/03/18 00:01 [medline]', '1971/03/18 00:00 [entrez]']",,ppublish,Nord Med. 1971 Mar 18;85(11):325-9.,33,Den kliniske betydning af muramidase (lysozym) i plasma og urin.,,,,,,
4928528,NLM,MEDLINE,19710604,20161122,0042-4676 (Print) 0042-4676 (Linking),45,6,1970 Nov-Dec,[X-ray image of malignant lymphomas of the gastrointestinal tract].,31-40,"['Kagan, E M']",['Kagan EM'],['rus'],['Journal Article'],Russia (Federation),Vestn Rentgenol Radiol,Vestnik rentgenologii i radiologii,0424741,,IM,"['Adult', 'Aged', 'Child', 'Female', 'Gastrointestinal Neoplasms/*diagnostic imaging', 'Hodgkin Disease/*diagnostic imaging', 'Humans', 'Leukemia, Lymphoid/*diagnostic imaging', 'Lymphoma, Large B-Cell, Diffuse/*diagnostic imaging', 'Lymphoma, Non-Hodgkin/*diagnostic imaging', 'Male', 'Middle Aged', 'Radiography']",1970/11/01 00:00,1970/11/01 00:01,['1970/11/01 00:00'],"['1970/11/01 00:00 [pubmed]', '1970/11/01 00:01 [medline]', '1970/11/01 00:00 [entrez]']",,ppublish,Vestn Rentgenol Radiol. 1970 Nov-Dec;45(6):31-40.,,Rentgenologicheskaia kartina zlokachestvennykh limfom zheludochno-kishechnogo trakata.,,,,,,
4928414,NLM,MEDLINE,19710602,20131121,0039-9450 (Print) 0039-9450 (Linking),16,3,1970 Mar,[RNA dependent DNA polymerase].,166-74,"['Hatanaka, M']",['Hatanaka M'],['jpn'],"['Journal Article', 'Review']",Japan,Tanpakushitsu Kakusan Koso,"Tanpakushitsu kakusan koso. Protein, nucleic acid, enzyme",0413762,"['0 (Nucleotides)', '63231-63-0 (RNA)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'VJT6J7R4TR (Rifampin)']",IM,"['Animals', 'Cats', '*DNA Nucleotidyltransferases/antagonists & inhibitors/isolation & purification/metabolism', 'Humans', 'Kinetics', 'Leukemia/enzymology', 'Mice', 'Nucleotides/pharmacology', '*RNA', 'RNA Viruses/enzymology', 'Rifampin/pharmacology', 'Sarcoma, Experimental/enzymology']",1970/03/01 00:00,1970/03/01 00:01,['1970/03/01 00:00'],"['1970/03/01 00:00 [pubmed]', '1970/03/01 00:01 [medline]', '1970/03/01 00:00 [entrez]']",,ppublish,Tanpakushitsu Kakusan Koso. 1970 Mar;16(3):166-74.,73,,,,,,,
4928395,NLM,MEDLINE,19710602,20070813,0025-8458 (Print) 0025-8458 (Linking),65,18,1970 May 1,[Burkitt's tumor].,865-75,"['Meyer-Burg, J']",['Meyer-Burg J'],['ger'],"['Journal Article', 'Review']",Germany,Med Klin,Medizinische Klinik,0376637,,IM,"['Adolescent', 'Africa', '*Burkitt Lymphoma/diagnosis/drug therapy/epidemiology/immunology/pathology', 'Child', 'Child, Preschool', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia/diagnosis', 'Male', '*Maxillary Neoplasms', 'Microscopy, Electron', 'Prognosis', 'Sex Factors']",1970/05/01 00:00,2000/03/22 09:00,['1970/05/01 00:00'],"['1970/05/01 00:00 [pubmed]', '2000/03/22 09:00 [medline]', '1970/05/01 00:00 [entrez]']",,ppublish,Med Klin. 1970 May 1;65(18):865-75.,140,Burkitt-Tumor.,,,,,,
4928318,NLM,MEDLINE,19710602,20071115,0014-2565 (Print) 0014-2565 (Linking),119,6,1970 Dec 31,[Current aspects of drug therapy of cancer].,501-16,"['Vicente, J']",['Vicente J'],['spa'],"['Journal Article', 'Review']",Spain,Rev Clin Esp,Revista clinica espanola,8608576,"['0 (Antineoplastic Agents)', '0 (DNA, Neoplasm)', '0 (Immunosuppressive Agents)', '0 (RNA, Neoplasm)']",IM,"['Animals', 'Antineoplastic Agents/pharmacology/*therapeutic use', 'Cell Transformation, Neoplastic/drug effects', 'DNA, Neoplasm/physiology', 'Drug Synergism', 'Hematologic Diseases/drug therapy', 'Humans', 'Immunosuppressive Agents/therapeutic use', 'Leukemia, Lymphoid/*drug therapy', 'Neoplasms/*drug therapy', 'Neoplasms, Experimental/drug therapy', 'RNA, Neoplasm/physiology']",1970/12/31 00:00,1970/12/31 00:01,['1970/12/31 00:00'],"['1970/12/31 00:00 [pubmed]', '1970/12/31 00:01 [medline]', '1970/12/31 00:00 [entrez]']",,ppublish,Rev Clin Esp. 1970 Dec 31;119(6):501-16.,138,Aspectos actuales de la quimioterapia del cancer.,,,,,,
4928312,NLM,MEDLINE,19710602,20181217,0025-8458 (Print) 0025-8458 (Linking),65,16,1970 Apr 17,[Leukemia and diabetes mellitus].,776-80,"['Mahr, G']",['Mahr G'],['ger'],['Journal Article'],Germany,Med Klin,Medizinische Klinik,0376637,"['0 (Fatty Acids, Nonesterified)', '0 (Insulin)', 'IY9XDZ35W2 (Glucose)', 'V27W9254FZ (Cortisone)']",IM,"['Animals', 'Cortisone/adverse effects', '*Diabetes Complications', 'Fatty Acids, Nonesterified/blood', 'Glucose/metabolism', 'Humans', 'Hyperplasia', 'Hypoglycemia/complications', 'Insulin/metabolism', 'Insulin Resistance', 'Insulin Secretion', 'Islets of Langerhans/pathology', 'Leukemia/*complications/drug therapy/metabolism', 'Mice', 'Neoplasm Metastasis', 'Pancreatic Neoplasms', 'Thymus Gland/metabolism']",1970/04/17 00:00,2000/03/22 09:00,['1970/04/17 00:00'],"['1970/04/17 00:00 [pubmed]', '2000/03/22 09:00 [medline]', '1970/04/17 00:00 [entrez]']",,ppublish,Med Klin. 1970 Apr 17;65(16):776-80.,,Leukamie und Diabetes mellitus.,,,,,,
4928300,NLM,MEDLINE,19710602,20110727,0047-1852 (Print) 0047-1852 (Linking),29,,1971 Jan,[Leukocyte alkaline phosphatase--how to read its figures].,Suppl:704-7,"['Hattori, K']",['Hattori K'],['jpn'],"['Journal Article', 'Review']",Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,['EC 3.1.3.1 (Alkaline Phosphatase)'],IM,"['Adult', 'Alkaline Phosphatase/*blood', 'Child', 'Clinical Enzyme Tests/standards', 'Female', 'Humans', 'Leukemia, Myeloid/diagnosis', 'Leukocytes/*enzymology', 'Male', 'Methods', 'Neutrophils/enzymology']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1971 Jan;29:Suppl:704-7.,16,,,,,,,
4928281,NLM,MEDLINE,19710602,20131121,0047-1852 (Print) 0047-1852 (Linking),29,,1971 Jan,[Zinc--how to read its figures].,Suppl:413-8,"['Hiraki, K', 'Kitajima, K']","['Hiraki K', 'Kitajima K']",['jpn'],"['Journal Article', 'Review']",Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,['J41CSQ7QDS (Zinc)'],IM,"['Anemia/blood', 'Blood Chemical Analysis/standards', 'Child', 'Erythrocytes/analysis', 'Female', 'Heart Diseases/blood', 'Humans', 'Kidney Diseases/blood', 'Leukemia/blood', 'Leukocytes/analysis', 'Liver Diseases/blood', 'Male', 'Middle Aged', 'Neoplasms/blood', 'Zinc/*blood/metabolism']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1971 Jan;29:Suppl:413-8.,44,,,,,,,
