PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,CIN,TT,EIN,SI,PMC,GS,RIN,CON
2457309,NLM,MEDLINE,19880914,20190820,0361-8609 (Print) 0361-8609 (Linking),28,3,1988 Jul,Amsacrine is safe in patients with ventricular ectopy.,197-8,"Amsacrine is an active antileukemic agent known to induce cardiac arrhythmias, although the incidence of these cardiac events is low. Rhythm abnormalities associated with amsacrine use include the development of fatal tachyarrhythmias, but this risk can be minimized by ensuring a normal serum potassium level prior to drug administration. Even though amsacrine has been given safely to patients with pre-existing supraventricular arrhythmias, its safety in patients with ventricular ectopy has not been addressed. We describe two patients who underwent treatment with amsacrine without developing life-threatening dysrhythmias and show that ventricular ectopy does not contraindicate therapy with this agent.","['Puccio, C A', 'Feldman, E J', 'Arlin, Z A']","['Puccio CA', 'Feldman EJ', 'Arlin ZA']","['Division of Neoplastic Diseases, New York Medical College, Valhalla 10595.']",['eng'],,"['Case Reports', 'Journal Article']",United States,Am J Hematol,American journal of hematology,7610369,"['00DPD30SOY (Amsacrine)', '04079A1RDZ (Cytarabine)']",IM,"['Aged', 'Amsacrine/*therapeutic use', 'Cardiac Complexes, Premature/*complications', 'Cytarabine/therapeutic use', 'Drug Therapy, Combination', 'Electrocardiography', 'Heart Ventricles', 'Humans', 'Leukemia, Megakaryoblastic, Acute/complications/*drug therapy', 'Leukemia, Myeloid/complications/*drug therapy', 'Male', 'Middle Aged']",1988/07/01 00:00,1988/07/01 00:01,['1988/07/01 00:00'],"['1988/07/01 00:00 [pubmed]', '1988/07/01 00:01 [medline]', '1988/07/01 00:00 [entrez]']",['10.1002/ajh.2830280315 [doi]'],ppublish,Am J Hematol. 1988 Jul;28(3):197-8. doi: 10.1002/ajh.2830280315.,,,,,,,,,
2457307,NLM,MEDLINE,19880914,20190820,0361-8609 (Print) 0361-8609 (Linking),28,3,1988 Jul,Plasmin-alpha 2-plasmin inhibitor complex in plasma of patients with disseminated intravascular coagulation.,162-6,"Plasmin-alpha 2-plasmin inhibitor (alpha 2PI) complex, an indicator of in vivo plasmin generation, was measured in the plasma of 48 patients with disseminated intravascular coagulation (DIC), by enzyme-linked immunosorbent assay (ELISA). Plasmin-alpha 2PI complex was markedly elevated to 7.9 +/- 4.26 mg/liter (mean +/- SD) in DIC at presentation, with normal values at less than 0.8 mg/liter. The concentration of plasmin-alpha 2PI complex changed in parallel with the course of DIC and decreased to 1.9 +/- 1.49 mg/liter (n = 28) in remission. Among various underlying disorders, DIC, in patients with acute promyelocytic leukemia, had the highest complex levels (mean 10.8 mg/liter), and septic patients had the lowest levels (mean 3.4 mg/liter). No significant correlation was found between FDP and plasmin-alpha 2PI complex. These results indicate that the quantitative assay of plasmin-alpha 2PI complex in plasma would be valuable in the assessment of hyperfibrinolysis in DIC.","['Takahashi, H', 'Hanano, M', 'Takizawa, S', 'Tatewaki, W', 'Shibata, A']","['Takahashi H', 'Hanano M', 'Takizawa S', 'Tatewaki W', 'Shibata A']","['First Department of Internal Medicine, Niigata University School of Medicine, Japan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Hematol,American journal of hematology,7610369,"['0 (Antifibrinolytic Agents)', '0 (alpha-2-Antiplasmin)', '0 (plasmin-plasmin inhibitor complex)', 'EC 3.4.21.7 (Fibrinolysin)']",IM,"['Acute Disease', '*Antifibrinolytic Agents', 'Blood Coagulation', 'Disseminated Intravascular Coagulation/*blood', 'Enzyme-Linked Immunosorbent Assay/methods', 'Female', 'Fibrinolysin/*analysis', 'Fibrinolysis', 'Humans', 'Leukemia, Myeloid, Acute/blood', 'Male', 'Osmolar Concentration', 'alpha-2-Antiplasmin/*analysis']",1988/07/01 00:00,1988/07/01 00:01,['1988/07/01 00:00'],"['1988/07/01 00:00 [pubmed]', '1988/07/01 00:01 [medline]', '1988/07/01 00:00 [entrez]']",['10.1002/ajh.2830280306 [doi]'],ppublish,Am J Hematol. 1988 Jul;28(3):162-6. doi: 10.1002/ajh.2830280306.,,,,,,,,,
2457280,NLM,MEDLINE,19880916,20190714,0042-6822 (Print) 0042-6822 (Linking),165,2,1988 Aug,Selective inhibition of formation of suppressor glutamine tRNA in Moloney murine leukemia virus-infected NIH-3T3 cells by Avarol.,518-26,"Avarol is a sesquiterpenoid hydroquinone, which displays no inhibitory potencies on mammalian DNA polymerases alpha, beta, and gamma, on mammalian RNA polymerases I, II, and III, or on reverse transcriptases from Moloney murine leukemia virus (Mo-MuLV) and from HIV. For a further elucidation of the antiviral effect of Avarol, we used NIH-3T3 cells infected with Mo-MuLV as a model system. The results show that in uninfected NIH-3T3 cells Avarol (i) causes a 50% reduction of the growth rate only at the high concentration of 29.6 microM and (ii) is accumulated in the cytoplasm close to the nucleus. At the much lower concentrations of 1-3 microM, Avarol causes an almost complete inhibition of viral progeny release. Moreover, it is shown that at 3 microM Avarol, the increase of the Mo-MuLV-induced UAG suppressor glutamine tRNA (tRNA(UmUGGln) was reduced to the normal level. Dot blot hybridization studies revealed that Avarol displays no inhibitory activity on cellular and viral mRNA synthesis. Taking the processing pathway of viral polyprotein Pr180gag,pol to p80 (reverse transcriptase) as an example, our Western blotting experiments showed that the final maturation process, conversion of p110 to p80, is inhibited in Avarol-treated cells. From these data we conclude that Avarol prevents the suppression of the UAG termination codon at the gag-pol junction of the retroviral genome. The functional consequence of this event is very likely an inhibition of the readthrough of the retroviral protease gene which overlaps the pol and gag genes, resulting in the reduction of the protease synthesis which is necessary for the viral proliferation.","['Kuchino, Y', 'Nishimura, S', 'Schroder, H C', 'Rottmann, M', 'Muller, W E']","['Kuchino Y', 'Nishimura S', 'Schroder HC', 'Rottmann M', 'Muller WE']","['Biophysics Division, National Cancer Research Institute, Tokyo, Japan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Virology,Virology,0110674,"['0 (RNA, Messenger)', '0 (RNA, Transfer, Amino Acid-Specific)', '0 (RNA, Transfer, Gln)', '0 (RNA, Viral)', '0 (Sesquiterpenes)', 'EC 2.7.7.49 (RNA-Directed DNA Polymerase)', 'EC 2.7.7.6 (DNA-Directed RNA Polymerases)', 'EC 2.7.7.7 (DNA-Directed DNA Polymerase)', 'EC 3.4.- (Peptide Hydrolases)', 'KZX416VN2B (avarol)']",IM,"['Animals', 'Cell Line', 'DNA-Directed DNA Polymerase/metabolism', 'DNA-Directed RNA Polymerases/metabolism', 'Gene Expression Regulation/drug effects', 'Leukemia, Experimental/*genetics', 'Mice', 'Moloney murine leukemia virus', 'Peptide Hydrolases/metabolism', 'Protein Processing, Post-Translational/drug effects', 'RNA, Messenger/biosynthesis', 'RNA, Transfer, Amino Acid-Specific/*biosynthesis', 'RNA, Transfer, Gln/*biosynthesis', 'RNA, Viral/biosynthesis', 'RNA-Directed DNA Polymerase/biosynthesis', 'Sesquiterpenes/*pharmacology', '*Suppression, Genetic']",1988/08/01 00:00,1988/08/01 00:01,['1988/08/01 00:00'],"['1988/08/01 00:00 [pubmed]', '1988/08/01 00:01 [medline]', '1988/08/01 00:00 [entrez]']",['10.1016/0042-6822(88)90596-x [doi]'],ppublish,Virology. 1988 Aug;165(2):518-26. doi: 10.1016/0042-6822(88)90596-x.,,,,,,,,,
2457265,NLM,MEDLINE,19880914,20190713,0041-1337 (Print) 0041-1337 (Linking),46,2,1988 Aug,Immunotoxins for ex vivo marrow purging in autologous bone marrow transplantation for acute nonlymphocytic leukemia.,240-5,"Two potent antimyeloid immunotoxins (IT) were generated by conjugating AML-2-23 (anti-CD14) and MCS-2 (anti-CD13) monoclonal antibodies (mAb) to the ribosome-inactivating phytotoxin, ricin. Both IT selectively bound to target cells, inhibited protein synthesis, and prevented the clonogenic growth of fresh marrow blasts from acute nonlymphocytic leukemia patients as well as KG-1 (ANLL) cells. Cryopreservation did not inhibit IT activity. We conclude that AML-2-23-ricin and MCS-2-ricin show potential for effective ex vivo marrow purging in autologous bone marrow transplantation (ABMT) for ANLL. To our knowledge, this study represents the first evidence of the clinical potential of IT in high-risk ANLL.","['Myers, D E', 'Uckun, F M', 'Ball, E D', 'Vallera, D A']","['Myers DE', 'Uckun FM', 'Ball ED', 'Vallera DA']","['Department of Therapeutic Radiology, University of Minnesota, Minneapolis 55455.']",['eng'],"['R01 CA-31618/CA/NCI NIH HHS/United States', 'R01 CA-31888/CA/NCI NIH HHS/United States', 'R01 CA-36725/CA/NCI NIH HHS/United States', 'etc.']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Transplantation,Transplantation,0132144,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation)', '0 (Lipopolysaccharide Receptors)', '9009-86-3 (Ricin)', 'EC 3.4.11.2 (CD13 Antigens)']",IM,"['Acute Disease', 'Antibodies, Monoclonal/*therapeutic use', 'Antigens, Differentiation/*immunology', '*Bone Marrow Transplantation', 'CD13 Antigens', 'Flow Cytometry', 'Freezing', 'Humans', 'Leukemia/*therapy', 'Lipopolysaccharide Receptors', 'Protein Biosynthesis', 'Ricin', 'Tissue Preservation']",1988/08/01 00:00,1988/08/01 00:01,['1988/08/01 00:00'],"['1988/08/01 00:00 [pubmed]', '1988/08/01 00:01 [medline]', '1988/08/01 00:00 [entrez]']",['10.1097/00007890-198808000-00011 [doi]'],ppublish,Transplantation. 1988 Aug;46(2):240-5. doi: 10.1097/00007890-198808000-00011.,,,,,,,,,
2457137,NLM,MEDLINE,19880916,20190824,0145-2126 (Print) 0145-2126 (Linking),12,6,1988,Granulocyte colony-stimulating factor (G-CSF) induces synthesis of alkaline phosphatase in neutrophilic granulocytes of chronic myelogenous leukemia patients.,491-8,"The monocyte, monocyte conditioned media (MoCM), giant cell tumor conditioned media (GCT) and a purified colony-stimulating factor (G-CSF) promote granulocyte-macrophage progenitors (CFU-GM) growth and differentiation along the neutrophil lineage and also induce alkaline phosphatase (NAP) synthesis in the neutrophilic cells of normal subjects and of patients with chronic phase chronic myelogenous leukemia (CML). However, it is not known if granulocyte-macrophage-CSF (GM-CSF), macrophage-CSF (CSF-1) or other cytokines can induce NAP synthesis from the neutrophilic cells of CML patients. The objective of this study were (a) to ascertain which of the three CFU-GM CSFs would induce NAP synthesis, and (b) to test if any of the other cytokines--interleukin-1 (IL-1), interleukin-2 (IL-2), alpha- and gamma-interferons (alpha-INF and r-INF), and phytohemagglutinin-stimulated T-cell conditioned media (TCM) would induce NAP synthesis. Light density cells obtained from the blood of patients with chronic phase CML were depleted of T cells and monocytes. These cells were cultured with various amounts of G-CSF, GM-CSF, CSF-1, IL-1, IL-2, alpha-INF, r-INF, MoCM, GCT and TCM in a suspension culture system over 6-7 days. Evaluation of the cultures indicated that G-CSF, MoCM and GCT, but not the other factors or cytokines, consistently induced NAP synthesis in a dose-dependent manner. Actinomycin-D and puromycin in separate cultures inhibited NAP synthesis without any significant reduction in cell counts. This indicated that NAP is not prepackaged in neutrophilic cells, and its synthesis occurs by a sequential transcription at the DNA level and translation at the ribosomal level. Our results suggest that the molecule which is responsible for promotion of CFU-GM growth and differentiation along the neutrophilic cell lineage is also responsible for derepression of NAP gene and initiation of NAP synthesis.","['Chikkappa, G', 'Wang, G J', 'Santella, D', 'Pasquale, D']","['Chikkappa G', 'Wang GJ', 'Santella D', 'Pasquale D']","['Medical and Research Service, Veterans Administration Medical Center, Albany, New York 12208.']",['eng'],,['Journal Article'],England,Leuk Res,Leukemia research,7706787,"['0 (Colony-Stimulating Factors)', '0 (Culture Media)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '1CC1JFE158 (Dactinomycin)', 'EC 3.1.3.1 (Alkaline Phosphatase)']",IM,"['Alkaline Phosphatase/antagonists & inhibitors/*biosynthesis', 'Cells, Cultured', 'Colony-Forming Units Assay', 'Colony-Stimulating Factors/*physiology', 'Culture Media', 'Dactinomycin/pharmacology', 'Enzyme Induction', 'Granulocyte Colony-Stimulating Factor', 'Humans', 'Leukemia, Myeloid/*enzymology/pathology', 'Monocytes/physiology', 'Neutrophils/*enzymology/pathology', 'Tumor Cells, Cultured']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",['10.1016/0145-2126(88)90116-6 [doi]'],ppublish,Leuk Res. 1988;12(6):491-8. doi: 10.1016/0145-2126(88)90116-6.,,,,,,,,,
2457136,NLM,MEDLINE,19880916,20190824,0145-2126 (Print) 0145-2126 (Linking),12,6,1988,Establishment and characterization of a transplantable erythroblastic leukemia in C3H mice.,471-8,"A disease with the characteristics of an erythroblastic leukemia was induced by X-ray irradiation of 300 Rads in C3H mice. The leukemia is transplantable in syngeneic mice by i.v. injection of the spleen cells. The mice show almost pure erythroid cells of various differentiation stages in peripheral blood. The number of total nucleated cells in the peripheral blood increased, but hematocrit and platelet number decreased. Reverse transcriptase activities were measured in spleen and liver of the mice and the data suggested that the leukemia was not induced by retrovirus infection. This leukemia is distinguishable, in this respect, from diseases reported by Friend or Rauscher. The leukemia will offer a good animal model for the studies on non-viral leukemogenesis and disorders of erythropoiesis.","['Itoh, K', 'Ono, K', 'Sawada, H', 'Tezuka, H', 'Sakoda, H', 'Nakane, H', 'Uchiyama, T', 'Uchino, H', 'Mori, K J']","['Itoh K', 'Ono K', 'Sawada H', 'Tezuka H', 'Sakoda H', 'Nakane H', 'Uchiyama T', 'Uchino H', 'Mori KJ']","['Department of Biology, Faculty of Science, Niigata University, Japan.']",['eng'],,['Journal Article'],England,Leuk Res,Leukemia research,7706787,['EC 2.7.7.49 (RNA-Directed DNA Polymerase)'],IM,"['Animals', 'Bone Marrow/pathology', 'Colony-Forming Units Assay', 'Disease Models, Animal', 'Erythropoiesis', 'Hematopoietic Stem Cells/pathology', 'Leukemia, Erythroblastic, Acute/enzymology/*pathology', 'Leukemia, Radiation-Induced/enzymology/pathology', 'Mice', 'Mice, Inbred C3H', 'Neoplasm Transplantation', 'RNA-Directed DNA Polymerase/analysis', 'Spleen/pathology', 'Tumor Stem Cell Assay']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",['10.1016/0145-2126(88)90113-0 [doi]'],ppublish,Leuk Res. 1988;12(6):471-8. doi: 10.1016/0145-2126(88)90113-0.,,,,,,,,,
2457030,NLM,MEDLINE,19880920,20210210,0021-9258 (Print) 0021-9258 (Linking),263,24,1988 Aug 25,In vitro differential expression of human globin genes.,12142-6,"K562 human erythroleukemia cells can be induced by hemin and other stimuli to produce hemoglobin and actively express epsilon- and gamma-globin genes but not the adult-like beta-globin gene. The control of globin gene expression is regulated by both cis-acting DNA sequences, such as the 5'-promoter region and 3'- and 5'-enhancers, and trans-acting factors. The activation of 5'-promoter DNA sequences mediated by trans-acting factors can be examined in a cell-free system by in vitro transcription. We report here the differential transcriptional activation of globin genes by nuclear extracts from K562 cells without the need of supplemental HeLa whole cell extracts. Transcription of the epsilon-globin gene which is more active in K562 cells than the gamma-globin gene was greater at low nuclear extract concentrations (protein concentration less than 1.5 mg/ml) than the gamma-globin gene. However, neither beta-globin nor insulin promoters (which are not active in intact K562 cells) were active in the nuclear extract in vitro transcription system. The accurate initiation and specific transcription of globin genes by K562 nuclear extracts suggest that trans-acting factors interacting with the 5'-promoter gene sequence regulate in part the extent and specificity of gene expression and that the activity of these factors can be preserved during their isolation.","['Wada, Y', 'Noguchi, C T']","['Wada Y', 'Noguchi CT']","['Laboratory of Chemical Biology, National Institute of Diabetes and Digestive and Kidney Diseases, Bethesda, Maryland 20892.']",['eng'],,"['Comparative Study', 'Journal Article']",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['63231-63-0 (RNA)', '743LRP9S7N (Hemin)', '9004-22-2 (Globins)', '9007-49-2 (DNA)']",IM,"['Adenoviridae/genetics', 'Cell Nucleus/metabolism', 'Cell-Free System', 'DNA/genetics', 'Enhancer Elements, Genetic', '*Gene Expression Regulation/drug effects', 'Globins/*genetics', 'HeLa Cells', 'Hemin/pharmacology', 'Humans', 'Leukemia, Erythroblastic, Acute/metabolism', 'Promoter Regions, Genetic', 'RNA/genetics', 'Templates, Genetic', 'Transcription, Genetic', 'Tumor Cells, Cultured']",1988/08/25 00:00,1988/08/25 00:01,['1988/08/25 00:00'],"['1988/08/25 00:00 [pubmed]', '1988/08/25 00:01 [medline]', '1988/08/25 00:00 [entrez]']",['S0021-9258(18)37904-3 [pii]'],ppublish,J Biol Chem. 1988 Aug 25;263(24):12142-6.,,,,,,,,,
2456994,NLM,MEDLINE,19880914,20190708,0020-7136 (Print) 0020-7136 (Linking),42,2,1988 Aug 15,Monoclonal antibodies produced by immunization with neoglycoproteins containing Gal alpha 1-4Gal beta 1-4Glc beta-O and Gal alpha 1-4Gal beta 1-4GlcNAc beta-O residues: useful immunochemical and cytochemical reagents for blood group P antigens and a differentiation marker in Burkitt lymphoma and other B-cell malignancies.,185-94,"Several monoclonal antibodies (MAbs) directed to blood group P1 (Gal alpha 1-4Gal beta 1-4GlcNAc beta-O) and Pk (Gal alpha 1-4Gal beta 1-4Glc beta-O) determinants were produced with high efficiency by using synthetic neoglycoproteins as immunogens. The specificity of IgM and IgG1 MAbs was characterized by binding to defined oligosaccharides and glycoconjugates. Antibodies that bound equally well to P1 and Pk determinants and to Gal alpha 1-4Gal beta 1-O-derivatives were obtained, together with others that showed selective recognition of the entire trisaccharide chain. Selected antibodies were shown to be useful as reagents for detection of the blood group P antigens in glycolipid extracts of erythrocytes and on the surface of erythrocytes of different P phenotypes, demonstrated both by radioimmune assays and hemagglutination. Six IgM MAbs directed to the Pk determinant bound selectively to Burkitt lymphoma cells and 2 of these antibodies (424/3D9 and 424/6A2) could be used as auxiliary reagents in immunofluorescence for diagnosis and classification of B-cell lymphomas and leukemias using flow cytometric analysis. Eight normal individuals and 37 patients with lymphoma or leukemia were studied. Tumor cells of 2/2 patients with ""Burkitt-like"" lymphoma, 1 patient with centroblastic lymphoma and 2 patients with acute leukemia were strongly stained for the Pk antigen. The staining patterns for differentiation markers classified the tumor cells to a developmental stage closely related to the Burkitt cell type.","['Brodin, N T', 'Dahmen, J', 'Nilsson, B', 'Messeter, L', 'Martensson, S', 'Heldrup, J', 'Sjogren, H O', 'Lundblad, A']","['Brodin NT', 'Dahmen J', 'Nilsson B', 'Messeter L', 'Martensson S', 'Heldrup J', 'Sjogren HO', 'Lundblad A']","['Department of Tumor Immunology, University of Lund, Sweden.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,"['0 (Antibodies, Monoclonal)', '0 (Blood Group Antigens)', '0 (Epitopes)', '0 (Globosides)', '0 (Glycoproteins)', '0 (P Blood-Group System)']",IM,"['Animals', '*Antibodies, Monoclonal', '*Blood Group Antigens', 'Burkitt Lymphoma/*immunology', 'Epitopes/analysis', 'Flow Cytometry', 'Fluorescent Antibody Technique', 'Globosides/analysis', 'Glycoproteins/*immunology', 'Humans', 'Mice', 'Mice, Inbred BALB C', '*P Blood-Group System']",1988/08/15 00:00,1988/08/15 00:01,['1988/08/15 00:00'],"['1988/08/15 00:00 [pubmed]', '1988/08/15 00:01 [medline]', '1988/08/15 00:00 [entrez]']",['10.1002/ijc.2910420208 [doi]'],ppublish,Int J Cancer. 1988 Aug 15;42(2):185-94. doi: 10.1002/ijc.2910420208.,,,,,,,,,
2456992,NLM,MEDLINE,19880912,20190816,0020-5915 (Print) 0020-5915 (Linking),86,3,1988,Propagation and characterization of human blood basophils.,267-80,"Basophils were isolated and propagated in large numbers from the blood of patients with chronic myelogenous leukemia. Propagation over 4-6 weeks of culture was dependent upon a growth factor(s) other than interleukin-2 obtained from a lectin-stimulated clone of the Jurkat cell line. Evidence that these basophils were dividing during culture included an increase in both the number of basophils and the histamine content of the cultures over time, as well as ultrastructural studies that demonstrated basophil cell division. The cells also had the capacity to be stimulated in an IgE-dependent manner characteristic of basophils. Cultured basophils passively sensitized with IgE underwent noncytotoxic degranulation after stimulation with specific antigen. Antigen-stimulated basophils released histamine, leukotrienes B4 and C4 and other 5-lipoxygenase products of arachidonic acid metabolism. Culture models such as this may permit the propagation and purification of sufficient numbers of basophils to allow biochemical and immunological analyses of basophil physiology.","['Sorensen, L S', 'Mullarkey, M F', 'Bean, M A', 'Mochizuki, D Y', 'Chi, E Y', 'Henderson, W R']","['Sorensen LS', 'Mullarkey MF', 'Bean MA', 'Mochizuki DY', 'Chi EY', 'Henderson WR']","['Virginia Mason Research Center, University of Washington School of Medicine, Seattle.']",['eng'],"['AI 00487/AI/NIAID NIH HHS/United States', 'AI 17758/AI/NIAID NIH HHS/United States', 'CA 19165/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Switzerland,Int Arch Allergy Appl Immunol,International archives of allergy and applied immunology,0404561,"['0 (Arachidonic Acids)', '0 (Epitopes)', '0 (Lectins)', '0 (SRS-A)', '1HGW4DR56D (Leukotriene B4)', '27YG812J1I (Arachidonic Acid)', '37341-29-0 (Immunoglobulin E)', 'EC 1.13.11.12 (Lipoxygenase)']",IM,"['Arachidonic Acid', 'Arachidonic Acids/metabolism', 'Basophils/*cytology/enzymology/ultrastructure', 'Epitopes', 'Humans', 'Immunoglobulin E/immunology', 'Lectins/pharmacology', 'Leukemia, Myeloid/blood', 'Leukotriene B4/metabolism', 'Lipoxygenase/metabolism', 'SRS-A/metabolism', 'Tumor Cells, Cultured']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",['10.1159/000234584 [doi]'],ppublish,Int Arch Allergy Appl Immunol. 1988;86(3):267-80. doi: 10.1159/000234584.,,,,,,,,,
2456946,NLM,MEDLINE,19880915,20190908,0902-4441 (Print) 0902-4441 (Linking),41,1,1988 Jul,Myelodysplastic syndromes: analysis of morphological features related to the FAB-classification.,58-61,"In a retrospective study of 96 patients with a myelodysplastic syndrome, the reproducibility of the French-American-British (FAB) classification was determined. Morphological abnormalities in peripheral blood and bone marrow were studied. Slides were reviewed by 3 examiners. All 3 observers agreed on morphological classification in 61% of cases, pairs of 2 in 64, 76 and 76%. The final diagnosis was refractory anaemia (RA) in 7 patients, acquired sideroblastic anaemia (AISA) in 2, chronic myelomonocytic leukaemia (CMML) in 31, refractory anaemia with excess of blasts (RAEB) in 34 and RAEB in transformation (RAEB-t) in 22. Dyserythropoiesis, dysgranulopoiesis and dysmegakaryopoiesis were found in all FAB subgroups. Dyserythropoiesis was significantly more frequently encountered in RAEB than in RAEB-t and CMML.","['van der Weide, M', 'Sizoo, W', 'Krefft, J', 'Langenhuijsen, M M']","['van der Weide M', 'Sizoo W', 'Krefft J', 'Langenhuijsen MM']","['Department of Haematology, Free University, Amsterdam, The Netherlands.']",['eng'],,['Journal Article'],England,Eur J Haematol,European journal of haematology,8703985,,IM,"['Adolescent', 'Adult', 'Blood Cells/pathology', 'Bone Marrow/pathology', 'Granulocytes/pathology', 'Humans', 'Myelodysplastic Syndromes/blood/*classification', 'Retrospective Studies', 'Staining and Labeling']",1988/07/01 00:00,1988/07/01 00:01,['1988/07/01 00:00'],"['1988/07/01 00:00 [pubmed]', '1988/07/01 00:01 [medline]', '1988/07/01 00:00 [entrez]']",['10.1111/j.1600-0609.1988.tb00869.x [doi]'],ppublish,Eur J Haematol. 1988 Jul;41(1):58-61. doi: 10.1111/j.1600-0609.1988.tb00869.x.,,,,,,,,,
2456938,NLM,MEDLINE,19880909,20171116,0014-2980 (Print) 0014-2980 (Linking),18,7,1988 Jul,"Co-expression of Mac-1 and p150,95 on CD5+ B cells. Structural and functional characterization in a human chronic lymphocytic leukemia.",1131-4,"The leukocyte adhesion receptors (LAR) Mac-1 and p150,95 were thought to occur only on myeloid cells, but recently, mouse Ly-1+ (CD5+) B and pro-B cells were shown to bind M1/70 monoclonal antibody, an anti-Mac-1 antibody. Using immunoprecipitation, sodium dodecyl sulfate gel electrophoresis, immunofluorescence and flow cytometry, we have studied the expression of LAR in human CD5+ B cells from chronic lymphocytic leukemia (B-CLL) patients. 170,95 kDa Mac-1 and p150,95, as well as 180,95 kDa LFA-1 heterodimers are shown to be co-expressed on CD5+ mu + kappa + B cells from a patient where they retain their known function in homotypic cell-cell adhesion. Therefore, functional Mac-1 and p150,95 LAR are not restricted to myeloid cells.","['De la Hera, A', 'Alvarez-Mon, M', 'Sanchez-Madrid, F', 'Martinez, C', 'Durantez, A']","['De la Hera A', 'Alvarez-Mon M', 'Sanchez-Madrid F', 'Martinez C', 'Durantez A']","['Basel Institute for Immunology, Switzerland.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Eur J Immunol,European journal of immunology,1273201,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation)', '0 (CD5 Antigens)', '0 (Integrin alphaXbeta2)', '0 (Macrophage-1 Antigen)']",IM,"['Antibodies, Monoclonal/immunology', 'Antigens, Differentiation/*physiology', 'CD5 Antigens', 'Flow Cytometry', 'Gene Expression Regulation', 'Humans', 'Integrin alphaXbeta2', 'Leukemia, Lymphoid/*immunology', 'Leukocytes, Mononuclear/*immunology', 'Macrophage-1 Antigen', 'Tumor Cells, Cultured']",1988/07/01 00:00,1988/07/01 00:01,['1988/07/01 00:00'],"['1988/07/01 00:00 [pubmed]', '1988/07/01 00:01 [medline]', '1988/07/01 00:00 [entrez]']",['10.1002/eji.1830180725 [doi]'],ppublish,Eur J Immunol. 1988 Jul;18(7):1131-4. doi: 10.1002/eji.1830180725.,,,,,,,,,
