PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,AB,TT,PMC,OID,GN,OAB,OABL,OTO,OT,SI
7105189,NLM,MEDLINE,19821029,20190913,0309-1651 (Print) 0309-1651 (Linking),6,6,1982 Jun,Monoclonal antibody (IgM) specific to mouse lymphoma cells (L 1210): isolation and therapeutic properties.,557-65,"['Roche, A C', 'Monsigny, M']","['Roche AC', 'Monsigny M']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Cell Biol Int Rep,Cell biology international reports,7708050,"['0 (Antibodies, Monoclonal)', '0 (Immunoglobulin M)']",IM,"['Animals', '*Antibodies, Monoclonal/isolation & purification', 'Cell Survival', 'Hybridomas/immunology', 'Immunoglobulin M/*immunology', 'Immunotherapy', 'Leukemia L1210/*immunology/therapy', 'Lymphocytes/immunology', 'Mice', 'Mice, Inbred BALB C']",1982/06/01 00:00,1982/06/01 00:01,['1982/06/01 00:00'],"['1982/06/01 00:00 [pubmed]', '1982/06/01 00:01 [medline]', '1982/06/01 00:00 [entrez]']",['10.1016/0309-1651(82)90179-5 [doi]'],ppublish,Cell Biol Int Rep. 1982 Jun;6(6):557-65. doi: 10.1016/0309-1651(82)90179-5.,,,,,,,,,,,
7105065,NLM,MEDLINE,19821029,20190813,0008-6215 (Print) 0008-6215 (Linking),103,1,1982 May 1,"Alternative syntheses of 2,6-dideoxy-L-lyxo-hexose (2-deoxy-L-fucose) and its biochemical properties.",170-5,"['Korytnyk, W', 'Sufrin, J R', 'Bernacki, R J']","['Korytnyk W', 'Sufrin JR', 'Bernacki RJ']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Carbohydr Res,Carbohydrate research,0043535,"['0 (Indicators and Reagents)', '19165-06-1 (2-deoxy-L-fucose)', '28RYY2IV3F (Fucose)']",IM,"['Animals', 'Cell Division/drug effects', 'Fucose/*analogs & derivatives/chemical synthesis/pharmacology/therapeutic use', 'Indicators and Reagents', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/drug therapy', 'Magnetic Resonance Spectroscopy', 'Methods', 'Mice']",1982/05/01 00:00,1982/05/01 00:01,['1982/05/01 00:00'],"['1982/05/01 00:00 [pubmed]', '1982/05/01 00:01 [medline]', '1982/05/01 00:00 [entrez]']","['S0008-6215(82)80020-7 [pii]', '10.1016/s0008-6215(82)80020-7 [doi]']",ppublish,Carbohydr Res. 1982 May 1;103(1):170-5. doi: 10.1016/s0008-6215(82)80020-7.,"['CA-08793/CA/NCI NIH HHS/United States', 'CA-13038/CA/NCI NIH HHS/United States', 'CA-19814/CA/NCI NIH HHS/United States']",,,,,,,,,,
7105058,NLM,MEDLINE,19821012,20131121,0361-5960 (Print) 0361-5960 (Linking),66,8,1982 Aug,Phase II trial of spirogermanium in breast adenocarcinoma: a Cancer and Leukemia Group B Study.,1667-8,"['Budman, D R', 'Ginsberg, S', 'Perry, M', 'Weinberg, V', 'Schein, P', 'Hanson, J', 'Coleman, M', 'Wood, W']","['Budman DR', 'Ginsberg S', 'Perry M', 'Weinberg V', 'Schein P', 'Hanson J', 'Coleman M', 'Wood W']",['eng'],['Journal Article'],United States,Cancer Treat Rep,Cancer treatment reports,7607107,"['0 (Antineoplastic Agents)', '0 (Organometallic Compounds)', '0 (Spiro Compounds)', '00072J7XWS (Germanium)', '1F01P3Y61E (spirogermanium)']",IM,"['Adenocarcinoma/*drug therapy', 'Adult', 'Aged', 'Antineoplastic Agents/adverse effects/*therapeutic use', 'Breast Neoplasms/*drug therapy', 'Drug Evaluation', 'Female', 'Germanium/adverse effects/*therapeutic use', 'Humans', 'Middle Aged', '*Organometallic Compounds', 'Spiro Compounds/adverse effects/*therapeutic use']",1982/08/01 00:00,1982/08/01 00:01,['1982/08/01 00:00'],"['1982/08/01 00:00 [pubmed]', '1982/08/01 00:01 [medline]', '1982/08/01 00:00 [entrez]']",,ppublish,Cancer Treat Rep. 1982 Aug;66(8):1667-8.,,,,,,,,,,,
7105038,NLM,MEDLINE,19821012,20131121,0008-5472 (Print) 0008-5472 (Linking),42,9,1982 Sep,"Unique cell surface glycoprotein expression in hairy cell leukemia: effect of phorbol ester tumor promoters on surface glycoproteins, cell morphology, and adherence.",3724-8,"['Lockney, M W', 'Golomb, H M', 'Dawson, G']","['Lockney MW', 'Golomb HM', 'Dawson G']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Glycoproteins)', '0 (Membrane Proteins)', '0 (Neoplasm Proteins)', '0 (Phorbol Esters)', '0 (Phorbols)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Adult', 'Aged', 'Cell Adhesion/drug effects', 'Cells, Cultured', 'Female', 'Glycoproteins/*analysis', 'Humans', 'Leukemia/analysis', 'Leukemia, Hairy Cell/*analysis/pathology', 'Male', 'Membrane Proteins/*analysis', 'Middle Aged', 'Neoplasm Proteins/*analysis', 'Phorbol Esters/*pharmacology', 'Phorbols/*pharmacology', 'Primary Myelofibrosis/metabolism', 'Tetradecanoylphorbol Acetate/pharmacology']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Sep;42(9):3724-8.,"['CA-19266-04/CA/NCI NIH HHS/United States', 'HD-04583/HD/NICHD NIH HHS/United States', 'HD-06426/HD/NICHD NIH HHS/United States']","Hairy cell leukemia cells from eight different patients exhibited a characteristic cell surface glycoprotein pattern when labeled by the neuraminidase-galactose oxidase-NaB3H4 procedure. The diffuse high-molecular-weight glycoprotein band (Mr 230,000 to 300,000) was not seen in other leukemic cell types and may represent a specific hairy cell leukemia antigen. Hairy cell leukemia cells can be maintained as cell suspension cultures, but treatment with a variety of tumor-promoting phorbol esters caused the cells to adhere to plates, assume a fibroblastic elongated shape, and extend long processes. This dramatic morphological change was not associated with any change in surface glycoproteins.",,,,,,,,,
7105031,NLM,MEDLINE,19821012,20131121,0008-5472 (Print) 0008-5472 (Linking),42,9,1982 Sep,Digitized video fluorescence microscopy studies of adriamycin interaction with single P388 leukemic cells.,3583-6,"['Yanovich, S', 'Taub, R N']","['Yanovich S', 'Taub RN']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,['80168379AG (Doxorubicin)'],IM,"['Adsorption', 'Animals', 'Biological Transport', 'Cell Line', 'Doxorubicin/*metabolism', 'Drug Resistance', 'Kinetics', 'Leukemia, Experimental/*metabolism', 'Mice', 'Microcomputers', 'Microscopy, Fluorescence', 'Videotape Recording']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Sep;42(9):3583-6.,['CA 31762-01/CA/NCI NIH HHS/United States'],"We have evaluated a new fluorescent method, the digitized video fluorescence microscopy technique, for the analysis of Adriamycin drug levels in single-cell suspension. This method uses a Leitz microscope equipped with an HBO 50 watt mercury source; the vertical body of the microscope is attached to an intensified silicone intensifier video camera with its output coupled to a video cassette recorder and to an Apple II microcomputer equipped with a video image digitizer. Using this technique, we were able to corroborate previous findings of decreased uptake and increased efflux in resistant as compared to sensitive P388 leukemic cells. This instrument may have wide applications in the study of anthracycline cell interaction or of any other drug with fluorescent properties.",,,,,,,,,
7105027,NLM,MEDLINE,19821012,20131121,0008-5472 (Print) 0008-5472 (Linking),42,9,1982 Sep,Cysteamine S-phosphate hydrolysis by pure human alkaline phosphatases and by sera from patients with lymphoproliferative disorders.,3507-9,"['Gainer, A L', 'Stinson, R A']","['Gainer AL', 'Stinson RA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Nitrophenols)', '0 (Organophosphorus Compounds)', '330-13-2 (nitrophenylphosphate)', '5746-40-7 (cysteamine-S-phosphate)', '5UX2SD1KE2 (Cysteamine)', 'EC 3.1.3.1 (Alkaline Phosphatase)']",IM,"['Alkaline Phosphatase/*metabolism', 'Cysteamine/*analogs & derivatives/metabolism', 'Hodgkin Disease/enzymology', 'Humans', 'Infectious Mononucleosis/enzymology', 'Intestines/enzymology', 'Kinetics', 'Leukemia/enzymology', 'Lymphoma/enzymology', 'Lymphoproliferative Disorders/*enzymology', 'Multiple Myeloma/enzymology', 'Nitrophenols/metabolism', 'Organophosphorus Compounds/metabolism', 'Placenta/enzymology']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Sep;42(9):3507-9.,,,,,,,,,,,
7105020,NLM,MEDLINE,19821029,20131121,0008-5472 (Print) 0008-5472 (Linking),42,10,1982 Oct,"Correspondence re: J. H. Pincus, A. K. Jameson, and A. E. Brandt. Immunotherapy of L1210 leukemia using neuraminidase-modified plasma membranes combined with chemotherapy. Cancer Res., 41: 3082-3086, 1981.",4263-4,"['Brandt, A E']",['Brandt AE'],['eng'],['Letter'],United States,Cancer Res,Cancer research,2984705R,"['13909-09-6 (Semustine)', 'EC 3.2.1.18 (Neuraminidase)', 'U68WG3173Y (Carmustine)']",IM,"['Animals', 'Carmustine/therapeutic use', 'Cell Membrane/immunology', '*Immunotherapy', 'Leukemia L1210/*therapy', 'Mice', 'Neuraminidase', 'Semustine/therapeutic use']",1982/10/01 00:00,1982/10/01 00:01,['1982/10/01 00:00'],"['1982/10/01 00:00 [pubmed]', '1982/10/01 00:01 [medline]', '1982/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Oct;42(10):4263-4.,,,,,,,,,,,
7105005,NLM,MEDLINE,19821029,20131121,0008-5472 (Print) 0008-5472 (Linking),42,10,1982 Oct,Biological properties of N4-spermidine derivatives and their potential in anticancer chemotherapy.,4072-8,"['Porter, C W', 'Bergeron, R J', 'Stolowich, N J']","['Porter CW', 'Bergeron RJ', 'Stolowich NJ']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Antineoplastic Agents)', 'U87FK77H25 (Spermidine)']",IM,"['Animals', '*Antineoplastic Agents', 'Drug Evaluation, Preclinical', 'Glycolysis/drug effects', 'Leukemia L1210/*drug therapy/metabolism', 'Mice', 'Oxygen Consumption/drug effects', 'Spermidine/*antagonists & inhibitors/pharmacology/therapeutic use', 'Structure-Activity Relationship']",1982/10/01 00:00,1982/10/01 00:01,['1982/10/01 00:00'],"['1982/10/01 00:00 [pubmed]', '1982/10/01 00:01 [medline]', '1982/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Oct;42(10):4072-8.,"['CA-22153/CA/NCI NIH HHS/United States', 'CA-24538/CA/NCI NIH HHS/United States', 'CA-33321/CA/NCI NIH HHS/United States']",,,,,,,,,,
7105004,NLM,MEDLINE,19821029,20071114,0008-5472 (Print) 0008-5472 (Linking),42,10,1982 Oct,Immunological and pharmacological characterization of poly-DL-alanyl-modified Erwinia carotovora L-asparaginase.,4068-71,"['Uren, J R', 'Hargis, B J', 'Beardsley, P']","['Uren JR', 'Hargis BJ', 'Beardsley P']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Allergens)', '0 (Antigen-Antibody Complex)', '0 (Immunoglobulin G)', '0 (Peptides)', '25191-17-7 (polyalanine)', '37341-29-0 (Immunoglobulin E)', 'EC 3.5.1.1 (Asparaginase)']",IM,"['Allergens', 'Animals', 'Antigen-Antibody Complex', 'Asparaginase/blood/*immunology/toxicity', 'Erwinia/*enzymology', 'Humans', 'Immunoglobulin E', 'Immunoglobulin G', 'Kinetics', 'Macaca mulatta', 'Mice', 'Peptides/*pharmacology', 'Skin Tests']",1982/10/01 00:00,1982/10/01 00:01,['1982/10/01 00:00'],"['1982/10/01 00:00 [pubmed]', '1982/10/01 00:01 [medline]', '1982/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Oct;42(10):4068-71.,['CA 26358/CA/NCI NIH HHS/United States'],"The covalent attachment of poly-DL-alanine peptides to lysyl residues on the surface of Erwinia carotovora L-asparaginase has produced a modified enzyme which is much less immunogenic in mice and demonstrates 100-fold longer plasma half-life in the rhesus monkey. Immunogenic responses towards both the immunoglobulin G (IgG) and immunoglobulin E (IgE) antibody subclasses were evaluated in C57BL x DBA/2 F1 mice exposed to 250 rads of whole-body irradiation 4 hr prior to immunization with 5-diazo-4-oxynorvaline-inactivated native and modified L-asparaginase in complete Freund's adjuvant. Under these immunologically stressful conditions, the native enzyme evoked an IgE and IgG response which could be further amplified by a secondary immunization, whereas the modified enzyme evoked no IgE or IgG response even after a tertiary immunization. In experiments mimicking an intensive therapeutic schedule, whereby two groups of mice were given weekly injections of 5 to 10 units of either native or modified asparaginase for up to 14 weeks, neither enzyme form evoked a significant IgE response, and only the mice given injections of the native enzyme produced an IgG response. In a preliminary patient study, skin testing of a child who had shown an allergic reaction to the native enzyme resulted in a negative response after an intradermal injection of the modified enzyme, whereas a wheal and flare reaction was observed to both the native enzyme and a histamine control. All of these results suggest that the modified enzyme should show a definite reduction in immunological reactions associated with L-asparaginase treatment of childhood leukemia.",,,,,,,,,
7105000,NLM,MEDLINE,19821029,20131121,0008-5472 (Print) 0008-5472 (Linking),42,10,1982 Oct,3-Deazaguanine: inhibition of initiation of translation in L1210 cells.,4039-44,"['Rivest, R S', 'Irwin, D', 'Mandel, H G']","['Rivest RS', 'Irwin D', 'Mandel HG']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Antimetabolites)', '0 (RNA, Neoplasm)', '5Z93L87A1R (Guanine)', '9DRB973HUI (3-deazaguanine)']",IM,"['Animals', 'Antimetabolites/*pharmacology', 'Guanine/*analogs & derivatives/pharmacology', 'Kinetics', 'Leukemia L1210/genetics/*metabolism', 'Mice', 'Peptide Chain Initiation, Translational/*drug effects', 'Protein Biosynthesis/drug effects', 'RNA, Neoplasm/genetics', 'Transcription, Genetic/drug effects']",1982/10/01 00:00,1982/10/01 00:01,['1982/10/01 00:00'],"['1982/10/01 00:00 [pubmed]', '1982/10/01 00:01 [medline]', '1982/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Oct;42(10):4039-44.,"['5-T-32-CA-09223/CA/NCI NIH HHS/United States', 'CA-02978/CA/NCI NIH HHS/United States', 'CA-27553/CA/NCI NIH HHS/United States', 'etc.']","In L1210 cells in culture, 3-deazaguanine (DG), a relatively new purine analog, was found to inhibit DNA and protein synthesis but not total RNA synthesis. The effect of the drug on protein synthesis was therefore further examined. Polyadenylic acid-containing RNA synthesis was not decreased by DG treatment, suggesting that the inhibiton of protein synthesis was a function of an alteration in the process of translation. DG altered the polyribosome sedimentation profile in a dose-dependent manner, increasing the numbers of monosomes and smaller polysomes and decreasing the number of larger polysomes. The nascent polypeptides in DG-treated cells were labeled with [3H]leucine, and the increased number of monosomes was not associated with a proportionate amount of [3H]leucine when compared to the polysomes. This indicated that the monosomes had not been derived directly from the breakdown of active polysomes. The shift in the polysome profile was reversed by cycloheximide, suggesting that DG profile inhibited the initiation of translation. This was confirmed by the demonstration of the inhibition of DG of the formation of the 43S preinitiation complex. The inhibition of the initiation of protein synthesis by DG may contribute to the antitumor actions of this new purine analog.",,,,,,,,,
7104996,NLM,MEDLINE,19821029,20201214,0008-5472 (Print) 0008-5472 (Linking),42,10,1982 Oct,Biochemical effects of 2'-fluoro-5-methyl-1-beta-D-arabinofuranosyluracil and 2'-fluoro-5-iodo-1-beta-D-arabinofuranosylcytosine in mouse leukemic cells sensitive and resistant to 1-beta-D-arabinofuranosylcytosine.,3957-63,"['Chou, T C', 'Burchenal, J H', 'Schmid, F A', 'Braun, T J', 'Su, T L', 'Watanabe, K A', 'Fox, J J', 'Philips, F S']","['Chou TC', 'Burchenal JH', 'Schmid FA', 'Braun TJ', 'Su TL', 'Watanabe KA', 'Fox JJ', 'Philips FS']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['04079A1RDZ (Cytarabine)', '0W860991D6 (Deoxycytidine)', '3083-77-0 (Arabinofuranosyluracil)', '4058H365ZB (fiacitabine)', 'IN51MVP5F1 (clevudine)', 'VC2W18DGKR (Thymidine)', 'WHI7HQ7H85 (Uridine)']",IM,"['Animals', 'Arabinofuranosyluracil/*analogs & derivatives/pharmacology', 'Cell Survival/drug effects', 'Cytarabine/*analogs & derivatives/pharmacology/*therapeutic use', 'DNA Replication/drug effects', 'Deoxycytidine/metabolism', 'Kinetics', 'Leukemia L1210/*physiopathology', 'Leukemia, Experimental/*drug therapy', 'Mice', 'Thymidine/metabolism', 'Uridine/*analogs & derivatives']",1982/10/01 00:00,1982/10/01 00:01,['1982/10/01 00:00'],"['1982/10/01 00:00 [pubmed]', '1982/10/01 00:01 [medline]', '1982/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Oct;42(10):3957-63.,"['CA 08748/CA/NCI NIH HHS/United States', 'CA 18856/CA/NCI NIH HHS/United States', 'CA 27569/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,,,,
7104990,NLM,MEDLINE,19821029,20071114,0008-5472 (Print) 0008-5472 (Linking),42,10,1982 Oct,Has the well gone dry? The First Cain Memorial Award Lecture.,3911-7,"['Montgomery, J A']",['Montgomery JA'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,['0 (Antineoplastic Agents)'],IM,"['Animals', 'Antineoplastic Agents/chemical synthesis/*therapeutic use', 'Drug Administration Schedule', 'Drug Evaluation, Preclinical', 'Drug Therapy, Combination', 'Humans', 'Leukemia L1210/drug therapy', 'Mice', 'Neoplasms/*drug therapy', 'Structure-Activity Relationship']",1982/10/01 00:00,1982/10/01 00:01,['1982/10/01 00:00'],"['1982/10/01 00:00 [pubmed]', '1982/10/01 00:01 [medline]', '1982/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Oct;42(10):3911-7.,"['N01-43762/PHS HHS/United States', 'N01-43784/PHS HHS/United States', 'N01-CM-43756/CM/NCI NIH HHS/United States']","Contrary to a recent suggestion, new and useful drugs for the treatment of human cancer continue to be developed although clinical trials today are more difficult and the chances for success are diminished. In the past, research at Southern Research Institute led to the development of two new classes of clinically useful anticancer agents, the nitrosoureas and the imidazole triazines. More recently, we have developed an interesting family of cytotoxic compounds, the haloadenine nucleosides, that are resistant to deamination and show biological activity comparable to the corresponding adenine nucleosides given in combination with 2'-deoxycoformycin, a potent inhibitor of adenosine deaminase. Among them, the 2-haloadenine arabinonucleosides and 2'-deoxyribonucleosides appear to have the necessary selectivity for neoplastic cells to be useful anticancer agents.",,,,,,,,,
7104969,NLM,MEDLINE,19821029,20190620,0008-543X (Print) 0008-543X (Linking),50,7,1982 Oct 1,Clinical results and pharmacokinetics of high-dose cytosine arabinoside (HD ARA-C).,1248-57,"['Breithaupt, H', 'Pralle, H', 'Eckhardt, T', 'von Hattingberg, M', 'Schick, J', 'Loffler, H']","['Breithaupt H', 'Pralle H', 'Eckhardt T', 'von Hattingberg M', 'Schick J', 'Loffler H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer,Cancer,0374236,"['04079A1RDZ (Cytarabine)', '3083-77-0 (Arabinofuranosyluracil)']",IM,"['Adult', 'Arabinofuranosyluracil/blood/cerebrospinal fluid', 'Cytarabine/*administration & dosage/adverse effects/metabolism', 'Drug Administration Schedule', 'Female', 'Gastrointestinal Diseases/chemically induced', 'Half-Life', 'Humans', 'Kinetics', 'Leukemia/*drug therapy/metabolism/mortality', 'Male', 'Metabolic Clearance Rate', 'Middle Aged', 'Teratoma/*drug therapy/metabolism/mortality', 'Time Factors']",1982/10/01 00:00,1982/10/01 00:01,['1982/10/01 00:00'],"['1982/10/01 00:00 [pubmed]', '1982/10/01 00:01 [medline]', '1982/10/01 00:00 [entrez]']",['10.1002/1097-0142(19821001)50:7<1248::aid-cncr2820500705>3.0.co;2-5 [doi]'],ppublish,Cancer. 1982 Oct 1;50(7):1248-57. doi: 10.1002/1097-0142(19821001)50:7<1248::aid-cncr2820500705>3.0.co;2-5.,,"Four patients with acute nonlymphoblastic leukemia and one malignant teratoma refractory to conventional chemotherapy were treated with high doses of cytosine arabinoside (HD ARA-C). They received up to 12 cycles of 1.8 to 3 g/m2 every 12 hours applied by 2-hour infusions. A total of 55 HD ARA-C infusions was performed. All leukemic patients responded. A complete clearance of blasts from the bone marrow was observed in two patients following 8-12 cycles of 3 g/m2. However, relapses occurred after three and seven weeks, in one case with resistance to HD ARA-C. The patient with malignant teratoma did not respond. No severe toxicity emerged even after repeated applications. Adverse reactions included moderate nausea and vomiting (4 patients), diarrhea (2 patients), hepatic dysfunction (1 patient), bone pain (1 patient), blurred vision (1 patient), conjunctivitis (1 patient), and exanthema with partial epidermiolysis (1 patient). Granulocytopenia occurring between 3-8 days after having started the therapy, subsided within 4-25 days. Plasma levels of ARA-C and the metabolite uracil arabinoside (ARA-U) were monitored. At steady state plasma concentrations of ARA-C were 32-97 microM (8-24 micrograms/ml). ARA-C disappeared from the plasma mono- or biphasic with a terminal half-life (t50%) of 7.8-12.6 minutes. The total clearance (Cl) of ARA-C varied between 1.7 and 2.9 liters/kg . h, and the distribution volume (Vss) between 0.44 and 0.86 liters/kg. Cerebrospinal fluid (CSF) levels of ARA-C reached 10-15% of steady state concentrations in plasma.",,,,,,,,,
7104953,NLM,MEDLINE,19821029,20190620,0008-543X (Print) 0008-543X (Linking),50,6,1982 Sep 15,Flow cytometry in the diagnosis and classification of malignant lymphoma and leukemia.,1122-35,"['Diamond, L W', 'Nathwani, B N', 'Rappaport, H']","['Diamond LW', 'Nathwani BN', 'Rappaport H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,"['0 (DNA, Neoplasm)']",IM,"['Bone Marrow/pathology', 'DNA, Neoplasm/analysis', 'Diagnosis, Differential', 'Flow Cytometry', 'Hodgkin Disease/classification/diagnosis/pathology', 'Humans', 'Leukemia/classification/*diagnosis/pathology', 'Lymph Nodes/pathology', 'Lymphoma/classification/*diagnosis/pathology', 'Spleen/pathology']",1982/09/15 00:00,1982/09/15 00:01,['1982/09/15 00:00'],"['1982/09/15 00:00 [pubmed]', '1982/09/15 00:01 [medline]', '1982/09/15 00:00 [entrez]']",['10.1002/1097-0142(19820915)50:6<1122::aid-cncr2820500616>3.0.co;2-q [doi]'],ppublish,Cancer. 1982 Sep 15;50(6):1122-35. doi: 10.1002/1097-0142(19820915)50:6<1122::aid-cncr2820500616>3.0.co;2-q.,"['CA 16434/CA/NCI NIH HHS/United States', 'CA 26422/CA/NCI NIH HHS/United States', 'T32 CA 09308/CA/NCI NIH HHS/United States']","DNA content and light scatter were measured by flow cytometry (FCM) in 103 patients including 43 patients with non-Hodgkin's lymphoma (NHL), eight patients with Hodgkin's disease (HD), 17 patients with acute lymphoblastic leukemia (ALL), ten patients with acute nonlymphocytic leukemia (ANLL), and 25 patients with chronic lymphoid leukemias. Controls consisted of 42 nonneoplastic specimens obtained from lymph nodes, spleen, bone marrow, and peripheral blood. Each specimen was analyzed after staining with a hypotonic solution of propidium iodide using nuclei isolated from chicken erythrocytes as an internal standard. The DNA content and light scatter of the human populations was expressed as a ratio between the DNA content (or light scatter) of the human G0--G1 cells and that of the chicken erythrocytes nuclei. The mean DNA ratio for the 42 nonneoplastic samples was 2.58 +/- 0.045 (SD). In these samples the DNA coefficient of variation of the human G0--G1 peak ranged from 1.48--3.28% (mean, 2.33 +/- 0.54%). The FCM data in the NHL was compared to morphologic diagnoses made according to the ""working formulation of NHL for clinical usage"" recently proposed by a panel of international experts. Eight of 17 (47%) low grade NHL, one of two (50%) mycosis fungoides, ten of 14 (71%) intermediate grade NHL, nine of ten (90%) high grade NHL, nine of 17 (53%) ALL, three of ten (30%) ANLL, and seven of 25 (28%) chronic lymphoid leukemias had abnormal DNA ratios indicative of aneuploidy. In addition, several cases had normal DNA ratios but G0--G1 coefficients of variation outside of the normal range. All cases of HD had normal DNA values except one case with a small percentage of near tetraploid cells. The mean percentage of cells with S-phase DNA content for the low grade NHL (2.2 +/- 0.8%) was significantly lower than that of the intermediate grade NHL (12.1 +/- 4.9%; P less than 0.0001). The mean S-phase value for the intermediate grade NHL was significantly lower than that of the high grade NHL (22.6 +/- 11.1%; P less than 0.001). The three prognostic categories of NHL designated by the new formulation were clearly distinguishable by the FCM data. Light scatter was not particularly useful for distinguishing nonneoplastic from neoplastic populations. The mean light scatter coefficient of variation of the ALL (15.2%) was significantly lower than that of ANLL (20.5%), however (P less than 0.04).",,,,,,,,,
7104489,NLM,MEDLINE,19821021,20210216,0006-4971 (Print) 0006-4971 (Linking),60,3,1982 Sep,"Chromosome 3 abnormalities in acute nonlymphocytic leukemia (ANLL) with abnormal thrombopoiesis: report of three patients with a ""new"" inversion anomaly and a further case of homologous translocation.",613-7,"['Bernstein, R', 'Pinto, M R', 'Behr, A', 'Mendelow, B']","['Bernstein R', 'Pinto MR', 'Behr A', 'Mendelow B']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,,IM,"['Acute Disease', 'Adult', 'Aged', 'Blood Platelets/*pathology', 'Bone Marrow/ultrastructure', 'Chromosome Aberrations/*blood/genetics', 'Chromosome Disorders', 'Chromosome Inversion', '*Chromosomes, Human, 1-3', 'Hematopoiesis', 'Humans', 'Leukemia/*blood/genetics', 'Male', 'Middle Aged', 'Platelet Count', 'Translocation, Genetic']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",['S0006-4971(20)79142-1 [pii]'],ppublish,Blood. 1982 Sep;60(3):613-7.,,,,,,,,,,,
