PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,MH,EDAT,MHDA,CRDT,PHST,PST,SO,TT,SB,AID,AB,RF,PMC,AD,GR,OID
220511,NLM,MEDLINE,19790725,20190819,0385-5600 (Print) 0385-5600 (Linking),23,1,1979,Effect of elevated temperature on AKR leukemia virus production in AKR mouse cells.,45-50,"['Tomita, Y', 'Kuwata, T', 'Takayama, N']","['Tomita Y', 'Kuwata T', 'Takayama N']",['eng'],['Journal Article'],Australia,Microbiol Immunol,Microbiology and immunology,7703966,['63231-63-0 (RNA)'],"['Animals', 'Leukemia Virus, Murine/growth & development/ultrastructure', 'Leukemia, Experimental/*microbiology', 'Mice', 'Mice, Inbred AKR', 'RNA/biosynthesis', '*Temperature']",1979/01/01 00:00,1979/01/01 00:01,['1979/01/01 00:00'],"['1979/01/01 00:00 [pubmed]', '1979/01/01 00:01 [medline]', '1979/01/01 00:00 [entrez]']",ppublish,Microbiol Immunol. 1979;23(1):45-50. doi: 10.1111/j.1348-0421.1979.tb00440.x.,,IM,['10.1111/j.1348-0421.1979.tb00440.x [doi]'],,,,,,
220510,NLM,MEDLINE,19790725,20190819,0385-5600 (Print) 0385-5600 (Linking),23,1,1979,Spontaneous production of a C-type RNA virus in a cell line derived from rat glioma.,1-15,"['Igarashi, K', 'Sasada, R', 'Niiyama, Y', 'Kozai, Y', 'Sugino, Y']","['Igarashi K', 'Sasada R', 'Niiyama Y', 'Kozai Y', 'Sugino Y']",['eng'],['Journal Article'],Australia,Microbiol Immunol,Microbiology and immunology,7703966,"['EC 2.7.7.7 (DNA-Directed DNA Polymerase)', 'WHI7HQ7H85 (Uridine)']","['Animals', 'Cell Line', 'Centrifugation, Density Gradient', 'DNA-Directed DNA Polymerase/metabolism', 'Glioma/*microbiology', 'Hybridization, Genetic', 'Molecular Weight', 'RNA Viruses/*growth & development/ultrastructure', 'Rats', 'Retroviridae/*growth & development/ultrastructure', 'Time Factors', 'Uridine/metabolism']",1979/01/01 00:00,1979/01/01 00:01,['1979/01/01 00:00'],"['1979/01/01 00:00 [pubmed]', '1979/01/01 00:01 [medline]', '1979/01/01 00:00 [entrez]']",ppublish,Microbiol Immunol. 1979;23(1):1-15. doi: 10.1111/j.1348-0421.1979.tb00435.x.,,IM,['10.1111/j.1348-0421.1979.tb00435.x [doi]'],The spontaneous production of a rat C-type RNA virus (ACV) in a cultured cell line (AC cells) established from a chemically induced rat glioma was studied. The characteristics of ACV were: morphology typical of C-type RNA virus; buoyant density of 1.15 g/ml in a sucrose density gradient; RNA directed DNA polymerase activity; viral core with a density of 1.28 to 1.30 g/ml; 70S RNA with dimer structure; and structural protein composed of mainly four polypeptides. Kinetical analysis of DNA-DNA hybridization revealed that DNA sequences homologous to DNA transcripts of RNA of ACV were present in rat cells. RNA directed DNA polymerase of ACV partially cross-reacted with antiserum to the polymerase of Rauscher murine leukemia virus. These data suggest that ACV is an endogenous C-type RNA virus of rat origin.,,,,,
220456,NLM,MEDLINE,19790728,20031114,0027-8874 (Print) 0027-8874 (Linking),62,6,1979 Jun,Leukemogenesis by an endogenous virus isolated from the CFW mouse. II. Early effects of virus on thymus gland and bone marrow cell populations.,1517-22,"['Ball, J K']",['Ball JK'],['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['57-97-6 (9,10-Dimethyl-1,2-benzanthracene)']","['9,10-Dimethyl-1,2-benzanthracene', 'Animals', 'Bone Marrow/*microbiology', 'Cell Transformation, Neoplastic', 'Cells, Cultured', 'Female', 'Leukemia Virus, Murine', 'Leukemia, Experimental/*etiology', 'Lymphoma/*etiology', 'Male', 'Mice', 'Mice, Inbred Strains', 'Neoplasm Transplantation', 'T-Lymphocytes', 'Thymus Gland/transplantation', 'Thymus Neoplasms/*etiology', 'Transplantation, Isogeneic', 'Tumor Virus Infections/etiology']",1979/06/01 00:00,1979/06/01 00:01,['1979/06/01 00:00'],"['1979/06/01 00:00 [pubmed]', '1979/06/01 00:01 [medline]', '1979/06/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1979 Jun;62(6):1517-22.,,IM,,,,,,,
220454,NLM,MEDLINE,19790728,20101118,0027-8874 (Print) 0027-8874 (Linking),62,6,1979 Jun,Age dependence and genetics of expression of ecotropic murine leukemia virus in SJL/J mice.,1451-7,"['Colombatti, A', 'De Rossi, A', 'Hilkens, J', 'Collavo, D', 'Chieco-Bianchi, L']","['Colombatti A', 'De Rossi A', 'Hilkens J', 'Collavo D', 'Chieco-Bianchi L']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,,"['Age Factors', 'Animals', 'Female', 'Genes, Viral', 'Genetic Linkage', 'Immunity', 'Leukemia Virus, Murine/genetics/isolation & purification', 'Lymphoma/*etiology', 'Male', 'Mice', 'Mice, Inbred Strains', 'Neoplasms, Experimental/etiology', 'Species Specificity', 'Tumor Virus Infections/*etiology']",1979/06/01 00:00,1979/06/01 00:01,['1979/06/01 00:00'],"['1979/06/01 00:00 [pubmed]', '1979/06/01 00:01 [medline]', '1979/06/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1979 Jun;62(6):1451-7.,,IM,,,,,,,
220451,NLM,MEDLINE,19790728,20061115,0027-8874 (Print) 0027-8874 (Linking),62,5,1979 May,In the middle: 1954---63--historical note.,1295-317,"['Shimkin, M B']",['Shimkin MB'],['eng'],"['Historical Article', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Aflatoxins)', '0 (Antineoplastic Agents)']","['Aflatoxins/toxicity', 'American Cancer Society/history', 'Antineoplastic Agents/history/therapeutic use', 'History, 20th Century', 'Humans', 'Leukemia/etiology/history', 'Mammography', 'National Institutes of Health (U.S.)/*history', 'Neoplasms/*history/prevention & control', 'Schistosomiasis/complications', 'Simian virus 40', 'Smoking/complications', 'United States', 'Urinary Bladder Neoplasms/etiology']",1979/05/01 00:00,1979/05/01 00:01,['1979/05/01 00:00'],"['1979/05/01 00:00 [pubmed]', '1979/05/01 00:01 [medline]', '1979/05/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1979 May;62(5):1295-317.,,IM,,,,,,,
220336,NLM,MEDLINE,19790716,20190509,0022-1899 (Print) 0022-1899 (Linking),139,4,1979 Apr,Complement-enhanced neutralizing antibody response to varicella-zoster virus.,432-7,"['Grose, C', 'Edmond, B J', 'Brunell, P A']","['Grose C', 'Edmond BJ', 'Brunell PA']",['eng'],"['Comparative Study', 'Journal Article']",United States,J Infect Dis,The Journal of infectious diseases,0413675,"['0 (Antibodies, Viral)', '9007-36-7 (Complement System Proteins)']","['Adult', 'Antibodies, Viral/*analysis', 'Cell-Free System', 'Chickenpox/immunology', 'Child', 'Complement Fixation Tests', 'Complement System Proteins/*immunology', 'Cytopathogenic Effect, Viral', 'Fluorescent Antibody Technique', 'Herpesvirus 3, Human/*immunology', 'Humans', 'Immunity', 'Leukemia/immunology', 'Neutralization Tests/*methods']",1979/04/01 00:00,1979/04/01 00:01,['1979/04/01 00:00'],"['1979/04/01 00:00 [pubmed]', '1979/04/01 00:01 [medline]', '1979/04/01 00:00 [entrez]']",ppublish,J Infect Dis. 1979 Apr;139(4):432-7. doi: 10.1093/infdis/139.4.432.,,IM,['10.1093/infdis/139.4.432 [doi]'],"Humoral immunity following infection with varicella-zoster virus (VZV) was evaluated by a complement-enhanced neutralization test. The specificity of the test was examined and its sensitivity compared with that of the assay which measures antibody to VZV-induced membrane antigen (FAMA). Generally, the titer of neurtalizing antibody was two- to fourfold higher than the FAMA titer. The absence of neutralizing activity at a serum dilution of 1:4 indicated susceptibility of the donor to VZV infection and correlated with an absence of FAMA (titer, less than 1:2). A survey of susceptible leukemic children exposed to chicken pox revealed that several recipients of zoster immune globulin had a subclinical infection, as manifested by seroconversion and persistence of neutralizing antibody to VZV. Results of these studies indicate that the complement-enhanced neutralization test is a sensitive and specific assay for determination of humoral immune status with regard to VZV in healthy and immunosuppressed individuals.",,,,,
220333,NLM,MEDLINE,19790716,20190509,0022-1899 (Print) 0022-1899 (Linking),139,2,1979 Feb,Chronically persistent infection with human cytomegalovirus in human lymphoblasts.,211-4,"['Furukawa, T', 'Yoshimura, N', 'Jean, J H', 'Plotkin, S A']","['Furukawa T', 'Yoshimura N', 'Jean JH', 'Plotkin SA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Infect Dis,The Journal of infectious diseases,0413675,"['0 (Antigens, Viral)']","['Antigens, Viral/analysis', 'Cell Line', 'Cytomegalovirus/immunology/*isolation & purification', 'Cytomegalovirus Infections/immunology/*microbiology', 'Humans', 'In Vitro Techniques', 'Leukemia/microbiology', 'Lymphocytes/immunology/*microbiology', 'Virus Replication']",1979/02/01 00:00,1979/02/01 00:01,['1979/02/01 00:00'],"['1979/02/01 00:00 [pubmed]', '1979/02/01 00:01 [medline]', '1979/02/01 00:00 [entrez]']",ppublish,J Infect Dis. 1979 Feb;139(2):211-4. doi: 10.1093/infdis/139.2.211.,,IM,['10.1093/infdis/139.2.211 [doi]'],Cells from a line of human lymphocytes originating from a leukemic patient were persistently infected with human cytomegalovirus. Assays of infectious centers and fluorescent antigen staining indicated that 1%--10% of the cells were infected. It appears that persistent infection is due to an equilibrium between the release of virus by infected host cells and the growth of uninfected cells rather than to defective virus or temperature-sensitive mutants.,,,,,
220261,NLM,MEDLINE,19790725,20210210,0021-9258 (Print) 0021-9258 (Linking),254,11,1979 Jun 10,Purification of murine oncornaviral phosphoproteins using alkyl agarose derivatives..,4809-13,"['Marcus, S L', 'Smith, S W', 'Racevskis, J', 'Sarkar, N H']","['Marcus SL', 'Smith SW', 'Racevskis J', 'Sarkar NH']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Phosphoproteins)', '0 (RNA, Viral)', '0 (Viral Proteins)']","['Mammary Tumor Virus, Mouse/*analysis', 'Phosphoproteins/*isolation & purification', 'Protein Binding', 'RNA, Viral', 'Radioimmunoassay', 'Rauscher Virus/*analysis', 'Viral Proteins/*isolation & purification']",1979/06/10 00:00,1979/06/10 00:01,['1979/06/10 00:00'],"['1979/06/10 00:00 [pubmed]', '1979/06/10 00:01 [medline]', '1979/06/10 00:00 [entrez]']",ppublish,J Biol Chem. 1979 Jun 10;254(11):4809-13.,,IM,['S0021-9258(17)30084-4 [pii]'],"Methods for the purification of both murine mammary tumor (type B) and murine leukemia (type C) oncornaviral phosphoproteins are described, in which chromatography on alkyl-agarose derivatives is used as the primary fractionation step. Gel filtration or ion exchange chromatography on phosphocellulose was the only subsequent step required for the purification of the type B and type C viral proteins, respectively. The two-step protocols also resulted in the co-purification of a low molecular weight core protein from each virus. Recoveries of the viral proteins purified by this method, based on per cent contribution of individual polypeptides to total virion proteins, were 70% or greater. Radioimmunocompetition analysis of the purified murine mammary tumor virus major core protein as well as analysis of the RNA binding properties of purified low molecular weight type C virus proteins suggests that neither antigenic reactivity nor specific RNA binding characteristics are altered by the purification protocols. The availability of these procedures should aid studies on the possible function and immunochemical properties of the native murine oncornaviral phosphoproteins and may also be extended to the purification of other oncornaviral proteins.",,,,,
220199,NLM,MEDLINE,19790716,20190708,0020-7136 (Print) 0020-7136 (Linking),23,4,1979 Apr 15,Cell surface glycoprotein changes in Epstein-Barr virus-positive and -negative human hematopoietic cell lines.,464-73,"['van Beek, W P', 'Nilsson, K', 'Klein, G', 'Emmelot, P']","['van Beek WP', 'Nilsson K', 'Klein G', 'Emmelot P']",['eng'],['Journal Article'],United States,Int J Cancer,International journal of cancer,0042124,"['0 (Glycopeptides)', '0 (Glycoproteins)', '0 (Membrane Proteins)', 'EC 3.2.1.18 (Neuraminidase)', 'EC 3.4.24.- (Pronase)']","['Burkitt Lymphoma/*metabolism', 'Cell Line', 'Cell Transformation, Neoplastic/*metabolism', '*Cell Transformation, Viral', 'Chromatography, Gel', 'Glycopeptides/metabolism', 'Glycoproteins/*metabolism', '*Herpesvirus 4, Human', 'Humans', 'Leukemia/metabolism', 'Lymphocytes/metabolism', 'Lymphoma/metabolism', 'Membrane Proteins/*metabolism', 'Multiple Myeloma/metabolism', 'Neuraminidase/pharmacology', 'Pronase/pharmacology']",1979/04/15 00:00,1979/04/15 00:01,['1979/04/15 00:00'],"['1979/04/15 00:00 [pubmed]', '1979/04/15 00:01 [medline]', '1979/04/15 00:00 [entrez]']",ppublish,Int J Cancer. 1979 Apr 15;23(4):464-73. doi: 10.1002/ijc.2910230405.,,IM,['10.1002/ijc.2910230405 [doi]'],"It has previously been shown that differential fucose labelling of many normal and homologous tumor cells, followed by proteolytic release and degradation, yields glycopeptides which upon gel filtration shown an increase in fast-eluting glycopeptides for the tumor cells. This technique has now been applied to cell-surface glycoproteins of different human hematopoietic cell lines. These lines included Epstein-Barr virus (EBV)-carrying lymphoblastoid cell lines of presumed non-neoplastic origin, and malignant EBV-genome-positive Burkitt lymphoma and EBV-negative non-Burkitt lymphoma, leukemia and myeloma lines. As compared with normal peripheral lymphocytes, both the lymphoblastoid type of cell lines and the different types of lines of proven malignant ancestry contained the fast-eluting glycopeptides on their cell surface with very few exceptions. It is therefore concluded that (I) malignant conversion of human lymphoid cell in vivo is commonly, but not obligatorily, associated with a specific change in the composition of the fucosyl glycopeptides, and (2) EBV infection of B lymphocytes does not lead only to the well-documented immortalization in vitro but also, as a rule, to the same type of alteration in fucosyl glycopeptides as was demonstrated for the neoplastic cell lines. It proved possible to distinguish several categories of hematopoietic cell lines due to the effect that pretreatment of the glycopeptides with neuraminidase or mild acid exerted on their subsequent chromatographic behavior.",,,,,
220198,NLM,MEDLINE,19790725,20190708,0020-7136 (Print) 0020-7136 (Linking),23,3,1979 Mar 15,Neutralization of pseudotypes of vesicular stomatitis virus by sera from avian retrovirus-infected hosts.,415-23,"['Mandeville, R', 'Rohan, P', 'Wainberg, M A']","['Mandeville R', 'Rohan P', 'Wainberg MA']",['eng'],['Journal Article'],United States,Int J Cancer,International journal of cancer,0042124,"['0 (Antigens, Neoplasm)', '0 (Antigens, Surface)', '0 (Antigens, Viral)', '0 (DNA, Viral)', '0 (RNA, Viral)', '0 (Viral Proteins)', 'EC 2.7.7.7 (DNA-Directed DNA Polymerase)']","['Alpharetrovirus/*immunology', 'Animals', 'Antigens, Neoplasm', 'Antigens, Surface', 'Antigens, Viral', 'Avian Leukosis/*immunology', 'Cells, Cultured', 'Chickens', 'DNA, Viral/immunology', 'DNA-Directed DNA Polymerase/analysis', 'Electrophoresis, Polyacrylamide Gel', 'Female', 'Immunity, Cellular', 'Immunization', 'Lymphocyte Activation', 'Lymphocytes/immunology', 'Male', 'Neutralization Tests', 'Phenotype', 'RNA, Viral/immunology', 'Vesicular stomatitis Indiana virus/*immunology', 'Viral Proteins/analysis']",1979/03/15 00:00,1979/03/15 00:01,['1979/03/15 00:00'],"['1979/03/15 00:00 [pubmed]', '1979/03/15 00:01 [medline]', '1979/03/15 00:00 [entrez]']",ppublish,Int J Cancer. 1979 Mar 15;23(3):415-23. doi: 10.1002/ijc.2910230322.,,IM,['10.1002/ijc.2910230322 [doi]'],"We investigated the capacity of lymphocytes and sera from chickens bearing tumors induced by avian sarcoma viruses (ASV) to interact with phenotypically mixed particles of vesicular stomatitis virus (VSV) and ASV. Immune chicken sera were able to specifically neutralize such VSV pseudotypes. This ability could be absorbed out, however, on purified preparations of avian retroviruses, suggesting that reactivity was primarily against avian retrovirus enveloped components. Supernatant fluids containing phenotypically mixed particles were unable to stimulate division of lymphocytes of tumor-bearing hosts, an ability possessed by culture fluids containing native ASV particles. Polyacrylamide gel analysis was unable to resolve any distinct pseudotype protein, which was not present in either of the parental virus types. Treatment with crude preparations of ultraviolet (UV)-irradiated VSV pseudotype material did not afford immunity against subsequent challenge with live ASV.",,,,,
220128,NLM,MEDLINE,19790728,20141003,0016-450X (Print) 0016-450X (Linking),69,6,1978 Dec,Isolation of a sarcoma virus from a spontaneous chicken tumor.,825-30,"['Itohara, S', 'Hirata, K', 'Inoue, M', 'Hatsuoka, M', 'Sato, A']","['Itohara S', 'Hirata K', 'Inoue M', 'Hatsuoka M', 'Sato A']",['eng'],['Journal Article'],Japan,Gan,Gan,0151745,,"['Alpharetrovirus/*isolation & purification/ultrastructure', 'Animals', 'Avian Leukosis/*microbiology', '*Chickens', 'Neoplasm Transplantation', 'Transplantation, Homologous', 'Virus Cultivation', 'Virus Replication']",1978/12/01 00:00,1978/12/01 00:01,['1978/12/01 00:00'],"['1978/12/01 00:00 [pubmed]', '1978/12/01 00:01 [medline]', '1978/12/01 00:00 [entrez]']",ppublish,Gan. 1978 Dec;69(6):825-30.,,IM,,"A spontaneous tumor was obtained from a hen of White-Leghorn stock raised in a local farm in Yamaguchi City, in December 1973. The tumor had characteristics of fibro- or myxofibro-sarcoma and could be maintained by transplantation in chickens of similar flocks. This tumor was proved to produce sarcoma virus at 33rd passage and the transforming virus was designated as Y73 sarcoma virus. Biological studies suggested that the virus recovered from the tumor belonged to avian leukosis-sarcoma complex having subgroup A specificity. The possibility of defectiveness of this virus will be discussed.",,,,,
220109,NLM,MEDLINE,19790728,20190902,0011-9075 (Print) 0011-9075 (Linking),158,5,1979,Herpes simplex virus isolation from pyoderma gangrenosum lesions in a patient with chronic lymphatic leukemia.,373-8,"['Wahba, A', 'Cohen, H A']","['Wahba A', 'Cohen HA']",['eng'],"['Case Reports', 'Journal Article']",Switzerland,Dermatologica,Dermatologica,0211607,"['0 (Acetates)', 'J41CSQ7QDS (Zinc)']","['Acetates/administration & dosage/therapeutic use', 'Administration, Topical', 'Humans', 'Leukemia, Lymphoid/*complications/microbiology', 'Male', 'Middle Aged', 'Penile Diseases/drug therapy/etiology/*microbiology', 'Pyoderma/drug therapy/etiology/*microbiology', 'Simplexvirus/*isolation & purification', 'Skin Ulcer/drug therapy/etiology/*microbiology', 'Zinc/administration & dosage/therapeutic use']",1979/01/01 00:00,1979/01/01 00:01,['1979/01/01 00:00'],"['1979/01/01 00:00 [pubmed]', '1979/01/01 00:01 [medline]', '1979/01/01 00:00 [entrez]']",ppublish,Dermatologica. 1979;158(5):373-8. doi: 10.1159/000250783.,,IM,['10.1159/000250783 [doi]'],"Herpes simplex virus type 2 was isolated and identified from the vesicular border of pyoderma gangrenosum lesions on the genital region of a patient with chronic lymphatic leukemia. Dramatic relief of pain as well as quick disappearance of the vesicular margin of the lesions and of the inflammatory halo around them occurred as a result of local treatment with a solution of zinc acetate. A careful search for a viral agent should be done in every case of pyoderma gangrenosum occurring in a patient with a hematological malignancy or/and impaired immunity, especially if the lesions are on the face or in the genital region.",,,,,
220057,NLM,MEDLINE,19790725,20190907,0014-2964 (Print) 0014-2964 (Linking),15,4,1979 Apr,Cyclic-AMP in human lymphocytes: levels in acute leukemia and infectious mononucleosis.,615-7,"['Ben-Zvi, A', 'Russell, A', 'Shneyour, A', 'Trainin, N']","['Ben-Zvi A', 'Russell A', 'Shneyour A', 'Trainin N']",['eng'],"['Comparative Study', 'Journal Article']",England,Eur J Cancer,European journal of cancer,0074126,"['E0399OZS9N (Cyclic AMP)', 'EC 3.4.21.4 (Trypsin)']","['Child', 'Cyclic AMP/*blood', 'Humans', 'In Vitro Techniques', 'Infectious Mononucleosis/*blood', 'Leukemia, Lymphoid/*blood', 'Lymphocytes/drug effects/*metabolism', 'Trypsin/pharmacology']",1979/04/01 00:00,1979/04/01 00:01,['1979/04/01 00:00'],"['1979/04/01 00:00 [pubmed]', '1979/04/01 00:01 [medline]', '1979/04/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1979 Apr;15(4):615-7. doi: 10.1016/0014-2964(79)90100-2.,,IM,['10.1016/0014-2964(79)90100-2 [doi]'],,,,,,
220053,NLM,MEDLINE,19790725,20190907,0014-2964 (Print) 0014-2964 (Linking),15,4,1979 Apr,Lymphoma development in AKR : CBA/H-T6Crc chimaeras derived by neonatal injection of spleen cells.,387-93,"['Tuffrey, M', 'Crewe, P', 'Barnes, R D']","['Tuffrey M', 'Crewe P', 'Barnes RD']",['eng'],['Journal Article'],England,Eur J Cancer,European journal of cancer,0074126,,"['Animals', 'Animals, Newborn', '*Chimera', 'Female', 'Immune Tolerance', 'Leukemia Virus, Murine', 'Lymphoma/*etiology', 'Male', 'Mice', 'Mice, Inbred AKR', 'Mice, Inbred CBA', 'Neoplasms, Experimental/etiology', 'Spleen/transplantation', 'Thymus Gland/transplantation', 'Transplantation, Homologous', 'Tumor Virus Infections/etiology']",1979/04/01 00:00,1979/04/01 00:01,['1979/04/01 00:00'],"['1979/04/01 00:00 [pubmed]', '1979/04/01 00:01 [medline]', '1979/04/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1979 Apr;15(4):387-93. doi: 10.1016/0014-2964(79)90073-2.,,IM,['10.1016/0014-2964(79)90073-2 [doi]'],,,,,,
219979,NLM,MEDLINE,19790716,20061115,0009-918X (Print) 0009-918X (Linking),19,3,1979 Mar,[An autopsy case of adult meningeal leukemia with multiple cranial nerve palsies (Garcin's syndrome) (author's transl)].,147-50,"['Hamaguchi, K', 'Tanahashi, N', 'Itoh, Y', 'Katayama, T']","['Hamaguchi K', 'Tanahashi N', 'Itoh Y', 'Katayama T']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Shinkeigaku,Rinsho shinkeigaku = Clinical neurology,0417466,,"['*Cranial Nerves/pathology', 'Female', 'Humans', 'Leukemia/*complications/pathology', 'Meningeal Neoplasms/*complications/pathology', 'Middle Aged', 'Paralysis/*etiology/pathology', 'Peripheral Nervous System Diseases/etiology/pathology', 'Syndrome']",1979/03/01 00:00,1979/03/01 00:01,['1979/03/01 00:00'],"['1979/03/01 00:00 [pubmed]', '1979/03/01 00:01 [medline]', '1979/03/01 00:00 [entrez]']",ppublish,Rinsho Shinkeigaku. 1979 Mar;19(3):147-50.,,IM,,,,,,,
219963,NLM,MEDLINE,19790716,20190827,0344-5704 (Print) 0344-5704 (Linking),1,2,1978,The role of antitumor antibiotics in current oncologic practice.,83-90,"['Davis, H L Jr', 'von Hoff, D D', 'Henney, J E', 'Rozencweig, M']","['Davis HL Jr', 'von Hoff DD', 'Henney JE', 'Rozencweig M']",['eng'],"['Journal Article', 'Review']",Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,"['0 (Antibiotics, Antineoplastic)']","['Acute Disease', 'Adenoma, Islet Cell/drug therapy', 'Antibiotics, Antineoplastic/adverse effects/pharmacology/*therapeutic use', 'Breast Neoplasms/drug therapy', 'Female', 'Humans', 'Hypercalcemia/drug therapy', 'Leukemia/drug therapy', 'Lymphoma/drug therapy', 'Male', 'Neoplasms/*drug therapy', 'Osteosarcoma/drug therapy', 'Ovarian Neoplasms/drug therapy', 'Pancreatic Neoplasms/drug therapy', 'Pregnancy', 'Soft Tissue Neoplasms/drug therapy', 'Testicular Neoplasms/drug therapy', 'Trophoblastic Neoplasms/drug therapy', 'Uterine Neoplasms/drug therapy']",1978/01/01 00:00,2001/03/28 10:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Cancer Chemother Pharmacol. 1978;1(2):83-90. doi: 10.1007/BF00254041.,,IM,['10.1007/BF00254041 [doi]'],"The antitumor antibiotics have thus made a major impact on oncologic practice. The continued search for productive strains of these organisms should be encouraged; in addition, the activity and toxicity spectrum suggests the need for vigorous analogue development. An active anthracycline devoid of cardiotoxicity, a bleomycin with no effect on pulmonary tissue, an analogue of streptozoticin devoid of nephrotoxicity -- these would be advances of inestimable benefit to the cancer patient of the future.",90,,,,
219958,NLM,MEDLINE,19790725,20190720,0008-8749 (Print) 0008-8749 (Linking),42,1,1979 Jan,Prevention of macrophage tumoricidal activity by agents known to increase cellular cyclic AMP.,71-8,"['Schultz, R M', 'Pavlidis, N A', 'Stoychkov, J N', 'Chirigos, M A']","['Schultz RM', 'Pavlidis NA', 'Stoychkov JN', 'Chirigos MA']",['eng'],['Journal Article'],Netherlands,Cell Immunol,Cellular immunology,1246405,"['0 (Prostaglandins)', '0 (Prostaglandins E)', '63X7MBT2LQ (Bucladesine)', '9008-11-1 (Interferons)', 'E0399OZS9N (Cyclic AMP)']","['Animals', 'Bucladesine/pharmacology', 'Cyclic AMP/*metabolism', 'Cytotoxicity, Immunologic', 'Interferons/pharmacology', 'Leukemia, Lymphoid/*immunology', 'Macrophages/*immunology', 'Male', 'Mice', 'Prostaglandins/pharmacology', 'Prostaglandins E/pharmacology']",1979/01/01 00:00,1979/01/01 00:01,['1979/01/01 00:00'],"['1979/01/01 00:00 [pubmed]', '1979/01/01 00:01 [medline]', '1979/01/01 00:00 [entrez]']",ppublish,Cell Immunol. 1979 Jan;42(1):71-8. doi: 10.1016/0008-8749(79)90222-3.,,IM,"['0008-8749(79)90222-3 [pii]', '10.1016/0008-8749(79)90222-3 [doi]']",,,,,,
219924,NLM,MEDLINE,19790716,20210216,0006-4971 (Print) 0006-4971 (Linking),53,5,1979 May,In vitro induction of continuous acute promyelocytic leukemia cell lines by Friend or Abelson murine leukemia virus.,987-1001,"['Greenberger, J S', 'Davisson, P B', 'Gans, P J', 'Moloney, W C']","['Greenberger JS', 'Davisson PB', 'Gans PJ', 'Moloney WC']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,,"['Animals', 'Bone Marrow Cells', 'Cell Adhesion', 'Cell Line', 'Cells, Cultured', 'Friend murine leukemia virus', 'Granulocytes/pathology', 'Hematopoiesis', 'Histocytochemistry', 'Leukemia Virus, Murine', 'Leukemia, Myeloid/*etiology', 'Mice', 'Rauscher Virus', 'Time Factors']",1979/05/01 00:00,1979/05/01 00:01,['1979/05/01 00:00'],"['1979/05/01 00:00 [pubmed]', '1979/05/01 00:01 [medline]', '1979/05/01 00:00 [entrez]']",ppublish,Blood. 1979 May;53(5):987-1001.,,IM,['S0006-4971(20)80403-0 [pii]'],,,,,,
