PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,CIN,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,RN,GS,AID,PMC,GR,TT,CON,SI,EIN,OID,OAB,OABL,OTO,OT,GN
1807134,NLM,MEDLINE,19920512,20061115,0210-4806 (Print) 0210-4806 (Linking),15,5,1991 Sep-Oct,[Leukemoid reaction as a paraneoplastic manifestation of bladder carcinoma].,496-9,"Sometimes vesical malignant tumours present themselves with highly characteristic paraneoplastic signs like hypercalcemia, or more rarely like a leukaemoid reaction within the symptomatic setting typical of vesical neoplasia. We present a case of vesical urothelioma where the leukaemoid reaction was present in the diagnosis and later in the tumour relapse after the appropriate treatment.","['Caballero Alcantara, J E', 'Castro Pita, M A', 'Carrero Lopez, V', 'Rodriguez Antolin, A', 'Pamplona Casamayor, M', 'Leiva Galvis, O']","['Caballero Alcantara JE', 'Castro Pita MA', 'Carrero Lopez V', 'Rodriguez Antolin A', 'Pamplona Casamayor M', 'Leiva Galvis O']","['Hospital 12 de Octubre, Servicio de Urologia, Madrid.']",['spa'],"['Case Reports', 'English Abstract', 'Journal Article']",Spain,Actas Urol Esp,Actas urologicas espanolas,7704993,IM,,"['Carcinoma, Transitional Cell/*complications/diagnosis/therapy', 'Combined Modality Therapy', 'Diagnosis, Differential', 'Humans', 'Leukemia, Myeloid/diagnosis', 'Leukemoid Reaction/diagnosis/*etiology', 'Male', 'Middle Aged', 'Neoplasm Recurrence, Local', 'Paraneoplastic Syndromes/*etiology', 'Urinary Bladder Neoplasms/*complications/diagnosis/therapy']",,1991/09/01 00:00,1991/09/01 00:01,['1991/09/01 00:00'],"['1991/09/01 00:00 [pubmed]', '1991/09/01 00:01 [medline]', '1991/09/01 00:00 [entrez]']",ppublish,Actas Urol Esp. 1991 Sep-Oct;15(5):496-9.,,,,,,Reaccion leucemoide como manifestacion paraneoplasica del carcinoma vesical.,,,,,,,,,
1806799,NLM,MEDLINE,19920513,20091109,0025-8105 (Print) 0025-8105 (Linking),44,9-10,1991,[Present possibilities of treatment of chronic B-cell lymphocytic leukemia].,423-8,"Chronic lymphocytic leukemia (CLL) belongs to the group of diseases with a malignant course and bad outcome. Clinically, the course of CLL exceptionally varies, survival ranges from one to twenty years. The choice of treatment for those affected with CLL is not simple because of the different course of the disease in individual patients and because of the different attitudes in the application of available means of therapy. By introducing antitumor drugs (Interferon alpha-2, Interleukin 2b), new chemotherapeutics (Fludarabin, Pentostatin), monoclonal antibodies and especially by introducing allogenic bone marrow transplantation into therapy, new possibilities are attained for the more efficient treatment of these patients.","['Belic, A', 'Pejin, D']","['Belic A', 'Pejin D']","['Klinika za interne bolesti, Medicinski fakultet Novi Sad.']",['hrv'],"['English Abstract', 'Journal Article', 'Review']",Serbia,Med Pregl,Medicinski pregled,2985249R,IM,,"['Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*therapy']",57,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Med Pregl. 1991;44(9-10):423-8.,,,,,,Savremene mogucnosti lecenja B-hronicne limfocitne leukemije.,,,,,,,,,
1806758,NLM,MEDLINE,19920511,20181016,0465-5893 (Print) 0465-5893 (Linking),42,3,1991,"[Genotoxic properties of 1,3-butadiene and its derivatives].",193-8,"1,3-butadiene gas is widely used in manufacture of synthetic rubber and plastics. In groups of workers occupationally exposed to 1,3-butadiene secondary leukemia and lymphoma were observed. Quite frequently, in these groups combined exposure to other chemicals such as styrene and benzene was observed. Studies on bacteria suggest that 1,3-butadiene is an indirect mutagen whose mutagenic potency depends on metabolic activation. Mutagenic and carcinogenic properties of 1,3-butadiene were investigated on laboratory animals. The results have shown that 1,3-butadiene induced multiple organ cancer, as well as increase in SCE, chromosome aberrations and micronuclei in mice and rats. 1,3-butadiene and its metabolites produced an effect of growth inhibition, an increase in SCE and chromosomal aberrations in mammalian cells in vitro. Up till now is known about genotoxic and carcinogenic properties of 1,3-butadiene in humans.","['Sasiadek, M', 'Chichlowska-Sliwinska, M']","['Sasiadek M', 'Chichlowska-Sliwinska M']",['Katedry i Zakladu Patofizjologii Akademii Medycznej we Wroclawiu.'],['pol'],"['Journal Article', 'Review']",Poland,Med Pr,Medycyna pracy,0376642,IM,,"['Animals', 'Butadienes/*adverse effects', 'Chromosome Aberrations/*genetics', 'DNA Damage/*genetics', 'Epoxy Compounds/*adverse effects', 'In Vitro Techniques', 'Mice', 'Mutagenesis/*drug effects/genetics', 'Mutagenicity Tests', 'Mutagens/*adverse effects', 'Neoplasms, Experimental/*chemically induced', 'Rats', 'Sister Chromatid Exchange/*drug effects/genetics']",15,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Med Pr. 1991;42(3):193-8.,"['0 (Butadienes)', '0 (Epoxy Compounds)', '0 (Mutagens)', '478ERR5NKR (3,4-epoxy-1-butene)', '60OB65YNAB (diepoxybutane)', 'JSD5FGP5VD (1,3-butadiene)']",,,,,"Wlasciwosci genotoksyczne 1,3-butadienu i jego pochodnych.",,,,,,,,,
1806450,NLM,MEDLINE,19920514,20181130,0390-6078 (Print) 0390-6078 (Linking),76,5,1991 Sep-Oct,Recombinant interferon alpha-2B for acute post-transfusion hepatitis in acute myeloid leukemia.,429-30,"Post-transfusion hepatitis (PTH) is a major problem in patients with acute leukemias requiring blood products during induction or consolidation therapy. In fact, PTH causes delays of chemotherapy with major violations in the timing of protocols. In order to assess the efficacy and safety of a short course of alpha-interferon (alpha-IFN) in inducing early remission of PTH, we treated seven patients who developed acute hepatitis during a post-remissional phase of AML. Patients received 3 MU of alpha-IFN i.m. three times weekly for one month. One patient stopped alpha-IFN at 2 weeks because of severe itching, after ALT normalization. Five out of 6 subjects normalized ALT within a mean time of two weeks. Minor side effects were observed in 2 cases. Three patients relapsed within eight weeks after stopping alpha-IFN. They underwent a second remission upon treatment with the same schedule. All patients continued their treatment protocol for AML without delay.","['Almasio, P', 'Mirto, S', 'Malleo, C', 'Di Marco, V', 'Caronia, F', 'Craxi, A']","['Almasio P', 'Mirto S', 'Malleo C', 'Di Marco V', 'Caronia F', 'Craxi A']","['Istituto di Medicina Generale e Pneumologia, Universita di Palermo, Italy.']",['eng'],"['Clinical Trial', 'Journal Article']",Italy,Haematologica,Haematologica,0417435,IM,,"['Adolescent', 'Adult', 'Alanine Transaminase/blood', 'Drug Evaluation', 'Female', 'Hepatitis C/blood/*therapy/transmission', 'Humans', 'Immunologic Factors/*therapeutic use', 'Interferon alpha-2', 'Interferon-alpha/*therapeutic use', 'Leukemia, Myeloid, Acute/complications/therapy', 'Male', 'Middle Aged', 'Pilot Projects', 'Recombinant Proteins', '*Transfusion Reaction']",,1991/09/01 00:00,1991/09/01 00:01,['1991/09/01 00:00'],"['1991/09/01 00:00 [pubmed]', '1991/09/01 00:01 [medline]', '1991/09/01 00:00 [entrez]']",ppublish,Haematologica. 1991 Sep-Oct;76(5):429-30.,"['0 (Immunologic Factors)', '0 (Interferon alpha-2)', '0 (Interferon-alpha)', '0 (Recombinant Proteins)', 'EC 2.6.1.2 (Alanine Transaminase)']",,,,,,,,,,,,,,
1806446,NLM,MEDLINE,19920514,20191210,0390-6078 (Print) 0390-6078 (Linking),76,5,1991 Sep-Oct,Idarubicin in blastic crisis of chronic myelogenous leukemia.,406-8,"BACKGROUND: Blastic crisis (BC) is the terminal event in the natural history of most chronic myelogenous leukemia (CML) patients. Depletion of the normal stem cell compartment, as well as the proliferative advantage and frequent pharmacoresistance of the blastic clone, contribute to the poor prognosis of CML patients in this phase. Recent clinical trials have shown that idarubicin (IDR) in combination with cytosine arabinoside (ARA-C) is more active than daunorubicin at comparable doses in acute myelogenous leukemia (AML). Furthermore, IDR alone also exhibits antitumoral activity in the BC of CML. METHODS: Twelve Ph+ CML patients in BC (male 8, female 4; median age 45 yrs., range 19-55 yrs.) were treated with IDR 12 mg/m2/die for 3 consecutive days in sequential combination with Ara-C (1 hour i.v. infusion) 120 mg/m2/12 hrs. for 7 consecutive days. BC exhibited a myeloid phenotype in 9 and a lymphoid phenotype in 3 cases. Median duration of the previous chronic phase had been 36 months (range 6-180). RESULTS: Clearing of peripheral and bone marrow blasts was achieved in all but one patient. Three other patients were classified as resistant because of blastic regrowth, and 3 died of infection during postchemotherapeutic aplasia. Two patients achieved complete remission (CR) and 3 partial remission (PR). The median duration of response was 11 months (range 6-32). CONCLUSIONS: In BC of CML the IDR/Ara-C combination led to an encouraging rate of either partial or complete responses. The relatively long duration of unmaintained response was even more interesting, with the duration of PR approaching that of CR. These data suggest that IDR should be considered as one of the first-line drugs in the treatment of BC of CML.","['Lambertenghi-Deliliers, G', 'Annaloro, C', 'Cortellaro, M', 'Pozzoli, E', 'Oriani, A', 'Polli, E E']","['Lambertenghi-Deliliers G', 'Annaloro C', 'Cortellaro M', 'Pozzoli E', 'Oriani A', 'Polli EE']","['Istituto di Scienze Mediche, Universita, Milano, Italy.']",['eng'],"['Clinical Trial', 'Journal Article']",Italy,Haematologica,Haematologica,0417435,IM,,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Blast Crisis/*drug therapy', 'Cytarabine/administration & dosage/adverse effects', 'Drug Administration Schedule', 'Female', 'Humans', 'Idarubicin/administration & dosage/adverse effects', 'Infections/chemically induced/mortality', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/*pathology', 'Male', 'Middle Aged', 'Remission Induction']",,1991/09/01 00:00,1991/09/01 00:01,['1991/09/01 00:00'],"['1991/09/01 00:00 [pubmed]', '1991/09/01 00:01 [medline]', '1991/09/01 00:00 [entrez]']",ppublish,Haematologica. 1991 Sep-Oct;76(5):406-8.,"['04079A1RDZ (Cytarabine)', 'ZRP63D75JW (Idarubicin)']",,,,,,,,,,,,,,
1806445,NLM,MEDLINE,19920514,20131121,0390-6078 (Print) 0390-6078 (Linking),76,5,1991 Sep-Oct,Mitoxantrone in combination with etoposide and cytarabine for treatment of poor prognosis acute non lymphoid leukemia patients.,402-5,"BACKGROUND: The proved effectiveness and relatively low extrahematological toxicity of Mitoxantrone, Ara-C and Etoposide as single agents and in combination in the treatment of acute non lymphoid leukemia (ANLL) are well established. In a phase II study the efficacy and toxicity of an induction combination regimen with Mitoxantrone, Ara-C and Etoposide were evaluated for treatment of poor risk ANLL patients. METHODS: Twenty-seven poor prognosis ANLL patients were treated with Mitoxantrone, 7 mg/sm days 1-3; VP16, 150 mg/sm days 1-3; Ara-C, 200 mg/sm continuous infusion days 1-5. Median age of treated patients was 63 (17-78): 10 de novo leukemias (4 greater than 65 yrs 3 with cardiomyopathy); 12 secondary leukemias (5 secondary to a myelodysplastic syndrome, 5 to myeloproliferative syndrome, 2 to other neoplasias); 3 relapses; 2 refractory. RESULTS: Fifteen patients (55.5%) achieved CR (8 de novo leukemias, 3 relapses, 4 secondary leukemias); 7 died in induction, 5 progressed. Median remission duration was 27 weeks (range 5-70 wks) and overall median survival 13 weeks (range 4-80). Extraematological toxicity was low, but five patients died from infections and two from hemorrhages. CONCLUSIONS: The combination tested in this trial proved effective in the treatment of ""poor risk"" ANLL, but the results need to be confirmed on greater numbers of patients, mainly in the group of de novo leukemias that can't be treated with more aggressive regimens.","['Tribalto, M', 'Cantonetti, M', 'Catalano, G', 'Del Poeta, G', 'Masi, M', 'Pastore, S', 'Pisani, F', 'Stasi, R', 'Papa, G']","['Tribalto M', 'Cantonetti M', 'Catalano G', 'Del Poeta G', 'Masi M', 'Pastore S', 'Pisani F', 'Stasi R', 'Papa G']","['Cattedra e Divisione di Ematologia, Ospedale S. Eugenio, Roma, Italy.']",['eng'],"['Clinical Trial', 'Journal Article']",Italy,Haematologica,Haematologica,0417435,IM,,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Cytarabine/administration & dosage', 'Drug Evaluation', 'Etoposide/administration & dosage', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy/etiology/mortality', 'Middle Aged', 'Mitoxantrone/administration & dosage', 'Prognosis', 'Remission Induction', 'Risk', 'Survival Rate']",,1991/09/01 00:00,1991/09/01 00:01,['1991/09/01 00:00'],"['1991/09/01 00:00 [pubmed]', '1991/09/01 00:01 [medline]', '1991/09/01 00:00 [entrez]']",ppublish,Haematologica. 1991 Sep-Oct;76(5):402-5.,"['04079A1RDZ (Cytarabine)', '6PLQ3CP4P3 (Etoposide)', 'BZ114NVM5P (Mitoxantrone)']",,,,,,,,,,,,,,
1806444,NLM,MEDLINE,19920514,20191210,0390-6078 (Print) 0390-6078 (Linking),76,5,1991 Sep-Oct,Oral idarubicin as treatment for advanced myelodysplastic syndrome.,398-401,"BACKGROUND: The myelodysplastic syndromes (MDS) are a group of haemopoietic stem cell disorders of unknown cause, occurring predominantly in elderly patients. They have a high mortality due to deaths from complications of cytopenias or transformation to leukaemia. No effective treatment is known. Preliminary studies have identified idarubicin (IDA), an anthracycline drug that can be administered orally, as an agent with possible activity in MDS. METHODS: In a phase I-II study we administered oral IDA to 14 predominantly elderly patients (age range 40-79, median 74) with advanced forms of MDS, namely chronic myelomonocytic leukaemia (CMML) (one case), refractory anaemia with excess blasts (RAEB) (7 cases) or refractory anaemia with excess blasts in transformation (RAEB-t) (6 cases). IDA was given at a dose of 30 mg/m2 once each 2 weeks for 8 doses. RESULTS: There was one complete remission (CR) and one partial response (PR), for an overall response rate of 14%. Mean survival from time of initiation of therapy was 10.0 months (+/- 8.0 months [SD]; median, 7.0 months). 5 patients developed severe side-effects, including 3 with life-threatening infections, and there were two deaths from cytopenias during the drug therapy. CONCLUSIONS: In this small uncontrolled trial, the overall response rate and extent of toxicity seem similar to those reported for other forms of experimental therapy for MDS, such as low-dose cytosine arabinoside. Further evaluation of the drug's potential in this difficult condition may be warranted.","['Lowenthal, R M', 'Lambertenghi-Deliliers, G']","['Lowenthal RM', 'Lambertenghi-Deliliers G']","['Istituto di Scienze Mediche, Milano, Italy.']",['eng'],"['Clinical Trial', 'Journal Article']",Italy,Haematologica,Haematologica,0417435,IM,,"['Administration, Oral', 'Adult', 'Aged', 'Disease Susceptibility/chemically induced', 'Drug Evaluation', 'Female', 'Humans', 'Idarubicin/administration & dosage/adverse effects/*therapeutic use', 'Infections/etiology', 'Leukemia, Myeloid, Acute/mortality', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/complications/*drug therapy/mortality', 'Remission Induction']",,1991/09/01 00:00,1991/09/01 00:01,['1991/09/01 00:00'],"['1991/09/01 00:00 [pubmed]', '1991/09/01 00:01 [medline]', '1991/09/01 00:00 [entrez]']",ppublish,Haematologica. 1991 Sep-Oct;76(5):398-401.,['ZRP63D75JW (Idarubicin)'],,,,,,,,,,,,,,
1806440,NLM,MEDLINE,19920514,20100324,0390-6078 (Print) 0390-6078 (Linking),76,5,1991 Sep-Oct,IFN-beta induced biochemical and immunological modifications in hairy cell leukemia patients.,375-82,"BACKGROUND: Although IFN-beta is 30-40% homologous with IFN-alpha, its intrinsic biological properties are not identical. Compared with IFN-alpha, IFN-beta exerts greater in vitro antiproliferative activity on many cell lines, stimulates peripheral blood stem cells of hairy-cell leukemia (HCL) patients to differentiate to erythroid burst forming cells, has higher specific type I IFN receptor affinity and modulates the expression of class II histocompatibility antigens. IFN-beta would, therefore, be expected to have a greater, or at least similar, antitumor activity as that of the various types of IFN-alpha. METHODS: We have treated 12 patients affected by HCL with IFN-beta and have investigated the biological and immunological changes induced by such treatment. RESULTS: A rise in beta 2-microglobulin and neopterin values throughout IFN-beta therapy was documented in most patients. An increase in NK activity was observed only in clinical responders whose CD57+/CD16+ cell ratio dropped below baseline. There was also a modulation in IFN-gamma synthesis that was dependent on baseline levels and in line with the clinical response. IFN-beta provoked a reduction in CD3+ and CD4+ cell subsets in patients with WBC greater than or equal to 10.0 x 10(9)/1 and greater than or equal to 50% circulating HCs, an expansion in absolute number of CD3+ and CD8+ cell fractions and a slight rise in the absolute values of CD2+ and CD4+ cell subpopulations in patients with WBC less than or equal to 5.0 x 10(9)/1 and less than or equal to 50% circulating HCs. There was no correlation between either the IFN-beta induced increase in beta 2-M or Np levels and clinical response. Most immunological parameters improved or normalized later during the course of IFN-beta treatment, when pathological-hematological signs of disease remission were already evident. CONCLUSIONS: The relevance of the IFN-beta induced changes as well as that of the IFN-alpha induced biological effects in the clinical control of HCL remain unclear.","['Liberati, A M', 'Schippa, M', 'Portuesi, M G', 'Grazia Proietti, M', 'De Angelis, V', 'Ferrajoli, A', 'Cinieri, S', 'Di Clemente, F', 'Palmisano, L', 'Berruto, P']","['Liberati AM', 'Schippa M', 'Portuesi MG', 'Grazia Proietti M', 'De Angelis V', 'Ferrajoli A', 'Cinieri S', 'Di Clemente F', 'Palmisano L', 'Berruto P']","['Clinica Medica I, Universita degli Studi di Perugia, Italy.']",['eng'],['Journal Article'],Italy,Haematologica,Haematologica,0417435,IM,,"['Adult', 'Aged', 'Antigens, CD/analysis', 'Antigens, Neoplasm/analysis', 'Biopterin/analogs & derivatives/biosynthesis', 'Female', 'Gene Expression Regulation, Neoplastic/drug effects', 'Humans', 'Immunologic Factors/pharmacology/*therapeutic use', 'Interferon-beta/pharmacology/*therapeutic use', 'Interferon-gamma/biosynthesis', 'Killer Cells, Natural/pathology', 'Leukemia, Hairy Cell/blood/immunology/*therapy', 'Leukocyte Count/drug effects', 'Male', 'Middle Aged', 'Neoplasm Proteins/biosynthesis', 'Neopterin', 'T-Lymphocyte Subsets/drug effects/metabolism/pathology', 'beta 2-Microglobulin/biosynthesis']",,1991/09/01 00:00,1991/09/01 00:01,['1991/09/01 00:00'],"['1991/09/01 00:00 [pubmed]', '1991/09/01 00:01 [medline]', '1991/09/01 00:00 [entrez]']",ppublish,Haematologica. 1991 Sep-Oct;76(5):375-82.,"['0 (Antigens, CD)', '0 (Antigens, Neoplasm)', '0 (Immunologic Factors)', '0 (Neoplasm Proteins)', '0 (beta 2-Microglobulin)', '22150-76-1 (Biopterin)', '670-65-5 (Neopterin)', '77238-31-4 (Interferon-beta)', '82115-62-6 (Interferon-gamma)']",,,,,,,,,,,,,,
1806439,NLM,MEDLINE,19920514,20151119,0390-6078 (Print) 0390-6078 (Linking),76,5,1991 Sep-Oct,"Unusual leukemic presentation of rhabdomyosarcoma: report of two cases with immunological, ultrastructural and cytogenetical studies.",368-74,"BACKGROUND: Bone marrow infiltration occurs rarely at presentation of rhabdomyosarcoma (RMS) or other childhood solid tumors. This possibility leads to misdiagnosis of leukemia and incorrect therapies might be administered. METHODS: We report two patients presenting with diffuse bone marrows involvement by neoplastic cells. Initial studies were not consistent with a diagnosis of leukemia and the cases were further studied extensively by indirect immunofluorescence, immunocytochemistry, electron microscopy and cytogenetics. RESULTS: In both cases blast cells were large, poorly differentiated, with immunological reactivity to the anti-desmin antibody. Ultrastructural findings of muscular features and chromosomal translocation t(2;13) (q37;q14) further confirmed the diagnosis of rhabdomyosarcoma of the alveolar subtype. This was then confirmed histologically in one patient. CONCLUSION: This study stresses the utility of analyzing cases of morphologically undifferentiated marrow blast cells by various techniques, as well as investigating for different types of both hematological and solid neoplasms.","['Putti, M C', 'Montaldi, A', ""D'Emilio, A"", 'Sainati, L', 'Milanesi, C', 'Stella, M', 'Zanesco, L', 'Basso, G']","['Putti MC', 'Montaldi A', ""D'Emilio A"", 'Sainati L', 'Milanesi C', 'Stella M', 'Zanesco L', 'Basso G']","['Dipartimento di Pediatria, Universita di Padova, Italy.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Italy,Haematologica,Haematologica,0417435,IM,,"['Adolescent', 'Antigens, CD/analysis', 'Biomarkers, Tumor/analysis', 'Bone Marrow Examination', 'Chromosomes, Human, Pair 13/ultrastructure', 'Chromosomes, Human, Pair 2/ultrastructure', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia/*diagnosis', 'Leukemia, Myeloid, Acute/diagnosis', 'Male', 'Mediastinal Neoplasms/chemistry/*diagnosis/genetics/pathology', 'Muscle Proteins/analysis', 'Neoplasm Proteins/analysis', 'Rhabdomyosarcoma/chemistry/*diagnosis/genetics/pathology', 'Thoracic Neoplasms/chemistry/*diagnosis/genetics/pathology', '*Translocation, Genetic']",21,1991/09/01 00:00,1991/09/01 00:01,['1991/09/01 00:00'],"['1991/09/01 00:00 [pubmed]', '1991/09/01 00:01 [medline]', '1991/09/01 00:00 [entrez]']",ppublish,Haematologica. 1991 Sep-Oct;76(5):368-74.,"['0 (Antigens, CD)', '0 (Biomarkers, Tumor)', '0 (Muscle Proteins)', '0 (Neoplasm Proteins)']",,,,,,,,,,,,,,
1806438,NLM,MEDLINE,19920514,20130520,0390-6078 (Print) 0390-6078 (Linking),76,5,1991 Sep-Oct,Leukemic transformation in patients with 5Q- and additional abnormalities.,363-7,"BACKGROUND AND METHODS: We analyze myelodysplastic patients with the 5q- marker as sole abnormality, or with additional anomalies, and their relationship to clinical evolution. The study was performed on 12 patients (6 females and 6 males): 3 with refractory anemia (RA), 5 with RA with ring sideroblasts (RA-S), 3 RA with excess of blasts (RAEB) and 1 with RAEB in transformation (RAEB-T). The cytogenetic study was carried out on bone marrow cells at the time of diagnosis. The G- banding technique was used for chromosome identification. The follow-up was for 50 months. RESULTS AND CONCLUSIONS: Five patients (3 with RA and 2 with RA-S) showed a single 5q- marker. They had a long survival without evolution to leukemia. All cases with 5q- plus additional abnormalities: del(12p), del(7q), del(14q), i(11q) and i(17q), showed a neoplastic evolution in a short period of time. We can conclude that the presence of the 5q- marker with complex karyotypes or additional abnormalities is associated with a high risk of neoplastic evolution, indicating the prognostic value of cytogenetic study in myelodysplasia.","['Larripa, I', 'Acevedo, S', 'Palau Nagore, M V', 'Bengio, R', 'Mondini, N', 'Slavutsky, I']","['Larripa I', 'Acevedo S', 'Palau Nagore MV', 'Bengio R', 'Mondini N', 'Slavutsky I']","['Cytogenetic Department, Instituto de Investigaciones Hematologicas Mariano R. Castex, Academia Nacional de Medicina de Buenos Aires, Argentina.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,Haematologica,Haematologica,0417435,IM,,"['Aged', 'Anemia, Refractory/genetics/*pathology', '*Chromosome Aberrations', '*Chromosome Deletion', 'Chromosomes, Human, Pair 5/*ultrastructure', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/epidemiology/*genetics', 'Male', 'Middle Aged', 'Preleukemia/*genetics', 'Prognosis', 'Retrospective Studies']",,1991/09/01 00:00,1991/09/01 00:01,['1991/09/01 00:00'],"['1991/09/01 00:00 [pubmed]', '1991/09/01 00:01 [medline]', '1991/09/01 00:00 [entrez]']",ppublish,Haematologica. 1991 Sep-Oct;76(5):363-7.,,,,,,,,,,,,,,,
1806437,NLM,MEDLINE,19920514,20131121,0390-6078 (Print) 0390-6078 (Linking),76,5,1991 Sep-Oct,Long-term culture of chronic myeloid leukemia (CML) bone marrow cells.,357-62,"BACKGROUND: Clonal Ph1+ hematopoiesis is not allowed to proliferate under a long-term culture system: in 3,4 weeks residual normal (Phl-) hematopoiesis emerges. This culture system has recently been proposed as a method for purging autografts. METHODS: In our study we evaluated for cytogenetic conversion cells harvested from the non-adherent (NA) fraction of LTBMCs from CML patients. Moreover we investigated the effects of prior therapy (busulfan or hydroxyurea) on CML hematopoiesis maintained under long-term culture. RESULTS: Time-course analysis of a large number of metaphases of NA cells from LTBMCs showed that the disappearance of Ph1+ cells is fortuitous. Although most of the analyzed cells were more mature cells, a complete cytogenetic conversion at the level of the early hematopoietic compartment, located within the adherent stromal layers, seems unlikely, at least for the first 3,4 weeks of culture. Thus the possibility exists of reinfusing an indefinite number of Ph1+ progenitor or stem cells, which renders proper evaluation of the clinical benefits of this purging method difficult. Moreover we found that prior chemotherapy (busulfan or hydroxyurea) significantly affected CML hematopoiesis, reducing time-course recovery of clonogenic cells from LTBMCs. CONCLUSIONS: Overall data suggest caution in the reinfusion of bone marrow cells maintained under long-term culture for previously treated CML patients.","['Santucci, M A', 'Zaccaria, A', 'Testoni, N', 'Russo, D', 'Zuffa, E', 'Baccarani, M', 'Tura, S']","['Santucci MA', 'Zaccaria A', 'Testoni N', 'Russo D', 'Zuffa E', 'Baccarani M', 'Tura S']","['Istituto di Cancerologia, Universita di Bologna, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,Haematologica,Haematologica,0417435,IM,,"['Adult', 'Aged', 'Bone Marrow/drug effects/*pathology', 'Bone Marrow Purging/methods', 'Busulfan/pharmacology/therapeutic use', 'Cell Survival/drug effects', 'Clone Cells/drug effects/pathology', 'Culture Techniques/methods', 'Female', 'Hematopoietic Stem Cells/drug effects/*pathology', 'Humans', 'Hydroxyurea/pharmacology/therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/genetics/*pathology', 'Male', 'Middle Aged', 'Neoplastic Stem Cells/drug effects/*pathology', 'Philadelphia Chromosome', 'Selection, Genetic', 'Time Factors', 'Tumor Cells, Cultured/pathology', 'Tumor Stem Cell Assay']",,1991/09/01 00:00,1991/09/01 00:01,['1991/09/01 00:00'],"['1991/09/01 00:00 [pubmed]', '1991/09/01 00:01 [medline]', '1991/09/01 00:00 [entrez]']",ppublish,Haematologica. 1991 Sep-Oct;76(5):357-62.,"['G1LN9045DK (Busulfan)', 'X6Q56QN5QC (Hydroxyurea)']",,,,,,,,,,,,,,
1806436,NLM,MEDLINE,19920514,20211203,0390-6078 (Print) 0390-6078 (Linking),76,5,1991 Sep-Oct,"Adolfo Ferrata Lecture 1991. Bone marrow transplantation: past, present and future.",353-6,,"['Thomas, E D']",['Thomas ED'],"['Fred Hutchinson Cancer Research Center, Seattle, WA 98104.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",Italy,Haematologica,Haematologica,0417435,IM,,"['Animals', 'Bone Marrow Transplantation/*trends', 'Dogs', 'Forecasting', 'Genetic Therapy/methods', 'Graft vs Host Disease/prevention & control', 'Histocompatibility', 'Humans', 'Immunosuppression Therapy', 'Leukemia/surgery', 'Neoplasms/surgery', 'Transplantation, Homologous']",51,1991/09/01 00:00,1991/09/01 00:01,['1991/09/01 00:00'],"['1991/09/01 00:00 [pubmed]', '1991/09/01 00:01 [medline]', '1991/09/01 00:00 [entrez]']",ppublish,Haematologica. 1991 Sep-Oct;76(5):353-6.,,,,,"['CA 15704/CA/NCI NIH HHS/United States', 'CA 18029/CA/NCI NIH HHS/United States', 'CA 18221/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,,,,
