PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,TT,OID,GR,OAB,OABL,OTO,OT,GN
7287218,NLM,MEDLINE,19811221,20211203,0020-7136 (Print) 0020-7136 (Linking),27,2,1981 Feb 15,Kinetics of inflammation and sarcoma cell development in primary Moloney sarcoma-virus-induced tumors.,229-34,,"['Becker, S', 'Haskill, S']","['Becker S', 'Haskill S']",['eng'],['Journal Article'],United States,Int J Cancer,International journal of cancer,0042124,['0 (Antilymphocyte Serum)'],IM,"['Animals', 'Antilymphocyte Serum', 'Autoradiography', 'Cell Transformation, Neoplastic/analysis', 'Female', 'Immunosuppression Therapy', 'Macrophages/*immunology', 'Male', 'Mice', 'Mice, Inbred Strains', '*Moloney murine leukemia virus', 'Neoplasm Transplantation', 'Sarcoma, Experimental/*immunology', 'Time Factors']",1981/02/15 00:00,1981/02/15 00:01,['1981/02/15 00:00'],"['1981/02/15 00:00 [pubmed]', '1981/02/15 00:01 [medline]', '1981/02/15 00:00 [entrez]']",['10.1002/ijc.2910270216 [doi]'],ppublish,Int J Cancer. 1981 Feb 15;27(2):229-34. doi: 10.1002/ijc.2910270216.,,,,,,,,,
7287214,NLM,MEDLINE,19811221,20190708,0020-7136 (Print) 0020-7136 (Linking),27,2,1981 Feb 15,Sister chromatid exchange and growth kinetics in untreated acute leukemia.,199-204,"Sister chromatid exchange (SCE) frequency has been analyses after short-term culture of leukemic bone marrow cells of eight untreated patients with acute leukemia. Compared to normal bone marrow, results show a statistically significant decrease of SCE (p less than 0.001) in euploid as well as in aneuploid leukemias, ranging from 2.11 to 2.97 SCE per metaphase. The different SCE values were not related to contraction status of chromosomes and could not be explained by the age of patients. Therefore, low SCE may be a typical feature of leukemic cells. An examination of growth rates by the SCE technique revealed a high turnover of normal bone marrow cells. About 80% of the cells did not need more than 50 h to run two or three cell cycles. Leukemic cells, however, apparently divided more slowly, which is in good agreement with data obtained by autoradiographic methods.","['Becher, R', 'Zimmer, G', 'Schmidt, C G']","['Becher R', 'Zimmer G', 'Schmidt CG']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Bone Marrow/pathology', 'Cells, Cultured', '*Crossing Over, Genetic', 'Female', 'Humans', 'Leukemia/*genetics/pathology', 'Male', 'Metaphase', 'Middle Aged', '*Sister Chromatid Exchange']",1981/02/15 00:00,1981/02/15 00:01,['1981/02/15 00:00'],"['1981/02/15 00:00 [pubmed]', '1981/02/15 00:01 [medline]', '1981/02/15 00:00 [entrez]']",['10.1002/ijc.2910270212 [doi]'],ppublish,Int J Cancer. 1981 Feb 15;27(2):199-204. doi: 10.1002/ijc.2910270212.,,,,,,,,,
7287213,NLM,MEDLINE,19811221,20190708,0020-7136 (Print) 0020-7136 (Linking),27,2,1981 Feb 15,Capping of peripheral blood lymphocyte C3 receptors in chronic lymphocytic leukemia: relationship to chemotherapy.,151-9,"The data show that in chronic lymphocytic leukemia (CLL) there are elevated numbers of peripheral blood lymphocytes (PBL) capable of rosette formation (complement-rosetting lymphocytes, CRL) with bacteria (B)-antibody-(A)-complement (C) (BAC) complexes. In most of the CLL patients studied, large percentages of CRL were impaired in their ability to undergo BAC-C3R cap formation compared to normal donors. The degree of impairment varied from one patient to the next. A consideration of clinical information suggested that the variation was related to the clinical response of patients to chemotherapy. Four categories of CLL patients could be identified on the basis of clinical data: (1) patients never received therapy for CLL; (2) those whose clinical history indicated a failure to respond to ongoing chemotherapy; (3) patients who had received successful prior chemotherapy and who were asymptomatic or stable and were receiving no therapy at the time of study; and (4) those who were undergoing therapy at the time of study and who subsequently became stable or asymptomatic and were removed from therapy. The first two categories of patients failed to show significant BAC-C3R capping, whereas the last two were able to form C3R caps on significant percentages of CRL. No direct relationship could be discerned between C3R capping and currently accepted classifications on stages (Rai) of CLL. These results suggest that monitoring the percentages of BAC-C3R cap-forming CRL may be useful in determining the success of chemotherapy of CLL patients. The microtubule-disrupting agent colchicine enhanced BAC-C3R capping in all CLL patients to normal levels, whereas the microfilament-disrupting agents cytochalasin B(CB) had no effect on CLL RBL C3R capping. CB totally abolished C3R capping of CRL from normal donors. These results suggest that abnormalities exist in both cytoskeletal and contractile systems of CR from CLL peripheral blood.","['Gormus, B J', 'Basara, M L', 'Oken, M M', 'Leech, S H', 'Kaplan, M E']","['Gormus BJ', 'Basara ML', 'Oken MM', 'Leech SH', 'Kaplan ME']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Int J Cancer,International journal of cancer,0042124,"['0 (Antineoplastic Agents)', '0 (Complement C3)', '0 (Receptors, Complement)']",IM,"['Antineoplastic Agents/therapeutic use', 'Complement C3/*immunology', 'Humans', '*Immunologic Capping', 'Leukemia, Lymphoid/drug therapy/*immunology', 'Lymphocytes/*immunology', 'Neoplasm Staging', 'Receptors, Complement/*immunology', 'Rosette Formation']",1981/02/15 00:00,1981/02/15 00:01,['1981/02/15 00:00'],"['1981/02/15 00:00 [pubmed]', '1981/02/15 00:01 [medline]', '1981/02/15 00:00 [entrez]']",['10.1002/ijc.2910270205 [doi]'],ppublish,Int J Cancer. 1981 Feb 15;27(2):151-9. doi: 10.1002/ijc.2910270205.,,,,,,,,,
7287048,NLM,MEDLINE,19811221,20191031,0171-2985 (Print) 0171-2985 (Linking),159,4-5,1981,Immune response to weakly immunogenic virally induced tumors. IX. Mice injected with the in vitro variant of YAC tumor (YAC-1) resist lethal doses of the tumorigenic YAC cells.,432-43,"The ability of the in vitro propagated syngeneic tumor YAC-1 and the allogeneic tumor RBL5 to stimulate cytotoxic cells in A mice, was in correlation with the ability of these tumors to impose in vivo resistance to the viable YAC cells. Similarly, the ability of allogeneic YAC-1 tumor and syngeneic RBL5 tumor to stimulate cytotoxic cells in C57BL/6 mice was in correlation with the ability of these tumors to impose in vivo resistance to the viable RBL5 cells. In contrast, the original in vivo carried YAC tumor cells that induce the appearance of suppressor cells, as measured by in vitro assay, stimulated the in vivo enhancement of tumor growth in A mice. Adult thymectomy delayed the death of A mice injected with viable YAC cells, suggesting that at least some of the cells participating in the tumor enhancement are thymus derived cells.","['Devens, B', 'Deutsch, O', 'Avraham, Y', 'Naor, D']","['Devens B', 'Deutsch O', 'Avraham Y', 'Naor D']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Immunobiology,Immunobiology,8002742,,IM,"['Animals', 'Cell Transformation, Neoplastic', '*Cytotoxicity, Immunologic', 'Dose-Response Relationship, Immunologic', 'Mice', 'Mice, Inbred A', 'Mice, Inbred C57BL', 'Moloney murine leukemia virus/immunology', 'Neoplasms, Experimental/*immunology', 'Thymectomy']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']","['S0171-2985(81)80098-8 [pii]', '10.1016/s0171-2985(81)80098-8 [doi]']",ppublish,Immunobiology. 1981;159(4-5):432-43. doi: 10.1016/s0171-2985(81)80098-8.,,,,['5 RO1 CA23874-03/CA/NCI NIH HHS/United States'],,,,,
7286369,NLM,MEDLINE,19811215,20191031,0304-3568 (Print) 0304-3568 (Linking),49,5,1981,Human hematopoietic tumors in nude mice.,256-66,"Despite the difficulty in establishing human hematopoietic tumors in nude mice, four human lymphomas were successfully heterotransplanted and passaged serially in our laboratory. Additional immunosuppression with chemotherapy, whole-body radiation or splenectomy was not required for establishment of these tumors. All four of these tumors were of the non-Hodgkin's lymphoma type. In each case the tumors in the nude mice were histologically identical to the biopsy specimens from the patient in whom they were derived. Attempts to transplant tumor from 17 patients with Hodgkin's disease or 4 patients with immunoblastic lymphadenopathy were unsuccessful. Tumors from 2 patients with chronic myelogenous leukemia and 1 with hairy cell leukemia could be grown in nude mice conditioned with whole-body radiation or cytosine arabinoside, but these tumors could not be passaged to other nude mice. Cell surface markers were determined on the four serially passaged lymphomas. These surface markers were similar to the markers on the original tumors, even after long periods of mouse-to-mouse passage. In 1 patient with fevers, night sweats and mediastinal mass in whom a diagnosis had not been made after several biopsies, examination of tumor tissue that had been transplanted from the patient to the nude mouse clearly established the diagnosis of lymphoma.","['Sordillo, P P', 'Hansen, H', 'Jhanwar, S C', 'Beck, J', 'Lieberman, P', 'Helson, L']","['Sordillo PP', 'Hansen H', 'Jhanwar SC', 'Beck J', 'Lieberman P', 'Helson L']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Switzerland,Exp Cell Biol,Experimental cell biology,7701827,"['0 (Receptors, Antigen, B-Cell)', '9007-49-2 (DNA)']",IM,"['Animals', 'Cell Cycle', 'Child', 'DNA/analysis', 'Hodgkin Disease/pathology', 'Humans', 'Immunoblastic Lymphadenopathy/pathology', 'Karyotyping', 'Leukemia/pathology', 'Lymphoma/*pathology', 'Male', 'Mice', 'Mice, Nude', 'Neoplasm Transplantation', 'Receptors, Antigen, B-Cell/analysis', 'Transplantation, Heterologous']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1159/000163830 [doi]'],ppublish,Exp Cell Biol. 1981;49(5):256-66. doi: 10.1159/000163830.,,,,"['CA-18856-04/CA/NCI NIH HHS/United States', 'CA-20194-06/CA/NCI NIH HHS/United States']",,,,,
7286061,NLM,MEDLINE,19811221,20081121,0014-2980 (Print) 0014-2980 (Linking),11,7,1981 Jul,Distribution of IgG and IgM receptors on human peripheral natural killer cells measured on the level of the single effector cell.,531-5,"Using an agarose single-cell cytotoxicity assay simultaneously with the antibody-coated ox erythrocyte assay for detecting Fc receptor (FcR)-positive cells, the number of natural killer (NK) cells in fresh human peripheral blood which bear FcR for IgG or IgM have been determined. Of the target binding blood which bear FcR for IgG or IgM have been determined. Of the target binding cells (TBC) which form conjugates with NK-sensitive target cell lines Molt 4, 1301 and Hd-Mar, 55% had FcR for IgG and 24% had FcR for IgM. In the active NK cell population, which amounts to about 6% in nylon wool column-passed peripheral lymphocytes, cells with FcR for IgG account for 60% and cells with FcR for IgM for 17% of the total killing. Even though there is an increase in the number of FcR-IgM-positive cells from fresh peripheral blood after overnight incubation at 37 degrees C, no increase was found in FcR-IgM-positive NK cells. The reasons why FcR for IgM have not been described earlier on human NK cells are discussed, as well as the functional implications of these and their probable expression on other types of cytotoxic effector cells.","['Jondal, M', 'Merrill, J E']","['Jondal M', 'Merrill JE']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Eur J Immunol,European journal of immunology,1273201,"['0 (Immunoglobulin G)', '0 (Immunoglobulin M)', '0 (Receptors, Fc)']",IM,"['Animals', 'Cattle', 'Cell Line', 'Cytotoxicity Tests, Immunologic', 'Erythrocytes/immunology', 'Humans', '*Immunoglobulin G', '*Immunoglobulin M', 'Killer Cells, Natural/*immunology', 'Leukemia, Lymphoid/immunology', 'Receptors, Fc/*analysis', 'Rosette Formation']",1981/07/01 00:00,1981/07/01 00:01,['1981/07/01 00:00'],"['1981/07/01 00:00 [pubmed]', '1981/07/01 00:01 [medline]', '1981/07/01 00:00 [entrez]']",['10.1002/eji.1830110702 [doi]'],ppublish,Eur J Immunol. 1981 Jul;11(7):531-5. doi: 10.1002/eji.1830110702.,,,,,,,,,
7286039,NLM,MEDLINE,19811215,20190813,0031-6970 (Print) 0031-6970 (Linking),20,3,1981,Antifolate effect of triamterene on human leucocytes and on a human lymphoma cell line.,219-24,"The inhibitory effect of triamterene and its metabolites on human leucocyte dihydrofolate reductase has been studied. Under test conditions with dihydrofolic acid 0.5 X 10(-5) M, triamterene 7 X 10(-5) M produced total enzyme inhibition, whereas the metabolites hydroxytriamterene and the sulphate ester of hydroxytriamterene were less effective inhibitors; at their maximum attainable concentration of 5 X 10(-5) M, dihydrofolate reductase was inhibited by 80% and 50%, respectively. Cultures of the BJAB-B95-8 human lymphoma cell line were incubated with various concentrations of triamterene. Because of their increased specific activity of dihydrofolate reductase, the cells were able to maintain normal DNA metabolism, as measured by the ratio of the incorporation rates of 3H-deoxyuridine and 3H-thymidine, as well as normal cell growth at 1 X 10(-6) M, and in some cases at 1 X 10(-5) M triamterene. At 8 X 10(-5) M triamterene, the strong inhibitory effect caused severe impairment of DNA metabolism and subsequently dissolution of the cell culture. The results are discussed in relation to the possible toxic side effects of long-term triamterene treatment in patients suffering from alcoholic cirrhosis, who may have impaired metabolism of triamterene and a concomitant severe folate deficiency.","['Schalhorn, A', 'Siegert, W', 'Sauer, H J']","['Schalhorn A', 'Siegert W', 'Sauer HJ']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Eur J Clin Pharmacol,European journal of clinical pharmacology,1256165,"['0 (DNA, Neoplasm)', '0 (Folic Acid Antagonists)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'WS821Z52LQ (Triamterene)']",IM,"['Burkitt Lymphoma/*drug therapy/enzymology', 'Cell Line', 'DNA, Neoplasm/metabolism', '*Folic Acid Antagonists', 'Humans', 'Leukemia', 'Leukocytes/*drug effects/enzymology', 'Tetrahydrofolate Dehydrogenase/blood', 'Triamterene/*pharmacology']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1007/BF00544601 [doi]'],ppublish,Eur J Clin Pharmacol. 1981;20(3):219-24. doi: 10.1007/BF00544601.,,,,,,,,,
7285963,NLM,MEDLINE,19811221,20131121,0171-9335 (Print) 0171-9335 (Linking),25,1,1981 Aug,Galactosyl specific receptor on liver cells: binding site for tumor cells.,95-102,"In this paper the recognition of various rat tumor cells by rat liver cells is demonstrated in vitro. A liver cell receptor involved in the binding process has been identified. The ultrastructure of the cell contacts was examined by transmission electron microscopy. Hepatocytes and Kupffer cells were isolated from rat liver by collagenase treatment and cell adhesion tests were performed with 4 different tumor cells types. Hepatocytes were found to bind Walker sarcoma cells, lymphoma cells and Yoshida hepatoma cells but not leukemia 5222 cells. Kupffer cells bound all tumor cell types. Normal blood cells were not bound under the same conditions. Recognition of tumor cells by hepatocytes was mediated by a galactose specific lectin on the liver cell surface as shown by hapten inhibition experiments with specific saccharides. Although Kupffer cells express a similar lectin-like receptor adhesion of tumor cells could not or only slightly be inhibited by galactose or related saccharides. It is concluded that the spontaneous adhesion of tumor cells to liver cells in vitro is a specific recognition event which in part is mediated by lectin-carbohydrate interactions.","['Schlepper-Schafer, J', 'Friedrich, E', 'Kolb, H']","['Schlepper-Schafer J', 'Friedrich E', 'Kolb H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Eur J Cell Biol,European journal of cell biology,7906240,"['0 (Receptors, Mitogen)', 'X2RN3Q8DNE (Galactose)']",IM,"['Animals', 'Cell Adhesion', 'Galactose', 'Intercellular Junctions/ultrastructure', 'Kupffer Cells/cytology', 'Liver/*cytology/metabolism', 'Male', 'Microscopy, Electron', 'Neoplasms, Experimental/*pathology', 'Rats', 'Rats, Inbred Strains', 'Receptors, Mitogen/*metabolism']",1981/08/01 00:00,1981/08/01 00:01,['1981/08/01 00:00'],"['1981/08/01 00:00 [pubmed]', '1981/08/01 00:01 [medline]', '1981/08/01 00:00 [entrez]']",,ppublish,Eur J Cell Biol. 1981 Aug;25(1):95-102.,,,,,,,,,
7285326,NLM,MEDLINE,19811215,20190722,0009-9147 (Print) 0009-9147 (Linking),27,10,1981 Oct,Plasma lipid-bound sialic acid and carcinoembryonic antigen in cancer patients.,1737-9,"We evaluated lipid-bound sialic acid as a ""marker"" in cancer patients and assessed the individual and combined value of lipid-bound sialic acid and carcinoembryonic antigen determinations in these patients. Plasma was sampled from 62 normal subjects and 125 cancer patients. Lipid-bound sialic acid was determined by the resorcinol method after total lipid extraction and isolation of the sialolipid fraction from plasma. Neither marker was increased in many breast cancer patients. Carcinoembryonic antigen was increased more commonly and to a greater degree in colon cancer patients and seems to be the preferred marker. Both markers were increased in lung cancer patients and their combined evaluation improved the rate of detection. Lipid-bound sialic acid was increased in more patients with leukemias, lymphomas, Hodgkin's disease, and melanomas, suggesting that it may be a useful biochemical marker in these types of cancer.","['Dnistrian, A M', 'Schwartz, M K']","['Dnistrian AM', 'Schwartz MK']",['eng'],['Journal Article'],England,Clin Chem,Clinical chemistry,9421549,"['0 (Carcinoembryonic Antigen)', '0 (Lipids)', '0 (Sialic Acids)']",IM,"['Breast Neoplasms/blood', 'Carcinoembryonic Antigen/*analysis', 'Colonic Neoplasms/blood', 'Hodgkin Disease/blood', 'Humans', 'Leukemia/blood', 'Lipids/*blood', 'Lung Neoplasms/blood', 'Lymphoma/blood', 'Melanoma/blood', 'Methods', 'Neoplasms/*blood', 'Sialic Acids/*blood']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",,ppublish,Clin Chem. 1981 Oct;27(10):1737-9.,,,,,,,,,
7285324,NLM,MEDLINE,19811215,20190722,0009-9147 (Print) 0009-9147 (Linking),27,10,1981 Oct,Increased inactive creatine kinase B protein in the plasma of patients with malignancy.,1724-8,"Using a specific radioimmunoassay for enzymically inactive creatine kinase (EC 2.7.3.2) B protein (CK-Bi), we studied 139 patients with various malignancies. We found it to be increased in certain adenocarcinomas, including colorectal, lung, and prostate, as has also been reported for enzymically active CK-BB. Of 15 patients with leukemia or lymphomas with active disease, 12 also had increased values for CK-Bi in plasma. In these patients, concentrations of CK-Bi in plasma tended to correlate with disease activity, increasing with aggressive malignancy and decreasing on successful treatment. Thus, measurement of CK-Bi may constitute a sensitive means for detecting malignancy and, in certain subsets of patients, for monitoring therapeutic response.","['Burnam, M H', 'Barstis, J L', 'Stern, C S', 'Rose, D M', 'Crouch, M A', 'Haskell, C M', 'Singh, B N']","['Burnam MH', 'Barstis JL', 'Stern CS', 'Rose DM', 'Crouch MA', 'Haskell CM', 'Singh BN']",['eng'],['Journal Article'],England,Clin Chem,Clinical chemistry,9421549,"['0 (Isoenzymes)', 'EC 2.7.3.2 (Creatine Kinase)']",IM,"['Adenocarcinoma/enzymology', 'Adult', 'Aged', 'Creatine Kinase/*blood', 'Female', 'Humans', 'Isoenzymes', 'Leukemia/enzymology', 'Lymphoma/enzymology', 'Male', 'Middle Aged', 'Neoplasms/*enzymology', 'Radioimmunoassay']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",,ppublish,Clin Chem. 1981 Oct;27(10):1724-8.,,,,,,,,,
7285236,NLM,MEDLINE,19811215,20190825,0009-2797 (Print) 0009-2797 (Linking),36,3,1981 Sep,Ellipticines and human liver microsomes: spectral interaction with cytochrome P-450 and hydroxylation. Inhibition of aryl hydrocarbon metabolism and mutagenicity.,299-309,"Some pharmacological properties of ellipticine (E) and its derivatives linked to their interaction with cytochrome P-450 have been investigated with human liver microsomes. 9-Hydroxyellipticine (9-OHE) interacts with human liver cytochrome P-450 exhibiting a type II spectrum (lambda max: 428 nm, Ks = 1.1 microM). After incubation with human liver microsomes the E was converted to 9-OHE; 7-hydroxyellipticine was not produced. The cytotoxic effect of this biotransformation has been evaluated on leukemic L1210 cells, in vitro, and found to be equal to those elicited by liver microsomes of control or phenobarbital (PB) pretreated rats. Moreover, 9-OHE and 9-fluoroellipticine (9-FE) strongly inhibit the benzo[alpha]pyrene hydroxylase (AHH) activity of human liver microsomes (I50 = 2.6 microM and 1.6 microM, respectively) as well as the mutagenesis induced by the polycyclic aromatic hydrocarbon 2-acetylaminofluorene (AAF); 1 microgram/plate of each of these compounds is able to inhibit by more than 50% the mutagenicity of 5 microgram/plate AAF.","['Lesca, P', 'Beaune, P', 'Monsarrat, B']","['Lesca P', 'Beaune P', 'Monsarrat B']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Ireland,Chem Biol Interact,Chemico-biological interactions,0227276,"['0 (Alkaloids)', '0 (Ellipticines)', '9035-51-2 (Cytochrome P-450 Enzyme System)', '9G4A3ET6XG (9-hydroxyellipticine)', '9M98QLJ2DL (2-Acetylaminofluorene)', 'EC 1.14.14.- (Benzopyrene Hydroxylase)', 'EC 1.14.14.1 (Aryl Hydrocarbon Hydroxylases)']",IM,"['2-Acetylaminofluorene/pharmacology', 'Adult', 'Alkaloids/*pharmacology', 'Animals', 'Aryl Hydrocarbon Hydroxylases/*antagonists & inhibitors', 'Benzopyrene Hydroxylase/*antagonists & inhibitors', 'Cell Survival/drug effects', 'Cytochrome P-450 Enzyme System/*metabolism', 'Ellipticines/metabolism/*pharmacology', 'Humans', 'In Vitro Techniques', 'Leukemia L1210/drug therapy', 'Male', 'Mice', 'Microsomes, Liver/*drug effects/metabolism', 'Mutation']",1981/09/01 00:00,1981/09/01 00:01,['1981/09/01 00:00'],"['1981/09/01 00:00 [pubmed]', '1981/09/01 00:01 [medline]', '1981/09/01 00:00 [entrez]']","['0009-2797(81)90073-9 [pii]', '10.1016/0009-2797(81)90073-9 [doi]']",ppublish,Chem Biol Interact. 1981 Sep;36(3):299-309. doi: 10.1016/0009-2797(81)90073-9.,,,,,,,,,
7285012,NLM,MEDLINE,19811222,20131121,0008-5472 (Print) 0008-5472 (Linking),41,10,1981 Oct,"Comparison of lipid composition and 1,6-diphenyl-1,3,5-hexatriene fluorescence polarization measurements of hairy cells with monocytes and lymphocytes from normal subjects and patients with chronic lymphocytic leukemia.",4050-6,"In this report, we compare the lipid composition and fluorescence polarization properties of hairy cells with those of monocytes and lymphocytes from normal subjects and of lymphocytes from patients with chronic lymphocytic leukemia. For hairy cells, the cholesterol content was 4.66 +/- 1.49 (S.D.) mumol/10(9) cells, and the cholesterol/phospholipid ratio was 0.60 +/- 0.09. These were significantly higher than the values of normal lymphocytes, (cholesterol content, 2.75 +/- 0.65 mumol; cholesterol/phospholipid ratio, 0.50 +/- 0.07) or of chronic lymphocytic leukemia lymphocytes (cholesterol content, 1.76 +/- 0.43 mumol; cholesterol/phospholipid ratio, 0.44 +/- 0.07). Normal monocyte values (cholesterol content, 5.81 +/- 2.08 mumol; cholesterol/phospholipid ratio, 0.59 +/- 0.06) were similar to those of hairy cells. Using the probe 1,6-diphenyl-1,3,5-hexatriene, the fluorescence polarization value at 25 degrees for hairy cells was 0.302, compared to the value of 0.259 obtained with chronic lymphocytic leukemia lymphocytes. Intermediate values (0.294) were obtained with normal lymphocytes and monocytes. Fluorescence polarization values were higher in hairy cell membranes than in chronic lymphocytic leukemia lymphocyte membranes, indicating a low fluidity in the former cell, compatible with their higher cholesterol content and cholesterol/phospholipid ratio. These studies show that two neoplastic cells, hairy cells and chronic lymphocytic leukemia lymphocytes, differ markedly in membrane fluidity and that a high membrane fluidity does not necessarily occur in neoplasia.","['Liebes, L F', 'Pelle, E', 'Zucker-Franklin, D', 'Silber, R']","['Liebes LF', 'Pelle E', 'Zucker-Franklin D', 'Silber R']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Lipids)', '0 (Membrane Lipids)', '0 (Phospholipids)', '1720-32-7 (Diphenylhexatriene)', '97C5T2UQ7J (Cholesterol)']",IM,"['Aged', 'Cholesterol/analysis', 'Diphenylhexatriene', 'Fluorescence Polarization', 'Humans', 'Leukemia, Hairy Cell/*metabolism/ultrastructure', 'Leukemia, Lymphoid/*metabolism', 'Lipids/*analysis', 'Lymphocytes/metabolism', 'Male', 'Membrane Fluidity', 'Membrane Lipids/analysis', 'Middle Aged', 'Monocytes/metabolism', 'Phospholipids/analysis']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1981 Oct;41(10):4050-6.,,,,"['AM12274/AM/NIADDK NIH HHS/United States', 'CA11655/CA/NCI NIH HHS/United States']",,,,,
7285008,NLM,MEDLINE,19811222,20071114,0008-5472 (Print) 0008-5472 (Linking),41,10,1981 Oct,Surface membrane antigens of hemopoietic tumor cell lines and normal marrow progenitor cells.,3985-91,"A xenoantiserum raised against a mast cell tumor line (FMP1.1) was found to have cross-reactivity with surface antigens on primitive hemopoietic precursor cells in normal mouse bone marrow: erythroid burst-forming units; granulocyte-macrophage colony-forming cells; and high-proliferative-potential granulocyte-macrophage colony-forming cells. In the presence of anti-FMP1.1 serum and complement, only 15 +/- 2% (S.E.) (n = 5) of normal nucleated marrow cells were lysed, demonstrating that the majority of mature hemopoietic cells did not express the antigens detected on their primitive counterparts. A variety of hemopoietic and other tumor cell lines were examined with anti-FMP1.1 serum, and all B- and pre-B-lymphomas, one plasmacytoma, one mastocytoma, and a monocyte-macrophage line exhibited significant lysis. Direct typing of the FMP1.1 tumor demonstrated that it did not express the B-cell surface antigens such as Ia, surface immunoglobulin, Fc, and complement (C3) receptors. Although the Ly.6 alloantigen was present on FMP1.1 cells, this antigen was not found on marrow erythroid burst-forming units and granulocyte-macrophage colony-forming units. Absorption of anti-FMP1.1 serum with cross-reacting (WEHI-3 and W-279.1) and a nonreacting (P-815) cell line confirmed the specificity of the antiserum reaction with these cells and marrow progenitors. These experiments indicated that more than one antibody is contained in anti-FMP1.1 serum. Thus, the mast cell tumor (FMP1.1) carries an unusual array of antigens, which are found on bone marrow progenitors and are not expressed on the majority of differentiated cells. It has been demonstrated that tumor cell lines provide an important basis for the analysis of surface membrane antigens expressed on normal hemopoietic progenitors.","['Hasthorpe, S', 'Rogerson, J', 'McKenzie, I F']","['Hasthorpe S', 'Rogerson J', 'McKenzie IF']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Antigens, Ly)', '0 (Antigens, Neoplasm)', '0 (Antigens, Surface)']",IM,"['Animals', 'Antigens, Ly/immunology', 'Antigens, Neoplasm/*immunology', 'Antigens, Surface/*immunology', 'Cell Line', 'Cross Reactions', 'Female', 'Hematopoietic Stem Cells/*immunology', 'Leukemia, Experimental/*immunology', 'Mice', 'Mice, Inbred DBA']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1981 Oct;41(10):3985-91.,,,,['CA-22080/CA/NCI NIH HHS/United States'],,,,,
