PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,PMC,TT,OID,OTO,OT,GN
6585581,NLM,MEDLINE,19840608,20041117,0027-8874 (Print) 0027-8874 (Linking),72,5,1984 May,Birth weight and the incidence of childhood cancer.,1039-41,"The relationship of weight at birth to the occurrence of childhood cancer was studied with emphasis on the influence of age at diagnosis. Birth certificates for 681 children with cancer born in Washington State were linked with cancer registry data. Among children diagnosed with cancer during the first several years of life, there was an increased proportion with a high birth weight (greater than 4,000 g). The relationship was strongest for children under 2 years of age; about twice as many of them had high birth weights. However, the relationship was not present at all in those whose cancer was diagnosed at age 4 or older. This excess risk in young children associated with high birth weight was distributed among several types of cancer, including the two most common ones (leukemia and neuroblastoma).","['Daling, J R', 'Starzyk, P', 'Olshan, A F', 'Weiss, N S']","['Daling JR', 'Starzyk P', 'Olshan AF', 'Weiss NS']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,,IM,"['Adolescent', 'Age Factors', 'Birth Order', '*Birth Weight', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Infant, Postmature', 'Male', 'Maternal Age', 'Neoplasms/*epidemiology/etiology', 'Neoplasms, Radiation-Induced/epidemiology', 'Pregnancy', 'Pregnancy in Diabetics']",1984/05/01 00:00,1984/05/01 00:01,['1984/05/01 00:00'],"['1984/05/01 00:00 [pubmed]', '1984/05/01 00:01 [medline]', '1984/05/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1984 May;72(5):1039-41.,,,,,,,
6585574,NLM,MEDLINE,19840606,20131121,0021-4949 (Print) 0021-4949 (Linking),30,3,1984 Mar,[Central nervous system involvement in adult acute leukemia].,221-5,"Central nervous system (CNS) involvement was present in 16 of 59 (27%) adults with leukemia, i.e. in 13 of 40 (33%) with AML, of 3 (33%) with AMoL, and 2 of 8 (25%) with ALL. CNS leukemia was found at the time of diagnosis in 2 patients, during induction therapy in 2 patients, early in remission in 2 patients, during remission in patients, and at relapse in 4 patients. Fifteen of the 16 patients responded to intrathecal methotrexate, cytosine arabinoside or cranial irradiation. Only patients developed CNS relapse. CNS leukemia had no effect on survival. In 3 of 5 patients without CNS prophylaxis, the onset of neurologic manifestations was observed within one year of remission, whereas it was delayed for more than one year in all patients who had received prophylactic intrathecal methotrexate.","['Sasaki, H', 'Maekawa, I', 'Kawamura, S', 'Miyake, T']","['Sasaki H', 'Maekawa I', 'Kawamura S', 'Miyake T']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Gan No Rinsho,Gan no rinsho. Japan journal of cancer clinics,1257753,"['04079A1RDZ (Cytarabine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Acute Disease', 'Adult', 'Aged', 'Brain Neoplasms/drug therapy/*pathology/radiotherapy', 'Combined Modality Therapy', 'Cytarabine/administration & dosage', 'Female', 'Humans', 'Leukemia/drug therapy/*pathology/radiotherapy', 'Leukemia, Lymphoid/drug therapy/pathology/radiotherapy', 'Leukemia, Myeloid, Acute/drug therapy/pathology/radiotherapy', 'Male', 'Methotrexate/administration & dosage', 'Middle Aged']",1984/03/01 00:00,1984/03/01 00:01,['1984/03/01 00:00'],"['1984/03/01 00:00 [pubmed]', '1984/03/01 00:01 [medline]', '1984/03/01 00:00 [entrez]']",,ppublish,Gan No Rinsho. 1984 Mar;30(3):221-5.,,,,,,,
6585572,NLM,MEDLINE,19840612,20071115,0022-4782 (Print) 0022-4782 (Linking),16,2,1984 Apr,Transmission and scanning electron microscopy findings in 37 patients with monocytic leukemia.,371-7,"The ultrastructural features of the monocytic blast cells of 37 patients with M4 and M5 types of leukemia were examined with transmission (TEM) and scanning (SEM) electron microscopes. The cells showed a large variety in nuclear size and shape, dependent on the stage of cell differentiation. Nuclear pockets, appendices and bridges were observed. The cytoplasm contained perinuclearly located fibrils, occasionally elongated mitochondria and Auer bodies. The surface ultrastructure of the cells was similar to that of healthy monocytes, but often numerous blebs were observed.","['Djaldetti, M', 'Perek, J', 'Mittelman, M', 'Eisbruch, A', 'Hart, J']","['Djaldetti M', 'Perek J', 'Mittelman M', 'Eisbruch A', 'Hart J']",['eng'],['Journal Article'],Italy,J Submicrosc Cytol,Journal of submicroscopic cytology,0235232,,IM,"['Adult', 'Aged', 'Cell Membrane/ultrastructure', 'Cell Nucleus/ultrastructure', 'Female', 'Humans', 'Leukemia, Myeloid/*pathology', 'Male', 'Microscopy, Electron', 'Microscopy, Electron, Scanning', 'Middle Aged', 'Monocytes/ultrastructure', 'Organoids/ultrastructure']",1984/04/01 00:00,1984/04/01 00:01,['1984/04/01 00:00'],"['1984/04/01 00:00 [pubmed]', '1984/04/01 00:01 [medline]', '1984/04/01 00:00 [entrez]']",,ppublish,J Submicrosc Cytol. 1984 Apr;16(2):371-7.,,,,,,,
6585550,NLM,MEDLINE,19840618,20190709,0022-2623 (Print) 0022-2623 (Linking),27,5,1984 May,Methotrexate analogues. 21. Divergent influence of alkyl chain length on the dihydrofolate reductase affinity and cytotoxicity of methotrexate monoesters.,605-9,"n-Octyl, n-dodecyl, and n-hexadecyl alpha- and gamma-esters of methotrexate (MTX) were compared with the previously described alpha- and gamma-n-butyl esters and with MTX as inhibitors of dihydrofolate reductase (DHFR) and human leukemic lymphoblasts (CEM cells) in culture. The overall order of activity in both test systems was MTX greater than MTX gamma-esters greater than MTX alpha-esters. In the DHFR assay the activity of the alpha-esters followed the order C4 greater than C8 congruent to C12 greater than C16, whereas for the gamma-esters this order was C4 congruent to C8 greater than C12 greater than C16. On the other hand, the order of cytotoxic activity in culture in both series was C16 greater than C12 greater than C8 greater than C4. Increasing the alkyl chain length in the ester moiety therefore decreases DHFR affinity but increases cytotoxicity. The most potent member of the compounds tested was the gamma-n-hexadecyl ester, whose IC50 against CEM cells was 0.11 microM as compared with 0.025 microM for MTX. In a comparison of the effect of treatment with the gamma-n-hexadecyl ester (10(-5) M, 1 h) on DNA synthesis in CEM and CEM/MTX cells, the latter of which are 120-fold resistant to MTX by virtue of a transport defect, the ester produced only 4-fold less inhibition in the resistant line than in the parental line. These results suggest possible use of this compound or related derivatives in the treatment of MTX-resistant tumors with impaired transport.","['Rosowsky, A', 'Forsch, R A', 'Yu, C S', 'Lazarus, H', 'Beardsley, G P']","['Rosowsky A', 'Forsch RA', 'Yu CS', 'Lazarus H', 'Beardsley GP']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Folic Acid Antagonists)', '0 (Indicators and Reagents)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Cattle', 'Cell Line', 'DNA Replication/drug effects', 'Drug Evaluation, Preclinical', '*Folic Acid Antagonists', 'Humans', 'Indicators and Reagents', 'Leukemia, Lymphoid/physiopathology', 'Liver/enzymology', 'Methotrexate/*analogs & derivatives/chemical synthesis/toxicity', 'Structure-Activity Relationship']",1984/05/01 00:00,1984/05/01 00:01,['1984/05/01 00:00'],"['1984/05/01 00:00 [pubmed]', '1984/05/01 00:01 [medline]', '1984/05/01 00:00 [entrez]']",['10.1021/jm00371a009 [doi]'],ppublish,J Med Chem. 1984 May;27(5):605-9. doi: 10.1021/jm00371a009.,"['CA 18662/CA/NCI NIH HHS/United States', 'CA 19589/CA/NCI NIH HHS/United States', 'CA 25394/CA/NCI NIH HHS/United States']",,,,,,
6585487,NLM,MEDLINE,19840611,20041117,0361-0489 (Print) 0361-0489 (Linking),16,,1984,The relationship of excessive white cell accumulation to vascular insufficiency in patients with leukemia.,295-306,,"['Lichtman, M A']",['Lichtman MA'],['eng'],['Journal Article'],United States,Kroc Found Ser,Kroc Foundation series,7611160,,IM,"['Blood Viscosity', 'Erythrocyte Count', 'Humans', 'Leukemia/complications/*physiopathology', 'Leukocyte Count', 'Leukocytes/cytology/*physiology', 'Microcirculation', 'Rheology', 'Syndrome', 'Vascular Diseases/etiology/*physiopathology']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",,ppublish,Kroc Found Ser. 1984;16:295-306.,,,,,,,
6585449,NLM,MEDLINE,19840606,20190516,0741-5400 (Print) 0741-5400 (Linking),35,5,1984 May,Stimulation of diploid fibroblast growth with serum-free medium conditioned by mezerein-treated monocytic leukemia cells.,489-500,"Medium conditioned by mezerein-treated human acute monocytic leukemia cells (THP-1) stimulated human fibroblast replication. Maximum mitogenic activity was elaborated by THP-1 cells with a 24-hr incubation in 10(-7) M mezerein (activator phase) followed by a 36-hr incubation in insulin-supplemented serum-free Roswell Park Memorial Institute (RPMI)-1640 medium (effector phase). Growth stimulation was not due to the presence of residual mezerein. We previously reported that leukemia cells also produced a growth inhibitor. Fibroblast stimulation was resolved by isoelectrofocusing into several active fractions separate from the growth inhibitory activity for malignant mammary cells. Conditioned medium was mitogenic for fibroblasts in the presence of high concentrations of fetal bovine and human whole blood sera. Growth stimulation was observed in plasma-derived serum only when supplemented with exogenous platelet-derived growth factor. Thus, this THP-1 cell product does not fulfill the role of a competence factor.","['Gaffney, E V', 'Tsai, S C', 'Lingenfelter, S E', ""Dell'Aquila, M L"", 'Gonda, J E']","['Gaffney EV', 'Tsai SC', 'Lingenfelter SE', ""Dell'Aquila ML"", 'Gonda JE']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Leukoc Biol,Journal of leukocyte biology,8405628,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Diterpenes)', '0 (Growth Substances)', '0 (Phorbol Esters)', '0 (Phorbols)', '0 (Platelet-Derived Growth Factor)', '0 (Terpenes)', '34807-41-5 (mezerein)']",IM,"['Antineoplastic Agents, Phytogenic/*pharmacology', 'Breast Neoplasms/physiopathology', 'Cell Division/*drug effects', 'Cell Line', 'Diploidy', '*Diterpenes', 'Fibroblasts/drug effects/physiology', '*Growth Substances', 'Humans', 'Kinetics', 'Leukemia, Monocytic, Acute/*physiopathology', 'Lung/embryology', 'Phorbol Esters/*pharmacology', 'Phorbols/*pharmacology', 'Platelet-Derived Growth Factor/pharmacology', '*Terpenes']",1984/05/01 00:00,1984/05/01 00:01,['1984/05/01 00:00'],"['1984/05/01 00:00 [pubmed]', '1984/05/01 00:01 [medline]', '1984/05/01 00:00 [entrez]']",['10.1002/jlb.35.5.489 [doi]'],ppublish,J Leukoc Biol. 1984 May;35(5):489-500. doi: 10.1002/jlb.35.5.489.,"['CA 30284/CA/NCI NIH HHS/United States', 'CA 33637/CA/NCI NIH HHS/United States']",,,,,,
6585426,NLM,MEDLINE,19840607,20071115,0737-1454 (Print) 0737-1454 (Linking),1,1,1983 Apr,Expression of MY7 antigen on myeloid precursor cells.,33-48,"A murine monoclonal antibody (anti-MY7) has been developed that detects an antigen expressed by 6% of normal human bone marrow cells, including approximately 40% of myeloid colony-forming cells (CFU-C). The number of bone marrow cells and CFU-C expressing MY7 is significantly increased in regenerating bone marrow, but less than 5% of peripheral blood CFU-C express the MY7 antigen. Erythroid precursors are MY7 negative from peripheral blood and bone marrow. Thymidine suicide studies indicate that CFU-C in S-phase tend to be MY7 positive while CFU-C not in S-phase are MY7 negative. MY7 expression thus appears to identify a fraction of CFU-C that is actively proliferating.","['Griffin, J D', 'Ritz, J', 'Beveridge, R P', 'Lipton, J M', 'Daley, J F', 'Schlossman, S F']","['Griffin JD', 'Ritz J', 'Beveridge RP', 'Lipton JM', 'Daley JF', 'Schlossman SF']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Int J Cell Cloning,International journal of cell cloning,8308172,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Surface)', '9007-49-2 (DNA)']",IM,"['Antibodies, Monoclonal', 'Antigens, Surface/*analysis', 'Bone Marrow/physiology', 'Bone Marrow Cells', 'Cell Cycle', 'DNA/biosynthesis', 'Erythrocytes/immunology', 'Granulocytes/*immunology', 'Hematopoietic Stem Cells/cytology/*immunology/metabolism', 'Humans', 'Leukemia, Lymphoid/blood', 'Monocytes/*immunology', 'Regeneration']",1983/04/01 00:00,1983/04/01 00:01,['1983/04/01 00:00'],"['1983/04/01 00:00 [pubmed]', '1983/04/01 00:01 [medline]', '1983/04/01 00:00 [entrez]']",['10.1002/stem.5530010106 [doi]'],ppublish,Int J Cell Cloning. 1983 Apr;1(1):33-48. doi: 10.1002/stem.5530010106.,"['CA-09172/CA/NCI NIH HHS/United States', 'CA-19589/CA/NCI NIH HHS/United States', 'CA-25369/CA/NCI NIH HHS/United States', 'etc.']",,,,,,
6585365,NLM,MEDLINE,19840614,20210210,0021-9258 (Print) 0021-9258 (Linking),259,9,1984 May 10,Monoclonal antibody specific for lactosylceramide.,6008-12,"The mouse hybridoma line T5A7 was derived during studies aimed at mapping human myeloid differentiation antigens. The IgM antibody secreted by this line recognizes an antigen richly expressed on mature myelomonocytic cells and on a subpopulation of lectin-activated human T-lymphocytes (Andrews, R. G., Torok-Storb, B., and Bernstein, I. D. (1983) Blood 62, 124-132). In the present study, we have determined the specificity of T5A7 antibody to be directed to lactosylceramide (Gal beta 1----4Glc beta 1----1 Cer) based on direct and indirect binding assays using a variety of glycolipids with known structures. The antibody did not cross-react with glycolipids having an N-acetyllactosamine terminus, including lactoneotetraosylceramide lactonorhexaosylceramide (i antigen), and lactoisooctaosylceramide (I antigen). The possible contribution of ceramide to the reactivity of lactosylceramide with this antibody was also studied using lactosylceramide preparations having different fatty acid composition.","['Symington, F W', 'Bernstein, I D', 'Hakomori, S']","['Symington FW', 'Bernstein ID', 'Hakomori S']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Antibodies, Monoclonal)', '0 (Antigen-Antibody Complex)', '0 (Antigens, CD)', '0 (Carbohydrates)', '0 (Glycolipids)', '0 (Glycosphingolipids)', '0 (Lactosylceramides)', '4682-48-8 (CDw17 antigen)']",IM,"['Animals', '*Antibodies, Monoclonal', 'Antigen-Antibody Complex', '*Antigens, CD', 'Carbohydrates', 'Cell Line', 'Glycolipids/isolation & purification', 'Glycosphingolipids/*analysis', 'Humans', 'Hybridomas/immunology', '*Lactosylceramides', 'Leukemia, Myeloid, Acute', 'Mice', 'Radioimmunoassay']",1984/05/10 00:00,1984/05/10 00:01,['1984/05/10 00:00'],"['1984/05/10 00:00 [pubmed]', '1984/05/10 00:01 [medline]', '1984/05/10 00:00 [entrez]']",['S0021-9258(18)91114-2 [pii]'],ppublish,J Biol Chem. 1984 May 10;259(9):6008-12.,"['1F32CA07461-01/CA/NCI NIH HHS/United States', 'AM HL 31232/AM/NIADDK NIH HHS/United States', 'GM23100/GM/NIGMS NIH HHS/United States']",,,,,,
6585355,NLM,MEDLINE,19840618,20191031,0146-0862 (Print) 0146-0862 (Linking),7,1,1984,Understanding leukemic children's coping behavior within the family context: two case presentations.,45-57,,"['Fife, B L', 'Lancaster, W']","['Fife BL', 'Lancaster W']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Issues Compr Pediatr Nurs,Issues in comprehensive pediatric nursing,7702326,,,"['*Adaptation, Psychological', 'Adolescent', 'Adult', 'Child', 'Child Behavior Disorders/psychology', '*Family', 'Female', 'Humans', 'Leukemia, Lymphoid/*psychology', 'Male', 'Parent-Child Relations', 'Professional-Family Relations', 'Sibling Relations']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",['10.3109/01460868409009764 [doi]'],ppublish,Issues Compr Pediatr Nurs. 1984;7(1):45-57. doi: 10.3109/01460868409009764.,['R01-NU00784-02/NU/BHP HRSA HHS/United States'],,,,,,
6585352,NLM,MEDLINE,19840601,20061115,0250-0868 (Print) 0250-0868 (Linking),6,1,1984,Interferon-induced changes in the susceptibility of murine and human lymphoma cells to natural cytotoxic lymphocytes.,35-41,"Mouse YAC-1 and human K562 leukemic cells were treated in vitro with fibroblast interferon (IF) and tested for their susceptibility to NK effector lymphocytes. In both cases a decrease in target susceptibility was induced by the IF treatment. ""Cold"" competition experiments confirmed that loss or masking of NK target structures occurred in IF-pretreated cells. In fact, when radio-labeled untreated cells were used as targets, IF-pretreated leukemias produced inhibitory effects lower than those mediated by intact cells. However when IF-pretreated targets were used, cold cells either intact or preincubated with IF gave similar competitive effects. These data suggest that IF modulates differentially distinct subsets of NK target structures.","['Giuliani-Bonmassar, A', 'Graziani, G', 'Frati, L', 'Bonmassar, E']","['Giuliani-Bonmassar A', 'Graziani G', 'Frati L', 'Bonmassar E']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Int J Tissue React,International journal of tissue reactions,8302116,['0 (Interferon Type I)'],IM,"['Animals', 'Cell Line', 'Cytotoxicity, Immunologic/*drug effects', 'Dose-Response Relationship, Drug', 'Humans', 'Interferon Type I/*pharmacology', 'Killer Cells, Natural/*drug effects', 'Leukemia, Erythroblastic, Acute/immunology', 'Leukemia, Experimental/immunology', 'Lymphoma/*immunology', 'Male', 'Mice', 'Mice, Inbred BALB C']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",,ppublish,Int J Tissue React. 1984;6(1):35-41.,,,,,,,
6585349,NLM,MEDLINE,19840605,20131121,0971-5916 (Print) 0971-5916 (Linking),78,,1983 Sep,Red cell enzymes in acute leukemia in relapse & remission.,377-83,,"['Kochupillai, V', 'Scott, C W', 'Moreno, H', 'Gams, R A']","['Kochupillai V', 'Scott CW', 'Moreno H', 'Gams RA']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",India,Indian J Med Res,The Indian journal of medical research,0374701,"['EC 1.8.1.7 (Glutathione Reductase)', 'EC 2.7.1.1 (Hexokinase)', 'EC 2.7.1.40 (Pyruvate Kinase)', 'GAN16C9B8O (Glutathione)']",IM,"['Adult', 'Child', 'Erythrocytes/*enzymology', 'Glucosephosphate Dehydrogenase Deficiency/blood', 'Glutathione/blood', 'Glutathione Reductase/blood', 'Hexokinase/blood', 'Humans', 'Leukemia, Lymphoid/*enzymology', 'Leukemia, Myeloid, Acute/*enzymology', 'Pyruvate Kinase/blood/deficiency', 'Recurrence']",1983/09/01 00:00,1983/09/01 00:01,['1983/09/01 00:00'],"['1983/09/01 00:00 [pubmed]', '1983/09/01 00:01 [medline]', '1983/09/01 00:00 [entrez]']",,ppublish,Indian J Med Res. 1983 Sep;78:377-83.,['5 PO2-CA-13148/CA/NCI NIH HHS/United States'],,,,,,
6585345,NLM,MEDLINE,19840530,20200304,0340-6717 (Print) 0340-6717 (Linking),66,2-3,1984,Synchronization of human leukemic cells: relevance for high-resolution chromosome banding.,220-4,"The cell-cycle kinetics of synchronized K562 human leukemic cells and bone marrow cells from adults with acute leukemia were studied in order to develop more reliable methods for producing increased numbers of mitoses, particularly those with elongated chromosomes suitable for high-resolution banding. Parameters examined included DNA content, mitotic index (MI), and chromosome preparations. K562 cells synchronized with methotrexate (MTX), thymidine (Tdr), or hydroxyurea (HU) showed two-fold increases in peak MI. Optimal harvesting times after release from block were approximately 10.5, 12.5, and 14.5 h for MTX, HU, and Tdr, respectively. MTX was selected for studies with cells from patients. Cells from 7 of the 10 patients studied showed 4.4-fold increases in peak MI. The optimal harvesting time was 9.5 to 11.5 h after release from block, considerably later than the 6 h time previously assumed in studies using stimulated lymphocytes. Cells from the three remaining patients showed no increase in MI after synchronization; and the lack of response may have been related to the high proportion of cells in G0+G1 prior to MTX exposure. For both the K562 cell line and most patient specimens, the combination of synchronization with appropriate release times and short Colcemid exposure (10 min) resulted in substantially improved chromosome preparations.","['Gallo, J H', 'Ordonez, J V', 'Brown, G E', 'Testa, J R']","['Gallo JH', 'Ordonez JV', 'Brown GE', 'Testa JR']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Hum Genet,Human genetics,7613873,"['0 (DNA, Neoplasm)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adult', 'Bone Marrow/pathology/ultrastructure', 'Cell Count', 'Cell Cycle/*drug effects', 'Cells, Cultured', 'Chromosome Banding/*methods', 'DNA, Neoplasm/analysis', 'Humans', 'Karyotyping', 'Kinetics', 'Leukemia, Myeloid/genetics/*pathology', 'Methotrexate/pharmacology', 'Mitotic Index']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",['10.1007/BF00286605 [doi]'],ppublish,Hum Genet. 1984;66(2-3):220-4. doi: 10.1007/BF00286605.,,,,,,,
6585301,NLM,MEDLINE,19840605,20190707,0014-4827 (Print) 0014-4827 (Linking),152,1,1984 May,Co-expression of spectrin and fodrin in Friend erythroleukemic cells treated with DMSO.,15-21,"Friend erythroleukemic cells can be used as a model of erythroid cell differentiation with the synthesis of the erythrocyte-specific products hemoglobin and spectrin stimulated by agents such as DMSO. In the present study we investigated the expression of both erythroid spectrin and non-erythroid fodrin in uninduced and DMSO-treated Friend cells. We report that both spectrin and fodrin co-exist at low levels in uninduced Friend cells and both are induced by treatment with DMSO. After longer times both spectrin and fodrin appear to undergo rearrangements into submembranous 'patches' and 'caps'. Although both molecules co-localize in most of these cells, they can be independently immunoprecipitated, suggesting that significant amounts of hybrid molecules are not formed.","['Glenney, J', 'Glenney, P']","['Glenney J', 'Glenney P']",['eng'],['Journal Article'],United States,Exp Cell Res,Experimental cell research,0373226,"['0 (Carrier Proteins)', '0 (Microfilament Proteins)', '0 (fodrin)', '12634-43-4 (Spectrin)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Animals', 'Carrier Proteins/analysis/*biosynthesis', 'Cell Line', 'Cell Membrane/analysis', 'Cell Transformation, Viral', 'Dimethyl Sulfoxide/*pharmacology', 'Friend murine leukemia virus/physiology', 'Leukemia, Erythroblastic, Acute/*metabolism', 'Mice', '*Microfilament Proteins', 'Spectrin/analysis/*biosynthesis']",1984/05/01 00:00,1984/05/01 00:01,['1984/05/01 00:00'],"['1984/05/01 00:00 [pubmed]', '1984/05/01 00:01 [medline]', '1984/05/01 00:00 [entrez]']","['0014-4827(84)90225-8 [pii]', '10.1016/0014-4827(84)90225-8 [doi]']",ppublish,Exp Cell Res. 1984 May;152(1):15-21. doi: 10.1016/0014-4827(84)90225-8.,,,,,,,
6585298,NLM,MEDLINE,19840611,20190813,0340-6199 (Print) 0340-6199 (Linking),142,1,1984 Apr,Pigmented naevi after therapy of leukaemia (ALL) in a monozygotic twin.,70,,"['Heyne, K', 'Hof, M', 'Hansen, H G']","['Heyne K', 'Hof M', 'Hansen HG']",['eng'],"['Case Reports', 'Letter']",Germany,Eur J Pediatr,European journal of pediatrics,7603873,,IM,"['Antineoplastic Combined Chemotherapy Protocols/adverse effects', 'Child, Preschool', '*Diseases in Twins', 'Female', 'Humans', 'Leukemia, Lymphoid/*drug therapy/genetics', 'Male', 'Nevus, Pigmented/*chemically induced/genetics', 'Pregnancy', '*Twins', '*Twins, Monozygotic']",1984/04/01 00:00,1984/04/01 00:01,['1984/04/01 00:00'],"['1984/04/01 00:00 [pubmed]', '1984/04/01 00:01 [medline]', '1984/04/01 00:00 [entrez]']",['10.1007/BF00442597 [doi]'],ppublish,Eur J Pediatr. 1984 Apr;142(1):70. doi: 10.1007/BF00442597.,,,,,,,
6585277,NLM,MEDLINE,19840618,20190722,0009-9147 (Print) 0009-9147 (Linking),30,5,1984 May,Increased prostate-type acid phosphatase activity in serum and typical bone lesions simulating the presence of prostatic carcinoma.,803-4,"In a man with myelomonocytic leukemia, the association of increased prostatic acid phosphatase activity in serum and the presence of typical bone lesions on roentgenography suggested the existence of disseminated prostatic carcinoma. During the clinical observation period, however, prostatic involvement could not be proved. Moreover, bone pain and prostatic-type acid phosphatase activity in serum closely paralleled monocyte counts and the degree of hepatosplenomegaly and leukemic skin lesions. Finally, meticulous postmortem examination of the prostate showed no prostatic carcinoma. This clinical picture appears to be entirely explicable in terms of leukemic organ infiltration and the proliferation of monocytes, which are known to contain acid phosphatase isoenzymes like those in the prostate.","['Peters, O', 'Gorus, F', 'De Boeck, M', 'Dehou, M F', 'Van Camp, B']","['Peters O', 'Gorus F', 'De Boeck M', 'Dehou MF', 'Van Camp B']",['eng'],"['Case Reports', 'Journal Article']",England,Clin Chem,Clinical chemistry,9421549,"['0 (Isoenzymes)', 'EC 3.1.3.2 (Acid Phosphatase)']",IM,"['Acid Phosphatase/*blood', 'Bone and Bones/*pathology', 'Diagnosis, Differential', 'Humans', 'Isoenzymes/*metabolism', 'Leukemia, Myeloid/complications/*enzymology', 'Male', 'Middle Aged', 'Prostatic Neoplasms/complications/*diagnosis/enzymology']",1984/05/01 00:00,1984/05/01 00:01,['1984/05/01 00:00'],"['1984/05/01 00:00 [pubmed]', '1984/05/01 00:01 [medline]', '1984/05/01 00:00 [entrez]']",,ppublish,Clin Chem. 1984 May;30(5):803-4.,,,,,,,
6585269,NLM,MEDLINE,19840601,20151119,0008-5472 (Print) 0008-5472 (Linking),44,5,1984 May,Suppression of cross-link formation in chloroethylnitrosourea-treated DNA by an activity in extracts of human leukemic lymphoblasts.,1887-92,"Pulse treatment of DNA with any of several chloroethylnitrosoureas presently in clinical use leads to formation of monoadducts. Further incubation of these monoadducts in the absence of drug leads to DNA interstrand cross-links; however, this cross-link formation is suppressed by a partially purified extract of cultured human leukemic lymphoblasts. The cross-link-suppressing activity copurifies with O6-methylguanine-DNA methyltransferase, shows similar kinetics for heat inactivation, and shows similar responses to inhibitors. Reactions for both the cross-link-suppressing and methyltransferase activities reach completion within 5 min at 37 degrees, and both are stoichiometric rather than catalytic. These observations indicate that the number of cross-links induced by the chloroethylnitrosoureas and, hence, their cytotoxicity, should be inversely related to O6-methylguanine-DNA methyltransferase content of a cell.","['Brent, T P']",['Brent TP'],['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Antineoplastic Agents)', '0 (DNA, Neoplasm)', '0 (Nitrosourea Compounds)', '2365-30-2 (1-(2-chloroethyl)-1-nitrosourea)', '5Z93L87A1R (Guanine)', '684-93-5 (Methylnitrosourea)', '9B710FV2AE (O-(6)-methylguanine)', 'EC 2.1.1.- (Methyltransferases)', 'EC 2.1.1.63 (O(6)-Methylguanine-DNA Methyltransferase)', 'P8M1T4190R (Ethylnitrosourea)']",IM,"['Antineoplastic Agents/toxicity', 'Cell Line', 'DNA, Neoplasm/*metabolism', 'Ethylnitrosourea/analogs & derivatives/*toxicity', 'Guanine/analogs & derivatives/metabolism', 'Humans', 'Kinetics', 'Leukemia, Lymphoid/*physiopathology', 'Methylnitrosourea/metabolism', 'Methyltransferases/metabolism', 'Nitrosourea Compounds/*toxicity', 'O(6)-Methylguanine-DNA Methyltransferase']",1984/05/01 00:00,1984/05/01 00:01,['1984/05/01 00:00'],"['1984/05/01 00:00 [pubmed]', '1984/05/01 00:01 [medline]', '1984/05/01 00:00 [entrez]']",,ppublish,Cancer Res. 1984 May;44(5):1887-92.,"['CA 14799/CA/NCI NIH HHS/United States', 'CA 21765/CA/NCI NIH HHS/United States']",,,,,,
