PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CI,RF,EIN,TT,PMC,CIN,CON,DEP,SI,CN,RIN,MID,OID,GN,PS,FPS,OTO,OT,OAB,OABL
11601208,NLM,MEDLINE,20011205,20131121,0253-2727 (Print) 0253-2727 (Linking),20,5,1999 May,[Experimental study of cord blood plasma enhancing the anti-leukemia effect of Ara-C].,229-31,"OBJECTIVE: To study the in vitro effect of cord blood plasma(CBP) on the sensitivity of acute myeloid leukemia(AML) cells to cytosine arabinoside (Ara-C). METHODS: Cytotoxicity of Ara-C was detected by MTT assay in twenty-eight patients. RESULTS AND CONCLUSION: The sensitivity of AML cells to Ara-C was heterogeneous, but CBP could significantly enhanced the cytotoxic activity of Ara-C to drug resistant AML cells.","['Zhang, X', 'Chen, Y', 'Wang, X']","['Zhang X', 'Chen Y', 'Wang X']","['Department of Hematology, Nanjing First Hospital, Nanjing Medical University, Nanjing 210006.']",['chi'],,"['English Abstract', 'Journal Article']",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,"['0 (Antimetabolites, Antineoplastic)', '0 (Recombinant Proteins)', '04079A1RDZ (Cytarabine)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,"['Adolescent', 'Adult', 'Antimetabolites, Antineoplastic/*pharmacology', 'Cell Cycle', 'Cytarabine/*pharmacology', 'Drug Resistance, Neoplasm', 'Female', '*Fetal Blood', 'Granulocyte-Macrophage Colony-Stimulating Factor/*pharmacology', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Male', 'Middle Aged', 'Plasma', 'Recombinant Proteins/pharmacology', 'Tumor Cells, Cultured']",2001/10/17 10:00,2002/01/05 10:01,['2001/10/17 10:00'],"['2001/10/17 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/17 10:00 [entrez]']",,ppublish,Zhonghua Xue Ye Xue Za Zhi. 1999 May;20(5):229-31.,,,,,,,,,,,,,,,,,,,,
11601207,NLM,MEDLINE,20011211,20181130,0253-2727 (Print) 0253-2727 (Linking),20,2,1999 Feb,[Immunophenotype and P-glycoprotein expression in CD7 positive adult acute myeloid leukemia].,88-90,"OBJECTIVE: To study the immunophenotype and P-glycoprotein expression in CD7 positive adult acute myeloid leukemia (CD7+ AML). METHODS: Morphology, P-glycoprotein, cytogenetics and immunophenotype were examined in 30 previously untreated CD7+ AML patients. RESULTS: The CD7 positive rate was 11.4% in 262 AML patients. CD7+ AML patients had a significantly higher incidence of peripheral leukocytosis and blasts and FAB M1 subtype and were associated with CD34 and P-glycoprotein expression. 42.3% of CD7+ AML achieved complete remission with a median remission duration of 4 months, and a median time to CR of 48 days. CONCLUSION: Patients with CD7+ AML are usually CD34 and P-glycoprotein positive. These patients had a lower CR rate and a shorter remission duration.","['Hua, D', 'Li, J', 'Xia, X']","['Hua D', 'Li J', 'Xia X']","['First Affiliated Hospital, Suzhou Medical College, Jiangsu Institute of Hematology, Suzhou 215006.']",['chi'],,['Journal Article'],China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,"['0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)', '0 (Antigens, CD34)', '0 (Antigens, CD7)']",IM,"['ATP Binding Cassette Transporter, Subfamily B, Member 1/*metabolism', 'Adult', 'Antigens, CD34/immunology/metabolism', 'Antigens, CD7/*immunology', 'Female', 'Humans', 'Immunophenotyping', 'Leukemia, Myeloid, Acute/*immunology', 'Male', 'Middle Aged']",2001/10/17 10:00,2002/01/05 10:01,['2001/10/17 10:00'],"['2001/10/17 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/17 10:00 [entrez]']",,ppublish,Zhonghua Xue Ye Xue Za Zhi. 1999 Feb;20(2):88-90.,,,,,,,,,,,,,,,,,,,,
11601204,NLM,MEDLINE,20011211,20181130,0253-2727 (Print) 0253-2727 (Linking),20,2,1999 Feb,[Clinical significance of human calcitonin and gene-related peptide in the serum of myelodysplastic syndromes patients].,79-81,"OBJECTIVE: To find out indications for predicting MDS transforming into AML. METHODS: Serum levels of human calcitonin (hCT) and calcitonin gene-related peptide (CGRP) were measured in 45 patients with myelodysplastic syndromes (MDS), 40 with acute myeloid leukemia (AML) and 50 controls by radioimmunoassay (RIA). Some patients in RA or RAEB stages were followed up to study changes in serum hCT and CGRP levels during clinical evolution. RESULTS: hCT and CGRP were of high level in the sera of patients with MDS and de novo AML, which were significantly different from those of the controls (P < 0.01), and were higher in RAEB group than in RA group. hCT and CGRP levels increased gradually as RA was evoling into RAEB or RAEB was evolving into AML. CONCLUSION: The serum levels of hCT and CGRP can be used as indices for the early prediction of MDS evolving into AML.","['Li, G', 'Zou, D', 'Bai, R']","['Li G', 'Zou D', 'Bai R']","['First Affiliated Hospital, Henan Medical University, Zhengzhou 450052.']",['chi'],,['Journal Article'],China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,"['0 (Biomarkers, Tumor)', '9007-12-9 (Calcitonin)', 'JHB2QIZ69Z (Calcitonin Gene-Related Peptide)']",IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Biomarkers, Tumor/blood', 'Calcitonin/*blood', 'Calcitonin Gene-Related Peptide/*blood', 'Child', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*blood/etiology', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*blood/complications']",2001/10/17 10:00,2002/01/05 10:01,['2001/10/17 10:00'],"['2001/10/17 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/17 10:00 [entrez]']",,ppublish,Zhonghua Xue Ye Xue Za Zhi. 1999 Feb;20(2):79-81.,,,,,,,,,,,,,,,,,,,,
11601203,NLM,MEDLINE,20011211,20071115,0253-2727 (Print) 0253-2727 (Linking),20,2,1999 Feb,[Study on the expression of myeloid markers and CD34 antigen in adult acute lymphoblastic leukemia].,76-8,"OBJECTIVE: To analyse the expression of myeloid markers and CD34 antigen on lymphoblasts in adult ALL and its relationship with prognosis. METHOD: Immunophenotypes were examined using indirect immunofluorescence method in 102 de novo ALL. RESULTS: The incidence of myeloid antigen expression in adult ALL was 21.6% and the commonest one was CD33 (15.7%). There was a higher incidence of myeloid antigens expression in ALL-L2 than in ALL-L1 (25.6% vs 5.3%, P = 0.05). CD34 was expressed in lymphoblasts from 30 of 56 patients (53.6%). Incidence of CD34 expression in B-ALL was higher than that in T-ALL (61.7% vs 11.1%, P < 0.01). No relationship between CD34, myeloid antigens and cell maturity was found within B-ALL. There was no relation between expression of myeloid antigens and CD34. The CR rate in My(+)-ALL was lower than that in My(-)-ALL (52.6% vs 80.0%, P < 0.025), and was no relation with CD34 expression. In addition, Ph chromosome and/or bcr/abl fusion gene was positive in 35.9% of the patients, and CR rate of Ph positive patients was higher than that in Ph negative patients. CONCLUSION: Expression of myeloid antigens was related to FAB subtype and cell maturity in adult ALL. There was no relationship between myeloid antigen expression and CR rate. A higher incidence of CD34 expression was found in Pro-B-ALL than in common-ALL and Pre-B-ALL. Expression of CD34 had no relation with CR rate.","['Mi, Y', 'Bian, S', 'Chen, G']","['Mi Y', 'Bian S', 'Chen G']","['Institute of Hematology and Blood Diseases Hospital, CAMS and PUMC, Tianjin 300020.']",['chi'],,"['English Abstract', 'Journal Article']",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,"['0 (Antigens, CD34)', '0 (Antigens, Surface)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antigens, CD34/*biosynthesis', 'Antigens, Surface/*immunology', 'Female', 'Humans', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*immunology']",2001/10/17 10:00,2002/01/05 10:01,['2001/10/17 10:00'],"['2001/10/17 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/17 10:00 [entrez]']",,ppublish,Zhonghua Xue Ye Xue Za Zhi. 1999 Feb;20(2):76-8.,,,,,,,,,,,,,,,,,,,,
11601202,NLM,MEDLINE,20011211,20071115,0253-2727 (Print) 0253-2727 (Linking),20,2,1999 Feb,[Clinical and experimental study of 9 cases of adult T cell leukemia].,73-5,"OBJECTIVE: In order to clarify the clinical and laboratory features of adult T cell leukemia (ATL): morphology, immunology, cytogenetics, serology and molecular biology. METHODS: Indirect immunofluorescence assay and ELISA were used to detect serum HTLV-I antibody. The HTLV-I provirus sequence were amplified by PCR and confirmed by liquid hybridization. RESULTS AND CONCLUSION: Nine cases of ATL were diagnosed. The major clinical manifestation was lymph node enlargement found in all patients. Skin involvement and osteolysis were not frequent. The characteristic finding was leukemic cells with highly indented or lobulated flower-like nuclei in peripheral blood and bone marrow. ATL cells were CD2, CD3, CD4, CD25 positive and CD8 negative. No specific chromosome abnormality or HLA type was found. Seven of 8 patients examined had HTLV-I antibody. The HTLV-I provirus genome sequence integrated into host cell DNA was amplified by PCR and confirmed by liquid hybridization. All of these results showed that HTLV-I was also the etiological agent of ATL in China. One of the 9 cases of ATL was classified as lymphoma type, one as chronic-type, and the rest as acute type.","['Hu, J', 'Lu, L', 'Chen, Y']","['Hu J', 'Lu L', 'Chen Y']","['Union Hospital of Fujian Medical University, Fujian Institute of Hematology, Fuzhou 350001.']",['chi'],,"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,['0 (HTLV-I Antibodies)'],IM,"['Adult', 'Female', 'HTLV-I Antibodies/*blood', 'Human T-lymphotropic virus 1/*isolation & purification', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/immunology/pathology/*virology', 'Male', 'Middle Aged', 'Prognosis']",2001/10/17 10:00,2002/01/05 10:01,['2001/10/17 10:00'],"['2001/10/17 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/17 10:00 [entrez]']",,ppublish,Zhonghua Xue Ye Xue Za Zhi. 1999 Feb;20(2):73-5.,,,,,,,,,,,,,,,,,,,,
11601201,NLM,MEDLINE,20011211,20071115,0253-2727 (Print) 0253-2727 (Linking),20,2,1999 Feb,[WT1 gene expression in leukemia patients and its correlation with prognosis and multidrug resistance].,69-72,"OBJECTIVE: To evaluate the value of expression of WT1 gene in predicting the prognosis of leukemia patients, and explore the relationship between WT1 gene expression and multidrug resistance and cell apoptosis. METHODS: Expressions of WT1, MRP and mdr1 were measured in 68 leukemia patients by RT-PCR method. Expression of bcl-2 was measured in 32 AML patients by immunofluorescence flow cytometry. RESULTS: Expression of WT1 was revealed in 36 of 68 leukemia patients and none of 23 normal controls. Complete remission rate (59.46%) was lower in WT1 positive patients than that (87.10%, P = 0.011) in WT1 negative patients. The rate of MRP expression was also higher in patients with WT1 expression (58.33%), than in those without WT1 expression (32.26%, P = 0.033). Thirty-two AML patients were divided into high-, intermediate-, and low-risk groups according to the expression of WT1 and bcl-2. CR rates were significantly different among these 3 groups (33.33% for high-, 47.37% for intermediate-, and 100% for low-risk group, P < 0.05). CONCLUSION: The expression of WT1 can predict the treatment outcome and the prognosis for leukemia patients. Expression of WT1 is the most important risk factor, and the coexpression of WT1 and bcl-2 predicts poor prognosis of AML patients.","['Guo, X', 'Xu, S', 'Dong, Z']","['Guo X', 'Xu S', 'Dong Z']","['Department of Hematology, Second Hospital, Hebei Medical University, Shijiazhuang 050000.']",['chi'],,"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,"['0 (Proto-Oncogene Proteins c-bcl-2)', '0 (WT1 Proteins)']",IM,"['Adult', 'Drug Resistance, Multiple/*genetics', 'Drug Resistance, Neoplasm/*genetics', 'Female', 'Gene Expression', '*Genes, Wilms Tumor', 'Humans', 'Leukemia, Myeloid, Acute/*genetics', 'Male', 'Prognosis', 'Proto-Oncogene Proteins c-bcl-2/biosynthesis', 'WT1 Proteins/*biosynthesis']",2001/10/17 10:00,2002/01/05 10:01,['2001/10/17 10:00'],"['2001/10/17 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/17 10:00 [entrez]']",,ppublish,Zhonghua Xue Ye Xue Za Zhi. 1999 Feb;20(2):69-72.,,,,,,,,,,,,,,,,,,,,
11601200,NLM,MEDLINE,20011211,20061115,0253-2727 (Print) 0253-2727 (Linking),20,2,1999 Feb,[Refractory anemia and preleukemia: an analysis of 92 cases].,65-8,"OBJECTIVE: To investigate the relationship between MDS-RA (refractory anemia subtype of myelodysplastic syndromes) and preleukemia (PL). METHODS: Hematological parameters of 86 RA and 6 PL patients were retrospectively analyzed. RESULTS: Thirty-four RA cases (39.53%) transformed into acute leukemia (AL), RA with excess blasts (RAEB), or RAEB in transformation (RAEB-t). As compared with 52 non-transformed RA cases, the transformed cases showed the following hematological features: 1. higher frequencies of immature granulocytes (P < 0.005), erythroblasts (P < 0.05) and megaloerythrocytes (P < 0.05), and higher granulocyte nuclear lobulation (P < 0.001) in peripheral blood; 2. higher percentages of early erythroid and granulocytic lineages (P < 0.05), and higher frequencies of erythroblasts with multiple nuclei (P < 0.05), pseudo Pelger-Huet abnormality (P < 0.05), and micromegakaryocytes (P < 0.005) in bone marrow. CONCLUSION: There is a higher overlap between RA and PL; the above hematological features may be useful for predicting the transformation of RA patients. Based on those findings, a score system for predicting the transformation of RA was proposed.","['Xu, K', 'Hao, Y']","['Xu K', 'Hao Y']","['Institute of Hematology, CAMS and PUMC, Tianjin 300020.']",['chi'],,"['English Abstract', 'Journal Article']",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,,IM,"['Adolescent', 'Adult', 'Aged', 'Anemia, Refractory/blood/*complications', 'Bone Marrow Examination', 'Female', 'Humans', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/blood/*complications', 'Preleukemia/blood/*complications', 'Retrospective Studies']",2001/10/17 10:00,2002/01/05 10:01,['2001/10/17 10:00'],"['2001/10/17 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/17 10:00 [entrez]']",,ppublish,Zhonghua Xue Ye Xue Za Zhi. 1999 Feb;20(2):65-8.,,,,,,,,,,,,,,,,,,,,
11601199,NLM,MEDLINE,20011211,20071115,0253-2727 (Print) 0253-2727 (Linking),20,2,1999 Feb,[Study of TEL-AML1 fusion gene in childhood B-lineage acute lymphoblastic leukemia].,61-4,"OBJECTIVE: To determine the incidence of TEL-AML1 fusion gene and its role in clinical diagnosis and prognosis of childhood B-lineage acute lymphoblastic leukemia (B-ALL), and to compare the two techniques: nested RT-PCR and dual-color fluorescence in situ hybridization (FISH). METHODS: Nested RT-PCR and dual-color FISH techniques were used to detect TEL-AML1 fusion gene. RESULTS AND CONCLUSION: TEL-AML1 fusion transcript was found in 22.5%(9/40) of patients with B-ALL by RT-PCR. The prognosis of these TEL-AML1 positive patients was relatively good and the complete remission rate was 100%. Both RT-PCR and FISH techniques were proved to be useful for detecting TEL-AML1 fusion gene and suitable for clinical diagnosis and prognosis evaluation.","['Niu, C', 'Huang, W', 'Su, X']","['Niu C', 'Huang W', 'Su X']","['Shanghai Institute of Hematology, Ruijin Hospital, Shanghai Second Medical University, Shanghai 200025.']",['chi'],,"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,"['0 (Core Binding Factor Alpha 2 Subunit)', '0 (Oncogene Proteins, Fusion)', '0 (TEL-AML1 fusion protein)']",IM,"['Adolescent', 'Burkitt Lymphoma/*genetics', 'Child', 'Child, Preschool', 'Chromosomes, Human, Pair 12', 'Chromosomes, Human, Pair 21', 'Core Binding Factor Alpha 2 Subunit', 'Female', 'Follow-Up Studies', 'Humans', 'In Situ Hybridization, Fluorescence', 'Infant', 'Male', 'Oncogene Proteins, Fusion/*genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'Prognosis', 'Reverse Transcriptase Polymerase Chain Reaction']",2001/10/17 10:00,2002/01/05 10:01,['2001/10/17 10:00'],"['2001/10/17 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/17 10:00 [entrez]']",,ppublish,Zhonghua Xue Ye Xue Za Zhi. 1999 Feb;20(2):61-4.,,,,,,,,,,,,,,,,,,,,
11601198,NLM,MEDLINE,20011211,20131121,0253-2727 (Print) 0253-2727 (Linking),20,2,1999 Feb,[Advances in the study of acute lymphocytic leukemia treated by large dosage of methotrexate].,110-2,,"['Ye, H', 'Gu, L']","['Ye H', 'Gu L']",,['chi'],,"['Journal Article', 'Review']",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,"['0 (Antimetabolites, Antineoplastic)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Antimetabolites, Antineoplastic/*administration & dosage', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Humans', 'Methotrexate/*administration & dosage', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy']",2001/10/17 10:00,2002/01/05 10:01,['2001/10/17 10:00'],"['2001/10/17 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/17 10:00 [entrez]']",,ppublish,Zhonghua Xue Ye Xue Za Zhi. 1999 Feb;20(2):110-2.,,22,,,,,,,,,,,,,,,,,,
11601139,NLM,MEDLINE,20011025,20071115,0002-9173 (Print) 0002-9173 (Linking),116,4,2001 Oct,Cytogenetic findings in lymphoplasmacytic lymphoma/Waldenstrom macroglobulinemia. Chromosomal abnormalities are associated with the polymorphous subtype and an aggressive clinical course.,543-9,"We correlated bone marrow cytogenetic findings with morphologic and immunophenotypic data in 37 patients with lymphoplasmacytic lymphoma (LPL)/Waldenstrom macroglobulinemia (WM). Each LPL/WM case was classified as lymphoplasmacytoid (n = 18), lymphoplasmacytic (n = 10), or polymorphous (n = 9) using the Kiel criteria. Of 12 cases with chromosomal abnormalities, a single numeric abnormality was present in 4 and a complex karyotype in 8. The most common numeric abnormalities were and -8 in 3 cases each; the most common structural abnormality was del(6q) in 6 cases. Cytogenetic abnormalities were significantly less common in the lymphoplasmacytic and lymphoplasmacytoid groups (5/28 [18%]) compared with the polymorphous group (7/9 [78%]). Clinical follow-up was available for 28 patients for a median of 36 months. Six (67%) of 9 patients with aneuploid tumors, including 4 with polymorphous subtype, subsequently had clinical progression or developed high-grade lymphoma. In contrast, 4 (21%) of 19 patients with diploid tumors, including 1 of polymorphous type, developed clinical progression or high-grade lymphoma. We conclude that abnormal cytogenetic findings in LPL/WM correlate with the polymorphous subtype and poor prognosis.","['Mansoor, A', 'Medeiros, L J', 'Weber, D M', 'Alexanian, R', 'Hayes, K', 'Jones, D', 'Lai, R', 'Glassman, A', 'Bueso-Ramos, C E']","['Mansoor A', 'Medeiros LJ', 'Weber DM', 'Alexanian R', 'Hayes K', 'Jones D', 'Lai R', 'Glassman A', 'Bueso-Ramos CE']","['Department of Hematopathology, University of Texas M.D. Anderson Cancer Center, 1515 Holcombe Blvd, Houston, TX 77030, USA.']",['eng'],,['Journal Article'],England,Am J Clin Pathol,American journal of clinical pathology,0370470,,IM,"['Adult', 'Aged', 'Bone Marrow Cells/immunology/pathology', '*Chromosome Aberrations', 'Chromosomes, Human, Pair 6', 'Chromosomes, Human, Pair 8', '*Cytogenetic Analysis', 'Female', 'Gene Deletion', 'Humans', 'Immunophenotyping', 'Karyotyping', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/pathology', 'Male', 'Middle Aged', 'Ploidies', 'Prognosis', 'Trisomy', 'Waldenstrom Macroglobulinemia/*genetics/pathology', 'Y Chromosome']",2001/10/17 10:00,2001/10/26 10:01,['2001/10/17 10:00'],"['2001/10/17 10:00 [pubmed]', '2001/10/26 10:01 [medline]', '2001/10/17 10:00 [entrez]']",['10.1309/6U88-357U-UKJ5-YPT3 [doi]'],ppublish,Am J Clin Pathol. 2001 Oct;116(4):543-9. doi: 10.1309/6U88-357U-UKJ5-YPT3.,,,,,,['Am J Clin Pathol. 2001 Dec;116(6):799-801. PMID: 11764065'],,,,,,,,,,,,,,
11601136,NLM,MEDLINE,20011025,20171116,0002-9173 (Print) 0002-9173 (Linking),116,4,2001 Oct,Immunophenotypic analysis of peripheral T-cell neoplasms. A multiparameter flow cytometric approach.,512-26,"We retrospectively reviewed multiparameter flow cytometric analyses in 50 peripheral T-cell neoplasms (PTCNs). Results were interpreted within the context of a large cohort of nonneoplastic T-cell populations. All PTCN diagnoses were confirmed with morphologic and/or molecular analysis. Aberrant populations were defined as discrete immunophenotypic clusters exhibiting loss of or increased or diminished expression of T-cell antigens relative to internal immunophenotypically normal T-cell populations. An antigenic pattern was considered abnormal if it exceeded ranges for T-cell subsets in specific anatomic sites or was not normally encountered. Forty-six of 50 and 41 of 50 demonstrated 1 or more and 2 or more aberrations, respectively. The most common abnormally expressed antigen was CD3, followed by CD7, CD5, and CD2. Except for CD7, abnormally dim or bright antigen expression was more common than deletion. Only 3 cases were abnormal solely based on expansion of an otherwise immunophenotypically normal population; the remainder had patterns of antigen expression not seen in nonneoplastic populations. These data indicate that most PTCNs are aberrant by multiparameter flow analysis. However, results must be interpreted within the context of thorough knowledge of the immunophenotypic spectrum of nonneoplastic T cells.","['Jamal, S', 'Picker, L J', 'Aquino, D B', 'McKenna, R W', 'Dawson, D B', 'Kroft, S H']","['Jamal S', 'Picker LJ', 'Aquino DB', 'McKenna RW', 'Dawson DB', 'Kroft SH']","['University of Texas Southwestern Medical Center, 5323 Harry Hines Blvd, Dallas, TX 75390-9073, USA.']",['eng'],,['Journal Article'],England,Am J Clin Pathol,American journal of clinical pathology,0370470,"['0 (Antigens, CD7)', '0 (CD2 Antigens)', '0 (CD3 Complex)', '0 (CD4 Antigens)', '0 (CD5 Antigens)', '0 (CD8 Antigens)', '0 (Receptors, Antigen, T-Cell)']",IM,"['Antigens, CD7/analysis', 'CD2 Antigens/analysis', 'CD3 Complex/analysis', 'CD4 Antigens/analysis', 'CD5 Antigens/analysis', 'CD8 Antigens/analysis', '*Flow Cytometry', 'Hematologic Neoplasms/*immunology/pathology', 'Humans', '*Immunophenotyping', 'Leukemia/immunology/pathology', 'Lymphoma, T-Cell/immunology/pathology', 'Receptors, Antigen, T-Cell/analysis', 'Retrospective Studies', 'T-Lymphocytes/*immunology']",2001/10/17 10:00,2001/10/26 10:01,['2001/10/17 10:00'],"['2001/10/17 10:00 [pubmed]', '2001/10/26 10:01 [medline]', '2001/10/17 10:00 [entrez]']",['10.1309/QF6N-VAQW-N74H-4JE2 [doi]'],ppublish,Am J Clin Pathol. 2001 Oct;116(4):512-26. doi: 10.1309/QF6N-VAQW-N74H-4JE2.,,,,,,,,,,,,,,,,,,,,
11601004,NLM,MEDLINE,20011205,20071115,0376-2491 (Print) 0376-2491 (Linking),79,1,1999 Jan,[Chromosomal abnormalities in 38 CML cases of various phases].,34-7,"OBJECTIVE: To study the genomic abnormality underlying the blast crisis of chronic myeloid leukemia(CML). METHODS: 15 CML patients in blast crisis (BC), 3 in accelerated phase (AP) and 20 in chronic phase (CP) were analyzed by conventional cytogentics, comparative genomic hybridization (CGH) and dual color chromosomal painting. RESULTS: Philadelphia (Ph) chromosome was identified in every case studied. Only 5 among 20 CP patients had additional abnormalities while 12 out of 14 patients with disease progression (BC + AP) showed extra numerical and/or structural chromosmal aberrations. Cytogenetically, the most common chromosome gains during BC and AP were double or triple Ph chromosome(5/14), trisomy 8(5/14), trisomy 7(1/14) and 17 (1/14). Three cases showed the same region being involved in translocations t(1;17)(q12-21;q10), t(1;10) (q12-21;q26) and t(1;11)(q12-21;p15). CGH analysis detected genetic imbalances in 8 cases. In one case, a very complex chromosmal translocation del(3), del(6)(q13-21), der(6)t(17;3;6), der(17)t(6;17) was characterized by chromosomal painting. CONCLUSION: We find that the combined use of CGH, chromosomal painting, and classic cytogenetic analysis allows a better evaluation of the genomic aberration involved in CML blastic transformation, and offers new directions for its further molecular investigation.","['Su, X Y', 'Cao, Q', 'He, K L']","['Su XY', 'Cao Q', 'He KL']","['Shanghai Institute of Hematology, Rui-Jin Hospital, Shanghai 200025.']",['chi'],,"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi,7511141,,IM,"['Adult', 'Aged', 'Blast Crisis/*genetics', 'Child', 'Chromosome Deletion', 'Chromosomes, Human, Pair 17', 'Chromosomes, Human, Pair 20', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/*pathology', 'Male', 'Middle Aged', '*Philadelphia Chromosome', 'Translocation, Genetic', 'Trisomy']",2001/10/17 10:00,2002/01/05 10:01,['2001/10/17 10:00'],"['2001/10/17 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/17 10:00 [entrez]']",,ppublish,Zhonghua Yi Xue Za Zhi. 1999 Jan;79(1):34-7.,,,,,,,,,,,,,,,,,,,,
