PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,EIN,GS,CIN,PMC,TT,CON,GR,SI,EFR
8408042,NLM,MEDLINE,19931118,20210210,0021-9258 (Print) 0021-9258 (Linking),268,29,1993 Oct 15,Antisense inhibition of group II phospholipase A2 expression blocks the production of prostaglandin E2 by P388D1 cells.,21875-82,"Macrophage-like P388D1 cells release [3H]arachidonic acid and produce prostaglandin E2 (PGE2) upon stimulation with bacterial lipopolysaccharide (LPS) and platelet-activating factor (PAF). To determine whether group II phospholipase A2 (PLA2) is involved in this release, we treated P388D1 cells with antisense inhibitors specific for group II PLA2 RNA. Treatment with oligonucleotide ASGII decreased PLA2 activity in P388D1 cell homogenates by approximately 60% and reduced the release of [3H]arachidonic acid and PGE2 from activated cells to nearly resting cell levels. The inhibition by antisense oligonucleotide ASGII was blocked when its sense complement, SGII, was included in the incubation mixture. Stably transfected P388D1 cells expressing an antisense construct for group II PLA2 also produced reduced quantities of PGE2 in response to LPS and PAF. These data suggest that prostaglandin production by activated P388D1 cells involves phospholipid hydrolysis by group II PLA2. Oligonucleotide ASGII also blocked the appearance of a heparin-releasable group II PLA2 in the culture supernatants of P388D1 cells. The disappearance of this protein correlated with reduced PGE2 production by activated cells, indicating that an extracellular heparin-associated pool of group II PLA2 is involved in prostaglandin production by P388D1 cells.","['Barbour, S E', 'Dennis, E A']","['Barbour SE', 'Dennis EA']","['Department of Chemistry, University of California at San Diego, La Jolla 92093-0601.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (DNA, Antisense)', '0 (DNA, Single-Stranded)', '0 (Lipopolysaccharides)', '0 (RNA, Messenger)', '27YG812J1I (Arachidonic Acid)', 'EC 3.1.1.32 (Phospholipases A)', 'EC 3.1.1.4 (Phospholipases A2)', 'K7Q1JQR04M (Dinoprostone)']",IM,"['Animals', 'Arachidonic Acid/metabolism', 'Base Sequence', 'Cloning, Molecular', 'DNA, Antisense/*pharmacology', 'DNA, Single-Stranded', 'Dinoprostone/*biosynthesis', 'Leukemia P388', 'Lipopolysaccharides/pharmacology', 'Mice', 'Molecular Sequence Data', 'Phospholipases A/*antagonists & inhibitors/genetics', 'Phospholipases A2', 'RNA, Messenger/antagonists & inhibitors', 'Tumor Cells, Cultured']",1993/10/15 00:00,1993/10/15 00:01,['1993/10/15 00:00'],"['1993/10/15 00:00 [pubmed]', '1993/10/15 00:01 [medline]', '1993/10/15 00:00 [entrez]']",['S0021-9258(20)80622-X [pii]'],ppublish,J Biol Chem. 1993 Oct 15;268(29):21875-82.,,,,,,,,"['GM 15279/GM/NIGMS NIH HHS/United States', 'HD 26171/HD/NICHD NIH HHS/United States']",,
8408003,NLM,MEDLINE,19931118,20210210,0021-9258 (Print) 0021-9258 (Linking),268,29,1993 Oct 15,"Interleukin-11, an inducible cytokine in human articular chondrocytes and synoviocytes, stimulates the production of the tissue inhibitor of metalloproteinases.",21527-32,"This study on the regulation of interleukin (IL)-11 expression in human connective tissue cells shows that IL-11 expression is not restricted to cells of hematopoietic origin but can also be induced in articular chondrocytes and synoviocytes. IL-11 mRNA was induced in chondrocytes in response to transforming growth factor (TGF)-beta 1 and IL-1 beta. Stimulation with IL-6 or growth factors, such as basic fibroblast growth factor, leukemia inhibitory factor, and platelet-derived growth factor-AA, had only weak or no detectable effects. Activation of protein kinase C by phorbol esters and inhibition of protein synthesis by cyclohexamide increased IL-11 transcripts, whereas calcium ionophore A23817 or dibutyryl cyclic AMP had no effect. Immunoprecipitations revealed the synthesis of IL-11 protein in response to TGF-beta 1, IL-1 beta, as well as phorbol 12-myristate 13-acetate, and a synergistic action of TGF-beta 1 and IL-1 beta was observed. Similar findings on IL-11 expression were made in synoviocytes. Analysis of effects on cell function showed that IL-11 stimulated the production of the tissue inhibitor of metalloproteinases in chondrocytes and synoviocytes but did not affect chondrocyte proliferation or increase stromelysin activity. These results suggest that IL-11 does not contribute to connective tissue degradation but conversely induces protective effects in joint tissue.","['Maier, R', 'Ganu, V', 'Lotz, M']","['Maier R', 'Ganu V', 'Lotz M']","['Sam and Rose Stein Institute for Research on Aging, Department of Medicine, University of California-San Diego, La Jolla 92093-0663.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Glycoproteins)', '0 (Interleukin-1)', '0 (Interleukin-11)', '0 (Matrix Metalloproteinase Inhibitors)', '0 (RNA, Messenger)', '0 (Tissue Inhibitor of Metalloproteinases)', '0 (Transforming Growth Factor beta)']",IM,"['Cartilage, Articular/cytology/drug effects/*metabolism/physiology', 'Gene Expression Regulation', 'Glycoproteins/*biosynthesis', 'Humans', 'In Vitro Techniques', 'Interleukin-1/pharmacology', 'Interleukin-11/biosynthesis/genetics/*metabolism', 'Matrix Metalloproteinase Inhibitors', 'Protein Biosynthesis', 'RNA, Messenger/metabolism', 'Second Messenger Systems/drug effects', 'Synovial Membrane/cytology/drug effects/*metabolism', 'Tissue Inhibitor of Metalloproteinases', 'Transforming Growth Factor beta/pharmacology']",1993/10/15 00:00,1993/10/15 00:01,['1993/10/15 00:00'],"['1993/10/15 00:00 [pubmed]', '1993/10/15 00:01 [medline]', '1993/10/15 00:00 [entrez]']",['S0021-9258(20)80573-0 [pii]'],ppublish,J Biol Chem. 1993 Oct 15;268(29):21527-32.,,,,,,,,"['AG07996/AG/NIA NIH HHS/United States', 'AR39799/AR/NIAMS NIH HHS/United States']",,
8407959,NLM,MEDLINE,19931124,20210210,0021-9258 (Print) 0021-9258 (Linking),268,28,1993 Oct 5,Transactivation by the human T-cell leukemia virus Tax protein is mediated through enhanced binding of activating transcription factor-2 (ATF-2) ATF-2 response and cAMP element-binding protein (CREB).,21225-31,"The human T-cell leukemia virus type I (HTLV-I)-encoded transcriptional activator protein Tax is strongly implicated in HTLV-I pathogenesis. Tax regulates HTLV-I gene expression through three 21-base pair (bp) repeat enhancer elements located in the transcriptional control region of the virus. Tax does not bind these elements directly, but mediates transactivation through the cellular transcription factors that recognize a cAMP response element (CRE)-like sequence centered within each of the 21-bp repeats. In this report, we identify activating transcription factor-2 (ATF-2) and CRE-binding protein (CREB) as the principal T-cell proteins that bind the three 21-bp repeats in vitro. Purified Tax protein augments the level of RNA synthesis induced by ATF-2 and CREB in a cell-free transcription assay, providing evidence that Tax cooperates with these cellular proteins to activate HTLV-I transcription. Furthermore, Tax dramatically increases the binding of both the T-cell-derived and recombinant forms of ATF-2 and CREB to each of the 21-bp repeats. The target sequences for this enhancement reside within the DNA binding/dimerization domains of these proteins. These data suggest that Tax transactivates HTLV-I gene expression by increasing the number of bound ATF-2 and CREB molecules at the viral promoter.","['Franklin, A A', 'Kubik, M F', 'Uittenbogaard, M N', 'Brauweiler, A', 'Utaisincharoen, P', 'Matthews, M A', 'Dynan, W S', 'Hoeffler, J P', 'Nyborg, J K']","['Franklin AA', 'Kubik MF', 'Uittenbogaard MN', 'Brauweiler A', 'Utaisincharoen P', 'Matthews MA', 'Dynan WS', 'Hoeffler JP', 'Nyborg JK']","['Department of Biochemistry, Colorado State University, Fort Collins 80523.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (ATF2 protein, human)', '0 (Activating Transcription Factor 2)', '0 (Cyclic AMP Response Element-Binding Protein)', '0 (Gene Products, tax)', '0 (Oligodeoxyribonucleotides)', '0 (Transcription Factors)']",IM,"['Activating Transcription Factor 2', 'Base Sequence', 'Binding Sites', 'Cell Line', 'Chromatography, Affinity', 'Cyclic AMP Response Element-Binding Protein/*metabolism', 'Gene Products, tax/*metabolism', 'Humans', 'Molecular Sequence Data', 'Oligodeoxyribonucleotides', 'Promoter Regions, Genetic', 'T-Lymphocytes/metabolism', '*Transcription Factors', '*Transcriptional Activation']",1993/10/05 00:00,1993/10/05 00:01,['1993/10/05 00:00'],"['1993/10/05 00:00 [pubmed]', '1993/10/05 00:01 [medline]', '1993/10/05 00:00 [entrez]']",['S0021-9258(19)36914-5 [pii]'],ppublish,J Biol Chem. 1993 Oct 5;268(28):21225-31.,,,,,,,,['1 R55 CA55035/CA/NCI NIH HHS/United States'],,
8407907,NLM,MEDLINE,19931124,20210210,0021-9258 (Print) 0021-9258 (Linking),268,28,1993 Oct 5,Characterization of the third member of the MCAT family of cationic amino acid transporters. Identification of a domain that determines the transport properties of the MCAT proteins.,20796-800,"We have identified the third member of a family of cationic amino acid transporters in lipopolysaccharide-stimulated murine macrophages. The deduced amino acid sequence of this transporter is the same as MCAT-2 (mouse cationic amino acid transporter-2), the low affinity transporter expressed in hepatocytes, except for a stretch of 41 amino acids that connects the eighth and ninth membrane-spanning domains. These transporters apparently result from differential splicing of transcripts from a single gene and therefore have been named MCAT-2A (hepatocyte) and MCAT-2B (macrophage). Despite their similarity, MCAT-2B is saturated at one-fifth the arginine concentration, has a lower apparent Vmax, and is more sensitive to trans-stimulation than MCAT-2. Introduction of the unique regions of MCAT-2A and MCAT-2B into the equivalent portion of the related protein, MCAT-1, created chimeric transporters with properties most like the donor of this region. Our findings suggest these 41 amino acids contain a domain that binds the amino acid substrate during its translocation across the membrane.","['Closs, E I', 'Lyons, C R', 'Kelly, C', 'Cunningham, J M']","['Closs EI', 'Lyons CR', 'Kelly C', 'Cunningham JM']","[""Howard Hughes Medical Institute, Brigham and Women's Hospital, Boston, Massachusetts 02115.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Carrier Proteins)', '0 (Cations)', '0 (DNA, Complementary)', '0 (Membrane Glycoproteins)', '0 (Membrane Proteins)', '0 (Receptors, Virus)', '0 (ecotropic murine leukemia virus receptor)']",IM,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'Biological Transport', 'Carrier Proteins/chemistry/*metabolism', 'Cations', 'Cells, Cultured', 'DNA, Complementary', 'Liver/metabolism', 'Macrophages/metabolism', '*Membrane Glycoproteins', 'Membrane Proteins/chemistry/*metabolism', 'Mice', 'Molecular Sequence Data', '*Receptors, Virus', 'Sequence Homology, Amino Acid', 'Xenopus laevis']",1993/10/05 00:00,1993/10/05 00:01,['1993/10/05 00:00'],"['1993/10/05 00:00 [pubmed]', '1993/10/05 00:01 [medline]', '1993/10/05 00:00 [entrez]']",['S0021-9258(19)36854-1 [pii]'],ppublish,J Biol Chem. 1993 Oct 5;268(28):20796-800.,,,"['MCAT-1', 'MCAT-2A', 'MCAT-2B']",,,,,['CA47075/CA/NCI NIH HHS/United States'],,
8407717,NLM,MEDLINE,19931119,20191111,1071-2690 (Print) 1071-2690 (Linking),29A,9,1993 Sep,Luminol and diazoluminomelanin as indicators of HL-60 cell differentiation.,737-41,"This paper describes use of a novel substituted melanin which is useful in detection of differentiating leukemia cells and their membranes. Comparisons of luminol-(5-amino-2,3-dihydro-1,4-phthalazinedione) and diazoluminomelanin (DALM)-mediated chemiluminescence (CL) were made with various types of differentiated and undifferentiated HL-60 whole cells, cell lysates, and membrane fractions. Luminol had a greater CL response than DALM with HL-60 promyelocytic stem cells and differentiated macrophage-like or neutrophil-like whole cell and cell lysate preparations. However, DALM showed markedly greater CL than luminol for membrane fractions derived from each cell type. The greatest luminol-dependent CL was observed for cell types high in myeloperoxidase (MPO). The greatest DALM-mediated CL was seen with cell types that are high in MPO or strong producers of superoxide (O2-) anions. In some cases, significant differences in CL could also be distinguished on the basis of inducing agent used [i.e. dimethylsulfoxide, all-trans retinoic acid or 12-o-tetradecanoylphorbol-13-acetate]. Both luminol- and DALM-dependent CL were strongly inhibited by preincubation of cellular preparations with 3-amino-L-tyrosine (a component of DALM). Taken together, these data suggest that the reaction mechanism of luminol favors interaction with cytoplasmic MPO whereas that of DALM favors membrane interactions. Thus, both reagents may be of use in assays to detect differentiating leukocytes or their cellular components.","['Bruno, J G', 'Kiel, J L']","['Bruno JG', 'Kiel JL']","['Directed Energy Division, Armstrong Laboratory, Brooks AFB, San Antonio, Texas 78235.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",Germany,In Vitro Cell Dev Biol Anim,In vitro cellular & developmental biology. Animal,9418515,"['0 (Melanins)', '126815-81-4 (diazoluminolmelanin)', '5EXP385Q4F (Luminol)', 'EC 1.11.1.6 (Catalase)', 'EC 1.11.1.7 (Peroxidase)', 'EC 1.6.- (NADH, NADPH Oxidoreductases)', 'EC 1.6.3.- (NADPH Oxidases)']",IM,"['Adult', 'Catalase/metabolism', 'Cell Differentiation/*physiology', 'Female', 'Humans', '*Luminescent Measurements', '*Luminol/*analogs & derivatives', '*Melanins', 'NADH, NADPH Oxidoreductases/metabolism', 'NADPH Oxidases', 'Peroxidase/metabolism', 'Tumor Cells, Cultured/cytology/metabolism']",1993/09/01 00:00,1993/09/01 00:01,['1993/09/01 00:00'],"['1993/09/01 00:00 [pubmed]', '1993/09/01 00:01 [medline]', '1993/09/01 00:00 [entrez]']",['10.1007/BF02631430 [doi]'],ppublish,In Vitro Cell Dev Biol Anim. 1993 Sep;29A(9):737-41. doi: 10.1007/BF02631430.,,,,,,,,,,
8407584,NLM,MEDLINE,19931112,20190723,0021-8820 (Print) 0021-8820 (Linking),46,8,1993 Aug,Microbial glycosidation of some anthracycline antibiotics by an antibiotic-negative mutant of aclarubicin producer.,1219-31,"Microbial conversion of anthracyclinone monosaccharides using aclarubicin-negative mutant of Streptomyces galilaeus was found to produce anthracyclinone disaccharides which had either rhodinose or 2-deoxyfucose as an additional sugar. By this conversion we obtained twelve new anthracyclines from seven anthracyclines which had rhodosamine, N-monomethyldaunosamine or daunosamine at C-7 as a glycosidic sugar. All products had a reduced cytotoxic activity in comparison with those of parent compounds. However, some of them showed a therapeutically improved antitumor effects against L1210 leukemia in vivo.","['Johdo, O', 'Tone, H', 'Okamoto, R', 'Yoshimoto, A', 'Naganawa, H', 'Sawa, T', 'Takeuchi, T']","['Johdo O', 'Tone H', 'Okamoto R', 'Yoshimoto A', 'Naganawa H', 'Sawa T', 'Takeuchi T']","['Central Research Laboratories, Mercian Corporation, Fujisawa, Japan.']",['eng'],['Journal Article'],Japan,J Antibiot (Tokyo),The Journal of antibiotics,0151115,"['0 (Antibiotics, Antineoplastic)', '74KXF8I502 (Aclarubicin)']",IM,"['Aclarubicin/*biosynthesis', 'Animals', 'Antibiotics, Antineoplastic/isolation & purification/*metabolism/pharmacology', 'Glycosylation', 'Leukemia L1210/pathology', 'Mutation', 'Streptomyces/genetics/*metabolism', 'Structure-Activity Relationship', 'Tumor Cells, Cultured']",1993/08/01 00:00,1993/08/01 00:01,['1993/08/01 00:00'],"['1993/08/01 00:00 [pubmed]', '1993/08/01 00:01 [medline]', '1993/08/01 00:00 [entrez]']",['10.7164/antibiotics.46.1219 [doi]'],ppublish,J Antibiot (Tokyo). 1993 Aug;46(8):1219-31. doi: 10.7164/antibiotics.46.1219.,,,,,,,,,,
8407567,NLM,MEDLINE,19931122,20190512,0910-5050 (Print) 0910-5050 (Linking),84,9,1993 Sep,Detailed characterization of a high-molecular-weight glycoprotein secreted by lung cancer cells.,982-8,"A cancer-associated, high-molecular-weight glycoprotein antigen (6B3.Ag) recognized by monoclonal antibody 6B3 was purified from culture medium of human large cell lung carcinoma cell line (HLC-2) and characterized biochemically and immunochemically. The 6B3.Ag was purified more than 1,200-fold with a yield of 30% by salting out, precipitation by acidification at pH 4.5, and chromatographies on Sepharose 4B and concanavalin A-Sepharose. The molecular weight of 6B3.Ag is approximately 1,000,000 and the molecule is a homodecamer of 94,000 subunits. The 6B3.Ag is a glycoprotein containing 22.9% sugars, consisting of both N- and O-glycoside chains. The N-terminal 19 amino acids were determined and only 4 out of 19 amino acid residues were different from those of an antigen, L3, secreted by lung carcinoma cell line Calu-1. The serum level of 6B3.Ag was determined in normal adults as well as patients with various diseases by enzyme-linked immunosorbent assay. The mean serum level of 6B3.Ag was 3.1 micrograms/ml, ranging from 1.6 to 6.2 micrograms/ml in 131 healthy adults. When the cut-off value was set at 6.2 micrograms/ml, the incidence of positive values in the sera was elevated not only in malignant diseases such as hepatoma (73%) and leukemia (62%), but also in benign diseases such as chronic hepatitis (42%) and liver cirrhosis (63%). While the incidence of positive values was elevated in advanced liver diseases, namely, chronic hepatitis, liver cirrhosis and hepatoma, the cancer specificity of 6B3.Ag did not appear to be high.","['Nonaka, N', 'Manaka, K', 'Kobayashi, K', 'Hirai, H']","['Nonaka N', 'Manaka K', 'Kobayashi K', 'Hirai H']","['Tumour Laboratory, Tokyo.']",['eng'],['Journal Article'],Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,"['0 (Antigens, Neoplasm)', '0 (Carbohydrates)', '0 (Glycoproteins)']",IM,"['Antigens, Neoplasm/blood/chemistry/*isolation & purification', 'Carbohydrates/analysis', 'Carcinoma, Large Cell/blood/*immunology', 'Electrophoresis, Agar Gel', 'Electrophoresis, Polyacrylamide Gel', 'Glycoproteins/blood/chemistry/*isolation & purification', 'Humans', 'Lung Neoplasms/blood/*immunology', 'Molecular Weight', 'Reference Values', 'Tumor Cells, Cultured']",1993/09/01 00:00,1993/09/01 00:01,['1993/09/01 00:00'],"['1993/09/01 00:00 [pubmed]', '1993/09/01 00:01 [medline]', '1993/09/01 00:00 [entrez]']",['10.1111/j.1349-7006.1993.tb00189.x [doi]'],ppublish,Jpn J Cancer Res. 1993 Sep;84(9):982-8. doi: 10.1111/j.1349-7006.1993.tb00189.x.,,,,,PMC5919286,,,,,
8407552,NLM,MEDLINE,19931117,20190512,0910-5050 (Print) 0910-5050 (Linking),84,8,1993 Aug,c-Myc selectively regulates the latent period and erythroid-specific genes in murine erythroleukemia cell differentiation.,885-92,"During the latent period of murine erythroleukemia (MEL) cell differentiation, c-myc levels showed a significant change and the overexpression of the transferred c-myc gene inhibited the commitment and differentiation of MEL cells, suggesting that c-Myc may be a key molecule for the commitment. Since c-Myc may function as a DNA binding transcription factor, we examined whether c-Myc regulates the latent period genes (hsp and hsc70, MER5, Id and Spi-1 genes) and the erythroid-specific genes [beta-globin, glycophorin, delta-aminolevulinic acid synthase (ALAS-E), GATA-1 and erythropoietin receptor (EpoR)] in the MEL cell transformant having transferred c-myc gene. The overexpression of c-myc gene affected the latent period genes in different ways: hsc and hsp 70 genes and Id gene were positively regulated, while expression of MER5 gene was repressed. While c-myc is thought to be involved in DNA replication, its overexpression showed no effect on the expression of proliferating cell specific nuclear antigen or DNA polymerase a. The overexpression of c-myc repressed the expression of glycophorin, ALAS-E and beta-globin genes, of the five erythroid-specific genes, but had no effect on expression of GATA-1 or EpoR gene. These results suggest that c-Myc differentially regulates the expression of the latent period and erythroid-specific genes.","['Shoji, W', 'Ohmori, Y', 'Obinata, M']","['Shoji W', 'Ohmori Y', 'Obinata M']","['Department of Cell Biology, Tohoku University, Sendai.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,,IM,"['Animals', 'Cell Line, Transformed', 'Cell Transformation, Neoplastic/*genetics', 'Gene Expression Regulation/*physiology', 'Genes, myc/*genetics', 'Leukemia, Erythroblastic, Acute/*genetics/pathology', 'Mice', 'Transcriptional Activation']",1993/08/01 00:00,1993/08/01 00:01,['1993/08/01 00:00'],"['1993/08/01 00:00 [pubmed]', '1993/08/01 00:01 [medline]', '1993/08/01 00:00 [entrez]']",['10.1111/j.1349-7006.1993.tb02062.x [doi]'],ppublish,Jpn J Cancer Res. 1993 Aug;84(8):885-92. doi: 10.1111/j.1349-7006.1993.tb02062.x.,,,"['Id', 'MER5', 'Spi-1', 'hsc70']",,PMC5919267,,,,,
8407180,NLM,MEDLINE,19931025,20190914,0020-8167 (Print) 0020-8167 (Linking),33,3,1993 Summer,Tumors of the optic nerve head.,147-53,,"['Brown, G C']",['Brown GC'],"['Retina Service, Wills Eye Hospital, Philadelphia, PA 19107-5598.']",['eng'],"['Journal Article', 'Review']",United States,Int Ophthalmol Clin,International ophthalmology clinics,0374731,,IM,"['Astrocytoma/pathology', 'Carcinoma/pathology', 'Cranial Nerve Neoplasms/*pathology/secondary', 'Fundus Oculi', 'Hamartoma/pathology', 'Humans', 'Leukemia/pathology', 'Melanoma/pathology', 'Optic Disk/*pathology', 'Optic Nerve Diseases/*pathology']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.1097/00004397-199303330-00021 [doi]'],ppublish,Int Ophthalmol Clin. 1993 Summer;33(3):147-53. doi: 10.1097/00004397-199303330-00021.,26,,,,,,,,,
8407054,NLM,MEDLINE,19931123,20190909,0192-0561 (Print) 0192-0561 (Linking),15,6,1993 Aug,Macrophage functions in drugs of abuse-treated mice.,711-6,"The in vivo effect of morphine, methadone and cocaine on murine peritoneal macrophage-mediated cytostasis and macrophage supernatant mediated cytostasis was investigated. In addition, the activity of drugs of abuse was studied on IL-1 alpha and TNF production by activated murine macrophages. A highly depressive effect on macrophage-mediated cytostatic activity and a decrease of IL-1 alpha and TNF levels were found in the supernatants of activated macrophages observed in morphine- and cocaine-treated mice. Conversely, a significant impairment of macrophage functions was not observed in methadone-treated mice. Our results suggest that the inhibition of macrophage defensive functions caused by drugs of abuse may be an important cofactor in the pathogenesis of infectious diseases.","['Pacifici, R', 'Di Carlo, S', 'Bacosi, A', 'Zuccaro, P']","['Pacifici R', 'Di Carlo S', 'Bacosi A', 'Zuccaro P']","['Clinical Biochemistry Department, Istituto Superiore di Sanita, Rome, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Int J Immunopharmacol,International journal of immunopharmacology,7904799,"['0 (Interleukin-1)', '0 (Tumor Necrosis Factor-alpha)', '76I7G6D29C (Morphine)', 'I5Y540LHVR (Cocaine)', 'UC6VBE7V1Z (Methadone)']",IM,"['Animals', 'Cell Division', 'Cells, Cultured', 'Cocaine/*toxicity', 'Interleukin-1/metabolism', 'Leukemia L1210', 'Macrophages, Peritoneal/*drug effects/immunology', 'Male', 'Methadone/*toxicity', 'Mice', 'Mice, Inbred C57BL', 'Morphine/*toxicity', 'Tumor Cells, Cultured', 'Tumor Necrosis Factor-alpha/metabolism']",1993/08/01 00:00,1993/08/01 00:01,['1993/08/01 00:00'],"['1993/08/01 00:00 [pubmed]', '1993/08/01 00:01 [medline]', '1993/08/01 00:00 [entrez]']","['0192-0561(93)90143-M [pii]', '10.1016/0192-0561(93)90143-m [doi]']",ppublish,Int J Immunopharmacol. 1993 Aug;15(6):711-6. doi: 10.1016/0192-0561(93)90143-m.,,,,,,,,,,
8406997,NLM,MEDLINE,19931122,20190708,0020-7136 (Print) 0020-7136 (Linking),55,4,1993 Oct 21,Role of cell cholesterol in modulating vincristine uptake and resistance.,667-71,"The relationship between cell-membrane permeability to vincristine and cholesterol/phospholipid levels was studied in L5178Y murine leukemic lymphoblasts and in 2 multidrug-resistant cell sublines, VCR/P60 and VCR/P200, which expressed increasing levels of vincristine resistance. The uptake of 3H-vincristine was measured in all cell lines and in cholesterol-depleted and -reloaded L5178Y and VCR/P200 cells. The initial rate of drug entry in resistant cells was lower than that measured in the parental cell line and it decreased as the relative resistance increased. An increment of cholesterol content, characterized in resistant cells, was directly proportional to the relative resistance to vincristine. Cholesterol depletion in both sensitive and resistant cells resulted in an increase in the rate of vincristine uptake, which reverted to the respective basal levels when each cell line was cholesterol-reloaded. The rate of drug uptake was inversely correlated with the molar ratio of cholesterol to phospholipids. Although both VCR/P cell sublines, but not the sensitive parental cells, expressed the P-glycoprotein in their plasma membrane, there were no differences in drug efflux and retention between resistant and parental cells. These results indicate that cholesterol modulates the permeation of vincristine through the plasma membrane and strongly suggest that increased levels of cholesterol/phospholipid account for the lower drug accumulation and greater resistance in these multidrug-resistant cells.","['Pallares-Trujillo, J', 'Domenech, C', 'Grau-Oliete, M R', 'Rivera-Fillat, M P']","['Pallares-Trujillo J', 'Domenech C', 'Grau-Oliete MR', 'Rivera-Fillat MP']","['Depto. Farmacologia y Patologia Experimental (CSIC), Barcelona, Spain.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,"['5J49Q6B70F (Vincristine)', '97C5T2UQ7J (Cholesterol)']",IM,"['Animals', 'Cholesterol/*pharmacology', 'Drug Resistance', 'Leukemia L5178/metabolism', 'Mice', 'Tumor Cells, Cultured', 'Vincristine/*metabolism']",1993/10/21 00:00,1993/10/21 00:01,['1993/10/21 00:00'],"['1993/10/21 00:00 [pubmed]', '1993/10/21 00:01 [medline]', '1993/10/21 00:00 [entrez]']",['10.1002/ijc.2910550426 [doi]'],ppublish,Int J Cancer. 1993 Oct 21;55(4):667-71. doi: 10.1002/ijc.2910550426.,,,,,,,,,,
8406991,NLM,MEDLINE,19931122,20190708,0020-7136 (Print) 0020-7136 (Linking),55,4,1993 Oct 21,Moloney virus induction of T-cell lymphomas in a plasmacytomagenic strain of E mu-v-abl transgenic mice.,623-9,"Although the v-abl gene can provoke several types of lymphoid neoplasm, mice of a transgenic strain (E mu-v-abl 40) in which lymphocytes are targeted for expression of v-abl by a linked immunoglobulin enhancer (E mu) spontaneously develop only plasmacytomas. To determine whether other lymphocytes of this strain were susceptible to transformation, and to identify genes that can collaborate with v-abl in tumorigenesis, E mu-v-abl 40 mice were subjected to insertional mutagenesis by neonatal infection with Moloney murine leukemia virus. Tumorigenesis was accelerated moderately, but nearly all the tumors were T lymphomas. The altered tumor type may reflect both the T-cell tropism of Moloney virus and the higher level of E mu-v-abl 40 expression found in T lymphocytes than in B lymphocytes. Insertion near the c-myc, N-myc or pim-I gene was observed in 42% of the induced tumors, indicating that each of these genes may collaborate with v-abl in lymphomagenesis. Most of the accelerated tumors had a surprisingly low level of transgene expression. Thus, high expression of v-abl may not be required for Moloney-induced T lymphomagenesis.","['Haupt, Y', 'Harris, A W', 'Adams, J M']","['Haupt Y', 'Harris AW', 'Adams JM']","['Walter and Eliza Hall Institute of Medical Research, Royal Melbourne Hospital, Victoria, Australia.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Int J Cancer,International journal of cancer,0042124,,IM,"['Animals', 'Cell Transformation, Viral', 'Gene Expression', '*Genes, abl', 'Genes, myc', 'Lymphocytes/ultrastructure', 'Lymphoma, T-Cell/genetics/*microbiology', 'Mice', 'Mice, Transgenic', '*Moloney murine leukemia virus', 'Mutagenesis, Insertional', 'Plasmacytoma/etiology', '*Tumor Virus Infections/genetics']",1993/10/21 00:00,1993/10/21 00:01,['1993/10/21 00:00'],"['1993/10/21 00:00 [pubmed]', '1993/10/21 00:01 [medline]', '1993/10/21 00:00 [entrez]']",['10.1002/ijc.2910550418 [doi]'],ppublish,Int J Cancer. 1993 Oct 21;55(4):623-9. doi: 10.1002/ijc.2910550418.,,,['pim-1'],,,,,['CA43540/CA/NCI NIH HHS/United States'],,
