PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,RN,GR,SI,TT,RF,CON,CIN,CRF,EIN,OID,OTO,OT,GN
8703817,NLM,MEDLINE,19960912,20190705,0007-1048 (Print) 0007-1048 (Linking),93,4,1996 Jun,Investigation of calmodulin and basic fibroblast growth factor (bFGF) in idiopathic myelofibrosis: evidence for a role of extracellular calmodulin in fibroblast proliferation.,856-62,"The urinary concentration of calmodulin and basic fibroblast growth factor (bFGF) was determined in a total of 53 patients with various chronic myeloproliferative disorders (CMPD), including 22 patients with idiopathic myelofibrosis (IMF). Calmodulin excretion was significantly elevated in IMF (0.29 +/- 0.04 microgram/mmol creatinine) (P < 0.001), when compared to polycythaemia vera (PV) (0.14 +/- 0.02), essential thrombocythaemia (ET) (0.13 +/- 0.04), chronic myeloid leukaemia (CML) (0.16 +/- 0.02), unclassified myeloproliferative disorders (UMPD) (0.11 +/- 0.02) and age-matched controls (0.1 +/- 0.02) (P < 0.001). In contrast, bFGF was slightly elevated in all CMPD conditions when compared to age-matched controls. A neutralizing antibody to calmodulin was demonstrated to significantly influence the in vitro proliferation of normal human fibroblasts, an effect dependent on both cell density and the presence of fetal calf serum (FCS). Essentially, the antibody reduced FCS-induced proliferation of low-density fibroblasts but had little or no inhibitory effect on high-density fibroblasts in the absence of FCS. In addition, extracellular calmodulin was shown not to interact with known fibroblast mitogens, namely, IFG-1, EGF, bDGF and PDGF. We conclude that extracellular calmodulin should be considered, in addition to PDGF, TFG-beta and EGF, as a potential mitogen involved in the stromal reaction of idiopathic myelofibrosis.","['Dalley, A', 'Smith, J M', 'Reilly, J T', 'Neil, S M']","['Dalley A', 'Smith JM', 'Reilly JT', 'Neil SM']","['University Department of Medicine, Northern General Hospital Trust, Sheffield.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Calmodulin/adverse effects/*physiology/urine', 'Cell Division', 'Cells, Cultured', 'Female', 'Fibroblast Growth Factor 2/adverse effects/*physiology/urine', 'Fibroblasts/pathology', 'Humans', 'Immunoglobulin G/pharmacology', 'Male', 'Middle Aged', 'Myeloproliferative Disorders/*etiology/pathology/urine', 'Primary Myelofibrosis/*etiology/pathology/urine']",1996/06/01 00:00,1996/06/01 00:01,['1996/06/01 00:00'],"['1996/06/01 00:00 [pubmed]', '1996/06/01 00:01 [medline]', '1996/06/01 00:00 [entrez]']",['10.1046/j.1365-2141.1996.d01-1739.x [doi]'],ppublish,Br J Haematol. 1996 Jun;93(4):856-62. doi: 10.1046/j.1365-2141.1996.d01-1739.x.,,"['0 (Calmodulin)', '0 (Immunoglobulin G)', '103107-01-3 (Fibroblast Growth Factor 2)']",,,,,,,,,,,,
8703809,NLM,MEDLINE,19960912,20190705,0007-1048 (Print) 0007-1048 (Linking),93,4,1996 Jun,Positive diepoxybutane test in only one of two brothers found to be compound heterozygotes for Fanconi's anaemia complementation group C mutations.,813-6,"Fanconi's anaemia (FA) is an autosomal recessive disorder characterized by diverse congenital abnormalities, the development of progressive bone marrow failure, and an increased predisposition to malignancy, particularly acute leukaemia. The FA phenotype is so variable that diagnosis on the basis of clinical manifestations alone can be difficult. The modern diagnosis of FA no longer rests entirely on the constellation of clinical and haematological abnormalities first described by Fanconi, but depends on finding elevated chromosomal breakage after incubation of peripheral blood lymphocytes with the chemical clastogens diepoxybutane (DEB) or mitomycin-C (MMC). The cloning of the gene for FA complementation group C [FAC] provides an opportunity to test the validity of the ""DEB test' which in recent times has become the main arbiter as to whether a patient is classified as FA or non-FA. We report on two brothers with similar clinical and haematological features who have both been identified as compound heterozygotes for the FAC mutations L554P and delta G322, but only one of the brothers has a positive DEB test. On the basis of the DEB test one would be classified as FA and the other as non-FA. The time has come to re-evaluate the diagnostic criteria of ""Fanconi's anaemia'.","['Dokal, I', 'Chase, A', 'Morgan, N V', 'Coulthard, S', 'Hall, G', 'Mathew, C G', 'Roberts, I']","['Dokal I', 'Chase A', 'Morgan NV', 'Coulthard S', 'Hall G', 'Mathew CG', 'Roberts I']","['Department of Haematology, Hammersmith Hospital, London.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,IM,"['Adolescent', '*Cell Cycle Proteins', '*DNA-Binding Proteins', 'Epoxy Compounds/*pharmacology', 'Fanconi Anemia/*diagnosis/genetics', 'Fanconi Anemia Complementation Group C Protein', 'Fanconi Anemia Complementation Group Proteins', 'Heterozygote', 'Humans', 'Male', 'Mutagenicity Tests', '*Mutation', '*Nuclear Proteins', 'Proteins/*genetics']",1996/06/01 00:00,1996/06/01 00:01,['1996/06/01 00:00'],"['1996/06/01 00:00 [pubmed]', '1996/06/01 00:01 [medline]', '1996/06/01 00:00 [entrez]']",['10.1046/j.1365-2141.1996.d01-1726.x [doi]'],ppublish,Br J Haematol. 1996 Jun;93(4):813-6. doi: 10.1046/j.1365-2141.1996.d01-1726.x.,,"['0 (Cell Cycle Proteins)', '0 (DNA-Binding Proteins)', '0 (Epoxy Compounds)', '0 (FANCC protein, human)', '0 (Fanconi Anemia Complementation Group C Protein)', '0 (Fanconi Anemia Complementation Group Proteins)', '0 (Nuclear Proteins)', '0 (Proteins)', '60OB65YNAB (diepoxybutane)']",,,,,,,,,,,,
8703808,NLM,MEDLINE,19960912,20041117,0007-1048 (Print) 0007-1048 (Linking),93,4,1996 Jun,Spectrum of diseases associated with increased proportions or absolute numbers of peripheral blood natural killer cells.,810-2,"In a retrospective review of 1501 lymphoid flow cytometric studies of peripheral blood, we identified an increased proportion of natural killer cells in 125 cases (8%), 49 (3%) of which had a concomitant increase in absolute number of natural killer cells. Of the latter, the most frequent associated disorder was chronic natural killer cell lymphocytosis. Substantial quantitative increases in natural killer cells were also observed in some patients with lymphoma, leukaemia, immune thrombocytopenic purpura, or myelodysplastic syndrome. Our study provides incidence figures and clinical associations of an increased number of natural killer cells in the peripheral blood.","['Okuno, S H', 'Tefferi, A', 'Hanson, C A', 'Katzmann, J A', 'Li, C Y', 'Witzig, T E']","['Okuno SH', 'Tefferi A', 'Hanson CA', 'Katzmann JA', 'Li CY', 'Witzig TE']","['Division of Hematology and Internal Medicine, Mayo Clinic, Rochester, Minnesota 55905, USA.']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,IM,"['Flow Cytometry', 'Humans', 'Killer Cells, Natural/*pathology', 'Leukemia/pathology', 'Leukocyte Count', 'Lymphocytosis/*complications', 'Lymphoma/pathology', 'Lymphoproliferative Disorders/etiology', 'Retrospective Studies']",1996/06/01 00:00,1996/06/01 00:01,['1996/06/01 00:00'],"['1996/06/01 00:00 [pubmed]', '1996/06/01 00:01 [medline]', '1996/06/01 00:00 [entrez]']",,ppublish,Br J Haematol. 1996 Jun;93(4):810-2.,,,,,,,,,,,,,,
8703803,NLM,MEDLINE,19960912,20190705,0007-1048 (Print) 0007-1048 (Linking),93,4,1996 Jun,A sensitive sandwich ELISA for measuring thrombopoietin in human serum: serum thrombopoietin levels in healthy volunteers and in patients with haemopoietic disorders.,783-8,"A sensitive sandwich enzyme-linked immunosorbent assay (ELISA) has been established to estimate serum thrombopoietin (TPO) concentrations in healthy volunteers and patients with haemopoietic disorders. The ELISA uses a mouse monoclonal antibody (Ab) as the capture Ab and a biotinylated rabbit polyclonal Ab as the detector. The ELISA was reproducible, highly sensitive and specific for human TPO. The coefficients of intra-and inter assay variation were from 3.0% to 4.9% and from 5.9% to 6.1%, respectively. The quantitative limit of the ELISA was 0.09 fmol/ml in serum. The quantitative limit was lower than the normal level. The dose-response curves of serum samples from healthy volunteers and patients with haemopoietic disorders were parallel to the standard curves. The ELISA did not cross-react with a variety of blood components and cytokines to produce false-positive results. The serum TPO concentrations from 29 normal males and 21 females were 0.79 +/- 0.35 and 0.70 +/- 0.26 fmol/ml, respectively. Serum TPO levels in patients with aplastic anaemia (AA), acute lymphocytic leukemia (ALL) and essential thrombocythaemia (ET) were measured using the ELISA. The serum TPO levels in the patients with ET (n = 6, 2.80 +/- 1.55 fmol/ml) were higher than the normal level. The patients with AA (n = 7, 18.53 +/- 12.37 fmol/ml) and ALL (n = 5, 10.36 +/- 5.57 fmol/ml) had significantly higher serum TPO levels than normal individuals. These results indicate that the ELISA specific to TPO should prove useful in measuring the TPO concentration in serum samples.","['Tahara, T', 'Usuki, K', 'Sato, H', 'Ohashi, H', 'Morita, H', 'Tsumura, H', 'Matsumoto, A', 'Miyazaki, H', 'Urabe, A', 'Kato, T']","['Tahara T', 'Usuki K', 'Sato H', 'Ohashi H', 'Morita H', 'Tsumura H', 'Matsumoto A', 'Miyazaki H', 'Urabe A', 'Kato T']","['Pharmaceutical Research Laboratory, Kirin Brewery Co. Ltd., Gunma, Japan.']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,IM,"['Adult', 'Enzyme-Linked Immunosorbent Assay/*methods', 'Female', 'Hematologic Diseases/*blood', 'Hematopoiesis', 'Humans', 'Male', 'Reproducibility of Results', 'Sensitivity and Specificity', 'Thrombopoietin/*blood']",1996/06/01 00:00,1996/06/01 00:01,['1996/06/01 00:00'],"['1996/06/01 00:00 [pubmed]', '1996/06/01 00:01 [medline]', '1996/06/01 00:00 [entrez]']",['10.1046/j.1365-2141.1996.d01-1741.x [doi]'],ppublish,Br J Haematol. 1996 Jun;93(4):783-8. doi: 10.1046/j.1365-2141.1996.d01-1741.x.,,['9014-42-0 (Thrombopoietin)'],,,,,,,,,,,,
8703801,NLM,MEDLINE,19960912,20190705,0007-1048 (Print) 0007-1048 (Linking),93,4,1996 Jun,"Protein kinase C isozymes in human megakaryoblastic leukemia cell line, MEG-01: possible involvement of the isozymes in the differentiation process of MEG-01 cells.",762-71,"The expression of the different protein kinase C (PKC) isozymes in various states of differentiation of the human megakaryoblastic leukaemia cell line MEG-01 were analysed using thermocycle amplification of mRNA and immunoblotting. MEG-01 expressed mRNAs of PKC alpha, -beta I, -beta II, -delta, -epsilon, -eta, -theta and -zeta, but not PKC gamma. At the protein molecule level, MEG-01 was observed to express PKC alpha, -beta I, -beta II,- epsilon, -theta and -zeta, but lack -gamma, -delta and -eta. When differentiation of MEG-01 was induced by 100 nm 12-O-tetradecanoyl-phorbol-13-acetate (TPA), rapid translocation from cytosol to membrane fraction and down-regulation of PKC alpha, -epsilon and -theta was observed in 1-2h. On the other hand, PKC beta I and -beta II were observed to translocate not only to the membrane fraction but also to the cytoskeletal fraction in a different manner, and their down-regulation, especially beta II, was very slow. The myristoylated, alanine-rich C kinase substrate (MARCKS) in the membrane fraction of MEG-01 cells was observed to decrease gradually throughout the differentiation process. Additionally, time-course study of TPA treatment indicated that incubation of the cells for 30 min is sufficient for differentiation. These results strongly suggest that the activation of PKC alpha, -epsilon and -theta is involved in the initiation of differentiation, and that PKC beta I and -beta II have important roles in the maintenance of differentiation. Although PKC zeta was resistant to TPA treatment and its translocation was reduced, the amount of this isozyme in the cytosol fraction decreased throughout the differentiation process.","['Nagata, K I', 'Okano, Y', 'Nozawa, Y']","['Nagata KI', 'Okano Y', 'Nozawa Y']","['Department of Molecular Pathobiochemistry, Gifu University School of Medicine, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,IM,"['Base Sequence', 'Blood Platelets/enzymology', 'Cell Differentiation', 'DNA, Neoplasm/metabolism', 'Down-Regulation', 'Humans', 'Immunoblotting', 'Isoenzymes/*metabolism', 'Leukemia, Megakaryoblastic, Acute/*enzymology/pathology', 'Megakaryocytes/enzymology/*pathology', 'Molecular Sequence Data', 'Polymerase Chain Reaction', 'Protein Kinase C/*metabolism', 'RNA, Messenger/metabolism', 'Tumor Cells, Cultured']",1996/06/01 00:00,1996/06/01 00:01,['1996/06/01 00:00'],"['1996/06/01 00:00 [pubmed]', '1996/06/01 00:01 [medline]', '1996/06/01 00:00 [entrez]']",['10.1046/j.1365-2141.1996.d01-1714.x [doi]'],ppublish,Br J Haematol. 1996 Jun;93(4):762-71. doi: 10.1046/j.1365-2141.1996.d01-1714.x.,,"['0 (DNA, Neoplasm)', '0 (Isoenzymes)', '0 (RNA, Messenger)', 'EC 2.7.11.13 (Protein Kinase C)']",,,,,,,,,,,,
8703800,NLM,MEDLINE,19960912,20190705,0007-1048 (Print) 0007-1048 (Linking),93,4,1996 Jun,Graft-versus-leukaemia: understanding and using the alloimmune response to treat haematological malignancies.,754-61,,"['Barrett, A J', 'Malkovska, V']","['Barrett AJ', 'Malkovska V']","['Bone Marrow Transplant Unit, National Heart, Lung and Blood Institute, National Institutes of Health, Bethesda, Maryland, USA.']",['eng'],"['Journal Article', 'Review']",England,Br J Haematol,British journal of haematology,0372544,IM,"['Antibody Formation', '*Bone Marrow Transplantation', 'Graft vs Host Disease/immunology', 'Graft vs Host Reaction/immunology', 'Humans', 'Immunization, Passive', 'Killer Cells, Natural/immunology', 'Leukemia/immunology/*therapy', 'T-Lymphocytes/immunology']",1996/06/01 00:00,1996/06/01 00:01,['1996/06/01 00:00'],"['1996/06/01 00:00 [pubmed]', '1996/06/01 00:01 [medline]', '1996/06/01 00:00 [entrez]']",['10.1046/j.1365-2141.1996.d01-1713.x [doi]'],ppublish,Br J Haematol. 1996 Jun;93(4):754-61. doi: 10.1046/j.1365-2141.1996.d01-1713.x.,,,,,,89,,,,,,,,
8703476,NLM,MEDLINE,19960910,20201209,1044-1549 (Print) 1044-1549 (Linking),15,2,1996 Aug,Characterization of a neutrophil inhibitor peptide harvested from human bronchial lavage: homology to influenza A nucleoprotein.,207-15,"Bronchi are exposed to particulate matter, including bacteria, fungi and dusts, that should trigger release of molecules which attract polymorphonuclear neutrophils (PMN). However, normal bronchi are relatively devoid of PMN, suggesting that there exists a mechanism to dampen acute inflammation in the lung. We have previously reported that bronchial lavage from normal humans contains a nonpolar peptide that inhibits PMN chemotaxis and oxidant production. In the present study we devised preparative methods to obtain sufficient quantities of a similar inhibitor molecule for partial amino acid sequencing and allow production of truncated analogues. Amino acid sequencing demonstrated that the peptide includes a 10-amino-acid sequence that is completely homologous to a sequence of amino acids contained in the influenza A nucleoprotein. Synthesized peptides containing this 10-amino-acid sequence inhibited PMN chemotaxis and oxidant production. In addition, PMN lysates actively phosphorylated peptides containing the 10-amino-acid sequence or a partial sequence containing an apparent phosphorylation site. U937 cells were noted to be one source of this inhibitor, as a similarly sized nonpolar inhibitor peptide was purified from U937 culture supernatants. In addition, U937 and monocyte cellular lysates contained proteins recognized by an antiserum directed at the influenza A nucleoprotein. Further characterization of the molecule described in this study or related molecules may lead to significantly new antiinflammatory strategies.","['Cooper, J A Jr', 'Culbreth, R R']","['Cooper JA Jr', 'Culbreth RR']","['Pulmonary Section, Birmingham Veterans Administration Medical Center (VAMC), Alabama, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Am J Respir Cell Mol Biol,American journal of respiratory cell and molecular biology,8917225,IM,"['Amino Acid Sequence', 'Bronchoalveolar Lavage Fluid/*chemistry', 'Cell Survival/drug effects', 'Chemotactic Factors/analysis/*chemistry/isolation & purification', 'Chemotaxis/drug effects', 'Chromatography, High Pressure Liquid', 'Humans', 'Immunoblotting', 'Influenza A virus/chemistry', 'Leukemia, Promyelocytic, Acute', 'Molecular Sequence Data', 'Neutrophils/*chemistry/enzymology', 'Nucleocapsid Proteins', 'Nucleoproteins/*chemistry/pharmacology', 'Peptides/chemical synthesis/chemistry/isolation & purification', 'Phosphorylation', '*RNA-Binding Proteins', 'Superoxides/metabolism', 'Time Factors', 'Tumor Cells, Cultured/chemistry/metabolism', 'Viral Core Proteins/*chemistry/pharmacology']",1996/08/01 00:00,2001/03/28 10:01,['1996/08/01 00:00'],"['1996/08/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1996/08/01 00:00 [entrez]']",['10.1165/ajrcmb.15.2.8703476 [doi]'],ppublish,Am J Respir Cell Mol Biol. 1996 Aug;15(2):207-15. doi: 10.1165/ajrcmb.15.2.8703476.,,"['0 (Chemotactic Factors)', '0 (NP protein, Influenza A virus)', '0 (Nucleocapsid Proteins)', '0 (Nucleoproteins)', '0 (Peptides)', '0 (RNA-Binding Proteins)', '0 (Viral Core Proteins)', '11062-77-4 (Superoxides)']",,,,,,,,,,,,
8703374,NLM,MEDLINE,19960910,20150901,1011-8934 (Print) 1011-8934 (Linking),11,1,1996 Feb,Minimally differentiated acute myelogenous leukemia presented with multiple cervical lymphadenopathy.,77-9,"Lymphadenopathy is a relatively uncommon finding of minimally differentiated acute myelogenous leukemia (AML-MO). We experienced a case of AML-MO in a 57-year-old man initially presented with multiple cervical lymphadenopathy. Bone marrow aspiration revealed myeloblasts, which were negative for myeloperoxidase, Sudan black B, Periodic acid-Schiff, non-specific esterase and double esterase reaction. In cell surface marker studies, CD13, CD14, CD33, CD34, CD45 and HLA-DR were present. CT scan of neck demonstrated multiple lymphadenopathy at both internal jugular chains, spinal accessory chains and submandibular area. He died about two weeks after diagnosis without specific treatment.","['Choi, J H', 'Chung, W S', 'Han, W S', 'Choi, H Y']","['Choi JH', 'Chung WS', 'Han WS', 'Choi HY']","['Department of Internal Medicine, Ewha Womans University College of Medicine, Seoul, Korea.']",['eng'],"['Case Reports', 'Journal Article']",Korea (South),J Korean Med Sci,Journal of Korean medical science,8703518,IM,"['Fatal Outcome', 'Humans', 'Leukemia, Myeloid, Acute/*complications/pathology', 'Lymphatic Diseases/*complications/pathology', 'Male', 'Middle Aged', 'Neck', 'Tomography Scanners, X-Ray Computed']",1996/02/01 00:00,1996/02/01 00:01,['1996/02/01 00:00'],"['1996/02/01 00:00 [pubmed]', '1996/02/01 00:01 [medline]', '1996/02/01 00:00 [entrez]']",['10.3346/jkms.1996.11.1.77 [doi]'],ppublish,J Korean Med Sci. 1996 Feb;11(1):77-9. doi: 10.3346/jkms.1996.11.1.77.,PMC3053913,,,,,,,,,,,,,
8703373,NLM,MEDLINE,19960910,20150901,1011-8934 (Print) 1011-8934 (Linking),11,1,1996 Feb,Unsuspected gastric granulocytic sarcoma in a patient with myelodysplastic syndrome.,68-76,"Granulocytic sarcoma (GS) is an uncommon and localized extramedullary tumor composed of immature granulocytic cells. Most GS reported in large series were not associated with overt acute myelogenous leukemia. Gastric perforation occurred during prednisolone therapy in a 72-year-old Japanese male with a four-month history of a myelofibrosis-like state. Subtotal gastrectomy was performed for a suspected gastric ulcer perforation. Gastric histologic, immunohistochemical and cytochemical examination revealed diffuse infiltration by sheets of myeloblasts and promyelocytes with scant or moderately abundant cytoplasm including a few eosinophilic myelocytes. Bone marrow study done in one month after the operation disclosed refractory anemia with excess of blasts (RAEB). Leukemic transformation occurred two months later, and a subcutaneous tumor appeared on the forehead. The forehead tumor predominantly consisted of myeloblasts without evidence of maturation. Both the stomach and forehead tumors were examined immunohistochemically with a panel of monoclonal antibodies (LCA, L26, MT1, UCHL1, OPD4, LN-1, LN-2, LN-3, MB1, Leu-M1, PM) and polyclonal antibodies (lysozyme, alpha 1-antitrypsin, alpha 1-antichymotrypsin, S-100 protein, lactoferrin), as well as naphthol-ASD-chloroacetate esterase staining to investigate and characterize the reliable marks for GS, and the patient was diagnosed as GS. We found that gastric GS may occur in a myelofibrosis-like state followed by RAEB of myelodysplastic syndrome and that naphthol-ASD-chloroacetate esterase staining and immunohistochemical detection of MT1, lysozyme, and alpha 1-antitrypsin were the most reliable markers for confirming the diagnosis of GS.","['Jeon, H J', 'Akagi, T']","['Jeon HJ', 'Akagi T']","['Department of Pathology, Chosun University Medical School Kwangju, Korea.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Korea (South),J Korean Med Sci,Journal of Korean medical science,8703518,IM,"['Aged', 'Fatal Outcome', 'Forehead', 'Humans', 'Leukemia, Myeloid/*complications/pathology', 'Male', 'Myelodysplastic Syndromes/*complications/pathology', 'Skin Neoplasms/complications/pathology', 'Stomach Neoplasms/*complications/pathology']",1996/02/01 00:00,1996/02/01 00:01,['1996/02/01 00:00'],"['1996/02/01 00:00 [pubmed]', '1996/02/01 00:01 [medline]', '1996/02/01 00:00 [entrez]']",['10.3346/jkms.1996.11.1.68 [doi]'],ppublish,J Korean Med Sci. 1996 Feb;11(1):68-76. doi: 10.3346/jkms.1996.11.1.68.,PMC3053922,,,,,,,,,,,,,
8703367,NLM,MEDLINE,19960910,20151119,1011-8934 (Print) 1011-8934 (Linking),11,1,1996 Feb,"Efficacy of in vitro treatment of chronic myelogenous leukemia cell line, K562 cells, using 4-hydroperoxycyclophosphamide, alpha-interferon and gamma-interferon.",26-32,"Alpha-interferon (alpha-IFN) and gamma-interferon (gamma-IFN) are highly effective biologic agents in the treatment of chronic myelogenous leukemia (CML). 4-hydroperoxycyclophosphamide (4-HC) is the most commonly used chemotherapeutic drug when purging bone marrow contaminated with malignant cells. To investigate the efficacy of alpha-IFN, gamma-IFN and 4-HC as purging agents in CML patients, K562 cells, a human CML cell line, were treated in vitro with these drugs singly or in combination. The cytotoxic effect was evaluated by MTT assay. Data were analyzed for synergism by the median effect principle of Chou and Talalay. Using Southern blot analysis, the effect of purging on the suppression of bcr gene rearrangement was also evaluated. Alpha-IFN, gamma-IFN and 4-HC all showed good concentration-dependent cytotoxic effect. Median cytotoxic doses of alpha-IFN gamma-IFN and 4-HC were 0.03 microM 0.20 microM and 1.97 microM respectively, and molar ratios of median doses of alpha-IFN to 4-HC, gamma-IFN to 4-HC and alpha-IFN to gamma-IFN were 1:80, 1:10 and 1:8, respectively. The combination treatment of alpha-IFN and 4-HC, and gamma-IFN and 4-HC showed significant synergistic cytotoxic activities, but combination of alpha-IFN and gamma-IFN was antagonistic. Status of bcr gene rearrangements in K562 cells was not changed after the treatments. Our results appear to provide an efficient method for removing CML cells from the bone marrow of CML patients.","['Lee, J T', 'Park, S', 'Lee, J H', 'Kim, B K', 'Kim, N K']","['Lee JT', 'Park S', 'Lee JH', 'Kim BK', 'Kim NK']","['Department of Internal Medicine, Seoul National University College of Medicine, Korea.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Korea (South),J Korean Med Sci,Journal of Korean medical science,8703518,IM,"['Antineoplastic Agents/therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Blotting, Southern', 'Cyclophosphamide/analogs & derivatives/therapeutic use', 'Drug Antagonism', 'Drug Screening Assays, Antitumor', 'Drug Synergism', 'Humans', 'Interferon-alpha/therapeutic use', 'Interferon-gamma/therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Tumor Cells, Cultured']",1996/02/01 00:00,1996/02/01 00:01,['1996/02/01 00:00'],"['1996/02/01 00:00 [pubmed]', '1996/02/01 00:01 [medline]', '1996/02/01 00:00 [entrez]']",['10.3346/jkms.1996.11.1.26 [doi]'],ppublish,J Korean Med Sci. 1996 Feb;11(1):26-32. doi: 10.3346/jkms.1996.11.1.26.,PMC3053917,"['0 (Antineoplastic Agents)', '0 (Interferon-alpha)', '82115-62-6 (Interferon-gamma)', '8N3DW7272P (Cyclophosphamide)', 'U880A4FUDA (perfosfamide)']",,,,,,,,,,,,
8703318,NLM,MEDLINE,19960912,20191101,0958-3947 (Print) 1873-4022 (Linking),20,4,1995 Winter,A method for total skin electron treatment for infants.,243-8,"Diseases such as mycosis fungoides require the treatment of a patient's total skin surface with superficial radiation. In a unique clinical situation, a 14-month-old child presented with a need for total skin treatment. A typical total skin technique requires overlapping electron beams, using 6 body positions, each with the gantry rotated for 2 angulations, or '6 positions-12 fields'. Adaptation of this technique for infants is complicated by the small diameter of some body parts, and by the necessity to treat while the patient is anesthetized. Even degraded, low energy electrons can easily penetrate fingers and toes. Therefore, dose from 6 positions becomes additive, and the total dose to small circumferences can be 3 to 4 times more than skin dose on the torso, raising concerns about uneven bone growth in the developing child. Special phantoms were designed for extensive dosimetry needed to determine both dose rate and dose summation from the overlapping beams. Computerized electron pencil beam calculations were compared to TLD measurements. Unique compensating techniques were used to deliver uniform dose. A modification of the 6 position-12 field technique will be described; and accessories used to reduce high dose regions will be illustrated.","['Earley, L', 'Moeller, J', ""O'Rear, J"", 'Leavitt, D D']","['Earley L', 'Moeller J', ""O'Rear J"", 'Leavitt DD']","['Department of Radiation Oncology, University of Utah Medical Center, Salt Lake City 84132, USA.']",['eng'],"['Case Reports', 'Comparative Study', 'Journal Article']",United States,Med Dosim,Medical dosimetry : official journal of the American Association of Medical Dosimetrists,8908862,IM,"['Bone Development/radiation effects', 'Equipment Design', 'Film Dosimetry', 'Fingers/radiation effects', 'Humans', 'Infant', 'Leukemia, Myeloid, Acute/*pathology/*radiotherapy', 'Leukemic Infiltration/*pathology/*radiotherapy', 'Male', 'Models, Structural', 'Posture', 'Radiation Protection/instrumentation', 'Radiotherapy Dosage', 'Radiotherapy Planning, Computer-Assisted/instrumentation/*methods', 'Skin/*pathology/*radiation effects', 'Toes/radiation effects', '*Whole-Body Irradiation']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']","['0958-3947(95)02010-1 [pii]', '10.1016/0958-3947(95)02010-1 [doi]']",ppublish,Med Dosim. 1995 Winter;20(4):243-8. doi: 10.1016/0958-3947(95)02010-1.,,,,,,,,,,,,,,
8703134,NLM,MEDLINE,19961017,20190905,0938-8990 (Print) 0938-8990 (Linking),7,9,1996 Sep,Localization of mouse homolog of the bovine leukemia virus receptor gene on mouse chromosome 10.,708-9,,"['Suzuki, T', 'Yonekawa, H', 'Ikeda, H']","['Suzuki T', 'Yonekawa H', 'Ikeda H']","['Laboratory of Immunogenetics, National Institute of Animal Health, 3-1-1 Kannondai, Tsukuba, Ibaraki-ken 305, Japan.']",['eng'],['Journal Article'],United States,Mamm Genome,Mammalian genome : official journal of the International Mammalian Genome Society,9100916,IM,"['Animals', 'Base Sequence', 'Cattle', '*Chromosome Mapping', 'Chromosomes, Human, Pair 19', 'DNA Primers', 'Goats', 'Humans', 'Leukemia Virus, Bovine/*physiology', '*Membrane Proteins', 'Mice/*genetics', 'Molecular Sequence Data', 'Polymerase Chain Reaction', 'Polymorphism, Single-Stranded Conformational', 'Receptors, Virus/*genetics', 'Sequence Homology, Nucleic Acid', 'Sheep']",1996/09/01 00:00,1996/09/01 00:01,['1996/09/01 00:00'],"['1996/09/01 00:00 [pubmed]', '1996/09/01 00:01 [medline]', '1996/09/01 00:00 [entrez]']",['10.1007/s003359900215 [doi]'],ppublish,Mamm Genome. 1996 Sep;7(9):708-9. doi: 10.1007/s003359900215.,,"['0 (BLVR protein, Bos taurus)', '0 (DNA Primers)', '0 (Membrane Proteins)', '0 (Receptors, Virus)']",,"['GENBANK/D83670', 'GENBANK/D83671']",,,,,,,,,,
