PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,TT,OID,OTO,OT,GN
6929715,NLM,MEDLINE,19800828,20210216,0006-4971 (Print) 0006-4971 (Linking),55,6,1980 Jun,Crystalloid-containing giant granules in leukemic monoblasts.,946-54,,"['Cowan, H B', 'Parmley, R T', 'Crist, W M', 'Alvarez, C J', 'Polston, N']","['Cowan HB', 'Parmley RT', 'Crist WM', 'Alvarez CJ', 'Polston N']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,['EC 3.1.3.2 (Acid Phosphatase)'],IM,"['Acid Phosphatase', 'Adolescent', 'Chediak-Higashi Syndrome/pathology', 'Cytoplasmic Granules/analysis/*pathology', 'Female', 'Humans', 'Leukemia, Monocytic, Acute/enzymology/*pathology/ultrastructure']",,1980/06/01 00:00,1980/06/01 00:01,['1980/06/01 00:00'],"['1980/06/01 00:00 [pubmed]', '1980/06/01 00:01 [medline]', '1980/06/01 00:00 [entrez]']",['S0006-4971(20)78275-3 [pii]'],ppublish,Blood. 1980 Jun;55(6):946-54.,,,,,,
6929714,NLM,MEDLINE,19800828,20210216,0006-4971 (Print) 0006-4971 (Linking),55,6,1980 Jun,Histiocytic lymphoma fifteen years following remission of acute lymphoblastic leukemia.,944-5,A 19-yr-old female presented with diffuse histiocytic lymphoma after a 15-yr remission of acute lymphoblastic leukemia. All treatment had been discontinued 7 yr before the onset of the lymphoma. The possible relationships of these two neoplasms are discussed.,"['Dosik, H', 'Anon, R', 'Lee, S L', 'Allen, A C', 'Krishnamurthy, M']","['Dosik H', 'Anon R', 'Lee SL', 'Allen AC', 'Krishnamurthy M']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,,IM,"['Adult', 'Female', 'Humans', 'Leukemia, Lymphoid/*diagnosis', 'Lymphoma/*diagnosis', 'Remission, Spontaneous', 'Time Factors']",,1980/06/01 00:00,1980/06/01 00:01,['1980/06/01 00:00'],"['1980/06/01 00:00 [pubmed]', '1980/06/01 00:01 [medline]', '1980/06/01 00:00 [entrez]']",['S0006-4971(20)78274-1 [pii]'],ppublish,Blood. 1980 Jun;55(6):944-5.,,,,,,
6929713,NLM,MEDLINE,19800828,20210216,0006-4971 (Print) 0006-4971 (Linking),55,6,1980 Jun,Chronic myelocytic leukemia: eosinophils involved in the malignant clone.,1063-5,"Chronic myelocytic leukemia (CML) is a clonal disorder involving neutrophil, monocyte, erythrocyte, and platelet precursors. In order to determine if the eosinophils are also involved in the leukemic clone, we purified the eosinophils from a woman heterozygous for the common electrophoretic variants of the G6PD gene. Only type B enzyme was demonstrable in the eosinophils, neutrophils, and red cells, but both A and B enzymes were found in the fibroblasts. The data provide evidence that the eosinophil is involved in the malignant clone.","['Koeffler, H P', 'Levine, A M', 'Sparkes, M', 'Sparkes, R S']","['Koeffler HP', 'Levine AM', 'Sparkes M', 'Sparkes RS']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,['EC 1.1.1.49 (Glucosephosphate Dehydrogenase)'],IM,"['Adult', 'Cell Separation', 'Chromosomes, Human, 21-22 and Y', 'Clone Cells', '*Eosinophils', 'Female', 'Fibroblasts/enzymology', 'Glucosephosphate Dehydrogenase/blood', 'Hematopoietic Stem Cells/enzymology', 'Humans', 'Leukemia, Myeloid/*blood']",,1980/06/01 00:00,1980/06/01 00:01,['1980/06/01 00:00'],"['1980/06/01 00:00 [pubmed]', '1980/06/01 00:01 [medline]', '1980/06/01 00:00 [entrez]']",['S0006-4971(20)78293-5 [pii]'],ppublish,Blood. 1980 Jun;55(6):1063-5.,,,,,,
6929706,NLM,MEDLINE,19800828,20190704,0007-1048 (Print) 0007-1048 (Linking),45,1,1980 May,Immunosuppression and serious infections in children with acute lymphoblastic leukaemia: a comparison of three chemotherapy regimes.,41-52,"Eighty-four children presenting with acute lymphoblastic leukaemia were entered into a trial designed to test the effect on host toxicity of regular drug-free periods during chemotherapy. Patients received the same total dose of drugs either continuously (daily), intermittently (a 5 d course every 3 weeks) or in an intermediate way between these two (a 14 d course followed by a 7 d gap). Mean neutrophil counts were lower in the intermittent group and fell significantly at 6 week intervals, after courses which included prednisolone and vincristine in addition to methotrexate and 6-mercaptopurine. Mean lymphocyte counts, mitotic response to phytohaemagglutinin and plasma immunoglobulin levels were significantly lower in the continuous group. The results in the intermediate group fell between those of the other two groups. All six remission deaths occurred in the 42 patients in the continuous group, who had a much higher incidence of infections (mostly viral and protozoal) than the other two groups. It is concluded that the intermittent chemotherapy schedule permits the maintenance of a lymphocyte population size and function which provides a satisfactory level of defence against infection without prejudice to its anti-leukaemic effect.","['Rapson, N T', 'Cornbleet, M A', 'Chessells, J M', 'Bennett, A J', 'Hardisty, R M']","['Rapson NT', 'Cornbleet MA', 'Chessells JM', 'Bennett AJ', 'Hardisty RM']",['eng'],"['Comparative Study', 'Journal Article']",England,Br J Haematol,British journal of haematology,0372544,"['0 (Immunoglobulins)', 'E7WED276I5 (Mercaptopurine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adolescent', 'Child', 'Child, Preschool', 'Drug Administration Schedule', 'Female', 'Humans', 'Immunoglobulins/metabolism', 'Leukemia, Lymphoid/complications/*drug therapy/immunology', 'Leukocyte Count', 'Lymphocytes/immunology', 'Mercaptopurine/therapeutic use', 'Methotrexate', 'Mitosis/drug effects', 'Neutrophils', 'Pneumonia/complications']",,1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']",['10.1111/j.1365-2141.1980.tb03809.x [doi]'],ppublish,Br J Haematol. 1980 May;45(1):41-52. doi: 10.1111/j.1365-2141.1980.tb03809.x.,,,,,,
6929705,NLM,MEDLINE,19800828,20190704,0007-1048 (Print) 0007-1048 (Linking),45,1,1980 May,Prognostic significance of lymphoblast morphology in acute lymphoblastic leukaemia (ALL) in childhood.,178-81,,"['Vecchi, V', 'Rosito, P', 'Vivarelli, F', 'Mancini, A F', 'Pession, A', 'Paolucci, G']","['Vecchi V', 'Rosito P', 'Vivarelli F', 'Mancini AF', 'Pession A', 'Paolucci G']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,,IM,"['Age Factors', 'Child', 'Child, Preschool', 'Humans', 'Leukemia, Lymphoid/drug therapy/*pathology', 'Lymphocytes/*pathology', 'Prognosis']",,1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']",['10.1111/j.1365-2141.1980.tb03825.x [doi]'],ppublish,Br J Haematol. 1980 May;45(1):178-81. doi: 10.1111/j.1365-2141.1980.tb03825.x.,,,,,,
6929704,NLM,MEDLINE,19800828,20190704,0007-1048 (Print) 0007-1048 (Linking),45,1,1980 May,Chronic myeloid leukaemia: evidence for basophil differentiation and histamine synthesis from cultured peripheral blood cells.,13-21,"We have attempted to assess basophil differentiation in vitro in 15 patients with chronic myeloid leukaemia (CML). Using a sensitive radioassay, whole blood histamine values were found to be elevated in 10 of 14 patients tested, and correlated well with peripheral blood basophil counts (r= inverted question mark70). In seven of nine CML patients, but not in controls, total histamine content of separated peripheral blood cells suspended in a modified Marbrook system was shown to rise after 7 d in vitro. Further study showed that both histamine (mean, five-fold increase) and basophils (mean, three-fold increase) were significantly elevated over control values at 1, 2 and 3 weeks in vitro. Total cell-associated histamine content (in pg per 100 viable cells) was greater in CML cultures than in controls at 3 weeks (P less than 0.01). Serial cultures of cells from one patient revealed substantial in vitro rises in basophils and histamine at an accelerated, but not at a chronic, phase of disease. Cells from this patient and two others studied at the time of blast crisis demonstrated higher indices of basophil and histamine increases when compared to the group of CML patients in chronic phases of the disease (P less than 0.05). We conclude that basophil precursors exist in increased numbers in the peripheral blood of CML patients. Assays for basophil differentiation may prove useful in following disease activity in this and other myeloproliferative disorders.","['Denburg, J A', 'Wilson, W E', 'Goodacre, R', 'Bienenstock, J']","['Denburg JA', 'Wilson WE', 'Goodacre R', 'Bienenstock J']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,['820484N8I3 (Histamine)'],IM,"['Adult', 'Aged', 'Basophils/metabolism/*pathology', 'Cell Differentiation', 'Cells, Cultured', 'Child', 'Female', 'Histamine/biosynthesis', 'Humans', 'Leukemia, Myeloid/*pathology', 'Leukocyte Count', 'Male', 'Middle Aged', 'Time Factors']",,1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']",['10.1111/j.1365-2141.1980.tb03806.x [doi]'],ppublish,Br J Haematol. 1980 May;45(1):13-21. doi: 10.1111/j.1365-2141.1980.tb03806.x.,,,,,,
6929703,NLM,MEDLINE,19800825,20190704,0007-1048 (Print) 0007-1048 (Linking),44,3,1980 Mar,Erythrocyte membrane modifications in chronic granulocytic leukaemia.,509-10,,"['Balduini, C L', 'Sinigaglia, F', 'Ascari, E', 'Balduini, C']","['Balduini CL', 'Sinigaglia F', 'Ascari E', 'Balduini C']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['0 (Glycoproteins)', '0 (Membrane Proteins)', '0 (Sialic Acids)']",IM,"['Electrophoresis, Polyacrylamide Gel', 'Erythrocyte Membrane/*metabolism', 'Erythrocytes/*metabolism', 'Glycoproteins/blood', 'Humans', 'Leukemia, Myeloid/*blood/pathology', 'Membrane Proteins/blood', 'Sialic Acids/blood']",,1980/03/01 00:00,1980/03/01 00:01,['1980/03/01 00:00'],"['1980/03/01 00:00 [pubmed]', '1980/03/01 00:01 [medline]', '1980/03/01 00:00 [entrez]']",['10.1111/j.1365-2141.1980.tb05921.x [doi]'],ppublish,Br J Haematol. 1980 Mar;44(3):509-10. doi: 10.1111/j.1365-2141.1980.tb05921.x.,,,,,,
6929702,NLM,MEDLINE,19800825,20190704,0007-1048 (Print) 0007-1048 (Linking),44,3,1980 Mar,Subclassification of acute lymphoblastic leukaemia in children: analysis of the reproducibility of morphological criteria and prognostic implications.,383-8,"Stained smears of aspirated bone marrow obtained at time of diagnosis from 223 children with acute leukaemia were reviewed independently by three observers in a double-blind fashion in order to assess the reproducibility and clinical significance of the French-American-British Cooperative Group Classification. In 170 cases of acute lymphoblastic leukaemia (ALL), triple agreement of 69.4% was reached in the subclassification into L1, L2, and L3 types. The closest degree of agreement between two observers was 86.8%. In children with blasts classified as L1, 57 OF 61 patients (93.4%) remained in haematological remission after 12 months, as compared with 14 of 20 (70%) in children whose blasts were typed as L2 morphology, a difference which was statistically significant (P less than 0.05). There was no difference when these groups were compared after 24 or 36 months. Children older than 7 years had an increased incidence of L2 type (P less than 0.05). We conclude that although there may be significant variation in individual interpretations of the criteria utilized for classification, blast morphology may nevertheless be a useful prognostic factor.","['Viana, M B', 'Maurer, H S', 'Ferenc, C']","['Viana MB', 'Maurer HS', 'Ferenc C']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,,IM,"['Bone Marrow/pathology', 'Child', 'Humans', 'Leukemia, Lymphoid/*classification/drug therapy/pathology', 'Prognosis', 'Time Factors']",,1980/03/01 00:00,1980/03/01 00:01,['1980/03/01 00:00'],"['1980/03/01 00:00 [pubmed]', '1980/03/01 00:01 [medline]', '1980/03/01 00:00 [entrez]']",['10.1111/j.1365-2141.1980.tb05907.x [doi]'],ppublish,Br J Haematol. 1980 Mar;44(3):383-8. doi: 10.1111/j.1365-2141.1980.tb05907.x.,,,,,,
6929701,NLM,MEDLINE,19800828,20190704,0007-1048 (Print) 0007-1048 (Linking),44,2,1980 Feb,Observations on human bone marrow granulocytic progenitor cell culture: a comparison of two ways to express results.,335-7,,"['Coiffier, B', 'Sicard, B', 'Bryon, P A', 'Germain, D']","['Coiffier B', 'Sicard B', 'Bryon PA', 'Germain D']",['eng'],"['Comparative Study', 'Journal Article']",England,Br J Haematol,British journal of haematology,0372544,,IM,"['Bone Marrow Diseases/blood', 'Colony-Forming Units Assay', 'Granulocytes/*pathology', 'Hematopoietic Stem Cells/*pathology', 'Humans', 'Leukemia, Myeloid/blood', 'Methods', 'Polycythemia Vera/blood']",,1980/02/01 00:00,1980/02/01 00:01,['1980/02/01 00:00'],"['1980/02/01 00:00 [pubmed]', '1980/02/01 00:01 [medline]', '1980/02/01 00:00 [entrez]']",['10.1111/j.1365-2141.1980.tb01216.x [doi]'],ppublish,Br J Haematol. 1980 Feb;44(2):335-7. doi: 10.1111/j.1365-2141.1980.tb01216.x.,,,,,,
6929700,NLM,MEDLINE,19800828,20190704,0007-1048 (Print) 0007-1048 (Linking),44,2,1980 Feb,HLA haplotypes and long survival in childhood acute lymphoblastic leukaemia treated with transfer factor.,243-51,"Association between HLA haplotypes and long survival was investigated in 116 children with acute lymphoblastic leukaemia. It was found that patients with A2 B12 and/or A2 B40 haplotypes survived longer than patients wtihout these two haplotypes. Since all children were treated with transfer factor obtained from their relatives, it is suggested that children possessing A2 B12 or A2 B40 haplotypes may respond better to this type of immunotherapy.","['De Bruyere, M', 'Cornu, G', 'Heremans-Bracke, T', 'Malchaire, J', 'Sokal, G']","['De Bruyere M', 'Cornu G', 'Heremans-Bracke T', 'Malchaire J', 'Sokal G']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['0 (HLA Antigens)', '0 (Transfer Factor)']",IM,"['Acute Disease', 'Adolescent', 'Child', 'Child, Preschool', 'Cytotoxicity Tests, Immunologic', 'Female', 'HLA Antigens/*genetics/immunology', '*Haploidy', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia, Lymphoid/drug therapy/*genetics/immunology', 'Male', 'Prognosis', 'Time Factors', 'Transfer Factor/*therapeutic use']",,1980/02/01 00:00,1980/02/01 00:01,['1980/02/01 00:00'],"['1980/02/01 00:00 [pubmed]', '1980/02/01 00:01 [medline]', '1980/02/01 00:00 [entrez]']",['10.1111/j.1365-2141.1980.tb01206.x [doi]'],ppublish,Br J Haematol. 1980 Feb;44(2):243-51. doi: 10.1111/j.1365-2141.1980.tb01206.x.,,,,,,
6929699,NLM,MEDLINE,19800828,20190704,0007-1048 (Print) 0007-1048 (Linking),44,1,1980 Jan,A variant form of hypergranular promyelocytic leukaemia (M3),169-70,,"['Bennett, J M', 'Catovsky, D', 'Daniel, M T', 'Flandrin, G', 'Galton, D A', 'Gralnick, H R', 'Sultan, C']","['Bennett JM', 'Catovsky D', 'Daniel MT', 'Flandrin G', 'Galton DA', 'Gralnick HR', 'Sultan C']",['eng'],['Letter'],England,Br J Haematol,British journal of haematology,0372544,,IM,"['Cytoplasmic Granules', 'Humans', 'Leukemia, Myeloid/*blood', 'Leukocytes/pathology']",,1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.1111/j.1365-2141.1980.tb01195.x [doi]'],ppublish,Br J Haematol. 1980 Jan;44(1):169-70. doi: 10.1111/j.1365-2141.1980.tb01195.x.,,,,,,
6929664,NLM,MEDLINE,19800726,20190501,1468-2044 (Electronic) 0003-9888 (Linking),55,2,1980 Feb,Infection during remission induction in childhood leukaemia.,118-23,,"['Chessells, J M', 'Leiper, A D']","['Chessells JM', 'Leiper AD']",['eng'],['Journal Article'],England,Arch Dis Child,Archives of disease in childhood,0372434,['0 (Anti-Bacterial Agents)'],IM,"['Adolescent', 'Anti-Bacterial Agents/therapeutic use', 'Bacterial Infections/drug therapy/*etiology', 'Child', 'Child, Preschool', 'Humans', 'Leukemia, Lymphoid/complications/*drug therapy/mortality', 'Leukemia, Myeloid, Acute/complications/*drug therapy/mortality']",PMC1626674,1980/02/01 00:00,1980/02/01 00:01,['1980/02/01 00:00'],"['1980/02/01 00:00 [pubmed]', '1980/02/01 00:01 [medline]', '1980/02/01 00:00 [entrez]']",['10.1136/adc.55.2.118 [doi]'],ppublish,Arch Dis Child. 1980 Feb;55(2):118-23. doi: 10.1136/adc.55.2.118.,,,,,,
6929663,NLM,MEDLINE,19800728,20161123,0003-4185 (Print) 0003-4185 (Linking),23,2,1980 Feb,Cerebral vascular accidents after prophylactic central nervous system treatment during the course of acute lymphoblastic leukaemias and lymphomas.,81-6,,"['Lalande, G', 'Dulac, O', 'Marsault, C', 'Bennet, J']","['Lalande G', 'Dulac O', 'Marsault C', 'Bennet J']","['eng', 'fre']","['Case Reports', 'Journal Article']",France,Ann Radiol (Paris),Annales de radiologie,0372331,,IM,"['Brain/diagnostic imaging', 'Cerebrovascular Disorders/diagnosis/*etiology', 'Child, Preschool', 'Female', 'Humans', 'Leukemia, Lymphoid/complications/*therapy', 'Lymphoma/complications/*therapy', 'Male', 'Tomography, X-Ray Computed']",,1980/02/01 00:00,1980/02/01 00:01,['1980/02/01 00:00'],"['1980/02/01 00:00 [pubmed]', '1980/02/01 00:01 [medline]', '1980/02/01 00:00 [entrez]']",,ppublish,Ann Radiol (Paris). 1980 Feb;23(2):81-6.,,,,,,
6929658,NLM,MEDLINE,19800722,20161123,0003-2417 (Print) 0003-2417 (Linking),29,3,1980 Mar,[Controlled ventilation in a patient with acute exacerbation of a chronic myeloic leucaemia. A case report (author's transl)].,157-8,"High counts of myeloid cells lead to erroneous results of blood gas measurements due to high rate of metabolism. This in vitro metabolism simulates hypoxaemia in the common chemical analyses. Therefore problems in the correct interpretation of blood gas measurements during controlled ventilation may arise, demonstrated in our case report of a patient with chronic myeloid leucaemia in acute stage. Immediate blocking of blood oxydative phosphorylation in the sample withdrawn is necessary in order to determine actual values which are important for adequate artificial ventilation.","['Schenk, H D', 'Kahles, H W', 'Radke, J']","['Schenk HD', 'Kahles HW', 'Radke J']",['ger'],"['Case Reports', 'Journal Article']",Germany,Anaesthesist,Der Anaesthesist,0370525,,IM,"['Adult', 'Blood Gas Analysis', 'Diagnostic Errors', 'Female', 'Humans', 'Hypoxia/*diagnosis', 'Leukemia, Myeloid/*physiopathology', 'Leukocyte Count', 'Leukocytes/metabolism', 'Oxidative Phosphorylation', 'Oxygen Consumption', 'Respiration, Artificial/*standards']",,1980/03/01 00:00,1980/03/01 00:01,['1980/03/01 00:00'],"['1980/03/01 00:00 [pubmed]', '1980/03/01 00:01 [medline]', '1980/03/01 00:00 [entrez]']",,ppublish,Anaesthesist. 1980 Mar;29(3):157-8.,,Kontrollierte Beatmung bei einer Patientin mit einder chronischen myeloischen Leukamie im akuten Schub. Fallbeschreibung.,,,,
6929657,NLM,MEDLINE,19800722,20190821,0147-5185 (Print) 0147-5185 (Linking),4,2,1980 Apr,Bone marrow biopsy changes following chemotherapy for acute leukemia.,135-42,"Mulitple marrow core biopsy specimens obtained sequentially from each of 15 cases of treated acute leukemia were studied to established the sequence and frequency of histopathological events developing after chemotherapy. The features were separated into two overlapping phases: depletion and reconstitution. The depletion phase was characterized by progressive loss of hematopoietic cells which eventually left an empty stromal network of reticulin fibrils and numerous dilated sinusoids filled with fibrin. During the reconstitution phase, hematopoietic cell proliferation was variously accompanied by fat cell generation, fibroplasia, and bone formation. Fibrin exudation and serous atrophy of fat, two features previously ascribed to the marrow of leukemia after chemotherapy, were neither common nor characteristic.","['Wittels, B']",['Wittels B'],['eng'],['Journal Article'],United States,Am J Surg Pathol,The American journal of surgical pathology,7707904,['0 (Antineoplastic Agents)'],IM,"['Acute Disease', 'Adolescent', 'Adult', 'Antineoplastic Agents/therapeutic use', 'Biopsy', 'Bone Marrow/*pathology', 'Female', 'Humans', 'Leukemia/drug therapy/*pathology', 'Leukemia, Lymphoid/drug therapy/pathology', 'Leukemia, Myeloid/drug therapy/pathology', 'Leukemia, Myeloid, Acute/drug therapy/pathology', 'Male', 'Middle Aged']",,1980/04/01 00:00,1980/04/01 00:01,['1980/04/01 00:00'],"['1980/04/01 00:00 [pubmed]', '1980/04/01 00:01 [medline]', '1980/04/01 00:00 [entrez]']",['10.1097/00000478-198004000-00005 [doi]'],ppublish,Am J Surg Pathol. 1980 Apr;4(2):135-42. doi: 10.1097/00000478-198004000-00005.,,,,,,
6929655,NLM,MEDLINE,19800722,20181113,0002-9440 (Print) 0002-9440 (Linking),99,2,1980 May,B-lineage prolymphocytic leukemia as a distinct clinicopathologic entity.,399-412,"Prolymphocytic leukemia (PLL) was described originally by Galton and his colleagues as a special variant of chronic lymphocytic leukemia (CLL) with distinct clinical and hematologic features. Subsequent authors have described considerable heterogeneity in the clinical and immunologic features of PLL but have not dealt in detail with pathologic descriptions of their cases. Consequently, one might question whether PLL represents one disorder or a heterogeneous group of disorders. Three patients who satisfied Galton's original diagnostic criteria for PLL were examined by pathologic and immunologic methods. The spleens of these patients showed distinctive pseudonodular pathologic features. The malignant prolymphocytes were characterized as B-lineage by the presence of surface IgM and IgD, the expression of HLA-DR antigen, the absence of E-rosette formation, and the absence of natural killer cell activity. The existence of B-lineage prolymphocytic leukemia is affirmed as a distinct entity with unique pathologic, clinical, and immunobiologic characteristics.","['Katayama, I', 'Aiba, M', 'Pechet, L', 'Sullivan, J L', 'Roberts, P', 'Humphreys, R E']","['Katayama I', 'Aiba M', 'Pechet L', 'Sullivan JL', 'Roberts P', 'Humphreys RE']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Pathol,The American journal of pathology,0370502,,IM,"['Aged', 'Female', 'Humans', 'Killer Cells, Natural/immunology', 'Leukemia, Lymphoid/enzymology/immunology/*pathology/ultrastructure', 'Lymphocytes/pathology/ultrastructure', 'Male', 'Middle Aged', 'Spleen/pathology']",PMC1903496,1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']",,ppublish,Am J Pathol. 1980 May;99(2):399-412.,,,,,,
6929653,NLM,MEDLINE,19800726,20190627,0002-9343 (Print) 0002-9343 (Linking),68,5,1980 May,Central nervous system involvement at presentation in acute granulocytic leukemia. A prospective cytocentrifuge study.,691-4,"We have undertaken a perspective study of the prevelance of the central nervous disease in acute granulocytic leukemia (AGL). Thirty-nine newly diagnosed patients with AGL underwent cytocentrifuge examination of cerebral spinal fluid. Seven of the 39 patients had blast cells in their cerebral spinal fluid. All seven of these patients had acute myelomonocytic leukemia (AMML). No patients with other variants of AGL demonstrated blast cells in their cerebral spinal fluid. Other high risk factors associated with meningeal infiltration were elevated serum lysozyme levels, high peripheral white blood cell count, low age, splemomegaly and the presence of infiltration in other organs. The admission rates for patients with meningeal leukemia were lower and the survival time was shorter than in both the 32 noninvolved patients and the noninvolved patients with AMML. We believe that a lumbar puncture is indicated in all patients with newly diagnosed AMML.","['Meyer, R J', 'Ferreira, P P', 'Cuttner, J', 'Greenberg, M L', 'Goldberg, J', 'Holland, J F']","['Meyer RJ', 'Ferreira PP', 'Cuttner J', 'Greenberg ML', 'Goldberg J', 'Holland JF']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Med,The American journal of medicine,0267200,['B40ROO395Z (Arabinose)'],IM,"['Adolescent', 'Adult', 'Arabinose/administration & dosage', 'Centrifugation', 'Cerebrospinal Fluid/*cytology', 'Female', 'Granulocytes', 'Humans', 'Injections, Spinal', 'Leukemia, Myeloid, Acute/cerebrospinal fluid/*complications/drug therapy', 'Male', 'Meningeal Neoplasms/cerebrospinal fluid/*complications/drug therapy', 'Middle Aged', 'Prospective Studies', 'Remission, Spontaneous']",,1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']","['0002-9343(80)90255-7 [pii]', '10.1016/0002-9343(80)90255-7 [doi]']",ppublish,Am J Med. 1980 May;68(5):691-4. doi: 10.1016/0002-9343(80)90255-7.,,,,,,
6929652,NLM,MEDLINE,19800722,20190716,0002-922X (Print) 0002-922X (Linking),134,5,1980 May,Radiological case of the month. Giant cell pneumonia.,511-2,,"['Young, L W', 'Ross, D W']","['Young LW', 'Ross DW']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Dis Child,American journal of diseases of children (1960),0370471,,IM,"['Child', 'Humans', 'Leukemia, Lymphoid/complications', 'Lung/*diagnostic imaging', 'Male', 'Measles/complications/*diagnostic imaging', 'Pneumonia/complications/*diagnostic imaging', 'Radiography']",,1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']",['10.1001/archpedi.1980.02130170061021 [doi]'],ppublish,Am J Dis Child. 1980 May;134(5):511-2. doi: 10.1001/archpedi.1980.02130170061021.,,,,,,
6929651,NLM,MEDLINE,19800726,20190511,0002-9173 (Print) 0002-9173 (Linking),73,5,1980 May,"Null cell (non-T, non-B) acute lymphoblastic leukemia terminating as malignant histiocytosis.",725-30,"A case of null cell acute lymphoblastic leukemia (ALL) terminating in malignant histiocytosis (HMR) is discussed. The patient was a 22-year-old man who presented in January 1976 with ALL. Cell surface markers on the bone-marrow blasts showed that 1% formed rosettes with sheep erythrocytes (T cells) and 4% showed immunofluorescent staining for immunoglobulin; terminal transferase levels were elevated, confirming the diagnosis of null cell ALL. The patient was treated intensively with a combination of chemotherapy and cranial irradiation. One year after diagnosis, he was maintained in partial relapse (10-15% blasts). His terminal episode was characterized by pancytopenia. The bone marrow was replaced by malignant histiocytes. Cell surface membrane staining for cytophilic antibody was positive, whereas terminal transferase levels were in the range of nonlymphoid malignancies.","['Trubowitz, S', 'Sobel, H', 'Davis, S']","['Trubowitz S', 'Sobel H', 'Davis S']",['eng'],"['Case Reports', 'Journal Article']",England,Am J Clin Pathol,American journal of clinical pathology,0370470,,IM,"['Acute Disease', 'Adult', 'Bone Marrow/ultrastructure', 'Humans', 'Leukemia, Lymphoid/*complications', 'Lymphatic Diseases/*etiology', 'Male', 'Microscopy, Electron', 'Rosette Formation']",,1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']",['10.1093/ajcp/73.5.725 [doi]'],ppublish,Am J Clin Pathol. 1980 May;73(5):725-30. doi: 10.1093/ajcp/73.5.725.,,,,,,
