PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,TT,AID,AB,PMC,OID
4507202,NLM,MEDLINE,19721204,20071115,0003-9608 (Print) 0003-9608 (Linking),20,2,1972 Jun,[Splenoma associated with leukemia].,141-6,"['Diebold, J', 'Reynes, M', 'Jaubert, F']","['Diebold J', 'Reynes M', 'Jaubert F']",['fre'],['Journal Article'],France,Arch Anat Pathol (Paris),Archives d'anatomie pathologique,7609771,,IM,"['Female', 'Humans', 'Hypersplenism/complications', 'Leukemia, Lymphoid/*complications/pathology', 'Leukemia, Myeloid/*complications/pathology', 'Middle Aged', 'Splenic Neoplasms/*complications/pathology']",1972/06/01 00:00,1972/06/01 00:01,['1972/06/01 00:00'],"['1972/06/01 00:00 [pubmed]', '1972/06/01 00:01 [medline]', '1972/06/01 00:00 [entrez]']",ppublish,Arch Anat Pathol (Paris). 1972 Jun;20(2):141-6.,Splenomes associes a un processus leucosique.,,,,
4507162,NLM,MEDLINE,19721201,20041117,0028-4793 (Print) 0028-4793 (Linking),287,13,1972 Sep 28,Interpretation of cyclic leukocytosis.,669-70,"['Wheldon, T E', 'Kirk, J']","['Wheldon TE', 'Kirk J']",['eng'],['Journal Article'],United States,N Engl J Med,The New England journal of medicine,0255562,,IM,"['*Hematopoiesis', 'Humans', 'Leukemia, Myeloid/blood', '*Leukocytes', 'Leukocytosis', 'Periodicity']",1972/09/28 00:00,1972/09/28 00:01,['1972/09/28 00:00'],"['1972/09/28 00:00 [pubmed]', '1972/09/28 00:01 [medline]', '1972/09/28 00:00 [entrez]']",ppublish,N Engl J Med. 1972 Sep 28;287(13):669-70. doi: 10.1056/NEJM197209282871321.,,['10.1056/NEJM197209282871321 [doi]'],,,
4507110,NLM,MEDLINE,19721129,20071115,0025-6986 (Print) 0025-6986 (Linking),41,10,1972 Oct,Hodgkin's disease terminating in acute erythromyeloblastic leukemia with diabetes insipidus. A case report and review.,625-9,"['Bergevin, P R', 'Blom, J']","['Bergevin PR', 'Blom J']",['eng'],['Journal Article'],United States,Med Ann Dist Columbia,The Medical annals of the District of Columbia,7612076,,IM,"['Adult', 'Aged', 'Diabetes Insipidus/*complications', 'Female', 'Hodgkin Disease/*complications', 'Humans', 'Leukemia, Myeloid, Acute/*complications', 'Male', 'Middle Aged']",1972/10/01 00:00,1972/10/01 00:01,['1972/10/01 00:00'],"['1972/10/01 00:00 [pubmed]', '1972/10/01 00:01 [medline]', '1972/10/01 00:00 [entrez]']",ppublish,Med Ann Dist Columbia. 1972 Oct;41(10):625-9.,,,,,
4507104,NLM,MEDLINE,19721129,20190919,0013-9432 (Print) 0013-9432 (Linking),13,1,1972,DNA synthesis in normal and leucemic cells as related to therapy with cytotoxic drugs.,90-109,"['Wilmanns, W', 'Wilms, K']","['Wilmanns W', 'Wilms K']",['eng'],['Journal Article'],Switzerland,Enzyme,Enzyme,1262265,"['0 (Antineoplastic Agents)', '0 (DNA, Neoplasm)', '0 (Thymine Nucleotides)', '04079A1RDZ (Cytarabine)', '80168379AG (Doxorubicin)', '9007-49-2 (DNA)', '9PHQ9Y1OLM (Prednisolone)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'EC 2.7.1.21 (Thymidine Kinase)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Antineoplastic Agents/pharmacology/*therapeutic use', 'Bone Marrow/drug effects/enzymology/*metabolism', '*Bone Marrow Cells', 'Cytarabine/pharmacology/therapeutic use', 'DNA/*biosynthesis', 'DNA Nucleotidyltransferases/metabolism', 'DNA, Neoplasm/biosynthesis', 'Daunorubicin/therapeutic use', 'Doxorubicin/therapeutic use', 'Humans', 'Leukemia, Lymphoid/*blood/drug therapy', 'Leukemia, Myeloid, Acute/*blood/drug therapy', 'Leukocytes/drug effects/enzymology/*metabolism', 'Methotrexate/therapeutic use', 'Prednisolone/pharmacology/therapeutic use', 'Tetrahydrofolate Dehydrogenase/blood', 'Thymidine Kinase/metabolism', 'Thymine Nucleotides/metabolism']",1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Enzyme. 1972;13(1):90-109. doi: 10.1159/000459651.,,['10.1159/000459651 [doi]'],,,
4507083,NLM,MEDLINE,19721129,20071115,0029-3385 (Print) 0029-3385 (Linking),71,9,1972 Sep,Treatment of acute leukemia in children.,677-80,"['Chard, R L Jr']",['Chard RL Jr'],['eng'],['Journal Article'],United States,Northwest Med,Northwest medicine,0407175,['0 (Antineoplastic Agents)'],IM,"['Age Factors', 'Antineoplastic Agents/*therapeutic use', 'Child', 'Child, Preschool', 'Humans', 'Leukemia, Lymphoid/*drug therapy']",1972/09/01 00:00,2001/03/28 10:01,['1972/09/01 00:00'],"['1972/09/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1972/09/01 00:00 [entrez]']",ppublish,Northwest Med. 1972 Sep;71(9):677-80.,,,,,
4507082,NLM,MEDLINE,19721129,20091111,0021-7263 (Print) 0021-7263 (Linking),131,3,1972 Sep,Bone marrow necrosis. A study of seventy cases.,189-203,"['Brown, C H 3rd']",['Brown CH 3rd'],['eng'],['Journal Article'],United States,Johns Hopkins Med J,The Johns Hopkins medical journal,0072456,,IM,"['Adolescent', 'Adult', 'Aged', 'Autopsy', 'Bacterial Infections/complications', 'Biopsy', 'Bone Marrow/*pathology', 'Bone Marrow Diseases/complications/*pathology', 'Bone Marrow Examination', 'Carcinoma, Squamous Cell/complications', 'Esophageal Neoplasms/complications', 'Female', 'Humans', 'Leukemia, Lymphoid/complications', 'Leukemia, Myeloid/complications', 'Male', 'Middle Aged', 'Necrosis']",1972/09/01 00:00,1972/09/01 00:01,['1972/09/01 00:00'],"['1972/09/01 00:00 [pubmed]', '1972/09/01 00:01 [medline]', '1972/09/01 00:00 [entrez]']",ppublish,Johns Hopkins Med J. 1972 Sep;131(3):189-203.,,,,,
4507080,NLM,MEDLINE,19721129,20190619,0008-543X (Print) 0008-543X (Linking),30,3,1972 Sep,Short courses of cytosine arabinoside and L-asparaginase in children with acute leukemia.,643-7,"['Ekert, H', 'Colebatch, J H', 'Matthews, R N']","['Ekert H', 'Colebatch JH', 'Matthews RN']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,"['04079A1RDZ (Cytarabine)', 'EC 3.5.1.1 (Asparaginase)']",IM,"['Adolescent', 'Agranulocytosis/chemically induced', 'Asparaginase/administration & dosage/*therapeutic use', 'Blood Cell Count', 'Child', 'Child, Preschool', 'Cytarabine/administration & dosage/*therapeutic use', 'Drug Hypersensitivity', 'Drug Synergism', 'Female', 'Humans', 'Injections, Intravenous', 'Leukemia, Lymphoid/*drug therapy', 'Male', 'Neutrophils', 'Remission, Spontaneous', 'Time Factors']",1972/09/01 00:00,1972/09/01 00:01,['1972/09/01 00:00'],"['1972/09/01 00:00 [pubmed]', '1972/09/01 00:01 [medline]', '1972/09/01 00:00 [entrez]']",ppublish,Cancer. 1972 Sep;30(3):643-7. doi: 10.1002/1097-0142(197209)30:3<643::aid-cncr2820300309>3.0.co;2-h.,,['10.1002/1097-0142(197209)30:3<643::aid-cncr2820300309>3.0.co;2-h [doi]'],,,
4507078,NLM,MEDLINE,19721129,20190903,0006-5242 (Print) 0006-5242 (Linking),25,3,1972 Sep,Ultrastructural studies on the acute leukemic myeloblast.,169-78,"['Schumacher, H R', 'Szekely, I E', 'Park, S A']","['Schumacher HR', 'Szekely IE', 'Park SA']",['eng'],['Journal Article'],Germany,Blut,Blut,0173401,['9005-79-2 (Glycogen)'],IM,"['Adolescent', 'Adult', 'Aged', '*Bone Marrow', '*Bone Marrow Cells', 'Cell Nucleus', 'Child', 'Child, Preschool', 'Computers', 'Cytoplasm', 'Female', 'Glycogen/analysis', 'Humans', 'Infant', 'Leukemia, Monocytic, Acute/blood/pathology', 'Leukemia, Myeloid, Acute/blood/*pathology', '*Leukocytes/analysis', 'Male', 'Microscopy, Electron', 'Middle Aged', 'Mitochondria', 'Organoids']",1972/09/01 00:00,1972/09/01 00:01,['1972/09/01 00:00'],"['1972/09/01 00:00 [pubmed]', '1972/09/01 00:01 [medline]', '1972/09/01 00:00 [entrez]']",ppublish,Blut. 1972 Sep;25(3):169-78. doi: 10.1007/BF01632389.,,['10.1007/BF01632389 [doi]'],,,
4507077,NLM,MEDLINE,19721129,20210216,0006-4971 (Print) 0006-4971 (Linking),40,4,1972 Oct,Distinctions between idiopathic ineffective erythropoiesis and di Guglielmo's disease: clinical and biochemical differences.,487-99,"['Eastman, P M', 'Schwartz, R', 'Schrier, S L']","['Eastman PM', 'Schwartz R', 'Schrier SL']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,"['0 (Carbon Isotopes)', '0 (Levulinic Acids)', '42VZT0U6YR (Heme)', '9004-22-2 (Globins)', 'EC 2.3.1.37 (5-Aminolevulinate Synthetase)', 'HG18B9YRS7 (Valine)', 'TE7660XO1C (Glycine)']",IM,"['5-Aminolevulinate Synthetase/metabolism', 'Adult', 'Aged', 'Anemia, Hemolytic/*blood', 'Blood Cell Count', 'Blood Platelets', 'Bone Marrow/enzymology', 'Bone Marrow Cells', 'Carbon Isotopes', 'Cells, Cultured', 'Erythrocytes, Abnormal', '*Erythropoiesis', 'Female', 'Globins/biosynthesis', 'Glycine/metabolism', 'Hematopoiesis', 'Heme/biosynthesis', 'Humans', 'Isoelectric Focusing', 'Karyotyping', 'Leukemia, Erythroblastic, Acute/*blood/complications', 'Leukemia, Myeloid, Acute/etiology', 'Levulinic Acids/metabolism', 'Male', 'Middle Aged', 'Reticulocytes', 'Valine/metabolism']",1972/10/01 00:00,1972/10/01 00:01,['1972/10/01 00:00'],"['1972/10/01 00:00 [pubmed]', '1972/10/01 00:01 [medline]', '1972/10/01 00:00 [entrez]']",ppublish,Blood. 1972 Oct;40(4):487-99.,,['S0006-4971(20)77999-1 [pii]'],,,
4507076,NLM,MEDLINE,19721125,20190908,0036-553X (Print) 0036-553X (Linking),9,3,1972,The significance of bone marrow morphology for the diagnosis of polycythaemia vera.,271-82,"['Lundin, P M', 'Ridell, B', 'Weinfeld, A']","['Lundin PM', 'Ridell B', 'Weinfeld A']",['eng'],['Journal Article'],Denmark,Scand J Haematol,Scandinavian journal of haematology,0404507,"['0 (Lipids)', '0 (Reticulin)']",IM,"['Adult', 'Aged', 'Biopsy', 'Bone Marrow/analysis/*pathology', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Myeloid/diagnosis/pathology', 'Lipids/analysis', 'Male', '*Megakaryocytes', 'Middle Aged', 'Polycythemia/diagnosis/pathology', 'Polycythemia Vera/*diagnosis/pathology', 'Reticulin/analysis']",1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Scand J Haematol. 1972;9(3):271-82. doi: 10.1111/j.1600-0609.1972.tb00940.x.,,['10.1111/j.1600-0609.1972.tb00940.x [doi]'],,,
4507075,NLM,MEDLINE,19721125,20190908,0036-553X (Print) 0036-553X (Linking),9,3,1972,Serum and urinary lysozyme in leukaemia and polycythaemia vera.,258-66,"['Malmquist, J']",['Malmquist J'],['eng'],['Journal Article'],Denmark,Scand J Haematol,Scandinavian journal of haematology,0404507,['EC 3.2.1.17 (Muramidase)'],IM,"['Adult', 'Electrophoresis', 'Glomerular Filtration Rate', 'Humans', 'Leukemia/*enzymology', 'Leukemia, Lymphoid/enzymology', 'Leukemia, Myeloid/enzymology', 'Leukocytes/enzymology', 'Muramidase/*blood/urine', 'Polycythemia/enzymology', 'Polycythemia Vera/*enzymology']",1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Scand J Haematol. 1972;9(3):258-66. doi: 10.1111/j.1600-0609.1972.tb00938.x.,,['10.1111/j.1600-0609.1972.tb00938.x [doi]'],,,
4507074,NLM,MEDLINE,19721125,20151119,0026-556X (Print) 0026-556X (Linking),55,10,1972 Oct,Pyridoxine-responsive anemia. A preleukemic manifestation?,891-5,"['Hoagland, H C', 'Linman, J W']","['Hoagland HC', 'Linman JW']",['eng'],['Journal Article'],United States,Minn Med,Minnesota medicine,8000173,['KV2JZ1BI6Z (Pyridoxine)'],IM,"['Adult', 'Aged', 'Anemia/*complications/drug therapy', 'Female', 'Humans', 'Leukemia/*complications', 'Leukemia, Myeloid/complications', 'Male', 'Middle Aged', 'Precancerous Conditions/*complications', 'Pyridoxine/*therapeutic use']",1972/10/01 00:00,1972/10/01 00:01,['1972/10/01 00:00'],"['1972/10/01 00:00 [pubmed]', '1972/10/01 00:01 [medline]', '1972/10/01 00:00 [entrez]']",ppublish,Minn Med. 1972 Oct;55(10):891-5.,,,,,
4507065,NLM,MEDLINE,19721125,20091111,0009-059X (Print) 0009-059X (Linking),28,5,1972 Sep,[Leukemic infiltration of the papilla of the optic nerve. Clinical and histologico-pathological report].,270-5,"['Lomickova, H', 'Kloucek, F', 'Hrodek, O', 'Hynieova, H']","['Lomickova H', 'Kloucek F', 'Hrodek O', 'Hynieova H']",['cze'],['Journal Article'],Czech Republic,Cesk Oftalmol,Ceskoslovenska oftalmologie,0005023,,IM,"['Autopsy', 'Child', 'Choroid/pathology', 'Female', '*Fundus Oculi', 'Humans', 'Leukemia, Lymphoid/*pathology', 'Optic Nerve/*pathology']",1972/09/01 00:00,1972/09/01 00:01,['1972/09/01 00:00'],"['1972/09/01 00:00 [pubmed]', '1972/09/01 00:01 [medline]', '1972/09/01 00:00 [entrez]']",ppublish,Cesk Oftalmol. 1972 Sep;28(5):270-5.,Leukemicka infiltrace papily rakoveho nervu. Klinicke a histologicko-patologicke sdeleni.,,,,
4507059,NLM,MEDLINE,19721125,20190908,0036-553X (Print) 0036-553X (Linking),9,5,1972,Disturbed myelocyte proliferation in acute leukaemia.,477-9,"['Wickramasinghe, S N', 'Moffatt, B']","['Wickramasinghe SN', 'Moffatt B']",['eng'],['Journal Article'],Denmark,Scand J Haematol,Scandinavian journal of haematology,0404507,"['10028-17-8 (Tritium)', 'VC2W18DGKR (Thymidine)']",IM,"['Adult', 'Aged', 'Autoradiography', 'Bone Marrow/*metabolism', '*Bone Marrow Cells', 'Cell Differentiation', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*metabolism', 'Male', 'Middle Aged', 'Thymidine/metabolism', 'Tritium']",1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Scand J Haematol. 1972;9(5):477-9. doi: 10.1111/j.1600-0609.1972.tb00972.x.,,['10.1111/j.1600-0609.1972.tb00972.x [doi]'],,,
4507058,NLM,MEDLINE,19721125,20190908,0036-553X (Print) 0036-553X (Linking),9,5,1972,The microtubules of leukaemic Rieder cells: an ultrastructural study.,417-23,"['Cawley, J C']",['Cawley JC'],['eng'],['Journal Article'],Denmark,Scand J Haematol,Scandinavian journal of haematology,0404507,,IM,"['Cell Nucleus', 'Humans', 'Leukemia, Lymphoid/*pathology', '*Leukocytes', 'Microscopy, Electron', '*Microtubules']",1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Scand J Haematol. 1972;9(5):417-23. doi: 10.1111/j.1600-0609.1972.tb00963.x.,,['10.1111/j.1600-0609.1972.tb00963.x [doi]'],,,
4507046,NLM,MEDLINE,19721118,20190908,0014-2964 (Print) 0014-2964 (Linking),8,4,1972 Aug,Agglutination of leukemic myeloblasts by neuraminidase.,451-3,"['Sauter, C', 'Lindenmann, J', 'Gerber, A']","['Sauter C', 'Lindenmann J', 'Gerber A']",['eng'],['Journal Article'],England,Eur J Cancer,European journal of cancer,0074126,['EC 3.2.1.18 (Neuraminidase)'],IM,"['*Cell Aggregation', 'Humans', '*Leukemia, Myeloid, Acute/pathology', 'Leukocytes/*drug effects', 'Neuraminidase/*pharmacology', 'Time Factors', 'Vibrio cholerae/enzymology']",1972/08/01 00:00,1972/08/01 00:01,['1972/08/01 00:00'],"['1972/08/01 00:00 [pubmed]', '1972/08/01 00:01 [medline]', '1972/08/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1972 Aug;8(4):451-3. doi: 10.1016/0014-2964(72)90131-4.,,['10.1016/0014-2964(72)90131-4 [doi]'],,,
4507025,NLM,MEDLINE,19721116,20131121,0040-5922 (Print) 0040-5922 (Linking),48,4,1972 Apr,[Trial treatment of acute myeloblastic leukemia with the cytosine arabinoside-cyclophosphamide association. (Apropos of 30 cases)].,303-8,"['Bauters, F', 'Lerche, B', 'Samsoen, J', 'Goudemand, M']","['Bauters F', 'Lerche B', 'Samsoen J', 'Goudemand M']",['fre'],['Journal Article'],France,Therapeutique,Therapeutique (La Semaine des hopitaux),0415606,"['04079A1RDZ (Cytarabine)', '8N3DW7272P (Cyclophosphamide)', 'EC 3.5.1.1 (Asparaginase)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Adolescent', 'Adult', 'Asparaginase/therapeutic use', 'Child', 'Child, Preschool', 'Cyclophosphamide/*therapeutic use', 'Cytarabine/*therapeutic use', 'Daunorubicin/therapeutic use', 'Drug Synergism', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Middle Aged', 'Remission, Spontaneous']",1972/04/01 00:00,1972/04/01 00:01,['1972/04/01 00:00'],"['1972/04/01 00:00 [pubmed]', '1972/04/01 00:01 [medline]', '1972/04/01 00:00 [entrez]']",ppublish,Therapeutique. 1972 Apr;48(4):303-8.,Essai de traitement des leucemies aigues myeloblastiques par l'association cytosine-arabinoside-cyclophosphamide. (A propos de 30 observations.,,,,
4507012,NLM,MEDLINE,19721116,20211203,0033-2240 (Print) 0033-2240 (Linking),29,6,1972,L-asparaginase and immune reactions.,595-7,"['Astaldi, G']",['Astaldi G'],['eng'],['Journal Article'],Poland,Przegl Lek,Przeglad lekarski,19840720R,"['0 (Histocompatibility Antigens)', 'EC 3.5.1.1 (Asparaginase)']",IM,"['Animals', 'Asparaginase/*pharmacology/therapeutic use', 'Child, Preschool', 'Histocompatibility Antigens', 'Humans', '*Immunosuppression Therapy', 'Leukemia, Lymphoid/drug therapy', 'Lymphocyte Activation/*drug effects', 'Lymphocytes/drug effects/enzymology', 'Neoplasms/drug therapy', 'Rabbits']",1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Przegl Lek. 1972;29(6):595-7.,,,,,
4506931,NLM,MEDLINE,19721116,20041117,0002-936X (Print) 0002-936X (Linking),72,10,1972 Oct,Who cared about Tony?,1848-51,"['Poi, K M']",['Poi KM'],['eng'],['Journal Article'],United States,Am J Nurs,The American journal of nursing,0372646,,IM,"['Adolescent', 'Humans', 'Leukemia, Myeloid/*nursing', 'Male', '*Nurse-Patient Relations']",1972/10/01 00:00,1972/10/01 00:01,['1972/10/01 00:00'],"['1972/10/01 00:00 [pubmed]', '1972/10/01 00:01 [medline]', '1972/10/01 00:00 [entrez]']",ppublish,Am J Nurs. 1972 Oct;72(10):1848-51.,,,,,
4506878,NLM,MEDLINE,19721115,20161122,0025-8458 (Print) 0025-8458 (Linking),67,32,1972 Aug 11,[Therapy of acute leukemias in children. 2].,1040-5,"['Jacquillat, C', 'Weil, M', 'Schaison, G', 'Delobel, J', 'Bussel, A', 'Brunel-Kotschi, R', 'Gemon, M F', 'Loisel, J P']","['Jacquillat C', 'Weil M', 'Schaison G', 'Delobel J', 'Bussel A', 'Brunel-Kotschi R', 'Gemon MF', 'Loisel JP']",['ger'],['Journal Article'],Germany,Med Klin,Medizinische Klinik,0376637,"['5J49Q6B70F (Vincristine)', 'EC 3.5.1.1 (Asparaginase)', 'VB0R961HZT (Prednisone)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Acute Kidney Injury/chemically induced', 'Asparaginase/adverse effects/therapeutic use', 'Blood Coagulation Disorders/chemically induced', 'Chemical and Drug Induced Liver Injury', 'Child', 'Daunorubicin/therapeutic use', 'Drug Hypersensitivity/etiology', 'Fever/chemically induced', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Prednisone/therapeutic use', 'Remission, Spontaneous', 'Time Factors', 'Vincristine/therapeutic use']",1972/08/11 00:00,2000/03/22 09:00,['1972/08/11 00:00'],"['1972/08/11 00:00 [pubmed]', '2000/03/22 09:00 [medline]', '1972/08/11 00:00 [entrez]']",ppublish,Med Klin. 1972 Aug 11;67(32):1040-5.,Behandlung der akuten leukamie bei Kindern. 2.,,,,
4506876,NLM,MEDLINE,19721115,20071115,,20,8,1972,Effect of x-rays on nuclear and cytoplasmic protein synthesis in L5178Y-S cells: differential inhibition.,571-5,"['Szumiel, I', 'Rosiek, O', 'Budzicka, E']","['Szumiel I', 'Rosiek O', 'Budzicka E']",['eng'],['Journal Article'],Poland,Bull Acad Pol Sci Biol,Bulletin de l'Academie polonaise des sciences. Serie des sciences biologiques,7505346,"['0 (Neoplasm Proteins)', '0 (Nucleoproteins)']",IM,"['Animals', 'Cells, Cultured', 'Leukemia, Experimental/metabolism', 'Leukemia, Lymphoid/metabolism', 'Mice', 'Neoplasm Proteins/*biosynthesis', 'Nucleoproteins/*biosynthesis', '*Radiation Effects']",1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Bull Acad Pol Sci Biol. 1972;20(8):571-5.,,,,,
4506859,NLM,MEDLINE,19721110,20041117,0028-2162 (Print) 0028-2162 (Linking),116,40,1972 Sep 30,[Di Guglielmo's disease in 2 brothers].,1777-81,"['Stolte, J B', 'Swart, H', 'Stolte, B H']","['Stolte JB', 'Swart H', 'Stolte BH']",['dut'],['Journal Article'],Netherlands,Ned Tijdschr Geneeskd,Nederlands tijdschrift voor geneeskunde,0400770,,IM,"['Bone Marrow Cells', 'Chromosome Aberrations', 'Humans', 'Leukemia, Erythroblastic, Acute/*genetics', 'Male', 'Middle Aged']",1972/09/30 00:00,1972/09/30 00:01,['1972/09/30 00:00'],"['1972/09/30 00:00 [pubmed]', '1972/09/30 00:01 [medline]', '1972/09/30 00:00 [entrez]']",ppublish,Ned Tijdschr Geneeskd. 1972 Sep 30;116(40):1777-81.,Ziekte van Di Guglielmo bij twee broers.,,,,
4506858,NLM,MEDLINE,19721110,20131121,0028-2162 (Print) 0028-2162 (Linking),116,33,1972 Aug 12,[Can cytostatic agents cause cancer?].,1433-5,"['Schaberg, A', 'Gorsira, M C']","['Schaberg A', 'Gorsira MC']",['dut'],['Journal Article'],Netherlands,Ned Tijdschr Geneeskd,Nederlands tijdschrift voor geneeskunde,0400770,"['0 (Antineoplastic Agents)', 'G1LN9045DK (Busulfan)']",IM,"['Adult', 'Antineoplastic Agents/*adverse effects/therapeutic use', 'Busulfan/adverse effects/therapeutic use', 'Epithelial Cells', 'Epithelium/drug effects', 'Female', 'Humans', 'Leukemia, Myeloid/*drug therapy', 'Neoplasms/*chemically induced', 'Pulmonary Fibrosis/*chemically induced']",1972/08/12 00:00,1972/08/12 00:01,['1972/08/12 00:00'],"['1972/08/12 00:00 [pubmed]', '1972/08/12 00:01 [medline]', '1972/08/12 00:00 [entrez]']",ppublish,Ned Tijdschr Geneeskd. 1972 Aug 12;116(33):1433-5.,Kunnen cytostatica kanker verwekken.,,,,
4506781,NLM,MEDLINE,19721110,20190501,0027-8424 (Print) 0027-8424 (Linking),69,9,1972 Sep,An oligonucleotide affinity column for RNA-dependent DNA polymerase from RNA tumor viruses.,2599-603,"['Gerwin, B I', 'Milstien, J B']","['Gerwin BI', 'Milstien JB']",['eng'],['Journal Article'],United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Cyclohexanes)', '0 (DNA, Viral)', '0 (Imines)', '0 (Polynucleotides)', '0 (RNA, Viral)', '0 (Thymine Nucleotides)', '0 (Viral Proteins)', '10028-17-8 (Tritium)', '9004-34-6 (Cellulose)', '9007-49-2 (DNA)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 3.1.- (Deoxyribonucleases)', 'VC2W18DGKR (Thymidine)']",IM,"['Animals', 'Cattle', 'Cell Line', 'Cellulose', 'Centrifugation, Density Gradient', 'Chemical Phenomena', 'Chemistry', 'Chromatography, Affinity', 'Chromatography, Gel', 'Chromatography, Ion Exchange', 'Cyclohexanes', 'DNA', 'DNA Nucleotidyltransferases/analysis/*isolation & purification', '*DNA, Viral', 'Deoxyribonucleases/analysis', 'Humans', 'Imines', 'Mice', 'Moloney murine leukemia virus/*enzymology', 'Polynucleotides', 'RNA Viruses/*enzymology', '*RNA, Viral', 'Rauscher Virus/*enzymology', 'Templates, Genetic', 'Thymidine', 'Thymine Nucleotides', 'Thymus Gland', 'Tritium', 'Viral Proteins/*isolation & purification']",1972/09/01 00:00,1972/09/01 00:01,['1972/09/01 00:00'],"['1972/09/01 00:00 [pubmed]', '1972/09/01 00:01 [medline]', '1972/09/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1972 Sep;69(9):2599-603. doi: 10.1073/pnas.69.9.2599.,,['10.1073/pnas.69.9.2599 [doi]'],"Columns of (dT)(12-18)-cellulose provide a one-step enrichment procedure for RNA-dependent DNA polymerase. The enzyme of the virus from RD-114 cells, as well as that from Rauscher murine leukemia virus, have been purified in this way. The preference of viral as compared to cellular DNA polymerases for (dT)(12-18) as a primer is reflected in the fact that the DNA polymerases of uninfected cells do not bind to this column. Viral enzymes have been purified and identified from crude cellular extracts.",PMC426997,
4506694,NLM,MEDLINE,19721108,20171116,0017-7768 (Print) 0017-7768 (Linking),82,11,1972 Jun 1,[Treatment of acute lymphatic leukemia in children].,496-8,"['Aghai, E', 'Kende, G', 'Ramot, B']","['Aghai E', 'Kende G', 'Ramot B']",['heb'],['Journal Article'],Israel,Harefuah,Harefuah,0034351,"['5J49Q6B70F (Vincristine)', 'E7WED276I5 (Mercaptopurine)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Adolescent', 'Child', 'Child, Preschool', 'Daunorubicin/administration & dosage/therapeutic use', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/*drug therapy', 'Male', 'Mercaptopurine/administration & dosage/therapeutic use', 'Methotrexate/administration & dosage/therapeutic use', 'Prednisone/administration & dosage/therapeutic use', 'Remission, Spontaneous', 'Time Factors', 'Vincristine/administration & dosage/therapeutic use']",1972/06/01 00:00,1972/06/01 00:01,['1972/06/01 00:00'],"['1972/06/01 00:00 [pubmed]', '1972/06/01 00:01 [medline]', '1972/06/01 00:00 [entrez]']",ppublish,Harefuah. 1972 Jun 1;82(11):496-8.,,,,,
