PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,AB,TT,PMC,OID,GN,GR
267208,NLM,MEDLINE,19770825,20071115,0022-8362 (Print) 0022-8362 (Linking),29,4,1977 Apr,[Nursing care at the time of changing the degree of rest - from a case study of assisting a patient with acute lymphatic leukemia].,37-42,"['Hasegawa, K']",['Hasegawa K'],['jpn'],"['Case Reports', 'Journal Article']",Japan,Kango,[Kango] Japanese journal of nursing,18110540R,,"['*Bed Rest', 'Humans', 'Leukemia, Lymphoid/*nursing']",1977/04/01 00:00,1977/04/01 00:01,['1977/04/01 00:00'],"['1977/04/01 00:00 [pubmed]', '1977/04/01 00:01 [medline]', '1977/04/01 00:00 [entrez]']",,ppublish,Kango. 1977 Apr;29(4):37-42.,,,,,,,
267207,NLM,MEDLINE,19770902,20161017,0098-7484 (Print) 0098-7484 (Linking),238,5,1977 Aug 1,Erythroleukemia (di Guglielmo's disease). Occurrence 28 years after thorium administration.,423,"['Waddell, C C', 'Brown, J A', 'Rueb, D L']","['Waddell CC', 'Brown JA', 'Rueb DL']",['eng'],"['Case Reports', 'Journal Article']",United States,JAMA,JAMA,7501160,IM,"['Contrast Media/*adverse effects', 'Headache/diagnosis', 'Humans', 'Leukemia, Erythroblastic, Acute/*chemically induced', 'Male', 'Middle Aged', 'Thorium Dioxide/*adverse effects', 'Time Factors']",1977/08/01 00:00,1977/08/01 00:01,['1977/08/01 00:00'],"['1977/08/01 00:00 [pubmed]', '1977/08/01 00:01 [medline]', '1977/08/01 00:00 [entrez]']",,ppublish,JAMA. 1977 Aug 1;238(5):423.,"['0 (Contrast Media)', '9XA7X17UQC (Thorium Dioxide)']",,,,,,
267202,NLM,MEDLINE,19770825,20190621,0022-5347 (Print) 0022-5347 (Linking),118,1 Pt 1,1977 Jul,Acute lymphoblastic leukemia diagnosed by renal biopsy.,103-4,"['Barakat, A Y', 'Mnaymneh, L G']","['Barakat AY', 'Mnaymneh LG']",['eng'],"['Case Reports', 'Journal Article']",United States,J Urol,The Journal of urology,0376374,IM,"['Acute Disease', 'Acute Kidney Injury/etiology/pathology', 'Biopsy', 'Child', 'Humans', 'Kidney/pathology', 'Leukemia, Lymphoid/complications/*diagnosis/pathology', 'Male']",1977/07/01 00:00,1977/07/01 00:01,['1977/07/01 00:00'],"['1977/07/01 00:00 [pubmed]', '1977/07/01 00:01 [medline]', '1977/07/01 00:00 [entrez]']","['S0022-5347(17)57906-9 [pii]', '10.1016/s0022-5347(17)57906-9 [doi]']",ppublish,J Urol. 1977 Jul;118(1 Pt 1):103-4. doi: 10.1016/s0022-5347(17)57906-9.,,An 8-year-old boy who presented with recurrent attacks of acute non-oliguric renal failure is described. Hemograms were normal and the kidneys were not enlarged. A renal biopsy was done and diagnosis was acute lymphoblastic leukemia. The etiology of renal failure in leukemia is discussed.,,,,,
267196,NLM,MEDLINE,19770812,20211203,0022-345X (Print) 0022-345X (Linking),14,2,1977 Mar-Apr,Mumps uveitis complicating the course of acute leukemia.,100-2,"['Al-Rashid, R A', 'Cress, C']","['Al-Rashid RA', 'Cress C']",['eng'],"['Case Reports', 'Journal Article']",United States,J Pediatr Ophthalmol,Journal of pediatric ophthalmology,0044350,IM,"['Child', 'Diagnosis, Differential', 'Humans', 'Immunity, Cellular/drug effects', 'Immunosuppression Therapy/adverse effects', 'Leukemia, Lymphoid/*complications/drug therapy', 'Male', 'Mumps/*complications', 'Remission, Spontaneous', 'Uveitis/*etiology']",1977/03/01 00:00,1977/03/01 00:01,['1977/03/01 00:00'],"['1977/03/01 00:00 [pubmed]', '1977/03/01 00:01 [medline]', '1977/03/01 00:00 [entrez]']",,ppublish,J Pediatr Ophthalmol. 1977 Mar-Apr;14(2):100-2.,,A case of a nine-year-old child with acute lymphocytic leukemia in remission who developed infectious parotitis with uveitis was presented. Ocular complications of mumps have been briefly discussed and the differential diagnosis particularly in relationship to leukemia have been emphasized. The significance of depressed cellular immunity in the development of this complication was entertained.,,,,,
267155,NLM,MEDLINE,19770812,20071115,0022-2143 (Print) 0022-2143 (Linking),90,1,1977 Jul,Renal handling of endogenous lysozyme in man.,61-7,"['Pruzanski, W', 'Wilson, D R']","['Pruzanski W', 'Wilson DR']",['eng'],['Journal Article'],United States,J Lab Clin Med,The Journal of laboratory and clinical medicine,0375375,IM,"['Adult', 'Aged', 'Fanconi Syndrome/enzymology', 'Female', 'Humans', 'Kidney/*enzymology', 'Kidney Tubules, Proximal/enzymology', 'Leukemia, Myeloid/metabolism', 'Male', 'Metabolic Clearance Rate', 'Middle Aged', 'Muramidase/blood/*metabolism/urine', 'Renal Artery', 'Renal Veins']",1977/07/01 00:00,1977/07/01 00:01,['1977/07/01 00:00'],"['1977/07/01 00:00 [pubmed]', '1977/07/01 00:01 [medline]', '1977/07/01 00:00 [entrez]']",,ppublish,J Lab Clin Med. 1977 Jul;90(1):61-7.,['EC 3.2.1.17 (Muramidase)'],,,,,,
267154,NLM,MEDLINE,19770812,20071115,0022-8699 (Print) 0022-8699 (Linking),78,6,1977 Jun,Multiple threat: second primary malignancies in patients with ovarian carcinoma treated with radiation and chemotherapy.,283-5,"['Masterson, B J', 'Snyder, T E']","['Masterson BJ', 'Snyder TE']",['eng'],"['Case Reports', 'Journal Article']",United States,J Kans Med Soc,The Journal of the Kansas Medical Society,7505612,IM,"['Aged', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/complications', '*Neoplasms, Multiple Primary', '*Ovarian Neoplasms/therapy']",1977/06/01 00:00,1977/06/01 00:01,['1977/06/01 00:00'],"['1977/06/01 00:00 [pubmed]', '1977/06/01 00:01 [medline]', '1977/06/01 00:00 [entrez]']",,ppublish,J Kans Med Soc. 1977 Jun;78(6):283-5.,,,,,,,
267143,NLM,MEDLINE,19770812,20111117,0161-5505 (Print) 0161-5505 (Linking),18,7,1977 Jul,The association of Ga-67 and lactoferrin.,713-7,"['Hoffer, P B', 'Huberty, J', 'Khayam-Bashi, H']","['Hoffer PB', 'Huberty J', 'Khayam-Bashi H']",['eng'],['Journal Article'],United States,J Nucl Med,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",0217410,IM,"['Adult', 'Female', 'Galactorrhea/*metabolism', 'Gallium Radioisotopes/*analysis', 'Humans', 'Lactation Disorders/*metabolism', 'Lactoferrin/*metabolism', 'Lactoglobulins/*metabolism', 'Leukemia, Myeloid, Acute/diagnosis', 'Neoplasm Metastasis', 'Pregnancy', 'Protein Binding', 'Radionuclide Imaging', 'Spinal Cord Neoplasms/diagnosis']",1977/07/01 00:00,1977/07/01 00:01,['1977/07/01 00:00'],"['1977/07/01 00:00 [pubmed]', '1977/07/01 00:01 [medline]', '1977/07/01 00:00 [entrez]']",,ppublish,J Nucl Med. 1977 Jul;18(7):713-7.,"['0 (Gallium Radioisotopes)', '0 (Lactoglobulins)', 'EC 3.4.21.- (Lactoferrin)']","Activity was seen in the breasts of a patient with galactorrhea 72 h after intravenous injection of Ga-67 citrate. Differential protein separation of breast secretion, extracted from the breast, revealed that the Ga-67 was contained primarily in the lactoferrin-rich protein fraction. Additional studies on partially purified lactoferrin revealed that lactoferrin binds Ga-67 more avidly than does transferrin. Since lactoferrin is present in high concentration non only in human colostrum and milk, but also in neutrophilic leukocytes, bone marrow, spleen, colon, tears, and in genital, salivary, and nasopharyngeal secretions, binding of Ga-67 to lactoferrin may explain the localization of Ga-67 in certain normal tissues and inflammatory lesions.",,,,,
267048,NLM,MEDLINE,19770825,20131121,0017-8594 (Print) 0017-8594 (Linking),36,6,1977 Jun,Development of chronic granulocytic leukemia in a patient treated with pyrimethamine.,"173,176","['Jim, R T', 'Elizaga, F V']","['Jim RT', 'Elizaga FV']",['eng'],"['Case Reports', 'Journal Article']",United States,Hawaii Med J,Hawaii medical journal,2984209R,IM,"['Female', 'Humans', 'Leukemia, Myeloid/*chemically induced', 'Pyrimethamine/*adverse effects']",1977/06/01 00:00,1977/06/01 00:01,['1977/06/01 00:00'],"['1977/06/01 00:00 [pubmed]', '1977/06/01 00:01 [medline]', '1977/06/01 00:00 [entrez]']",,ppublish,"Hawaii Med J. 1977 Jun;36(6):173,176.",['Z3614QOX8W (Pyrimethamine)'],,,,,,
267047,NLM,MEDLINE,19770812,20190823,0021-1265 (Print) 0021-1265 (Linking),146,5,1977 May,Does influenza and contact with malignant neoplasia predispose to leukaemia?,132-5,"['Kemmoona, I']",['Kemmoona I'],['eng'],"['Case Reports', 'Journal Article']",Ireland,Ir J Med Sci,Irish journal of medical science,7806864,IM,"['Adolescent', 'Adult', 'Aged', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Influenza, Human/*complications', 'Leukemia/*etiology/immunology', 'Leukemia, Lymphoid/etiology', 'Leukemia, Myeloid/etiology', 'Leukemia, Myeloid, Acute/etiology', 'Lymphoma, Non-Hodgkin/etiology', 'Male', 'Middle Aged', 'Neoplasms/*immunology']",1977/05/01 00:00,1977/05/01 00:01,['1977/05/01 00:00'],"['1977/05/01 00:00 [pubmed]', '1977/05/01 00:01 [medline]', '1977/05/01 00:00 [entrez]']",['10.1007/BF03030947 [doi]'],ppublish,Ir J Med Sci. 1977 May;146(5):132-5. doi: 10.1007/BF03030947.,,,,,,,
267045,NLM,MEDLINE,19770902,20041117,0367-6102 (Print) 0367-6102 (Linking),52,1,1977 Jan,[Erythroleukemia with PAS negative megaerythroblast-like cells--a case study].,68-70,"['Morioka, T', 'Sakurama, T', 'Mikami, A', 'Fujine, M', 'Okamoto, M']","['Morioka T', 'Sakurama T', 'Mikami A', 'Fujine M', 'Okamoto M']",['jpn'],"['Case Reports', 'Journal Article']",Japan,Hokkaido Igaku Zasshi,[Hokkaido igaku zasshi] The Hokkaido journal of medical science,17410290R,IM,"['Adult', 'Bone Marrow/pathology', 'Bone Marrow Cells', 'Erythroblasts/*pathology', 'Erythrocytes/*pathology', 'Humans', 'Leukemia, Erythroblastic, Acute/*blood', 'Liver/pathology', 'Male', 'Spleen/pathology']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",,ppublish,Hokkaido Igaku Zasshi. 1977 Jan;52(1):68-70.,,,,,,,
267010,NLM,MEDLINE,19770812,20190813,0340-6199 (Print) 0340-6199 (Linking),125,2,1977 Jun 1,Accuracy of blood volume estimations in critically ill children using 125I-labelled albumin and 51Cr-labelled red cells.,143-51,"['Linderkamp, O', 'Holthausen, H', 'Seifert, J', 'Butenandt, I', 'Riegel, K P']","['Linderkamp O', 'Holthausen H', 'Seifert J', 'Butenandt I', 'Riegel KP']",['eng'],['Journal Article'],Germany,Eur J Pediatr,European journal of pediatrics,7603873,IM,"['Adolescent', 'Blood Volume Determination/methods/*standards', 'Burns/blood', 'Child', 'Child, Preschool', 'Chromium Radioisotopes', 'Erythrocytes', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/blood', 'Male', 'Sepsis/blood', 'Serum Albumin, Radio-Iodinated']",1977/06/01 00:00,1977/06/01 00:01,['1977/06/01 00:00'],"['1977/06/01 00:00 [pubmed]', '1977/06/01 00:01 [medline]', '1977/06/01 00:00 [entrez]']",['10.1007/BF00489987 [doi]'],ppublish,Eur J Pediatr. 1977 Jun 1;125(2):143-51. doi: 10.1007/BF00489987.,"['0 (Chromium Radioisotopes)', '0 (Serum Albumin, Radio-Iodinated)']","Blood volume was estimated using 51chromium labelled red cells and 125iodinated human serum albumin in 5 children with sepsis, in 6 burned children and 7 children with acute lymphoblastic leukaemia. Studies of the equilibration pattern demonstrated that the mixing time of labelled red cells was prolonged to 40 minutes or more in 5 children, indicating the existence of slowly circulating red cells. Mixing of labelled albumin was complete within 10 minutes in 15 patients and within 20 minutes in all the children studied. In a burned patient with severe sepsis, exchange transfusion improved the clinical state and normalized the equilibration pattern of labelled red cells. The mean body/venous haematocrit ratio was 0.893+/-0.018 (SD) in the children with sepsis, 0.859+/-0.052 in the burned patients, and 0.916+/-0.078 in the children with acute lymphoblastic leukaemia, increasing with spleen size in the latter group.",,,,,
266988,NLM,MEDLINE,19770812,20131121,0012-0472 (Print) 0012-0472 (Linking),102,24,1977 Jun 17,[Splenectomy for chronic myeloid leukaemia in the early and late phases (author's transl)].,889-93,"['Stolzenbach, G', 'Garbrecht, M', 'Delling, G']","['Stolzenbach G', 'Garbrecht M', 'Delling G']",['ger'],"['English Abstract', 'Journal Article']",Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,IM,"['Adult', 'Biopsy', 'Busulfan/therapeutic use', 'Female', 'Humans', 'Leukemia, Myeloid/drug therapy/pathology/*surgery', 'Liver/pathology', 'Male', 'Middle Aged', 'Spleen/pathology', '*Splenectomy', 'Time Factors']",1977/06/17 00:00,1977/06/17 00:01,['1977/06/17 00:00'],"['1977/06/17 00:00 [pubmed]', '1977/06/17 00:01 [medline]', '1977/06/17 00:00 [entrez]']",['10.1055/s-0028-1104983 [doi]'],ppublish,Dtsch Med Wochenschr. 1977 Jun 17;102(24):889-93. doi: 10.1055/s-0028-1104983.,['G1LN9045DK (Busulfan)'],"Splenectomy was perfomed in three patients with typical chronic myeloid leukaemia after a compensated stage had been reached with busulphan. Marked pancytopenia as a result of hypersplenism occurred in one patient 14 months after the end of the primary induction, and was successfully treated by splenectomy after radiotherapy of the spleen had failed. Splenectomy was performed without complication, and the histological appearance of the spleen showed myeloid infiltrates while there was none in the liver biopsy. After another 18 months the patient remained compensated, without busulphan administration. In the two other patients splenectomy was performed in the recompensated stage, one month and five years, respectively, after the primary induction had been concluded. In these two patients, too, there was myeloid infiltration of the spleen. In both, mild leucocytosis with shift to the left as far as promyelocytes occurred six and two weeks, respectively, after splenectomy and busulphan was started again. Twelve and ten months, respectively, after splenectomy they are both in the compensated stage. The importance of splenectomy in the early phase lies in the possibility of delaying blast crisis and avoiding myelofibrosis, as well as in the prevention of complications in the later stages.",Bedeutung der Splenektomie bei chronischer meyloischer Leukamie in der fruhen und spaten phase.,,,,
266986,NLM,MEDLINE,19770812,20081121,0012-0472 (Print) 0012-0472 (Linking),102,23,1977 Jun 10,[Megakaryocytic myelosis: clinical and morphological features (author's transl)].,853-7,"['Prechtel, K', 'Beil, E', 'Kronseder, A']","['Prechtel K', 'Beil E', 'Kronseder A']",['ger'],"['English Abstract', 'Journal Article']",Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,IM,"['Adult', 'Age Factors', 'Aged', 'Female', 'Humans', 'Leukemia, Myeloid/complications', 'Male', 'Middle Aged', 'Polycythemia Vera/complications', 'Sex Factors', 'Splenomegaly/complications', 'Thrombocythemia, Essential/*blood/complications/pathology', 'Thromboembolism/complications']",1977/06/10 00:00,1977/06/10 00:01,['1977/06/10 00:00'],"['1977/06/10 00:00 [pubmed]', '1977/06/10 00:01 [medline]', '1977/06/10 00:00 [entrez]']",['10.1055/s-0028-1104976 [doi]'],ppublish,Dtsch Med Wochenschr. 1977 Jun 10;102(23):853-7. doi: 10.1055/s-0028-1104976.,,"In general, megakaryocytic myelosis is nowadays considered to be a separate disease entity, one of the myeloproliferative syndromes. Morphologically there are localised or diffuse proliferations of usually large pleomorphic megakaryocytes and immature atypical megakaryocytes up to megakaryoblasts in the bone marrow, in the sense of a haemoblastosis. In the course of the disease megakaryocytic splenomegaly develops. A sarcomatous form (megakaryoblastoma, megakaryo-sarcoma) is rare. Megakaryocytic myelosis may arise from chronic meyloid leukaemia or polycythaemia vera, rarely as a transitional stage to an acute myeloblastic leukaemia or megakaryoblastic leukemia in the sense of a blast crisis. The mature form of the disease, which has an age peak at 59 years and is not sex-linked, often takes a course over years with increasing splenomegaly, anaemia, moderate leucocytosis and usually marked thrombocytosis (average value of 720 X 10(9)/1). Life threatening complications are haemorrhages, thromboembolism and increased frequency of infections due to antibody deficiency in the advanced stage.",Megakaryozytare Myelose Klinik und Morphologie,,,,
266971,NLM,MEDLINE,19770812,20201209,0008-543X (Print) 0008-543X (Linking),39,6,1977 Jun,Adult respiratory distress syndrome (ARDS) following aggressive management of extensive acute lymphoblastic leukemia.,2422-5,"['Hewlett, R I', 'Wilson, A F']","['Hewlett RI', 'Wilson AF']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer,Cancer,0374236,IM,"['Adolescent', 'Drug Therapy, Combination/*adverse effects', 'Humans', 'Leukemia, Lymphoid/complications/*drug therapy', 'Male', 'Respiratory Distress Syndrome/*etiology']",1977/06/01 00:00,1977/06/01 00:01,['1977/06/01 00:00'],"['1977/06/01 00:00 [pubmed]', '1977/06/01 00:01 [medline]', '1977/06/01 00:00 [entrez]']",['10.1002/1097-0142(197706)39:6<2422::aid-cncr2820390618>3.0.co;2-u [doi]'],ppublish,Cancer. 1977 Jun;39(6):2422-5. doi: 10.1002/1097-0142(197706)39:6<2422::aid-cncr2820390618>3.0.co;2-u.,,The adult respiratory distress syndrome occurred during aggressive therapy of extensive acute leukemia. The pathogenic mechanisms involved includes development of disseminated intravascular coagulation probably initiated by tissue factors from necrotic leukemic cells following chemotherapy. Awareness of the possibility of the complication is stressed.,,,,,
266970,NLM,MEDLINE,19770812,20190619,0008-543X (Print) 0008-543X (Linking),39,6,1977 Jun,Phytohemagglutinin skin tests in cancer patients.,2355-61,"['Zuckerman, K S', 'LoBuglio, A F']","['Zuckerman KS', 'LoBuglio AF']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,IM,"['Adult', 'Breast Neoplasms/immunology', 'Colonic Neoplasms/immunology', 'Hodgkin Disease/immunology', 'Humans', '*Hypersensitivity, Delayed', 'Lectins', 'Leukemia, Myeloid/immunology', 'Lung Neoplasms/immunology', 'Lymphoma/immunology', 'Melanoma/immunology', 'Neoplasms/*immunology', 'Skin Tests']",1977/06/01 00:00,1977/06/01 00:01,['1977/06/01 00:00'],"['1977/06/01 00:00 [pubmed]', '1977/06/01 00:01 [medline]', '1977/06/01 00:00 [entrez]']",['10.1002/1097-0142(197706)39:6<2355::aid-cncr2820390607>3.0.co;2-p [doi]'],ppublish,Cancer. 1977 Jun;39(6):2355-61. doi: 10.1002/1097-0142(197706)39:6<2355::aid-cncr2820390607>3.0.co;2-p.,['0 (Lectins)'],"Phytohemagglutinin (PHA) stimulates blastic transformation of normal lymphocytes in vitro and when injected intradermally produces a skin response histologically similar to a delayed hypersensitivity reaction. We investigated the skin test responses to PHA, mumps, candida, and varidase (SK-SD) and the PHA-induced lymphocyte transformation in patients with malignant neoplasms. Increased incidence of anergy to recall antigens and unresponsiveness to PHA skin testing was observed in patients with lymphoreticular malignancies but not in those with solid tumors. There was a direct correlation between skin test reactivity to at least one recall antigen and/or PHA and survival in lymphoma patients. This was true of both short and long terms survival in Hodgkin's disease and of survival at least through 42 months in non-Hodgkin's lymphomas. In vitro stimulation of lymphocytes with PHA did not correlate with PHA skin test reactivity. We conclude that PHA skin testing is a useful adjunct in the evaluation of patients with lymphoreticular malignancies.",,,,,
266969,NLM,MEDLINE,19770812,20190619,0008-543X (Print) 0008-543X (Linking),39,6,1977 Jun,HLA linked resistance factors and survival in acute myelogenous leukemia.,2337-41,"['Oliver, R T', 'Pillai, A', 'Klouda, P T', 'Lawler, S D']","['Oliver RT', 'Pillai A', 'Klouda PT', 'Lawler SD']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,IM,"['HLA Antigens/*analysis', 'Histocompatibility Antigens/*analysis', 'Humans', 'Leukemia, Myeloid, Acute/*immunology/mortality', 'Phenotype']",1977/06/01 00:00,1977/06/01 00:01,['1977/06/01 00:00'],"['1977/06/01 00:00 [pubmed]', '1977/06/01 00:01 [medline]', '1977/06/01 00:00 [entrez]']",['10.1002/1097-0142(197706)39:6<2337::aid-cncr2820390603>3.0.co;2-x [doi]'],ppublish,Cancer. 1977 Jun;39(6):2337-41. doi: 10.1002/1097-0142(197706)39:6<2337::aid-cncr2820390603>3.0.co;2-x.,"['0 (HLA Antigens)', '0 (Histocompatibility Antigens)']","The concept that HLA-linked immune response genes may influence survival of patients with malignant disease has been investigated by performing HLA typing on a series of 150 patients with acute myelogenous leukemia. Patients with A1 and B8 and/or A2 and B12 survival longer than patients without either of these pairs of antigens in association. However, after correction of the statistical probability for the number of A and B locus combinations theoretically possible, these differences are not statistically significant. Clarification of this must await independent analysis of other series and more direct approaches to the study of immune response genes in man.",,,,,
266965,NLM,MEDLINE,19770902,20190501,0007-1447 (Print) 0007-1447 (Linking),2,6079,1977 Jul 9,Colony-forming cells and myeloblasts in chronic granulocytic leukaemia.,125-6,"['Goldman, J M', 'Lewis, D', 'Buskard, N A']","['Goldman JM', 'Lewis D', 'Buskard NA']",['eng'],"['Case Reports', 'Letter']",England,Br Med J,British medical journal,0372673,IM,"['*Bone Marrow', '*Bone Marrow Cells', 'Clone Cells', 'Female', 'Humans', 'Leukemia, Myeloid/*blood', 'Leukocytes', 'Middle Aged']",1977/07/09 00:00,1977/07/09 00:01,['1977/07/09 00:00'],"['1977/07/09 00:00 [pubmed]', '1977/07/09 00:01 [medline]', '1977/07/09 00:00 [entrez]']",['10.1136/bmj.2.6079.125-d [doi]'],ppublish,Br Med J. 1977 Jul 9;2(6079):125-6. doi: 10.1136/bmj.2.6079.125-d.,,,,PMC1631015,,,
266964,NLM,MEDLINE,19770825,20171116,0007-1064 (Print) 0007-1064 (Linking),17,5,1977 May,Leukaemia in children.,"444, 446-7, 449-50","['Malpas, J S']",['Malpas JS'],['eng'],['Journal Article'],England,Br J Hosp Med,British journal of hospital medicine,0171545,IM,"['Central Nervous System Diseases/drug therapy/radiotherapy', 'Child', 'Child, Preschool', 'Diagnosis, Differential', 'Female', 'Humans', 'Immunotherapy', 'Injections, Spinal', '*Leukemia/diagnosis/therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid/therapy', 'Leukemia, Myeloid, Acute/therapy', 'Male', 'Mercaptopurine/administration & dosage', 'Methotrexate/administration & dosage', 'Prednisolone/administration & dosage', 'Remission, Spontaneous', 'Vincristine/administration & dosage']",1977/05/01 00:00,1977/05/01 00:01,['1977/05/01 00:00'],"['1977/05/01 00:00 [pubmed]', '1977/05/01 00:01 [medline]', '1977/05/01 00:00 [entrez]']",,ppublish,"Br J Hosp Med. 1977 May;17(5):444, 446-7, 449-50.","['5J49Q6B70F (Vincristine)', '9PHQ9Y1OLM (Prednisolone)', 'E7WED276I5 (Mercaptopurine)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,,
266956,NLM,MEDLINE,19770812,20190902,0006-5242 (Print) 0006-5242 (Linking),34,5,1977 May,[Effect of short-time suspension culture of hematopoietic cells on the mitosis rate in early blastic leukemia: method for the improvement of preparation conditions for cytogenetic studies].,398-402,"['Hellriegel, K P', 'Heit, W', 'Byrne, P']","['Hellriegel KP', 'Heit W', 'Byrne P']",['ger'],['Journal Article'],Germany,Blut,Blut,0173401,IM,"['Acute Disease', 'Adolescent', 'Aged', 'Anemia, Aplastic/pathology', 'Culture Techniques/*methods', 'Humans', 'Karyotyping', 'Leukemia/*pathology', 'Leukemia, Myeloid/pathology', 'Male', 'Middle Aged', 'Time Factors']",1977/05/01 00:00,1977/05/01 00:01,['1977/05/01 00:00'],"['1977/05/01 00:00 [pubmed]', '1977/05/01 00:01 [medline]', '1977/05/01 00:00 [entrez]']",['10.1007/BF00996083 [doi]'],ppublish,Blut. 1977 May;34(5):398-402. doi: 10.1007/BF00996083.,,,Effekt von Kurzzeit-Suspensionskulturen hamatopoetischer Zellen auf die Mitoserate bei Fruhstadien unreifzelliger Leukamien: Eine Methode zur Verbesserung der Praparations-bedingungen fur zytogenetische Untersuchungen,,,,
266955,NLM,MEDLINE,19770812,20190902,0006-5242 (Print) 0006-5242 (Linking),34,5,1977 May,[Tartrate-resistant acid phosphatase in various cell types of lympho-reticular and hematopoietic system].,393-7,"['Schaefer, H E', 'Hellriegel, K P', 'Fischer, R']","['Schaefer HE', 'Hellriegel KP', 'Fischer R']",['ger'],['Journal Article'],Germany,Blut,Blut,0173401,IM,"['Acid Phosphatase/*analysis', 'Adult', 'Aged', 'Bone Marrow/enzymology', 'Bone Marrow Cells', 'Female', 'Hematopoietic System/*enzymology', 'Humans', 'Leukemia/*enzymology', 'Leukemia, Lymphoid/enzymology', 'Leukemia, Myeloid/enzymology', 'Lymphocytes/enzymology', 'Male', 'Mononuclear Phagocyte System/*enzymology', 'Pregnancy', 'Tartrates']",1977/05/01 00:00,1977/05/01 00:01,['1977/05/01 00:00'],"['1977/05/01 00:00 [pubmed]', '1977/05/01 00:01 [medline]', '1977/05/01 00:00 [entrez]']",['10.1007/BF00996082 [doi]'],ppublish,Blut. 1977 May;34(5):393-7. doi: 10.1007/BF00996082.,"['0 (Tartrates)', 'EC 3.1.3.2 (Acid Phosphatase)']",,Vorkommen von Tartrat-resistenter saurer Phosphatase in verschiedenen Zelltypen des lympho-retikularen und hamopoetischen Systems,,,,
266954,NLM,MEDLINE,19770902,20210216,0006-4971 (Print) 0006-4971 (Linking),50,2,1977 Aug,Divergent patterns of marrow cell suspension culture growth in the myeloid leukemias: correlation of in vitro findings with clinical features.,263-74,"['Elias, L', 'Greenberg, P']","['Elias L', 'Greenberg P']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,IM,"['*Bone Marrow', '*Bone Marrow Cells', 'Cell Division', 'Cells, Cultured', 'Humans', 'Leukemia, Myeloid/*blood/pathology', 'Leukemia, Myeloid, Acute/*blood/pathology', 'Remission, Spontaneous']",1977/08/01 00:00,1977/08/01 00:01,['1977/08/01 00:00'],"['1977/08/01 00:00 [pubmed]', '1977/08/01 00:01 [medline]', '1977/08/01 00:00 [entrez]']",['S0006-4971(20)66606-X [pii]'],ppublish,Blood. 1977 Aug;50(2):263-74.,,"Cellular recovery, maturation, and colony-forming cell (CFC) generation patterns of bone marrow cells from 23 patients with acute, subacute, and chronic myeloid leukemia (AML, SML, and CML) were studied using liquid and agar culture techniques. Increased recovery of proliferative myeloid cells from liquid culture was noted in 6 of 8 AML patients at diagnosis or relapse and 5 of 7 untreated SML patients. Patients with either AML or SML with rapid clinical progression exhibited greater recovery of cells in vitro with less maturation than patients with more stable disease. Studies from 3 patients with CML showed normal to increased cellular recovery with normal maturation. Three of 4 studies of AML patients followed sequentially in apparent remission, but with impending relapse, exhibited increased numbers of myeloblasts and promyelocytes, whereas 28 of 32 studies performed during stable remission were normal. The normally observed increase in CFC during liquid culture was absent in most leukemic marrow samples studied (3 of 4 AML, 4 of 6 SML, and 2 of 3 CML). Persistent low recovery of CFC during AML remission was associated in 3 patients with short remission duration. These studies indicated the potential utility of these techniques for the clinical evaluation of patients with myeloid leukemia and for studying factors involved in the progression of these diseases.",,,,,
