PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,TT,PMC,AB,LID,OID
5217146,NLM,MEDLINE,19660521,20190717,0003-9942 (Print) 0003-9942 (Linking),14,3,1966 Mar,Central pontine myelinolysis in a child with leukemia.,273-80,"['Rosman, N P', 'Kakulas, B A', 'Richardson, E P Jr']","['Rosman NP', 'Kakulas BA', 'Richardson EP Jr']",['eng'],"['Case Reports', 'Journal Article']",United States,Arch Neurol,Archives of neurology,0372436,,IM,"['Brain Diseases/*pathology', 'Child', 'Demyelinating Diseases/*pathology', 'Humans', 'Leukemia, Myeloid/*pathology', 'Male', 'Pons/*pathology']",1966/03/01 00:00,2001/03/28 10:01,['1966/03/01 00:00'],"['1966/03/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1966/03/01 00:00 [entrez]']",ppublish,Arch Neurol. 1966 Mar;14(3):273-80. doi: 10.1001/archneur.1966.00470090045006.,['10.1001/archneur.1966.00470090045006 [doi]'],,,,,
5217142,NLM,MEDLINE,19660520,20131121,0035-4627 (Print) 0035-4627 (Linking),49,2,1966 Feb,"The anemia of erythroleukemia--Di Guglielmo's syndrome. A report of three cases with ferrokinetic and erythrokinetic studies; iron and erythrocyte turnover. Disorder characterized by anemia resulting from decreased red cell production, ineffective erythropoiesis, and increased red cell breakdown.",114-20,"['Albala, M M', 'Leone, L A']","['Albala MM', 'Leone LA']",['eng'],"['Case Reports', 'Journal Article']",United States,R I Med J,Rhode Island medical journal,7512464,['E1UOL152H7 (Iron)'],IM,"['*Erythropoiesis', 'Female', 'Humans', 'Iron/*metabolism', 'Leukemia, Erythroblastic, Acute/*physiopathology', 'Male', 'Middle Aged']",1966/02/01 00:00,1966/02/01 00:01,['1966/02/01 00:00'],"['1966/02/01 00:00 [pubmed]', '1966/02/01 00:01 [medline]', '1966/02/01 00:00 [entrez]']",ppublish,R I Med J. 1966 Feb;49(2):114-20.,,,,,,
5217030,NLM,MEDLINE,19660519,20171116,0008-5472 (Print) 0008-5472 (Linking),25,9,1965 Oct,The very acute leukemias.,1675-6,"['Bernard, J', 'Boiron, M', 'Lortholary, P', 'Levy, J P']","['Bernard J', 'Boiron M', 'Lortholary P', 'Levy JP']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Aldehydes)', '5J49Q6B70F (Vincristine)', '9001-32-5 (Fibrinogen)', 'E7WED276I5 (Mercaptopurine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adolescent', 'Adult', 'Aldehydes/therapeutic use', 'Blood Cell Count', 'Bone Marrow', 'Cerebrospinal Fluid', 'Female', 'Fibrinogen', 'Humans', '*Leukemia, Lymphoid', '*Leukemia, Myeloid', 'Male', 'Mercaptopurine/therapeutic use', 'Methotrexate/therapeutic use', 'Middle Aged', 'Vincristine/therapeutic use']",1965/10/01 00:00,1965/10/01 00:01,['1965/10/01 00:00'],"['1965/10/01 00:00 [pubmed]', '1965/10/01 00:01 [medline]', '1965/10/01 00:00 [entrez]']",ppublish,Cancer Res. 1965 Oct;25(9):1675-6.,,,,,,
5217029,NLM,MEDLINE,19660519,20171116,0008-5472 (Print) 0008-5472 (Linking),25,9,1965 Oct,Long duration of complete remissions in acute leukemia.,1673-4,"['Bernard, J']",['Bernard J'],['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['E7WED276I5 (Mercaptopurine)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adult', 'Blood Transfusion', 'Child', 'Child, Preschool', 'Female', 'Humans', '*Leukemia, Lymphoid', '*Leukemia, Myeloid', 'Male', 'Mercaptopurine/therapeutic use', 'Methotrexate/therapeutic use', 'Middle Aged', 'Prednisone/therapeutic use', 'Prognosis']",1965/10/01 00:00,1965/10/01 00:01,['1965/10/01 00:00'],"['1965/10/01 00:00 [pubmed]', '1965/10/01 00:01 [medline]', '1965/10/01 00:00 [entrez]']",ppublish,Cancer Res. 1965 Oct;25(9):1673-4.,,,,,,
5217028,NLM,MEDLINE,19660519,20131121,0008-5472 (Print) 0008-5472 (Linking),25,9,1965 Oct,Kethoxal bis(thiosemicarbazone). I. Effects against experimental tumors.,1410-6,"['Mihich, E', 'Nichol, C A']","['Mihich E', 'Nichol CA']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antineoplastic Agents)', '0 (Thiosemicarbazones)', 'W7KQ46GJ8U (Uracil Mustard)']",IM,"['Adenocarcinoma/drug therapy', 'Animals', 'Antineoplastic Agents/*therapeutic use', 'Carcinoma/drug therapy', 'Carcinoma 256, Walker/*drug therapy', 'Leukemia L1210/*drug therapy', 'Lymphoma, Non-Hodgkin/*drug therapy', 'Mice', 'Neoplasms, Experimental/*drug therapy', 'Osteosarcoma/*drug therapy', 'Sarcoma 180/*drug therapy', 'Thiosemicarbazones/*therapeutic use', 'Uracil Mustard/*therapeutic use']",1965/10/01 00:00,1965/10/01 00:01,['1965/10/01 00:00'],"['1965/10/01 00:00 [pubmed]', '1965/10/01 00:01 [medline]', '1965/10/01 00:00 [entrez]']",ppublish,Cancer Res. 1965 Oct;25(9):1410-6.,,,,,,
5217023,NLM,MEDLINE,19660519,20190812,0001-6101 (Print) 0001-6101 (Linking),179,1,1966 Jan,Pregnancy and chronic myeloid leukaemia. Follow-up study of children and grandchildren.,47-57,"['Bjure, A']",['Bjure A'],['eng'],"['Case Reports', 'Journal Article']",Sweden,Acta Med Scand,Acta medica Scandinavica,0370330,,IM,"['Adult', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia, Myeloid/*epidemiology/*genetics/radiotherapy', 'Pregnancy', '*Pregnancy Complications, Hematologic']",1966/01/01 00:00,1966/01/01 00:01,['1966/01/01 00:00'],"['1966/01/01 00:00 [pubmed]', '1966/01/01 00:01 [medline]', '1966/01/01 00:00 [entrez]']",ppublish,Acta Med Scand. 1966 Jan;179(1):47-57. doi: 10.1111/j.0954-6820.1966.tb05432.x.,['10.1111/j.0954-6820.1966.tb05432.x [doi]'],,,,,
5216810,NLM,MEDLINE,19660421,20140519,,19,2,1966 Feb,Congenital granulocytic leukemia in a stillborn infant.,34-7,"['Barlow, J F']",['Barlow JF'],['eng'],"['Case Reports', 'Journal Article']",United States,S D J Med,South Dakota journal of medicine,0040162,,IM,"['Female', '*Fetal Death', '*Fetal Diseases', 'Humans', 'Leukemia, Myeloid/*congenital', 'Pregnancy']",1966/02/01 00:00,1966/02/01 00:01,['1966/02/01 00:00'],"['1966/02/01 00:00 [pubmed]', '1966/02/01 00:01 [medline]', '1966/02/01 00:00 [entrez]']",ppublish,S D J Med. 1966 Feb;19(2):34-7.,,,,,,
5216776,NLM,MEDLINE,19660421,20190718,0004-3591 (Print) 0004-3591 (Linking),8,5,1965 Oct,Studies of uric acid biosynthesis in the chronic leukemias.,772-9,"['Krakoff, I H']",['Krakoff IH'],['eng'],['Journal Article'],United States,Arthritis Rheum,Arthritis and rheumatism,0370605,['268B43MJ25 (Uric Acid)'],IM,"['Humans', 'Leukemia, Lymphoid/*metabolism', 'Leukemia, Myeloid/*metabolism', 'Uric Acid/*biosynthesis']",1965/10/01 00:00,1965/10/01 00:01,['1965/10/01 00:00'],"['1965/10/01 00:00 [pubmed]', '1965/10/01 00:01 [medline]', '1965/10/01 00:00 [entrez]']",ppublish,Arthritis Rheum. 1965 Oct;8(5):772-9. doi: 10.1002/art.1780080440.,['10.1002/art.1780080440 [doi]'],,,,,
5216775,NLM,MEDLINE,19660421,20190718,0004-3591 (Print) 0004-3591 (Linking),8,5,1965 Oct,Secondary gout associated with myeloproliferative diseases.,765-71,"['Yu, T F']",['Yu TF'],['eng'],"['Case Reports', 'Journal Article']",United States,Arthritis Rheum,Arthritis and rheumatism,0370605,"['0 (Nucleic Acids)', '268B43MJ25 (Uric Acid)']",IM,"['Anemia, Hemolytic/complications', 'Female', 'Gaucher Disease/complications', 'Gout/*etiology', 'Humans', 'Kidney Calculi', 'Leukemia, Myeloid/complications', 'Male', 'Nucleic Acids/metabolism', 'Polycythemia/complications', 'Polycythemia Vera/*complications', 'Primary Myelofibrosis/*complications', 'Uric Acid/metabolism']",1965/10/01 00:00,1965/10/01 00:01,['1965/10/01 00:00'],"['1965/10/01 00:00 [pubmed]', '1965/10/01 00:01 [medline]', '1965/10/01 00:00 [entrez]']",ppublish,Arthritis Rheum. 1965 Oct;8(5):765-71. doi: 10.1002/art.1780080439.,['10.1002/art.1780080439 [doi]'],,,,,
5216698,NLM,MEDLINE,19660415,20041117,0036-5513 (Print) 0036-5513 (Linking),17,6,1965,The tourniquet test. The influence of age or hemorrhagic disorders on the distribution and size of petechiae.,607-13,"['Stavem, P']",['Stavem P'],['eng'],['Journal Article'],England,Scand J Clin Lab Invest,Scandinavian journal of clinical and laboratory investigation,0404375,,IM,"['Adolescent', 'Adult', 'Aged', 'Anemia, Aplastic/pathology', 'Blood Platelet Disorders/epidemiology', 'Blood Pressure', 'Female', 'Hemorrhage/*epidemiology', 'Humans', 'Leukemia, Myeloid/epidemiology/pathology', 'Male', 'Middle Aged', 'Purpura/pathology', 'Thrombocytopenia/*pathology', '*Tourniquets']",1965/01/01 00:00,1965/01/01 00:01,['1965/01/01 00:00'],"['1965/01/01 00:00 [pubmed]', '1965/01/01 00:01 [medline]', '1965/01/01 00:00 [entrez]']",ppublish,Scand J Clin Lab Invest. 1965;17(6):607-13.,,,,,,
5216697,NLM,MEDLINE,19660415,20200930,0037-9727 (Print) 0037-9727 (Linking),120,3,1965 Dec,Differences in sensitivity of human blood cells to fresh rabbit serum.,789-92,"['Schrek, R']",['Schrek R'],['eng'],['Journal Article'],United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,,IM,"['Animals', '*Blood', '*Blood Cells', 'Bone Marrow Cells', 'Humans', 'In Vitro Techniques', '*Leukemia, Myeloid', 'Neutrophils', 'Rabbits']",1965/12/01 00:00,1965/12/01 00:01,['1965/12/01 00:00'],"['1965/12/01 00:00 [pubmed]', '1965/12/01 00:01 [medline]', '1965/12/01 00:00 [entrez]']",ppublish,Proc Soc Exp Biol Med. 1965 Dec;120(3):789-92.,,,,,,
5216688,NLM,MEDLINE,19660415,20141120,0008-5472 (Print) 0008-5472 (Linking),25,11,1965 Dec,Serum folate and serum vitamin B12 in patients with malignant hematologie diseases.,1933-8,"['Hoogstraten, B', 'Baker, H', 'Gilbert, H S']","['Hoogstraten B', 'Baker H', 'Gilbert HS']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['935E97BOY8 (Folic Acid)', 'P6YC3EG204 (Vitamin B 12)']",IM,"['Blood', 'Folic Acid/*metabolism', 'Hodgkin Disease/*metabolism', 'Humans', 'In Vitro Techniques', 'Leukemia/*metabolism', 'Leukemia, Myeloid/*metabolism', 'Lymphoma/*metabolism', 'Lymphoma, Non-Hodgkin/*metabolism', 'Multiple Myeloma/*metabolism', 'Vitamin B 12/*metabolism']",1965/12/01 00:00,1965/12/01 00:01,['1965/12/01 00:00'],"['1965/12/01 00:00 [pubmed]', '1965/12/01 00:01 [medline]', '1965/12/01 00:00 [entrez]']",ppublish,Cancer Res. 1965 Dec;25(11):1933-8.,,,,,,
5216677,NLM,MEDLINE,19660413,20041117,0046-3515 (Print) 0046-3515 (Linking),17,4,1965 Sep-Oct,[Acute leukosis and pregnancy].,354-5,"['Pery, G', 'Chastrusse, L', 'Soumireu-Mourat, J', 'Maleviale, G', 'Le Rebeller, A']","['Pery G', 'Chastrusse L', 'Soumireu-Mourat J', 'Maleviale G', 'Le Rebeller A']",['fre'],"['Case Reports', 'Journal Article']",France,Bull Fed Soc Gynecol Obstet Lang Fr,Bulletin de la Federation des societes de gynecologie et dobstetrique de langue francaise,7503396,,IM,"['Adult', 'Female', 'Gingival Hypertrophy/*etiology', 'Humans', 'Leukemia, Myeloid/*complications', 'Pregnancy', '*Pregnancy Complications, Hematologic']",1965/09/01 00:00,1965/09/01 00:01,['1965/09/01 00:00'],"['1965/09/01 00:00 [pubmed]', '1965/09/01 00:01 [medline]', '1965/09/01 00:00 [entrez]']",ppublish,Bull Fed Soc Gynecol Obstet Lang Fr. 1965 Sep-Oct;17(4):354-5.,,Leucose aigue et grossesse.,,,,
5216605,NLM,MEDLINE,19660410,20151119,0008-5472 (Print) 0008-5472 (Linking),26,2,1966 Feb,Remission maintenance in acute lymphocytic leukemia with hydroxyurea.,241-4,"['Storrs, R C', 'Wolman, I J', 'Gussoff, B D', 'Hananian, J']","['Storrs RC', 'Wolman IJ', 'Gussoff BD', 'Hananian J']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['5J49Q6B70F (Vincristine)', '8W8T17847W (Urea)', 'VB0R961HZT (Prednisone)']",IM,"['Adolescent', 'Child', 'Child, Preschool', 'Humans', 'Infant', 'Leukemia, Lymphoid/*drug therapy', 'Prednisone/*administration & dosage', 'Urea/*administration & dosage', 'Vincristine/*administration & dosage']",1966/02/01 00:00,1966/02/01 00:01,['1966/02/01 00:00'],"['1966/02/01 00:00 [pubmed]', '1966/02/01 00:01 [medline]', '1966/02/01 00:00 [entrez]']",ppublish,Cancer Res. 1966 Feb;26(2):241-4.,,,,,,
5216594,NLM,MEDLINE,19660409,20131121,0028-4793 (Print) 0028-4793 (Linking),274,7,1966 Feb 17,Pseudohyperkalemia due to release of potassium from white blood cells during clotting.,369-75,"['Bronson, W R', 'DeVita, V T', 'Carbone, P P', 'Cotlove, E']","['Bronson WR', 'DeVita VT', 'Carbone PP', 'Cotlove E']",['eng'],"['Case Reports', 'Journal Article']",United States,N Engl J Med,The New England journal of medicine,0255562,['RWP5GA015D (Potassium)'],IM,"['Blood Chemical Analysis', '*Blood Coagulation', 'Humans', 'Hyperkalemia/*etiology', 'Leukemia, Myeloid/*complications/*metabolism', 'Leukocyte Count', 'Male', 'Middle Aged', 'Potassium/metabolism', 'Thrombocytosis']",1966/02/17 00:00,1966/02/17 00:01,['1966/02/17 00:00'],"['1966/02/17 00:00 [pubmed]', '1966/02/17 00:01 [medline]', '1966/02/17 00:00 [entrez]']",ppublish,N Engl J Med. 1966 Feb 17;274(7):369-75. doi: 10.1056/NEJM196602172740702.,['10.1056/NEJM196602172740702 [doi]'],,,,,
5216460,NLM,MEDLINE,19660409,20210216,0006-4971 (Print) 0006-4971 (Linking),27,1,1966 Jan,Prolonged remission in chronic myeloid leukemia after one course of busulfan.,103-9,"['Djaldetti, M', 'Padeh, B', 'Pinkhas, J', 'De Vries, A']","['Djaldetti M', 'Padeh B', 'Pinkhas J', 'De Vries A']",['eng'],"['Case Reports', 'Journal Article']",United States,Blood,Blood,7603509,"['EC 3.1.3.1 (Alkaline Phosphatase)', 'G1LN9045DK (Busulfan)']",IM,"['Adult', 'Alkaline Phosphatase', 'Busulfan/*therapeutic use', 'Chromosomes', 'Female', 'Humans', 'Leukemia, Myeloid/*drug therapy', 'Leukocytes']",1966/01/01 00:00,1966/01/01 00:01,['1966/01/01 00:00'],"['1966/01/01 00:00 [pubmed]', '1966/01/01 00:01 [medline]', '1966/01/01 00:00 [entrez]']",ppublish,Blood. 1966 Jan;27(1):103-9.,['S0006-4971(20)65422-2 [pii]'],,,,,
5216449,NLM,MEDLINE,19660409,20091111,,5,3,1965 Sep,[Liberation of platelet potassium during coagulation].,253-63,"['Cocconi, G', 'Carrara, G']","['Cocconi G', 'Carrara G']",['fre'],"['Case Reports', 'Journal Article']",France,Hemostase,Hemostase,0156010,,IM,"['Adult', '*Blood Coagulation', 'Blood Platelets/*metabolism', 'Hodgkin Disease/*metabolism', 'Humans', 'Hyperkalemia/*etiology', 'Leukemia, Myeloid/*metabolism', 'Male', 'Thrombocytosis']",1965/09/01 00:00,1965/09/01 00:01,['1965/09/01 00:00'],"['1965/09/01 00:00 [pubmed]', '1965/09/01 00:01 [medline]', '1965/09/01 00:00 [entrez]']",ppublish,Hemostase. 1965 Sep;5(3):253-63.,,Liberation du potassium des plaquettes au cours de la coagulation.,,,,
5216403,NLM,MEDLINE,19660408,20190501,0007-1447 (Print) 0007-1447 (Linking),1,5485,1966 Feb 19,Syndrome resembling Addison's disease following prolonged treatment with busulphan.,463-4,"['Harrold, B P']",['Harrold BP'],['eng'],"['Case Reports', 'Journal Article']",England,Br Med J,British medical journal,0372673,['G1LN9045DK (Busulfan)'],IM,"['Addison Disease/*diagnosis', 'Adrenal Insufficiency/*etiology', 'Busulfan/*adverse effects', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Myeloid/drug therapy', 'Middle Aged', 'Pigmentation Disorders/*etiology', 'Pulmonary Fibrosis/*etiology']",1966/02/19 00:00,1966/02/19 00:01,['1966/02/19 00:00'],"['1966/02/19 00:00 [pubmed]', '1966/02/19 00:01 [medline]', '1966/02/19 00:00 [entrez]']",ppublish,Br Med J. 1966 Feb 19;1(5485):463-4. doi: 10.1136/bmj.1.5485.463.,['10.1136/bmj.1.5485.463 [doi]'],,PMC1843625,,,
5216393,NLM,MEDLINE,19660329,20200930,0037-9727 (Print) 0037-9727 (Linking),120,2,1965 Nov,Thymidylate dephosphorylation in granulocytes.,374-8,"['Stein, I D', 'Rubini, J R']","['Stein ID', 'Rubini JR']",['eng'],['Journal Article'],United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,['0 (Nucleotides)'],IM,"['Anemia, Pernicious/metabolism', 'Bone Marrow/*enzymology', '*Bone Marrow Cells', 'Hemochromatosis/isolation & purification', 'Histocytochemistry/metabolism', 'Humans', 'In Vitro Techniques', 'Leukemia, Myeloid/metabolism', 'Leukocytes/*enzymology', 'Multiple Myeloma/metabolism', 'Neoplasms/metabolism', 'Nucleotides/*metabolism', 'Polycythemia Vera/metabolism']",1965/11/01 00:00,1965/11/01 00:01,['1965/11/01 00:00'],"['1965/11/01 00:00 [pubmed]', '1965/11/01 00:01 [medline]', '1965/11/01 00:00 [entrez]']",ppublish,Proc Soc Exp Biol Med. 1965 Nov;120(2):374-8. doi: 10.3181/00379727-120-30541.,['10.3181/00379727-120-30541 [doi]'],,,,,
5216392,NLM,MEDLINE,19660329,20041117,0028-4793 (Print) 0028-4793 (Linking),274,4,1966 Jan 27,Giant eosinophilic granules in the chronic Di Guglielmo syndrome. A clue to the diagnosis of myeloid neoplasia.,209-10,"['Finkel, H E', 'Brauer, M J']","['Finkel HE', 'Brauer MJ']",['eng'],['Journal Article'],United States,N Engl J Med,The New England journal of medicine,0255562,,IM,"['*Bone Marrow', '*Bone Marrow Cells', 'Bone Marrow Diseases/*diagnosis', 'Bone Marrow Examination', '*Eosinophils', 'Humans', 'Leukemia, Erythroblastic, Acute/*pathology', 'Leukemia, Myeloid/*diagnosis']",1966/01/27 00:00,1966/01/27 00:01,['1966/01/27 00:00'],"['1966/01/27 00:00 [pubmed]', '1966/01/27 00:01 [medline]', '1966/01/27 00:00 [entrez]']",ppublish,N Engl J Med. 1966 Jan 27;274(4):209-10. doi: 10.1056/NEJM196601272740409.,['10.1056/NEJM196601272740409 [doi]'],,,,,
5216389,NLM,MEDLINE,19660329,20131121,0021-2180 (Print) 0021-2180 (Linking),1,4,1965 Jul,Prolonged remission in chronic myeloid leukemia after a single course of myleran.,827-8,"['Djaldetti, M', 'Pinkhas, J', 'Padeh, B', 'De Vries, A']","['Djaldetti M', 'Pinkhas J', 'Padeh B', 'De Vries A']",['eng'],"['Case Reports', 'Journal Article']",Israel,Isr J Med Sci,Israel journal of medical sciences,0013105,['G1LN9045DK (Busulfan)'],IM,"['Adult', 'Busulfan/*therapeutic use', 'Female', 'Humans', 'Leukemia, Myeloid/*drug therapy', 'Prognosis']",1965/07/01 00:00,1965/07/01 00:01,['1965/07/01 00:00'],"['1965/07/01 00:00 [pubmed]', '1965/07/01 00:01 [medline]', '1965/07/01 00:00 [entrez]']",ppublish,Isr J Med Sci. 1965 Jul;1(4):827-8.,,,,,,
5216388,NLM,MEDLINE,19660329,20131121,0021-2180 (Print) 0021-2180 (Linking),1,4,1965 Jul,"Myeloid metaplasia: clinical, laboratory and cytogenetic observations.",810-7,"['Better, O', 'Brandstaetter, S', 'Padeh, B', 'Bianu, G']","['Better O', 'Brandstaetter S', 'Padeh B', 'Bianu G']",['eng'],['Journal Article'],Israel,Isr J Med Sci,Israel journal of medical sciences,0013105,"['EC 3.1.3.1 (Alkaline Phosphatase)', 'P6YC3EG204 (Vitamin B 12)']",IM,"['Adult', 'Aged', 'Alkaline Phosphatase', 'Blood Chemical Analysis', 'Chromosome Aberrations', 'Chromosome Disorders', 'Chromosomes', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Myeloid/*diagnosis', 'Liver/pathology', 'Male', 'Middle Aged', 'Primary Myelofibrosis/*diagnosis', 'Vitamin B 12']",1965/07/01 00:00,1965/07/01 00:01,['1965/07/01 00:00'],"['1965/07/01 00:00 [pubmed]', '1965/07/01 00:01 [medline]', '1965/07/01 00:00 [entrez]']",ppublish,Isr J Med Sci. 1965 Jul;1(4):810-7.,,,,,,
5216387,NLM,MEDLINE,19660329,20041117,0021-2180 (Print) 0021-2180 (Linking),1,4,1965 Jul,Cytogenetic studies in chronic myeloid leukemia.,791-3,"['Padeh, B', 'Bianu, G', 'Akstein, E', 'Schaki, R']","['Padeh B', 'Bianu G', 'Akstein E', 'Schaki R']",['eng'],"['Case Reports', 'Journal Article']",Israel,Isr J Med Sci,Israel journal of medical sciences,0013105,,IM,"['Adult', 'Blood', 'Bone Marrow Examination', '*Chromosome Aberrations', 'Female', 'Humans', 'Leukemia, Myeloid/*pathology', 'Male', 'Middle Aged']",1965/07/01 00:00,1965/07/01 00:01,['1965/07/01 00:00'],"['1965/07/01 00:00 [pubmed]', '1965/07/01 00:01 [medline]', '1965/07/01 00:00 [entrez]']",ppublish,Isr J Med Sci. 1965 Jul;1(4):791-3.,,,,,,
5216386,NLM,MEDLINE,19660329,20141120,0021-2180 (Print) 0021-2180 (Linking),1,4,1965 Jul,The imitation of hereditary blood anomalies by acquired hematological disorders.,783-6,"['Wechsler, L']",['Wechsler L'],['eng'],['Journal Article'],Israel,Isr J Med Sci,Israel journal of medical sciences,0013105,,IM,"['Diagnosis, Differential', 'Genetics, Medical', 'Hematologic Diseases/*genetics', 'Hodgkin Disease/pathology', 'Humans', 'In Vitro Techniques', 'Leukemia, Myeloid/pathology', 'Multiple Myeloma/pathology', 'Pelger-Huet Anomaly/pathology', 'Primary Myelofibrosis/pathology']",1965/07/01 00:00,1965/07/01 00:01,['1965/07/01 00:00'],"['1965/07/01 00:00 [pubmed]', '1965/07/01 00:01 [medline]', '1965/07/01 00:00 [entrez]']",ppublish,Isr J Med Sci. 1965 Jul;1(4):783-6.,,,,,,
5216385,NLM,MEDLINE,19660329,20081121,0021-2180 (Print) 0021-2180 (Linking),1,4,1965 Jul,Blood disorders as radiation hazards.,677-90,"['Watanabe, S']",['Watanabe S'],['eng'],['Journal Article'],Israel,Isr J Med Sci,Israel journal of medical sciences,0013105,"['0 (Hemoglobins)', '0 (Radioactive Fallout)']",IM,"['Adolescent', 'Adult', 'Anemia, Hypochromic', 'Erythrocyte Count', 'Hematologic Diseases/*etiology', 'Hemoglobins', 'Humans', 'Japan', 'Leukemia, Myeloid', 'Leukemia, Radiation-Induced', 'Leukocyte Count', 'Lymphoma', 'Middle Aged', 'Primary Myelofibrosis', '*Radiation Injuries', '*Radioactive Fallout']",1965/07/01 00:00,1965/07/01 00:01,['1965/07/01 00:00'],"['1965/07/01 00:00 [pubmed]', '1965/07/01 00:01 [medline]', '1965/07/01 00:00 [entrez]']",ppublish,Isr J Med Sci. 1965 Jul;1(4):677-90.,,,,,,
5216375,NLM,MEDLINE,19660327,20041117,0042-8817 (Linking),29,2,1965 Mar-Apr,[Surgical removal of a cerebral hematoma in a myeloid leukemia patient].,47,"['Kladovshchikov, A I']",['Kladovshchikov AI'],['rus'],['Journal Article'],Russia (Federation),Vopr Neirokhir,Voprosy neirokhirurgii,0424743,,IM,"['Cerebral Hemorrhage/*etiology/*surgery', 'Child', 'Female', 'Humans', 'Leukemia, Myeloid/*complications']",1965/03/01 00:00,1965/03/01 00:01,['1965/03/01 00:00'],"['1965/03/01 00:00 [pubmed]', '1965/03/01 00:01 [medline]', '1965/03/01 00:00 [entrez]']",ppublish,Vopr Neirokhir. 1965 Mar-Apr;29(2):47.,,Operativnoe udalenie vnutrimozgovoi gematomy u bol'noi mieloidnym leikozom.,,,,
5216342,NLM,MEDLINE,19660327,20131121,0032-6518 (Print) 0032-6518 (Linking),196,171,1966 Jan,The treatment of chronic leukaemia.,91-5,"['Israels, M C']",['Israels MC'],['eng'],['Journal Article'],England,Practitioner,The Practitioner,0404245,"['18D0SL7309 (Chlorambucil)', '9842X06Q6M (Betamethasone)', '9PHQ9Y1OLM (Prednisolone)', 'G1LN9045DK (Busulfan)']",IM,"['Aged', 'Betamethasone/therapeutic use', 'Busulfan/*therapeutic use', 'Chlorambucil/therapeutic use', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Leukemia, Myeloid/*drug therapy', 'Middle Aged', 'Prednisolone/therapeutic use']",1966/01/01 00:00,1966/01/01 00:01,['1966/01/01 00:00'],"['1966/01/01 00:00 [pubmed]', '1966/01/01 00:01 [medline]', '1966/01/01 00:00 [entrez]']",ppublish,Practitioner. 1966 Jan;196(171):91-5.,,,,,,
5216294,NLM,MEDLINE,19660327,20191210,0003-4819 (Print) 0003-4819 (Linking),64,2,1966 Feb,Quantitative relationships between circulating leukocytes and infection in patients with acute leukemia.,328-40,"['Bodey, G P', 'Buckley, M', 'Sathe, Y S', 'Freireich, E J']","['Bodey GP', 'Buckley M', 'Sathe YS', 'Freireich EJ']",['eng'],['Journal Article'],United States,Ann Intern Med,Annals of internal medicine,0372351,,IM,"['Adolescent', 'Adult', 'Aged', 'Agranulocytosis/*complications', 'Child', 'Child, Preschool', 'Humans', 'Infant', 'Infant, Newborn', 'Infections/*diagnosis', 'Leukemia, Lymphoid/*complications', 'Leukemia, Myeloid/*complications', '*Leukocyte Count', '*Leukopenia', '*Lymphocytes', 'Middle Aged', 'Prospective Studies']",1966/02/01 00:00,1966/02/01 00:01,['1966/02/01 00:00'],"['1966/02/01 00:00 [pubmed]', '1966/02/01 00:01 [medline]', '1966/02/01 00:00 [entrez]']",ppublish,Ann Intern Med. 1966 Feb;64(2):328-40. doi: 10.7326/0003-4819-64-2-328.,['10.7326/0003-4819-64-2-328 [doi]'],,,,,
5216246,NLM,MEDLINE,19660327,20041117,0028-4793 (Print) 0028-4793 (Linking),274,5,1966 Feb 3,Effect of splenectomy on the response to platelet transfusion in three patients with aplastic anemia.,242-8,"['Flatow, F A', 'Freireich, E J']","['Flatow FA', 'Freireich EJ']",['eng'],"['Case Reports', 'Journal Article']",United States,N Engl J Med,The New England journal of medicine,0255562,,IM,"['Aged', 'Anemia, Aplastic/*surgery/*therapy', 'Antibody Formation', 'Blood Cell Count', '*Blood Platelets', '*Blood Transfusion', 'Bone Marrow Examination', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Leukemia, Myeloid', '*Splenectomy']",1966/02/03 00:00,1966/02/03 00:01,['1966/02/03 00:00'],"['1966/02/03 00:00 [pubmed]', '1966/02/03 00:01 [medline]', '1966/02/03 00:00 [entrez]']",ppublish,N Engl J Med. 1966 Feb 3;274(5):242-8. doi: 10.1056/NEJM196602032740503.,['10.1056/NEJM196602032740503 [doi]'],,,,,
