PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,AB,PMC,OID,OTO,OT,GN
4289174,NLM,MEDLINE,19670319,20131121,0008-5472 (Print) 0008-5472 (Linking),26,11,1966 Nov,Antitumor activity of periodate-oxidation products of carbohydrates and their derivatives.,2386-9,"['Dvonch, W', 'Fletcher, H 3rd', 'Gregory, F J', 'Healy, E M', 'Warren, G H', 'Alburn, H E']","['Dvonch W', 'Fletcher H 3rd', 'Gregory FJ', 'Healy EM', 'Warren GH', 'Alburn HE']",['eng'],['Journal Article'],,United States,Cancer Res,Cancer research,2984705R,IM,"['Adenocarcinoma/*drug therapy', 'Animals', 'Antineoplastic Agents/*pharmacology', '*Bacteria', 'Carbohydrates/*pharmacology', 'Carcinoma, Ehrlich Tumor/*drug therapy', 'Glycosides/*pharmacology', 'Lactose/*pharmacology', 'Leukemia L1210/*drug therapy', 'Mice', 'Neoplasms, Experimental/*drug therapy', 'Nucleosides/*pharmacology', 'Oxidation-Reduction', 'Periodic Acid/*metabolism', 'Sarcoma, Experimental/*drug therapy', 'Sucrose/*pharmacology']",,1966/11/01 00:00,1966/11/01 00:01,['1966/11/01 00:00'],"['1966/11/01 00:00 [pubmed]', '1966/11/01 00:01 [medline]', '1966/11/01 00:00 [entrez]']",ppublish,Cancer Res. 1966 Nov;26(11):2386-9.,"['0 (Antineoplastic Agents)', '0 (Carbohydrates)', '0 (Glycosides)', '0 (Nucleosides)', '10450-60-9 (Periodic Acid)', '57-50-1 (Sucrose)', 'J2B2A4N98G (Lactose)']",,,,,,,
4289155,NLM,MEDLINE,19670318,20051117,0368-3494 (Print) 0368-3494 (Linking),92,1,1966 Jul,Tumours in young chickens bred for rapid body growth (broiler chickens): a study of 351 cases.,77-90,"['Campbell, J G', 'Appleby, E C']","['Campbell JG', 'Appleby EC']",['eng'],['Journal Article'],,England,J Pathol Bacteriol,The Journal of pathology and bacteriology,0204750,IM,"['Animals', 'Avian Leukosis/pathology', 'Fibrosarcoma/veterinary', 'Hemangioma/veterinary', 'Leiomyoma/veterinary', 'Lipoma/veterinary', 'Myxoma/veterinary', 'Neoplasms/*veterinary', 'Neurofibroma/veterinary', 'Osteoma/veterinary', 'Poultry/*growth & development', '*Poultry Diseases', 'Rhabdomyosarcoma/veterinary', 'Sarcoma/veterinary', 'Wilms Tumor/veterinary']",,1966/07/01 00:00,1966/07/01 00:01,['1966/07/01 00:00'],"['1966/07/01 00:00 [pubmed]', '1966/07/01 00:01 [medline]', '1966/07/01 00:00 [entrez]']",ppublish,J Pathol Bacteriol. 1966 Jul;92(1):77-90. doi: 10.1002/path.1700920110.,,['10.1002/path.1700920110 [doi]'],,,,,,
4289111,NLM,MEDLINE,19670309,20041117,0021-5031 (Print) 0021-5031 (Linking),36,1,1966 Feb,Inheritance of susceptibility to Friend mouse leukemia virus. 3. Susceptibility of F1 and genotypes of F2 and backcross progeny.,23-31,"['Odaka, T', 'Yamamoto, T']","['Odaka T', 'Yamamoto T']",['eng'],['Journal Article'],,Japan,Jpn J Exp Med,The Japanese journal of experimental medicine,9800765,IM,"['Animals', '*Genes', 'Leukemia Virus, Murine/*immunology', 'Mice', 'Organ Size', 'Spleen']",,1966/02/01 00:00,1966/02/01 00:01,['1966/02/01 00:00'],"['1966/02/01 00:00 [pubmed]', '1966/02/01 00:01 [medline]', '1966/02/01 00:00 [entrez]']",ppublish,Jpn J Exp Med. 1966 Feb;36(1):23-31.,,,,,,,,
4289066,NLM,MEDLINE,19670307,20151119,0027-8874 (Print) 0027-8874 (Linking),37,6,1966 Dec,"Electron microscopic observations on RE virus (strain T) that induces reticuloendotheliosis in turkeys, chickens, and Japanese quail.",709-29,"['Zeigel, R F', 'Theilen, G H', 'Twiehaus, M J']","['Zeigel RF', 'Theilen GH', 'Twiehaus MJ']",['eng'],['Journal Article'],,United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['Animals', 'Avian Leukosis Virus/*growth & development', 'Chick Embryo', 'In Vitro Techniques', 'Leukemia Virus, Murine', 'Lymphatic Diseases/*pathology', 'Microscopy, Electron', 'Pancreatic Diseases/pathology', 'Poultry', 'Splenic Diseases/pathology']",,1966/12/01 00:00,1966/12/01 00:01,['1966/12/01 00:00'],"['1966/12/01 00:00 [pubmed]', '1966/12/01 00:01 [medline]', '1966/12/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1966 Dec;37(6):709-29.,,,,,,,,
4288911,NLM,MEDLINE,19670225,20180216,0001-5792 (Print) 0001-5792 (Linking),35,4,1966 Apr,The Rauscher virus: a mixture of the Friend virus and of the mouse leukemia virus (Gross)?,200-13,"['Gross, L']",['Gross L'],['eng'],['Journal Article'],,Switzerland,Acta Haematol,Acta haematologica,0141053,IM,"['Animals', 'Female', '*Friend murine leukemia virus', '*Leukemia Virus, Murine', 'Leukemia, Experimental/*etiology', 'Liver', 'Lymphoma, Non-Hodgkin/etiology', 'Mice', 'Microscopy, Electron', 'Neoplasms, Experimental/*etiology', 'Rats', '*Rauscher Virus', 'Spleen', 'Thymus Neoplasms', '*Virus Cultivation']",,1966/04/01 00:00,1966/04/01 00:01,['1966/04/01 00:00'],"['1966/04/01 00:00 [pubmed]', '1966/04/01 00:01 [medline]', '1966/04/01 00:00 [entrez]']",ppublish,Acta Haematol. 1966 Apr;35(4):200-13. doi: 10.1159/000209125.,,['10.1159/000209125 [doi]'],,,,,,
4288869,NLM,MEDLINE,19670221,20031114,0027-8874 (Print) 0027-8874 (Linking),37,5,1966 Nov,Biological studies on a leukemia virus extracted from C3H plasma cell tumor 70429.,699-706,"['Breyere, E J', 'Moloney, J B', 'Jordan, W P']","['Breyere EJ', 'Moloney JB', 'Jordan WP']",['eng'],['Journal Article'],,United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['Animals', '*Gammaretrovirus', '*Leukemia Virus, Murine', '*Leukemia, Experimental', 'Mice', '*Neoplasms, Experimental', '*Plasmacytoma']",,1966/11/01 00:00,1966/11/01 00:01,['1966/11/01 00:00'],"['1966/11/01 00:00 [pubmed]', '1966/11/01 00:01 [medline]', '1966/11/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1966 Nov;37(5):699-706.,,,,,,,,
4288868,NLM,MEDLINE,19670221,20151119,0027-8874 (Print) 0027-8874 (Linking),37,5,1966 Nov,Fluorescent antibody studies of viruses of the avian leukosis complex.,619-33,"['Cook, M K', 'Grochal, A G', 'Huebner, R J']","['Cook MK', 'Grochal AG', 'Huebner RJ']",['eng'],['Journal Article'],,United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['Animals', '*Antibodies', '*Antigens', 'Avian Leukosis Virus/*immunology', 'Cricetinae', '*Culture Techniques', '*Fluorescent Antibody Technique', 'Guinea Pigs', 'Leukemia, Experimental/*immunology', 'Poultry', 'Sarcoma, Experimental/*immunology']",,1966/11/01 00:00,1966/11/01 00:01,['1966/11/01 00:00'],"['1966/11/01 00:00 [pubmed]', '1966/11/01 00:01 [medline]', '1966/11/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1966 Nov;37(5):619-33.,"['0 (Antibodies)', '0 (Antigens)']",,,,,,,
4288820,NLM,MEDLINE,19670209,20191030,0007-117X (Print) 0007-117X (Linking),4,2,1966 Nov,An unusual oral manifestation in a case of acute myeloid leukaemia.,116-20,"['Oldham, L', 'John, T J']","['Oldham L', 'John TJ']",['eng'],"['Case Reports', 'Journal Article']",,Scotland,Br J Oral Surg,The British journal of oral surgery,0400651,IM,"['Child, Preschool', 'Female', 'Humans', 'Leukemia, Myeloid/*complications', 'Mandibular Neoplasms/*etiology', 'Neoplasms, Muscle Tissue/*etiology']",,1966/11/01 00:00,1966/11/01 00:01,['1966/11/01 00:00'],"['1966/11/01 00:00 [pubmed]', '1966/11/01 00:01 [medline]', '1966/11/01 00:00 [entrez]']",ppublish,Br J Oral Surg. 1966 Nov;4(2):116-20. doi: 10.1016/s0007-117x(66)80020-3.,,['10.1016/s0007-117x(66)80020-3 [doi]'],,,,,,
4288797,NLM,MEDLINE,19670208,20210526,0021-9193 (Print) 0021-9193 (Linking),92,4,1966 Oct,Effect of avian myeloblastosis virus in the Japanese quail.,1141-9,"['Moscovici, C', 'Macintyre, E H']","['Moscovici C', 'Macintyre EH']",['eng'],['Journal Article'],,United States,J Bacteriol,Journal of bacteriology,2985120R,IM,"['Animals', 'Avian Leukosis Virus/*pathogenicity', 'Avian Sarcoma Viruses', 'Fluorescent Antibody Technique', 'Leukemia, Myeloid/pathology', 'Leukemia, Myeloid, Acute', 'Lymphoma/pathology', 'Myxoma/pathology', 'Neoplasms, Experimental/*etiology', 'Osteopetrosis/pathology', '*Poultry Diseases', 'Rhabdomyosarcoma/pathology', 'Wilms Tumor/pathology']",,1966/10/01 00:00,1966/10/01 00:01,['1966/10/01 00:00'],"['1966/10/01 00:00 [pubmed]', '1966/10/01 00:01 [medline]', '1966/10/01 00:00 [entrez]']",ppublish,J Bacteriol. 1966 Oct;92(4):1141-9. doi: 10.1128/jb.92.4.1141-1149.1966.,,['10.1128/jb.92.4.1141-1149.1966 [doi]'],"Moscovici, Carlo (University of Colorado Medical Center, Denver), and E. H. Macintyre. Effect of avian myeloblastosis virus in the Japanese quail. J. Bacteriol. 92:1141-1149. 1966.-Avian myeloblastosis virus (AMV) induced a spectrum of neoplasms in Japanese quail (Coturnix coturnix japonica) which was similar to that observed in the chicken, with one exception: the total absence of acute myeloblastic leukemia in quail. Studies in vivo as well as in vitro suggested that the cause for this difference may be ascribed to the heterogeneity of AMV and to the genetic makeup of the quail cell.",PMC276389,,,,
4288742,NLM,MEDLINE,19670205,20031114,0019-1604 (Print) 0019-1604 (Linking),72,1,1966 Jan 1,[Erythropoietic changes in Friend leukemia of mice].,8-11,"['Sasa, S', 'Takaku, F', 'Nakao, K']","['Sasa S', 'Takaku F', 'Nakao K']",['jpn'],['Journal Article'],,Japan,Igaku To Seibutsugaku,Igaku to seibutsugaku. Medicine and biology,0417441,IM,"['Animals', '*Erythropoiesis', 'Female', 'Leukemia Virus, Murine/*pathogenicity', 'Leukemia, Experimental/*physiopathology', 'Mice']",,1966/01/01 00:00,1966/01/01 00:01,['1966/01/01 00:00'],"['1966/01/01 00:00 [pubmed]', '1966/01/01 00:01 [medline]', '1966/01/01 00:00 [entrez]']",ppublish,Igaku To Seibutsugaku. 1966 Jan 1;72(1):8-11.,,,,,,,,
4288701,NLM,MEDLINE,19670205,20190508,0022-1007 (Print) 0022-1007 (Linking),124,6,1966 Dec 1,Studies on the heterologous immunogenicity of a methanol-insoluble fraction of attenuated tubercle bacilli (BCG). II. Protection against tumor isografts.,1039-65,"['Weiss, D W', 'Bonhag, R S', 'Leslie, P']","['Weiss DW', 'Bonhag RS', 'Leslie P']",['eng'],['Journal Article'],,United States,J Exp Med,The Journal of experimental medicine,2985109R,IM,"['Animals', 'Carcinoma, Hepatocellular/immunology', 'Leukemia, Experimental/immunology', 'Leukemia, Myeloid/immunology', 'Liver Neoplasms', 'Mammary Neoplasms, Experimental/immunology', 'Mice', '*Mycobacterium bovis', '*Neoplasm Transplantation', 'Neoplasms, Experimental/*immunology', 'Sarcoma, Experimental/immunology', 'Tissue Extracts/*pharmacology', 'Transplantation, Homologous']",,1966/12/01 00:00,1966/12/01 00:01,['1966/12/01 00:00'],"['1966/12/01 00:00 [pubmed]', '1966/12/01 00:01 [medline]', '1966/12/01 00:00 [entrez]']",ppublish,J Exp Med. 1966 Dec 1;124(6):1039-65. doi: 10.1084/jem.124.6.1039.,['0 (Tissue Extracts)'],['10.1084/jem.124.6.1039 [doi]'],"A methanol-insoluble residue (MER) of phenol-killed attenuated tubercle bacilli (BCG), which has been reported previously to be capable of evoking heightened resistance to infection with antigenically unrelated microorganisms, was found to affect as well the resistance of highly inbred mice against tumor isografts. In most instances, the MER evoked heightened resistance against the tumor implants, but heightened susceptibility was the effect induced against two of the tumors tested, and no effect was elicited against one neoplasm. It is suggested that the heightened susceptibility occasionally produced by pretreatment with MER may also be of immunological nature, i.e. immunological enhancement. Treatment with MER was more effective when administered some time before tumor challenge than when given simultaneously with, or after, tumor implantation. The protective effects manifested against some tumors were of a high order, a significant number of animals rejecting the neoplastic implants, and were displayed even when several months elapsed between treatment and challenge. Living BCG and intact phenol-killed bacilli also evoked heightened resistance against some of the tumors tested, and in one experiment living BCG proved effective whereas MER did not. On the whole, however, MER was the most active (and least toxic, as shown previously) of the several tubercle bacillus preparations tested. MER elicited heightened reactivity against first transplant generation tumors as well as against tumors maintained for considerable periods of time by repeated animal passage, and against spontaneously arising as well as against induced neoplasms. The experimental parameters necessary to demonstrate maximal effects varied somewhat from tumor to tumor. In general, however, single intraperitoneal injections of small quantities of MER, of the order of 0.25 to 1.0 mg, afforded the best protection.",PMC2138325,,,,
4288669,NLM,MEDLINE,19670205,20151119,0008-5472 (Print) 0008-5472 (Linking),26,9,1966 Sep,Ultrastructural alterations in avian leukemia myeloblasts exposed to actinomycin D in vitro.,1847-58,"['Heine, U', 'Langlois, A J', 'Beard, J W']","['Heine U', 'Langlois AJ', 'Beard JW']",['eng'],['Journal Article'],,United States,Cancer Res,Cancer research,2984705R,IM,"['Animals', 'Avian Leukosis Virus/*drug effects', 'Bone Marrow/*drug effects', '*Bone Marrow Cells', '*Culture Techniques', 'Dactinomycin/*pharmacology', '*Leukemia, Myeloid, Acute', 'Poultry', 'RNA, Viral/biosynthesis']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",ppublish,Cancer Res. 1966 Sep;26(9):1847-58.,"['0 (RNA, Viral)', '1CC1JFE158 (Dactinomycin)']",,,,,,,
4288668,NLM,MEDLINE,19670205,20151119,0008-5472 (Print) 0008-5472 (Linking),26,9,1966 Sep,Effects of actinomycin D on avian myeloblast and BAI strain A virus RNA synthesis in vitro.,1839-46,"['Zischka, R', 'Langlois, A J', 'Bonar, R A', 'Rao, P R', 'Beard, J W']","['Zischka R', 'Langlois AJ', 'Bonar RA', 'Rao PR', 'Beard JW']",['eng'],['Journal Article'],,United States,Cancer Res,Cancer research,2984705R,IM,"['Avian Leukosis Virus/*drug effects', 'Bone Marrow/*drug effects', '*Bone Marrow Cells', '*Culture Techniques', 'Dactinomycin/*pharmacology', 'Leukemia, Myeloid, Acute/drug therapy', 'RNA, Viral/*biosynthesis']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",ppublish,Cancer Res. 1966 Sep;26(9):1839-46.,"['0 (RNA, Viral)', '1CC1JFE158 (Dactinomycin)']",,,,,,,
4288581,NLM,MEDLINE,19670128,20171116,0098-7484 (Print) 0098-7484 (Linking),198,8,1966 Nov 21,Chemotherapy in the treatment of leukemia and Wilms' tumor.,826-36,"['Farber, S']",['Farber S'],['eng'],['Journal Article'],,United States,JAMA,JAMA,7501160,IM,"['Aminopterin/therapeutic use', 'Antineoplastic Agents/*therapeutic use', 'Child', 'Child, Preschool', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia/*drug therapy', 'Male', 'Mercaptopurine/therapeutic use', 'Methotrexate/therapeutic use', 'Neoplasm Metastasis/diagnostic imaging', 'Prednisone/therapeutic use', 'Radiography', 'Vincristine/therapeutic use', 'Wilms Tumor/*drug therapy']",,1966/11/21 00:00,1966/11/21 00:01,['1966/11/21 00:00'],"['1966/11/21 00:00 [pubmed]', '1966/11/21 00:01 [medline]', '1966/11/21 00:00 [entrez]']",ppublish,JAMA. 1966 Nov 21;198(8):826-36.,"['0 (Antineoplastic Agents)', '5J49Q6B70F (Vincristine)', 'E7WED276I5 (Mercaptopurine)', 'JYB41CTM2Q (Aminopterin)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,,,
4288573,NLM,MEDLINE,19670126,20031114,0083-1921 (Print) 0083-1921 (Linking),22,,1966 Sep,Origin of the viremia in murine leukemia.,79-105,"['De Harven, E', 'Friend, C']","['De Harven E', 'Friend C']",['eng'],['Journal Article'],,United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Animals', 'Leukemia Virus, Murine/*growth & development', '*Leukemia, Experimental', 'Mice']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",ppublish,Natl Cancer Inst Monogr. 1966 Sep;22:79-105.,,,,,,,,
4288572,NLM,MEDLINE,19670126,20071115,0083-1921 (Print) 0083-1921 (Linking),22,,1966 Sep,Inhibition of virus-induced leukemia in mice by a nontumor virus.,73-6,"['Wheelock, E F']",['Wheelock EF'],['eng'],['Journal Article'],,United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Animals', '*Friend murine leukemia virus', 'Interferons/*biosynthesis', '*Leukemia, Experimental', '*Parainfluenza Virus 1, Human', '*Vesicular stomatitis Indiana virus', '*Viral Interference']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",ppublish,Natl Cancer Inst Monogr. 1966 Sep;22:73-6.,['9008-11-1 (Interferons)'],,,,,,,
4288571,NLM,MEDLINE,19670126,20031114,0083-1921 (Print) 0083-1921 (Linking),22,,1966 Sep,Leukemia virus release in chemically or physically induced lymphomas in BALB-c mice.,701-11,"['Ribacchi, R', 'Giraldo, G']","['Ribacchi R', 'Giraldo G']",['eng'],['Journal Article'],,United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Animals', '*Leukemia Virus, Murine', 'Lymphoma/*chemically induced', '*Lymphoma, Non-Hodgkin', 'Mice', '*Neoplasms, Experimental']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",ppublish,Natl Cancer Inst Monogr. 1966 Sep;22:701-11.,,,,,,,,
4288570,NLM,MEDLINE,19670126,20031114,0083-1921 (Print) 0083-1921 (Linking),22,,1966 Sep,The histocompatibility-2 locus and susceptibility to tumor induction.,631-42,"['Lilly, F']",['Lilly F'],['eng'],['Journal Article'],,United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Animals', '*Genetics', '*Leukemia Virus, Murine', 'Leukemia, Experimental/*immunology', 'Mammary Neoplasms, Experimental/*immunology', 'Methylcholanthrene/*pharmacology', 'Skin Neoplasms/*chemically induced']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",ppublish,Natl Cancer Inst Monogr. 1966 Sep;22:631-42.,['56-49-5 (Methylcholanthrene)'],,,,,,,
4288569,NLM,MEDLINE,19670126,20031114,0083-1921 (Print) 0083-1921 (Linking),22,,1966 Sep,Some experimental evidence for the influence of genetic factors on viral leukemogenesis.,61-72,"['Tennant, J R', 'Snell, G D']","['Tennant JR', 'Snell GD']",['eng'],['Journal Article'],,United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Animals', '*Genetics', '*Leukemia Virus, Murine', 'Leukemia, Experimental/*immunology', 'Mice']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",ppublish,Natl Cancer Inst Monogr. 1966 Sep;22:61-72.,,,,,,,,
4288568,NLM,MEDLINE,19670126,20041117,0083-1921 (Print) 0083-1921 (Linking),22,,1966 Sep,Lymphoid tumor induction by mouse thymocytes infected in vitro with radiation leukemia virus.,549-57,"['Lieberman, M', 'Kaplan, H S']","['Lieberman M', 'Kaplan HS']",['eng'],['Journal Article'],,United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Animals', '*Culture Techniques', '*Leukemia Virus, Murine', '*Lymphocytes', '*Lymphoma', '*Mice', '*Neoplasms, Experimental', '*Radiation Effects', '*Thymectomy', 'Thymus Gland/*transplantation']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",ppublish,Natl Cancer Inst Monogr. 1966 Sep;22:549-57.,,,,,,,,
4288567,NLM,MEDLINE,19670126,20031114,0083-1921 (Print) 0083-1921 (Linking),22,,1966 Sep,Further studies on the biological relationship of murine leukemia viruses and on kidney lesions of mice with leukemia induced by these viruses.,459-79,"['Recher, L', 'Tanaka, T', 'Sykes, J A', 'Yumoto, T', 'Seman, G', 'Young, L', 'Dmochowski, L']","['Recher L', 'Tanaka T', 'Sykes JA', 'Yumoto T', 'Seman G', 'Young L', 'Dmochowski L']",['eng'],['Journal Article'],,United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Animals', 'Friend murine leukemia virus/pathogenicity', 'Kidney/*pathology', 'Leukemia Virus, Murine/*pathogenicity', 'Leukemia, Experimental/*pathology', 'Mice', 'Moloney murine leukemia virus/pathogenicity', 'Rauscher Virus/pathogenicity']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",ppublish,Natl Cancer Inst Monogr. 1966 Sep;22:459-79.,,,,,,,,
4288566,NLM,MEDLINE,19670126,20031114,0083-1921 (Print) 0083-1921 (Linking),22,,1966 Sep,Serological analysis of leukemia antigens of the mouse.,449-57,"['Aoki, T', 'Old, L J', 'Boyse, E A']","['Aoki T', 'Old LJ', 'Boyse EA']",['eng'],['Journal Article'],,United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Animals', 'Antigens/*analysis', '*Leukemia Virus, Murine', 'Leukemia, Experimental/*immunology']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",ppublish,Natl Cancer Inst Monogr. 1966 Sep;22:449-57.,['0 (Antigens)'],,,,,,,
4288565,NLM,MEDLINE,19670126,20031114,0083-1921 (Print) 0083-1921 (Linking),22,,1966 Sep,Murine leukemia and its viruses.,425-37,"['Rich, M A']",['Rich MA'],['eng'],['Journal Article'],,United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Animals', 'Antigens', 'Friend murine leukemia virus', 'Immune Sera/pharmacology', '*Leukemia Virus, Murine', '*Leukemia, Experimental', 'Mice', 'Neutralization Tests', 'Rauscher Virus', 'Viral Vaccines/pharmacology']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",ppublish,Natl Cancer Inst Monogr. 1966 Sep;22:425-37.,"['0 (Antigens)', '0 (Immune Sera)', '0 (Viral Vaccines)']",,,,,,,
4288564,NLM,MEDLINE,19670126,20031114,0083-1921 (Print) 0083-1921 (Linking),22,,1966 Sep,Are the common forms of spontaneous and induced leukemia and lymphomas in mice caused by a single virus?,407-24,"['Gross, L']",['Gross L'],['eng'],['Journal Article'],,United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Animals', 'Friend murine leukemia virus', '*Leukemia Virus, Murine', '*Leukemia, Experimental', 'Lymphoma/*etiology', 'Mice', 'Polyomavirus', 'Rauscher Virus']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",ppublish,Natl Cancer Inst Monogr. 1966 Sep;22:407-24.,,,,,,,,
4288563,NLM,MEDLINE,19670126,20031114,0083-1921 (Print) 0083-1921 (Linking),22,,1966 Sep,Infective and noninfective viral murine leukemias.,369-77,"['Kirsten, W H', 'Mayer, L A', 'Welander, C W']","['Kirsten WH', 'Mayer LA', 'Welander CW']",['eng'],['Journal Article'],,United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Animals', '*Leukemia Virus, Murine', '*Leukemia, Experimental', '*Lymphoma', 'Mice', '*Neoplasms, Experimental', 'Rats', '*Thymus Neoplasms']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",ppublish,Natl Cancer Inst Monogr. 1966 Sep;22:369-77.,,,,,,,,
4288562,NLM,MEDLINE,19670126,20071115,0083-1921 (Print) 0083-1921 (Linking),22,,1966 Sep,Studies on leukemia in mice associated with a transplantable methylcholanthrene-induced hepatoma.,223-36,"['Dmochowski, L', 'Rogers, T', 'Liebelt, A G', 'Liebelt, R A', 'Sykes, J A']","['Dmochowski L', 'Rogers T', 'Liebelt AG', 'Liebelt RA', 'Sykes JA']",['eng'],['Journal Article'],,United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Animals', 'Carcinoma, Hepatocellular/*chemically induced', '*Leukemia, Experimental', '*Leukemia, Myeloid', 'Liver Neoplasms', '*Methylcholanthrene', 'Neoplasm Transplantation', 'Neoplasms, Experimental/*chemically induced', 'Retroviridae']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",ppublish,Natl Cancer Inst Monogr. 1966 Sep;22:223-36.,['56-49-5 (Methylcholanthrene)'],,,,,,,
4288561,NLM,MEDLINE,19670126,20141120,0083-1921 (Print) 0083-1921 (Linking),22,,1966 Sep,Experiments on the hematologic diversification of viral mouse leukemias.,21-31,"['Graffi, A', 'Fey, F', 'Schramm, T']","['Graffi A', 'Fey F', 'Schramm T']",['eng'],['Journal Article'],,United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Animals', 'In Vitro Techniques', '*Leukemia Virus, Murine', '*Leukemia, Experimental', '*Leukemia, Lymphoid', '*Leukemia, Myeloid', 'Mice']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",ppublish,Natl Cancer Inst Monogr. 1966 Sep;22:21-31.,,,,,,,,
