PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,RN,TT,RF,GR,EIN,PMC,CON,GS,CIN,OID,OTO,OT,GN,SI,CRF
1729681,NLM,MEDLINE,19920212,20190501,0027-8424 (Print) 0027-8424 (Linking),89,1,1992 Jan 1,Protein kinase C isozymes epsilon and alpha in murine erythroleukemia cells.,147-51,"Protein kinase C (PKC) has a role in signal transduction during hexamethylene bisacetamide (HMBA)-induced differentiation of murine erythroleukemia cells (MELC). Separation of MELC PKC isozymes by hydroxylapatite chromatography yields a major peak (III) and a minor peak (II) of PKC activity, previously reported to contain the PKC alpha and beta isozymes, respectively. In the present study, we confirm that peak III activity is PKC alpha but show that peak II contains PKC epsilon and little or no PKC beta. Immunoblot analysis with isozyme-specific anti-alpha and anti-epsilon PKC antibodies detected PKC alpha in peak III and PKC epsilon in peak II. Peak III activity was markedly enhanced (up to 20-fold) by phosphatidylserine, diolein, and Ca2+, whereas addition of these cofactors to the reaction mixture stimulated peak II activity only 2- to 4-fold. RNase protection analysis of MELC RNA showed that PKC alpha and PKC epsilon RNAs were in a ratio of approximately 2:1, but PKC beta RNA was barely detectable. Taken together, these data indicate that MELC contain PKC alpha and PKC epsilon but little or no PKC beta.","['Powell, C T', 'Leng, L', 'Dong, L', 'Kiyokawa, H', 'Busquets, X', ""O'Driscoll, K"", 'Marks, P A', 'Rifkind, R A']","['Powell CT', 'Leng L', 'Dong L', 'Kiyokawa H', 'Busquets X', ""O'Driscoll K"", 'Marks PA', 'Rifkind RA']","['DeWitt Wallace Research Laboratory, Memorial Sloan-Kettering Cancer Center, New York, NY.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,IM,"['Animals', 'Antisense Elements (Genetics)', 'Blotting, Northern', 'Blotting, Western', 'Calcium/physiology', 'Egtazic Acid/pharmacology', 'Gene Expression', 'Isoenzymes/metabolism', 'Leukemia, Erythroblastic, Acute/*enzymology', 'Mice', 'Phosphorylation', 'Phosphoserine/metabolism', 'Protein Kinase C/genetics/*metabolism', 'RNA, Messenger/genetics', 'Tumor Cells, Cultured']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1992 Jan 1;89(1):147-51. doi: 10.1073/pnas.89.1.147.,['10.1073/pnas.89.1.147 [doi]'],"['0 (Antisense Elements (Genetics))', '0 (Isoenzymes)', '0 (RNA, Messenger)', '17885-08-4 (Phosphoserine)', '526U7A2651 (Egtazic Acid)', 'EC 2.7.11.13 (Protein Kinase C)', 'SY7Q814VUP (Calcium)']",,,"['CA-08748/CA/NCI NIH HHS/United States', 'CA-31768/CA/NCI NIH HHS/United States']",,PMC48193,,,,,,,,,
1729620,NLM,MEDLINE,19920211,20211203,0028-4793 (Print) 0028-4793 (Linking),326,6,1992 Feb 6,Seroprevalence of HTLV-1 and HTLV-2 among intravenous drug users and persons in clinics for sexually transmitted diseases.,375-80,"UNLABELLED: Background. The human T-cell lymphotropic virus Type I (HTLV-I) is associated with adult T-cell leukemia and myelopathy, whereas HTLV-II infection has uncertain clinical consequences. We assessed the seroprevalence of these retroviruses among intravenous drug users and among patients seen at clinics for sexually transmitted diseases (STD clinics). METHODS: We used serum samples that were collected in eight cities in 1988 and 1989 during surveys of human immunodeficiency virus infection among intravenous drug users entering treatment and persons seen in STD clinics. The serum samples were tested for antibodies to HTLV, and positive specimens were tested further by a synthetic peptide-based enzyme-linked immunosorbent assay to differentiate between HTLV-I and HTLV-II. RESULTS: Among 3217 intravenous drug users in 29-drug-treatment centers, the median seroprevalence rates of HTLV varied widely according to city (range, 0.4 percent in Atlanta to 17.6 percent in Los Angeles). Seroprevalence increased sharply with age, to 32 percent in persons over 44 years of age. HTLV infection was more common among blacks (15.5 percent) and Hispanics (10.7 percent) than among whites (4.1 percent), and it was strongly associated with a history of heroin injection (P less than or equal to 0.001). Among 5264 patients in 24 STD clinics, the median rates of HTLV infection were much lower (range, 0.1 percent in Atlanta and Newark to 2.0 percent in Los Angeles). Again, this infection was more common among intravenous drug users (7.6 percent) than among non-drug users (0.7 percent). Eighty-four percent of the seropositive samples from drug-treatment centers and 69 percent of those from STD clinics were due to HTLV-II infection (P = 0.03). CONCLUSIONS: HTLV infections are common among intravenous drug users and are primarily caused by HTLV-II. Among patients seen at STD clinics, HTLV is strongly associated with intravenous drug use, but the retrovirus is also prevalent among non-drug users.","['Khabbaz, R F', 'Onorato, I M', 'Cannon, R O', 'Hartley, T M', 'Roberts, B', 'Hosein, B', 'Kaplan, J E']","['Khabbaz RF', 'Onorato IM', 'Cannon RO', 'Hartley TM', 'Roberts B', 'Hosein B', 'Kaplan JE']","['Division of Viral and Rickettsial Diseases, Centers for Disease Control, Atlanta, GA 30333.']",['eng'],['Journal Article'],United States,N Engl J Med,The New England journal of medicine,0255562,IM,"['Adult', 'Age Factors', 'Ethnicity', 'Female', 'HTLV-I Antibodies/*analysis', 'HTLV-I Infections/epidemiology', 'HTLV-II Antibodies/*analysis', 'HTLV-II Infections/epidemiology', 'Humans', 'Male', 'Middle Aged', 'Seroepidemiologic Studies', 'Sexually Transmitted Diseases/*immunology', '*Substance Abuse, Intravenous', 'United States']",1992/02/06 00:00,1992/02/06 00:01,['1992/02/06 00:00'],"['1992/02/06 00:00 [pubmed]', '1992/02/06 00:01 [medline]', '1992/02/06 00:00 [entrez]']",ppublish,N Engl J Med. 1992 Feb 6;326(6):375-80. doi: 10.1056/NEJM199202063260604.,['10.1056/NEJM199202063260604 [doi]'],"['0 (HTLV-I Antibodies)', '0 (HTLV-II Antibodies)']",,,,,,,,,,,,,,
1729380,NLM,MEDLINE,19920211,20061115,0022-1767 (Print) 0022-1767 (Linking),148,2,1992 Jan 15,Influence of MHC genes on spontaneous recovery from Friend retrovirus-induced leukemia.,644-7,"Genes influencing the rate of spontaneous recovery from erythroleukemia induced by a low dose of Friend virus complex were located in the right and left portions of the mouse MHC. The right side gene was most likely the previously described Rfv-1 in the H-2D region. Using the B6.C-H-2bm12 mutant mice, the left side gene was mapped to the A beta class II locus. The A beta b was a resistant allele and A beta k and A beta bm12 were susceptible alleles. Genes at this class II locus controlled the responsiveness of Th cells to envelope glycoprotein of Friend murine leukemia helper virus and affected the class switching of virus-neutralizing antibodies from IgM to IgG in FV-infected mice.","['Miyazawa, M', 'Nishio, J', 'Wehrly, K', 'Chesebro, B']","['Miyazawa M', 'Nishio J', 'Wehrly K', 'Chesebro B']","['Laboratory of Persistent Viral Diseases, National Institutes of Health, National Institute of Allergy and Infectious Diseases, Rocky Mountain Laboratories, Hamilton, MT 59840.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,IM,"['Animals', 'Antibodies, Viral/analysis', 'Friend murine leukemia virus/*immunology', 'Genes, gag', 'H-2 Antigens/*genetics', 'Haplotypes', 'Immunoglobulin G/analysis', 'Immunoglobulin M/analysis', 'Leukemia, Erythroblastic, Acute/*immunology', 'Mice', 'Mice, Inbred C57BL', 'Mutation', '*Neoplasm Regression, Spontaneous', 'Splenomegaly/immunology']",1992/01/15 00:00,1992/01/15 00:01,['1992/01/15 00:00'],"['1992/01/15 00:00 [pubmed]', '1992/01/15 00:01 [medline]', '1992/01/15 00:00 [entrez]']",ppublish,J Immunol. 1992 Jan 15;148(2):644-7.,,"['0 (Antibodies, Viral)', '0 (H-2 Antigens)', '0 (Immunoglobulin G)', '0 (Immunoglobulin M)']",,,,,,,,,,,,,,
1729379,NLM,MEDLINE,19920211,20041117,0022-1767 (Print) 0022-1767 (Linking),148,2,1992 Jan 15,Shared human melanoma antigens. Recognition by tumor-infiltrating lymphocytes in HLA-A2.1-transfected melanomas.,638-43,"Three predominantly CD8+ CTL lines, TIL 501, TIL 620, and TIL 660, were generated from three HLA-A2+ melanoma patients by culturing tumor-infiltrating lymphocytes in 1000 U/ml IL-2. These tumor-infiltrating lymphocytes lysed 12 of 18 HLA-A2+ autologous and allogeneic melanomas, but none of 20 HLA-A2-negative melanomas. They also did not lyse the MHC class I negative lymphoma-leukemia cell lines, Daudi, K562, or HLA-A2+ non-melanoma cell lines including PHA or Con A-induced lymphoblast, fibroblast, EBV-transformed B cell, Burkitt's B cell lymphoma, and colon cancer cell lines. Autologous and allogeneic melanoma lysis was inhibited by anti-CD3, by anti-MHC class I, and by anti-HLA-A2 mAb, indicating recognition of shared tumor Ag among melanoma cell lines in a TCR-dependent, HLA-A2-restricted manner. Six HLA-A2-negative melanoma cell lines obtained from five HLA-A2-negative patients were co-transfected with the HLA-A2.1 gene and pSV2neo. All 17 cloned transfectants expressing cell surface HLA-A2 molecules, but none of 12 transfectants lacking HLA-A2 expression, were lysed by these three HLA-A2-restricted, melanoma-specific CTL. Lysis of the HLA-A2+ transfectants was inhibited by anti-CD3, by anti-MHC class I, and by anti-HLA-A2 mAb, indicating recognition of shared tumor Ag on transfectants in a TCR-dependent, HLA-A2-restricted manner. These results identify the HLA-A2.1 molecule as an Ag-presenting molecule for melanoma Ag. They also suggest that common melanoma Ag are expressed among melanoma patients regardless of HLA type. These findings have implications for the development of melanoma vaccines that would induce antitumor T cell responses.","['Kawakami, Y', 'Zakut, R', 'Topalian, S L', 'Stotter, H', 'Rosenberg, S A']","['Kawakami Y', 'Zakut R', 'Topalian SL', 'Stotter H', 'Rosenberg SA']","['Surgery Branch, National Cancer Institute, National Institutes of Health, Bethesda, MD 20892.']",['eng'],['Journal Article'],United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,IM,"['Antigens, Neoplasm/*analysis', 'Cytotoxicity, Immunologic', 'HLA-A2 Antigen/analysis/genetics/*physiology', 'Humans', 'Lymphocytes, Tumor-Infiltrating/*immunology', 'Melanoma/*immunology', 'T-Lymphocytes, Cytotoxic/immunology', '*Transfection', 'Tumor Cells, Cultured']",1992/01/15 00:00,1992/01/15 00:01,['1992/01/15 00:00'],"['1992/01/15 00:00 [pubmed]', '1992/01/15 00:01 [medline]', '1992/01/15 00:00 [entrez]']",ppublish,J Immunol. 1992 Jan 15;148(2):638-43.,,"['0 (Antigens, Neoplasm)', '0 (HLA-A2 Antigen)']",,,,,,,,,,,,,,
1729260,NLM,MEDLINE,19920212,20190902,0171-5216 (Print) 0171-5216 (Linking),118,1,1992,Effects of tumour necrosis factor alpha on bone marrow aspirates of patients with acute myelogenous leukemia determined by flow-cytometric cell-cycle analysis.,56-60,"Tumour necrosis factor alpha (TNF alpha) exerts cytotoxic and antiproliferative effects on neoplastic cells. It has been used as a therapeutic agent for solid tumours and haematological malignancies. We report on the ex vivo determination of the effect of recombinant human rhuTNF alpha on bone marrow aspirates by a bromodeoxyuridine/propidium iodide method. Cell samples were drawn after 0.5, 2, 4, 6, 8, 10, 22, and 25 h from short-term suspension bone marrow cultures from patients with acute myelogenous leukemia (AML). Flow-cytometric cell-cycle analysis was performed after double DNA staining with propidium iodide and anti-BrdU antibodies. By this method the effect of rhuTNF alpha on cell proliferation can be evaluated after only 35 h. In about two-thirds of the bone marrow aspirates of AML an inhibiting effect on rhuTNF alpha can be demonstrated, developing to its full extent after 10 h.","['Kleine, H D', 'Wagner, U', 'Poliwoda, H', 'Freund, M']","['Kleine HD', 'Wagner U', 'Poliwoda H', 'Freund M']","['Department of Haematology/Oncology, Hannover Medical School, Federal Republic of Germany.']",['eng'],['Journal Article'],Germany,J Cancer Res Clin Oncol,Journal of cancer research and clinical oncology,7902060,IM,"['Biopsy, Needle', 'Blast Crisis/drug therapy/pathology', 'Bone Marrow/*drug effects/pathology', 'Bromodeoxyuridine', 'Cell Cycle/drug effects', 'DNA, Neoplasm/analysis', 'Flow Cytometry', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/pathology', 'Leukemia, Myeloid, Acute/*drug therapy/pathology', 'Recombinant Proteins/pharmacology', 'Tumor Necrosis Factor-alpha/*pharmacology']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,J Cancer Res Clin Oncol. 1992;118(1):56-60. doi: 10.1007/BF01192312.,['10.1007/BF01192312 [doi]'],"['0 (DNA, Neoplasm)', '0 (Recombinant Proteins)', '0 (Tumor Necrosis Factor-alpha)', 'G34N38R2N1 (Bromodeoxyuridine)']",,,,,,,,,,,,,,
1729140,NLM,MEDLINE,19920210,20190707,0014-4827 (Print) 0014-4827 (Linking),198,2,1992 Feb,Induction of apoptosis in chronic lymphocytic leukemia cells and its prevention by phorbol ester.,367-72,"Chronic lymphocytic leukemia lymphocytes were used to study mechanisms involved in apoptosis (programmed cell death). Apoptosis, which was determined by morphological changes including cell death and by internucleosomal DNA fragmentation, occurred during culture for 1 to 2 days in a portion of the cells from three of the four patients tested. Most of the cells underwent apoptosis and DNA fragmentation was greatly enhanced when cells were cultured in the presence of the microtubule inhibitor colchicine, the topoisomerase II inhibitor etoposide, or the glucocorticoid methylprednisolone. Tumor-promoting phorbol esters inhibited spontaneous DNA fragmentation and cell death including that induced by colchicine, etoposide, and methylprednisolone, indicating that they act on an event common to apoptosis caused by diverse stimuli. Phorbol esters probably act through protein phosphorylation, since they were effective at concentrations which modulated protein kinase C (PKC) and their action was prevented by H-7, which binds to and inactivates the catalytic site of PKC. In the absence of phorbol ester, H-7 itself induced some apoptosis. These findings implicate PKC in the suppression of apoptosis, but its precise role requires systematic investigation.","['Forbes, I J', 'Zalewski, P D', 'Giannakis, C', 'Cowled, P A']","['Forbes IJ', 'Zalewski PD', 'Giannakis C', 'Cowled PA']","['Department of Medicine, University of Adelaide, Queen Elizabeth Hospital, Woodville, South Australia.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Exp Cell Res,Experimental cell research,0373226,IM,"['1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine', 'Aurintricarboxylic Acid/pharmacology', 'Cell Death/*drug effects', 'Colchicine/*pharmacology', 'DNA Damage/*drug effects', 'Electrophoresis, Agar Gel', 'Etoposide/*pharmacology', 'Humans', 'Isoquinolines/pharmacology', 'Leukemia, Lymphocytic, Chronic, B-Cell', 'Methylprednisolone/pharmacology', 'Phorbol 12,13-Dibutyrate/pharmacology', 'Piperazines/pharmacology', 'Tumor Cells, Cultured']",1992/02/01 00:00,1992/02/01 00:01,['1992/02/01 00:00'],"['1992/02/01 00:00 [pubmed]', '1992/02/01 00:01 [medline]', '1992/02/01 00:00 [entrez]']",ppublish,Exp Cell Res. 1992 Feb;198(2):367-72. doi: 10.1016/0014-4827(92)90393-m.,['10.1016/0014-4827(92)90393-m [doi]'],"['0 (Isoquinolines)', '0 (Piperazines)', '37558-16-0 (Phorbol 12,13-Dibutyrate)', '4431-00-9 (Aurintricarboxylic Acid)', '6PLQ3CP4P3 (Etoposide)', '84477-87-2 (1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine)', 'SML2Y3J35T (Colchicine)', 'X4W7ZR7023 (Methylprednisolone)']",,,,,,,,,,,,,,
1729111,NLM,MEDLINE,19920211,20190514,0012-3692 (Print) 0012-3692 (Linking),101,1,1992 Jan,Cancer due to asbestos exposure.,58-63,"To determine the relationship between malignancies and asbestos exposure, the number of asbestos bodies in wet lung tissue was counted by light microscopy according to the modified method of Smith and Naylor, and occupational histories were examined. The results revealed that 17 (89 percent) of 19 malignant mesotheliomas, 39 (38 percent) of 104 lung cancers, 23 (37 percent) of 62 gastric cancers, and 13 (28 percent) of 45 colon cancers were shown to be cases with asbestos exposure. These values were significantly higher than those of noncancerous cases (200 cases). It is of interest that five out of ten cases of leukemia were related to asbestos exposure. Nearly all multiple cancers including lung and gastric cancer in this study were also cases with asbestos exposure. Additional research should be conducted on the carcinogenicity of asbestos for multiple cancers.","['Kishimoto, T']",['Kishimoto T'],"['Department of Clinical Investigation, Kure Kyosai Hospital, Japan.']",['eng'],['Journal Article'],United States,Chest,Chest,0231335,IM,"['Acute Disease', 'Aged', 'Aged, 80 and over', 'Asbestos/*adverse effects', 'Colonic Neoplasms/etiology/pathology', 'Female', 'Humans', 'Leukemia/etiology/pathology', 'Lung/pathology', 'Lung Neoplasms/etiology/pathology', 'Male', 'Mesothelioma/etiology/pathology', 'Middle Aged', 'Neoplasms/*etiology/pathology', 'Neoplasms, Multiple Primary/etiology/pathology', 'Occupational Diseases/*etiology/pathology', 'Occupational Exposure']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Chest. 1992 Jan;101(1):58-63. doi: 10.1378/chest.101.1.58.,"['S0012-3692(16)33121-X [pii]', '10.1378/chest.101.1.58 [doi]']",['1332-21-4 (Asbestos)'],,,,,,,,['Chest. 1993 Feb;103(2):654-5. PMID: 8499004'],,,,,,
1729013,NLM,MEDLINE,19920212,20111117,0009-921X (Print) 0009-921X (Linking),,274,1992 Jan,Second cancers in long-term survivors of Ewing's sarcoma.,275-81,"Previous reports suggest an increased risk of a second cancer, primarily osteosarcoma, in survivors of Ewing's sarcoma. In a retrospective review of 25 long-term irradiated survivors of Ewing's sarcoma, the incidence of second cancers was determined. The patients were free of disease for more than three years (except for one patient who developed a second cancer 2.5 years after diagnosis), with a median follow-up period of 7.6 years. All received megavoltage radiation to the primary tumor. Twenty-four of the 25 patients were treated with chemotherapy. Second cancers developed in two patients. Acute myelogenous leukemia (AML) developed in a seven-year-old 15 months after treatment. An osteosarcoma developed within an irradiated field in a 13-year-old three years after treatment. The actuarial risk of developing a second cancer at five years is 8% whereas the actuarial risk of developing a bone sarcoma is 4%. Genetic factors may play a role in the development of AML in patients with Ewing's sarcoma. Megavoltage radiation, particularly doses greater than 60 Gy, as well as alkylating agent chemotherapy may contribute to the risk for bone sarcoma. The risk of a second cancer after successful treatment of Ewing's sarcoma is similar to that expected for survivors of all childhood cancers.","['Smith, L M', 'Cox, R S', 'Donaldson, S S']","['Smith LM', 'Cox RS', 'Donaldson SS']","['Department of Radiation Oncology, Stanford University Medical Center, California 94305.']",['eng'],['Journal Article'],United States,Clin Orthop Relat Res,Clinical orthopaedics and related research,0075674,IM,"['Actuarial Analysis', 'Adolescent', 'Adult', '*Bone Neoplasms/drug therapy/epidemiology/radiotherapy', 'Child', 'Child, Preschool', 'Female', 'Follow-Up Studies', 'Humans', 'Incidence', 'Leukemia, Myeloid, Acute/*epidemiology', 'Male', 'Neoplasms, Radiation-Induced/*epidemiology', 'Neoplasms, Second Primary/*epidemiology', 'Osteosarcoma/*epidemiology', 'Retrospective Studies', 'Risk Factors', '*Sarcoma, Ewing/drug therapy/mortality/radiotherapy', 'Survival Rate', 'Time Factors']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Clin Orthop Relat Res. 1992 Jan;(274):275-81.,,,,,,,,,,,,,,,,
1728985,NLM,MEDLINE,19920212,20190819,0090-1229 (Print) 0090-1229 (Linking),62,1 Pt 2,1992 Jan,Recombinant human hematopoietic growth factors in the treatment of cytopenias.,S25-38,"The hemolymphopoietic growth factors, including the colony-stimulating factors (CSF) and interleukins (IL), are described and categorized on the basis of their biological features in laboratory systems. Although these agents are varied and exceptions exist, in general they lack lineage specificity although they may express lineage-predominant activity. They act at multiple levels of hemolymphopoietic cell differentiation, demonstrate additive or synergistic effects when combined in vitro, require surface receptors on target cells to directly express their activity, and may be produced by a variety of cells. This framework of behavioral generalizations, completed by the specifics of each factor's activity, despite the artifactual and simplified nature of in vivo systems, forms the basis for concepts of in vitro activity and for clinical applications. Hemolymphopoietic growth factors studied in the clinic have demonstrated impressive and important activity, validating much of the in vitro data. Granulocyte colony-stimulating factor (G-CSF) and granulocyte-macrophage colony-stimulating factor (GM-CSF) have clearly reduced neutropenia and infection rates when administered following conventional chemotherapy and high-dose chemotherapy followed by autologous bone marrow transplantation. To a varying degree, similar results with G-CSF and/or GM-CSF have been described in other diseases including acute myelogenous leukemia (AML) treated following induction chemotherapy, myelodysplastic syndrome, hairy cell leukemia, aplastic anemia, and chronic neutropenias. In preliminary studies IL-3 has been shown to have similar qualitative activities. However, these agents have not demonstrated a reproducible salutary impact on platelet or red cell lineages. Adverse effects on platelet counts and/or platelet recovery have been noted. Additionally, hemolymphopoietic growth factor receptors have been identified on malignant cells, suggesting that these factors could stimulate neoplastic growth. Studies with GM-CSF and IL-3 have demonstrated blast proliferation in some cases of AML and myelodysplasia, underscoring the capacity of these agents to stimulate the growth of myeloid leukemia. No clinically evident impact of these factors upon the growth of solid tumors has been identified but this issue has not been adequately studied. The toxicity of these agents has been surprisingly limited and appears to be related to their biologic activities. Hemolymphopoietic growth factors as single agents have broad clinical applications in cytopenias. Several methods for enhancing the clinical activity of these agents are under study, including the use of combinations of growth factors synergistic in vitro.","['Grosh, W W', 'Quesenberry, P J']","['Grosh WW', 'Quesenberry PJ']","['University of Virginia Health Sciences Center, Charlottesville 22908.']",['eng'],"['Journal Article', 'Review']",United States,Clin Immunol Immunopathol,Clinical immunology and immunopathology,0356637,IM,"['Bone Marrow Transplantation', 'Colony-Stimulating Factors/adverse effects/*therapeutic use', 'Humans', 'Interleukins/adverse effects/pharmacology/*therapeutic use', 'Neoplasms/therapy', 'Neutropenia/*therapy', 'Recombinant Proteins/therapeutic use']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Clin Immunol Immunopathol. 1992 Jan;62(1 Pt 2):S25-38. doi: 10.1016/0090-1229(92)90038-p.,['10.1016/0090-1229(92)90038-p [doi]'],"['0 (Colony-Stimulating Factors)', '0 (Interleukins)', '0 (Recombinant Proteins)']",,143,,,,,,,,,,,,
1728982,NLM,MEDLINE,19920211,20190819,0090-1229 (Print) 0090-1229 (Linking),62,1 Pt 1,1992 Jan,Cytotoxicity of fatty acid oxygenase activation in rat basophilic leukemia cells.,78-84,"Apart from the generation of potent inflammatory mediators, the effects of fatty acid oxygenase activation, per se, on the host cell have not been well-delineated. Fatty acid oxygenases were activated in rat basophilic leukemia cells (RBL-1) by incubating them for 2-4 hr with 33-300 microM of arachidonic acid (AA) or linoleic acid (LA). As a control, the cells were incubated with one of two analogs of these fatty acids which are not oxygenase substrates: eicosatetraynoic acid or linoelaidic acid. Effects of oxygenase activation on cell viability were monitored by an assay for mitochondrial function. Cytotoxicity occurred in incubations with exogenous AA or LA in direct proportion to the substrate concentration but was not found in the control incubations or in incubations with the principal monohydroxylated AA products, 5-, 15-, and 12-HETE. Nordihydroguaiaretic acid (80 microM) and alpha-tocopherol (100 microM) significantly decreased the cell death observed during incubations with AA or LA. It is concluded that extensive oxygenase activation can result in cell death from intermediates produced proximal to the stable monohydroxylated derivatives.","['Baer, A N', 'Costello, P B', 'Green, F A']","['Baer AN', 'Costello PB', 'Green FA']","['Department of Medicine, State University of New York, Buffalo 14215.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Clin Immunol Immunopathol,Clinical immunology and immunopathology,0356637,IM,"['Animals', 'Arachidonic Acid/metabolism/pharmacology', 'Cell Survival', 'Enzyme Activation', 'Hydroxyeicosatetraenoic Acids/biosynthesis', 'Leukemia, Basophilic, Acute/enzymology/*pathology', 'Linoleic Acid', 'Linoleic Acids/biosynthesis/pharmacology', 'Lipoxygenase/*physiology', 'Masoprocol/pharmacology', 'Rats', 'Tumor Cells, Cultured', 'Vitamin E/pharmacology']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Clin Immunol Immunopathol. 1992 Jan;62(1 Pt 1):78-84. doi: 10.1016/0090-1229(92)90025-j.,['10.1016/0090-1229(92)90025-j [doi]'],"['0 (Hydroxyeicosatetraenoic Acids)', '0 (Linoleic Acids)', '1406-18-4 (Vitamin E)', '27YG812J1I (Arachidonic Acid)', '467RNW8T91 (5-hydroxy-6,8,11,14-eicosatetraenoic acid)', '5204-88-6 (13-hydroxy-9,11-octadecadienoic acid)', '7BO8G1BYQU (Masoprocol)', '9KJL21T0QJ (Linoleic Acid)', 'EC 1.13.11.12 (Lipoxygenase)']",,,['HL24009/HL/NHLBI NIH HHS/United States'],,,,,,,,,,,
