PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,RF,TT,GR,OID,OAB,OABL,OTO,OT,GN,EIN,SI
4088310,NLM,MEDLINE,19860307,20041117,0083-1921 (Print) 0083-1921 (Linking),68,,1985 Dec,"Second cancer following cutaneous melanoma and cancers of the brain, thyroid, connective tissue, bone, and eye in Denmark, 1943-80.",361-88,"Second primary cancers were studied in persons with rare tumors between 1943 and 1980. The risk of developing a new cancer was evaluated in 7,211 persons with cutaneous melanoma, 1,784 persons with eye cancer, 10,273 persons with tumors of the brain and nervous system, 1,935 persons with thyroid cancer, 1,542 persons with bone tumors, and 2,318 persons with malignant neoplasms of the connective tissue. All cancer patients were diagnosed in Denmark between 1943 and 1980 and survived for 2 or more months. Nonmelanoma skin cancers were excluded from the analysis, whereas tumors of the brain and nervous system included both benign and malignant neoplasms. Overall, patients with these cancers showed no greater incidence of new tumors than expected from comparisons with the general population. An excess of chronic lymphocytic leukemia was observed subsequent to all cancers derived from the neural tube, i.e., melanoma and tumors of the eye, brain, and nervous system. Bone cancer occurred excessively, although the possibility of misclassified metastases could not be eliminated. Patients with tumors of the brain and nervous system who survived for 10 or more years developed significantly more cancers of the kidney and connective tissue and melanoma than anticipated. A deficit of second cancers of the digestive system was noted after primary bone and connective tissue cancers, in contrast to an excess of second cancers of the lung and kidney. Although based on few cases, patients with bone cancer showed a large excess of eye cancer as a second primary. The association between cancers of the breast and connective tissue was found to be bidirectional. Persons with connective tissue cancer were at increased risk of developing non-Hodgkin's lymphoma. Thyroid cancer patients were at high risk of subsequent tumors of the brain and nervous tissue and non-Hodgkin's lymphoma. However, contrary to previous reports, the risk of breast cancer was not elevated following thyroid cancer.","['Osterlind, A', 'Olsen, J H', 'Lynge, E', 'Ewertz, M']","['Osterlind A', 'Olsen JH', 'Lynge E', 'Ewertz M']",['eng'],['Journal Article'],United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Bone Neoplasms/*epidemiology', 'Brain Neoplasms/*epidemiology', 'Connective Tissue Diseases/*epidemiology', 'Denmark', 'Eye Neoplasms/*epidemiology', 'Female', 'Humans', 'Male', 'Melanoma/*epidemiology', 'Neoplasms/*epidemiology', 'Neoplasms, Multiple Primary/*epidemiology', 'Registries', 'Risk', 'Sex Factors', 'Skin Neoplasms/*epidemiology', 'Thyroid Neoplasms/*epidemiology']",,1985/12/01 00:00,1985/12/01 00:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '1985/12/01 00:01 [medline]', '1985/12/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1985 Dec;68:361-88.,,,,,,,,,,,,
4088308,NLM,MEDLINE,19860307,20041117,0083-1921 (Print) 0083-1921 (Linking),68,,1985 Dec,"Second cancer following cancer of the male genital system in Denmark, 1943-80.",341-7,"The incidence of second primary cancers was investigated among 19,886 patients with prostate cancer. The analysis disclosed 594 new cancers, which was significantly less than the expected 1,176 cases (relative risk = 0.51). Deficits were observed for most sites but were only significant for cancers of the lip, lung, and gastrointestinal organs. The average age at diagnosis of prostate cancer was 72 years. It is likely that the apparent deficit in the incidence of second neoplasms resulted from less diagnostic aggressiveness in elderly patients with cancer compared with younger patients. The risk of developing a second primary cancer was also investigated in 4,290 men with testis cancer reported to the Danish Cancer Registry between 1943 and 1980. A significant 29% excess of second cancers was found (174 observed vs. 135 expected). A bimodal distribution of risk over time was found with a 67% excess seen among patients followed for 1-4 years that was mainly due to increased incidence of acute nonlymphocytic leukemia and malignant lymphomas. Among patients surviving 10 or more years, the overall excess of 32% observed was mainly due to cancers of the gastrointestinal tract and the urinary bladder. As part of the initial treatment for testis cancer, 82% of the patients received radiotherapy. Chemotherapy was rarely given before 1975 and then mostly to patients with a poor prognosis. Late effects of radiotherapy conceivably could account for some of the excess of second hematologic as well as solid neoplasms.","['Osterlind, A', 'Rorth, M', 'Prener, A']","['Osterlind A', 'Rorth M', 'Prener A']",['eng'],['Journal Article'],United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Denmark', 'Female', 'Genital Neoplasms, Male/*epidemiology', 'Humans', 'Male', 'Neoplasms, Multiple Primary/*epidemiology', 'Registries', 'Risk', 'Testicular Neoplasms/epidemiology']",,1985/12/01 00:00,1985/12/01 00:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '1985/12/01 00:01 [medline]', '1985/12/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1985 Dec;68:341-7.,,,,,,,,,,,,
4088307,NLM,MEDLINE,19860307,20041117,0083-1921 (Print) 0083-1921 (Linking),68,,1985 Dec,"Second cancer following cancer of the female genital system in Denmark, 1943-80.",331-40,"Between 1943 and 1980, approximately 53,000 women in Denmark survived 2 or more months after initial diagnosis of cancers of the cervix uteri, corpus uteri, ovaries, fallopian tubes, and ligaments. No significant excess of new cancers was observed following cancers of the cervix and corpus uteri. However, after second cancers of both the cervix and corpus uteri were eliminated from the analysis (because it was likely they were surgically removed or not recorded due to conservative coding practices), 6 and 4% excess risks of borderline significance were found among women with cancer of the cervix and uterus, respectively. A significant 25% excess of all second primary cancers was observed following cancer of the ovary (relative risk = 1.25; 95% CI = 1.14-1.37). Significant excesses of colon and breast cancers followed cancers of the ovary and corpus uteri. Subsequent to cervical cancer, the risk of cancers of the lung, esophagus, bladder, and kidney occurred significantly above expectation. These associations may be explained by common risk factors related to reproduction and possibly diet for cancers of the breast, colon, ovary, and corpus uteri; and to cigarette smoking for cancers of the lung, esophagus, bladder, and cervix uteri. The significant deficit of breast cancer after cervical cancer could be due to different patterns of risk factor (i.e., reproductive and socioeconomic variables) and loss of functioning ovaries as a part of the treatment for cervical cancer. Each of the female genital sites showed significant excesses of second bladder cancers, and the risk increased significantly with time, which indicate a relation to radiotherapy. The pattern of risk of leukemia observed following cancer of the ovary was also compatible with effects of treatment, especially chemotherapy.","['Storm, H H', 'Ewertz, M']","['Storm HH', 'Ewertz M']",['eng'],['Journal Article'],United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Denmark', 'Female', 'Genital Neoplasms, Female/*epidemiology', 'Humans', 'Male', 'Neoplasms, Multiple Primary/*epidemiology', 'Ovarian Neoplasms/epidemiology', 'Registries', 'Risk', 'Uterine Neoplasms/epidemiology']",,1985/12/01 00:00,1985/12/01 00:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '1985/12/01 00:01 [medline]', '1985/12/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1985 Dec;68:331-40.,,,,,,,,,,,,
4088306,NLM,MEDLINE,19860307,20041117,0083-1921 (Print) 0083-1921 (Linking),68,,1985 Dec,"Second cancer following cancer of the female breast in Denmark, 1943-80.",325-9,"The risk of a person developing a second primary cancer was evaluated in approximately 55,000 women diagnosed with breast cancer in Denmark between 1943 and 1980. Excluding second cancers of the contralateral breast, 2,480 new cancers were observed compared with 2,398 expected (relative risk = 1.03; 95% CI = 0.99-1.08). Breast cancer patients followed for 10 years or more showed a significant 13% excess of all second primary tumors. Significant excesses of cancers of the lung, bone, and connective tissue were observed. Although some misclassification of metastases may have occurred, the risk of second cancers at these sites (as well as the salivary gland and esophagus) increased significantly with time and was especially high among women followed for 10 years or more. These observations suggest that radiation, as a part of the initial treatment, may have been involved. Radiation or chemotherapy, or both, may also have influenced the risk of acute nonlymphocytic leukemia (51 cases observed vs. 20.7 expected), which remained significantly elevated after the first year of follow-up. Common risk factors, related to reproductive experience and nutrition, may have contributed to the excess risk of cancers of the ovary and colon. On the other hand, an anticipated excess of cancer of the corpus uteri was not found, although cancer of the uterus not otherwise specified was significantly increased. Significant deficits were observed for second cancers of the liver and biliary tract, due perhaps to underreporting or conservative coding practices, or both. A significant excess of malignant melanoma was not easily explained but might indicate a common hormonal etiology with breast cancer.(ABSTRACT TRUNCATED AT 250 WORDS)","['Ewertz, M', 'Mouridsen, H T']","['Ewertz M', 'Mouridsen HT']",['eng'],['Journal Article'],United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Breast Neoplasms/*epidemiology', 'Denmark', 'Female', 'Humans', 'Neoplasms, Multiple Primary/*epidemiology', 'Registries', 'Risk']",,1985/12/01 00:00,1985/12/01 00:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '1985/12/01 00:01 [medline]', '1985/12/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1985 Dec;68:325-9.,,,,,,,,,,,,
4088298,NLM,MEDLINE,19860307,20041117,0083-1921 (Print) 0083-1921 (Linking),68,,1985 Dec,"Second cancer following lymphatic and hematopoietic cancers in Connecticut, 1935-82.",191-217,"The risk of developing a second primary cancer was evaluated in approximately 19,000 persons with initial cancers of the lymphatic and hematopoietic system in Connecticut between 1935 and 1982. Significant excesses for all second cancers were observed among patients with leukemia (34%), Hodgkin's disease (70%), non-Hodgkin's lymphoma (25%), and multiple myeloma (24%). In general, the risk of second cancers was greater in males than in females, even for cohorts not showing an excess of surveillance-related prostate cancer. Among patients with leukemia, significant excesses of cancers of the lung, kidney/ureter, and prostate were noted; cutaneous melanoma was elevated only in males. These excesses did not persist in the small number of long-term survivors. Possible etiologic factors included tobacco smoking for lung and kidney cancers, medical surveillance artifact for prostate cancer, and immunosuppression for malignant melanoma and lung cancer. The large number and good prognoses of patients with chronic lymphocytic leukemia strongly influenced the pattern of second cancers when all leukemias were analyzed together; no evidence was found for an increased risk of second cancer in patients with acute lymphocytic leukemia. A disproportionate number of subsequent cancers, particularly those of the kidney and ureter, were diagnosed incidentally at autopsy. Patients with Hodgkin's disease displayed significant excesses of cancers of the buccal cavity and pharynx, lung, female breast, and thyroid. The latter 3 sites remained significantly elevated in long-term survivors (10 yr or more postdiagnosis), so that radiation therapy may have contributed to their development. Among persons with non-Hodgkin's lymphoma, cancers of the stomach, lung, brain, and connective tissue occurred excessively. The first 3 sites, plus cancers of the urinary bladder, remained elevated among long-term survivors. The brain cancer excess, not previously reported, may represent misclassification of central nervous system lymphoma. The risk of gastric cancer is reminiscent of similar findings in patients with both acquired and genetically determined immunodeficiency disorders. The alkylating agent, cyclophosphamide, used extensively in the treatment of non-Hodgkin's lymphoma, is known to cause bladder cancer in man.(ABSTRACT TRUNCATED AT 400 WORDS)","['Greene, M H', 'Wilson, J']","['Greene MH', 'Wilson J']",['eng'],['Journal Article'],United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Connecticut', 'Female', 'Hodgkin Disease/epidemiology', 'Humans', 'Leukemia/*epidemiology', 'Lymphoma/*epidemiology', 'Male', 'Multiple Myeloma/epidemiology', 'Neoplasms, Multiple Primary/*epidemiology', 'Registries', 'Risk', 'Sex Factors']",,1985/12/01 00:00,1985/12/01 00:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '1985/12/01 00:01 [medline]', '1985/12/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1985 Dec;68:191-217.,,,,,,,,,,,,
4088297,NLM,MEDLINE,19860307,20041117,0083-1921 (Print) 0083-1921 (Linking),68,,1985 Dec,"Second cancer following cutaneous melanoma and cancers of the brain, thyroid, connective tissue, bone, and eye in Connecticut, 1935-82.",161-89,"The risk of second primary cancers developing was evaluated in individuals with 6 rare tumors in Connecticut between 1935 and 1982. Small but significant excesses of all second cancers occurred in patients with cutaneous melanoma (42%), and cancers of the brain (59%), thyroid (49%), connective tissue (23%), bone (66%), and eye (40%). In individuals with cutaneous melanoma, the highest risks were for subsequent cutaneous melanomas [relative risk (RR) = 8.5] that persisted throughout all intervals of observation. The risk for second melanomas was higher in persons under age 40, consistent with a heritable component. Connective tissue tumors and breast cancers also occurred in excess. Among patients with brain cancer, an increase of melanoma was observed that may represent an underlying neural crest abnormality, although no excess of brain cancer was seen after melanoma. Reciprocal increases of bone cancer after connective tissue cancer and connective tissue cancer after bone cancer point to shared risk factors, such as high dose radiotherapy or genetic susceptibility states. An anticipated high risk of osteogenic sarcoma following Ewing's sarcoma was not seen. An excess of breast cancer (RR = 1.9) after thyroid cancer indicates common etiologic factors. Expected excesses of bilateral retinoblastoma and bone cancer after retinoblastoma were seen. Tumors commonly treated with alkylating agents or nitrosoureas (melanoma, brain, connective tissue) showed slightly elevated risks of acute nonlymphocytic leukemia. Prostate cancer was frequently found to be in excess, but this is likely an artifact due to ascertainment bias.","['Tucker, M A', 'Boice, J D Jr', 'Hoffman, D A']","['Tucker MA', 'Boice JD Jr', 'Hoffman DA']",['eng'],['Journal Article'],United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Bone Neoplasms/*epidemiology', 'Brain Neoplasms/*epidemiology', 'Connecticut', 'Connective Tissue Diseases/*epidemiology', 'Eye Neoplasms/*epidemiology', 'Female', 'Humans', 'Male', 'Melanoma/*epidemiology', 'Neoplasms/*epidemiology', 'Neoplasms, Multiple Primary/*epidemiology', 'Registries', 'Risk', 'Skin Neoplasms/*epidemiology', 'Thyroid Neoplasms/*epidemiology']",,1985/12/01 00:00,2001/03/28 10:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1985/12/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1985 Dec;68:161-89.,,,,,,,,,,,,
4088296,NLM,MEDLINE,19860307,20041117,0083-1921 (Print) 0083-1921 (Linking),68,,1985 Dec,"Second cancer following cancer of the urinary system in Connecticut, 1935-82.",149-59,"The risk of second primary cancer was assessed in persons who developed cancer of the urinary tract in Connecticut during 1935-82. Among 12,384 patients with a first primary tumor of the bladder or urethra, a second cancer was reported in 1,151 (or 9%). A significantly elevated relative risk (RR) of 1.23 was due to excess cancers of the lung, larynx, prostate, and kidney, and acute nonlymphocytic leukemia. Among 5,115 persons with a first primary tumor of the kidney, renal pelvis or ureter, a second cancer was reported in 374 (or 7%) that yielded a significantly elevated RR of 1.54 due to excess tumors of the bladder and prostate and second primary kidney neoplasms. The role of common etiologic factors, such as cigarette smoking, the multifocal tendency of tumors of the urinary tract, and heightened medical surveillance are discussed in relation to these findings.","['Kantor, A F', 'McLaughlin, J K']","['Kantor AF', 'McLaughlin JK']",['eng'],['Journal Article'],United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Connecticut', 'Female', 'Humans', 'Kidney Neoplasms/epidemiology', 'Male', 'Neoplasms, Multiple Primary/*epidemiology', 'Registries', 'Risk', 'Sex Factors', 'Ureteral Neoplasms/epidemiology', 'Urogenital Neoplasms/*epidemiology']",,1985/12/01 00:00,1985/12/01 00:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '1985/12/01 00:01 [medline]', '1985/12/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1985 Dec;68:149-59.,,,,,,,,,,,,
4088295,NLM,MEDLINE,19860307,20041117,0083-1921 (Print) 0083-1921 (Linking),68,,1985 Dec,"Second cancer following cancer of the male genital system in Connecticut, 1935-82.",139-47,"The risk of a second primary cancer developing was evaluated in nearly 20,000 men with cancers of the prostate or testis in Connecticut, 1935-82. Among 18,135 men with prostate cancer, a significant 15% deficit of all second cancers was observed [1,053 vs. 1,241; relative risk (RR) = 0.85; 95% CI = 0.80-0.90], most notably for respiratory (RR = 0.7) and digestive cancers (RR = 0.8). The absence of a colon cancer risk lends little support to the idea of common risk factors such as dietary fat consumption. Only the risk for salivary gland cancer was significantly increased, possibly due to chance. Leukemia was significantly elevated among men observed for 10 and more years (RR = 2.2). In contrast to most other index tumors, the prostate stands out as being associated with an overall low risk of second cancer development. The reasons for these deficiencies have not been explained. Among 1,446 men with testis cancer, a significant twofold risk of second cancers was seen (104 vs. 50.1). A fivefold risk of leukemia (8 vs. 1.5) was not related to treatment or age. Contralateral testis cancer (6 vs. 0.5) was elevated in men treated with and without radiation. Risks for kidney cancer (5 vs. 1.5), bladder cancer (9 vs. 3.4), pancreatic cancer (6 vs. 1.5), non-Hodgkin's lymphoma (6 vs. 1.5), and prostate cancer (12 vs. 5.9) were significantly increased. No trends over time were noted for any cancer. Overall risk of second cancer development tended to be higher in younger men with testis cancer. The relationship of leukemia to testis and prostate cancers should be investigated in future research.","['Kleinerman, R A', 'Liebermann, J V', 'Li, F P']","['Kleinerman RA', 'Liebermann JV', 'Li FP']",['eng'],['Journal Article'],United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Connecticut', 'Female', 'Genital Neoplasms, Male/*epidemiology', 'Humans', 'Male', 'Neoplasms, Multiple Primary/*epidemiology', 'Registries', 'Risk', 'Testicular Neoplasms/epidemiology']",,1985/12/01 00:00,1985/12/01 00:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '1985/12/01 00:01 [medline]', '1985/12/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1985 Dec;68:139-47.,,,,,,,,,,,,
4088294,NLM,MEDLINE,19860307,20041117,0083-1921 (Print) 0083-1921 (Linking),68,,1985 Dec,"Cancer registration in Connecticut and the study of multiple primary cancers, 1935-82.",13-24,"The Connecticut Tumor Registry (CTR) was established in 1941 and is the oldest population-based cancer registry in the world. Since 1935, all malignant tumors have been registered, and cancer patients are followed annually for vital status. Reporting by hospitals of all cancers diagnosed in Connecticut residents became mandatory in 1971. The reporting physician or hospital makes the initial determination as to whether a tumor is an independent primary cancer, recurrent tumor, or metastatic lesion. In addition, the Registry maintains stringent quality control procedures to avoid duplication of cancer reports. The Registry reviews reports of new cancers developing in patients with a previous primary cancer to rule out the possibility of misdiagnosed metastases. Microscopic confirmation of the diagnosis has improved from 49% in 1935-39 to 94% in 1980-82. Cancers reported only from death certificates currently account for only 1% of all registrations. Between 1935 and 1979, cancer rates in Connecticut almost doubled among males and increased by more than one-third among females; notable increases were seen for cancers of the lung and prostate in males and cancers of the lung and breast in females. In recent years, rates for malignant melanoma of the skin have increased dramatically among both sexes. Stomach cancer has decreased over time in both sexes, as has cervical cancer in females. Although the CTR has used several revisions of the International Classification of Diseases to code the primary site of cancers, rules for the coding of multiple primary cancers have remained essentially the same. Among 253,536 individuals diagnosed between 1935 and 1982 with an invasive cancer, 16,727 (6.6%) nonsimultaneous second cancers were evaluated and are discussed in subsequent chapters of this monograph. Simultaneous cancers were diagnosed in 4,107 individuals and accounted for approximately 20% of all multiple cancers reported in Connecticut. The most frequent simultaneous tumors were cancers of the colon, rectum, prostate, lung, breast, and bladder. Some simultaneous cancers (chronic lymphocytic leukemia, testis, prostate, rectum, uterine corpus, and liver and biliary tract) occurred almost as frequently as the number of subsequent nonsimultaneous tumors, which suggests that the patterns of risk over time for certain sites may be distorted when diagnoses are advanced in time and removed from analysis.(ABSTRACT TRUNCATED AT 400 WORDS)","['Flannery, J T', 'Boice, J D Jr', 'Devesa, S S', 'Kleinerman, R A', 'Curtis, R E', 'Fraumeni, J F Jr']","['Flannery JT', 'Boice JD Jr', 'Devesa SS', 'Kleinerman RA', 'Curtis RE', 'Fraumeni JF Jr']",['eng'],['Journal Article'],United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Age Factors', 'Connecticut', 'Demography', 'Female', 'Humans', 'Male', 'Neoplasms/diagnosis/epidemiology', 'Neoplasms, Multiple Primary/diagnosis/*epidemiology', 'Registries']",,1985/12/01 00:00,2001/03/28 10:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1985/12/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1985 Dec;68:13-24.,,,,,,,,,,,,
4088293,NLM,MEDLINE,19860307,20051117,0083-1921 (Print) 0083-1921 (Linking),68,,1985 Dec,"Second cancer following cancer of the female genital system in Connecticut, 1935-82.",113-37,"The risk of second primary cancer was evaluated in more than 25,000 women with cancer of the genital organs diagnosed between 1935 and 1982 in Connecticut. Significant excesses of subsequent cancers were observed following cancers of the cervix (35%, n = 656), uterine corpus (16%, n = 1,060), and ovary (58%, n = 366). When observed and expected second cancers of the female genital tract were excluded, these excesses became 40%, 30%, and 59% after cervix, uterine corpus, and ovary, respectively. Among women with either cancer of the cervix or uterine corpus, the risk of developing a second cancer rose with increasing duration of follow-up, reaching an excess of 61 and 34%, respectively, after 20 years. In contrast, among patients with ovarian cancer, the second cancer risk decreased over time to 41% after 10 years. Cancers related to smoking, i.e., oral cavity and pharynx, esophagus, and respiratory system, were notably increased among cervical cancer patients. The twofold to threefold risks observed for these second cancers are consistent with recent evidence linking cervical cancer to cigarette smoking and seem too large to be artifacts of confounding by low socioeconomic status. An increased incidence of second cancer of the abdominal organs (colon, rectum, kidney, bladder, ovaries) was generally observed for each gynecologic site. However, only rectal cancer was consistently linked with radiation treatment for the first primary cancer. Leukemia occurred in excess after cancers of the uterine corpus and ovary, but not after cervical cancer. The predominant cell type was acute nonlymphocytic leukemia, and the excess was associated with radiotherapy for uterine corpus cancer and with chemotherapy for ovarian cancer. Cancers of the breast and colon were increased following uterine corpus and ovarian cancer and vice versa, which supports the notion that these sites share a common etiology, perhaps related to dietary or hormonal factors. Cervical cancer patients experienced a deficit of subsequent breast cancer, possibly due to ovarian removal or ablation by radiation. Investigators need to explore further the association between the smoking-related cancer sites and cervical cancer, to clarify the role of radiotherapy and chemotherapy in relation to excess cancers, and to define more fully the etiologic factors that link cancers of the breast, colon, uterine corpus, and ovary.","['Curtis, R E', 'Hoover, R N', 'Kleinerman, R A', 'Harvey, E B']","['Curtis RE', 'Hoover RN', 'Kleinerman RA', 'Harvey EB']",['eng'],['Journal Article'],United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Breast Neoplasms/*epidemiology', 'Connecticut', 'Fallopian Tube Neoplasms/epidemiology', 'Female', 'Humans', 'Male', 'Neoplasms, Multiple Primary/*epidemiology', 'Ovarian Neoplasms/epidemiology', 'Registries', 'Risk', 'Uterine Cervical Neoplasms/epidemiology', 'Uterine Neoplasms/epidemiology']",,1985/12/01 00:00,1985/12/01 00:01,['1985/12/01 00:00'],"['1985/12/01 00:00 [pubmed]', '1985/12/01 00:01 [medline]', '1985/12/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1985 Dec;68:113-37.,,,,,,,,,,,,
4088090,NLM,MEDLINE,19860314,20190711,0076-6879 (Print) 0076-6879 (Linking),116,,1985,Immunoglobulin E (IgE).,76-94,,"['Ishizaka, K']",['Ishizaka K'],['eng'],['Journal Article'],United States,Methods Enzymol,Methods in enzymology,0212271,IM,"['Animals', 'Basophils/immunology', 'Chromatography, Affinity/methods', 'Chromatography, DEAE-Cellulose/methods', 'Chromatography, Gel/methods', 'Humans', 'Immunoglobulin E/*isolation & purification', 'Immunoglobulin Fragments/analysis', 'Indicators and Reagents', 'Leukemia, Experimental/immunology', 'Mast Cells/immunology', 'Mice', 'Molecular Weight', 'Passive Cutaneous Anaphylaxis', 'Radioimmunoassay', 'Rats', 'Species Specificity', 'Terminology as Topic']",,1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1016/s0076-6879(85)16006-4 [doi]'],ppublish,Methods Enzymol. 1985;116:76-94. doi: 10.1016/s0076-6879(85)16006-4.,"['0 (Immunoglobulin Fragments)', '0 (Indicators and Reagents)', '37341-29-0 (Immunoglobulin E)']",,,,,,,,,,,
4087824,NLM,MEDLINE,19860320,20061115,0300-8630 (Print) 0300-8630 (Linking),197,6,1985 Nov-Dec,[Delayed-type skin reaction in children with malignant diseases].,447-52,"The delayed type hypersensitivity reaction has been employed in order to study the cell-mediated immunity in 103 children and adolescents with malignant tumors, using the Multitest system (Merieux). This skin test allows the simultaneous application of seven various recall-antigens in a standardized fashion and proved to be very predicative in normal children and adolescents at the age of 1-30 years, since beyond infancy no major variations of the test results has been observed in older age groups and a complete anergy has only been seen in 1.8%. The tumor patients were divided in three groups (50 patients with leukemia and malignant lymphoma, 23 patients with malignant bone tumors and 30 patients with other malignant diseases) and studied at the beginning or under chemotherapy. A significant decrease of skin reactions or a total anergy were found in all tumor groups compared to the normal control group and regardless the duration of chemotherapy. This was more pronounced in patients with systemic malignancies than in solid tumors. The largest group of the ALL- and NHL-patients showed a severely depressed cell-mediated immunity or complete anergy at the beginning of chemotherapy and subsequently improved already during the induction phase of chemotherapy. If improvement was missing, it was highly suspicious for relapse. In addition, such an increase of skin reactivity could not be demonstrated in few relapse patients during reinduction therapy. Patients with malignant bone tumors did not show such a dramatic depression of cell-mediated immunity at the beginning of chemotherapy and the results correlated with the course of the intervall chemotherapy.(ABSTRACT TRUNCATED AT 250 WORDS)","['Ebell, W', 'Schmidt, C', 'Wahn, V', 'Gobel, U']","['Ebell W', 'Schmidt C', 'Wahn V', 'Gobel U']",['ger'],"['Comparative Study', 'English Abstract', 'Journal Article']",Germany,Klin Padiatr,Klinische Padiatrie,0326144,IM,"['Adolescent', 'Adult', 'Bone Neoplasms/immunology', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Hypersensitivity, Delayed/*immunology', 'Immunity, Cellular', 'Infant', 'Leukemia/immunology', 'Lymphoma/immunology', 'Male', 'Neoplasms/*immunology', 'Prognosis', 'Skin/*immunology', 'Skin Tests/methods']",,1985/11/01 00:00,1985/11/01 00:01,['1985/11/01 00:00'],"['1985/11/01 00:00 [pubmed]', '1985/11/01 00:01 [medline]', '1985/11/01 00:00 [entrez]']",['10.1055/s-2008-1034020 [doi]'],ppublish,Klin Padiatr. 1985 Nov-Dec;197(6):447-52. doi: 10.1055/s-2008-1034020.,,,Die Hautreaktion vom verzogerten Typ bei Kindern mit malignen Erkrankungen.,,,,,,,,,
4087437,NLM,MEDLINE,19860326,20041117,0047-1860 (Print) 0047-1860 (Linking),33,10,1985 Oct,[Circulating immune complexes in human leukemia].,1119-23,,"['Takamura, T', 'Senda, Y', 'Yamagishi, K', 'Fujita, S', 'Matsubara, F']","['Takamura T', 'Senda Y', 'Yamagishi K', 'Fujita S', 'Matsubara F']",['jpn'],['Journal Article'],Japan,Rinsho Byori,Rinsho byori. The Japanese journal of clinical pathology,2984781R,IM,"['Antigen-Antibody Complex/*analysis', 'Antineoplastic Agents/pharmacology', 'Enzyme-Linked Immunosorbent Assay', 'Humans', 'Leukemia/*immunology']",,1985/10/01 00:00,1985/10/01 00:01,['1985/10/01 00:00'],"['1985/10/01 00:00 [pubmed]', '1985/10/01 00:01 [medline]', '1985/10/01 00:00 [entrez]']",,ppublish,Rinsho Byori. 1985 Oct;33(10):1119-23.,"['0 (Antigen-Antibody Complex)', '0 (Antineoplastic Agents)']",,,,,,,,,,,
