PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,AID,RN,AB,PMC,IP,LID
13886657,NLM,MEDLINE,19981101,20181201,0044-6025 (Print) 0044-6025 (Linking),3,1960 Jan,Report on some biological responses to high electric fields and indirect action of ultraviolet rays.,1-9,"['DJANAB, K', 'AZHIR, A']","['DJANAB K', 'AZHIR A']",['eng'],['Journal Article'],Iran,Acta Med Iran,Acta medica Iranica,14540050R,OM,"['*Anemia', '*Electricity', '*Genetic Diseases, X-Linked', '*Hemoglobins', '*Leukemia, Hairy Cell', 'Ozone/*toxicity', '*Severe Combined Immunodeficiency', '*Ultraviolet Rays']",['NLM'],"['*ANEMIA/experimental', '*ELECTRICITY', '*HEMOGLOBIN', '*OZONE/toxicology', '*RETICULOENDOTHELIOSIS/experimental', '*ULTRAVIOLET RAYS']",1960/01/01 00:00,1960/01/01 00:01,['1960/01/01 00:00'],"['1960/01/01 00:00 [pubmed]', '1960/01/01 00:01 [medline]', '1960/01/01 00:00 [entrez]']",ppublish,Acta Med Iran. 1960 Jan;3:1-9.,,"['0 (Hemoglobins)', '66H7ZZK23N (Ozone)', 'Reticuloendotheliosis, X-linked']",,,,
13886656,NLM,MEDLINE,19981101,20190813,0003-9926 (Print) 0003-9926 (Linking),110,1962 Oct,Hemolytic anemia in lymphocytic leukemia. Treatment by irradiation of the spleen.,449-55,"['DJALDETTI, M', 'DE VRIES, A', 'LEVIE, B', 'TIKVA, P']","['DJALDETTI M', 'DE VRIES A', 'LEVIE B', 'TIKVA P']",['eng'],['Journal Article'],United States,Arch Intern Med,Archives of internal medicine,0372440,OM,"['*Anemia', 'Anemia, Hemolytic/*radiotherapy', 'Humans', '*Leukemia', 'Leukemia, Lymphoid/*complications', 'Spleen/*radiation effects']",['NLM'],"['*ANEMIA, HEMOLYTIC/radiotherapy', '*LEUKEMIA, LYMPHOCYTIC/complications', '*SPLEEN/radiation effects']",1962/10/01 00:00,1962/10/01 00:01,['1962/10/01 00:00'],"['1962/10/01 00:00 [pubmed]', '1962/10/01 00:01 [medline]', '1962/10/01 00:00 [entrez]']",ppublish,Arch Intern Med. 1962 Oct;110:449-55. doi: 10.1001/archinte.1962.03620220041007.,['10.1001/archinte.1962.03620220041007 [doi]'],,,,,
13886340,NLM,MEDLINE,19981101,20181201,0003-9179 (Print) 0003-9179 (Linking),166,1962 Jul,[Malignant retothelial proliferations in childhood and their differential diagnostic delineation].,253-65,"['DIETZSCH, H J']",['DIETZSCH HJ'],['ger'],['Journal Article'],Germany,Arch Kinderheilkd,Archiv fur Kinderheilkunde,0326076,OM,"['Child', '*Genetic Diseases, X-Linked', 'Infant', '*Leukemia', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', '*Severe Combined Immunodeficiency']",['NLM'],"['*LEUKEMIA/in infancy and childhood', '*RETICULOENDOTHELIOSIS/in infancy and childhood']",1962/07/01 00:00,1962/07/01 00:01,['1962/07/01 00:00'],"['1962/07/01 00:00 [pubmed]', '1962/07/01 00:01 [medline]', '1962/07/01 00:00 [entrez]']",ppublish,Arch Kinderheilkd. 1962 Jul;166:253-65.,,"['Reticuloendotheliosis, X-linked']",,,,
13886149,NLM,MEDLINE,19981101,20181201,0014-2565 (Print) 0014-2565 (Linking),82,1961 Aug 31,"[On the clinical aspects of ""paraform"" leukemias].",224-8,"['DIAZ-RUBIO, M', 'RIOS MOZO, M', 'DIAZ-RUBIO GARCIA, M']","['DIAZ-RUBIO M', 'RIOS MOZO M', 'DIAZ-RUBIO GARCIA M']",['spa'],['Journal Article'],Spain,Rev Clin Esp,Revista clinica espanola,8608576,OM,"['*Formaldehyde', 'Humans', 'Leukemia/*statistics & numerical data', '*Polymers']",['NLM'],['*LEUKEMIA/statistics'],1961/08/31 00:00,1961/08/31 00:01,['1961/08/31 00:00'],"['1961/08/31 00:00 [pubmed]', '1961/08/31 00:01 [medline]', '1961/08/31 00:00 [entrez]']",ppublish,Rev Clin Esp. 1961 Aug 31;82:224-8.,,"['0 (Polymers)', '1HG84L3525 (Formaldehyde)', 'Y19UC83H8E (paraform)']",,,,
13885514,NLM,MEDLINE,19981101,20181201,0003-9764 (Print) 0003-9764 (Linking),18,1961 Sep,[Apropos of a case of leukemia affecting a monozygotic twin].,1054-5,"['DEPAILLAT, A']",['DEPAILLAT A'],['fre'],"['Case Reports', 'Journal Article']",France,Arch Fr Pediatr,Archives francaises de pediatrie,0372421,OM,"['*Disease', '*Diseases in Twins', 'Humans', '*Leukemia', '*Leukemia, Myeloid', '*Medical Records', '*Twins', '*Twins, Monozygotic']",['NLM'],"['*LEUKEMIA, MYELOCYTIC/case reports', '*TWINS/diseases']",1961/09/01 00:00,1961/09/01 00:01,['1961/09/01 00:00'],"['1961/09/01 00:00 [pubmed]', '1961/09/01 00:01 [medline]', '1961/09/01 00:00 [entrez]']",ppublish,Arch Fr Pediatr. 1961 Sep;18:1054-5.,,,,,,
13885308,NLM,MEDLINE,19981101,20181201,0365-9615 (Print) 0365-9615 (Linking),3,1962 Mar,[On the possibility of increasing the biological activity of extracts from human leukemic tissues].,76-8,"[""DEMENT'EVA, V V"", ""BERGOL'TS, V M""]","[""DEMENT'EVA VV"", ""BERGOL'TS VM""]",['rus'],['Journal Article'],Russia (Federation),Biull Eksp Biol Med,Biulleten' eksperimental'noi biologii i meditsiny,0370627,OM,"['Humans', '*Leukemia']",['NLM'],['*LEUKEMIA'],1962/03/01 00:00,1962/03/01 00:01,['1962/03/01 00:00'],"['1962/03/01 00:00 [pubmed]', '1962/03/01 00:01 [medline]', '1962/03/01 00:00 [entrez]']",ppublish,Biull Eksp Biol Med. 1962 Mar;3:76-8.,,,,,,
13885068,NLM,MEDLINE,19981101,20181201,0003-3871 (Print) 0003-3871 (Linking),6,1961 Oct-Dec,[Reticulogranulomatous encephalitis. Attempted nosological interpretation: proliferative reticuloses of the central nervous system].,429-56,"['DELARUE, J', 'SIGWALD, J', 'BOUTTIER, D', 'VEDRENNE, C', 'CHOMETTE, G']","['DELARUE J', 'SIGWALD J', 'BOUTTIER D', 'VEDRENNE C', 'CHOMETTE G']",['fre'],['Journal Article'],France,Ann Anat Pathol (Paris),Annales d'anatomie pathologique,0370553,OM,"['*Brain', '*Brain Diseases', 'Encephalitis/*pathology', '*Genetic Diseases, X-Linked', 'Granuloma/*pathology', 'Humans', 'Leukemia, Hairy Cell/*pathology', 'Lymphatic Diseases/*pathology', 'Peptide Nucleic Acids', '*Severe Combined Immunodeficiency']",['NLM'],"['*BRAIN/diseases', '*ENCEPHALITIS/pathology', '*GRANULOMA/pathology', '*RETICULOENDOTHELIOSIS/pathology']",1961/10/01 00:00,1961/10/01 00:01,['1961/10/01 00:00'],"['1961/10/01 00:00 [pubmed]', '1961/10/01 00:01 [medline]', '1961/10/01 00:00 [entrez]']",ppublish,Ann Anat Pathol (Paris). 1961 Oct-Dec;6:429-56.,,"['0 (Peptide Nucleic Acids)', '0 (reticulose)', 'Reticuloendotheliosis, X-linked']",,,,
13884696,NLM,MEDLINE,19981101,20181201,0375-877X (Print) 0375-877X (Linking),3,1962 Jul,[Treatment of chronic leukemia].,518-26,"['DEBRAY, J M']",['DEBRAY JM'],['fre'],['Journal Article'],France,Cah Coll Med Hop Paris,Les Cahiers du College de medecine des hopitaux de Paris,7503474,OM,"['*Chronic Disease', 'Leukemia/*therapy']",['NLM'],['*LEUKEMIA/therapy'],1962/07/01 00:00,1962/07/01 00:01,['1962/07/01 00:00'],"['1962/07/01 00:00 [pubmed]', '1962/07/01 00:01 [medline]', '1962/07/01 00:00 [entrez]']",ppublish,Cah Coll Med Hop Paris. 1962 Jul;3:518-26.,,,,,,
13884695,NLM,MEDLINE,19981101,20181201,,38,1962 May,[Supervision of the treatment of malignant hemopathies].,438-9,"['DEBRAY, J M']",['DEBRAY JM'],['fre'],['Journal Article'],France,Sem Hop Ther Paris,La Semaine des hopitaux: therapeutique,20710590R,OM,"['Hematologic Diseases/*therapy', 'Hodgkin Disease/*therapy', 'Humans', 'Leukemia/*therapy']",['NLM'],"['*BLOOD DISEASES/therapy', ""*HODGKIN'S DISEASE/therapy"", '*LEUKEMIA/therapy']",1962/05/01 00:00,1962/05/01 00:01,['1962/05/01 00:00'],"['1962/05/01 00:00 [pubmed]', '1962/05/01 00:01 [medline]', '1962/05/01 00:00 [entrez]']",ppublish,Sem Hop Ther Paris. 1962 May;38:438-9.,,,,,,
13884224,NLM,MEDLINE,19981101,20181201,0370-3770 (Print) 0370-3770 (Linking),28,1961 Sep,[Electron microscope study of Friend's leukemia and other mouse cancers also associated with the presence of virus particles].,197-328,"['DE HARVEN, E']",['DE HARVEN E'],['fre'],['Journal Article'],Belgium,Rev Belg Pathol Med Exp,Revue belge de pathologie et de medecine experimentale,20320140R,OM,"['Animals', '*Electrons', '*Friends', 'Leukemia/*virology', 'Lymphoma/*virology', 'Mice', 'Neomycin/*virology', '*Neoplasms', '*Virion', '*Viruses']",['NLM'],"['*LEUKEMIA/virology', '*LYMPHOMA/virology', '*NEOMYCIN/virology', '*VIRUSES']",1961/09/01 00:00,1961/09/01 00:01,['1961/09/01 00:00'],"['1961/09/01 00:00 [pubmed]', '1961/09/01 00:01 [medline]', '1961/09/01 00:00 [entrez]']",ppublish,Rev Belg Pathol Med Exp. 1961 Sep;28:197-328.,,['I16QD7X297 (Neomycin)'],,,,
13884205,NLM,MEDLINE,19981101,20181201,0370-9590 (Print) 0370-9590 (Linking),119,1961 Nov 27,[A case of gonadal dysgenesis with tall sature].,1860-3,"['DE GIORGY, M P', 'DUHART, J E']","['DE GIORGY MP', 'DUHART JE']",['spa'],"['Case Reports', 'Journal Article']",Argentina,Sem Med,La Semana medica,0404403,OM,"['*Body Height', '*Gonadal Dysgenesis', 'Humans', '*Medical Records', '*Precursor T-Cell Lymphoblastic Leukemia-Lymphoma', '*Turner Syndrome']",['NLM'],"['*BODY HEIGHT', ""*TURNER'S SYNDROME/case reports""]",1961/11/27 00:00,1961/11/27 00:01,['1961/11/27 00:00'],"['1961/11/27 00:00 [pubmed]', '1961/11/27 00:01 [medline]', '1961/11/27 00:00 [entrez]']",ppublish,Sem Med. 1961 Nov 27;119:1860-3.,,,,,,
13884165,NLM,MEDLINE,19981101,20181201,0393-9227 (Print) 0393-9227 (Linking),63,1961 Dec,[Acute hemocytoblastic leukemia in pregnancy].,617-26,"['DE CECCO, L', 'POZZI, V']","['DE CECCO L', 'POZZI V']",['ita'],['Journal Article'],Italy,Clin Ostet Ginecol,La Clinica ostetrica e ginecologica,0434562,OM,"['Female', 'Humans', '*Leukemia', 'Pregnancy', '*Pregnancy Complications']",['NLM'],"['*LEUKEMIA/in pregnancy', '*PREGNANCY/complications']",1961/12/01 00:00,1961/12/01 00:01,['1961/12/01 00:00'],"['1961/12/01 00:00 [pubmed]', '1961/12/01 00:01 [medline]', '1961/12/01 00:00 [entrez]']",ppublish,Clin Ostet Ginecol. 1961 Dec;63:617-26.,,,,,,
13884079,NLM,MEDLINE,19981101,20181201,0097-0093 (Print) 0097-0093 (Linking),42,1961,Ocular manifestations of leukemia and allied disorders.,157-66,"['DAYTON, G O Jr']",['DAYTON GO Jr'],['eng'],['Journal Article'],United States,Trans Pac Coast Otoophthalmol Soc Annu Meet,Transactions of the Pacific Coast Oto-Ophthalmological Society annual meeting,7506126,OM,"['*Eye', '*Head', 'Humans', 'Leukemia/*complications', '*Muscles', '*Ophthalmology']",['NLM'],"['*LEUKEMIA/complications', '*OPHTHALMOLOGY']",1961/01/01 00:00,1961/01/01 00:01,['1961/01/01 00:00'],"['1961/01/01 00:00 [pubmed]', '1961/01/01 00:01 [medline]', '1961/01/01 00:00 [entrez]']",ppublish,Trans Pac Coast Otoophthalmol Soc Annu Meet. 1961;42:157-66.,,,,,,
13883564,NLM,MEDLINE,19981101,20190916,0007-9235 (Print) 0007-9235 (Linking),12,1962 May-Jun,Leukemia in children: some current considerations.,87-90,"['DARGEON, H W']",['DARGEON HW'],['eng'],['Journal Article'],United States,CA Cancer J Clin,CA: a cancer journal for clinicians,0370647,OM,"['Child', 'Humans', 'Infant', '*Leukemia']",['NLM'],['*LEUKEMIA/in infancy and childhood'],1962/05/01 00:00,1962/05/01 00:01,['1962/05/01 00:00'],"['1962/05/01 00:00 [pubmed]', '1962/05/01 00:01 [medline]', '1962/05/01 00:00 [entrez]']",ppublish,CA Cancer J Clin. 1962 May-Jun;12:87-90. doi: 10.3322/canjclin.12.3.87.,['10.3322/canjclin.12.3.87 [doi]'],,,,,
13883296,NLM,MEDLINE,19981101,20181201,0012-1762 (Print) 0012-1762 (Linking),34,1962 Mar 19,[Leukemia: current ideas].,305-10,"['DAMESHEK, W']",['DAMESHEK W'],['spa'],['Journal Article'],Argentina,Dia Med,El Dia medico,0370663,OM,"['Humans', '*Leukemia', '*Thinking']",['NLM'],['*LEUKEMIA'],1962/03/19 00:00,1962/03/19 00:01,['1962/03/19 00:00'],"['1962/03/19 00:00 [pubmed]', '1962/03/19 00:01 [medline]', '1962/03/19 00:00 [entrez]']",ppublish,Dia Med. 1962 Mar 19;34:305-10.,,,,,,
13883254,NLM,MEDLINE,19981101,20181201,0027-8874 (Print) 0027-8874 (Linking),27,1961 Oct,An electron microscopic study of a series of murine lymphoid neoplasms.,747-91,"['DALTON, A J', 'LAW, L W', 'MOLONEY, J B', 'MANAKER, R A']","['DALTON AJ', 'LAW LW', 'MOLONEY JB', 'MANAKER RA']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,OM,"['Animals', '*Electrons', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphocytes', 'Mice', '*Microscopy, Electron', '*Neoplasms, Experimental']",['NLM'],"['*LEUKEMIA, LYMPHOCYTIC/experimental']",1961/10/01 00:00,1961/10/01 00:01,['1961/10/01 00:00'],"['1961/10/01 00:00 [pubmed]', '1961/10/01 00:01 [medline]', '1961/10/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1961 Oct;27:747-91.,,,,,,
13883229,NLM,MEDLINE,19981101,20190701,0098-7484 (Print) 0098-7484 (Linking),181,1962 Sep 22,Lymphomas of African children with different forms or environmental influences.,1026-8,"['DALLDORF, G']",['DALLDORF G'],['eng'],['Journal Article'],United States,JAMA,JAMA,7501160,OM,"['Child', '*Environment', 'Humans', 'Infant', '*Jaw Neoplasms', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphocytes', '*Lymphoma']",['NLM'],"['*JAWS/neoplasms', '*LEUKEMIA, LYMPHOCYTIC/in infancy and childhood', '*LYMPHOMA/in infancy and childhood']",1962/09/22 00:00,1962/09/22 00:01,['1962/09/22 00:00'],"['1962/09/22 00:00 [pubmed]', '1962/09/22 00:01 [medline]', '1962/09/22 00:00 [entrez]']",ppublish,JAMA. 1962 Sep 22;181:1026-8. doi: 10.1001/jama.1962.03050380004002.,['10.1001/jama.1962.03050380004002 [doi]'],,,,,
13883141,NLM,MEDLINE,19981101,20181201,0044-4030 (Print) 0044-4030 (Linking),103,1962 Mar 31,[Aleukemic megakaryocytic leukemia with osteosclerosis. Contributions to the study of the syndrome of osteomyeloreticulosis].,223-7,"['DAHNOVICI, V', 'ROSENBERG, A']","['DAHNOVICI V', 'ROSENBERG A']",['ger'],['Journal Article'],Germany,Zentralbl Allg Pathol,Zentralblatt fur allgemeine Pathologie u. pathologische Anatomie,9105593,OM,"['*Disease', '*Hematopoietic System', 'Humans', 'Leukemia/*complications', '*Leukemia, Megakaryoblastic, Acute', '*Megakaryocytes', 'Osteosclerosis/*complications']",['NLM'],"['*HEMATOPOIETIC SYSTEM/diseases', '*LEUKEMIA/complications', '*OSTEOSCLEROSIS/complications']",1962/03/31 00:00,1962/03/31 00:01,['1962/03/31 00:00'],"['1962/03/31 00:00 [pubmed]', '1962/03/31 00:01 [medline]', '1962/03/31 00:00 [entrez]']",ppublish,Zentralbl Allg Pathol. 1962 Mar 31;103:223-7.,,,,,,
13883012,NLM,MEDLINE,19981101,20181201,0042-8809 (Print) 0042-8809 (Linking),8,1962 Mar-Apr,[On aromatic amino acid metabolism in children with acute leukemia].,144-9,"[""D'IACHKOVA, A Ia"", 'KISLIAK, N S']","[""D'IACHKOVA AIa"", 'KISLIAK NS']",['rus'],['Journal Article'],Russia (Federation),Vopr Med Khim,Voprosy meditsinskoi khimii,0416601,OM,"['*Acute Disease', '*Amino Acids, Aromatic', '*Biochemical Phenomena', '*Body Fluids', 'Child', 'Humans', 'Leukemia/*urine']",['NLM'],['*LEUKEMIA/urine'],1962/03/01 00:00,1962/03/01 00:01,['1962/03/01 00:00'],"['1962/03/01 00:00 [pubmed]', '1962/03/01 00:01 [medline]', '1962/03/01 00:00 [entrez]']",ppublish,Vopr Med Khim. 1962 Mar-Apr;8:144-9.,,"['0 (Amino Acids, Aromatic)']",,,,
13882898,NLM,MEDLINE,19981101,20181201,0043-5147 (Print) 0043-5147 (Linking),14,1961 Sep,[Treatment of leukemias].,653-60,"['CZERSKI, P']",['CZERSKI P'],['pol'],['Journal Article'],Poland,Wiad Lek,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",9705467,OM,"['Humans', '*Leukemia', 'Scotoma/*therapy']",['NLM'],['*SCOTOMA/therapy'],1961/09/01 00:00,1961/09/01 00:01,['1961/09/01 00:00'],"['1961/09/01 00:00 [pubmed]', '1961/09/01 00:01 [medline]', '1961/09/01 00:00 [entrez]']",ppublish,Wiad Lek. 1961 Sep;14:653-60.,,,,,,
13882854,NLM,MEDLINE,19981101,20181201,0008-4158 (Print) 0008-4158 (Linking),23,1961 Sep,Leukemoid reaction or lymphatic leukemia?,131-3,['Sister CYRIL'],['Sister CYRIL'],['eng'],['Journal Article'],Canada,Can J Med Technol,Canadian journal of medical technology,0373141,OM,"['Humans', 'Leukemia/*diagnosis', 'Leukemia, Lymphoid/*diagnosis', '*Leukemoid Reaction', '*Lymphocytes']",['NLM'],"['*LEUKEMIA, LYMPHOCYTIC/diagnosis', '*LEUKEMIA/diagnosis']",1961/09/01 00:00,1961/09/01 00:01,['1961/09/01 00:00'],"['1961/09/01 00:00 [pubmed]', '1961/09/01 00:01 [medline]', '1961/09/01 00:00 [entrez]']",ppublish,Can J Med Technol. 1961 Sep;23:131-3.,,,,,,
13882339,NLM,MEDLINE,19981101,20181201,0006-4971 (Print) 0006-4971 (Linking),18,1961 Sep,The etiologic role of radiation in the development of leukemia.,370-6,"['CRONKITE, E P']",['CRONKITE EP'],['eng'],['Journal Article'],United States,Blood,Blood,7603509,OM,"['Humans', 'Leukemia/*etiology', '*Radiation', '*Research']",['NLM'],['*LEUKEMIA/etiology'],1961/09/01 00:00,1961/09/01 00:01,['1961/09/01 00:00'],"['1961/09/01 00:00 [pubmed]', '1961/09/01 00:01 [medline]', '1961/09/01 00:00 [entrez]']",ppublish,Blood. 1961 Sep;18:370-6.,,,,,,
13882300,NLM,MEDLINE,19981101,20181201,0029-4810 (Print) 0029-4810 (Linking),1,1961 Sep-Oct,[Current treatment of lymphosis].,788-97,"['CROIZAT, P', 'REVOL, L', 'NOVE-JOSSERAND, G']","['CROIZAT P', 'REVOL L', 'NOVE-JOSSERAND G']",['fre'],['Journal Article'],France,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,0401074,OM,"['Humans', '*Leukemia', 'Leukemia, Lymphoid/*therapy', '*Lymphocytes']",['NLM'],"['*LEUKEMIA, LYMPHOCYTIC/therapy']",1961/09/01 00:00,1961/09/01 00:01,['1961/09/01 00:00'],"['1961/09/01 00:00 [pubmed]', '1961/09/01 00:01 [medline]', '1961/09/01 00:00 [entrez]']",ppublish,Nouv Rev Fr Hematol. 1961 Sep-Oct;1:788-97.,,,,,,
13881943,NLM,MEDLINE,19981101,20181201,0021-9738 (Print) 0021-9738 (Linking),41,1962 Feb,Leukemic cell proliferation as determined by in vitro deoxyribonucleic acid synthesis.,360-9,"['CRADDOCK, C G', 'NAKAI, G S']","['CRADDOCK CG', 'NAKAI GS']",['eng'],['Journal Article'],United States,J Clin Invest,The Journal of clinical investigation,7802877,OM,"['*Cell Proliferation', 'DNA/*metabolism', '*DNA Replication', 'In Vitro Techniques', 'Leukemia/*blood', 'Nucleosides/*metabolism', 'Nucleotides/*metabolism', 'Phosphorus/*metabolism']",['NLM'],"['*DESOXYRIBONUCLEIC ACID/metabolism', '*LEUKEMIA/blood', '*NUCLEOSIDES AND NUCLEOTIDES/metabolism', '*PHOSPHORUS/metabolism']",1962/02/01 00:00,1962/02/01 00:01,['1962/02/01 00:00'],"['1962/02/01 00:00 [pubmed]', '1962/02/01 00:01 [medline]', '1962/02/01 00:00 [entrez]']",ppublish,J Clin Invest. 1962 Feb;41:360-9. doi: 10.1172/JCI104490.,['10.1172/JCI104490 [doi]'],"['0 (Nucleosides)', '0 (Nucleotides)', '27YLU75U4W (Phosphorus)', '9007-49-2 (DNA)']",,PMC289234,,
13881595,NLM,MEDLINE,19981101,20181201,,15,1962 Jan-Feb,[Contribution to the study of the chemical pathology of leukemias].,33-43,"['da COSTA, S', 'CHAVES, F J', 'da SILVA, J', 'CRESPO, E V']","['da COSTA S', 'CHAVES FJ', 'da SILVA J', 'CRESPO EV']",['por'],['Journal Article'],Portugal,Gaz Med Port,Gazeta medica portuguesa,17040250R,OM,"['Amino Acids/*urine', 'Blood Proteins/*chemistry', '*Electrophoresis', 'Leukemia/*chemistry']",['NLM'],"['*AMINO ACIDS/urine', '*BLOOD PROTEINS/chemistry', '*ELECTROPHORESIS', '*LEUKEMIA/chemistry']",1962/01/01 00:00,1962/01/01 00:01,['1962/01/01 00:00'],"['1962/01/01 00:00 [pubmed]', '1962/01/01 00:01 [medline]', '1962/01/01 00:00 [entrez]']",ppublish,Gaz Med Port. 1962 Jan-Feb;15:33-43.,,"['0 (Amino Acids)', '0 (Blood Proteins)']",,,,
13881537,NLM,MEDLINE,19981101,20181201,0161-5505 (Print) 0161-5505 (Linking),3,1962 Jul,Some late effects of radiostrontium in RF male mice.,293-9,"['COSGROVE, G E', 'UPTON, A C']","['COSGROVE GE', 'UPTON AC']",['eng'],['Journal Article'],United States,J Nucl Med,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",0217410,OM,"['Animals', '*Leukemia', '*Leukemia, Myeloid', 'Mice', '*Radiation Injuries, Experimental', '*Radioactivity', '*Strontium', '*Strontium Radioisotopes']",['NLM'],"['*LEUKEMIA, MYELOCYTIC/experimental', '*RADIATION INJURY/experimental', '*STRONTIUM/radioactive']",1962/07/01 00:00,1962/07/01 00:01,['1962/07/01 00:00'],"['1962/07/01 00:00 [pubmed]', '1962/07/01 00:01 [medline]', '1962/07/01 00:00 [entrez]']",ppublish,J Nucl Med. 1962 Jul;3:293-9.,,"['0 (Strontium Radioisotopes)', 'YZS2RPE8LE (Strontium)']",,,,
13881506,NLM,MEDLINE,19981101,20181201,0369-7843 (Print) 0369-7843 (Linking),49,1961 Nov,[On a case of acute myeloid leukemia complicating a bimestral pregnancy].,514-6,"['CORTI, A', 'DE DOMINICIS, E']","['CORTI A', 'DE DOMINICIS E']",['ita'],['Journal Article'],Italy,Osp Maggiore,L' Ospedale maggiore,0022210,OM,"['Female', 'Humans', '*Leukemia', '*Leukemia, Myeloid', '*Leukemia, Myeloid, Acute', 'Pregnancy', '*Pregnancy Complications']",['NLM'],"['*LEUKEMIA, MYELOCYTIC/in pregnancy', '*PREGNANCY/complications']",1961/11/01 00:00,1961/11/01 00:01,['1961/11/01 00:00'],"['1961/11/01 00:00 [pubmed]', '1961/11/01 00:01 [medline]', '1961/11/01 00:00 [entrez]']",ppublish,Osp Maggiore. 1961 Nov;49:514-6.,,,,,,
13881390,NLM,MEDLINE,19981101,20181201,0035-9157 (Print) 0035-9157 (Linking),55,1962 Aug,Some important clinical and pathological features of leukaemic lesions in the gastro-intestinal tract.,702-3,"['CORNES, J S', 'JONES, T G']","['CORNES JS', 'JONES TG']",['eng'],['Journal Article'],England,Proc R Soc Med,Proceedings of the Royal Society of Medicine,7505890,OM,"['Gastrointestinal Hemorrhage/*etiology', '*Gastrointestinal Tract', '*Hemorrhage', 'Humans', 'Leukemia/*complications', '*Neoplasms', 'Peptic Ulcer/*etiology']",['NLM'],"['*GASTROINTESTINAL SYSTEM/neoplasms', '*HEMORRHAGE, GASTROINTESTINAL/etiology', '*LEUKEMIA/complications', '*PEPTIC ULCER/etiology']",1962/08/01 00:00,1962/08/01 00:01,['1962/08/01 00:00'],"['1962/08/01 00:00 [pubmed]', '1962/08/01 00:01 [medline]', '1962/08/01 00:00 [entrez]']",ppublish,Proc R Soc Med. 1962 Aug;55:702-3.,,,,PMC1896786,,
13881389,NLM,MEDLINE,19981101,20190501,0021-9746 (Print) 0021-9746 (Linking),15,1962 Jul,Leukaemic lesions of the gastrointestinal tract.,305-13,"['CORNES, J S', 'JONES, T G']","['CORNES JS', 'JONES TG']",['eng'],['Journal Article'],England,J Clin Pathol,Journal of clinical pathology,0376601,OM,"['*Acute Disease', '*Chronic Disease', '*Digestive System Neoplasms', '*Gastrointestinal Tract', 'Humans', 'Leukemia/*pathology', '*Leukemia, Myeloid', '*Neoplasms']",['NLM'],"['*GASTROINTESTINAL SYSTEM/neoplasms', '*LEUKEMIA/pathology']",1962/07/01 00:00,1962/07/01 00:01,['1962/07/01 00:00'],"['1962/07/01 00:00 [pubmed]', '1962/07/01 00:01 [medline]', '1962/07/01 00:00 [entrez]']",ppublish,J Clin Pathol. 1962 Jul;15:305-13. doi: 10.1136/jcp.15.4.305.,['10.1136/jcp.15.4.305 [doi]'],,"This study is based on the clinical records and post-mortem findings of 264 patients with leukaemia. Gross leukaemic lesions in the gastrointestinal tract were found in 39 patients, an overall incidence of 14.8%. The incidence in all types of acute leukaemia was 18.4%, in chronic leukaemias 9.6%, and in myeloid leukaemia 10.9%. The ileum, stomach, and proximal colon were the sites most commonly affected. Four types of lesion were found: raised leukaemic nodules, leukaemic plaques, diffuse infiltrations with a convoluted brain-like appearance of the mucosal folds, and a multiple leukaemic polyposis. The clinical and pathological features of these lesions are described, and references are given to similar cases reported in the literature.",PMC480404,,
13881388,NLM,MEDLINE,19981101,20181201,0016-5085 (Print) 0016-5085 (Linking),41,1961 Oct,"Gastroduodenal ulceration and massive hemorrhage in patients with leukemia, multiple myeloma, and malignant tumors of lymphoid tissue.",337-44,"['CORNES, J S', 'JONES, T G', 'FISHER, G B']","['CORNES JS', 'JONES TG', 'FISHER GB']",['eng'],['Journal Article'],United States,Gastroenterology,Gastroenterology,0374630,OM,"['*Hemorrhage', 'Humans', 'Leukemia/*complications', '*Lymphoid Tissue', 'Multiple Myeloma/*complications', '*Neoplasms', '*Peptic Ulcer', 'Peptic Ulcer Hemorrhage/*etiology', '*Plasma Cells']",['NLM'],"['*LEUKEMIA/complications', '*LYMPHOID TISSUE/neoplasms', '*MYELOMA, PLASMA CELL/complications', '*PEPTIC ULCER HEMORRHAGE/etiology']",1961/10/01 00:00,1961/10/01 00:01,['1961/10/01 00:00'],"['1961/10/01 00:00 [pubmed]', '1961/10/01 00:01 [medline]', '1961/10/01 00:00 [entrez]']",ppublish,Gastroenterology. 1961 Oct;41:337-44.,,,,,,
