PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,TT,PMC,AB,OID
5291054,NLM,MEDLINE,19720511,20041117,0022-1961 (Print) 0022-1961 (Linking),28,5,1971,[Case of myelogenous leukemia complicated with early stomach cancer and gastric ulcer].,982-7,"['Uchida, S', 'Miyamoto, N', 'Murao, H', 'Saito, T']","['Uchida S', 'Miyamoto N', 'Murao H', 'Saito T']",['jpn'],['Journal Article'],Japan,Naika,Naika. Internal medicine,0413541,IM,"['Adenocarcinoma/*complications', 'Humans', 'Leukemia, Myeloid/*complications', 'Male', 'Middle Aged', 'Stomach Neoplasms/*complications', 'Stomach Ulcer/*complications']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",ppublish,Naika. 1971;28(5):982-7.,,,,,,
5274435,NLM,MEDLINE,19710202,20071115,0028-2685 (Print) 0028-2685 (Linking),17,5,1970,A leukaemoid response in 3-methylcholanthrene-treated RF strain of mice.,499-504,"['Tanaka, T', 'Craig, A W']","['Tanaka T', 'Craig AW']",['eng'],['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,IM,"['Animals', 'Carcinoma, Squamous Cell/chemically induced', 'Diagnosis, Differential', 'Leukemia/diagnosis', 'Leukemia, Experimental/*chemically induced', 'Leukemia, Lymphoid/chemically induced', 'Leukemia, Myeloid/diagnosis', 'Leukocyte Count', 'Lymphoma/chemically induced', '*Methylcholanthrene', 'Mice', 'Neoplasm Transplantation', 'Sarcoma, Experimental', 'Transplantation, Homologous']",1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",ppublish,Neoplasma. 1970;17(5):499-504.,['56-49-5 (Methylcholanthrene)'],,,,,
5274398,NLM,MEDLINE,19710128,20190710,0022-2836 (Print) 0022-2836 (Linking),52,2,1970 Sep 14,Transfer RNA species in normal and leukemic human lymphoblasts.,195-219,"['Gallo, R C', 'Pestka, S']","['Gallo RC', 'Pestka S']",['eng'],['Journal Article'],England,J Mol Biol,Journal of molecular biology,2985088R,IM,"['*Amino Acids', 'Carbon Isotopes', 'Cell Line', 'Chromatography', 'Glutamine', 'Glycine', 'Humans', 'Leucine', 'Leukemia, Lymphoid/*metabolism', 'Ligases', 'Lymphocytes/*analysis', 'Proline', 'RNA, Transfer/*analysis', 'Serine', 'Threonine', 'Tritium', 'Tyrosine']",1970/09/14 00:00,1970/09/14 00:01,['1970/09/14 00:00'],"['1970/09/14 00:00 [pubmed]', '1970/09/14 00:01 [medline]', '1970/09/14 00:00 [entrez]']",ppublish,J Mol Biol. 1970 Sep 14;52(2):195-219. doi: 10.1016/0022-2836(70)90025-2.,"['0 (Amino Acids)', '0 (Carbon Isotopes)', '0RH81L854J (Glutamine)', '10028-17-8 (Tritium)', '2ZD004190S (Threonine)', '42HK56048U (Tyrosine)', '452VLY9402 (Serine)', '9014-25-9 (RNA, Transfer)', '9DLQ4CIU6V (Proline)', 'EC 6.- (Ligases)', 'GMW67QNF9C (Leucine)', 'TE7660XO1C (Glycine)']","['0022-2836(70)90025-2 [pii]', '10.1016/0022-2836(70)90025-2 [doi]']",,,,
5274342,NLM,MEDLINE,19710123,20210216,0006-4971 (Print) 0006-4971 (Linking),36,6,1970 Dec,Cell cycle kinetics in leukemia.,809-10,"['Stohlman, F Jr']",['Stohlman F Jr'],['eng'],['Journal Article'],United States,Blood,Blood,7603509,IM,"['DNA/biosynthesis', 'Humans', 'Leukemia/*blood/drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukocytes/growth & development/metabolism', 'Mitosis', 'Steroids/therapeutic use']",1970/12/01 00:00,2001/03/28 10:01,['1970/12/01 00:00'],"['1970/12/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1970/12/01 00:00 [entrez]']",ppublish,Blood. 1970 Dec;36(6):809-10.,"['0 (Steroids)', '9007-49-2 (DNA)']",['S0006-4971(20)84810-1 [pii]'],,,,
5274341,NLM,MEDLINE,19710123,20210216,0006-4971 (Print) 0006-4971 (Linking),36,6,1970 Dec,The potentiality of out-of-cycle acute leukemic cells to synthesize DNA.,697-703,"['Stryckmans, P', 'Delalieux, G', 'Manaster, J', 'Socquet, M']","['Stryckmans P', 'Delalieux G', 'Manaster J', 'Socquet M']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,IM,"['Adult', 'Aged', 'Autoradiography', 'Child', 'Cyclophosphamide/therapeutic use', '*DNA Replication', 'Daunorubicin/therapeutic use', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/*blood/drug therapy', 'Leukemia, Myeloid/blood', 'Leukemia, Myeloid, Acute/*blood/drug therapy', 'Leukocytes/*metabolism/radiation effects', 'Male', 'Methotrexate/therapeutic use', 'Middle Aged', 'Prednisone/therapeutic use', '*Radiation Effects', 'Thymidine/metabolism', 'Tritium', 'Ultraviolet Rays', 'Vincristine/therapeutic use']",1970/12/01 00:00,1970/12/01 00:01,['1970/12/01 00:00'],"['1970/12/01 00:00 [pubmed]', '1970/12/01 00:01 [medline]', '1970/12/01 00:00 [entrez]']",ppublish,Blood. 1970 Dec;36(6):697-703.,"['10028-17-8 (Tritium)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'VB0R961HZT (Prednisone)', 'VC2W18DGKR (Thymidine)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",['S0006-4971(20)84797-1 [pii]'],,,,
5274340,NLM,MEDLINE,19710123,20210216,0006-4971 (Print) 0006-4971 (Linking),36,6,1970 Dec,Perturbation of generation cycle of human leukemic blast cells by cytostatic therapy in vivo: effect of corticosteroids.,689-96,"['Ernst, P', 'Killmann, S A']","['Ernst P', 'Killmann SA']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,IM,"['Adolescent', 'Adrenal Cortex Hormones/*therapeutic use', 'Adult', 'Antineoplastic Agents/*therapeutic use', 'Autoradiography', 'Bone Marrow/*drug effects', '*Bone Marrow Cells', 'Bone Marrow Examination', 'DNA/biosynthesis', 'Female', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Lymphocytes/drug effects', 'Male', 'Methotrexate/therapeutic use', 'Methylprednisolone/therapeutic use', 'Microscopy, Electron', 'Middle Aged', 'Mitosis/drug effects', 'Prednisone/therapeutic use', 'Spectrophotometry', 'Thymidine/metabolism', 'Tritium', 'Vincristine/therapeutic use']",1970/12/01 00:00,1970/12/01 00:01,['1970/12/01 00:00'],"['1970/12/01 00:00 [pubmed]', '1970/12/01 00:01 [medline]', '1970/12/01 00:00 [entrez]']",ppublish,Blood. 1970 Dec;36(6):689-96.,"['0 (Adrenal Cortex Hormones)', '0 (Antineoplastic Agents)', '10028-17-8 (Tritium)', '5J49Q6B70F (Vincristine)', '9007-49-2 (DNA)', 'VB0R961HZT (Prednisone)', 'VC2W18DGKR (Thymidine)', 'X4W7ZR7023 (Methylprednisolone)', 'YL5FZ2Y5U1 (Methotrexate)']",['S0006-4971(20)84796-X [pii]'],,,,
5274284,NLM,MEDLINE,19710121,20110728,0001-5806 (Print) 0001-5806 (Linking),33,1,1970 Feb,Chromosome studies in hematological disorders. I. Chromosome findings in chronic myelogenous leukemia with special reference to those after blastic transformation.,103-15,"['Sakurai, M']",['Sakurai M'],['eng'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,IM,"['Adult', 'Blood Cells', 'Bone Marrow Cells', 'Cell Line', '*Chromosome Aberrations', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Male', 'Middle Aged']",1970/02/01 00:00,1970/02/01 00:01,['1970/02/01 00:00'],"['1970/02/01 00:00 [pubmed]', '1970/02/01 00:01 [medline]', '1970/02/01 00:00 [entrez]']",ppublish,Nihon Ketsueki Gakkai Zasshi. 1970 Feb;33(1):103-15.,,,,,,
5274240,NLM,MEDLINE,19710121,20071115,0016-271X (Print) 0016-271X (Linking),3,3,1969,[Acute myeloid leukemia and pregnancy].,203-5,"['Carpinsky, R', 'Rana, R J']","['Carpinsky R', 'Rana RJ']",['spa'],['Journal Article'],Argentina,Arch Fund Roux Ocefa,Archivos de la Fundacion Roux-Ocefa,7502529,IM,"['Abortion, Spontaneous/etiology', 'Adult', 'Female', 'Humans', '*Leukemia, Myeloid, Acute', 'Pregnancy', '*Pregnancy Complications, Hematologic']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,Arch Fund Roux Ocefa. 1969;3(3):203-5.,,,Leucemia mieloidea aguda y embarazo.,,,
5274239,NLM,MEDLINE,19710121,20071115,0001-608X (Print) 0001-608X (Linking),11,3,1970,Distribution of haptoglobin phenotypes in leukemia patients.,285-8,"['Gurda, M', 'Turowska, B']","['Gurda M', 'Turowska B']",['eng'],['Journal Article'],Poland,Acta Med Pol,Acta medica Polona,0370326,IM,"['Female', '*Haptoglobins', 'Humans', 'Leukemia/*genetics', 'Leukemia, Lymphoid/genetics', 'Leukemia, Myeloid/genetics', 'Male', '*Phenotype', 'Poland', 'Sex Factors']",1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",ppublish,Acta Med Pol. 1970;11(3):285-8.,['0 (Haptoglobins)'],,,,,
5274229,NLM,MEDLINE,19710115,20151119,0016-867X (Print) 0016-867X (Linking),25,12,1970 Dec,Leukemia and lymphoma.,82-6,"['White, L P']",['White LP'],['eng'],['Journal Article'],United States,Geriatrics,Geriatrics,2985102R,IM,"['Antineoplastic Agents/*therapeutic use', 'BCG Vaccine', 'Burkitt Lymphoma/drug therapy', 'Busulfan/therapeutic use', 'Chlorambucil/therapeutic use', 'Cyclophosphamide/therapeutic use', 'Cytarabine/therapeutic use', 'Hodgkin Disease/drug therapy/radiotherapy', 'Humans', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Lymphoma/*drug therapy', 'Lymphoma, Non-Hodgkin/drug therapy', 'Prednisone/therapeutic use', 'Vincristine/therapeutic use']",1970/12/01 00:00,1970/12/01 00:01,['1970/12/01 00:00'],"['1970/12/01 00:00 [pubmed]', '1970/12/01 00:01 [medline]', '1970/12/01 00:00 [entrez]']",ppublish,Geriatrics. 1970 Dec;25(12):82-6.,"['0 (Antineoplastic Agents)', '0 (BCG Vaccine)', '04079A1RDZ (Cytarabine)', '18D0SL7309 (Chlorambucil)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'G1LN9045DK (Busulfan)', 'VB0R961HZT (Prednisone)']",,,,,
5274227,NLM,MEDLINE,19710115,20110728,0001-5806 (Print) 0001-5806 (Linking),33,2,1970 Apr,[Haptoglobin type and leukemia].,215-8,"['Kanazu, A', 'Yamaguchi, R', 'Nomura, T']","['Kanazu A', 'Yamaguchi R', 'Nomura T']",['jpn'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,IM,"['Blood Protein Electrophoresis', 'Haptoglobins/*analysis', 'Humans', 'Leukemia/*blood', 'Leukemia, Erythroblastic, Acute/blood', 'Leukemia, Lymphoid/blood', 'Leukemia, Myeloid/blood', 'Leukemia, Myeloid, Acute/blood']",1970/04/01 00:00,1970/04/01 00:01,['1970/04/01 00:00'],"['1970/04/01 00:00 [pubmed]', '1970/04/01 00:01 [medline]', '1970/04/01 00:00 [entrez]']",ppublish,Nihon Ketsueki Gakkai Zasshi. 1970 Apr;33(2):215-8.,['0 (Haptoglobins)'],,,,,
5274226,NLM,MEDLINE,19710115,20110728,0001-5806 (Print) 0001-5806 (Linking),33,2,1970 Apr,"[An electron microscopic study of the granules of human leukocyte, with special reference to leukemic cells].",199-214,"['Kamiyama, R']",['Kamiyama R'],['jpn'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,IM,"['Adolescent', 'Adult', 'Aged', '*Cytoplasmic Granules', 'Eosinophils', 'Female', 'Humans', 'Leukemia/*pathology', 'Leukemia, Lymphoid/pathology', 'Leukemia, Myeloid/pathology', '*Leukocytes', 'Lymphocytes', 'Male', 'Microscopy, Electron', 'Middle Aged', 'Monocytes', 'Neutrophils']",1970/04/01 00:00,1970/04/01 00:01,['1970/04/01 00:00'],"['1970/04/01 00:00 [pubmed]', '1970/04/01 00:01 [medline]', '1970/04/01 00:00 [entrez]']",ppublish,Nihon Ketsueki Gakkai Zasshi. 1970 Apr;33(2):199-214.,,,,,,
5274225,NLM,MEDLINE,19710115,20131121,0001-5806 (Print) 0001-5806 (Linking),33,2,1970 Apr,[On the clinical aspects of serum transcobalamins].,185-6,"['Fukuda, M']",['Fukuda M'],['jpn'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,IM,"['Anemia/blood', 'Blood Proteins/*analysis', 'Humans', 'Inflammation/blood', 'Leukemia, Myeloid/blood', 'Liver Diseases/blood', 'Neoplasms/blood', 'Protein Binding', 'Vitamin B 12/*blood']",1970/04/01 00:00,1970/04/01 00:01,['1970/04/01 00:00'],"['1970/04/01 00:00 [pubmed]', '1970/04/01 00:01 [medline]', '1970/04/01 00:00 [entrez]']",ppublish,Nihon Ketsueki Gakkai Zasshi. 1970 Apr;33(2):185-6.,"['0 (Blood Proteins)', 'P6YC3EG204 (Vitamin B 12)']",,,,,
5274224,NLM,MEDLINE,19710115,20110728,0001-5806 (Print) 0001-5806 (Linking),33,2,1970 Apr,[Serum complement levels of the patients with various diseases].,154-67,"['Inai, S']",['Inai S'],['jpn'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,IM,"['Adult', 'Autoimmune Diseases/immunology', 'Collagen Diseases/immunology', 'Complement System Proteins/*analysis', 'Diabetes Mellitus/immunology', 'Female', 'Humans', 'Immunoelectrophoresis', 'Leukemia, Myeloid/immunology', 'Leukocyte Count', 'Liver Cirrhosis/immunology', 'Liver Diseases/immunology', 'Male', 'Middle Aged', 'Multiple Myeloma/immunology', 'Nephritis/immunology', 'Stomach Neoplasms/immunology']",1970/04/01 00:00,1970/04/01 00:01,['1970/04/01 00:00'],"['1970/04/01 00:00 [pubmed]', '1970/04/01 00:01 [medline]', '1970/04/01 00:00 [entrez]']",ppublish,Nihon Ketsueki Gakkai Zasshi. 1970 Apr;33(2):154-67.,['9007-36-7 (Complement System Proteins)'],,,,,
5274223,NLM,MEDLINE,19710115,20110728,0001-5806 (Print) 0001-5806 (Linking),33,2,1970 Apr,[Erythroleukemia and related disorders].,151-3,"['Kawakita, Y']",['Kawakita Y'],['jpn'],['Journal Article'],Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,IM,"['Adolescent', 'Adult', 'Aged', 'Bone Marrow Examination', 'Child', 'Female', 'Humans', 'Japan', 'Leukemia, Erythroblastic, Acute/blood/*diagnosis/epidemiology', 'Male', 'Middle Aged']",1970/04/01 00:00,1970/04/01 00:01,['1970/04/01 00:00'],"['1970/04/01 00:00 [pubmed]', '1970/04/01 00:01 [medline]', '1970/04/01 00:00 [entrez]']",ppublish,Nihon Ketsueki Gakkai Zasshi. 1970 Apr;33(2):151-3.,,,,,,
5274176,NLM,MEDLINE,19710115,20071115,0026-4946 (Print) 0026-4946 (Linking),22,37,1970 Sep 15,[Further observations on the treatment of acute lymphocytic leukemia in children with L-asparaginase].,1829-33,"['Curtoni, E', 'Astaldi, G', 'Severi, F', 'Genova, R', 'Colombo, A', 'Astaldi, A A Jr', 'Burgio, G R']","['Curtoni E', 'Astaldi G', 'Severi F', 'Genova R', 'Colombo A', 'Astaldi AA Jr', 'Burgio GR']",['ita'],['Journal Article'],Italy,Minerva Pediatr,Minerva pediatrica,0400740,IM,"['Asparaginase/adverse effects/*therapeutic use', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/*drug therapy', 'Male']",1970/09/15 00:00,2001/03/28 10:01,['1970/09/15 00:00'],"['1970/09/15 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1970/09/15 00:00 [entrez]']",ppublish,Minerva Pediatr. 1970 Sep 15;22(37):1829-33.,['EC 3.5.1.1 (Asparaginase)'],,Ulteriori osservazioni sul trattamento della leucemia linfocitica acuta del abambino con L-asparaginasi.,,,
5274155,NLM,MEDLINE,19710115,20190501,0007-1447 (Print) 0007-1447 (Linking),4,5734,1970 Nov 28,Lung function in patients receiving busulphan.,530-2,"['Littler, W A', 'Ogilvie, C']","['Littler WA', 'Ogilvie C']",['eng'],['Journal Article'],England,Br Med J,British medical journal,0372673,IM,"['Adolescent', 'Adult', 'Aged', 'Blood Platelet Disorders/drug therapy', 'Busulfan/*adverse effects', 'Female', 'Humans', 'Leukemia, Myeloid/drug therapy', 'Male', 'Middle Aged', 'Multiple Myeloma/drug therapy', 'Polycythemia Vera/drug therapy', 'Pulmonary Fibrosis/*chemically induced/epidemiology', 'Radiography, Thoracic', 'Spirometry']",1970/11/28 00:00,1970/11/28 00:01,['1970/11/28 00:00'],"['1970/11/28 00:00 [pubmed]', '1970/11/28 00:01 [medline]', '1970/11/28 00:00 [entrez]']",ppublish,Br Med J. 1970 Nov 28;4(5734):530-2. doi: 10.1136/bmj.4.5734.530.,['G1LN9045DK (Busulfan)'],['10.1136/bmj.4.5734.530 [doi]'],,PMC1820065,"An attempt was made to achieve earlier detection of busulphan lung (fibrosing alveolitis) and to determine its incidence by means of serial studies during life, including measurement of the gas transfer factor. Twenty-three patients were investigated over an average period of nearly two years of busulphan treatment. One case of busulphan lung was detected and subsequently confirmed at necropsy, but in the remainder there was no clinical, radiological, or physiological evidence of fibrosing alveolitis. It is concluded that the development of fibrosing alveolitis may be related to individual genetic or immunological factors rather than to busulphan dosage.",
5274154,NLM,MEDLINE,19710115,20190501,0007-1447 (Print) 0007-1447 (Linking),4,5734,1970 Nov 28,Treatment of acute myeloblastic leukaemia.,508-9,,,['eng'],['Journal Article'],England,Br Med J,British medical journal,0372673,IM,"['Acute Disease', 'Adult', 'Child', 'Cytarabine/*therapeutic use', 'Daunorubicin/*therapeutic use', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy']",1970/11/28 00:00,1970/11/28 00:01,['1970/11/28 00:00'],"['1970/11/28 00:00 [pubmed]', '1970/11/28 00:01 [medline]', '1970/11/28 00:00 [entrez]']",ppublish,Br Med J. 1970 Nov 28;4(5734):508-9. doi: 10.1136/bmj.4.5734.508.,"['04079A1RDZ (Cytarabine)', 'ZS7284E0ZP (Daunorubicin)']",['10.1136/bmj.4.5734.508 [doi]'],,PMC1820007,,
5274145,NLM,MEDLINE,19710115,20071115,0040-5922 (Print) 0040-5922 (Linking),45,2,1969 Feb,[The strategy of treatment of acute lymphoblastic leukemia. Combination of chemotherapy and immunotherapy: pursuit of remission from 1 to 2 years after stopping chemotherapy].,154-5,"['Mathe, G']",['Mathe G'],['fre'],['Journal Article'],France,Therapeutique,Therapeutique (La Semaine des hopitaux),0415606,IM,"['Antineoplastic Agents/*therapeutic use', 'Humans', '*Immunotherapy', 'Leukemia, Lymphoid/*therapy']",1969/02/01 00:00,1969/02/01 00:01,['1969/02/01 00:00'],"['1969/02/01 00:00 [pubmed]', '1969/02/01 00:01 [medline]', '1969/02/01 00:00 [entrez]']",ppublish,Therapeutique. 1969 Feb;45(2):154-5.,['0 (Antineoplastic Agents)'],,La strategie dans le traitement de la leucemie aigue lymphoblastique. Combinaison de chimiotherapie et d'immunotherapie: poursuite de la remission de un a deux ans apres l'arret de la chimiotherapie.,,,
5274101,NLM,MEDLINE,19710115,20031114,0507-3758 (Print) 0507-3758 (Linking),16,7,1970,[Antitumor activity of prospidin].,83-6,"['Sorkina, Iu A', 'Chernov, V A', 'Grushina, A A', 'Khramchenkova, S P']","['Sorkina IuA', 'Chernov VA', 'Grushina AA', 'Khramchenkova SP']",['rus'],['Journal Article'],Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,IM,"['Animals', 'Antineoplastic Agents/*therapeutic use/toxicity', 'Carcinoma 256, Walker/drug therapy', 'Carcinoma, Brown-Pearce/drug therapy', 'Carcinoma, Ehrlich Tumor/drug therapy', 'Leukemia, Experimental/drug therapy', 'Lymphoma, Non-Hodgkin/drug therapy', 'Mice', 'Neoplasms, Experimental/*drug therapy', 'Osteosarcoma/drug therapy', 'Piperazines/*therapeutic use/toxicity', 'Rabbits', 'Rats', 'Sarcoma 180/drug therapy', 'Sarcoma, Experimental/drug therapy']",1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",ppublish,Vopr Onkol. 1970;16(7):83-6.,"['0 (Antineoplastic Agents)', '0 (Piperazines)']",,O protivoopukholevoi aktivnosti prospidina.,,,
5274058,NLM,MEDLINE,19710115,20131121,0032-7867 (Print) 0032-7867 (Linking),78,46,1970 Oct 31,[Trial of adriamycin in the treatment of acute leukemia].,1997-9,"['Mathe, G', 'Amiel, J L', 'Hayat, M', 'de Vassal, F', 'Schwarzenberg, L', 'Schneider, M', 'Jasmin, C', 'Rosenfeld, C']","['Mathe G', 'Amiel JL', 'Hayat M', 'de Vassal F', 'Schwarzenberg L', 'Schneider M', 'Jasmin C', 'Rosenfeld C']",['fre'],['Journal Article'],France,Presse Med,La Presse medicale,0312556,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Amino Sugars/therapeutic use', 'Anthraquinones/therapeutic use', 'Anti-Bacterial Agents/*therapeutic use', 'Bone Marrow Diseases/chemically induced', 'Cardiovascular Diseases/chemically induced', 'Chemical Phenomena', 'Chemistry', 'Child', 'Child, Preschool', 'Daunorubicin/adverse effects/*therapeutic use', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/*drug therapy', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Middle Aged']",1970/10/31 00:00,1970/10/31 00:01,['1970/10/31 00:00'],"['1970/10/31 00:00 [pubmed]', '1970/10/31 00:01 [medline]', '1970/10/31 00:00 [entrez]']",ppublish,Presse Med. 1970 Oct 31;78(46):1997-9.,"['0 (Amino Sugars)', '0 (Anthraquinones)', '0 (Anti-Bacterial Agents)', 'ZS7284E0ZP (Daunorubicin)']",,Essai de l'adriamycine dans le traitement des leucemies aigues.,,,
5273971,NLM,MEDLINE,19710113,20071115,0370-8241 (Print) 0370-8241 (Linking),25,10,1970 Oct,[Case of acute lymphoblastic leukemia with a striking response to L-asparaginase].,2184-8,"['Kuzumaki, N', 'Tanaka, E', 'Takasugi, Y', 'Itakura, K', 'Yokota, H']","['Kuzumaki N', 'Tanaka E', 'Takasugi Y', 'Itakura K', 'Yokota H']",['jpn'],['Journal Article'],Japan,Saishin Igaku,Saishin igaku. Modern medicine,0413561,IM,"['Adult', 'Asparaginase/*therapeutic use', 'Female', 'Humans', 'Leukemia, Lymphoid/diagnosis/*drug therapy']",1970/10/01 00:00,1970/10/01 00:01,['1970/10/01 00:00'],"['1970/10/01 00:00 [pubmed]', '1970/10/01 00:01 [medline]', '1970/10/01 00:00 [entrez]']",ppublish,Saishin Igaku. 1970 Oct;25(10):2184-8.,['EC 3.5.1.1 (Asparaginase)'],,,,,
5273963,NLM,MEDLINE,19710113,20161017,0098-7484 (Print) 0098-7484 (Linking),214,9,1970 Nov 30,Concurrent infectious mononucleosis and acute leukemia.,1677-80,"['Freedman, M H', 'Gilchrist, G S', 'Hammond, G D']","['Freedman MH', 'Gilchrist GS', 'Hammond GD']",['eng'],['Journal Article'],United States,JAMA,JAMA,7501160,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infectious Mononucleosis/blood/*complications/diagnosis', 'Leukemia, Lymphoid/blood/*complications', 'Lymphocytes/cytology', 'Male']",1970/11/30 00:00,1970/11/30 00:01,['1970/11/30 00:00'],"['1970/11/30 00:00 [pubmed]', '1970/11/30 00:01 [medline]', '1970/11/30 00:00 [entrez]']",ppublish,JAMA. 1970 Nov 30;214(9):1677-80.,,,,,,
5273949,NLM,MEDLINE,19710113,20071115,0003-4665 (Print) 0003-4665 (Linking),94,6,1968 Jun,[Unusual picture of leukemic retinopathy].,592-8,"['De Simone, S', 'Colaci, C']","['De Simone S', 'Colaci C']",['ita'],['Journal Article'],Italy,Ann Ottalmol Clin Ocul,Annali di ottalmologia e clinica oculistica,9309994,IM,"['Adolescent', 'Humans', 'Leukemia, Myeloid, Acute/*complications', 'Male', 'Papilledema/*etiology', 'Retinal Hemorrhage/*etiology']",1968/06/01 00:00,1968/06/01 00:01,['1968/06/01 00:00'],"['1968/06/01 00:00 [pubmed]', '1968/06/01 00:01 [medline]', '1968/06/01 00:00 [entrez]']",ppublish,Ann Ottalmol Clin Ocul. 1968 Jun;94(6):592-8.,,,Su un quadro insolito di retinopatia leucemica.,,,
5273934,NLM,MEDLINE,19710113,20191210,0033-2100 (Print) 0033-2100 (Linking),24,3,1970,[So-called masks of acute infectious diseases in granulocytic leukemia].,407-11,"['Janeczko, J']",['Janeczko J'],['pol'],['Journal Article'],Poland,Przegl Epidemiol,Przeglad epidemiologiczny,0413725,IM,"['Acute Disease', 'Diagnosis, Differential', 'Humans', 'Immunity', 'Infections/diagnosis', 'Leukemia, Myeloid/complications/*diagnosis', 'Leukemia, Myeloid, Acute/complications/*diagnosis', 'Sepsis/diagnosis', 'Typhoid Fever/diagnosis']",1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",ppublish,Przegl Epidemiol. 1970;24(3):407-11.,,,"""Maski"" ostrych chorob zakaznych w bialaczce szpikowej.",,,
5273932,NLM,MEDLINE,19710113,20190617,0028-0836 (Print) 0028-0836 (Linking),228,5275,1970 Dec 5,RNA dependent DNA polymerase of human acute leukaemic cells.,927-9,"['Gallo, R C', 'Yang, S S', 'Ting, R C']","['Gallo RC', 'Yang SS', 'Ting RC']",['eng'],['Journal Article'],England,Nature,Nature,0410462,IM,"['Cell Transformation, Neoplastic', 'DNA Nucleotidyltransferases/*analysis/antagonists & inhibitors', 'Humans', 'Leukemia, Lymphoid/*enzymology', 'Lymphocytes/enzymology', 'Methods', '*RNA', '*Templates, Genetic']",1970/12/05 00:00,1970/12/05 00:01,['1970/12/05 00:00'],"['1970/12/05 00:00 [pubmed]', '1970/12/05 00:01 [medline]', '1970/12/05 00:00 [entrez]']",ppublish,Nature. 1970 Dec 5;228(5275):927-9. doi: 10.1038/228927a0.,"['63231-63-0 (RNA)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)']",['10.1038/228927a0 [doi]'],,,,
