PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,PMC,TT,AD
6975160,NLM,MEDLINE,19820109,20071115,0008-5472 (Print) 0008-5472 (Linking),41,11 Pt 2,1981 Nov,Definition of the high-risk acute lymphoblastic leukemia patient by immunological phenotyping with monoclonal antibodies.,4786-9,"An accurate method of classification of the surface membrane characteristics of blast cells from patients with acute lymphoblastic leukemia would allow a more definitive study of the nature of this disease. Monoclonal antibodies have been produced to the surface antigens of leukemic blasts form a patient with high-risk acute lymphoblastic leukemia. Two antibodies of interest were obtained from this immunization. These two, in combination with a monoclonal antibody with anti-Ia specificity, have been used to obtain surface phenotypes for patients with childhood acute lymphoblastic leukemia. Preliminary results indicate that the definition of a high-risk group, using these antibodies, possible.","['Zipf, T F', 'Fox, R I', 'Dilley, J', 'Levy, R']","['Zipf TF', 'Fox RI', 'Dilley J', 'Levy R']",['eng'],,['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)', '0 (Antigens, Surface)', '0 (Histocompatibility Antigens Class II)']",IM,"['Acute Disease', 'Adolescent', '*Antibodies, Monoclonal', 'Antigens, Neoplasm/*analysis', 'Antigens, Surface/*analysis', 'B-Lymphocytes/immunology', 'Child', 'Child, Preschool', 'Female', 'Histocompatibility Antigens Class II', 'Humans', 'Leukemia, Lymphoid/*classification/diagnosis/immunology', 'Male', 'Phenotype', 'Prognosis', 'T-Lymphocytes/immunology']",1981/11/01 00:00,1981/11/01 00:01,['1981/11/01 00:00'],"['1981/11/01 00:00 [pubmed]', '1981/11/01 00:01 [medline]', '1981/11/01 00:00 [entrez]']",,ppublish,Cancer Res. 1981 Nov;41(11 Pt 2):4786-9.,,,,
6975159,NLM,MEDLINE,19820109,20071115,0008-5472 (Print) 0008-5472 (Linking),41,11 Pt 2,1981 Nov,Derivation of human T-cell leukemias.,4767-70,"Cell surface antigenic changes occur during the stages of T-cell ontogeny in several animal model systems. In the present study, multiple monoclonal antibodies were developed to human thymocyte and T-cell surface differentiation antigens as a means of probing T-cell ontogeny in humans. It was shown that three distinct states of human intrathymic differentiation exist and that the mature inducer (T4+) and suppressor (T5+/TH2+)T-cell subsets arise at specific points during these maturation events. Moreover, T-cell leukemias can now be related to the three stages of the thymic compartment or, alternatively, the more differentiated peripheral T-cell compartment.","['Reinherz, E L', 'Schlossman, S F']","['Reinherz EL', 'Schlossman SF']",['eng'],"['AI 12069/AI/NIAID NIH HHS/United States', 'CA 06516/CA/NCI NIH HHS/United States', 'CA 19589/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Surface)']",IM,"['Antibodies, Monoclonal', 'Antigens, Surface/analysis', 'Cell Differentiation', 'Hematopoiesis', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Mycosis Fungoides/immunology', 'Sezary Syndrome/immunology', 'T-Lymphocytes/immunology/*pathology']",1981/11/01 00:00,1981/11/01 00:01,['1981/11/01 00:00'],"['1981/11/01 00:00 [pubmed]', '1981/11/01 00:01 [medline]', '1981/11/01 00:00 [entrez]']",,ppublish,Cancer Res. 1981 Nov;41(11 Pt 2):4767-70.,,,,
6975157,NLM,MEDLINE,19820109,20190620,0008-543X (Print) 0008-543X (Linking),48,9,1981 Nov 1,Lymphocytic lymphoma simulating hairy cell leukemia: a consideration of reliable and unreliable diagnostic features.,2047-55,"Morphologic, immunologic and functional characteristics of an unusual poorly differentiated diffuse lymphocytic lymphoma closely resembling hairy cell leukemia are presented and the diagnostic features of the latter disease are reviewed. The malignant cells morphologically resembled hairy cells at the light as well as electron microscopic level. They had surface characteristics of both T and B lymphocytes, were phagocytic, and adhered to glass. The spleen was smooth and resembled that seen in hairy cell leukemia. Although there was a predilection for the red pulp of the spleen, there was a lack of characteristic pseudosinus formation, and areas of predominantly white pulp involvement considered characteristic of lymphocytic lymphoma were found after extensive examination.","['Palutke, M', 'Tabaczka, P', 'Mirchandani, I', 'Goldfarb, S']","['Palutke M', 'Tabaczka P', 'Mirchandani I', 'Goldfarb S']",['eng'],,"['Case Reports', 'Journal Article']",United States,Cancer,Cancer,0374236,"['0 (Receptors, Antigen, B-Cell)']",IM,"['Aged', 'B-Lymphocytes', 'Bone Marrow/pathology', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Hairy Cell/*diagnosis/immunology/pathology', 'Leukocyte Count', 'Liver/pathology', 'Lymphoma/*diagnosis/immunology/pathology', 'Receptors, Antigen, B-Cell/analysis', 'Rosette Formation', 'Spleen/pathology', 'T-Lymphocytes']",1981/11/01 00:00,1981/11/01 00:01,['1981/11/01 00:00'],"['1981/11/01 00:00 [pubmed]', '1981/11/01 00:01 [medline]', '1981/11/01 00:00 [entrez]']",['10.1002/1097-0142(19811101)48:9<2047::aid-cncr2820480922>3.0.co;2-l [doi]'],ppublish,Cancer. 1981 Nov 1;48(9):2047-55. doi: 10.1002/1097-0142(19811101)48:9<2047::aid-cncr2820480922>3.0.co;2-l.,,,,
6975156,NLM,MEDLINE,19820109,20190620,0008-543X (Print) 0008-543X (Linking),48,9,1981 Nov 1,"Lymphoblastic lymphoma/leukemia of T-cell origin: ultrastructural, cytochemical, and immunologic features of ten cases.",1982-91,"Ten cases of T-lymphoblastic lymphoma/leukemia were studied with light and electron microscopy. Cytochemical strains were performed on touch preparations, and mononuclear cell suspensions were tested for spontaneous rosette formation with sheep erythrocytes, C3 receptors, and surface immunoglobulins. The present investigation was performed to evaluate several ultrastructural parameters, mainly the nuclear shape, as diagnostic clues for this group of lymphomas. Characteristic convoluted nuclei were present in 7 to 47% of the lymphoblasts. This percentage correlated with the focal acid phosphatase reaction and E-rosette formation. Acid phosphatase was the best cytochemical marker (70-100% of the lymphoblasts showed focal reaction product). By ultrastructural cytochemistry, the reaction product was demonstrated in the Golgi cisternae and primary lysosomes. The cell suspensions obtained from different sources contained 14 to 95% E-rosette-forming cells. No specific morphologic, cytochemical, or immunologic differences were found between patients with or without mediastinal involvement.","['Navas Palacios, J J', 'Valdes, M D', 'Pallares, M A', 'Gomez de Salazar, M D', 'Garcia Marcilla, A']","['Navas Palacios JJ', 'Valdes MD', 'Pallares MA', 'Gomez de Salazar MD', 'Garcia Marcilla A']",['eng'],,['Journal Article'],United States,Cancer,Cancer,0374236,"['0 (Receptors, Antigen, B-Cell)', '0 (Receptors, Complement)', 'EC 3.1.3.2 (Acid Phosphatase)']",IM,"['Acid Phosphatase/analysis', 'Adolescent', 'Adult', 'Cell Nucleus/ultrastructure', 'Child', 'Female', 'Humans', 'Leukemia, Lymphoid/enzymology/immunology/*ultrastructure', 'Lymphoma/enzymology/immunology/*ultrastructure', 'Male', 'Mediastinal Neoplasms/diagnosis', 'Middle Aged', 'Receptors, Antigen, B-Cell/analysis', 'Receptors, Complement/analysis', 'Rosette Formation', '*T-Lymphocytes']",1981/11/01 00:00,1981/11/01 00:01,['1981/11/01 00:00'],"['1981/11/01 00:00 [pubmed]', '1981/11/01 00:01 [medline]', '1981/11/01 00:00 [entrez]']",['10.1002/1097-0142(19811101)48:9<1982::aid-cncr2820480913>3.0.co;2-4 [doi]'],ppublish,Cancer. 1981 Nov 1;48(9):1982-91. doi: 10.1002/1097-0142(19811101)48:9<1982::aid-cncr2820480913>3.0.co;2-4.,,,,
6975143,NLM,MEDLINE,19820109,20071115,0340-4684 (Print) 0340-4684 (Linking),7,2,1981,Differentiation ability of the CLL lymphocyte: an immature lymphocyte or an abnormal leukemic cell?,331-9,"The present study is concerned with the patterns of cell differentiation in chronic lymphocytic leukemia. Most cases correspond to the proliferation of a B-cell clone. In contrast to the normal B-lymphocyte, the B-cell CLL lymphocyte is characterized by: (1) very low amounts of monoclonal surface Ig; (2) the presence of receptors for mouse red blood cells; (3) the presence in a high percentage of cases of dual B and T markers. T-cell CLL is a rare event and is defined by a peculiar clinical and hematological picture including the presence of receptors for sheep erythrocytes, the reactivity with anti-T sera, and negative or very low values of terminal transferase. Different studies have conflicted in their findings on the incidence of null-cell CLL; however, these cases appear to be rare. Perhaps more sensitive methods of study must be employed before concluding that the null-cell CLL exists and before establishing its incidence. Even though great progress has been made in the understanding of this disease, two main questions remain unresolved: 1. Does the proliferating clone correspond to an immature B-lymphocyte, or does it merely represent an abnormal leukemic cell? 2. What is the role of T cells in B-cell CLL?","['Dighiero, G', 'Bodega, E', 'Binet, J L']","['Dighiero G', 'Bodega E', 'Binet JL']",['eng'],,['Journal Article'],United States,Blood Cells,Blood cells,7513567,,IM,"['B-Lymphocytes/immunology/*pathology', 'Cell Transformation, Neoplastic/*pathology', 'Clone Cells/immunology/pathology', 'Humans', 'Leukemia, Lymphoid/immunology/*pathology', 'Lymphocyte Cooperation', 'T-Lymphocytes/immunology']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1981;7(2):331-9.,,,,
6975142,NLM,MEDLINE,19820109,20041117,0340-4684 (Print) 0340-4684 (Linking),7,2,1981,Growth of human normal and leukemic T cells: T-cell growth factor (TCGF) and the isolation of a new class of RNA tumor viruses (HTLV).,313-29,"A system for routine long-term growth of human mature T-lymphocytes in liquid suspension culture was developed in our laboratory about 5 years ago. This system involves the continuous use of a factor, termed T-cell growth factor (TCGF) for the propagation of T-lymphocytes previously activated by lectin (PHA or Con A) or by antigen. Normal human T cells do not respond to TCGF unless they are first activated to become blast cells by antigen or lectin, presumably because they do not contain TCGF receptors until activated. We think then that TCGF is the physiological growth promoter in the immune response of T-lymphocytes, acting as the second signal (after antigen) in the immune response. These T cells show functional features, e.g., cytotoxic or helper function and other evidence of maturity. By using purified TCGF free of PHA and of lymphokines other than TCGF, we have recently been able to grow routinely neoplastic T cells from patients with leukemias and lymphomas of mature T cells, e.g., from patients with the Sezary syndrome and those with mycosis fungoides (cutaneous T-cell leukemias and lymphomas). Of considerable interest, the neoplastic T cells respond directly to TCGF; unlike normal T Cells they do not require prior in vitro activation with antigen or lectin. This indicates that transformed mature T cells already express TCGF receptors. This may be an important functional difference between normal and transformed human T cells. From some of these new cell lines we have recently isolated a new class of RNA tumor viruses (retroviruses), which we call HTLV. For several reasons we believe these are the first unambiguous isolates of RNA tumor viruses from humans. For instances, we now have data that these new viruses are easily distinguishable from all previously isolated viruses from animals. In addition, we have found antibodies in sera of some patients with these diseases specifically reactive with proteins of these viruses.","['Gallo, R C']",['Gallo RC'],['eng'],,['Journal Article'],United States,Blood Cells,Blood cells,7513567,"['0 (Interleukin-2)', '0 (Lymphokines)']",IM,"['Cells, Cultured', 'Humans', 'Interleukin-2/pharmacology', 'Leukemia/*microbiology/*pathology', 'Lymphocyte Activation', 'Lymphokines/pharmacology', 'RNA Viruses/*isolation & purification', 'T-Lymphocytes/immunology/*microbiology']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1981;7(2):313-29.,,,,
6975141,NLM,MEDLINE,19820109,20061115,0340-4684 (Print) 0340-4684 (Linking),7,2,1981,Incidence and phenotypic heterogeneity of Moloney virus-induced leukemias: a multigenic control.,301-11,"The incidence of leukemias was established in mice of different inbred strains inoculated with Moloney leukemia virus (M-MuLV), and a complex genetic control was found. To characterize the different steps of the host-virus relationship further, the degree of viremia, the appearance of leukemia, organ involvement, and the surface phenotype of leukemic cells were studied in individual mice. The results demonstrate that: a) The viremia was controlled by H-2 and non-H-2 genes. Three H-2 genes located in the I and D or T region of the MHC behave like immune-response genes controlling the specific antiviral immune response. Other gene(s) mapped outside the complex also affected the virus production. Both sets of genes influenced leukemia incidence, since leukemias were observed only in highly viremic strains. b) Additional non-H-2 genes, which were not involved in viremia control, were determinants in the induction of malignancies because some sensitive strains do not become leukemic despite high levels of viremia. c) The anatomical type of Moloney virus-induced leukemias varied according to the non-H-2 background. Most of the leukemias arising in B10 congeneic mice involved the thymus and were frequently limited to this organ, whereas BALB mice preferentially developed splenic leukemias. d) In a given inbred strain, the leukemias arising in different animals frequently expressed different phenotypes. It can be concluded that Moloney virus-induced leukemia is a multistep process, viral production being necessary but not sufficient in and of itself to induce a malignant transformation.","['Debre, P', 'Gisselbrecht, S', 'Boyer, B', 'Levy, J P']","['Debre P', 'Gisselbrecht S', 'Boyer B', 'Levy JP']",['eng'],,"['Comparative Study', 'Journal Article']",United States,Blood Cells,Blood cells,7513567,['0 (H-2 Antigens)'],IM,"['Animals', 'H-2 Antigens/*genetics', 'Leukemia, Experimental/*genetics/immunology', 'Lymphocyte Activation', 'Mice', 'Mice, Inbred Strains/*genetics', 'Moloney murine leukemia virus', 'Phenotype', 'Species Specificity', 'T-Lymphocytes/immunology']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1981;7(2):301-11.,,,,
6975140,NLM,MEDLINE,19820109,20071115,0340-4684 (Print) 0340-4684 (Linking),7,2,1981,Immunological phenotypes of human leukemias of the B-cell lineage.,237-46,The recent results are summarized of some immunological studies of various human leukemias of the B-cell lineage. The study of pre-B leukemias has outlined the diversity of immunoglobulin expression in leukemic cells resembling B-lymphocyte precursors and has provided insights into the biology of the progenitors of hematopoietic cells. Acute leukemia with Burkitt cells represents a very homogeneous group close to classical Burkitt's lymphoma. Mitogens are able to induce in vitro differentiation of leukemic cells from chronic lymphocytic-B leukemia and from hairy cell leukemia. Hairy cells become able to express new phenotypic characteristics after stimulation by phytohemagglutinin.,"['Seligmann, M', 'Vogler, L B', ""Preud'Homme, J L"", 'Guglielmi, P', 'Brouet, J C']","['Seligmann M', 'Vogler LB', ""Preud'Homme JL"", 'Guglielmi P', 'Brouet JC']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood Cells,Blood cells,7513567,"['0 (Antibodies, Neoplasm)', '0 (Antigens, Surface)', '0 (Histocompatibility Antigens Class II)', '0 (Receptors, Immunologic)']",IM,"['Antibodies, Neoplasm/genetics', 'Antigens, Surface/*genetics', 'B-Lymphocytes/*immunology', 'Histocompatibility Antigens Class II/genetics', 'Humans', 'Leukemia, Hairy Cell/*genetics', 'Leukemia, Lymphoid/*genetics', 'Phenotype', 'Receptors, Immunologic/genetics']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1981;7(2):237-46.,,,,
6975137,NLM,MEDLINE,19820109,20210216,0006-4971 (Print) 0006-4971 (Linking),58,5,1981 Nov,Characterization of the phytohemagglutinin-induced proliferating lymphocyte subpopulations in chronic lymphocytic leukemia patients using a clonogenic agar technique and monoclonal antibodies.,1053-5,"Peripheral blood lymphocytes from normal donors and patients with chronic lymphocytic leukemia, B-cell type, were purified into T, helper T, and suppressor T lymphocytes by fluorescence-activated cell sorting using OKT3, OKT4, and OKT8 monoclonal antibodies. The maximum response of the purified subpopulations to stimulation by phytohemagglutinin (PHA) was determined by measuring the production of colonies when the stimulated cells were grown on agar. The helper T cells in normal and CLL patients were the most responsive to PHA stimulation, although the responsiveness of helper T cells to PHA was decreased in CLL. Purified CLL B cells responded minimally to PHA stimulation, but normal B lymphocytes did not. The abnormal response of CLL lymphocytes to PHA appears to be due abnormal helper T cells, and, to a smaller extent, to the ability of CLL B lymphocytes to respond.","['Davis, S']",['Davis S'],['eng'],,"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Antibodies, Monoclonal)', '0 (Phytohemagglutinins)', '9002-18-0 (Agar)']",IM,"['Agar', 'Aged', '*Antibodies, Monoclonal', 'Cell Membrane/immunology', 'Clone Cells', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Leukocyte Count', '*Lymphocyte Activation', 'Lymphocytes', 'Male', 'Middle Aged', 'Phenotype', 'Phytohemagglutinins/*pharmacology', 'T-Lymphocytes']",1981/11/01 00:00,1981/11/01 00:01,['1981/11/01 00:00'],"['1981/11/01 00:00 [pubmed]', '1981/11/01 00:01 [medline]', '1981/11/01 00:00 [entrez]']",['S0006-4971(20)84792-2 [pii]'],ppublish,Blood. 1981 Nov;58(5):1053-5.,,,,
6975136,NLM,MEDLINE,19820109,20210216,0006-4971 (Print) 0006-4971 (Linking),58,5,1981 Nov,"Effect of 2'-deoxycoformycin on erythroid, granulocytic, and T-lymphocyte colony growth.",1043-6,"The finding of elevated intracellular levels of adenosine deaminase (ADA) in some patients with acute lymphoblastic leukemia has led to attempts to control this disease with the adenosine deaminase inhibitor 2'-deoxycoformycin (dCF). Because of clinical reports indicating its relative freedom from myelotoxicity, we have tested the effects of this drug on erythroid, granulocytic, and T-lymphocyte colony formation by normal marrow and peripheral blood cells. While clinically the drug has been found to be active at serum concentrations of approximately 10 microM, we have tested it at concentrations up to and including 1 mM. It was found that both erythroid and granulocytic colony growth was completely unaffected by 1 mM dCF, a concentration at least 2 magnitudes higher than that necessary to totally ablate intracellular ADA levels. T-lymphocyte colony growth was unaffected by 100 microM dCF, but at 1 mM some inhibition was observed. These findings therefore indicate that dCF, while able to cause leukemic cell lysis in vivo, has no inhibitory effect on the proliferative capacity of normal hematopoietic cells.","['Aye, M T', 'Dunne, J V']","['Aye MT', 'Dunne JV']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Adenosine Deaminase Inhibitors)', '0 (Growth Inhibitors)', '0 (Phytohemagglutinins)', '0 (Ribonucleosides)', '11033-22-0 (Coformycin)', '395575MZO7 (Pentostatin)', '59262-86-1 (9-(2-hydroxy-3-nonyl)adenine)', 'JAC85A2161 (Adenine)']",IM,"['Adenine/analogs & derivatives/pharmacology', 'Adenosine Deaminase Inhibitors', 'Coformycin/analogs & derivatives/*pharmacology', '*Colony-Forming Units Assay', 'Dose-Response Relationship, Drug', 'Erythrocytes/cytology', 'Granulocytes/cytology', 'Growth Inhibitors/pharmacology', 'Humans', 'Pentostatin', 'Phytohemagglutinins/pharmacology', 'Ribonucleosides/*pharmacology', 'T-Lymphocytes/cytology']",1981/11/01 00:00,1981/11/01 00:01,['1981/11/01 00:00'],"['1981/11/01 00:00 [pubmed]', '1981/11/01 00:01 [medline]', '1981/11/01 00:00 [entrez]']",['S0006-4971(20)84789-2 [pii]'],ppublish,Blood. 1981 Nov;58(5):1043-6.,,,,
6975117,NLM,MEDLINE,19820120,20190704,0007-1048 (Print) 0007-1048 (Linking),49,2,1981 Oct,Histone variant composition of normal and leukaemic human lymphocytes: analysis by gel electrophoresis of whole cells and nuclei.,275-82,"The histone variant composition of normal and leukaemic lymphocytes was analysed using a method which circumvented endogenous cellular proteolysis. Whole cells were solubilized in buffer containing protamine which released the histones from the DNA and allowed their immediate analysis by Triton X-100-acetic acid-urea gel electrophoresis. The results were comparable to those obtained with histones which had been acid-extracted from cells, nuclei or chromatin; however, the new method was more reproducible since proteolysis was controlled. By histone variant analysis, chronic lymphocytic leukaemia patients could be separated into two groups. One group had lymphocytes with a histone H2a variant ratio of about 1.0; this finding resembled lymphocytes (75-85% T cells) from normal individuals. The larger group had lymphocytes with a reproducibly lower histone H2a variant ratio; these cells had a relative increase in the second variant, H2a.2. The groups of patients could not be distinguished by clinical disease state. No other differences were noted in the histone variant composition of lymphocytes from normal and leukaemic individuals.","['Froussard, P', 'Tempelis, L D', 'Levy, S B']","['Froussard P', 'Tempelis LD', 'Levy SB']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,['0 (Histones)'],IM,"['Adult', 'Aged', 'B-Lymphocytes/analysis', 'Cell Nucleus/analysis', 'Electrophoresis, Polyacrylamide Gel', 'Female', 'Histones/*blood/classification', 'Humans', 'Leukemia, Lymphoid/*blood', 'Lymphocytes/*analysis', 'Male', 'Middle Aged']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",['10.1111/j.1365-2141.1981.tb07224.x [doi]'],ppublish,Br J Haematol. 1981 Oct;49(2):275-82. doi: 10.1111/j.1365-2141.1981.tb07224.x.,,,,
6975116,NLM,MEDLINE,19820120,20190704,0007-1048 (Print) 0007-1048 (Linking),49,2,1981 Oct,Circulating immune complexes in human acute leukaemia.,269-74,"Circulating immune complexes (CIC) in the sera of 60 newly diagnosed leukaemic patients were investigated by two methods, 125I-C1q binding test (C1q-BA) and conglutinin binding assay (KgB-SP). Positivity percentages were respectively 20.0% (C1q-BA) and 28.3% (KgB-SP). The small overlap between the results of the two methods suggests the occurrence of different types of CIC. The presence of CIC was found to be related only to clinical haemorrhage and thrombocytopenia; it did not prove to affect the prognosis and the survival of leukaemic patient.","['Balestrieri, G', 'Tincani, A', 'Cattaneo, R', 'Rossi, G', 'Verzura, P', 'Marini, G', 'Calculli, G', 'Ferremi, P', 'Marinone, G']","['Balestrieri G', 'Tincani A', 'Cattaneo R', 'Rossi G', 'Verzura P', 'Marini G', 'Calculli G', 'Ferremi P', 'Marinone G']",['eng'],,['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['0 (Antigen-Antibody Complex)', '80295-33-6 (Complement C1q)', 'EC 3.- (Complement Activating Enzymes)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Antigen-Antibody Complex/*analysis', 'Child', 'Child, Preschool', 'Complement Activating Enzymes', 'Complement C1q', 'Complement Fixation Tests', 'Humans', 'Leukemia/*immunology', 'Middle Aged']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",['10.1111/j.1365-2141.1981.tb07223.x [doi]'],ppublish,Br J Haematol. 1981 Oct;49(2):269-74. doi: 10.1111/j.1365-2141.1981.tb07223.x.,,,,
6975115,NLM,MEDLINE,19820120,20190704,0007-1048 (Print) 0007-1048 (Linking),49,2,1981 Oct,Sensitivity of acute myeloid leukaemia cells to colony stimulating activity: relation to response to chemotherapy.,259-67,"Agar cultures of acute myeloid leukaemia (AML) cells were used to determine the sensitivity of AML clone forming cells to the specific regulator granulocyte-macrophage colony stimulating activity (CSA). The mean CSA threshold (amount of CSA required to stimulate 0.5 of the clone forming cells) of 27 different AML cell samples varied from normal to an approximately nine-fold increase in CSA requirement. The degree of sensitivity to CSA at presentation was found to be closely correlated to the response to induction chemotherapy in 15 patients. There was a highly significant correlation (P less than 0.001) between the mean CSA threshold and the number of courses of chemotherapy required to induce remission. Also, an increased mean CSA threshold at presentation was associated with a significantly slower decline of marrow blasts following the first course of chemotherapy and a reduced remission rate. Sensitivity to CSA was closely related to the clone size achieved in maximally stimulated cultures of AML cells and this in turn also related to the remission rate and ease with which remission was achieved (presentation marrows, 39 patients). Possible reasons for the linking of these two functional properties of AML cells and their relation to response to chemotherapy will be discussed.","['Francis, G E', 'Tuma, G A', 'Berney, J J', 'Hoffbrand, A V']","['Francis GE', 'Tuma GA', 'Berney JJ', 'Hoffbrand AV']",['eng'],,['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,['0 (Colony-Stimulating Factors)'],IM,"['Adolescent', 'Adult', 'Aged', 'Bone Marrow/pathology', 'Cells, Cultured', 'Clone Cells', 'Colony-Forming Units Assay', 'Colony-Stimulating Factors/*pharmacology', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy/*pathology', 'Male', 'Middle Aged']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",['10.1111/j.1365-2141.1981.tb07222.x [doi]'],ppublish,Br J Haematol. 1981 Oct;49(2):259-67. doi: 10.1111/j.1365-2141.1981.tb07222.x.,,,,
6975114,NLM,MEDLINE,19820120,20190704,0007-1048 (Print) 0007-1048 (Linking),49,2,1981 Oct,Long-term abnormalities in T and B lymphocyte function in children following treatment for acute lymphoblastic leukaemia.,251-8,"T and B lymphocyte function as assessed by pokeweed mitogen stimulation and concanavalin A suppression was studied in 40 children with acute lymphoblastic leukaemia who were in remission and off all treatment. Both plasma cell and immunoglobulin production was reduced in off-treatment patients, particularly in those who had received cyclophosphamide as part of their treatment. The ability to suppress immunoglobulin production was also significantly reduced in these patients. These abnormalities were long-standing and were apparent up to 5 years after stopping treatment with no indication of a return to normality. No clinical correlations have been observed.","['Layward, L', 'Levinsky, R J', 'Butler, M']","['Layward L', 'Levinsky RJ', 'Butler M']",['eng'],,['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['0 (Immunoglobulins)', '0 (Pokeweed Mitogens)', '11028-71-0 (Concanavalin A)']",IM,"['Adolescent', 'Adult', 'B-Lymphocytes/*immunology', 'Child', 'Child, Preschool', 'Concanavalin A/pharmacology', 'Humans', 'Immunoglobulins/biosynthesis', 'Leukemia, Lymphoid/drug therapy/*immunology/radiotherapy', 'Lymphocyte Activation', 'Pokeweed Mitogens/pharmacology', 'T-Lymphocytes/*immunology']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",['10.1111/j.1365-2141.1981.tb07221.x [doi]'],ppublish,Br J Haematol. 1981 Oct;49(2):251-8. doi: 10.1111/j.1365-2141.1981.tb07221.x.,,,,
6975083,NLM,MEDLINE,19811215,20080317,0003-987X (Print) 0003-987X (Linking),117,9,1981 Sep,Cowden's disease associated with immunodeficiency.,573-5,,"['Ruschak, P J', 'Kauh, Y C', 'Luscombe, H A']","['Ruschak PJ', 'Kauh YC', 'Luscombe HA']",['eng'],,"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Arch Dermatol,Archives of dermatology,0372433,['0 (Immunoglobulins)'],IM,"['Abnormalities, Multiple/*complications', 'B-Lymphocytes/immunology', 'Humans', 'Immunoglobulins/analysis', 'Immunologic Deficiency Syndromes/*complications', 'Leukemia, Myeloid, Acute/complications', 'Lymphocyte Activation', 'Male', 'Middle Aged', 'Rosette Formation', 'Syndrome', 'T-Lymphocytes/immunology']",1981/09/01 00:00,1981/09/01 00:01,['1981/09/01 00:00'],"['1981/09/01 00:00 [pubmed]', '1981/09/01 00:01 [medline]', '1981/09/01 00:00 [entrez]']",,ppublish,Arch Dermatol. 1981 Sep;117(9):573-5.,,,,
