PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,PMC,AB
4525505,NLM,MEDLINE,19740828,20210216,0006-4971 (Print) 0006-4971 (Linking),44,1,1974 Jul,Agar culture studies in 127 cases of untreated acute leukemia: the prognostic value of reclassification of leukemia according to in vitro growth characteristics.,1-18,"['Moore, M A', 'Spitzer, G', 'Williams, N', 'Metcalf, D', 'Buckley, J']","['Moore MA', 'Spitzer G', 'Williams N', 'Metcalf D', 'Buckley J']",['eng'],['Journal Article'],,United States,Blood,Blood,7603509,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Age Factors', 'Aged', 'Bone Marrow/pathology', 'Bone Marrow Cells', 'Cell Division', 'Cells, Cultured', 'Child', 'Clone Cells', 'Cytarabine/therapeutic use', 'Daunorubicin/therapeutic use', 'Densitometry', 'Drug Therapy, Combination', 'Humans', 'Leukemia/blood/classification/*diagnosis/drug therapy/pathology', 'Leukemia, Erythroblastic, Acute/diagnosis', 'Leukemia, Monocytic, Acute/diagnosis', 'Leukemia, Myeloid, Acute/diagnosis', 'Middle Aged', 'Prognosis', 'Remission, Spontaneous', 'Vincristine/therapeutic use']",1974/07/01 00:00,1974/07/01 00:01,['1974/07/01 00:00'],"['1974/07/01 00:00 [pubmed]', '1974/07/01 00:01 [medline]', '1974/07/01 00:00 [entrez]']",ppublish,Blood. 1974 Jul;44(1):1-18.,['S0006-4971(20)74238-2 [pii]'],,
4525501,NLM,MEDLINE,19740830,20131121,0036-4355 (Print) 0036-4355 (Linking),18,4,1973,[Results obtained in children with acute lymphoblastic leukemia in a period of 10 years with the combination of polychemotherapy and radiotherapy of the central nervous system].,449-54,"['Aur, R J', 'Hustu, H O', 'Verzosa, M S', 'Simone, J V', 'Pinkel, D']","['Aur RJ', 'Hustu HO', 'Verzosa MS', 'Simone JV', 'Pinkel D']",['spa'],['Journal Article'],Resultados obtenidos en ninos con leucemia linfoblastica aguda en un periodo de diez annos con la combinacion de poliquimioterapia y radioterapia del sistema nervioso central,Spain,Sangre (Barc),Sangre,0404373,['YL5FZ2Y5U1 (Methotrexate)'],IM,"['Acute Disease', 'Adolescent', 'Brain/radiation effects', 'Brain Neoplasms/*prevention & control/radiotherapy', 'Child', 'Child, Preschool', 'Evaluation Studies as Topic', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/radiotherapy/*therapy', 'Male', 'Methotrexate/administration & dosage/*therapeutic use', 'Radiotherapy Dosage', 'Spinal Cord/radiation effects', 'Spinal Cord Neoplasms/*prevention & control/radiotherapy']",1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",ppublish,Sangre (Barc). 1973;18(4):449-54.,,,
4525489,NLM,MEDLINE,19740823,20170306,,51,6,1974 Jun,[Studies on serum and urinary lysozyme].,591-7,"['Hankiewicz, J', 'Swierczek, E']","['Hankiewicz J', 'Swierczek E']",['pol'],['Journal Article'],Wyniki wlasnych badan lizozymu w surowicy krwi i w moczu,Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,['EC 3.2.1.17 (Muramidase)'],IM,"['Adolescent', 'Adult', 'Child', '*Clinical Enzyme Tests', 'Female', 'Hodgkin Disease/*diagnosis/enzymology', 'Humans', 'Kidney Diseases/*diagnosis/enzymology', 'Leukemia, Myeloid/*diagnosis/enzymology', 'Male', 'Muramidase/blood/*metabolism/urine']",1974/06/01 00:00,1974/06/01 00:01,['1974/06/01 00:00'],"['1974/06/01 00:00 [pubmed]', '1974/06/01 00:01 [medline]', '1974/06/01 00:00 [entrez]']",ppublish,Pol Arch Med Wewn. 1974 Jun;51(6):591-7.,,,
4525459,NLM,MEDLINE,19740823,20190501,0027-8424 (Print) 0027-8424 (Linking),71,5,1974 May,The presence of unique DNA sequences after viral induction of leukemia in mice. (RNA tumor virus-nucleic acid hybridization-insertion of viral DNA).,1705-9,"['Sweet, R W', 'Goodman, N C', 'Cho, J R', 'Ruprecht, R M', 'Redfield, R R', 'Spiegelman, S']","['Sweet RW', 'Goodman NC', 'Cho JR', 'Ruprecht RM', 'Redfield RR', 'Spiegelman S']",['eng'],"['Comparative Study', 'Journal Article']",,United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (DNA, Neoplasm)', '0 (DNA, Viral)', '0 (RNA, Viral)', '10028-17-8 (Tritium)']",IM,"['Animals', 'Base Sequence', 'Chemical Phenomena', 'Chemistry', '*DNA, Neoplasm', 'DNA, Viral', 'Hot Temperature', 'Kinetics', 'Leukemia, Experimental/*metabolism', 'Mice', 'Mice, Inbred AKR', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Mice, Inbred Strains', 'Nucleic Acid Hybridization', 'RNA, Viral', '*Rauscher Virus', 'Species Specificity', 'Spleen/*metabolism', 'Tritium']",1974/05/01 00:00,1974/05/01 00:01,['1974/05/01 00:00'],"['1974/05/01 00:00 [pubmed]', '1974/05/01 00:01 [medline]', '1974/05/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1974 May;71(5):1705-9. doi: 10.1073/pnas.71.5.1705.,['10.1073/pnas.71.5.1705 [doi]'],PMC388307,"From previous studies, lymphocyte DNA from human leukemias and DNA from involved tissues of patients with Hodgkin's disease or Burkitt's lymphoma contain sequences that are absent from their normal counterparts. These sequences are related to those found in particulate elements associated with these neoplasias and possessing biochemical properties characteristic of RNA tumor viruses. Similar observations have been made of unique sequences related to those of the feline virus RD-114 and found in spontaneous mastocytomas in cats. Here we extend these results to the classical murine model of virus-induced leukemias. Splenic DNA from BALB/c mice with leukemia induced by Rauscher leukemia virus (RLV) possess some RLV-related sequences that do not exist in normal BALB/c DNA. Furthermore, these leukemia-specific sequences were absent in all other mouse strains examined, including AKR, a strain with a high incidence of spontaneous leukemia. The DNA of all noninfected mouse strains possesses considerable homology with the RLV genome. Temperature denaturation studies indicate, however, that although the RLV-related sequences found in all normal mice are similar to each other, they are not exactly homologous with RLV sequences. We conclude that RLV-induced leukemia in BALB/c results in the insertion of RLV sequences into cellular DNA that itself possesses only partial homology with the RLV genome."
4525449,NLM,MEDLINE,19740823,20081121,0301-1518 (Print) 0301-1518 (Linking),3,19,1974 May 11,"[Letter: Tricholeukocytic leukemia, splenectomy and drug therapy].",1234,"['Liaudet, J', 'Fondimare, A', 'Schandelong, A']","['Liaudet J', 'Fondimare A', 'Schandelong A']",['fre'],"['Case Reports', 'Journal Article']","Leucemie a tricholeucocytes, splenectomie et chimiotherapie",France,Nouv Presse Med,La Nouvelle presse medicale,0312552,,IM,"['Adult', 'Blood Cell Count', 'Bone Marrow/pathology', 'Drug Therapy', 'Humans', 'Leukemia, Myeloid/*diagnosis/therapy', 'Leukocytes/cytology', 'Lymphatic Diseases/*diagnosis/therapy', 'Male', 'Myelography', 'Spleen/pathology', 'Splenectomy']",1974/05/11 00:00,1974/05/11 00:01,['1974/05/11 00:00'],"['1974/05/11 00:00 [pubmed]', '1974/05/11 00:01 [medline]', '1974/05/11 00:00 [entrez]']",ppublish,Nouv Presse Med. 1974 May 11;3(19):1234.,,,
4525441,NLM,MEDLINE,19740828,20191210,0002-9173 (Print) 0002-9173 (Linking),62,1,1974 Jul,Neutralization in vivo of Lewis antibodies. Report of two cases.,47-51,"['Andorka, D W', 'Arosemena, A', 'Harris, J L']","['Andorka DW', 'Arosemena A', 'Harris JL']",['eng'],['Journal Article'],,England,Am J Clin Pathol,American journal of clinical pathology,0370470,"['0 (Lewis Blood Group Antigens)', '04079A1RDZ (Cytarabine)']",IM,"['Acute Disease', 'Aged', '*Antigen-Antibody Reactions', 'Blood Group Incompatibility/complications/*therapy', 'Coombs Test', 'Cytarabine/therapeutic use', 'Hematocrit', 'Humans', 'Leukemia, Myeloid/drug therapy/therapy', '*Lewis Blood Group Antigens', 'Male', 'Middle Aged', 'Stomach Neoplasms/complications/immunology', '*Transfusion Reaction']",1974/07/01 00:00,1974/07/01 00:01,['1974/07/01 00:00'],"['1974/07/01 00:00 [pubmed]', '1974/07/01 00:01 [medline]', '1974/07/01 00:00 [entrez]']",ppublish,Am J Clin Pathol. 1974 Jul;62(1):47-51. doi: 10.1093/ajcp/62.1.47.,['10.1093/ajcp/62.1.47 [doi]'],,
4525431,NLM,MEDLINE,19740827,20190704,0007-1048 (Print) 0007-1048 (Linking),25,1,1973 Jul,Perturbation of generation cycle of human leukaemic lymphoblasts in vivo by L-asparaginase.,33-44,"['Ernst, P']",['Ernst P'],['eng'],['Journal Article'],,England,Br J Haematol,British journal of haematology,0372544,"['0 (DNA, Neoplasm)', '10028-17-8 (Tritium)', 'EC 3.5.1.1 (Asparaginase)', 'VC2W18DGKR (Thymidine)']",IM,"['Acute Disease', 'Asparaginase/pharmacology/*therapeutic use', 'Autoradiography', 'Bone Marrow/*drug effects/metabolism', '*Bone Marrow Cells', 'DNA, Neoplasm/biosynthesis', 'Depression, Chemical', 'Humans', 'Kinetics', 'Leukemia, Lymphoid/*drug therapy', 'Leukocyte Count', 'Lymphocytes/*drug effects/metabolism', 'Male', 'Methods', 'Middle Aged', 'Mitosis/*drug effects', 'Spectrophotometry', 'Thymidine/metabolism', 'Tritium']",1973/07/01 00:00,1973/07/01 00:01,['1973/07/01 00:00'],"['1973/07/01 00:00 [pubmed]', '1973/07/01 00:01 [medline]', '1973/07/01 00:00 [entrez]']",ppublish,Br J Haematol. 1973 Jul;25(1):33-44. doi: 10.1111/j.1365-2141.1973.tb01713.x.,['10.1111/j.1365-2141.1973.tb01713.x [doi]'],,
4525424,NLM,MEDLINE,19740822,20190511,0027-8874 (Print) 0027-8874 (Linking),52,6,1974 Jun,Identification of Ph1 chromosome and associated translocation in chronic myelogenous leukemia by Hoechst 33258.,1935-8,"['Raposa, T', 'Natarajan, A T', 'Granberg, I']","['Raposa T', 'Natarajan AT', 'Granberg I']",['eng'],['Journal Article'],,United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Benzimidazoles)', '0 (Fluorescent Dyes)']",IM,"['*Benzimidazoles', '*Chromosome Aberrations', 'Chromosomes, Human, 1-3', 'Chromosomes, Human, 16-18', 'Chromosomes, Human, 21-22 and Y', 'Chromosomes, Human, 6-12 and X', 'Female', '*Fluorescent Dyes', 'Humans', '*Karyotyping', 'Leukemia, Myeloid/*genetics', 'Male', 'Microscopy, Fluorescence']",1974/06/01 00:00,1974/06/01 00:01,['1974/06/01 00:00'],"['1974/06/01 00:00 [pubmed]', '1974/06/01 00:01 [medline]', '1974/06/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1974 Jun;52(6):1935-8. doi: 10.1093/jnci/52.6.1935.,['10.1093/jnci/52.6.1935 [doi]'],,
4525423,NLM,MEDLINE,19740903,20190617,0028-0836 (Print) 0028-0836 (Linking),249,459,1974 Jun 21,"New unstable haemoglobin (Hb Moscva, beta24 (B4) Gly leads to Asp) found in the USSR.",768-70,"['Idelson, L I', 'Didkowsky, N A', 'Casey, R', 'Lorkin, P A', 'Lehmann, H']","['Idelson LI', 'Didkowsky NA', 'Casey R', 'Lorkin PA', 'Lehmann H']",['eng'],['Journal Article'],,England,Nature,Nature,0410462,"['0 (Hemoglobins, Abnormal)']",IM,"['Amino Acid Sequence', 'Electrophoresis, Paper', 'Electrophoresis, Starch Gel', 'Female', 'Hemoglobins, Abnormal/analysis/*isolation & purification', 'Humans', 'Leukemia, Myeloid/*blood', 'Moscow']",1974/06/21 00:00,1974/06/21 00:01,['1974/06/21 00:00'],"['1974/06/21 00:00 [pubmed]', '1974/06/21 00:01 [medline]', '1974/06/21 00:00 [entrez]']",ppublish,Nature. 1974 Jun 21;249(459):768-70. doi: 10.1038/249768a0.,['10.1038/249768a0 [doi]'],,
4525415,NLM,MEDLINE,19740823,20190501,0007-1447 (Print) 0007-1447 (Linking),2,5919,1974 Jun 15,Letter: Late onset of C.N.S. leukaemia.,613,"['Chessells, J M', 'Hardisty, R M']","['Chessells JM', 'Hardisty RM']",['eng'],['Journal Article'],,England,Br Med J,British medical journal,0372673,,IM,"['Central Nervous System Diseases/*diagnosis', 'Humans', 'Leukemia, Lymphoid/*diagnosis', 'Prognosis', 'Time Factors']",1974/06/15 00:00,1974/06/15 00:01,['1974/06/15 00:00'],"['1974/06/15 00:00 [pubmed]', '1974/06/15 00:01 [medline]', '1974/06/15 00:00 [entrez]']",ppublish,Br Med J. 1974 Jun 15;2(5919):613. doi: 10.1136/bmj.2.5919.613.,['10.1136/bmj.2.5919.613 [doi]'],PMC1610741,
4525414,NLM,MEDLINE,19740823,20041117,0028-4793 (Print) 0028-4793 (Linking),291,3,1974 Jul 18,"Letter: Philadelphia chromosome (Ph1) translocation in an apparently Ph1 negative, minus G22, case of chronic myeloid leukemia.",154,"['Engel, E', 'McGee, B J', 'Flexner, J M', 'Russell, M T', 'Myers, B J']","['Engel E', 'McGee BJ', 'Flexner JM', 'Russell MT', 'Myers BJ']",['eng'],['Journal Article'],,United States,N Engl J Med,The New England journal of medicine,0255562,,IM,"['*Chromosome Aberrations', 'Chromosomes, Human, 16-18', '*Chromosomes, Human, 21-22 and Y', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Male']",1974/07/18 00:00,1974/07/18 00:01,['1974/07/18 00:00'],"['1974/07/18 00:00 [pubmed]', '1974/07/18 00:01 [medline]', '1974/07/18 00:00 [entrez]']",ppublish,N Engl J Med. 1974 Jul 18;291(3):154. doi: 10.1056/NEJM197407182910313.,['10.1056/NEJM197407182910313 [doi]'],,
4525400,NLM,MEDLINE,19740819,20071115,0001-5814 (Print) 0001-5814 (Linking),5,2,1974 Apr-Jun,[Muramidase (lysozyme) in differential diagnosis of acute leukemia].,119-25,"['Burchardt, K', 'Wysocki, H', 'Wierusz, B', 'Prazmowska, B']","['Burchardt K', 'Wysocki H', 'Wierusz B', 'Prazmowska B']",['pol'],"['English Abstract', 'Journal Article']",Muramidaza (lizozym) w diagnostyce roznicowej ostrych bialaczek,Poland,Acta Haematol Pol,Acta haematologica Polonica,0262610,['EC 3.2.1.17 (Muramidase)'],IM,"['Acute Disease', '*Clinical Enzyme Tests', 'Diagnosis, Differential', 'Humans', 'Leukemia/blood/*diagnosis/enzymology/urine', 'Leukemia, Lymphoid/diagnosis', 'Leukemia, Monocytic, Acute/diagnosis', 'Leukemia, Myeloid/diagnosis', 'Leukemia, Myeloid, Acute/diagnosis', 'Muramidase/blood/*metabolism/urine', 'Remission, Spontaneous']",1974/04/01 00:00,1974/04/01 00:01,['1974/04/01 00:00'],"['1974/04/01 00:00 [pubmed]', '1974/04/01 00:01 [medline]', '1974/04/01 00:00 [entrez]']",ppublish,Acta Haematol Pol. 1974 Apr-Jun;5(2):119-25.,,,
4525397,NLM,MEDLINE,19740827,20131121,0003-410X (Print) 0003-410X (Linking),124,11,1973 Nov,[Acute kidney failure in acute leukemia].,793-7,"['Arfi, S', 'Baglin, A', 'Alterescu, R', 'Goguel, A', 'Fendler, J P', 'Fritel, D']","['Arfi S', 'Baglin A', 'Alterescu R', 'Goguel A', 'Fendler JP', 'Fritel D']",['fre'],['Journal Article'],Les insuffisances renales aigues des leucemies aigues,France,Ann Med Interne (Paris),Annales de medecine interne,0171744,"['268B43MJ25 (Uric Acid)', '7LXU5N7ZO5 (Furosemide)', '8W8T17847W (Urea)']",IM,"['Acute Kidney Injury/*complications/diagnosis/drug therapy/therapy', 'Adult', 'Aged', 'Blood Cell Count', 'Female', 'Furosemide/therapeutic use', 'Humans', 'Leukemia/diagnosis', 'Leukemia, Lymphoid/*complications', 'Leukemia, Monocytic, Acute/*complications', 'Leukemia, Myeloid, Acute/*complications', 'Male', 'Middle Aged', 'Peritoneal Dialysis', 'Prognosis', 'Urea/blood', 'Uric Acid/blood']",1973/11/01 00:00,1973/11/01 00:01,['1973/11/01 00:00'],"['1973/11/01 00:00 [pubmed]', '1973/11/01 00:01 [medline]', '1973/11/01 00:00 [entrez]']",ppublish,Ann Med Interne (Paris). 1973 Nov;124(11):793-7.,,,
4525322,NLM,MEDLINE,19740823,20190501,0027-8424 (Print) 0027-8424 (Linking),71,5,1974 May,Increase of cholesterol level in the surface membrane of lymphoma cells and its inhibitory effect on ascites tumor development.,2128-30,"['Inbar, M', 'Shinitzky, M']","['Inbar M', 'Shinitzky M']",['eng'],['Journal Article'],,United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Phosphatidylcholines)', '97C5T2UQ7J (Cholesterol)']",IM,"['Animals', 'Cell Membrane', 'Cholesterol/*therapeutic use', 'Lymphoma/*drug therapy', 'Mice', 'Moloney murine leukemia virus', 'Neoplasm Transplantation', 'Phosphatidylcholines/*therapeutic use']",1974/05/01 00:00,1974/05/01 00:01,['1974/05/01 00:00'],"['1974/05/01 00:00 [pubmed]', '1974/05/01 00:01 [medline]', '1974/05/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1974 May;71(5):2128-30. doi: 10.1073/pnas.71.5.2128.,['10.1073/pnas.71.5.2128 [doi]'],PMC388400,"An ascites form of malignant transformed lymphoma cells were treated in vitro with liposomes of 1:1 lecithin-cholesterol in order to increase the cholesterol level of the cell-surface membranes and thereby to increase the rigidity of the lipid layer. This treatment was found to inhibit the rate of killing by ascites tumor after intraperitoneal inoculation into adult mice of 10(4) and 10(5) treated cells per animal. With 10(3) treated cells per animal, full survival was observed up to 90 days after inoculation, whereas with the same number of untreated cells all infected mice died within 30 days after inoculation. An analogous treatment of the malignant lymphoma cells with liposomes of pure lecithin did not result in any appreciable inhibitory effect on the ascites tumor development in vivo, as initiated by inoculation of 10(5), 10(4), or 10(3) cells per animal."
4525312,NLM,MEDLINE,19740823,20190501,0027-8424 (Print) 0027-8424 (Linking),71,5,1974 May,Facts and theories on viruses causing cancer and leukemia.,2013-7,"['Gross, L']",['Gross L'],['eng'],['Journal Article'],,United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,,IM,"['Neoplasms/*microbiology', '*Oncogenic Viruses', '*Retroviridae']",1974/05/01 00:00,1974/05/01 00:01,['1974/05/01 00:00'],"['1974/05/01 00:00 [pubmed]', '1974/05/01 00:01 [medline]', '1974/05/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1974 May;71(5):2013-7. doi: 10.1073/pnas.71.5.2013.,['10.1073/pnas.71.5.2013 [doi]'],PMC388375,"It is possible to explain the familial incidence of cancer developing in several members of the same family tree, within the same as well as in successive generations, by an assumption that tumors and leukemia are caused by oncogenic viruses transmitted in a latent form from one generation to another in many animal species, presumably also in man. The term ""vertical transmission"" was coined to describe this form of transmission of pathogenic agents. In most instances the oncogenic viruses are invisible and harmless to their carrier hosts. Occasionally, however, under the influence of endogenous or exogenous inducing factors, these viruses become activated and cause cancer or leukemia. According to this concept, the law of obligate communicability established for all common infectious agents applies also to oncogenic viruses: each tumor or leukemia can be traced to another similar tumor which developed in one of the preceding generations as a result of ""vertical"" passage of the same oncogenic virus. This concept postulates that at one time, perhaps centuries ago, these viruses entered from outside the animal hosts and that, since then, they have been transmitted from one generation to another. The theory of vertical transmission of latent oncogenic viruses is consistent with experimental and clinical observations made during the preceding two decades. We consider this concept to be a logical and most promising approach to the problem of viral etiology of neoplastic diseases."
4525297,NLM,MEDLINE,19740823,20190501,0027-8424 (Print) 0027-8424 (Linking),71,5,1974 May,Stimulation of mitogenesis in normal and leukemic human lymphocytes by divalent and tetravalent lima bean lectins.,1848-51,"['Ruddon, R W', 'Weisenthal, L M', 'Lundeen, D E', 'Bessler, W', 'Goldstein, I J']","['Ruddon RW', 'Weisenthal LM', 'Lundeen DE', 'Bessler W', 'Goldstein IJ']",['eng'],"['Comparative Study', 'Journal Article']",,United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (DNA, Neoplasm)', '0 (Lectins)', '10028-17-8 (Tritium)', '9007-49-2 (DNA)', 'VC2W18DGKR (Thymidine)']",IM,"['Cells, Cultured', 'Chemical Phenomena', 'Chemistry', 'DNA/biosynthesis', 'DNA, Neoplasm/*biosynthesis', 'Dose-Response Relationship, Drug', 'Humans', 'Kinetics', 'Lectins/*pharmacology', 'Leukemia, Lymphoid/*metabolism', 'Lymphocytes/*metabolism', 'Male', 'Stimulation, Chemical', 'Thymidine/metabolism', 'Tritium']",1974/05/01 00:00,1974/05/01 00:01,['1974/05/01 00:00'],"['1974/05/01 00:00 [pubmed]', '1974/05/01 00:01 [medline]', '1974/05/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1974 May;71(5):1848-51. doi: 10.1073/pnas.71.5.1848.,['10.1073/pnas.71.5.1848 [doi]'],PMC388339,"Two hemagglutinating components purified from the lima bean and composed of identical 62,000-molecular-weight subunits have mitogenic activity in normal and leukemic human lymphocyte cultures. Component II (247,000 molecular weight), a tetramer with four saccharide binding sites, is severalfold more active than component III (124,000 molecular weight), a dimer with two binding sites per molecule, as a mitogen for normal lymphocytes. Component II also stimulates mitogenesis in populations of cultured leukemic lymphocytes and appears to have greater activity than phytohemagglutinin-P in leukemic lymphocyte cultures obtained from some patients. Lima bean component III has minimal mitogenic activity toward leukemic lymphocytes. Components II and III appear to compete for the same cell-surface binding sites, but component II has a much greater capacity than component III to trigger DNA synthesis at low concentrations (2.5-25 mug/ml) in normal lymphocyte cultures. These results suggest that the mitogenic activity of lima bean lectin components is directly related to their valence."
4525280,NLM,MEDLINE,19740830,20190702,0038-4348 (Print) 0038-4348 (Linking),67,7,1974 Jul,Vascular access by means of surgically created arteriovenous fistulas in the chemotherapy of acute leukemia: a preliminary report.,821-4,"['Steckler, R M', 'Martin, R G', 'Speer, J F', 'McCredie, K B']","['Steckler RM', 'Martin RG', 'Speer JF', 'McCredie KB']",['eng'],['Journal Article'],,United States,South Med J,Southern medical journal,0404522,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/*administration & dosage/therapeutic use', '*Arteriovenous Shunt, Surgical', 'Forearm/blood supply', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Leukemia, Myeloid, Acute/*drug therapy', 'Methods']",1974/07/01 00:00,1974/07/01 00:01,['1974/07/01 00:00'],"['1974/07/01 00:00 [pubmed]', '1974/07/01 00:01 [medline]', '1974/07/01 00:00 [entrez]']",ppublish,South Med J. 1974 Jul;67(7):821-4. doi: 10.1097/00007611-197407000-00018.,['10.1097/00007611-197407000-00018 [doi]'],,
4525264,NLM,MEDLINE,19740823,20131121,0004-5772 (Print) 0004-5772 (Linking),21,6,1973 Jun,Delayed toxic effect of busulfan on the marrow.,511-6,"['Ganda, O P', 'Mangalik, A']","['Ganda OP', 'Mangalik A']",['eng'],['Journal Article'],,India,J Assoc Physicians India,The Journal of the Association of Physicians of India,7505585,['G1LN9045DK (Busulfan)'],IM,"['Adult', 'Bone Marrow Diseases/*chemically induced', 'Busulfan/*adverse effects/therapeutic use', 'Female', 'Humans', 'Leukemia, Myeloid/drug therapy', 'Leukopenia/chemically induced', 'Male', 'Middle Aged', 'Thrombocytopenia/chemically induced']",1973/06/01 00:00,1973/06/01 00:01,['1973/06/01 00:00'],"['1973/06/01 00:00 [pubmed]', '1973/06/01 00:01 [medline]', '1973/06/01 00:00 [entrez]']",ppublish,J Assoc Physicians India. 1973 Jun;21(6):511-6.,,,
4525208,NLM,MEDLINE,19740816,20071115,0036-4355 (Print) 0036-4355 (Linking),19,1,1974,[Transfusion of granulocytes. Methodological aspects and personal experience in forty cases (author's transl)].,73-88,"['Ribas-Mundo, M', 'Granena, A', 'Vivancos Pujol, P', 'Castillo, C', 'Rozman, C']","['Ribas-Mundo M', 'Granena A', 'Vivancos Pujol P', 'Castillo C', 'Rozman C']",['spa'],"['English Abstract', 'Journal Article']",Transfusion de granulocitos. Aspectos metodologicos y experiencia personal encuarenta casos,Spain,Sangre (Barc),Sangre,0404373,,IM,"['Agranulocytosis/*therapy', 'Anemia, Aplastic/*therapy', '*Blood Transfusion', 'Cell Separation/instrumentation', 'Humans', 'Leukemia/therapy', 'Leukemia, Lymphoid/therapy', 'Leukemia, Myeloid/therapy', '*Leukocytes', 'Lupus Erythematosus, Systemic/therapy', 'Multiple Myeloma/therapy']",1974/01/01 00:00,1974/01/01 00:01,['1974/01/01 00:00'],"['1974/01/01 00:00 [pubmed]', '1974/01/01 00:01 [medline]', '1974/01/01 00:00 [entrez]']",ppublish,Sangre (Barc). 1974;19(1):73-88.,,,
4525207,NLM,MEDLINE,19740823,20081121,0301-1518 (Print) 0301-1518 (Linking),3,19,1974 May 11,[Letter: Tricholeukocytic leukemia].,1234,"['Theodorou-Touchais, A M', 'Dravet, J L', 'Souteyrand, P', 'Pierrat, M']","['Theodorou-Touchais AM', 'Dravet JL', 'Souteyrand P', 'Pierrat M']",['fre'],"['Case Reports', 'Journal Article']",Leucemie a tricholeucocytes,France,Nouv Presse Med,La Nouvelle presse medicale,0312552,,IM,"['Adult', 'Blood Cell Count', 'Bone Marrow/pathology', 'Humans', 'Leukemia, Myeloid/*diagnosis', 'Leukocytes/cytology', 'Lymphatic Diseases/*diagnosis', 'Lymphography', 'Male', 'Primary Myelofibrosis/etiology', 'Spleen/pathology', 'Splenic Rupture/etiology', 'Splenomegaly/etiology']",1974/05/11 00:00,1974/05/11 00:01,['1974/05/11 00:00'],"['1974/05/11 00:00 [pubmed]', '1974/05/11 00:01 [medline]', '1974/05/11 00:00 [entrez]']",ppublish,Nouv Presse Med. 1974 May 11;3(19):1234.,,,
4525104,NLM,MEDLINE,19740826,20190709,0022-2623 (Print) 0022-2623 (Linking),17,7,1974 Jul,Cysteine scavengers. 2. Synthetic alpha-methylenebutyrolactones as potential tumor inhibitors.,672-6,"['Rosowsky, A', 'Papathanasopoulos, N', 'Lazarus, H', 'Foley, G E', 'Modest, E J']","['Rosowsky A', 'Papathanasopoulos N', 'Lazarus H', 'Foley GE', 'Modest EJ']",['eng'],['Journal Article'],,United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Antineoplastic Agents)', '0 (Butyrates)', '0 (Lactones)', 'K848JZ4886 (Cysteine)']",IM,"['Antineoplastic Agents/*chemical synthesis/pharmacology', 'Butyrates/chemical synthesis/pharmacology', 'Carcinoma', 'Cell Line', 'Cysteine/*metabolism', 'Humans', 'Lactones/*chemical synthesis/pharmacology', 'Leukemia, Lymphoid/metabolism', 'Lymphocytes/metabolism', 'Mouth Neoplasms']",1974/07/01 00:00,1974/07/01 00:01,['1974/07/01 00:00'],"['1974/07/01 00:00 [pubmed]', '1974/07/01 00:01 [medline]', '1974/07/01 00:00 [entrez]']",ppublish,J Med Chem. 1974 Jul;17(7):672-6. doi: 10.1021/jm00253a003.,['10.1021/jm00253a003 [doi]'],,
