PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,CON,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,AD,CIN,GR,RF,SI,PMC,TT,CI,CN,MID,EIN,OID,OTO,OT,GN,LID
9369435,NLM,MEDLINE,19971209,20190914,0887-6924 (Print) 0887-6924 (Linking),11,11,1997 Nov,Multiplex PCR for simultaneous detection of the most frequent T cell receptor-delta gene rearrangements in childhood ALL.,1978-82,"['Taube, T', 'Seeger, K', 'Beyermann, B', 'Hanel, C', 'Duda, S', 'Linderkamp, C', 'Henze, G']","['Taube T', 'Seeger K', 'Beyermann B', 'Hanel C', 'Duda S', 'Linderkamp C', 'Henze G']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,,IM,,"['Blotting, Southern', 'Child', 'Child, Preschool', 'Gene Rearrangement, delta-Chain T-Cell Antigen Receptor/*genetics', 'Humans', 'Polymerase Chain Reaction/*methods', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics']",1997/11/22 00:00,1997/11/22 00:01,['1997/11/22 00:00'],"['1997/11/22 00:00 [pubmed]', '1997/11/22 00:01 [medline]', '1997/11/22 00:00 [entrez]']",['10.1038/sj.leu.2400825 [doi]'],ppublish,Leukemia. 1997 Nov;11(11):1978-82. doi: 10.1038/sj.leu.2400825.,"A rapid and simple multiplex polymerase chain reaction (PCR) is described that is capable of identifying the six most frequent rearrangements of the T cell receptor (TCR)-delta gene segments in childhood acute lymphoblastic leukemia (ALL). The PCR products amplified in a single reaction are of different size for each TCR-delta gene rearrangement. Therefore, they are readily and unambiguously distinguished after agarose gel electrophoresis and assigned to a specific V-D-J gene rearrangement. There is no need for labor-intensive and time-consuming Southern blot hybridization or nested PCR. To evaluate the multiplex assay we chose 45 DNA samples of childhood ALL analyzed beforehand for TCR-delta gene rearrangements by Southern blot and single PCR of which 30 showed TCR-delta gene rearrangements. The multiplex PCR results corresponded to the Southern blot and single PCR analyses. The described multiplex PCR enables the detection of clonal markers in about 50% of patients in order to monitor minimal residual disease (MRD) in prospective studies with a high turnover of samples.","['Department of Pediatric Oncology/Hematology, Charite-Virchow Medical Center, Humboldt-University Berlin, Germany.']",,,,,,,,,,,,,,,
9369434,NLM,MEDLINE,19971209,20190914,0887-6924 (Print) 0887-6924 (Linking),11,11,1997 Nov,Deletions of chromosome 21 restricted to the leukemic cells of children with Down syndrome and leukemia.,1973-7,"['Kempski, H M', 'Chessells, J M', 'Reeves, B R']","['Kempski HM', 'Chessells JM', 'Reeves BR']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,,IM,,"['Child, Preschool', '*Chromosome Deletion', 'Chromosomes, Human, Pair 21/*genetics', 'Down Syndrome/*complications/genetics', 'Female', 'Humans', 'In Situ Hybridization, Fluorescence', 'Infant', 'Karyotyping', 'Leukemia/*complications/*genetics', 'Male']",1997/11/22 00:00,1997/11/22 00:01,['1997/11/22 00:00'],"['1997/11/22 00:00 [pubmed]', '1997/11/22 00:01 [medline]', '1997/11/22 00:00 [entrez]']",['10.1038/sj.leu.2400826 [doi]'],ppublish,Leukemia. 1997 Nov;11(11):1973-7. doi: 10.1038/sj.leu.2400826.,"Down syndrome (DS) is associated with an increased risk of developing hematological malignancies, but the basis for this predisposition is so far unknown. Using fluorescence in situ hybridization with a panel of locus-specific probes on normal and leukemic metaphases, we have found long-arm interstitial deletions of one of the chromosome 21s in the leukemic cells from five patients with DS and leukemia. This finding provides strong evidence for a gene or genes present on chromosome 21 having an important function in the development of leukemia in individuals with Down syndrome.","['LRF Centre for Childhood Leukaemia, Department of Molecular Haematology, Institute of Child Health, London, UK.']",,,,,,,,,,,,,,,
9369433,NLM,MEDLINE,19971209,20190914,0887-6924 (Print) 0887-6924 (Linking),11,11,1997 Nov,The spectrum of chronic lymphoproliferative disorders in Hong Kong. A prospective study.,1964-72,"['Chan, L C', 'Lam, C K', 'Yeung, T C', 'Chu, R W', 'Ng, M', 'Chow, E Y', 'Wickham, N', 'Matutes, E']","['Chan LC', 'Lam CK', 'Yeung TC', 'Chu RW', 'Ng M', 'Chow EY', 'Wickham N', 'Matutes E']",['eng'],['Journal Article'],England,Leukemia,Leukemia,8704895,"['0 (Biomarkers, Tumor)']",IM,,"['Adult', 'Aged', 'Aged, 80 and over', 'Biomarkers, Tumor', 'Chronic Disease', 'Female', 'Hong Kong/epidemiology', 'Humans', 'Immunophenotyping', 'In Situ Hybridization, Fluorescence', 'Incidence', 'Leukemia/classification/epidemiology/immunology', 'Lymphoproliferative Disorders/classification/*epidemiology/genetics/immunology', 'Male', 'Middle Aged', 'Prospective Studies']",1997/11/22 00:00,1997/11/22 00:01,['1997/11/22 00:00'],"['1997/11/22 00:00 [pubmed]', '1997/11/22 00:01 [medline]', '1997/11/22 00:00 [entrez]']",['10.1038/sj.leu.2400828 [doi]'],ppublish,Leukemia. 1997 Nov;11(11):1964-72. doi: 10.1038/sj.leu.2400828.,"We report the incidence of the chronic lymphoproliferative disorders evolving with leukaemia in Hong Kong. Our findings demonstrate that B cell malignancies are significantly more frequent than mature T cell neoplasms, a picture similar to that seen in Western countries but different from other Eastern countries, eg Japan, where T cell malignancies are more frequent. In contrast to the West, where chronic lymphocytic leukaemia (CLL) is the most common disorder, in Hong Kong there is a clear predominance of B cell lymphomas in leukaemic phase accounting for two-thirds of the cases and particularly those displaying lymphoplasmacytic features or with villous lymphocytes. CLL in Hong Kong has similar clinical and laboratory features to the disease in patients from the West. Distinct disease categories, rare in the West such as the variant form of hairy cell leukaemia and T cell prolymphocytic leukaemia, are also documented. It is unclear whether the differences in prevalence of disease subtypes between Hong Kong and the West relate to different genetic background or environmental factors determinant of the development or progression of the leukaemia. Further studies investigating the genetic/molecular lesions may help to clarify whether the aetiopathogenesis of the lymphoid disorders in Hong Kong is similar to that of Western countries.","['Department of Pathology, The University of Hong Kong, Hong Kong.']",,,,,,,,,,,,,,,
9369432,NLM,MEDLINE,19971209,20190914,0887-6924 (Print) 0887-6924 (Linking),11,11,1997 Nov,Role of CDK4 and p16INK4A in interleukin-6-mediated growth of multiple myeloma.,1957-63,"['Urashima, M', 'Teoh, G', 'Ogata, A', 'Chauhan, D', 'Treon, S P', 'Hoshi, Y', 'DeCaprio, J A', 'Anderson, K C']","['Urashima M', 'Teoh G', 'Ogata A', 'Chauhan D', 'Treon SP', 'Hoshi Y', 'DeCaprio JA', 'Anderson KC']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,"['0 (CCND2 protein, human)', '0 (Cyclin D2)', '0 (Cyclin-Dependent Kinase Inhibitor p16)', '0 (Cyclins)', '0 (Interleukin-6)', '0 (Proto-Oncogene Proteins)', '0 (Retinoblastoma Protein)', 'EC 2.7.11.22 (CDK4 protein, human)', 'EC 2.7.11.22 (Cyclin-Dependent Kinase 4)', 'EC 2.7.11.22 (Cyclin-Dependent Kinases)']",IM,,"['Cell Count/drug effects', 'Cell Culture Techniques', 'Cell Division/drug effects', 'Cyclin D2', 'Cyclin-Dependent Kinase 4', 'Cyclin-Dependent Kinase Inhibitor p16/*metabolism', 'Cyclin-Dependent Kinases/*metabolism', 'Cyclins/metabolism', 'Humans', 'Interleukin-6/*pharmacology', 'Leukocytes, Mononuclear/drug effects', 'Multiple Myeloma/metabolism/*pathology', '*Proto-Oncogene Proteins', 'Retinoblastoma Protein/*metabolism', 'Tumor Cells, Cultured']",1997/11/22 00:00,1997/11/22 00:01,['1997/11/22 00:00'],"['1997/11/22 00:00 [pubmed]', '1997/11/22 00:01 [medline]', '1997/11/22 00:00 [entrez]']",['10.1038/sj.leu.2400843 [doi]'],ppublish,Leukemia. 1997 Nov;11(11):1957-63. doi: 10.1038/sj.leu.2400843.,"Interleukin-6 (IL-6) promotes growth of human multiple myeloma (MM) cells via phosphorylation of retinoblastoma protein (pRB). We therefore examined the kinetics of cyclin-dependent kinase 4 (CDK4), p16INK4A, and pRB activation during IL-6-mediated patient MM cell growth compared with growth of IL-6 unresponsive patient plasma cell leukemia (PCL) cells. CDK4 protein was more strongly expressed in PCL cells than in MM cells. On the other hand, p16 protein was present in MM cells but undetectable in PCL cells. Interestingly, IL-6 induced peak proliferation of MM cells at days 1-3, with a return to baseline levels of DNA synthesis by days 6-9 in spite of replenishing IL-6. In these cells, IL-6 triggered a sustained increase in CDK4 by day 1 and a gradual increase in p16 to day 9. The progressive increase in p16 without further increments in CDK4 resulted in a shift from cyclin D2-CDK4/CDK6 binding at days 1-3 to p16-CDK4/CDK6 complex formation at days 6-9. Both phosphorylated pRB and dephosphorylated pRB were present initially in patient MM cells; IL-6 triggered a shift to phosphorylated pRB and G1 to S transition at days 1-3, with return to baseline levels of dephosphorylated pRB and related G1 growth arrest by day 9. No similar changes in CDK4, p16, or cell cycle profile were observed in IL-6 nonresponsive PCL cells. Our data therefore suggest a feedback mechanism in IL-6-mediated MM cell growth which is absent in IL-6 nonresponsive PCL cells.","['Dana-Farber Cancer Institute and the Department of Medicine, Harvard Medical School, Boston, MA 02215, USA.']",,['CA 50947/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,
9369431,NLM,MEDLINE,19971209,20190914,0887-6924 (Print) 0887-6924 (Linking),11,11,1997 Nov,Mutant AF-2 domain of PML-RARalpha in retinoic acid-resistant NB4 cells: differentiation induced by RA is triggered directly through PML-RARalpha and its down-regulation in acute promyelocytic leukemia.,1950-6,"['Kitamura, K', 'Kiyoi, H', 'Yoshida, H', 'Saito, H', 'Ohno, R', 'Naoe, T']","['Kitamura K', 'Kiyoi H', 'Yoshida H', 'Saito H', 'Ohno R', 'Naoe T']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Antigens, CD)', '0 (Neoplasm Proteins)', '0 (Oncogene Proteins, Fusion)', '0 (RARA protein, human)', '0 (Receptors, Retinoic Acid)', '0 (Retinoic Acid Receptor alpha)', '0 (promyelocytic leukemia-retinoic acid receptor alpha fusion oncoprotein)', '5688UTC01R (Tretinoin)']",IM,,"['Amino Acid Sequence', 'Antigens, CD/*genetics', 'Base Sequence', 'Cell Culture Techniques', 'Cell Differentiation/*drug effects', 'Down-Regulation', 'Drug Resistance, Neoplasm', 'Humans', 'Immunoblotting', 'Leukemia, Promyelocytic, Acute/*genetics/metabolism/pathology', 'Molecular Sequence Data', 'Neoplasm Proteins/*genetics', 'Oncogene Proteins, Fusion/*genetics', 'Point Mutation', 'Receptors, Retinoic Acid/genetics', 'Retinoic Acid Receptor alpha', 'Sequence Analysis, DNA', 'Tretinoin/metabolism/*pharmacology', 'Tumor Cells, Cultured']",1997/11/22 00:00,1997/11/22 00:01,['1997/11/22 00:00'],"['1997/11/22 00:00 [pubmed]', '1997/11/22 00:01 [medline]', '1997/11/22 00:00 [entrez]']",['10.1038/sj.leu.2400837 [doi]'],ppublish,Leukemia. 1997 Nov;11(11):1950-6. doi: 10.1038/sj.leu.2400837.,"To study the molecular mechanism of the differentiation induced by retinoic acid (RA) in acute promyelocytic leukemia (APL), we established a new RA-resistant NB4 subline, NB4/RA. The NB4/RA cells were neither differentiated by a single or a combination of RA isoforms, nor by the addition of clotrimazole (P450-inhibitor) or interferon gamma. However, the combination of RA and 8-(4-chlorophenylthio) adenosine cyclic 3',5'-monophosphate (a cAMP analog, 8-CPT-cAMP) induced differentiation. Immunostaining of NB4/RA cells using anti-PML antibody showed a microgranular pattern which was not restored even by the combination of RA and 8-CPT-cAMP, whereas the microgranular pattern in NB4 cells was rapidly restored to the normal speckled pattern by RA. Western blot analysis revealed that RA alone or the combination with 8-CPT-cAMP did not down-regulate PML-RARalpha in NB4/RA cells, which was in contrast to NB4 cells. The PML-RARalpha fusion gene and transcript in NB4/RA cells were conserved as well as the RARalpha gene and transcripts. Sequence analysis of the PML-RARalpha transcript in NB4/RA cells indicated a Pro (CCG) to Leu (CTG) mutation at codon 900 (type L) in AF-2 domain, while the RARalpha transcript had a normal sequence. These data suggest that differentiation of APL by RA is triggered directly through PML-RARalpha, and is associated with its degradation. Furthermore, there might be another mechanism of differentiation which does not require the down-regulation of PML-RARalpha and the restoration of the PML-staining pattern.","['Department of Infectious Diseases, Nagoya University Hospital, Japan.']",,,,,,,,,,,,,,,
9369430,NLM,MEDLINE,19971209,20190914,0887-6924 (Print) 0887-6924 (Linking),11,11,1997 Nov,"Establishment and characterization of a new erythropoietin-dependent acute myeloid leukemia cell line, AS-E2.",1941-9,"['Miyazaki, Y', 'Kuriyama, K', 'Higuchi, M', 'Tsushima, H', 'Sohda, H', 'Imai, N', 'Saito, M', 'Kondo, T', 'Tomonaga, M']","['Miyazaki Y', 'Kuriyama K', 'Higuchi M', 'Tsushima H', 'Sohda H', 'Imai N', 'Saito M', 'Kondo T', 'Tomonaga M']",['eng'],"['Case Reports', 'Journal Article']",England,Leukemia,Leukemia,8704895,"['0 (Neoplasm Proteins)', '0 (Receptors, Erythropoietin)', '11096-26-7 (Erythropoietin)', '42HK56048U (Tyrosine)']",IM,,"['Acute Disease', 'Cell Division/*drug effects', 'DNA Fingerprinting', 'Erythropoietin/*pharmacology', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/genetics/metabolism/*pathology', 'Male', 'Middle Aged', 'Neoplasm Proteins/drug effects/genetics/metabolism', 'Phosphorylation', 'Receptors, Erythropoietin/drug effects/genetics/metabolism', 'Tumor Cells, Cultured/metabolism/*pathology', 'Tumor Stem Cell Assay', 'Tyrosine/metabolism']",1997/11/22 00:00,1997/11/22 00:01,['1997/11/22 00:00'],"['1997/11/22 00:00 [pubmed]', '1997/11/22 00:01 [medline]', '1997/11/22 00:00 [entrez]']",['10.1038/sj.leu.2400838 [doi]'],ppublish,Leukemia. 1997 Nov;11(11):1941-9. doi: 10.1038/sj.leu.2400838.,"We have established an erythropoietin-dependent human leukemia cell line, AS-E2, from a patient with acute myeloid leukemia. These cells have many characteristics of late erythroid progenitor cells, they are positive for CD36, Glycophorin A, and CD71 but negative for CD41, and positive for benzidine and PAS staining. These cells express GATA-1 and have low affinity erythropoietin (EPO) receptor on their surface. Interestingly, AS-E2 cells are strictly dependent on EPO for their growth and survival; other cytokines including GM-CSF, stem cell factor, or IL-3 cannot support the growth of this cell line. These features are similar to late erythroid lineage cells, like normal BFU-E or CFU-E, and we have demonstrated that EPO stimulation induces the tyrosine phosphorylation of several proteins in AS-E2 cells including the EPO receptor and JAK2 kinase. This new cell line is a useful reagent to study biological and molecular events during the late stages of erythropoiesis, and to understand transforming events in human erythroid cells.","['Department of Hematology, Atomic Bomb Disease Institute, Nagasaki University School of Medicine, Japan.']",,,,,,,,,,,,,,,
9369429,NLM,MEDLINE,19971209,20190914,0887-6924 (Print) 0887-6924 (Linking),11,11,1997 Nov,Chromosome aberrations in atypical chronic lymphocytic leukemia: a cytogenetic and interphase cytogenetic study.,1933-40,"['Bigoni, R', 'Cuneo, A', 'Roberti, M G', 'Bardi, A', 'Rigolin, G M', 'Piva, N', 'Scapoli, G', 'Spanedda, R', 'Negrini, M', 'Bullrich, F', 'Veronese, M L', 'Croce, C M', 'Castoldi, G']","['Bigoni R', 'Cuneo A', 'Roberti MG', 'Bardi A', 'Rigolin GM', 'Piva N', 'Scapoli G', 'Spanedda R', 'Negrini M', 'Bullrich F', 'Veronese ML', 'Croce CM', 'Castoldi G']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,,IM,,"['Adult', 'Aged', 'Aged, 80 and over', '*Chromosome Deletion', 'Chromosomes, Human, Pair 11', 'Chromosomes, Human, Pair 12', 'Chromosomes, Human, Pair 13', 'Chromosomes, Human, Pair 6', 'Female', 'Humans', 'In Situ Hybridization, Fluorescence', 'Interphase/genetics', 'Karyotyping', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/pathology', 'Male', 'Middle Aged', 'Translocation, Genetic/*genetics', '*Trisomy']",1997/11/22 00:00,1997/11/22 00:01,['1997/11/22 00:00'],"['1997/11/22 00:00 [pubmed]', '1997/11/22 00:01 [medline]', '1997/11/22 00:00 [entrez]']",['10.1038/sj.leu.2400818 [doi]'],ppublish,Leukemia. 1997 Nov;11(11):1933-40. doi: 10.1038/sj.leu.2400818.,"To define better the chromosomal profile of atypical chronic lymphocytic leukemia (aCLL), cytogenetic and interphase cytogenetic studies were performed in 43 cases, using mitogen-stimulated cultures and DNA probes detecting the two most frequently occurring aberrations in CLL, ie +12 and 13q14 deletions. All cases showed monoclonal CD5/CD19-positive lymphocytosis, with more than 10% large lymphocytes and/or prolymphocytes in peripheral blood smears and reactivity with FMC7, or bright expression of surface immunoglobulins in a fraction of the cases. Karyotype aberrations were detected in 27 of 43 cases (62.8%). Recurrent chromosome changes were +12 (nine cases), 13q14 aberrations (five cases), 11q anomalies (three cases), 6q21-q23 abnormalities and 4q anomalies with different breakpoints (two cases each). Additional chromosome changes were seen in four cases with +12, in three cases with 13q14 anomalies, in two cases with 11q anomalies, in one case with 6q and 4q anomalies. Trisomy 12 was associated with 13q14 anomalies in three cases, one of which also had an 11q abnormality; other associations, found in one case each, were: 13q14 deletion with a 6q anomaly, 11q anomaly with 13q- and 7q-, a 6q anomaly with 7q- and +12. Interphase cytogenetics confirmed the results of chromosome banding analysis and showed that six patients with normal karyotype or no mitosis in fact had concomitant +12 and 13q14 deletion in four cases and isolated +12 or 13q14 deletion in one case each, with a resultant 76% overall incidence of cytogenetic abnormalities. The presence of +12, 13q14 deletions, 11q, and 6q21-q23 anomalies in 19 cases was associated with a 2-month median interval between diagnosis and start of treatment, as compared with a 24-month median interval in 14 cases with normal karyotype or non-recurrent chromosome changes (P = 0.003). We conclude that aCLL is characterized by a relatively high incidence of chromosome anomalies, with recurrent chromosome changes, involving chromosomes 12, 13q14, 6q21q23, 11q, and, possibly, 4q. The presence of complex karyotypes, with concomitant abnormalities of 13q, +12, 6q, 11q, suggests that the development of sequential chromosome changes, rather than any single specific anomaly, may underlie leukemogenesis in this cytologic subset of CLL, partially accounting for the relatively aggressive clinical course.","['Dipartimento di Scienze Biomediche e Terapie Avanzate, Universita di Ferrara, Italy.']",,['CA 39860/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,
9369428,NLM,MEDLINE,19971209,20190914,0887-6924 (Print) 0887-6924 (Linking),11,11,1997 Nov,Deletions at 11q identify a subset of patients with typical CLL who show consistent disease progression and reduced survival.,1929-32,"['Neilson, J R', 'Auer, R', 'White, D', 'Bienz, N', 'Waters, J J', 'Whittaker, J A', 'Milligan, D W', 'Fegan, C D']","['Neilson JR', 'Auer R', 'White D', 'Bienz N', 'Waters JJ', 'Whittaker JA', 'Milligan DW', 'Fegan CD']",['eng'],['Journal Article'],England,Leukemia,Leukemia,8704895,,IM,,"['Adult', 'Aged', 'Aged, 80 and over', 'Chromosome Aberrations', '*Chromosome Deletion', 'Chromosome Disorders', 'Chromosomes, Human, Pair 11/*genetics', 'Disease Progression', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/mortality', 'Male', 'Middle Aged', 'Prognosis', 'Survival Rate']",1997/11/22 00:00,1997/11/22 00:01,['1997/11/22 00:00'],"['1997/11/22 00:00 [pubmed]', '1997/11/22 00:01 [medline]', '1997/11/22 00:00 [entrez]']",['10.1038/sj.leu.2400819 [doi]'],ppublish,Leukemia. 1997 Nov;11(11):1929-32. doi: 10.1038/sj.leu.2400819.,"Eighty-four patients with typical chronic lymphocytic leukemia (CLL) (by morphological and immunophenotypic criteria) on whom karyotypes were available were studied. Binet stage at diagnosis and follow-up were defined. Survival was calculated from diagnosis. Fifty-one percent of patients had a karyotypic abnormality, the commonest being abnormalities at 13q14 (16%); these patients did not have significantly different survival from patients with normal karyotype. The second commonest abnormality was del(11q) (13%); these patients had significantly worse survival when compared both with patients with normal karyotype (P < 0.0001) and with other patients with karyotypic abnormality (P = 0.0012). All patients with del(11q) had progressed to stage C at follow-up while only 20% of the other patients had shown any disease progression (P < 0.0001). Del(11q) may identify a subset of patients with typical CLL who have worse survival and consistent disease progression and in future may help define a group of patients with CLL who could benefit from earlier or more intensive therapy.","['Department of Haematology, Birmingham Heartlands Hospital, UK.']",,,,,,,,,,,,,,,
9369427,NLM,MEDLINE,19971209,20190914,0887-6924 (Print) 0887-6924 (Linking),11,11,1997 Nov,Normal Syk protein level but abnormal tyrosine phosphorylation in B-CLL cells.,1921-8,"['Semichon, M', 'Merle-Beral, H', 'Lang, V', 'Bismuth, G']","['Semichon M', 'Merle-Beral H', 'Lang V', 'Bismuth G']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Enzyme Precursors)', '0 (Intracellular Signaling Peptides and Proteins)', '42HK56048U (Tyrosine)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (SYK protein, human)', 'EC 2.7.10.2 (Syk Kinase)', 'SY7Q814VUP (Calcium)']",IM,,"['Calcium/*metabolism', 'Enzyme Precursors/*metabolism', 'Humans', 'Intracellular Signaling Peptides and Proteins', 'Leukemia, Lymphocytic, Chronic, B-Cell/*metabolism/pathology', 'Phosphorylation', 'Polymerase Chain Reaction', 'Precipitin Tests', 'Protein-Tyrosine Kinases/*metabolism', 'Signal Transduction', 'Syk Kinase', 'Time Factors', 'Tyrosine/*metabolism']",1997/11/22 00:00,1997/11/22 00:01,['1997/11/22 00:00'],"['1997/11/22 00:00 [pubmed]', '1997/11/22 00:01 [medline]', '1997/11/22 00:00 [entrez]']",['10.1038/sj.leu.2400832 [doi]'],ppublish,Leukemia. 1997 Nov;11(11):1921-8. doi: 10.1038/sj.leu.2400832.,"One characteristic of B cells that accumulate during chronic lymphocytic leukemia (CLL) is their highly heterogeneous functional responses to B cell receptor (BCR) stimulation. Leukemic B cells with very poor responses have defective rapid tyrosine phosphorylation of numerous substrates, especially phospholipase C (PLC)gamma, as well as a defective calcium elevation on BCR stimulation. This points to a defect in BCR-associated protein tyrosine kinase (PTK). We investigated whether a defect in Syk, a PTK that is pivotal in coupling BCR to downstream signaling events, could account for these alterations. Syk tyrosine phosphorylation triggered by BCR ligation was severely impaired in B-CLL cells with low calcium responses to anti-mu stimulation. Syk associations were also defective, as concomitant tyrosine phosphorylation of a Syk-associated 145 kDa protein comigrating with PLCgamma-2 was only detected in responding B-CLL cells. By contrast, we found similar expression of the kinase regardless of B-CLL cell responsiveness. These results are consistent with the possibility that very proximal BCR signaling elements in some B-CLL cells are unable to connect with downstream biochemical events dominated by tyrosine phosphorylation and the potential docking function of Syk PTK.","[""Laboratoire d'Immunologie Cellulaire, CNRS URA 625, Centre Hospitalier Pitie-Salpetriere, Paris, France.""]",,,,,,,,,,,,,,,
9369426,NLM,MEDLINE,19971209,20190914,0887-6924 (Print) 0887-6924 (Linking),11,11,1997 Nov,Deletions and rearrangements of cyclin-dependent kinase 4 inhibitor gene p16 are associated with poor prognosis in B cell non-Hodgkin's lymphomas.,1915-20,"['Garcia-Sanz, R', 'Gonzalez, M', 'Vargas, M', 'Chillon, M C', 'Balanzategui, A', 'Barbon, M', 'Flores, M T', 'San Miguel, J F']","['Garcia-Sanz R', 'Gonzalez M', 'Vargas M', 'Chillon MC', 'Balanzategui A', 'Barbon M', 'Flores MT', 'San Miguel JF']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,['0 (Cyclin-Dependent Kinase Inhibitor p16)'],IM,,"['Adult', 'Cyclin-Dependent Kinase Inhibitor p16/*genetics', '*Gene Deletion', '*Gene Rearrangement', 'Genes, Tumor Suppressor/*genetics', 'Humans', 'Immunophenotyping', 'Lymphoma, B-Cell/classification/*genetics/mortality', 'Mutation', 'Prognosis', 'Survival Analysis']",1997/11/22 00:00,1997/11/22 00:01,['1997/11/22 00:00'],"['1997/11/22 00:00 [pubmed]', '1997/11/22 00:01 [medline]', '1997/11/22 00:00 [entrez]']",['10.1038/sj.leu.2400833 [doi]'],ppublish,Leukemia. 1997 Nov;11(11):1915-20. doi: 10.1038/sj.leu.2400833.,"In the present study we examined by Southern blot analysis the presence of deletions and rearrangements of the p16 tumor-suppressor gene in B cell non-Hodgkin's lymphomas (NHLs) in order to determine whether or not these changes can be related to a particular histological subtype and the different clinico-biological and prognostic characteristics of the disease. 103 untreated patients were enrolled in the study. Seven cases displayed alterations in the p16 gene: four cases with homozygous deletions and three with gene rearrangement. The presence of these abnormalities did not correlate with any specific histological subtype: three cases were small lymphocytic lymphomas (two of them reclassified as mantle cell lymphoma on the basis of the REAL classification), two diffuse large cell lymphomas and two small non-cleaved cell lymphomas (one of them considered to be a Burkitt-like lymphoma according to the REAL). These seven cases showed a trend towards worse prognostic indicators than the remaining patients, and this was confirmed in the survival analysis, since the presence of p16 gene abnormalities was associated with a shorter survival (10 vs 81 months, P = 0.0006). In the multivariate analysis, p16 abnormalities were selected as an independent prognostic factor together with the LDH and beta2-microglobulin. These findings support a role for the p16 gene in the pathogenesis of B cell NHLs and suggest an association of p16 abnormalities with aggressive forms of the disease that could be useful to predict the prognosis of patients.","['Department of Hematology, University Hospital of Salamanca, Paseo de San Vicente, Spain.']",,,,,,,,,,,,,,,
9369425,NLM,MEDLINE,19971209,20190914,0887-6924 (Print) 0887-6924 (Linking),11,11,1997 Nov,Analysis of residual disease in chronic lymphocytic leukemia by flow cytometry.,1909-14,"['Cabezudo, E', 'Matutes, E', 'Ramrattan, M', 'Morilla, R', 'Catovsky, D']","['Cabezudo E', 'Matutes E', 'Ramrattan M', 'Morilla R', 'Catovsky D']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Antigens, CD19)', '0 (CD5 Antigens)']",IM,,"['Adult', 'Aged', 'Antigens, CD19/*metabolism', 'CD5 Antigens/*metabolism', 'Female', 'Flow Cytometry/*methods', 'Humans', 'Immunophenotyping', 'Leukemia, Lymphocytic, Chronic, B-Cell/*diagnosis/immunology', 'Male', 'Middle Aged', 'Neoplasm, Residual/diagnosis', 'Reference Values']",1997/11/22 00:00,1997/11/22 00:01,['1997/11/22 00:00'],"['1997/11/22 00:00 [pubmed]', '1997/11/22 00:01 [medline]', '1997/11/22 00:00 [entrez]']",['10.1038/sj.leu.2400835 [doi]'],ppublish,Leukemia. 1997 Nov;11(11):1909-14. doi: 10.1038/sj.leu.2400835.,"We have investigated the value of both conventional and quantitative flow cytometry to detect minimal residual disease in 21 CLL patients in remission including bone marrow histology: eight in complete remission (CR), 11 in nodular partial remission (nPR) and two in PR. The techniques used were double immunostaining with CD5 and CD19 and quantitative estimation of the number of both antigens with standard microbeads. Reference values were established on normal peripheral blood and bone marrow controls. Patients were considered in 'immunological' remission when the percentage of CD5+ CD19+/total CD19+ cells was <25% in PB and <15% in BM. In six of the eight patients in CR, CLL cells were still detectable by flow cytometry. Only two patients, that underwent allogeneic bone marrow transplant, achieved immunological remission. CLL samples showed significantly higher CD5 and lower CD19 antigen density than normal controls (P < 0.001). Persistence of residual disease was a predictor of time to progression. None of the two patients in immunological remission relapsed within a period of 13 and 33 months, whilst two of the six patients in CR with positive flow cytometry relapsed 3 and 6 months after achieving CR. This study demonstrates that flow cytometry contributes to increase the sensitivity of the clinicohematological criteria to detect residual malignant cells in CLL patients and may be useful to monitor disease status following treatment.","['Academic Department of Haematology and Cytogenetics, The Royal Marsden Hospital and Institute of Cancer Research, London, UK.']",,,,,,,,,,,,,,,
