PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,PMC,TT,OID,RF,PS,FPS,GN
1082123,NLM,MEDLINE,19760315,20071115,0031-4005 (Print) 0031-4005 (Linking),57,1,1976 Jan,Letter: Are T-cell malignancies more frequent in younger children?,162,"['Borella, L', 'Sen, L']","['Borella L', 'Sen L']",['eng'],['Journal Article'],United States,Pediatrics,Pediatrics,0376422,,IM,"['Age Factors', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Leukemia, Lymphoid/*epidemiology', 'Male', '*T-Lymphocytes', 'United States']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",,ppublish,Pediatrics. 1976 Jan;57(1):162.,,,,,,,,
1082121,NLM,MEDLINE,19760330,20041117,0031-3998 (Print) 0031-3998 (Linking),10,2,1976 Feb,"Morula forms of E rosettes: distribution, specific inhibition, and enhancement.",120-6,"['Huang, S W', 'Barber, T', 'Poulik, M D', 'Hong, R']","['Huang SW', 'Barber T', 'Poulik MD', 'Hong R']",['eng'],['Journal Article'],United States,Pediatr Res,Pediatric research,0100714,['0 (Immune Sera)'],IM,"['Humans', '*Immune Adherence Reaction', 'Immune Sera', 'Lymphoid Tissue/*cytology/immunology', 'Microscopy, Electron', 'Microscopy, Electron, Scanning', 'T-Lymphocytes/*cytology']",1976/02/01 00:00,1976/02/01 00:01,['1976/02/01 00:00'],"['1976/02/01 00:00 [pubmed]', '1976/02/01 00:01 [medline]', '1976/02/01 00:00 [entrez]']",['10.1203/00006450-197602000-00011 [doi]'],ppublish,Pediatr Res. 1976 Feb;10(2):120-6. doi: 10.1203/00006450-197602000-00011.,"Rosetts-forming cells (RFC) with more than 10 sheep red blood cells (SRBC's) per cell defined as morula-forming cells (MFC) were studied in human lymphoid organs and in the peripheral blood (PBL). MFC are most common in the thymus (more than 50%) and the frequency is much less in peripheral lymphoid tissues and in the blood (29.8% in those less than 5 years old; 14.9% in adults). There is very slight decrease in total RFC in PBL over age 5, but the changes in MFC are quite striking. Treatment with antihuman thymus antiserum (ATS) and with anti-human lymphoblastic antiserum (ATL) resulted in significant inhibition of total rosette and morula rosette formation. No inhibition was seen using normal brain antiserum, anti-IgM antiserum, or anti-L chain antiserum. In two patients with chronic lymphocytic leukemia and in some cases of thymic deficiency the ratio of MFC to total RFC was unusually high. After culture with phytohemagglutinin (PHA) and conversion to blast forms or after surface peturbation by papain or freeze-thaw treatment, MFC numbers were increased.",,,,,,,
1082061,NLM,MEDLINE,19760315,20190819,0023-8236 (Print) 0023-8236 (Linking),339,,1975 Nov,[Immunotherapy of cancer: reality or hope? (AUTHOR'S TRANSL)].,115-20,"['Dold, U']",['Dold U'],['ger'],"['English Abstract', 'Journal Article']",Germany,Langenbecks Arch Chir,Langenbecks Archiv fur Chirurgie,0204167,"['0 (BCG Vaccine)', '0 (Immunosuppressive Agents)']",IM,"['B-Lymphocytes/immunology', 'BCG Vaccine/therapeutic use', 'Child', 'Female', 'Humans', 'Immunosuppressive Agents/therapeutic use', 'Immunotherapy/*methods', 'Leukemia/drug therapy', 'Neoplasms/immunology/*therapy', 'T-Lymphocytes/immunology']",1975/11/01 00:00,1975/11/01 00:01,['1975/11/01 00:00'],"['1975/11/01 00:00 [pubmed]', '1975/11/01 00:01 [medline]', '1975/11/01 00:00 [entrez]']",['10.1007/BF01257498 [doi]'],ppublish,Langenbecks Arch Chir. 1975 Nov;339:115-20. doi: 10.1007/BF01257498.,"The reality of immunotherapy of cancer is still in the trial stages. Supportive immunotherapy combined with conventional cancer therapy can prolong the duration of remission and perhaps raise the cure rate for many neoplastic diseases such as acute leukemias, sarcomas and malignant melanomas. Our knowledge of the immunologic reactions is still incomplete. We expect further progress but we have no evidence that the immune response will be able to prevent or reverse all malignant growth.",,Immuntherapie des Krebses: Realitat oder Hoffnung,,,,,
1082043,NLM,MEDLINE,19760318,20110727,0047-1852 (Print) 0047-1852 (Linking),33,11,1975 Nov 10,[2 cases of pneumocystis carinii pneumonia. Case 1: diffuse interstitial pneumonia observed in a case simulating dermatomyositis. Case 2: diffuse interstitial pneumonia in acute myelocytic leukemia].,3318-23,"['Uenaka, H', 'Miyasaki, K']","['Uenaka H', 'Miyasaki K']",['jpn'],"['Case Reports', 'Journal Article']",Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,,IM,"['Dermatomyositis/diagnosis', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*complications', 'Male', 'Middle Aged', 'Pneumonia, Pneumocystis/complications/*pathology']",1975/11/10 00:00,1975/11/10 00:01,['1975/11/10 00:00'],"['1975/11/10 00:00 [pubmed]', '1975/11/10 00:01 [medline]', '1975/11/10 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1975 Nov 10;33(11):3318-23.,,,,,,,,
1081923,NLM,MEDLINE,19760315,20181113,0009-9104 (Print) 0009-9104 (Linking),19,1,1975 Jan,"Electrophoresis of lymphoid cells. A study of Bruton type of agammaglobulinaemia, thymic dysplasia, chronic lymphatic leukaemia and of normal human thymocytes.",159-65,"['Wiig, J N']",['Wiig JN'],['eng'],['Journal Article'],England,Clin Exp Immunol,Clinical and experimental immunology,0057202,,IM,"['Agammaglobulinemia/*physiopathology', 'B-Lymphocytes/physiology', 'Child', 'Electrophoresis', 'Humans', 'Immunologic Deficiency Syndromes/physiopathology', 'In Vitro Techniques', 'Infant', 'Leukemia, Lymphoid/*physiopathology', 'Male', 'Spleen/cytology', 'Surface Properties', 'T-Lymphocytes/*physiology', 'Thymus Gland/*abnormalities']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",,ppublish,Clin Exp Immunol. 1975 Jan;19(1):159-65.,"The mean electrophoretic mobility (EPM) of blood lymphocytes from a patient with Bruton type of agammaglobulinaemia was high with a unimodal distribution pattern. That of blood lymphocytes from a patient with severe thymic dysplasia was low, with a small faster group. The difference between the major groups was about 30%. Thymocytes had a mean EPM 25% lower than that of normal T cells. Blood and spleen cells in a chronic lymphatic leukaemic of B-cell origin had a mean EPM 35% higher than that of the majority of normal B cells.",PMC1538035,,,,,,
1081906,NLM,MEDLINE,19760401,20190619,0008-543X (Print) 0008-543X (Linking),36,6,1975 Dec,A study of childhood non-Hodgkin's lymphoma.,2121-31,"['Murphy, S B', 'Frizzera, G', 'Evans, A E']","['Murphy SB', 'Frizzera G', 'Evans AE']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,['0 (Antineoplastic Agents)'],IM,"['Adolescent', 'Antineoplastic Agents/therapeutic use', 'Burkitt Lymphoma/mortality/pathology', 'Central Nervous System Diseases/pathology', 'Child', 'Child, Preschool', 'Classification', 'Drug Therapy, Combination', 'Female', 'Humans', 'Infant', 'Leukemia/pathology', 'Lymphoma/drug therapy/mortality/*pathology', 'Male', 'Retrospective Studies', 'T-Lymphocytes/pathology']",1975/12/01 00:00,1975/12/01 00:01,['1975/12/01 00:00'],"['1975/12/01 00:00 [pubmed]', '1975/12/01 00:01 [medline]', '1975/12/01 00:00 [entrez]']",['10.1002/cncr.2820360928 [doi]'],ppublish,Cancer. 1975 Dec;36(6):2121-31. doi: 10.1002/cncr.2820360928.,"The pathologic and clinical features of 31 cases of childhood non-Hodgkin's lymphoma (NHL) were reviewed retrospectively using Rappaport's classification and a modification of the Ann Arbor staging system. Twenty-nine (93.5%) of the patients had diffuse and 2 (6.5%) had nodular lymphoma. Diffuse histiocytic lymphoma accounted for 10 cases (32.3%), diffuse undifferentiated for 9 (29%), and diffuse lymphocytic, poorly differentiated for 5 (16.1%). Five cases (16.1%) were unclassifiable. No cases of well-differenitated lymphocytic or mixed cell lymphoma were found. A modified classification was attempted, which included also large basophilic cell (LBC), convoluted T-lymphocytic (CTL), and Burkitt's lymphomas. These pathologic subgroups accounted for 35.4%, 16.1%, and 6.5% of the cases, respectively. The patients were almost equally divided between clinically localized and generalized stages, and their survival was stage-dependent. The overall survival was 32.3%; the 3-year survival was 50% for Stages I and II, compared to 7.7% for Stages III and IV. The gastrointestinal tract was the most common site of origin. In 22% of the cases, the disease originated in extra-lymphatic tissues. Central nervous syste, involvement occurred in 10 of 31 children (32%), and a leukemic picture developed in 6 of 31 (19%). The Ctl lymphomas were confined to the mediastinum, whereas the LBC lymphomas arose mostly in Waldeyer's ring and Peyer's patches. We conclude that the extent of the disease as determined by clinical staging had prognostic significance in childhood NHL. The prognostic value of the histological classification could not be clearly established from our data.",,,,,,,
1081905,NLM,MEDLINE,19760401,20211203,0008-543X (Print) 0008-543X (Linking),36,6,1975 Dec,Intensity of immunosuppressive therapy and the incidence of Pneumocystis carinii pneumonitis.,2004-9,"['Hughes, W T', 'Feldman, S', 'Aur, R J', 'Verzosa, M S', 'Hustu, H O', 'Simone, J V']","['Hughes WT', 'Feldman S', 'Aur RJ', 'Verzosa MS', 'Hustu HO', 'Simone JV']",['eng'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,"['0 (Antineoplastic Agents)', '04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'E7WED276I5 (Mercaptopurine)', 'EC 3.5.1.1 (Asparaginase)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Antineoplastic Agents/*therapeutic use', 'Asparaginase/*adverse effects/therapeutic use', 'Child, Preschool', 'Cyclophosphamide/adverse effects/therapeutic use', 'Cytarabine/adverse effects/therapeutic use', 'Drug Therapy, Combination', 'Female', 'Humans', 'Immunosuppression Therapy/*adverse effects', 'Leukemia, Lymphoid/*drug therapy/immunology/radiotherapy', 'Male', 'Mercaptopurine/adverse effects/therapeutic use', 'Methotrexate/adverse effects/therapeutic use', 'Pneumonia, Pneumocystis/*epidemiology/etiology', 'Prednisone/adverse effects', 'Vincristine/adverse effects']",1975/12/01 00:00,1975/12/01 00:01,['1975/12/01 00:00'],"['1975/12/01 00:00 [pubmed]', '1975/12/01 00:01 [medline]', '1975/12/01 00:00 [entrez]']",['10.1002/cncr.2820360912 [doi]'],ppublish,Cancer. 1975 Dec;36(6):2004-9. doi: 10.1002/cncr.2820360912.,"One hundred and forty-nine children with acute lymphocytic leukemia treated according to a prospective protocol were randomized after induction of remission and central nervous system (CNS) irradiation to receive maintenance chemotherapy with 1, 2, 3, or 4 chemotherapy agents. The incidence of P. carinii pneumonitis (PCP) was 5.0, 2.3, 2.2, and 22.4%, respectively, during the period of maintenance therapy. An additional 31 patients enrolled in the same study were placed in special categories to receive three drugs for maintenance plus supplemental chemotherapy or irradiation because of CNS leukemia on admission, remission failure, ediastinal mass, or generalized lymphosarcoma without bone marrow involvement. The incidences of PCP in these groups were 16.7, 30.0, 35.7, and 0%, respectively, during the period of maintenance therapy.",,,,,,,
1081895,NLM,MEDLINE,19760401,20210216,0006-4971 (Print) 0006-4971 (Linking),47,2,1976 Feb,B lymphocyte subpopulations in chronic lymphocytic leukemia.,229-35,"['Rudders, R A']",['Rudders RA'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Immunoglobulin D)', '0 (Immunoglobulin G)', '0 (Immunoglobulin M)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Aged', 'B-Lymphocytes/*cytology', 'Cell Differentiation', 'Humans', 'Immunoglobulin D/analysis', 'Immunoglobulin G/analysis', 'Immunoglobulin M/analysis', 'Leukemia, Lymphoid/diagnosis/*immunology/pathology', 'Middle Aged', 'Receptors, Antigen, B-Cell/analysis']",1976/02/01 00:00,1976/02/01 00:01,['1976/02/01 00:00'],"['1976/02/01 00:00 [pubmed]', '1976/02/01 00:01 [medline]', '1976/02/01 00:00 [entrez]']",['S0006-4971(20)72503-6 [pii]'],ppublish,Blood. 1976 Feb;47(2):229-35.,"We have defined two subpopulations of B lymphocytes in chronic lymphocytic leukemia (CLL). The major variant (termed typical) was characterized by the presence of a relatively homogeneous population of small-to-medium-sized lymphocytes with low-density SmIgM and no evidence of intracellular Ig synthesis. A minor group (termed atypical) was identified by the presence of a pleomorphic cell population with few small lymphocytes. The predominant SmIg was IgG, which was detected intracellularly as well as in the serum. The atypical group appeared to be an arrest at a later stage of differentiation where a switch from IgM to IgG synthesis and secretion had occurred. Clinical correlation suggested several clear-cut differences in clinicopathologic characteristics, but the median survivals for both groups at 2 yr was nearly identical.",,,,,,,
1081893,NLM,MEDLINE,19760315,20210216,0006-4971 (Print) 0006-4971 (Linking),47,1,1976 Jan,Terminal deoxynucleotidyl transferase activities in human blood leukocytes and lymphoblast cell lines: high levels in lymphoblast cell lines and in blast cells of some patients with chronic myelogenous leukemia in acute phase.,11-20,"['Sarin, P S', 'Anderson, P N', 'Gallo, R C']","['Sarin PS', 'Anderson PN', 'Gallo RC']",['eng'],"['Case Reports', 'Journal Article']",United States,Blood,Blood,7603509,"['EC 2.7.7.- (Nucleotidyltransferases)', 'I38ZP9992A (Magnesium)']",IM,"['Adult', 'B-Lymphocytes/enzymology', 'Cell Line', 'Chromatography', 'Chromatography, DEAE-Cellulose', 'Humans', 'Leukemia, Myeloid/*enzymology', 'Leukemia, Myeloid, Acute/enzymology', 'Leukocytes/*enzymology', 'Lymphocytes/*enzymology', 'Magnesium/pharmacology', 'Male', 'Nucleotidyltransferases/isolation & purification/*metabolism', 'T-Lymphocytes/enzymology']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",['S0006-4971(20)70254-5 [pii]'],ppublish,Blood. 1976 Jan;47(1):11-20.,"Terminal deoxynucleotidyl transferase, an enzyme which catalyzes the polymerization of deoxyribonucleoside triphosphates, elongating oligo- or polydeoxynucleotide chains, but without direction from a nucleic acid template, is thought to be specific for thymus gland and thymus-derived cells. We have confirmed the observations that high levels are characteristic of thymus gland with both human and calf tissue and that elevated levels may be found in some cases of acute lymphocytic leukemia. High levels were also found in human lymphoblast cell lines with T-cell characteristics, and insignificant activity was observed in leukocytes of patients with chronic myelogenous leukemia not in acute blast phase of the disease, chronic lymphocytic leukemia, human B-cells, and normal human blood lymphocytes even after stimulation with phytohemagglutinin. However, high levels (approximately 200 nmoles/hr/10(9) cells) equivalent to those in thymus tissue and lymphoblast cell lines with T-cell characteristics were found in the peripheral blood blast cells of four patients with chronic myelogenous leukemia in an acute blast phase of their disease. One hypothesis that may explain the present results is that in chronic myelogenous leukemia in acute blast phase of the disease the proliferative blast response may not always be myeloblasts but in some cases it may be lymphoblasts.",,,,,,,
1081891,NLM,MEDLINE,19760320,20210216,0006-4971 (Print) 0006-4971 (Linking),46,6,1975 Dec,Impaired T-cell transformation in chronic lymphocytic leukemia (CLL): Demonstration of a blastogenesis inhibitory factor.,883-90,"['Utsinger, P D']",['Utsinger PD'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Lectins)', '0 (Mitogens)']",IM,"['Adult', 'Aged', 'B-Lymphocytes/immunology', 'Cell Separation', 'Cell Survival', 'Cells, Cultured', 'Female', 'Humans', 'Lectins/pharmacology', 'Leukemia, Lymphoid/blood/*immunology', '*Lymphocyte Activation', 'Male', 'Middle Aged', 'Mitogens', 'Mitotic Index', 'T-Lymphocytes/*immunology']",1975/12/01 00:00,1975/12/01 00:01,['1975/12/01 00:00'],"['1975/12/01 00:00 [pubmed]', '1975/12/01 00:01 [medline]', '1975/12/01 00:00 [entrez]']",['S0006-4971(20)70901-8 [pii]'],ppublish,Blood. 1975 Dec;46(6):883-90.,"A noncytotoxic serum factor was found in CLL serum which interfered with the response of normal lymphocytes to phytohemagglutinin (PHA) and pokeweed mitogen (PWM). This factor was not produced by B-lymphocytes during short-term culture. This factor may contribute to the impaired lymphocyte responsiveness in CLL. In five of six patients, T-lymphocytes which were purified by passage over nylon wool columns exhibited an impaired response to both PHA and PWM, suggesting that a dilutional effect alone does not fully explain the impaired lymphocyte transformation in CLL.",,,,,,,
1081741,NLM,MEDLINE,19760227,20061115,0036-4355 (Print) 0036-4355 (Linking),20,3,1975,[T and b lymphocytes. II. Sequential valuation in the course of leukaemia and lymphoma (author's transl)].,311-22,"['Pozzi, D H', 'Jamra, M', 'Musatti, C C', 'Tolnai, M E', 'Figueiredo Mendes, N']","['Pozzi DH', 'Jamra M', 'Musatti CC', 'Tolnai ME', 'Figueiredo Mendes N']",['spa'],"['English Abstract', 'Journal Article']",Spain,Sangre (Barc),Sangre,0404373,,IM,"['Adolescent', 'Adult', '*B-Lymphocytes', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Immunity, Cellular', 'Leukemia/*immunology', 'Leukocyte Count', 'Lymphocyte Activation', 'Lymphoma/*immunology', 'Male', '*T-Lymphocytes']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1975;20(3):311-22.,,,Linfocitos T y B. II. Valoracion secuencial en el curso evolutivo de linfomas y leucemias,,,,,
1081740,NLM,MEDLINE,19760227,20061115,0036-4355 (Print) 0036-4355 (Linking),20,3,1975,[T and B lymphocytes. I. Assessment in leukaemia and lymphoma (author's transl)].,273-87,"['Jamra, M', 'Pozzi, D H', 'Musatti, C C', 'Tolnai, M E', 'Figueiredo Mendes, N']","['Jamra M', 'Pozzi DH', 'Musatti CC', 'Tolnai ME', 'Figueiredo Mendes N']",['spa'],"['English Abstract', 'Journal Article']",Spain,Sangre (Barc),Sangre,0404373,,IM,"['Adolescent', 'Adult', 'Aged', '*B-Lymphocytes', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Immune Adherence Reaction', 'Leukemia/*immunology', 'Leukocyte Count', 'Lymphoma/*immunology', 'Male', 'Middle Aged', '*T-Lymphocytes']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1975;20(3):273-87.,,,Linfocitos T y B. I. Su valoracion en linfomas y leucemias,,,,,
1081709,NLM,MEDLINE,19760220,20110829,0102-843X (Print) 0102-843X (Linking),21,8,1975 Aug,[Morphogenesis of the Philadelphia (Ph) chromosome].,251-2,"['Bottura, C', 'Coutinho, V']","['Bottura C', 'Coutinho V']",['por'],"['Case Reports', 'English Abstract', 'Journal Article']",Brazil,AMB Rev Assoc Med Bras,AMB : revista da Associacao Medica Brasileira,0165700,,IM,"['*Chromosome Aberrations', 'Chromosomes, Human, 21-22 and Y', 'Humans', 'Leukemia, Myeloid/*genetics', 'Morphogenesis', 'Translocation, Genetic']",1975/08/01 00:00,1975/08/01 00:01,['1975/08/01 00:00'],"['1975/08/01 00:00 [pubmed]', '1975/08/01 00:01 [medline]', '1975/08/01 00:00 [entrez]']",,ppublish,AMB Rev Assoc Med Bras. 1975 Aug;21(8):251-2.,,,Morfogenese do cromossomo Philadelphia (Ph),,,,,
1081693,NLM,MEDLINE,19760301,20190501,0027-8424 (Print) 0027-8424 (Linking),72,10,1975 Oct,New approach to antifolate treatment of certain cancers as demonstrated in tissue culture.,4018-22,"['Halpern, R M', 'Halpern, B C', 'Clark, B R', 'Ashe, H', 'Hardy, D N', 'Jenkinson, P Y', 'Chou, S C', 'Smith, R A']","['Halpern RM', 'Halpern BC', 'Clark BR', 'Ashe H', 'Hardy DN', 'Jenkinson PY', 'Chou SC', 'Smith RA']",['eng'],['Journal Article'],United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Tetrahydrofolates)', 'Q573I9DVLP (Leucovorin)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Carcinoma, Ehrlich Tumor/drug therapy', 'Cell Division/drug effects', 'Cells, Cultured', 'Female', 'Fibroblasts/drug effects', 'Humans', 'Leucovorin/therapeutic use', 'Leukemia L1210/drug therapy', 'Leukemia, Myeloid/*drug therapy', 'Liver/drug effects', 'Methotrexate/pharmacology/*therapeutic use', 'Mice', 'Neoplasms, Experimental/drug therapy', 'Rats', 'Tetrahydrofolates/pharmacology/*therapeutic use']",1975/10/01 00:00,1975/10/01 00:01,['1975/10/01 00:00'],"['1975/10/01 00:00 [pubmed]', '1975/10/01 00:01 [medline]', '1975/10/01 00:00 [entrez]']",['10.1073/pnas.72.10.4018 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1975 Oct;72(10):4018-22. doi: 10.1073/pnas.72.10.4018.,"The selective toxicity of antifolates for a variety of cancers can be improved, as illustrated by the combined administration of N5-methyltetrahydrofolate and methotrexate in tissue culture. When a variety of neoplastic cell types characterized by a deficiency of vitamin B12-dependent N5-methyltetrahydrofolate methyltransferase (5-methyltetrahydropteroyl-L-glutamate:L-homocysteine S-methyltransferase, EC 2.1.1.13) and normal adult cells are grown in media containing methotrexate and either N5-methyltetrahydrofolate or N5-formyltetrahydrofolate, not only is the selective toxicity of methotrexate demonstrated, but the advantage of using N5-methyltetrahydrofolate in place of N5-formyltetrahydrofolate is also revealed. The implications and applications of this particular combination in the treatment of human cancer are discussed.",PMC433129,,,,,,
1081683,NLM,MEDLINE,19760301,20071115,0301-1518 (Print) 0301-1518 (Linking),4,36,1975 Oct 25,[Letter: Elevation of the absolute number of T-lymphocytes in chronic lymphocytic leukemia].,2598,"['Lang, J M', 'Oberling, F', 'Schille, A C', 'Mayer, S']","['Lang JM', 'Oberling F', 'Schille AC', 'Mayer S']",['fre'],['Journal Article'],France,Nouv Presse Med,La Nouvelle presse medicale,0312552,,IM,"['Humans', 'Immune Adherence Reaction', 'Leukemia, Lymphoid/*immunology', '*T-Lymphocytes']",1975/10/25 00:00,1975/10/25 00:01,['1975/10/25 00:00'],"['1975/10/25 00:00 [pubmed]', '1975/10/25 00:01 [medline]', '1975/10/25 00:00 [entrez]']",,ppublish,Nouv Presse Med. 1975 Oct 25;4(36):2598.,,,Elevation du chiffre absolu des lymphocytes T dans la leucemie lymphocytaire chronique,,,,,
1081676,NLM,MEDLINE,19760209,20160523,0031-403X (Print) 0031-403X (Linking),,8,1975 Aug,[Relationship between the populations of lymphoid cells in certain lymphoproliferative diseases].,3-10,"['Kisliak, N S', 'Izotova, T A', 'Sokolov, P P']","['Kisliak NS', 'Izotova TA', 'Sokolov PP']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Pediatriia,Pediatriia,0405563,,IM,"['Adolescent', 'B-Lymphocytes/immunology/pathology', 'Child', 'Child, Preschool', 'Hodgkin Disease/*immunology', 'Humans', 'Infant', 'Leukemia, Lymphoid/*immunology', 'Lymphocytes/*pathology', 'T-Lymphocytes/immunology/pathology']",1975/08/01 00:00,1975/08/01 00:01,['1975/08/01 00:00'],"['1975/08/01 00:00 [pubmed]', '1975/08/01 00:01 [medline]', '1975/08/01 00:00 [entrez]']",,ppublish,Pediatriia. 1975 Aug;(8):3-10.,,,Sootnoshenie populiatsii limfoidnykh kletok pri nekotorykh limfoproliferativnykh zabolevaniiakh,,,,,
1081671,NLM,MEDLINE,19760209,20111117,0031-4005 (Print) 0031-4005 (Linking),56,5,1975 Nov,Lymphocyte surface receptors in childhood acute lymphocytic leukemia.,788-92,"['Esber, E', 'DiNicola, W', 'Movassaghi, N', 'Leikin, S']","['Esber E', 'DiNicola W', 'Movassaghi N', 'Leikin S']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Pediatrics,Pediatrics,0376422,"['0 (Receptors, Antigen, B-Cell)']",IM,"['B-Lymphocytes/immunology', '*Binding Sites, Antibody', 'Bone Marrow/immunology', 'Bone Marrow Cells', 'Cell Membrane/immunology', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Immune Adherence Reaction', 'Infant', 'Leukemia, Lymphoid/*immunology', 'Lymphocytes/*immunology', 'Male', 'Receptors, Antigen, B-Cell/*analysis', 'T-Lymphocytes/immunology']",1975/11/01 00:00,1975/11/01 00:01,['1975/11/01 00:00'],"['1975/11/01 00:00 [pubmed]', '1975/11/01 00:01 [medline]', '1975/11/01 00:00 [entrez]']",,ppublish,Pediatrics. 1975 Nov;56(5):788-92.,B and T lymphocyte surface receptors were studied in the bone marrow and peripheral blood of 16 patients with childhood acute lymphocytic leukemia. T cell surface receptors were identified on the blasts of one patient. Increased percentages of T or B cell surface receptors were not found in the bone marrow of the other 15 patients. There was a negative correlation between the percentage of pathologic cells in the peripheral blood and the percentage of cells with T and B surface receptors. The results of this study indicate that childhood acute lymphocytic leukemia is a heterogeneous disease in terms of lymphocyte surface receptors and that the pathologic cells of the majority of patients with this disease cannot be identified as being of thymic or non-thymic origin.,,,,,,,
1081666,NLM,MEDLINE,19760213,20201226,0031-3025 (Print) 0031-3025 (Linking),7,3,1975 Jul,T cell leukaemia in the rat: the pathophysiology.,219-35,"['Dibley, M', 'Dorsch, S', 'Roser, B']","['Dibley M', 'Dorsch S', 'Roser B']",['eng'],['Journal Article'],England,Pathology,Pathology,0175411,,IM,"['Animals', 'Bone Marrow/pathology', 'Cell Movement', 'Central Nervous System/pathology', 'Granulocytes', 'Leukemia, Experimental/pathology/physiopathology', 'Leukemia, Lymphoid/pathology/*physiopathology', 'Leukocyte Count', 'Liver/pathology', 'Lung/pathology', 'Lymph Nodes/pathology/transplantation', 'Lymphocytes', 'Neoplasm Transplantation', 'Rats', 'Rats, Inbred Strains', 'Spleen/pathology', 'T-Lymphocytes/*physiopathology', 'Thymus Gland/pathology', 'Transplantation, Isogeneic']",1975/07/01 00:00,1975/07/01 00:01,['1975/07/01 00:00'],"['1975/07/01 00:00 [pubmed]', '1975/07/01 00:01 [medline]', '1975/07/01 00:00 [entrez]']",['10.3109/00313027509094412 [doi]'],ppublish,Pathology. 1975 Jul;7(3):219-35. doi: 10.3109/00313027509094412.,A new transplantable lymphocytic leukaemia of the inbred Hooded Oxford strain of rat is described. Fewer than 10 cells will transfer to syngeneic recipients. Leukaemic cells bear the surface markers of thymus-derived (T) cells and recirculate from blood to lymph. In contrast to the usual thymic lymphomas of rodents the pathophysiology of the disease bears a close resemblance to human acute lymphoblastic leukaemia.,,,,,,,
