PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,EDAT,MHDA,CRDT,PHST,AID,PST,SO,LID,DEP,RN,SB,MH,GR,PMC,CI,CN,CIN,MID,OTO,OT,EIN,CON,SI,TT,IR,FIR,GN,OID,PS,FPS,COIS
21464595,NLM,MEDLINE,20110718,20110405,1738-8872 (Electronic) 1017-7825 (Linking),21,3,2011 Mar,A novel metalloprotease from the wild basidiomycete mushroom Lepista nuda.,256-62,"A 20.9-kDa metalloprotease was isolated from dried fruiting bodies of the wild basidiomycete mushroom Lepista nuda. The N-terminal amino acid sequence of the protease was seen to be ATFVLTAATNTLFTA, thus displaying no similarity with the sequences of previously reported metalloproteases. The protease was purified using a procedure that entailed ion-exchange chromatography on CM-Cellulose, Q-Sepharose, and Mono S, and FPLC-gel filtration on Superdex 75. The protease functioned at an optimum pH of 7.0 and an optimum temperature of 50 degrees C. It was also noted that the protease demonstrated a proteolytic activity of 1,756 U/mg toward casein. The Km of the purified protease toward casein was 6.36 mg/ml at a pH of 7.0 and with a temperature of 37 degrees C, whereas the Vmax was 9.11 microgram ml(-1) min(-1). The activity of the protease was adversely affected by EDTA-2Na, suggesting that it is a metalloprotease. PMSF, EGTA, aprotinin, and leupeptin exerted no striking inhibitory effect. The activity of the protease was enhanced by Fe2+, but was curtailed by Cd2+, Cu2+, Hg2+, Pb2+, Zn2+, and Fe3+ ions. The protease also exhibited inhibitory activity against HIV-1 reverse transcriptase with an IC50 value of 4.00 micrometer. The IC50 values toward hepatoma Hep G2 and leukemia L1210 cells in vitro were 4.99 micrometer and 3.67 micrometer, respectively.","['Wu, Y Y', 'Wang, H X', 'Ng, T B']","['Wu YY', 'Wang HX', 'Ng TB']","['State Key Laboratory for Agrobiotechnology and Department of Microbiology, China Agricultural University, Beijing, China.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Korea (South),J Microbiol Biotechnol,Journal of microbiology and biotechnology,9431852,2011/04/06 06:00,2011/07/19 06:00,['2011/04/06 06:00'],"['2011/04/06 06:00 [entrez]', '2011/04/06 06:00 [pubmed]', '2011/07/19 06:00 [medline]']",['JMB021-03-05 [pii]'],ppublish,J Microbiol Biotechnol. 2011 Mar;21(3):256-62.,,,"['0 (Caseins)', '0 (Cations, Divalent)', '0 (Enzyme Activators)', '0 (Enzyme Inhibitors)', '0 (Metals)', 'EC 2.7.7.- (reverse transcriptase, Human immunodeficiency virus 1)', 'EC 2.7.7.49 (HIV Reverse Transcriptase)', 'EC 3.4.- (Metalloproteases)']",IM,"['Agaricales/*enzymology', 'Caseins/metabolism', 'Cations, Divalent/metabolism', 'Cell Line, Tumor', 'Chromatography, Liquid/methods', 'Enzyme Activators/metabolism', 'Enzyme Inhibitors/metabolism', 'Enzyme Stability', 'Fruiting Bodies, Fungal/enzymology', 'HIV Reverse Transcriptase/antagonists & inhibitors', 'Humans', 'Hydrogen-Ion Concentration', 'Inhibitory Concentration 50', 'Kinetics', 'Metalloproteases/chemistry/*isolation & purification/*metabolism/toxicity', 'Metals/metabolism', 'Molecular Sequence Data', 'Molecular Weight', 'Sequence Analysis, Protein', 'Sequence Homology, Amino Acid', 'Temperature']",,,,,,,,,,,,,,,,,,,
21464554,NLM,MEDLINE,20110930,20160519,1663-2826 (Electronic) 1663-2818 (Linking),75,6,2011,Increased adiposity and altered adipocyte function in female survivors of childhood acute lymphoblastic leukaemia treated without cranial radiation.,433-40,"BACKGROUND: Excess adiposity is a complication of childhood acute lymphoblastic leukaemia (ALL) and is commonly attributed to cranial radiation (CRT) administration. Hyperleptinaemia also occurs during ALL treatment, but there are no data on long-term alterations to adipocytokines following treatment without CRT. METHODS: Fifty-four survivors (50% female) and 51 controls (59% female) were recruited. Body composition assessment was by BMI, air displacement plethysmography (BODPOD), bioelectrical impedance analysis (BIA) and skinfold thickness (SFT). Fasting blood samples were analysed for adipocytokines (leptin, adiponectin, resistin, tumour necrosis factor-alpha, interleukin-6). RESULTS: The BMI standard deviation score (0.71 vs. 0.04, p < 0.05) and fat percentage measured by BIA (29.8% vs. 24.6%, p = 0.01) and SFT (31.7% vs. 28.2%, p = 0.007) were greater in female survivors compared with controls. Adiposity was similar in male survivors and controls. Absolute leptin (17.8 vs. 7.8 ng/ml, p = 0.01) and fat-adjusted leptin concentrations (p < 0.05) were higher in female survivors compared to controls. Female survivors were less insulin sensitive than controls (p = 0.02). These findings were not observed in males. There were no differences in the other adipocytokines between survivors and controls. CONCLUSIONS: Long-term unfavourable alterations to body composition and adipocyte function are observed in female, but not male, survivors of ALL treatment without CRT.","['Kohler, J A', 'Moon, R J', 'Wright, S', 'Willows, E', 'Davies, J H']","['Kohler JA', 'Moon RJ', 'Wright S', 'Willows E', 'Davies JH']","['Paediatric Oncology and Paediatric Endocrinology, Southampton University Hospitals NHS Trust, Southampton, UK.']",['eng'],['Journal Article'],Switzerland,Horm Res Paediatr,Hormone research in paediatrics,101525157,2011/04/06 06:00,2011/10/01 06:00,['2011/04/06 06:00'],"['2010/07/16 00:00 [received]', '2011/01/14 00:00 [accepted]', '2011/04/06 06:00 [entrez]', '2011/04/06 06:00 [pubmed]', '2011/10/01 06:00 [medline]']","['000324412 [pii]', '10.1159/000324412 [doi]']",ppublish,Horm Res Paediatr. 2011;75(6):433-40. doi: 10.1159/000324412. Epub 2011 Apr 5.,10.1159/000324412 [doi],20110405,['0 (Leptin)'],IM,"['Adipocytes, White/metabolism', '*Adiposity', 'Adolescent', 'Case-Control Studies', 'Child', 'Diet', 'Exercise', 'Female', 'Humans', 'Leptin/*blood', 'Lipid Metabolism', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*blood/radiotherapy/therapy']",,,"['Copyright (c) 2011 S. Karger AG, Basel.']",,,,,,,,,,,,,,,,
21464419,NLM,MEDLINE,20110812,20110609,1527-7755 (Electronic) 0732-183X (Linking),29,17,2011 Jun 10,Pyoderma gangrenosum heralding acute leukemia for months: diagnostic hint written on the skin.,e506-8,,"['Schlick, Konstantin', 'Regauer, Sigrid', 'Beham-Schmid, Christine', 'Cerroni, Lorenzo', 'Rohn, Angelika', 'Deutsch, Alexander J A', 'Linkesch, Werner', 'Neumeister, Peter', 'Aigelsreiter, Ariane']","['Schlick K', 'Regauer S', 'Beham-Schmid C', 'Cerroni L', 'Rohn A', 'Deutsch AJ', 'Linkesch W', 'Neumeister P', 'Aigelsreiter A']","['Medical University of Graz, Graz, Austria.']",['eng'],"['Case Reports', 'Journal Article']",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,2011/04/06 06:00,2011/08/13 06:00,['2011/04/06 06:00'],"['2011/04/06 06:00 [entrez]', '2011/04/06 06:00 [pubmed]', '2011/08/13 06:00 [medline]']","['JCO.2010.34.3855 [pii]', '10.1200/JCO.2010.34.3855 [doi]']",ppublish,J Clin Oncol. 2011 Jun 10;29(17):e506-8. doi: 10.1200/JCO.2010.34.3855. Epub 2011 Apr 4.,10.1200/JCO.2010.34.3855 [doi],20110404,,IM,"['Humans', 'Leukemia, Myeloid, Acute/*complications', 'Male', 'Middle Aged', 'Pyoderma Gangrenosum/*diagnosis/etiology', 'Skin/*pathology']",,,,,,,,,,,,,,,,,,,
21464407,NLM,MEDLINE,20110812,20151119,1527-7755 (Electronic) 0732-183X (Linking),29,17,2011 Jun 10,Cervical amyloidoma successfully treated with bortezomib and dexamethasone.,e512-3,,"['Farrell, Katrina', 'Stobo, David B', 'Soutar, Richard']","['Farrell K', 'Stobo DB', 'Soutar R']","['Leukaemia Research Fund Virus Centre, University of Glasgow, Glasgow, United Kingdom.']",['eng'],"['Case Reports', 'Journal Article']",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,2011/04/06 06:00,2011/08/13 06:00,['2011/04/06 06:00'],"['2011/04/06 06:00 [entrez]', '2011/04/06 06:00 [pubmed]', '2011/08/13 06:00 [medline]']","['JCO.2011.34.6452 [pii]', '10.1200/JCO.2011.34.6452 [doi]']",ppublish,J Clin Oncol. 2011 Jun 10;29(17):e512-3. doi: 10.1200/JCO.2011.34.6452. Epub 2011 Apr 4.,10.1200/JCO.2011.34.6452 [doi],20110404,"['0 (Boronic Acids)', '0 (Pyrazines)', '69G8BD63PP (Bortezomib)', '7S5I7G3JQL (Dexamethasone)']",IM,"['Aged', 'Amyloidosis/*drug therapy', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Boronic Acids/administration & dosage', 'Bortezomib', '*Cervical Vertebrae', 'Dexamethasone/administration & dosage', 'Humans', 'Magnetic Resonance Imaging', 'Male', 'Pyrazines/administration & dosage', 'Spinal Neoplasms/*drug therapy']",,,,,,,,,,,,,,,,,,,
21464405,NLM,MEDLINE,20110812,20211020,1527-7755 (Electronic) 0732-183X (Linking),29,17,2011 Jun 10,Dasatinib-responsive mast cell neoplasms as initial presentation of chronic myelogenous leukemia in blast phase.,e514-6,,"['Vigil, Carlos E', 'Wang, Sa A', 'Cortes, Jorge E', 'Bueso-Ramos, Carlos', 'Verstovsek, Srdan', 'Shinder, Roman', 'Chen, Su S', 'Katz, Ruth L', 'Khanna, Abha', 'Esmaeli, Bita', 'Manning, John T', 'You, M James', 'Miranda, Roberto N']","['Vigil CE', 'Wang SA', 'Cortes JE', 'Bueso-Ramos C', 'Verstovsek S', 'Shinder R', 'Chen SS', 'Katz RL', 'Khanna A', 'Esmaeli B', 'Manning JT', 'You MJ', 'Miranda RN']","['The University of Texas MD Anderson Cancer Center, Houston, TX, USA.']",['eng'],"['Case Reports', 'Journal Article']",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,2011/04/06 06:00,2011/08/13 06:00,['2011/04/06 06:00'],"['2011/04/06 06:00 [entrez]', '2011/04/06 06:00 [pubmed]', '2011/08/13 06:00 [medline]']","['JCO.2010.34.1610 [pii]', '10.1200/JCO.2010.34.1610 [doi]']",ppublish,J Clin Oncol. 2011 Jun 10;29(17):e514-6. doi: 10.1200/JCO.2010.34.1610. Epub 2011 Apr 4.,10.1200/JCO.2010.34.1610 [doi],20110404,"['0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '0 (Thiazoles)', 'EC 2.7.10.1 (Proto-Oncogene Proteins c-kit)', 'RBZ1571X5H (Dasatinib)']",IM,"['Blast Crisis/diagnosis/*pathology', 'Bone Marrow/pathology', 'Dasatinib', 'Femur/pathology', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/diagnosis/drug therapy/*pathology', 'Male', 'Mastocytosis, Systemic/drug therapy/*pathology', 'Middle Aged', 'Orbital Neoplasms/pathology', 'Protein Kinase Inhibitors/*therapeutic use', 'Proto-Oncogene Proteins c-kit/analysis', 'Pyrimidines/*therapeutic use', 'Thiazoles/*therapeutic use']",['P30 CA016672/CA/NCI NIH HHS/United States'],PMC4874210,,,,,,,,,,,,,,,,,
21464398,NLM,MEDLINE,20110728,20211020,1527-7755 (Electronic) 0732-183X (Linking),29,16,2011 Jun 1,Long-term survival and late deaths after allogeneic hematopoietic cell transplantation.,2230-9,"PURPOSE: Allogeneic hematopoietic cell transplantation (HCT) is curative but is associated with life-threatening complications. Most deaths occur within the first 2 years after transplantation. In this report, we examine long-term survival in 2-year survivors in the largest cohort ever studied. PATIENTS AND METHODS: Records of 10,632 patients worldwide reported to the Center for International Blood and Marrow Transplant Research who were alive and disease free 2 years after receiving a myeloablative allogeneic HCT before 2004 for acute myelogenous or lymphoblastic leukemia, myelodysplastic syndrome, lymphoma, or severe aplastic anemia were reviewed. RESULTS: Median follow-up was 9 years, and 3,788 patients had been observed for 10 or more years. The probability of being alive 10 years after HCT was 85%. The chief risk factors for late death included older age and chronic graft-versus-host disease (GVHD). For patients who underwent transplantation for malignancy, relapse was the most common cause of death. The greatest risk factor for late relapse was advanced disease at transplantation. Principal risk factors for nonrelapse deaths were older age and GVHD. When compared with age, sex, and nationality-matched general population, late deaths remained higher than expected for each disease, with the possible exception of lymphoma, although the relative risk generally receded over time. CONCLUSION: The prospect for long-term survival is excellent for 2-year survivors of allogeneic HCT. However, life expectancy remains lower than expected. Performance of HCT earlier in the course of disease, control of GVHD, enhancement of immune reconstitution, less toxic regimens, and prevention and early treatment of late complications are needed.","['Wingard, John R', 'Majhail, Navneet S', 'Brazauskas, Ruta', 'Wang, Zhiwei', 'Sobocinski, Kathleen A', 'Jacobsohn, David', 'Sorror, Mohamed L', 'Horowitz, Mary M', 'Bolwell, Brian', 'Rizzo, J Douglas', 'Socie, Gerard']","['Wingard JR', 'Majhail NS', 'Brazauskas R', 'Wang Z', 'Sobocinski KA', 'Jacobsohn D', 'Sorror ML', 'Horowitz MM', 'Bolwell B', 'Rizzo JD', 'Socie G']","['Shands Hospital, University of Florida, College of Medicine, Gainesville, FL 32610-0278, USA. wingajr@ufl.edu']",['eng'],"['Journal Article', 'Multicenter Study']",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,2011/04/06 06:00,2011/07/29 06:00,['2011/04/06 06:00'],"['2011/04/06 06:00 [entrez]', '2011/04/06 06:00 [pubmed]', '2011/07/29 06:00 [medline]']","['JCO.2010.33.7212 [pii]', '10.1200/JCO.2010.33.7212 [doi]']",ppublish,J Clin Oncol. 2011 Jun 1;29(16):2230-9. doi: 10.1200/JCO.2010.33.7212. Epub 2011 Apr 4.,10.1200/JCO.2010.33.7212 [doi],20110404,,IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Cause of Death', 'Child', 'Child, Preschool', 'Female', 'Follow-Up Studies', 'Graft vs Host Disease/epidemiology', 'Hematologic Diseases/surgery', 'Hematopoietic Stem Cell Transplantation/adverse effects/*mortality', 'Humans', 'Infant', 'Male', 'Middle Aged', 'Risk Factors', 'Transplantation, Homologous', 'Young Adult']","['U01 HL069294/HL/NHLBI NIH HHS/United States', 'U24 CA076518/CA/NCI NIH HHS/United States']",PMC3107742,,,,,,,,,,,,,,,,,
21464370,NLM,MEDLINE,20110920,20210206,1528-0020 (Electronic) 0006-4971 (Linking),117,26,2011 Jun 30,Merkel cell polyomavirus DNA sequences in the buffy coats of healthy blood donors.,7099-101,"Merkel cell polyomavirus (MCPyV), a DNA tumor virus, has been found to be associated with Merkel cell carcinoma and chronic lymphocytic leukemia. MCPyV sequences have also been detected in various normal tissues in tumor-affected patients. Immunologic studies have detected MCPyV antibodies in as many as 80% of healthy blood donors. This high seroprevalence suggests that MCPyV infection is widespread in humans. In our study, buffy coats, which were examined for MCPyV DNA Tag sequences, showed a prevalence of 22%. Viral DNA load was revealed in blood samples from 10 to 100 molecules/100 000 cells. DNA sequencing confirmed that polymerase chain reaction amplicons belong to the MCPyV strain, MKL-1. To interpret the putative role of MCPyV in chronic lymphocytic leukemia, we may infer that, during a long period of viral persistence in blood cells, this DNA tumor virus may generate mutants, which are able to participate as cofactors in the multistep process of cell transformation.","['Pancaldi, Cecilia', 'Corazzari, Valentina', 'Maniero, Stefania', 'Mazzoni, Elisa', 'Comar, Manola', 'Martini, Fernanda', 'Tognon, Mauro']","['Pancaldi C', 'Corazzari V', 'Maniero S', 'Mazzoni E', 'Comar M', 'Martini F', 'Tognon M']","['Department of Morphology and Embryology, Section of Cell Biology and Molecular Genetics, University of Ferrara, Ferrara, Italy; and.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,2011/04/06 06:00,2011/09/21 06:00,['2011/04/06 06:00'],"['2011/04/06 06:00 [entrez]', '2011/04/06 06:00 [pubmed]', '2011/09/21 06:00 [medline]']","['S0006-4971(20)44850-5 [pii]', '10.1182/blood-2010-09-310557 [doi]']",ppublish,Blood. 2011 Jun 30;117(26):7099-101. doi: 10.1182/blood-2010-09-310557. Epub 2011 Apr 4.,10.1182/blood-2010-09-310557 [doi],20110404,"['0 (DNA, Viral)']",IM,"['Adult', 'Aged', 'Base Sequence', 'Blood Buffy Coat/*virology', 'Carcinoma, Merkel Cell/*virology', 'DNA, Viral/*isolation & purification', 'Databases, Nucleic Acid', 'Expressed Sequence Tags', 'Humans', 'Italy/epidemiology', 'Middle Aged', 'Molecular Sequence Data', 'Polymerase Chain Reaction', 'Polyomavirus/chemistry/genetics/*isolation & purification', 'Polyomavirus Infections/epidemiology', 'Prevalence', 'Reverse Transcriptase Polymerase Chain Reaction', 'Sequence Alignment', 'Sequence Analysis, DNA', 'Tumor Virus Infections/epidemiology', 'Viral Load', 'Young Adult']",,,,,['Blood. 2011 Jun 30;117(26):6975-6. PMID: 21719606'],,,,,,,,,,,,,,
21464223,NLM,MEDLINE,20110610,20211020,1540-9538 (Electronic) 0022-1007 (Linking),208,4,2011 Apr 11,Clonal selection in xenografted human T cell acute lymphoblastic leukemia recapitulates gain of malignancy at relapse.,653-61,"Genomic studies in human acute lymphoblastic leukemia (ALL) have revealed clonal heterogeneity at diagnosis and clonal evolution at relapse. In this study, we used genome-wide profiling to compare human T cell ALL samples at the time of diagnosis and after engraftment (xenograft) into immunodeficient recipient mice. Compared with paired diagnosis samples, the xenograft leukemia often contained additional genomic lesions in established human oncogenes and/or tumor suppressor genes. Mimicking such genomic lesions by short hairpin RNA-mediated knockdown in diagnosis samples conferred a selective advantage in competitive engraftment experiments, demonstrating that additional lesions can be drivers of increased leukemia-initiating activity. In addition, the xenograft leukemias appeared to arise from minor subclones existing in the patient at diagnosis. Comparison of paired diagnosis and relapse samples showed that, with regard to genetic lesions, xenograft leukemias more frequently more closely resembled relapse samples than bulk diagnosis samples. Moreover, a cell cycle- and mitosis-associated gene expression signature was present in xenograft and relapse samples, and xenograft leukemia exhibited diminished sensitivity to drugs. Thus, the establishment of human leukemia in immunodeficient mice selects and expands a more aggressive malignancy, recapitulating the process of relapse in patients. These findings may contribute to the design of novel strategies to prevent or treat relapse.","['Clappier, Emmanuelle', 'Gerby, Bastien', 'Sigaux, Francois', 'Delord, Marc', 'Touzri, Farah', 'Hernandez, Lucie', 'Ballerini, Paola', 'Baruchel, Andre', 'Pflumio, Francoise', 'Soulier, Jean']","['Clappier E', 'Gerby B', 'Sigaux F', 'Delord M', 'Touzri F', 'Hernandez L', 'Ballerini P', 'Baruchel A', 'Pflumio F', 'Soulier J']","[""Laboratoire de Recherche sur les Cellules Souches Hematopoietiques et Leucemiques, Institut de Radiobiologie Cellulaire et Moleculaire, Commissariat a l'Energie Atomique et aux Energies Alternatives, 92265 Fontenay-aux-Roses, France.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Exp Med,The Journal of experimental medicine,2985109R,2011/04/06 06:00,2011/06/11 06:00,['2011/04/06 06:00'],"['2011/04/06 06:00 [entrez]', '2011/04/06 06:00 [pubmed]', '2011/06/11 06:00 [medline]']","['jem.20110105 [pii]', '10.1084/jem.20110105 [doi]']",ppublish,J Exp Med. 2011 Apr 11;208(4):653-61. doi: 10.1084/jem.20110105. Epub 2011 Apr 4.,10.1084/jem.20110105 [doi],20110404,['EC 3.1.3.67 (PTEN Phosphohydrolase)'],IM,"['Animals', 'Cell Cycle', 'Gene Expression Profiling', 'Humans', 'Mice', 'Mitosis', 'Neoplasm Transplantation', 'PTEN Phosphohydrolase/physiology', 'Precursor T-Cell Lymphoblastic Leukemia-Lymphoma/*genetics/pathology', 'Recurrence', 'Transplantation, Heterologous']",,PMC3135355,,,,,,,,,,,,,,,,,
21464222,NLM,MEDLINE,20110610,20211020,1540-9538 (Electronic) 0022-1007 (Linking),208,4,2011 Apr 11,Repression of tumor suppressor miR-451 is essential for NOTCH1-induced oncogenesis in T-ALL.,663-75,"The NOTCH1 signaling pathway is a critical determinant of cell fate decisions and drives oncogenesis through mechanisms that are incompletely understood. Using an established mouse model of T cell acute lymphoblastic leukemia (T-ALL), here we report that induction of intracellular Notch1 (ICN1) leads to repression of miR-451 and miR-709. ICN1 decreases expression of these miRNAs by inducing degradation of the E2a tumor suppressor, which transcriptionally activates the genes encoding miR-451 and miR-709. Both miR-451 and miR-709 directly repress Myc expression. In addition, miR-709 directly represses expression of the Akt and Ras-GRF1 oncogenes. We also show that repression of miR-451 and miR-709 expression is required for initiation and maintenance of mouse T-ALL. miR-451 but not miR-709 is conserved in humans, and human T-ALLs with activating NOTCH1 mutations have decreased miR-451 and increased MYC levels compared with T-ALLs with wild-type NOTCH1. Thus, miR-451 and miR-709 function as potent suppressors of oncogenesis in NOTCH1-induced mouse T-ALL, and miR-451 influences MYC expression in human T-ALL bearing NOTCH1 mutations.","['Li, Xiaoyu', 'Sanda, Takaomi', 'Look, A Thomas', 'Novina, Carl D', 'von Boehmer, Harald']","['Li X', 'Sanda T', 'Look AT', 'Novina CD', 'von Boehmer H']","['Department of Cancer Immunology and AIDS, Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA 02215, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,J Exp Med,The Journal of experimental medicine,2985109R,2011/04/06 06:00,2011/06/11 06:00,['2011/04/06 06:00'],"['2011/04/06 06:00 [entrez]', '2011/04/06 06:00 [pubmed]', '2011/06/11 06:00 [medline]']","['jem.20102384 [pii]', '10.1084/jem.20102384 [doi]']",ppublish,J Exp Med. 2011 Apr 11;208(4):663-75. doi: 10.1084/jem.20102384. Epub 2011 Apr 4.,10.1084/jem.20102384 [doi],20110404,"['0 (Basic Helix-Loop-Helix Transcription Factors)', '0 (MIRN451 microRNA, human)', '0 (MicroRNAs)', '0 (Mirn451 microRNA, mouse)', '0 (NOTCH1 protein, human)', '0 (Notch1 protein, mouse)', '0 (Receptor, Notch1)', '0 (Tcf3 protein, mouse)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-akt)']",IM,"['Animals', 'Base Sequence', 'Basic Helix-Loop-Helix Transcription Factors/physiology', 'Genes, myc', 'Genes, ras', 'Humans', 'Mice', 'Mice, Inbred BALB C', 'MicroRNAs/*antagonists & inhibitors/*physiology', 'Molecular Sequence Data', 'Precursor T-Cell Lymphoblastic Leukemia-Lymphoma/*etiology/genetics', 'Proto-Oncogene Proteins c-akt/genetics', 'Receptor, Notch1/*physiology']","['P01 CA109901/CA/NCI NIH HHS/United States', '5P01CA109901/CA/NCI NIH HHS/United States', 'P01 CA068484/CA/NCI NIH HHS/United States', 'P30 AI060354/AI/NIAID NIH HHS/United States', '5P01CA68484/CA/NCI NIH HHS/United States']",PMC3135352,,,,,,,,,,,,,,,,,
21464015,NLM,MEDLINE,20110606,20110412,0003-3898 (Print) 0003-3898 (Linking),69,2,2011 Mar-Apr,[Congenital acute monoblastic leukemia: about one case and differential diagnosis].,208-11,"Congenital leukemia is a rare disease in the newborns. It poses, however, many problems both for the clinician and for the biologist. Although of unknown etiology, the development of neonatal acute leukemia suggests a chromosomal rearrangement. Several specific chromosome rearrangements, common in cases of congenital leukemia, have been identified; it implies frequently the MLL gene. The differential diagnosis is difficult and includes different diseases frequently found in the neonatal period. We report the case of a newborn developing acute monocytic leukemia one hour after birth. Cytogenetics revealed a rearrangement of the MLL gene. The child was treated according to the protocol ELAM 02. Unfortunately, she developed multiple organ failure a few days later and died at 5 weeks.","['Dekeyser, Melanie', 'Hougardy, Nicolas', 'Denoncin, Catherine', 'Chantrain, Christophe', 'Goffinet, Pierre', 'Grandjean, Frederic']","['Dekeyser M', 'Hougardy N', 'Denoncin C', 'Chantrain C', 'Goffinet P', 'Grandjean F']","['Cliniques du Sud-Luxembourg, Arlon, Belgique. m.dekeyser@hotmail.com']",['fre'],"['Case Reports', 'English Abstract', 'Journal Article']",France,Ann Biol Clin (Paris),Annales de biologie clinique,2984690R,2011/04/06 06:00,2011/06/07 06:00,['2011/04/06 06:00'],"['2011/04/06 06:00 [entrez]', '2011/04/06 06:00 [pubmed]', '2011/06/07 06:00 [medline]']","['abc.2011.0530 [pii]', '10.1684/abc.2011.0530 [doi]']",ppublish,Ann Biol Clin (Paris). 2011 Mar-Apr;69(2):208-11. doi: 10.1684/abc.2011.0530.,10.1684/abc.2011.0530 [doi],,,IM,"['Diagnosis, Differential', 'Fatal Outcome', 'Female', 'Humans', 'Infant, Newborn', 'Leukemia, Monocytic, Acute/*congenital/*diagnosis']",,,,,,,,,,,,Leucemie monoblastique aigue congenitale : a propos d'un cas et diagnostic differentiel.,,,,,,,
21463850,NLM,MEDLINE,20110812,20190117,1728-7731 (Electronic) 1726-4901 (Linking),74,4,2011 Apr,A rare complication in a child undergoing chemotherapy for acute lymphoblastic leukemia: superior sagittal sinus thrombosis.,183-7,"We report the case of a 4-year-old boy with acute lymphoblastic leukemia in high-risk group who suffered from generalized tonic-colonic seizure evolving into status epilepticus, and subsequent left hemiparesis during his first reinduction chemotherapy, consisting of dexamethasone, vincristine, l-asparaginase, and epirubicin. Superior sagittal sinus and cerebral venous thrombosis, predominantly in right side, were proved by brain magnetic resonance imaging. After aggressive treatment with low-molecular weight heparin (LMWH), left hemiparesis improved in 1 week. And he was fully ambulatory 3 weeks later. The second cycle of reinduction chemotherapy was conducted smoothly with the concomitant use of LMWH. This case illustrates the strong correlation of the rare thrombotic complication, superior sagittal sinus thrombosis, and hypercoagulable status secondary to combination use of l-asparaginase and corticosteroid. Early and vigilant recognition of superior sagittal sinus thrombosis and prompt anticoagulation with LMWH may prevent further neurological damage.","['Wang, Ting-Yao', 'Yen, Hsiu-Ju', 'Hung, Giun-Yi', 'Hsieh, Ming-Yun', 'Tang, Ren-Bin']","['Wang TY', 'Yen HJ', 'Hung GY', 'Hsieh MY', 'Tang RB']","['Department of Pediatrics, Taipei Veterans General Hospital, Taipei, Taiwan, ROC.']",['eng'],"['Case Reports', 'Journal Article']",Netherlands,J Chin Med Assoc,Journal of the Chinese Medical Association : JCMA,101174817,2011/04/06 06:00,2011/08/13 06:00,['2011/04/06 06:00'],"['2010/06/07 00:00 [received]', '2010/09/10 00:00 [accepted]', '2011/04/06 06:00 [entrez]', '2011/04/06 06:00 [pubmed]', '2011/08/13 06:00 [medline]']","['S1726-4901(11)00058-X [pii]', '10.1016/j.jcma.2011.01.041 [doi]']",ppublish,J Chin Med Assoc. 2011 Apr;74(4):183-7. doi: 10.1016/j.jcma.2011.01.041. Epub 2011 Mar 21.,10.1016/j.jcma.2011.01.041 [doi],20110321,"['0 (Heparin, Low-Molecular-Weight)', 'EC 3.5.1.1 (Asparaginase)']",IM,"['Asparaginase/adverse effects', 'Child, Preschool', 'Heparin, Low-Molecular-Weight/therapeutic use', 'Humans', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/complications/*drug therapy', 'Sagittal Sinus Thrombosis/drug therapy/*etiology']",,,['Copyright (c) 2011. Published by Elsevier B.V.'],,,,,,,,,,,,,,,,
