PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,GS,MH,PMC,EDAT,MHDA,CRDT,PHST,PST,SO,SI,GR,AID,RF,TT,RIN,EIN,CIN,OID,OAB,OABL,OTO,OT,GN,CON
1206733,NLM,MEDLINE,19760315,20190509,0027-8874 (Print) 0027-8874 (Linking),55,5,1975 Nov,Incidence of childhood cancer in Finland.,1065-7,"Between 1953 and 1970, 2,605 malignant tumors in children under 15 years of age were reported to the Finnish Cancer Registry, a population-based registry that covers the whole country (population, 4.6 million). The mean annual age-adjusted incidence rates per million were 128 in males and 108 in females. The most common neoplasms were leukemia (age-adjusted incidence rates, 43.7 in males; 34;7 in females), brain tumors (26.4 in males, 22.8 in females), renal tumors (10;0 in males, 9.1 in females), lymphomas (10.8 in males, 5.3 in females), and bone tumors (5;3 in males, 5.1 in females). This distribution is roughly the same as the observed in many other white populations. However, the incidence rates of leukemia, lymphomas, neuroblastomas, and soft-tissue tumors were somewhate lower than figures reported in the Third National Cancer Survey of the United States.","['Teppo, L', 'Salonen, T', 'Hakulinen, T']","['Teppo L', 'Salonen T', 'Hakulinen T']",,['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,,IM,,"['Adolescent', 'Age Factors', 'Brain Neoplasms/epidemiology', 'Child', 'Child, Preschool', 'Female', 'Finland', 'Humans', 'Infant', 'Leukemia/epidemiology', 'Lymphoma/epidemiology', 'Male', 'Neoplasms/*epidemiology']",,1975/11/01 00:00,1975/11/01 00:01,['1975/11/01 00:00'],"['1975/11/01 00:00 [pubmed]', '1975/11/01 00:01 [medline]', '1975/11/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1975 Nov;55(5):1065-7. doi: 10.1093/jnci/55.5.1065.,,,['10.1093/jnci/55.5.1065 [doi]'],,,,,,,,,,,,
1206731,NLM,MEDLINE,19760315,20190509,0027-8874 (Print) 0027-8874 (Linking),55,5,1975 Nov,Abnormal profile of human nucleolytic activity as a test for cancer.,1055-9,"Serum samples from patients with various malignancies including acute nonlymphocytic leukemia (ANLL), brain tumor (BT), Hodgkin's disease (HD), and non Hodgkin's lymphoma (NHL) were evaluated for nucleolytic activity against six synthetic polynucleotides: polyadenylic acid, polyuridylic acid, polycytidylic acid, polyguanylic acid, polyadenylic-polyuridylic acid, and polyguanylic-polycytidylic acid; The enzyme activity was determined spectrophotometrically by following the degradation of substrate to acid-soluble nucleotides. Most patients had elevated serum RNase activity at the 95% confidence level when compared to 30 controls. Included in this group were 67% of patients with ANLL, 46% of patients with BT, 73% of patients with HD, and 67% of patients with NHL. These data confirmed the earlier suggestion that elevated serum nuclease activity is found in patients with neoplastic disease. However, whether or not a serum was identified as abnormal depended on the substrate used in the assay; this underscored the need to test samples against a variety of polynucleotides. Alterations in serum nucleolytic activity represent an important marker of neoplastic disease and can serve as the basis for a useful clinical screening device.","['Drake, W P', 'Schmukler, M', 'Pendergrast, W J Jr', 'Davis, A S', 'Lichtenfeld, J L', 'Mardiney, M R Jr']","['Drake WP', 'Schmukler M', 'Pendergrast WJ Jr', 'Davis AS', 'Lichtenfeld JL', 'Mardiney MR Jr']",,['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Polynucleotides)', '24936-38-7 (Poly A-U)', '27416-86-0 (Poly U)', '30811-80-4 (Poly C)', 'EC 3.1.- (Ribonucleases)']",IM,,"['Brain Neoplasms/enzymology', 'Hodgkin Disease/enzymology', 'Humans', 'Leukemia/enzymology', 'Lymphoma/enzymology', 'Neoplasms/*enzymology', 'Poly A-U', 'Poly C', 'Poly U', 'Polynucleotides', 'Ribonucleases/*blood']",,1975/11/11 19:15,2001/03/28 10:01,['1975/11/11 19:15'],"['1975/11/11 19:15 [pubmed]', '2001/03/28 10:01 [medline]', '1975/11/11 19:15 [entrez]']",ppublish,J Natl Cancer Inst. 1975 Nov;55(5):1055-9. doi: 10.1093/jnci/55.5.1055.,,,['10.1093/jnci/55.5.1055 [doi]'],,,,,,,,,,,,
1206305,NLM,MEDLINE,19760311,20131121,0022-0795 (Print) 0022-0795 (Linking),67,2,1975 Nov,Proceedings: Effects of prolactin and bromocriptine on the response to Moloney sarcoma virus in mice.,57P-58P,,"['Karmali, R A', 'Horrobin, D F']","['Karmali RA', 'Horrobin DF']",,['eng'],['Journal Article'],England,J Endocrinol,The Journal of endocrinology,0375363,"['0 (Ergolines)', '3A64E3G5ZO (Bromocriptine)', '9002-62-4 (Prolactin)']",IM,,"['Animals', 'Bromocriptine/*pharmacology', 'Ergolines/*pharmacology', 'Mice', 'Mice, Inbred BALB C', 'Moloney murine leukemia virus', 'Neoplasms, Experimental/*pathology', 'Prolactin/*pharmacology', 'Rhabdomyosarcoma/pathology']",,1975/11/01 00:00,1975/11/01 00:01,['1975/11/01 00:00'],"['1975/11/01 00:00 [pubmed]', '1975/11/01 00:01 [medline]', '1975/11/01 00:00 [entrez]']",ppublish,J Endocrinol. 1975 Nov;67(2):57P-58P.,,,,,,,,,,,,,,,
1206269,NLM,MEDLINE,19760311,20190709,0022-0795 (Print) 0022-0795 (Linking),67,2,1975 Nov,Radioimmunoassay of plasma vasopressin in physiological and pathological states in man.,189-202,"A radioimmunoassay method for the measurement of arginine-vasopressin (AVP) in human plasma has been developed which requires 5 ml of plasma and has a lower limit of detection of 1-8 pg/ml plasma. Arginine-vasopressin was found to be stable in whole blood for up to 1 h at room temperature and for at least 4 h at 4 degrees C, while in plasma stored at -20 degrees C no loss was seen over 10 days. Dehydration and rehydration in normal subjects produced appropriate changes in AVP concentration but there was considerable variability in the levels attained by individual subjects and no obvious correlation with plasma osmolality. No consistent increase in plasma AVP concentration was seen on change of posture from the recumbent to the upright position. Vigorous exercise produced a marked rise in plasma AVP concentrations in most subjects which could not be attributed simply to an increase in plasma osmolality. In fusion studies with Pitressin in normal subjects showed a mean half-life of 6-4 min with an overall plasma clearance rate of 8-5 ml/min/kg body weight and a mean volume of distribution of 5-33 l. In patients with a biochemical picture suggestive of inappropriate antidiuretic hormone secretion, markedly raised plasma AVP concentrations were found only in patients with bronchial carcinoma.","['Beardwell, C G', 'Geelen, G', 'Palmer, H M', 'Roberts, D', 'Salamonson, L']","['Beardwell CG', 'Geelen G', 'Palmer HM', 'Roberts D', 'Salamonson L']",,['eng'],['Journal Article'],England,J Endocrinol,The Journal of endocrinology,0375363,"['11000-17-2 (Vasopressins)', '113-79-1 (Arginine Vasopressin)', '7LXU5N7ZO5 (Furosemide)', '9002-71-5 (Thyrotropin)', '9002-72-6 (Growth Hormone)', 'WI4X0X7BPJ (Hydrocortisone)']",IM,,"['Arginine Vasopressin/*blood/metabolism', 'Blood Preservation', 'Bronchial Neoplasms/blood', 'Dehydration/blood', 'Furosemide', 'Growth Hormone/blood', 'Humans', 'Hydrocortisone/blood', 'Hyponatremia/blood', 'Leukemia/blood', 'Osmolar Concentration', 'Physical Exertion', 'Posture', '*Radioimmunoassay', 'Thyrotropin/blood', 'Urine', 'Vasopressins/*analogs & derivatives/pharmacology']",,1975/11/01 00:00,1975/11/01 00:01,['1975/11/01 00:00'],"['1975/11/01 00:00 [pubmed]', '1975/11/01 00:01 [medline]', '1975/11/01 00:00 [entrez]']",ppublish,J Endocrinol. 1975 Nov;67(2):189-202. doi: 10.1677/joe.0.0670189.,,,['10.1677/joe.0.0670189 [doi]'],,,,,,,,,,,,
1206119,NLM,MEDLINE,19760320,20190501,0021-9746 (Print) 0021-9746 (Linking),28,12,1975 Dec,Agar culture and chromosome analysis of eosinophilic leukaemia.,956-61,The blood and bone marrow of a 75-year-old woman with eosinophilia were studied in an attempt to characterize further the entity eosinophilic leukaemia (EL). Haemopoietic cell culture in agar gave patterns of colony size and number and cell morphology indistinguishable from those seen in classical chronic granulocytic leukaemia (CGL). Analysis of myeloid cells showed an extra C group chromosome that proved on Giemsa banding to be number 10. These results suggest that some cases of EL represent a chronic myeloproliferative disease that resembles classical CGL but can be distinguished from it by chromosomal analysis.,"['Goldman, J M', 'Najfeld, V', ""Th'ng, K H""]","['Goldman JM', 'Najfeld V', ""Th'ng KH""]",,['eng'],"['Case Reports', 'Journal Article']",England,J Clin Pathol,Journal of clinical pathology,0376601,['0 (Culture Media)'],IM,,"['Aged', 'Bone Marrow Cells', 'Cells, Cultured', '*Chromosome Aberrations', 'Chromosomes, Human, 6-12 and X', 'Culture Media', '*Eosinophils', 'Female', 'Humans', 'Leukemia/*genetics', 'Leukocytes/cytology']",PMC475911,1975/12/01 00:00,1975/12/01 00:01,['1975/12/01 00:00'],"['1975/12/01 00:00 [pubmed]', '1975/12/01 00:01 [medline]', '1975/12/01 00:00 [entrez]']",ppublish,J Clin Pathol. 1975 Dec;28(12):956-61. doi: 10.1136/jcp.28.12.956.,,,['10.1136/jcp.28.12.956 [doi]'],,,,,,,,,,,,
1205802,NLM,MEDLINE,19760402,20031114,0021-2180 (Print) 0021-2180 (Linking),11,11,1975 Nov,Proceedings: Inhibition of the production of leukemia virus by interferon.,1211,,"['Aviv, H', 'Lieberman, D', 'Volloch, Z', 'Nudel, U', 'Revel, M']","['Aviv H', 'Lieberman D', 'Volloch Z', 'Nudel U', 'Revel M']",,['eng'],['Journal Article'],Israel,Isr J Med Sci,Israel journal of medical sciences,0013105,['9008-11-1 (Interferons)'],IM,,"['Animals', 'Friend murine leukemia virus/*growth & development', 'Interferons/*pharmacology', '*Virus Replication']",,1975/11/01 00:00,1975/11/01 00:01,['1975/11/01 00:00'],"['1975/11/01 00:00 [pubmed]', '1975/11/01 00:01 [medline]', '1975/11/01 00:00 [entrez]']",ppublish,Isr J Med Sci. 1975 Nov;11(11):1211.,,,,,,,,,,,,,,,
1205741,NLM,MEDLINE,19760402,20041117,0021-2180 (Print) 0021-2180 (Linking),11,11,1975 Nov,Proceedings: Action of lysozymes from different sources on a soluble linear peptidoglycan.,1174,,"['Schindler, M', 'Mirelman, D', 'Sharon, N']","['Schindler M', 'Mirelman D', 'Sharon N']",,['eng'],['Journal Article'],Israel,Isr J Med Sci,Israel journal of medical sciences,0013105,"['0 (Peptidoglycan)', 'EC 3.2.1.17 (Muramidase)']",IM,,"['Animals', 'Chickens', 'Egg White', 'Geese', 'Humans', 'Leukemia/urine', 'Muramidase/*metabolism', 'Peptidoglycan/*metabolism']",,1975/11/01 00:00,1975/11/01 00:01,['1975/11/01 00:00'],"['1975/11/01 00:00 [pubmed]', '1975/11/01 00:01 [medline]', '1975/11/01 00:00 [entrez]']",ppublish,Isr J Med Sci. 1975 Nov;11(11):1174.,,,,,,,,,,,,,,,
1205399,NLM,MEDLINE,19760402,20071115,0017-7768 (Print) 0017-7768 (Linking),89,9,1975 Nov 2,[Factors influencing survival time in chronic lymphatic leukemia].,396-8,,"['Polack, S', 'Tatarski, A']","['Polack S', 'Tatarski A']",,['heb'],"['English Abstract', 'Journal Article']",Israel,Harefuah,Harefuah,0034351,,IM,,"['Adult', 'Aged', 'Female', 'Humans', 'Israel', 'Leukemia, Lymphoid/complications/*mortality', 'Male', 'Middle Aged']",,1975/11/02 00:00,1975/11/02 00:01,['1975/11/02 00:00'],"['1975/11/02 00:00 [pubmed]', '1975/11/02 00:01 [medline]', '1975/11/02 00:00 [entrez]']",ppublish,Harefuah. 1975 Nov 2;89(9):396-8.,,,,,,,,,,,,,,,
1204892,NLM,MEDLINE,19760324,20031114,0015-5500 (Print) 0015-5500 (Linking),21,6,1975,Preliminary studies on the topography of H-2d and mammary leukaemia (ML) antigens on DBA/2 mouse leukaemia cells.,435,,"['Kusnierczyk, P', 'Peknicova, J']","['Kusnierczyk P', 'Peknicova J']",,['eng'],['Journal Article'],Czech Republic,Folia Biol (Praha),Folia biologica,0234640,"['0 (Antigens, Neoplasm)', '0 (HLA Antigens)', '0 (Histocompatibility Antigens)']",IM,,"['Animals', 'Antibody Formation', '*Antigens, Neoplasm', 'Female', '*HLA Antigens', '*Histocompatibility Antigens', 'Leukemia, Experimental/*immunology', 'Mammary Neoplasms, Experimental/*immunology', 'Mice', 'Mice, Inbred DBA']",,1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",ppublish,Folia Biol (Praha). 1975;21(6):435.,,,,,,,,,,,,,,,
1204801,NLM,MEDLINE,19760401,20190629,0014-4754 (Print) 0014-4754 (Linking),31,11,1975 Nov 15,Ring chromosomes and leukaemia.,1359-60,"The observation of 2 leukaemic patients with ring chromosomes, and their comparison with a few previously reported cases, suggests a close association between this rare chromosomal abnormality and erythroleukaemia and indicate a poor prognostic significance of this finding.","['Alimena, G', 'Annino, L', 'Dallapiccola, B', 'Ricci, N']","['Alimena G', 'Annino L', 'Dallapiccola B', 'Ricci N']",,['eng'],"['Case Reports', 'Journal Article']",Switzerland,Experientia,Experientia,0376547,,IM,,"['Aged', 'Blood Cells/*pathology', 'Bone Marrow/*pathology', '*Bone Marrow Cells', 'Chromosome Aberrations', 'Female', 'Humans', 'Leukemia/genetics/*pathology', 'Male', 'Prognosis']",,1975/11/15 00:00,1975/11/15 00:01,['1975/11/15 00:00'],"['1975/11/15 00:00 [pubmed]', '1975/11/15 00:01 [medline]', '1975/11/15 00:00 [entrez]']",ppublish,Experientia. 1975 Nov 15;31(11):1359-60. doi: 10.1007/BF01945826.,,,['10.1007/BF01945826 [doi]'],,,,,,,,,,,,
1204525,NLM,MEDLINE,19760311,20041117,0012-7183 (Print) 0012-7183 (Linking),91,14-15,1975,[Intensive therapy of adult acute leukemia].,867-9,,"['Niskanen, E']",['Niskanen E'],,['fin'],['Journal Article'],Finland,Duodecim,Duodecim; laaketieteellinen aikakauskirja,0373207,,IM,,"['Age Factors', 'Humans', 'Leukemia/*therapy', 'Remission, Spontaneous']",,1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",ppublish,Duodecim. 1975;91(14-15):867-9.,,,,,Aikuisten akuutin leukemian intensiivihoito,,,,,,,,,,
1203988,NLM,MEDLINE,19760315,20190720,0008-8749 (Print) 0008-8749 (Linking),20,2,1975 Dec,Lymphocyte-mediated cytolysis of allogeneic tumor cells in vitro. III. Enzyme sensitivity of target cell antigens.,257-68,,"['Todd, R F 3rd']",['Todd RF 3rd'],,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Cell Immunol,Cellular immunology,1246405,"['0 (Antigens, Neoplasm)', '0 (Histocompatibility Antigens)', 'EC 3.2.1.18 (Neuraminidase)', 'EC 3.4.21.4 (Trypsin)', 'EC 3.4.22.2 (Papain)', 'EC 3.4.24.- (Pronase)']",IM,,"['Animals', '*Antigens, Neoplasm', 'Cytotoxicity Tests, Immunologic', 'Histocompatibility Antigens', '*Immunity, Cellular/*drug effects', 'In Vitro Techniques', 'Leukemia, Experimental/immunology', 'Lymphocytes/*immunology', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Neuraminidase/*pharmacology', 'Papain/*pharmacology', 'Pronase/*pharmacology', 'Trypsin/*pharmacology']",,1975/12/01 00:00,1975/12/01 00:01,['1975/12/01 00:00'],"['1975/12/01 00:00 [pubmed]', '1975/12/01 00:01 [medline]', '1975/12/01 00:00 [entrez]']",ppublish,Cell Immunol. 1975 Dec;20(2):257-68. doi: 10.1016/0008-8749(75)90103-3.,,,"['0008-8749(75)90103-3 [pii]', '10.1016/0008-8749(75)90103-3 [doi]']",,,,,,,,,,,,
1203901,NLM,MEDLINE,19760311,20160630,0069-0112 (Print) 0069-0112 (Linking),59,5,1975 Sep-Oct,Preliminary observations on temperature-enhanced drug uptake by leukemic leukocytes in vitro.,985-8,,"['Block, J B', 'Harris, P A', 'Peale, A']","['Block JB', 'Harris PA', 'Peale A']",,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Chemother Rep,Cancer chemotherapy reports,7607105,"['0 (Pharmaceutical Preparations)', '80168379AG (Doxorubicin)']",IM,,"['Animals', 'Cell Survival', 'Doxorubicin/blood', 'Humans', 'In Vitro Techniques', 'Leukemia/*blood', 'Leukemia L1210/*blood', 'Leukocyte Count', 'Leukocytes/*metabolism', 'Mice', 'Pharmaceutical Preparations/*blood', 'Temperature', 'Time Factors']",,1975/09/01 00:00,1975/09/01 00:01,['1975/09/01 00:00'],"['1975/09/01 00:00 [pubmed]', '1975/09/01 00:01 [medline]', '1975/09/01 00:00 [entrez]']",ppublish,Cancer Chemother Rep. 1975 Sep-Oct;59(5):985-8.,,,,,,,,,,,,,,,
1203898,NLM,MEDLINE,19760311,20160630,0069-0112 (Print) 0069-0112 (Linking),59,5,1975 Sep-Oct,Antitumor activity of amygdalin MF (NSC-15780) as a single agent and with beta-glucosidase (NSC-128056) on a spectrum of transplantable rodent tumors.,939-50,"Experiments are described in which four transplantable rodent tumors (L1210 lymphoid leukemia, P388 lymphocytic leukemia, B16 melanoma, and Walker 256 carcinosarcoma) were used to investigate the antitumor activity of amygdalin MF. Amygdalin MF was given alone and in combination with beta-glucosidase which was administered 1/2 hour prior to amygdalin MF, starting 24 hours after tumor implantation. No antitumor activity was observed in any of the four tumor systems tested with the drug alone or in combined therapy. The combined therapy showed potentiation of toxicity with doses of amygdalin MF greater than or equal to 100 mg/kg.","['Wodinsky, I', 'Swiniarski, J K']","['Wodinsky I', 'Swiniarski JK']",,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Chemother Rep,Cancer chemotherapy reports,7607105,"['0 (Nitriles)', '214UUQ9N0H (Amygdalin)', 'EC 3.2.1.- (Glucosidases)']",IM,,"['Amygdalin/*therapeutic use', 'Animals', 'Carcinoma 256, Walker/drug therapy', 'Drug Therapy, Combination', 'Glucosidases/*therapeutic use', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/drug therapy', 'Melanoma/drug therapy', 'Mice', 'Mice, Inbred Strains', 'Neoplasm Transplantation', 'Neoplasms, Experimental/*drug therapy', 'Nitriles/*therapeutic use', 'Rats', 'Transplantation, Homologous']",,1975/09/01 00:00,1975/09/01 00:01,['1975/09/01 00:00'],"['1975/09/01 00:00 [pubmed]', '1975/09/01 00:01 [medline]', '1975/09/01 00:00 [entrez]']",ppublish,Cancer Chemother Rep. 1975 Sep-Oct;59(5):939-50.,,,,,,,,,,,,,,,
1203896,NLM,MEDLINE,19760311,20160630,0069-0112 (Print) 0069-0112 (Linking),59,5,1975 Sep-Oct,Synergistic interaction of anticancer agents: a cellular perspective.,895-900,,"['Valeriote, F', 'Lin, H s']","['Valeriote F', 'Lin Hs']",,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Chemother Rep,Cancer chemotherapy reports,7607105,['0 (Antineoplastic Agents)'],IM,,"['Animals', 'Antineoplastic Agents/*pharmacology/therapeutic use', 'Cell Division/drug effects', 'Cell Survival/*drug effects', 'Drug Interactions', 'Drug Synergism', 'Drug Therapy, Combination', 'Humans', 'Leukemia/drug therapy']",,1975/09/01 00:00,1975/09/01 00:01,['1975/09/01 00:00'],"['1975/09/01 00:00 [pubmed]', '1975/09/01 00:01 [medline]', '1975/09/01 00:00 [entrez]']",ppublish,Cancer Chemother Rep. 1975 Sep-Oct;59(5):895-900.,,,,,,,,,,,,,,,
1203886,NLM,MEDLINE,19760330,20160630,0069-0112 (Print) 0069-0112 (Linking),59,3,1975 May-Jun,Studies on the antitumor activity of gallium nitrate (NSC-15200) and other group IIIa metal salts.,599-610,"Several group IIIa metal salts, eg, aluminum nitrate, gallium nitrate, indium nitrate, and thallium chloride, have been evaluated for in vivo toxicity in mice and rats, for cytotoxicity in tumor cells in vitro, and for activity against a broad spectrum of experimental rodent tumors. The position of these agents in the periodical table roughly parallels their toxicity, the LD50s decreasing with increasing atomic weights. This parallel also exists with regard to in vitro cytotoxicity to Walker 256 carcinosarcoma cells. Although all of the metal salts had activity against the ascites Walker 256 carcinosarcoma, they were ineffective in ascites leukemias, plasma cell tumors, or Ehrlich carcinoma. Gallium nitrate was particularly active against solid tumors transplanted subcutaneously, suppressing the growth of six of eight tumors more than 90%. Because of its demonstrated antitumor activity in rodents and its uptake and concentration by various animal and human tumors, gallium nitrate has potential usefulness in the treatment of solid tumors in man and has been entered into a phase I study at the National Cancer Institute.","['Adamson, R H', 'Canellos, G P', 'Sieber, S M']","['Adamson RH', 'Canellos GP', 'Sieber SM']",,['eng'],['Journal Article'],United States,Cancer Chemother Rep,Cancer chemotherapy reports,7607105,"['0 (Antineoplastic Agents)', '0 (Chlorides)', '0 (Nitrates)', '045A6V3VFX (Indium)', 'AD84R52XLF (Thallium)', 'CH46OC8YV4 (Gallium)', 'CPD4NFA903 (Aluminum)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)']",IM,,"['Aluminum/therapeutic use/toxicity', 'Animals', '*Antineoplastic Agents', 'Carcinoma 256, Walker/enzymology', 'Cells, Cultured', 'Chlorides', 'DNA Nucleotidyltransferases/metabolism', 'Gallium/*therapeutic use/toxicity', 'Indium/therapeutic use/toxicity', 'Lethal Dose 50', 'Leukemia L1210/enzymology', 'Mice', 'Neoplasms, Experimental/drug therapy', 'Nitrates', 'Thallium/therapeutic use/toxicity']",,1975/05/01 00:00,1975/05/01 00:01,['1975/05/01 00:00'],"['1975/05/01 00:00 [pubmed]', '1975/05/01 00:01 [medline]', '1975/05/01 00:00 [entrez]']",ppublish,Cancer Chemother Rep. 1975 May-Jun;59(3):599-610.,,,,,,,,,,,,,,,
1203880,NLM,MEDLINE,19760330,20160630,0069-0112 (Print) 0069-0112 (Linking),59,3,1975 May-Jun,Comparative studies of cyclocytidine (NSC-145668) and cytosine arabinoside (NSC-63878) in mice.,501-13,"The distribution of cyclocytidine and cytosine arabinoside has been studied in normal BDF mice and in mice bearing 6-day solid L1210 lymphocytic leukemia by whole-body radioautography, bioassay, and radiochemical techniques. Radioactivity was widely distributed throughout the tissues between 15 minutes and 12 hours after a single intravenous dose of either cyclocytidine-2-14C or cytosine arabinoside-2-14C. Whole-body radioautograms demonstrated that for most tissues, cytosine arabinoside-derived 14C was uniformly excreted by 48 hours; cyclocytidine-derived 14C, however, was localized in certain tissues as early as 15 minutes after drug administration and was retained in these sites for 48 hours. Depot loci of 14C included salivary and adrenal glands, fat, cardiac muscle, gastrointestinal tract, and L1210 tumor. The distribution and persistence of cyclocytidine-derived radioactivity is consistent with other reports of toxicity induced by the drug in these tissues. Radiochromatography and bioassay data from BDF mice dosed intraperitoneally with cyclocytidine demonstrated that 65%-95% of the 14C-radioactivity in a number of tissues was the parent compound itself. Thus, cyclocytidine contributed in large measur to the generation of the radioautograms. This study demonstrates that the retention of cyclocytidine in body tissues may serve to effect the sustained release of the deaminase-resistant chemotherapeutic drug from these depot sites and thus prolong cytotoxic levels of drug in tumor tissue.","['Liss, R H', 'Neil, G L']","['Liss RH', 'Neil GL']",,['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Chemother Rep,Cancer chemotherapy reports,7607105,['04079A1RDZ (Cytarabine)'],IM,,"['Adipose Tissue/metabolism', 'Adrenal Glands/metabolism', 'Animals', 'Autoradiography', 'Brain/metabolism', 'Cytarabine/*analogs & derivatives/blood/*metabolism/urine', 'Digestive System/metabolism', 'Female', 'Guinea Pigs', 'Kidney/metabolism', 'Leukemia L1210/*metabolism', 'Lymphatic System/metabolism', 'Muscles/metabolism', 'Pancreas/metabolism', 'Respiratory System/metabolism', 'Salivary Glands/metabolism', 'Spinal Cord/metabolism', 'Time Factors', 'Urinary Bladder/metabolism']",,1975/05/01 00:00,1975/05/01 00:01,['1975/05/01 00:00'],"['1975/05/01 00:00 [pubmed]', '1975/05/01 00:01 [medline]', '1975/05/01 00:00 [entrez]']",ppublish,Cancer Chemother Rep. 1975 May-Jun;59(3):501-13.,,,,,,,,,,,,,,,
1203873,NLM,MEDLINE,19760401,20190619,0008-543X (Print) 0008-543X (Linking),36,6,1975 Dec,"Incidence, mortality or prevalence as indicators of the cancer problem.",2227-31,"The magnitude of the cancer problem, as conveyed by the incidence, mortality and prevalence figures, was studied by analysis of the material of the Finnish Cancer Registry from 1953-1970. The prevalence was defined as the number of persons who had cancer, or had ever had cancer, and were living on December 31, 1970. The incidence and mortality of cancer in males exceeded those in respect of females, whereas the prevalence with females was clearly higher than that with males. According to all 3 indices, the commonest site of cancer was in the lungs in males. In females, cancer of the breast was the commonest malignant neoplasm measured by incidence and prevalence, where as in mortality statistics it was second to cancer of the stomach. Cancers with poor prognosis such as cancer of the lung, stomach, pancreas and esophagus, and leukemia, exhibited relatively low prevalence figures, whereas cancers with good prognosis, such as cancer of the breast, uterus, larynx and lip, showed relatively large numbers of prevalent cases. In females, cancer of the genitals, including the breasts, constituted nearly as may prevalent cases as did the total figure in males. As the 3 cancer indices measure different things, the nature of the index used should be taken into account in evaluation of the magnitude of the cancer problem.","['Hakama, M', 'Hakulinen, T', 'Teppo, L', 'Saxen, E']","['Hakama M', 'Hakulinen T', 'Teppo L', 'Saxen E']",,['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,,IM,,"['Adolescent', 'Adult', 'Aged', 'Child', 'Child, Preschool', 'Female', 'Finland', 'Humans', 'Infant', 'Infant, Newborn', 'Male', 'Middle Aged', 'Neoplasms/*epidemiology/mortality']",,1975/12/01 00:00,1975/12/01 00:01,['1975/12/01 00:00'],"['1975/12/01 00:00 [pubmed]', '1975/12/01 00:01 [medline]', '1975/12/01 00:00 [entrez]']",ppublish,Cancer. 1975 Dec;36(6):2227-31. doi: 10.1002/cncr.2820360941.,,,['10.1002/cncr.2820360941 [doi]'],,,,,,,,,,,,
