PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,MID,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,RF,CIN,TT,OTO,OT,CN,CON,SI,OID,EIN,RIN,IR,FIR,COIS,ROF
18684865,NLM,MEDLINE,20090112,20211020,1528-0020 (Electronic) 0006-4971 (Linking),112,12,2008 Dec 1,Leukemic challenge unmasks a requirement for PI3Kdelta in NK cell-mediated tumor surveillance.,4655-64,10.1182/blood-2008-02-139105 [doi],"Specific inhibitors of PI3K isoforms are currently evaluated for their therapeutic potential in leukemia. We found that BCR/ABL(+) human leukemic cells express PI3Kdelta and therefore explored its impact on leukemia development. Using PI3Kdelta-deficient mice, we define a dual role of PI3Kdelta in leukemia. We observed a growth-promoting effect in tumor cells and an essential function in natural killer (NK) cell-mediated tumor surveillance: Abelson-transformed PI3Kdelta-deficient cells induced leukemia in RAG2-deficient mice with an increased latency, indicating that PI3Kdelta accelerated leukemia progression in vivo. However, the absence of PI3Kdelta also affected NK cell-mediated tumor surveillance. PI3Kdelta-deficient NK cells failed to lyse a large variety of target cells because of defective degranulation, as also documented by capacitance recordings. Accordingly, transplanted leukemic cells killed PI3Kdelta-deficient animals more rapidly. As a net effect, no difference in disease latency in vivo was detected if both leukemic cells and NK cells lack PI3Kdelta. Other tumor models confirmed that PI3Kdelta-deficient mice succumbed more rapidly when challenged with T- or B-lymphoid leukemic or B16 melanoma cells. Thus, the action of PI3Kdelta in the NK compartment is as relevant to survival of the mice as the delayed tumor progression. This dual function must be taken into account when using PI3Kdelta inhibitors as antileukemic agents in clinical trials.",,"['Zebedin, Eva', 'Simma, Olivia', 'Schuster, Christian', 'Putz, Eva Maria', 'Fajmann, Sabine', 'Warsch, Wolfgang', 'Eckelhart, Eva', 'Stoiber, Dagmar', 'Weisz, Eva', 'Schmid, Johannes A', 'Pickl, Winfried F', 'Baumgartner, Christian', 'Valent, Peter', 'Piekorz, Roland P', 'Freissmuth, Michael', 'Sexl, Veronika']","['Zebedin E', 'Simma O', 'Schuster C', 'Putz EM', 'Fajmann S', 'Warsch W', 'Eckelhart E', 'Stoiber D', 'Weisz E', 'Schmid JA', 'Pickl WF', 'Baumgartner C', 'Valent P', 'Piekorz RP', 'Freissmuth M', 'Sexl V']","['Institute of Pharmacology, Medical University of Vienna MUW, Vienna, Austria.']",['eng'],['F 2810/FWF_/Austrian Science Fund FWF/Austria'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Phosphoinositide-3 Kinase Inhibitors)', '0 (Protein Kinase Inhibitors)', 'EC 2.7.1.137 (Class I Phosphatidylinositol 3-Kinases)', 'EC 2.7.1.137 (Pik3cd protein, mouse)']",IM,"['Abelson murine leukemia virus/genetics', 'Animals', 'Cell Death/genetics/immunology', 'Cell Line, Transformed', 'Class I Phosphatidylinositol 3-Kinases', 'Disease Progression', 'Gene Expression Regulation, Leukemic', 'Humans', 'Immunologic Surveillance/*genetics', 'Jurkat Cells', 'Killer Cells, Natural/*immunology/metabolism/pathology', 'Leukemia/genetics/*immunology/metabolism/mortality', 'Melanoma, Experimental/genetics/immunology/mortality/pathology', 'Mice', 'Mice, Inbred C57BL', 'Mice, Knockout', 'Phosphatidylinositol 3-Kinases/*genetics/metabolism/physiology', 'Phosphoinositide-3 Kinase Inhibitors', 'Protein Kinase Inhibitors/pharmacology', 'Tumor Cells, Cultured']",,,2008/08/08 09:00,2009/01/13 09:00,['2008/08/08 09:00'],"['2008/08/08 09:00 [pubmed]', '2009/01/13 09:00 [medline]', '2008/08/08 09:00 [entrez]']","['S0006-4971(20)51815-6 [pii]', '10.1182/blood-2008-02-139105 [doi]']",ppublish,Blood. 2008 Dec 1;112(12):4655-64. doi: 10.1182/blood-2008-02-139105. Epub 2008 Aug 6.,20080806,,"['Blood. 2008 Dec 1;112(12):4363-4. PMID: 19029449', 'Blood. 2008 Dec 1;112(12):4364-5. PMID: 19029450']",,,,,,,,,,,,,
18684859,NLM,MEDLINE,20081016,20210206,1528-0020 (Electronic) 0006-4971 (Linking),112,8,2008 Oct 15,Desirable performance characteristics for BCR-ABL measurement on an international reporting scale to allow consistent interpretation of individual patient response and comparison of response rates between clinical trials.,3330-8,10.1182/blood-2008-04-150680 [doi],"An international basis for comparison of BCR-ABL mRNA levels is required for the common interpretation of data derived from individual laboratories. This will aid clinical decisions for individual patients with chronic myeloid leukemia (CML) and assist interpretation of results from clinical studies. We aligned BCR-ABL values generated by 38 laboratories to an international scale (IS) where a major molecular response (MMR) is 0.1% or less. Alignment was achieved by application of laboratory-specific conversion factors calculated by comparisons performed with patient samples against a reference method. A validation procedure was completed for 19 methods. We determined performance characteristics (bias and precision) for consistent interpretation of MMR after IS conversion. When methods achieved an average BCR-ABL difference of plus or minus 1.2-fold from the reference method and 95% limits of agreement within plus or minus 5-fold, the MMR concordance was 91%. These criteria were met by 58% of methods. When not met, the MMR concordance was 74% or less. However, irrespective of precision, when the bias was plus or minus 1.2-fold as achieved by 89% of methods, there was good agreement between the overall MMR rates. This indicates that the IS can deliver accurate comparison of molecular response rates between clinical trials when measured by different laboratories.",,"['Branford, Susan', 'Fletcher, Linda', 'Cross, Nicholas C P', 'Muller, Martin C', 'Hochhaus, Andreas', 'Kim, Dong-Wook', 'Radich, Jerald P', 'Saglio, Giuseppe', 'Pane, Fabrizio', 'Kamel-Reid, Suzanne', 'Wang, Y Lynn', 'Press, Richard D', 'Lynch, Kevin', 'Rudzki, Zbigniew', 'Goldman, John M', 'Hughes, Timothy']","['Branford S', 'Fletcher L', 'Cross NC', 'Muller MC', 'Hochhaus A', 'Kim DW', 'Radich JP', 'Saglio G', 'Pane F', 'Kamel-Reid S', 'Wang YL', 'Press RD', 'Lynch K', 'Rudzki Z', 'Goldman JM', 'Hughes T']","['Institute of Medical and Veterinary Science, Adelaide, Australia. susan.branford@imvs.sa.gov.au']",['eng'],,"['Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Chemistry, Clinical/*methods', 'Clinical Trials as Topic/*standards', 'Cytogenetics', 'Fusion Proteins, bcr-abl/chemistry/*metabolism', 'Genetic Techniques', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/*genetics', 'Medical Oncology/*methods', 'Reference Values', 'Reproducibility of Results', 'Treatment Outcome']",,,2008/08/08 09:00,2008/10/17 09:00,['2008/08/08 09:00'],"['2008/08/08 09:00 [pubmed]', '2008/10/17 09:00 [medline]', '2008/08/08 09:00 [entrez]']","['S0006-4971(20)59741-3 [pii]', '10.1182/blood-2008-04-150680 [doi]']",ppublish,Blood. 2008 Oct 15;112(8):3330-8. doi: 10.1182/blood-2008-04-150680. Epub 2008 Aug 6.,20080806,,,,,,,,,,,,,,,
18684831,NLM,MEDLINE,20081014,20211020,1098-5514 (Electronic) 0022-538X (Linking),82,20,2008 Oct,Retroviral nucleocapsid proteins display nonequivalent levels of nucleic acid chaperone activity.,10129-42,10.1128/JVI.01169-08 [doi],"Human immunodeficiency virus type 1 (HIV-1) nucleocapsid protein (NC) is a nucleic acid chaperone that facilitates the remodeling of nucleic acids during various steps of the viral life cycle. Two main features of NC's chaperone activity are its abilities to aggregate and to destabilize nucleic acids. These functions are associated with NC's highly basic character and with its zinc finger domains, respectively. While the chaperone activity of HIV-1 NC has been extensively studied, less is known about the chaperone activities of other retroviral NCs. In this work, complementary experimental approaches were used to characterize and compare the chaperone activities of NC proteins from four different retroviruses: HIV-1, Moloney murine leukemia virus (MLV), Rous sarcoma virus (RSV), and human T-cell lymphotropic virus type 1 (HTLV-1). The different NCs exhibited significant differences in their overall chaperone activities, as demonstrated by gel shift annealing assays, decreasing in the order HIV-1 approximately RSV > MLV >> HTLV-1. In addition, whereas HIV-1, RSV, and MLV NCs are effective aggregating agents, HTLV-1 NC, which exhibits poor overall chaperone activity, is unable to aggregate nucleic acids. Measurements of equilibrium binding to single- and double-stranded oligonucleotides suggested that all four NC proteins have moderate duplex destabilization capabilities. Single-molecule DNA-stretching studies revealed striking differences in the kinetics of nucleic acid dissociation between the NC proteins, showing excellent correlation between nucleic acid dissociation kinetics and overall chaperone activity.",,"['Stewart-Maynard, Kristen M', 'Cruceanu, Margareta', 'Wang, Fei', 'Vo, My-Nuong', 'Gorelick, Robert J', 'Williams, Mark C', 'Rouzina, Ioulia', 'Musier-Forsyth, Karin']","['Stewart-Maynard KM', 'Cruceanu M', 'Wang F', 'Vo MN', 'Gorelick RJ', 'Williams MC', 'Rouzina I', 'Musier-Forsyth K']","['Department of Chemistry, The Ohio State University, 100 W 18th Ave., Columbus, OH 43210, USA.']",['eng'],"['R01 GM065056/GM/NIGMS NIH HHS/United States', 'GM073462/GM/NIGMS NIH HHS/United States', 'GM065056/GM/NIGMS NIH HHS/United States', 'N01CO12400/CA/NCI NIH HHS/United States', 'N01-CO-12400/CO/NCI NIH HHS/United States', 'GM072396/GM/NIGMS NIH HHS/United States', 'F32 GM072396/GM/NIGMS NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (DNA, Viral)', '0 (Molecular Chaperones)', '0 (Nucleic Acids)', '0 (Nucleocapsid Proteins)', '0 (RNA, Viral)']",IM,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'DNA, Viral/chemistry/genetics/metabolism', 'HIV-1/genetics/*metabolism', 'Humans', 'Molecular Chaperones/genetics/*metabolism', 'Molecular Sequence Data', 'Nucleic Acid Conformation', 'Nucleic Acids/*metabolism', 'Nucleocapsid Proteins/genetics/*metabolism', 'RNA, Viral/chemistry/genetics/metabolism', 'Retroviridae/genetics/*metabolism', 'Temperature']",PMC2566285,,2008/08/08 09:00,2008/10/15 09:00,['2008/08/08 09:00'],"['2008/08/08 09:00 [pubmed]', '2008/10/15 09:00 [medline]', '2008/08/08 09:00 [entrez]']","['JVI.01169-08 [pii]', '10.1128/JVI.01169-08 [doi]']",ppublish,J Virol. 2008 Oct;82(20):10129-42. doi: 10.1128/JVI.01169-08. Epub 2008 Aug 6.,20080806,,,,,,,,,,,,,,,
18684813,NLM,MEDLINE,20081014,20211020,1098-5514 (Electronic) 0022-538X (Linking),82,20,2008 Oct,"Integration site preference of xenotropic murine leukemia virus-related virus, a new human retrovirus associated with prostate cancer.",9964-77,10.1128/JVI.01299-08 [doi],"Xenotropic murine leukemia virus-related virus (XMRV) is a new human gammaretrovirus identified in prostate cancer tissue from patients homozygous for a reduced-activity variant of the antiviral enzyme RNase L. Neither a casual relationship between XMRV infection and prostate cancer nor a mechanism of tumorigenesis has been established. To determine the integration site preferences of XMRV and the potential risk of proviral insertional mutagenesis, we carried out a genome-wide analysis of viral integration sites in the prostate cell line DU145 after an acute XMRV infection and compared the integration site pattern of XMRV with those found for murine leukemia virus and two human retroviruses, human immunodeficiency virus type 1 and human T-cell leukemia virus type 1. Among all retroviruses analyzed, XMRV has the strongest preference for transcription start sites, CpG islands, DNase-hypersensitive sites, and gene-dense regions; all are features frequently associated with structurally open transcription regulatory regions of a chromosome. Analyses of XMRV integration sites in tissues from prostate cancer patients found a similar preference for the aforementioned chromosomal features. Additionally, XMRV integration sites in cancer tissues were associated with cancer breakpoints, common fragile sites, microRNA, and cancer-related genes, suggesting a selection process that favors certain chromosomal integration sites. In both acutely infected cells and cancer tissues, no common integration site was detected within or near proto-oncogenes or tumor suppressor genes. These results are consistent with a model in which XMRV may contribute to tumorigenicity via a paracrine mechanism.",,"['Kim, Sanggu', 'Kim, Namshin', 'Dong, Beihua', 'Boren, David', 'Lee, Serena A', 'Das Gupta, Jaydip', 'Gaughan, Christina', 'Klein, Eric A', 'Lee, Christopher', 'Silverman, Robert H', 'Chow, Samson A']","['Kim S', 'Kim N', 'Dong B', 'Boren D', 'Lee SA', 'Das Gupta J', 'Gaughan C', 'Klein EA', 'Lee C', 'Silverman RH', 'Chow SA']","['Biomedical Engineering Interdepartmental Program, UCLA School of Medicine, Los Angeles, CA 90095, USA.']",['eng'],"['R01 CA068859/CA/NCI NIH HHS/United States', 'R01 CA103943/CA/NCI NIH HHS/United States', 'CA103943/CA/NCI NIH HHS/United States', 'CA68859/CA/NCI NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,"['0 (MicroRNAs)', 'EC 3.1.- (Endoribonucleases)', 'EC 3.1.26.- (2-5A-dependent ribonuclease)']",IM,"['Animals', 'Cell Line', 'Chromosome Mapping', 'CpG Islands', 'Endoribonucleases/genetics/metabolism', 'Gammaretrovirus/genetics/*metabolism', 'Humans', 'Leukemia Virus, Murine/genetics/*metabolism', 'Male', 'Mice', 'MicroRNAs/genetics/metabolism', 'Molecular Sequence Data', 'Prostatic Neoplasms/genetics/*virology', 'Regulatory Sequences, Nucleic Acid', 'Retroviridae Infections/metabolism', 'Transcription, Genetic', '*Virus Integration']",PMC2566297,,2008/08/08 09:00,2008/10/15 09:00,['2008/08/08 09:00'],"['2008/08/08 09:00 [pubmed]', '2008/10/15 09:00 [medline]', '2008/08/08 09:00 [entrez]']","['JVI.01299-08 [pii]', '10.1128/JVI.01299-08 [doi]']",ppublish,J Virol. 2008 Oct;82(20):9964-77. doi: 10.1128/JVI.01299-08. Epub 2008 Aug 6.,20080806,,,,,,,,,,,,,,,
18684446,NLM,MEDLINE,20090708,20161125,1556-5653 (Electronic) 0015-0282 (Linking),91,6,2009 Jun,Disturbances in the LIF pathway in the endometrium among women with unexplained infertility.,2602-10,10.1016/j.fertnstert.2008.04.010 [doi],"OBJECTIVE: To study the expression of leukemia inhibitory factor (LIF), its receptors LIFR and gp130, and its inhibitor SOCS1 in endometria from fertile women and infertile women with unexplained infertility. Signaling through the LIF pathway is involved in maintenance of a receptive state of human endometrium. Impaired endometrial receptivity may be a cause of female infertility. DESIGN: Prospective clinical study. SETTING: Hospital-based IVF unit and university-affiliated reproductive research laboratories. PATIENT(S): Twenty-six healthy fertile women and 14 women with unexplained infertility. INTERVENTION(S): Endometrial biopsy. MAIN OUTCOME MEASURE(S): Pinopode formation, expression of LIF, LIFR, gp130, and SOCS1 protein and mRNA in endometrial biopsies. RESULT(S): The expression of LIFR in the endometrium was negatively correlated to the expression of SOCS1 and positively correlated to the formation of pinopodes. In control fertile women, simultaneous intense apical staining of LIFR and gp130 together with faint SOCS1 staining was observed in epithelial cells, whereas the opposite was seen in most women with unexplained infertility. CONCLUSION(S): Unexplained infertility in some women might be explained by disturbances in the LIF pathway in midsecretory-phase endometrium.",,"['Aghajanova, Lusine', 'Altmae, Signe', 'Bjuresten, Kerstin', 'Hovatta, Outi', 'Landgren, Britt-Marie', 'Stavreus-Evers, Anneli']","['Aghajanova L', 'Altmae S', 'Bjuresten K', 'Hovatta O', 'Landgren BM', 'Stavreus-Evers A']","['Department of Clinical Science Intervention and Technology, Division of Obstetrics and Gynecology, Karolinska Institutet, Karolinska University Hospital Huddinge, Stockholm, Sweden. aghajanoval@obgyn.ucsf.edu']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Fertil Steril,Fertility and sterility,0372772,"['0 (DNA Primers)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Receptors, OSM-LIF)', '0 (SOCS1 protein, human)', '0 (Suppressor of Cytokine Signaling 1 Protein)', '0 (Suppressor of Cytokine Signaling Proteins)', '9002-67-9 (Luteinizing Hormone)']",IM,"['Biopsy', 'DNA Primers', 'Endometrium/pathology/physiology/*physiopathology/ultrastructure', 'Female', 'Humans', 'Immunohistochemistry', 'Infertility, Female/pathology/*physiopathology', 'Leukemia Inhibitory Factor/genetics/*metabolism', 'Luteinizing Hormone/urine', 'Menstrual Cycle', 'Microscopy, Electron, Scanning', 'Prospective Studies', 'Receptors, OSM-LIF/genetics/metabolism', 'Reference Values', 'Reverse Transcriptase Polymerase Chain Reaction', 'Suppressor of Cytokine Signaling 1 Protein', 'Suppressor of Cytokine Signaling Proteins/genetics/metabolism']",,,2008/08/08 09:00,2009/07/09 09:00,['2008/08/08 09:00'],"['2008/01/17 00:00 [received]', '2008/04/08 00:00 [revised]', '2008/04/08 00:00 [accepted]', '2008/08/08 09:00 [pubmed]', '2009/07/09 09:00 [medline]', '2008/08/08 09:00 [entrez]']","['S0015-0282(08)00797-8 [pii]', '10.1016/j.fertnstert.2008.04.010 [doi]']",ppublish,Fertil Steril. 2009 Jun;91(6):2602-10. doi: 10.1016/j.fertnstert.2008.04.010. Epub 2008 Aug 5.,20080805,,,,,,,,,,,,,,,
18684057,NLM,MEDLINE,20081110,20130603,1744-8301 (Electronic) 1479-6694 (Linking),4,4,2008 Aug,Optimizing denileukin diftitox (Ontak) therapy.,457-69,10.2217/14796694.4.4.457 [doi],"Denileukin diftitox (Ontak) is a novel recombinant fusion protein consisting of peptide sequences for the enzymatically active and membrane translocation domain of diphtheria toxin linked to human IL-2. Denileukin diftitox specifically binds to IL-2 receptors on the cell membrane, is internalized via receptor-mediated endocytosis and inhibits protein synthesis by ADP ribosylation of elongation factor 2, resulting in cell death. This article focuses on the clinical trial that led to the US FDA approval of the drug for cutaneous T-cell lymphoma in 1999, and other investigational studies for hematologic malignancies, recurrent and refractory chronic lymphocytic leukemia, non-Hodgkin B-cell lymphoma, graft-versus-host disease and autoimmune disease, demonstrating the activity and adverse effects of the drug.",,"['Duvic, Madeleine', 'Talpur, Rakhshandra']","['Duvic M', 'Talpur R']","['The University of Texas MD Anderson Cancer Center, Division of Internal Medicine, Department of Dermatology, 1515 Holcombe Blvd, Unit 1452, Houston, TX 77030, USA. mduvic@mdanderson.org']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Future Oncol,"Future oncology (London, England)",101256629,"['0 (Antineoplastic Agents)', '0 (Diphtheria Toxin)', '0 (Interleukin-2)', '0 (Protein Synthesis Inhibitors)', '0 (Receptors, Interleukin-2)', '0 (Recombinant Fusion Proteins)', '25E79B5CTM (denileukin diftitox)']",IM,"['Antineoplastic Agents/administration & dosage/adverse effects/pharmacology/*therapeutic use', 'Capillary Leak Syndrome/chemically induced', 'Clinical Trials as Topic/statistics & numerical data', 'Diphtheria Toxin/administration & dosage/adverse effects/pharmacology/*therapeutic use', 'Female', 'Graft vs Host Disease/drug therapy', 'Hematologic Neoplasms/drug therapy', 'Humans', 'Interleukin-2/administration & dosage/adverse effects/pharmacology/*therapeutic use', 'Lymphoma, T-Cell, Cutaneous/drug therapy', 'Male', 'Middle Aged', 'Neoplasms/*drug therapy/immunology', 'Protein Synthesis Inhibitors/administration & dosage/adverse effects/pharmacology/*therapeutic use', 'Receptors, Interleukin-2/drug effects', 'Recombinant Fusion Proteins/administration & dosage/adverse effects/pharmacology/therapeutic use', 'T-Lymphocytes, Regulatory/drug effects', 'Thyrotoxicosis/chemically induced']",,,2008/08/08 09:00,2008/11/11 09:00,['2008/08/08 09:00'],"['2008/08/08 09:00 [pubmed]', '2008/11/11 09:00 [medline]', '2008/08/08 09:00 [entrez]']",['10.2217/14796694.4.4.457 [doi]'],ppublish,Future Oncol. 2008 Aug;4(4):457-69. doi: 10.2217/14796694.4.4.457.,,46,,,,,,,,,,,,,,
18684038,NLM,MEDLINE,20080829,20210527,1543-2165 (Electronic) 0003-9985 (Linking),132,8,2008 Aug,Precursor lymphoblastic lymphoma reoccurring as a donor-derived neoplasm: a case report and review of the literature.,1342-5,10.1043/1543-2165(2008)132[1342:PLLRAA]2.0.CO;2 [doi],"Precursor lymphoblastic lymphoma is an uncommon neoplasm. We report the case of a man who presented with precursor T lymphoblastic lymphoma and ultimately received an allogeneic bone marrow transplant from his human leukocyte antigen-identical sister. Four years later he developed recurrent disease. By means of DNA probing for the amelogenin locus and fluorescence in situ hybridization, the neoplastic cells of the recurrent lesion were found to be of donor origin. We offer the report of a patient with an unusual lymphoblastic lymphoma who, after successful bone marrow transplantation, developed the same disease of donor cell origin; further, we offer a literature review on donor cell lymphoma.",,"['Dickson, Brendan C', 'Chung, Catherine T-S', 'Patterson, Bruce J', 'Riddell, Robert H', 'Kamel-Reid, Suzanne', 'Messner, Hans A', 'Lipton, Jeffrey H']","['Dickson BC', 'Chung CT', 'Patterson BJ', 'Riddell RH', 'Kamel-Reid S', 'Messner HA', 'Lipton JH']","['Department of Pathology and Laboratory Medicine, Mount Sinai Hospital, Toronto, Ontario, Canada.']",['eng'],,"['Case Reports', 'Journal Article', 'Review']",United States,Arch Pathol Lab Med,Archives of pathology & laboratory medicine,7607091,['0 (Amelogenin)'],IM,"['Adult', 'Amelogenin/genetics', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Bone Marrow Transplantation/*adverse effects', 'Chromosome Mapping', 'Fatal Outcome', 'Humans', 'In Situ Hybridization, Fluorescence', 'Kidney Neoplasms/*etiology/genetics', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/genetics/*surgery', 'Siblings', 'Testicular Neoplasms/drug therapy/*surgery', 'Tissue Donors']",,,2008/08/08 09:00,2008/08/30 09:00,['2008/08/08 09:00'],"['2008/02/08 00:00 [accepted]', '2008/08/08 09:00 [pubmed]', '2008/08/30 09:00 [medline]', '2008/08/08 09:00 [entrez]']","['2007-0585-CRR1 [pii]', '10.5858/2008-132-1342-PLLRAA [doi]']",ppublish,Arch Pathol Lab Med. 2008 Aug;132(8):1342-5. doi: 10.5858/2008-132-1342-PLLRAA.,,17,,,,,,,,,,,,,,
18684036,NLM,MEDLINE,20080829,20210527,1543-2165 (Electronic) 0003-9985 (Linking),132,8,2008 Aug,Loss of the Y chromosome: an age-related or clonal phenomenon in acute myelogenous leukemia/myelodysplastic syndrome?,1329-32,10.1043/1543-2165(2008)132[1329:LOTYCA]2.0.CO;2 [doi],"CONTEXT: The clinical association between loss of the Y chromosome and acute myelogenous leukemia and myelodysplastic syndrome (AML/MDS) has been debated because both phenomena are related to aging. A prior publication suggests that loss of the Y chromosome in more than 75% of cells may indicate a clonal phenomenon that could be a marker for hematologic disease. OBJECTIVE: To evaluate the relationship between loss of the Y chromosome and AML/MDS. DESIGN: A retrospective review of cytogenetic reports of 2896 male patients ascertained from 1996 to 2007 was performed. Results were stratified based on the percentage of cells missing the Y chromosome and were correlated with patients' ages and bone marrow biopsy reports through logistic regression analysis with adjustment for age. RESULTS: Loss of the Y chromosome was found in 142 patients. Of these, 16 patients demonstrated myeloid disease, with 2 cases of AML and 14 cases of MDS. An increased incidence (P < .05) of AML/MDS was seen only in the group composed of 8 patients with complete loss of the Y chromosome in all karyotyped cells (1 case of AML and 7 cases of MDS). CONCLUSION: Loss of the Y chromosome appears to be primarily an age-related phenomenon. However, in individuals in which all cells on cytogenetic analysis showed loss of the Y chromosome, there was a statistically significant increase in AML/MDS, suggesting that the absence of any normal-dividing cells in a bone marrow analysis may be indicative of AML/MDS.",,"['Wong, Anna K', 'Fang, Belle', 'Zhang, Ling', 'Guo, Xiuqing', 'Lee, Stephen', 'Schreck, Rhona']","['Wong AK', 'Fang B', 'Zhang L', 'Guo X', 'Lee S', 'Schreck R']","['Department of Pathology, Cedars-Sinai Medical Center, Los Angeles, CA 90048, USA. anna.wong@cshs.org']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Arch Pathol Lab Med,Archives of pathology & laboratory medicine,7607091,,IM,"['Age Factors', 'Aged', 'Aged, 80 and over', '*Chromosome Deletion', '*Chromosomes, Human, Y', 'Cytogenetic Analysis', 'Humans', 'Incidence', 'Karyotyping', 'Leukemia, Myeloid, Acute/epidemiology/*genetics', 'Male', 'Myelodysplastic Syndromes/epidemiology/*genetics', 'Retrospective Studies']",,,2008/08/08 09:00,2008/08/30 09:00,['2008/08/08 09:00'],"['2008/01/31 00:00 [accepted]', '2008/08/08 09:00 [pubmed]', '2008/08/30 09:00 [medline]', '2008/08/08 09:00 [entrez]']","['2007-0668-OAR1 [pii]', '10.5858/2008-132-1329-LOTYCA [doi]']",ppublish,Arch Pathol Lab Med. 2008 Aug;132(8):1329-32. doi: 10.5858/2008-132-1329-LOTYCA.,,,,,,,,,,,,,,,,
18683795,NLM,MEDLINE,20090303,20140226,0578-1426 (Print) 0578-1426 (Linking),47,2,2008 Feb,[The methylation pattern and clinical significance of Zonula occludens-1 gene promoter in acute leukemia].,111-3,,"OBJECTIVE: To investigate the methylation status of Zonula occludens-1 (ZO-1) gene promoter and discuss its role in the pathogenesis and progression of acute leukemia (AL) as a general gene marker. METHODS: The methylation pattern in promoter region of ZO-1 gene was detected with methylation specific PCR in AL cell lines HL60, Molt4 and NK92 as well as in 121 clinical bone marrow samples including 81 cases of AL and 40 non malignant cases. RESULTS: The promoter region of ZO-1 gene was completely methylated in HL60, Molt4 and NK92 cells; but it was unmethylated in 40 non malignant bone marrow samples. The total methylation frequency of ZO-1 gene promoter region in 81 cases of AL was 60.49% (49/81), there was significant statistic difference among the relapsed AL group (92.86%, 13/14), the newly diagnosed AL group (65.85%, 27/41) and the complete remission group (34.62%, 9/26), but no difference between the cases with acute myelocytic leukemia and acute lymphocytic leukemia. CONCLUSION: The hypermethylated status of ZO-1 gene promoter region was specifically detected in human AL, it was closely correlated with the pathogenesis and progression of the disease and will become a general clinical molecular marker of leukemia.",,"['Wang, Chang', 'Wang, Guan-jun', 'Tan, Ye-hui', 'Li, Wei', 'Liu, Chun-hui', 'Yu, Li']","['Wang C', 'Wang GJ', 'Tan YH', 'Li W', 'Liu CH', 'Yu L']","['Department of Hematology, the General Hospital of PLA, Beijing 100853, China.']",['chi'],,"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Nei Ke Za Zhi,Zhonghua nei ke za zhi,16210490R,"['0 (Membrane Proteins)', '0 (Phosphoproteins)', '0 (TJP1 protein, human)', '0 (Zonula Occludens-1 Protein)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged, 80 and over', 'Bone Marrow Cells/metabolism', 'Cell Line, Tumor', '*DNA Methylation', 'Female', 'HL-60 Cells', 'Humans', 'Leukemia/blood/*genetics/pathology', 'Male', 'Membrane Proteins/*genetics', 'Middle Aged', 'Phosphoproteins/*genetics', 'Polymerase Chain Reaction', 'Promoter Regions, Genetic/*genetics', 'Young Adult', 'Zonula Occludens-1 Protein']",,,2008/08/08 09:00,2009/03/04 09:00,['2008/08/08 09:00'],"['2008/08/08 09:00 [pubmed]', '2009/03/04 09:00 [medline]', '2008/08/08 09:00 [entrez]']",,ppublish,Zhonghua Nei Ke Za Zhi. 2008 Feb;47(2):111-3.,,,,,,,,,,,,,,,,
18683789,NLM,MEDLINE,20090303,20140226,0578-1426 (Print) 0578-1426 (Linking),47,2,2008 Feb,[How to overcome the obstacles in the adoptive immunotherapy for leukemia].,91-2,,,,"['Pan, Jing-xin', 'Chen, Zhi-zhe']","['Pan JX', 'Chen ZZ']",,['chi'],,['Editorial'],China,Zhonghua Nei Ke Za Zhi,Zhonghua nei ke za zhi,16210490R,,IM,"['Humans', 'Immunotherapy, Adoptive/*methods', 'Leukemia/*therapy']",,,2008/08/08 09:00,2009/03/04 09:00,['2008/08/08 09:00'],"['2008/08/08 09:00 [pubmed]', '2009/03/04 09:00 [medline]', '2008/08/08 09:00 [entrez]']",,ppublish,Zhonghua Nei Ke Za Zhi. 2008 Feb;47(2):91-2.,,,,,,,,,,,,,,,,
