PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,EIN,RF,PMC,CIN,TT,SI,GS,CON,OID,OTO,OT,GN,PS,FPS
2072743,NLM,MEDLINE,19910820,20130304,0887-6924 (Print) 0887-6924 (Linking),5,7,1991 Jul,Establishment and characterization of four myeloma cell lines which are responsive to interleukin-6 for their growth.,585-91,"Four human myeloma cell lines (MM-S1, MM-A1, MM-Y1 and MM-C1) were established from patients in the terminal stage of multiple myeloma. All the cell lines were PCA-1 positive and three were CD38 (OKT10) positive. The class of cytoplasmic immunoglobulin in each of these cell lines was identical to that of the monoclonal protein detected in each patient. Epstein-Barr virus nuclear antigen was negative in all cell lines. An examination of the tritiated thymidine uptake showed that all four cell lines proliferated in response to interleukin-6 (IL-6), while MM-S1 also responded to IL-5. Immunological staining with an anti-IL-6 receptor monoclonal antibody revealed the presence of receptors for IL-6 on the cells from each cell line. Three of them formed colonies dependent on IL-6 in methylcellulose semi-solid culture. All four cell lines grew better when human plasma was added as a supplement to the culture in comparison to fetal calf serum. Northern blot analysis showed that the three cell lines tested did not express IL-6 messenger RNA. These results indicate that these four cell lines are responsive to IL-6, but not by an autocrine mechanism, at least in the three lines examined.","['Okuno, Y', 'Takahashi, T', 'Suzuki, A', 'Ichiba, S', 'Nakamura, K', 'Fukumoto, M', 'Okada, T', 'Okada, H', 'Imura, H']","['Okuno Y', 'Takahashi T', 'Suzuki A', 'Ichiba S', 'Nakamura K', 'Fukumoto M', 'Okada T', 'Okada H', 'Imura H']","['Second Department of Internal Medicine, Faculty of Medicine, Kyoto University, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,['0 (Interleukin-6)'],IM,"['Adult', 'Cell Division/drug effects', 'Cell Line', 'Female', 'Humans', 'Interleukin-6/*pharmacology', 'Male', 'Middle Aged', 'Multiple Myeloma/*pathology', 'Tumor Stem Cell Assay']",1991/07/01 00:00,1991/07/01 00:01,['1991/07/01 00:00'],"['1991/07/01 00:00 [pubmed]', '1991/07/01 00:01 [medline]', '1991/07/01 00:00 [entrez]']",,ppublish,Leukemia. 1991 Jul;5(7):585-91.,,,,,,,,,,,,,,,
2072742,NLM,MEDLINE,19910820,20130304,0887-6924 (Print) 0887-6924 (Linking),5,7,1991 Jul,Clinical and prognostic implications of chromosome 5q deletions: 96 high resolution studied patients.,566-73,"Interstitial deletions of the long arm of chromosome 5 (5q-) is the most common structural rearrangement in acute nonlymphocytic leukemia and myelodysplastic syndromes. Owing to the variability of both breakpoints a large number of different deletions occur. However, as banding problems have hitherto precluded the precise localization of the breakpoints, it is still uncertain whether or not different deletions are associated with clinical differences. In this paper relationships between cytogenetic and clinical data were analyzed in 96 5q- cases investigated with high resolution techniques, which allow more precise breakpoint localizations. Twenty-nine cases have not been published before; the others were extracted from the literature. The analyses show: (1) With higher age at diagnosis the proximal breakpoint approaches the centromere. (2) The female patients are older, develop additional chromosome aberrations less often, and tend to live longer than the male patients. (3) del(5)(qI3q33), which is more frequent than any other deletion, tends to be associated with female sex and older age, and shows lower frequencies of additional chromosome abnormalities, and longer survival than the other deletions. It seems to constitute a more benign subgroup than the other deletions. (4) 5q31 is missing in 91 of 93 informative cases and is the most common deleted segment. (5) These results suggest that the deletion of 5q31 may be central in the pathogenesis of 5q- related disorders and that the deletion of other bands has important consequences for prognosis.","['Pedersen, B', 'Jensen, I M']","['Pedersen B', 'Jensen IM']","['Danish Cancer Society, Department of Cytogenetics, Aarhus.']",['eng'],"['Journal Article', 'Review']",England,Leukemia,Leukemia,8704895,,IM,"['Adult', 'Age Factors', 'Aged', 'Anemia, Refractory/*genetics', '*Chromosome Deletion', '*Chromosomes, Human, Pair 5', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Leukemia, Myeloid, Acute/*genetics', 'Male', 'Middle Aged', 'Prognosis', 'Survival Analysis']",1991/07/01 00:00,1991/07/01 00:01,['1991/07/01 00:00'],"['1991/07/01 00:00 [pubmed]', '1991/07/01 00:01 [medline]', '1991/07/01 00:00 [entrez]']",,ppublish,Leukemia. 1991 Jul;5(7):566-73.,,,25,,,,,,,,,,,,
2072741,NLM,MEDLINE,19910820,20130304,0887-6924 (Print) 0887-6924 (Linking),5,7,1991 Jul,The t(10;11)(p14;q21) translocation in three children with acute myeloblastic leukemia.,561-5,"A total of 161 cases of pediatric de novo acute myeloblastic leukemia (AML) have been reviewed, for which complete karyotyping was available and three cases (2%) were identified with t(10;11)(p14;q21). Two of the three children were infants with monoblastic (FAB M5) leukemia and the third was an adolescent with undifferentiated myeloid (FAB M1) leukemia. Both infants presented with increased levels of lactate dehydrogenase. None of these cases had increased eosinophils. One of the infants is in remission 18+ months after diagnosis and intensive chemotherapy; the two other children attained brief initial remissions but succumbed to their disease within 11 months of diagnosis. The prognosis of such children appears to be similar to that of cases of AML lacking this translocation.","['Carter, M', 'Kalwinsky, D K', 'Mirro, J Jr', 'Behm, F G', 'Head, D', 'Huddleston, T F', 'Raimondi, S C']","['Carter M', 'Kalwinsky DK', 'Mirro J Jr', 'Behm FG', 'Head D', 'Huddleston TF', 'Raimondi SC']","[""Department of Hematology-Oncology, St. Jude Children's Research Hospital, Memphis, TN 38101.""]",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,,IM,"['Adolescent', 'Chromosome Banding', '*Chromosomes, Human, Pair 10', '*Chromosomes, Human, Pair 11', 'Eosinophilia/pathology', 'Female', 'Humans', 'Infant', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics/pathology', 'Male', 'Translocation, Genetic/*genetics']",1991/07/01 00:00,2001/03/28 10:01,['1991/07/01 00:00'],"['1991/07/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1991/07/01 00:00 [entrez]']",,ppublish,Leukemia. 1991 Jul;5(7):561-5.,"['CA20180/CA/NCI NIH HHS/United States', 'CA21765/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,
2072740,NLM,MEDLINE,19910820,20130304,0887-6924 (Print) 0887-6924 (Linking),5,7,1991 Jul,Detection of additional JH/BCL2 translocations in follicular lymphoma.,548-54,"In vitro enzymatic amplification and direct sequencing were used to detect and characterize t(14;18) recombination junctions in peripheral blood and bone marrow mononuclear cell preparations from patients with follicular lymphoma in remission. Samples from 24/44 patients were found to be positive for translocations involving the major breakpoint region of the BCL2 gene. In samples from seven patients two distinct t(14;18) translocations were shown to be present simultaneously; in one case the second translocation involved the minor cluster region of the BCL2 gene. Biopsy tissue obtained earlier in the course of the disease was available from five of these patients and was shown to contain one of the translocations in each case, but both translocations in only one. Further remission blood and bone marrow samples from the group were also examined. This led to the detection of both translocations in separate samples obtained at different times in a total of four out of the seven cases. In two of the remaining three patients the second translocation could not be amplified from further samples, but in both cases the search led to the identification of a third translocation, again only detectable in a single sample. These findings demonstrate that JH/BCL2 translocations can occur more than once during the course of follicular lymphoma. They suggest that biclonal follicular lymphoma may be more common than has previously been recognized but also raise the possibility that the translocation arises sporadically in the normal lymphoid cells of this group of patients.","['Price, C G', 'Tuszynski, A', 'Watt, S M', 'Murdoch, S J', 'Lister, T A', 'Young, B D']","['Price CG', 'Tuszynski A', 'Watt SM', 'Murdoch SJ', 'Lister TA', 'Young BD']","[""ICRF Department of Medical Oncology, St. Bartholomew's Hospital, London, UK.""]",['eng'],['Journal Article'],England,Leukemia,Leukemia,8704895,,IM,"['Adult', 'Base Sequence', 'Bone Marrow/pathology', '*Chromosomes, Human, Pair 14', '*Chromosomes, Human, Pair 18', 'Gene Amplification', 'Humans', 'Lymphoma, Follicular/*genetics', 'Middle Aged', 'Molecular Sequence Data', 'Remission Induction', 'Translocation, Genetic/*genetics']",1991/07/01 00:00,1991/07/01 00:01,['1991/07/01 00:00'],"['1991/07/01 00:00 [pubmed]', '1991/07/01 00:01 [medline]', '1991/07/01 00:00 [entrez]']",,ppublish,Leukemia. 1991 Jul;5(7):548-54.,,,,,,,,"['BCL2', 'mbr']",,,,,,,
2072739,NLM,MEDLINE,19910820,20211203,0887-6924 (Print) 0887-6924 (Linking),5,7,1991 Jul,Densitometric analysis of Southern blot autoradiographs and its application to monitoring patients with chronic myeloid leukemia.,540-7,"The characteristic genetic exchange in chronic myeloid leukemia (CML) is the fusion of the ABL proto-oncogene and a specific part of the BCR or phl gene. Detection of this exchange by cytogenetic or Southern blot analysis is highly diagnostic for CML. The latter approach has not previously been used to quantify the relative proportions of leukemic and non-leukemic cells. We have assessed the feasibility of estimating the relative proportion of leukemic cells present in a sample by densitometric analysis of autoradiographs of Southern blots. In dilution experiments of CML cells with normal cells, a linear relationship could be demonstrated between the relative intensity of the autoradiograph band corresponding bcr rearrangement and the proportion of leukemic cells present. This relationship was found to be largely independent of autoradiograph exposure time. Six patients receiving various therapies have been evaluated for as long as 4.5 years by repeated densitometric and cytogenetic analysis. In general, a declining proportion of Philadelphia (Ph) chromosome positive cells was paralleled by decreasing intensity of the autoradiograph band representing bcr rearrangement. Densitometric changes were often seen prior to the detection of Ph negative cells. This analysis appears to provide a sensitive method for monitoring patients with CML.","['Grossman, A', 'Silver, R T', 'Szatroswki, T P', 'Gutfriend, A', 'Verma, R S', 'Benn, P A']","['Grossman A', 'Silver RT', 'Szatroswki TP', 'Gutfriend A', 'Verma RS', 'Benn PA']","['Lifecodes Corporation, Valhalla, NY.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (DNA, Neoplasm)', '0 (MAS1 protein, human)', '0 (Proto-Oncogene Mas)']",IM,"['Autoradiography', 'Blotting, Southern', 'DNA, Neoplasm/*analysis', 'Densitometry', 'Feasibility Studies', 'Follow-Up Studies', '*Gene Rearrangement/genetics', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/genetics/*pathology/therapy', 'Proto-Oncogene Mas', 'Remission Induction']",1991/07/01 00:00,1991/07/01 00:01,['1991/07/01 00:00'],"['1991/07/01 00:00 [pubmed]', '1991/07/01 00:01 [medline]', '1991/07/01 00:00 [entrez]']",,ppublish,Leukemia. 1991 Jul;5(7):540-7.,,,,,,,,"['ABL', 'BCR', 'phl']",,,,,,,
2072704,NLM,MEDLINE,19910820,20190820,0022-4790 (Print) 0022-4790 (Linking),47,3,1991 Jul,The spleen in the spleen syndrome: the association of splenoma with hematopoietic and neoplastic disease--compendium of cases since 1864.,193-202,"Splenomas have been described as benign congenital growths. We report six cases of splenomas, all in males. Three had hairy cell leukemia, one had Hodgkin's disease, and one had myeloid metaplasia. Average splenic weight was 1629 gm, and all had multiple splenomas (average diameter 1.89 cm). Splenomas bulged above the cut splenic surface, were pseudoencapsulated, and showed involvement of the underlying disease. A re-evaluation of 105 prior cases are adult (86%; age: 49), with 56% associated with neoplastic disease or hematologic abnormalities. Average spleen weight was 626 gm, and 22% contained multiple splenomas. We conclude that splenomas are most likely an acquired proliferative process strongly associated with neoplastic disease or hematologic abnormalities. Splenomas can also be congenital growths (hamartoma; 26% of the series), which are of little importance.","['Steinberg, J J', 'Suhrland, M', 'Valensi, Q']","['Steinberg JJ', 'Suhrland M', 'Valensi Q']","['Department of Pathology, Albert Einstein College of Medicine, New York 10461.']",['eng'],"['Case Reports', 'Journal Article', 'Review']",United States,J Surg Oncol,Journal of surgical oncology,0222643,,IM,"['Adult', 'Aged', 'Hamartoma Syndrome, Multiple/*complications/pathology', 'Humans', 'Lymphatic Diseases/*complications/pathology', 'Male', 'Middle Aged', 'Splenectomy', 'Splenic Diseases/*etiology/pathology/surgery']",1991/07/01 00:00,1991/07/01 00:01,['1991/07/01 00:00'],"['1991/07/01 00:00 [pubmed]', '1991/07/01 00:01 [medline]', '1991/07/01 00:00 [entrez]']",['10.1002/jso.2930470311 [doi]'],ppublish,J Surg Oncol. 1991 Jul;47(3):193-202. doi: 10.1002/jso.2930470311.,,,52,,,,,,,,,,,,
2072580,NLM,MEDLINE,19910821,20151119,0021-499X (Print) 0021-499X (Linking),101,2,1991 Feb,[Localization of HTLV-I-associated antigens in adult T cell leukemia cells and HTLV-I-infected cell line cells].,89-95,"Localization of HTLV-I-associated antigens was studied in adult T cell leukemia (ATL) cells and HTLV-I-infected cell line cells using monoclonal and human polyclonal antibodies against the viral-related antigens. Two monoclonal antibodies that we obtained by hybridoma technique reacted with HTLV-I-virus core antigens, P19 and P24, respectively. Human anti-HTLV-I-antibodies, which were purified from sera from ATL patients reacted with not only HTLV-I virus particles but also their precursors located in the cytoplasm. In tumor cells freshly isolated from ATL patients, no expression of the virus antigens was observed. When the cells were cultured for several days, the virus antigens were defined in about 3-5% of the cultured cells by the monoclonal antibodies, and in 5-10% by the purified human anti-HTLV-I antibodies. Addition of 5-iodo-2'-deoxyuridine to the culture inhibited cell growth, and at the same time, increased the percentage of the virus antigen-positive cells. Established HTLV-I-infected cell lines showed different cytological profiles from the original ATL cells in the viral replication and morphology.","['Jin, F X', 'Iwatsuki, K', 'Horiguchi, D', 'Sugaya, K', 'Nakayama, F', 'Koide, M', 'Takigawa, M', 'Yamada, M']","['Jin FX', 'Iwatsuki K', 'Horiguchi D', 'Sugaya K', 'Nakayama F', 'Koide M', 'Takigawa M', 'Yamada M']","['Department of Dermatology, Hamamatsu University School of Medicine.']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Nihon Hifuka Gakkai Zasshi,Nihon Hifuka Gakkai zasshi. The Japanese journal of dermatology,7600571,"['0 (Antibodies, Monoclonal)', '0 (HTLV-I Antigens)']",IM,"['Antibodies, Monoclonal', 'Cell Line', 'HTLV-I Antigens/*analysis', 'HTLV-I Infections/*immunology', 'Humans', 'Leukemia, T-Cell/*immunology']",1991/02/01 00:00,1991/02/01 00:01,['1991/02/01 00:00'],"['1991/02/01 00:00 [pubmed]', '1991/02/01 00:01 [medline]', '1991/02/01 00:00 [entrez]']",,ppublish,Nihon Hifuka Gakkai Zasshi. 1991 Feb;101(2):89-95.,,,,,,,,,,,,,,,
2072564,NLM,MEDLINE,19910819,20111117,0047-1860 (Print) 0047-1860 (Linking),39,5,1991 May,[Organ transplantation and laboratory tests].,467-9,"The media has recently been featuring organ transplantation from various viewpoints. Furthermore, Novel Prizes 1990 for Medical & Physiological fields were awarded to Drs. JE Murray and ED Thomas, both pioneers of clinical transplantation. Our topic has been timely indeed. This symposium mainly dealt with laboratory tests vs. various types of organ transplantation. In reality though, only kidney and bone marrow transplantations have been practiced in Japan; thus, Dr. I Yokoyama, University of Pittsburgh, discussed liver transplantation. First, Dr. K Uchida lectured on the recent advancement of immunosuppressive drugs and improvement in the clinical outcome of kidney transplantation. Serum creatinine determination is the only parameter for rejection besides renal biopsy. Drs. K Miyamura & Y Morishima discussed about PCR method to detect MRD (minimal residual diseases). There are positive relationships between the remaining leukemic cells and the relapse of leukemia even though the patients are in clinical remission. Dr. H Funada dealt with the importance of ""sterile room treatment"" for bone marrow transplantation. It protects patients from infection, minimizes GVHD and prolongs survival time after transplantation. Dr. Yokoyama stressed the importance of back-up system, i.e. drug-monitoring, coagulation tests, pathological examination, biochemical tests, blood transfusion services for successful liver transplantations. Dr. T Fukunishi discussed the importance of developing the organ donor and coordinator system to promote kidney transplantation from cadaver. He also dealt with virus antibody tests for selecting donors. All discusssions stressed on the importance of the 24-hour laboratory back-up system performing emergency tests but no specific laboratory test for organ transplantation was necessary.","['Sekiguchi, S', 'Saionji, K']","['Sekiguchi S', 'Saionji K']","['Department of Laboratory Medicine, National Defense Medical College, School of Medicine, Tokorozawa.']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Rinsho Byori,Rinsho byori. The Japanese journal of clinical pathology,2984781R,,IM,"['*Clinical Laboratory Techniques', 'Humans', '*Organ Transplantation']",1991/05/01 00:00,1991/05/01 00:01,['1991/05/01 00:00'],"['1991/05/01 00:00 [pubmed]', '1991/05/01 00:01 [medline]', '1991/05/01 00:00 [entrez]']",,ppublish,Rinsho Byori. 1991 May;39(5):467-9.,,,,,,,,,,,,,,,
2072473,NLM,MEDLINE,19910822,20161017,0098-7484 (Print) 0098-7484 (Linking),266,5,1991 Aug 7,Public health effects of occupational and environmental radiation exposure.,652-5,,,,,['eng'],"['Comment', 'Letter']",United States,JAMA,JAMA,7501160,,IM,"['Dose-Response Relationship, Radiation', 'Humans', 'Leukemia, Radiation-Induced/*mortality', 'Neoplasms, Radiation-Induced/*mortality', '*Nuclear Reactors', 'Occupational Diseases/*mortality', '*Power Plants']",1991/08/07 00:00,1991/08/07 00:01,['1991/08/07 00:00'],"['1991/08/07 00:00 [pubmed]', '1991/08/07 00:01 [medline]', '1991/08/07 00:00 [entrez]']",,ppublish,JAMA. 1991 Aug 7;266(5):652-5.,,,,,,,,,"['JAMA. 1991 Mar 20;265(11):1397-402. PMID: 1999879', 'JAMA. 1991 Mar 20;265(11):1403-8. PMID: 1999880']",,,,,,
2072462,NLM,MEDLINE,19910819,20200724,0022-538X (Print) 0022-538X (Linking),65,8,1991 Aug,The indirect association of human T-cell leukemia virus tax protein with DNA results in transcriptional activation.,4525-8,"trans-activator p40tax of human T-cell leukemia virus type I activates specific enhancers and stimulates transcription of the viral and some cellular genes but does not bind directly to the enhancer sequences. We demonstrated here that a fusion protein of p40tax and GAL4 DNA binding domain activated transcription dependent on the GAL4-binding site in the reporter plasmid. Mutants of p40tax were also tested in the fusion protein, and their activities were found to be in parallel with those of their free forms on the original target long terminal repeat. This activation with GAL4 fusion protein was interfered with by the free form of p40tax. These results suggest that p40tax associates with DNA through interaction with DNA binding protein(s) and also interacts with another transcription factor(s) to elicit the activation.","['Fujisawa, J', 'Toita, M', 'Yoshimura, T', 'Yoshida, M']","['Fujisawa J', 'Toita M', 'Yoshimura T', 'Yoshida M']","['Department of Cellular and Molecular Biology, University of Tokyo, Japan.']",['eng'],['Journal Article'],United States,J Virol,Journal of virology,0113724,"['0 (DNA, Viral)', '0 (DNA-Binding Proteins)', '0 (Gene Products, tax)', '0 (Recombinant Fusion Proteins)', 'EC 2.3.1.28 (Chloramphenicol O-Acetyltransferase)']",IM,"['Blotting, Western', 'Cell Line', 'Chloramphenicol O-Acetyltransferase/genetics', 'DNA, Viral/metabolism', 'DNA-Binding Proteins/*metabolism', 'Enhancer Elements, Genetic', 'Gene Expression Regulation, Viral', 'Gene Products, tax/*metabolism', 'Human T-lymphotropic virus 1/*genetics', 'Humans', 'Mutagenesis', 'Plasmids', 'Recombinant Fusion Proteins/metabolism', '*Transcription, Genetic', '*Transcriptional Activation', 'Transfection']",1991/08/01 00:00,1991/08/01 00:01,['1991/08/01 00:00'],"['1991/08/01 00:00 [pubmed]', '1991/08/01 00:01 [medline]', '1991/08/01 00:00 [entrez]']",['10.1128/JVI.65.8.4525-4528.1991 [doi]'],ppublish,J Virol. 1991 Aug;65(8):4525-8. doi: 10.1128/JVI.65.8.4525-4528.1991.,,,,PMC248898,,,,['tax'],,,,,,,
2072457,NLM,MEDLINE,19910819,20200724,0022-538X (Print) 0022-538X (Linking),65,8,1991 Aug,Functional analysis of human T-cell leukemia virus type I rex-response element: direct RNA binding of Rex protein correlates with in vivo activity.,4408-13,The human T-cell leukemia virus type I rex gene product plays a critical role in the expression of the retroviral structural proteins Gag and Env from incompletely spliced mRNAs. Rex protein acts through a cis element (rex-response element [RxRE]) which is located in the U3/R region of the 3' long terminal repeat and is present on all human T-cell leukemia virus type I-specific mRNAs. Two domains of the predicted secondary structure of the RxRE are crucially important for Rex action in vivo as measured by two assay systems. In vitro studies using highly purified recombinant Rex protein revealed a specific and direct interaction with radiolabeled RxRE sequences. The correlation between our in vivo results and the direct binding of Rex protein to mutant and wild-type RxRE sequences supports both the existence of the predicted secondary structure and the importance of this direct interaction with the cis-acting RNA sequence for Rex function in vivo.,"['Ballaun, C', 'Farrington, G K', 'Dobrovnik, M', 'Rusche, J', 'Hauber, J', 'Bohnlein, E']","['Ballaun C', 'Farrington GK', 'Dobrovnik M', 'Rusche J', 'Hauber J', 'Bohnlein E']","['SANDOZ Research Institute, Vienna, Austria.']",['eng'],['Journal Article'],United States,J Virol,Journal of virology,0113724,"['0 (Gene Products, rex)', '0 (RNA, Viral)']",IM,"['Base Sequence', 'Blotting, Western', 'Cloning, Molecular', 'Gene Products, rex/*genetics/metabolism', 'Human T-lymphotropic virus 1/*genetics', 'Humans', 'Molecular Sequence Data', 'Nucleic Acid Conformation', 'Plasmids', 'RNA, Viral/chemistry/*metabolism', '*Regulatory Sequences, Nucleic Acid', 'Transfection']",1991/08/01 00:00,1991/08/01 00:01,['1991/08/01 00:00'],"['1991/08/01 00:00 [pubmed]', '1991/08/01 00:01 [medline]', '1991/08/01 00:00 [entrez]']",['10.1128/JVI.65.8.4408-4413.1991 [doi]'],ppublish,J Virol. 1991 Aug;65(8):4408-13. doi: 10.1128/JVI.65.8.4408-4413.1991.,,,,PMC248880,,,,['rex'],,,,,,,
2072456,NLM,MEDLINE,19910819,20200724,0022-538X (Print) 0022-538X (Linking),65,8,1991 Aug,Temporal regulation of viral and cellular gene expression during human T-lymphotropic virus type I-mediated lymphocyte immortalization.,4398-407,"An autocrine mechanism of proliferation may play a significant role in the leukemogenesis of adult T-cell leukemia, a mature T-cell malignancy caused by human T-lymphotropic virus type I (HTLV-I). To further delineate the role of HTLV-I and the interleukin 2 (IL2) system in the transformation process, human primary lymphocytes were infected by cocultivation with lethally X-irradiated MT2 cells in the presence or absence of human rIL2; the polymerase chain amplification reaction was used to examine quantitatively the expression of HTLV-I, IL2, and IL2R alpha mRNAs during early and late proliferation phases that displayed polyclonal (days 7 to 49) and oligoclonal (days 100 to 150) proviral integration, respectively. IL2 mRNA and IL2 activity were transiently expressed during the polyclonal phase but were undetectable at later time points. IL2R alpha mRNA expression remained at a constitutively high level throughout the examined time course. Viral transcripts were detectable at each time point. Expression of the tax-rex mRNA was inversely related to IL2 mRNA levels; it was low early in the polyclonal phase but increased 30-fold with the development of oligoclonality. In addition, paraformaldehyde-fixed HTLV-I-producing cells activated peripheral blood lymphocytes. These data suggest that HTLV-I activates human T lymphocytes. However, IL2 expression is transient, indicating a limited involvement of an IL2 autocrine growth loop in the transformation process. Lastly, another viral determinant, in addition to the trans activator tax, may be important in HTLV-I-induced T-cell proliferation.","['Kimata, J T', 'Ratner, L']","['Kimata JT', 'Ratner L']","['Department of Medicine, Washington University School of Medicine, St. Louis, Missouri 63110.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (DNA, Viral)', '0 (Interleukin-2)', '0 (RNA, Messenger)', '0 (RNA, Viral)', '0 (Recombinant Proteins)', '0 (Retroviridae Proteins)']",IM,"['Base Sequence', 'Blotting, Southern', 'Cell Line', 'Cell Transformation, Viral', 'Cells, Cultured', 'DNA, Viral/chemistry', 'Fetal Blood/cytology', '*Gene Expression Regulation, Viral', 'Human T-lymphotropic virus 1/*genetics/physiology', 'Humans', 'Interleukin-2/genetics/*physiology', '*Lymphocyte Activation', 'Molecular Sequence Data', 'Polymerase Chain Reaction', 'RNA, Messenger/*biosynthesis', 'RNA, Viral/biosynthesis', 'Recombinant Proteins/genetics/physiology', 'Retroviridae Proteins/biosynthesis', 'T-Lymphocytes/*microbiology', 'Time Factors']",1991/08/01 00:00,1991/08/01 00:01,['1991/08/01 00:00'],"['1991/08/01 00:00 [pubmed]', '1991/08/01 00:01 [medline]', '1991/08/01 00:00 [entrez]']",['10.1128/JVI.65.8.4398-4407.1991 [doi]'],ppublish,J Virol. 1991 Aug;65(8):4398-407. doi: 10.1128/JVI.65.8.4398-4407.1991.,"['GM07067/GM/NIGMS NIH HHS/United States', 'T32 HL07088/HL/NHLBI NIH HHS/United States']",,,PMC248879,,,,"['env', 'gag', 'pol', 'rex', 'tax']",,,,,,,
2072445,NLM,MEDLINE,19910819,20200724,0022-538X (Print) 0022-538X (Linking),65,8,1991 Aug,An amino-terminal fragment of the Friend murine leukemia virus envelope glycoprotein binds the ecotropic receptor.,4026-32,"Retrovirus entry into cells is mediated by specific binding of the envelope glycoprotein to a cell membrane receptor. Constitutive envelope gene expression prevents infection by interfering with the binding of viruses which recognize the same receptor. We have used this property to investigate the receptor binding capacities of deleted or truncated murine leukemia virus ecotropic envelope glycoproteins. Friend murine leukemia virus envelope glycoproteins bearing internal amino-terminal deletions, or a soluble 245-amino-acid gp70 amino-terminal fragment, were expressed in NIH 3T3 cells. The susceptibility of these cells to ecotropic and amphotropic virus infection was determined. We observed that both membrane-bound and soluble forms of the gp70 245-amino-acid amino-terminal domain induced resistance to ecotropic virus, indicating that this fragment binds the ecotropic receptor. Binding occurs both at the cell surface and in the endoplasmic reticulum, as shown by the use of soluble envelope fragments either secreted in the culture supernatants or retained in the endoplasmic reticulum lumen by a KDEL sequence. These results suggest that the gp70 amino-terminal domain folds into a structure which recognizes the ecotropic receptor regardless of the carboxy-terminal part of the molecule.","['Heard, J M', 'Danos, O']","['Heard JM', 'Danos O']","['Laboratoire Retrovirus et Transfert Genetique, Institut Pasteur, Paris, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,"['0 (Glycoproteins)', '0 (Oligodeoxyribonucleotides)', '0 (Peptide Fragments)', '0 (Receptors, Virus)', '0 (Viral Envelope Proteins)']",IM,"['Amino Acid Sequence', 'Base Sequence', 'Biological Transport', 'Electrophoresis, Polyacrylamide Gel', 'Friend murine leukemia virus/genetics/*metabolism', 'Gene Expression Regulation, Viral', 'Genetic Vectors', 'Glycoproteins/chemistry/genetics/*metabolism', 'Molecular Sequence Data', 'Oligodeoxyribonucleotides', 'Peptide Fragments/chemistry/genetics/*metabolism', 'Precipitin Tests', 'Receptors, Virus/*metabolism', 'Restriction Mapping', 'Solubility', 'Transfection', 'Viral Envelope Proteins/chemistry/genetics/*metabolism']",1991/08/01 00:00,1991/08/01 00:01,['1991/08/01 00:00'],"['1991/08/01 00:00 [pubmed]', '1991/08/01 00:01 [medline]', '1991/08/01 00:00 [entrez]']",['10.1128/JVI.65.8.4026-4032.1991 [doi]'],ppublish,J Virol. 1991 Aug;65(8):4026-32. doi: 10.1128/JVI.65.8.4026-4032.1991.,,,,PMC248833,,,,,,,,,,,
